crept_manicure v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
crept_manicure v7 303 games, 245258 moves, e=0.757, loss: 4.6, -, 43.4% elo% vs. simple_bot, avg. reward: 0.357, 2.933 sec/game, 11.4 min. total, 558.2 MB
crept_manicure v7 304 games, 246262 moves, e=0.756, loss: 4.7, -, 41.5% elo% vs. simple_bot, avg. reward: 0.357, 2.956 sec/game, 11.4 min. total, 558.3 MB
crept_manicure v7 305 games, 247142 moves, e=0.755, loss: 4.9, -, 39.6% elo% vs. simple_bot, avg. reward: 0.358, 2.941 sec/game, 11.5 min. total, 558.6 MB
crept_manicure v7 306 games, 248154 moves, e=0.754, loss: 4.5, -, 37.9% elo% vs. simple_bot, avg. reward: 0.359, 2.953 sec/game, 11.5 min. total, 558.8 MB
crept_manicure v7 307 games, 249058 moves, e=0.753, loss: 4.6, -, 36.3% elo% vs. simple_bot, avg. reward: 0.365, 2.933 sec/game, 11.6 min. total, 560.7 MB
crept_manicure v7 308 games, 249926 moves, e=0.753, loss: 4.6, -, 34.8% elo% vs. simple_bot, avg. reward: 0.364, 2.924 sec/game, 11.6 min. total, 560.7 MB
crept_manicure v7 309 games, 250942 moves, e=0.752, loss: 4.2, -, 33.3% elo% vs. simple_bot, avg. reward: 0.366, 2.901 sec/game, 11.7 min. total, 560.6 MB
crept_manicure v7 310 games, 251861 moves, e=0.751, loss: 4.3, -, 32.0% elo% vs. simple_bot, avg. reward: 0.368, 2.861 sec/game, 11.7 min. total, 560.8 MB
crept_manicure v7 311 games, 252871 moves, e=0.750, loss: 4.2, -, 30.7% elo% vs. simple_bot, avg. reward: 0.370, 2.877 sec/game, 11.8 min. total, 560.8 MB
crept_manicure v7 312 games, 253938 moves, e=0.749, loss: 4.2, -, 29.5% elo% vs. simple_bot, avg. reward: 0.373, 2.917 sec/game, 11.8 min. total, 560.7 MB
crept_manicure v7 313 games, 254905 moves, e=0.748, loss: 4.3, -, 28.4% elo% vs. simple_bot, avg. reward: 0.375, 2.914 sec/game, 11.9 min. total, 560.9 MB
crept_manicure v7 314 games, 255748 moves, e=0.747, loss: 4.3, -, 27.3% elo% vs. simple_bot, avg. reward: 0.374, 2.882 sec/game, 11.9 min. total, 560.8 MB
crept_manicure v7 315 games, 256758 moves, e=0.746, loss: 4.3, -, 26.4% elo% vs. simple_bot, avg. reward: 0.375, 2.876 sec/game, 12.0 min. total, 560.9 MB
crept_manicure v7 316 games, 257826 moves, e=0.745, loss: 4.2, -, 25.4% elo% vs. simple_bot, avg. reward: 0.373, 2.978 sec/game, 12.1 min. total, 561.4 MB
crept_manicure v7 317 games, 258765 moves, e=0.744, loss: 3.9, -, 24.5% elo% vs. simple_bot, avg. reward: 0.373, 2.967 sec/game, 12.1 min. total, 561.5 MB
crept_manicure v7 318 games, 259734 moves, e=0.743, loss: 3.8, -, 23.7% elo% vs. simple_bot, avg. reward: 0.375, 2.988 sec/game, 12.2 min. total, 563.4 MB
crept_manicure v7 319 games, 260919 moves, e=0.742, loss: 3.7, -, 22.9% elo% vs. simple_bot, avg. reward: 0.379, 3.019 sec/game, 12.2 min. total, 562.2 MB
crept_manicure v7 320 games, 261861 moves, e=0.741, loss: 3.5, -, 22.2% elo% vs. simple_bot, avg. reward: 0.379, 3.009 sec/game, 12.3 min. total, 562.4 MB
crept_manicure v7 321 games, 262887 moves, e=0.740, loss: 3.5, -, 21.5% elo% vs. simple_bot, avg. reward: 0.381, 3.026 sec/game, 12.3 min. total, 562.5 MB
crept_manicure v7 322 games, 263959 moves, e=0.739, loss: 3.8, +, 24.0% elo% vs. simple_bot, avg. reward: 0.382, 3.051 sec/game, 12.4 min. total, 562.9 MB
crept_manicure v7 323 games, 264847 moves, e=0.738, loss: 3.6, -, 23.2% elo% vs. simple_bot, avg. reward: 0.382, 3.058 sec/game, 12.4 min. total, 564.5 MB
crept_manicure v7 324 games, 265841 moves, e=0.737, loss: 3.6, -, 22.5% elo% vs. simple_bot, avg. reward: 0.382, 3.059 sec/game, 12.5 min. total, 564.9 MB
crept_manicure v7 325 games, 266761 moves, e=0.736, loss: 3.5, -, 21.8% elo% vs. simple_bot, avg. reward: 0.382, 3.080 sec/game, 12.5 min. total, 564.7 MB
crept_manicure v7 326 games, 267713 moves, e=0.735, loss: 3.4, -, 21.1% elo% vs. simple_bot, avg. reward: 0.382, 3.062 sec/game, 12.6 min. total, 564.9 MB
crept_manicure v7 327 games, 268730 moves, e=0.734, loss: 3.5, -, 20.5% elo% vs. simple_bot, avg. reward: 0.381, 3.081 sec/game, 12.6 min. total, 565.3 MB
crept_manicure v7 328 games, 269818 moves, e=0.733, loss: 3.3, -, 19.8% elo% vs. simple_bot, avg. reward: 0.385, 3.100 sec/game, 12.7 min. total, 565.6 MB
crept_manicure v7 329 games, 270762 moves, e=0.732, loss: 3.3, -, 19.3% elo% vs. simple_bot, avg. reward: 0.386, 3.097 sec/game, 12.7 min. total, 565.5 MB
crept_manicure v7 330 games, 271686 moves, e=0.731, loss: 3.6, -, 18.7% elo% vs. simple_bot, avg. reward: 0.385, 3.101 sec/game, 12.8 min. total, 565.5 MB
crept_manicure v7 331 games, 272623 moves, e=0.730, loss: 3.4, -, 18.2% elo% vs. simple_bot, avg. reward: 0.387, 3.085 sec/game, 12.8 min. total, 566.0 MB
crept_manicure v7 332 games, 273709 moves, e=0.729, loss: 3.0, -, 17.7% elo% vs. simple_bot, avg. reward: 0.388, 3.102 sec/game, 12.9 min. total, 567.8 MB
crept_manicure v7 333 games, 274678 moves, e=0.728, loss: 2.8, -, 17.2% elo% vs. simple_bot, avg. reward: 0.388, 3.100 sec/game, 12.9 min. total, 567.6 MB
crept_manicure v7 334 games, 275607 moves, e=0.727, loss: 2.8, -, 16.8% elo% vs. simple_bot, avg. reward: 0.389, 3.120 sec/game, 13.0 min. total, 567.5 MB
crept_manicure v7 335 games, 276613 moves, e=0.726, loss: 2.6, -, 16.4% elo% vs. simple_bot, avg. reward: 0.388, 3.134 sec/game, 13.0 min. total, 567.9 MB
crept_manicure v7 336 games, 277665 moves, e=0.725, loss: 2.6, -, 16.0% elo% vs. simple_bot, avg. reward: 0.390, 3.056 sec/game, 13.1 min. total, 567.7 MB
crept_manicure v7 337 games, 278666 moves, e=0.724, loss: 2.7, -, 15.6% elo% vs. simple_bot, avg. reward: 0.391, 3.069 sec/game, 13.1 min. total, 567.7 MB
crept_manicure v7 338 games, 279593 moves, e=0.723, loss: 2.7, -, 15.2% elo% vs. simple_bot, avg. reward: 0.391, 3.055 sec/game, 13.2 min. total, 567.9 MB
crept_manicure v7 339 games, 280568 moves, e=0.722, loss: 2.6, -, 14.8% elo% vs. simple_bot, avg. reward: 0.392, 3.018 sec/game, 13.2 min. total, 567.7 MB
crept_manicure v7 340 games, 281425 moves, e=0.721, loss: 2.6, -, 14.5% elo% vs. simple_bot, avg. reward: 0.391, 3.014 sec/game, 13.3 min. total, 568.3 MB
crept_manicure v7 341 games, 282394 moves, e=0.720, loss: 2.6, -, 14.2% elo% vs. simple_bot, avg. reward: 0.393, 3.041 sec/game, 13.3 min. total, 568.7 MB
crept_manicure v7 342 games, 283306 moves, e=0.720, loss: 2.7, -, 13.9% elo% vs. simple_bot, avg. reward: 0.392, 3.016 sec/game, 13.4 min. total, 568.7 MB
crept_manicure v7 343 games, 284351 moves, e=0.718, loss: 2.6, -, 13.6% elo% vs. simple_bot, avg. reward: 0.394, 3.039 sec/game, 13.4 min. total, 568.8 MB
crept_manicure v7 344 games, 285310 moves, e=0.718, loss: 2.5, -, 13.3% elo% vs. simple_bot, avg. reward: 0.395, 3.045 sec/game, 13.5 min. total, 568.9 MB
crept_manicure v7 345 games, 286374 moves, e=0.716, loss: 2.6, -, 13.0% elo% vs. simple_bot, avg. reward: 0.396, 3.072 sec/game, 13.5 min. total, 569.0 MB
crept_manicure v7 346 games, 287629 moves, e=0.715, loss: 2.6, -, 12.7% elo% vs. simple_bot, avg. reward: 0.397, 3.131 sec/game, 13.6 min. total, 568.9 MB
crept_manicure v7 347 games, 288584 moves, e=0.714, loss: 2.8, -, 12.5% elo% vs. simple_bot, avg. reward: 0.401, 3.120 sec/game, 13.6 min. total, 569.9 MB
crept_manicure v7 348 games, 289612 moves, e=0.713, loss: 2.8, -, 12.2% elo% vs. simple_bot, avg. reward: 0.399, 3.122 sec/game, 13.7 min. total, 573.3 MB
crept_manicure v7 349 games, 290659 moves, e=0.712, loss: 2.7, -, 12.0% elo% vs. simple_bot, avg. reward: 0.402, 3.143 sec/game, 13.8 min. total, 572.5 MB
crept_manicure v7 350 games, 291678 moves, e=0.711, loss: 2.7, -, 11.7% elo% vs. simple_bot, avg. reward: 0.404, 3.165 sec/game, 13.8 min. total, 572.6 MB
