crept_manicure v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
crept_manicure v4 76 games, 53425 moves, e=0.947, loss: 1.0, -, 14.7% elo% vs. simple_bot, avg. reward: 0.137, 1.836 sec/game, 1.9 min. total, 495.2 MB
crept_manicure v4 77 games, 54241 moves, e=0.946, loss: 1.0, -, 14.3% elo% vs. simple_bot, avg. reward: 0.136, 1.820 sec/game, 1.9 min. total, 495.6 MB
crept_manicure v4 78 games, 54896 moves, e=0.946, loss: 1.0, -, 14.0% elo% vs. simple_bot, avg. reward: 0.136, 1.809 sec/game, 1.9 min. total, 495.7 MB
crept_manicure v4 79 games, 55709 moves, e=0.945, loss: 1.0, -, 13.7% elo% vs. simple_bot, avg. reward: 0.135, 1.799 sec/game, 1.9 min. total, 497.4 MB
crept_manicure v4 80 games, 56443 moves, e=0.944, loss: 1.0, -, 13.4% elo% vs. simple_bot, avg. reward: 0.136, 1.772 sec/game, 2.0 min. total, 499.1 MB
crept_manicure v4 81 games, 57157 moves, e=0.943, loss: 1.0, -, 13.1% elo% vs. simple_bot, avg. reward: 0.137, 1.781 sec/game, 2.0 min. total, 500.2 MB
crept_manicure v4 82 games, 57824 moves, e=0.943, loss: 1.0, -, 12.9% elo% vs. simple_bot, avg. reward: 0.137, 1.763 sec/game, 2.0 min. total, 500.4 MB
crept_manicure v4 83 games, 58561 moves, e=0.942, loss: 1.0, -, 12.6% elo% vs. simple_bot, avg. reward: 0.137, 1.778 sec/game, 2.1 min. total, 500.5 MB
crept_manicure v4 84 games, 59263 moves, e=0.941, loss: 1.0, -, 12.3% elo% vs. simple_bot, avg. reward: 0.138, 1.759 sec/game, 2.1 min. total, 500.2 MB
crept_manicure v4 85 games, 60097 moves, e=0.941, loss: 1.0, -, 12.1% elo% vs. simple_bot, avg. reward: 0.137, 1.802 sec/game, 2.1 min. total, 500.7 MB
crept_manicure v4 86 games, 60881 moves, e=0.940, loss: 0.9, -, 11.9% elo% vs. simple_bot, avg. reward: 0.139, 1.787 sec/game, 2.2 min. total, 501.4 MB
crept_manicure v4 87 games, 61615 moves, e=0.939, loss: 0.9, -, 11.6% elo% vs. simple_bot, avg. reward: 0.140, 1.787 sec/game, 2.2 min. total, 502.3 MB
crept_manicure v4 88 games, 62354 moves, e=0.938, loss: 1.0, -, 11.4% elo% vs. simple_bot, avg. reward: 0.141, 1.798 sec/game, 2.2 min. total, 502.7 MB
crept_manicure v4 89 games, 63138 moves, e=0.937, loss: 1.0, -, 11.2% elo% vs. simple_bot, avg. reward: 0.144, 1.788 sec/game, 2.2 min. total, 503.9 MB
crept_manicure v4 90 games, 63949 moves, e=0.937, loss: 1.0, -, 11.0% elo% vs. simple_bot, avg. reward: 0.146, 1.822 sec/game, 2.3 min. total, 503.9 MB
crept_manicure v4 91 games, 64848 moves, e=0.936, loss: 1.0, -, 10.8% elo% vs. simple_bot, avg. reward: 0.146, 1.838 sec/game, 2.3 min. total, 503.9 MB
crept_manicure v4 92 games, 65525 moves, e=0.935, loss: 1.1, -, 10.6% elo% vs. simple_bot, avg. reward: 0.145, 1.837 sec/game, 2.3 min. total, 503.8 MB
crept_manicure v4 93 games, 66230 moves, e=0.934, loss: 1.2, -, 10.4% elo% vs. simple_bot, avg. reward: 0.146, 1.822 sec/game, 2.4 min. total, 504.0 MB
crept_manicure v4 94 games, 66927 moves, e=0.934, loss: 1.2, -, 10.3% elo% vs. simple_bot, avg. reward: 0.148, 1.809 sec/game, 2.4 min. total, 504.0 MB
crept_manicure v4 95 games, 67726 moves, e=0.933, loss: 1.2, -, 10.1% elo% vs. simple_bot, avg. reward: 0.147, 1.849 sec/game, 2.4 min. total, 504.3 MB
crept_manicure v4 96 games, 68454 moves, e=0.932, loss: 1.3, -, 9.9% elo% vs. simple_bot, avg. reward: 0.149, 1.851 sec/game, 2.5 min. total, 504.4 MB
crept_manicure v4 97 games, 69275 moves, e=0.931, loss: 1.3, -, 9.8% elo% vs. simple_bot, avg. reward: 0.150, 1.882 sec/game, 2.5 min. total, 505.9 MB
crept_manicure v4 98 games, 70049 moves, e=0.931, loss: 1.3, -, 9.6% elo% vs. simple_bot, avg. reward: 0.151, 1.915 sec/game, 2.5 min. total, 505.9 MB
crept_manicure v4 99 games, 70660 moves, e=0.930, loss: 1.4, -, 9.4% elo% vs. simple_bot, avg. reward: 0.153, 1.903 sec/game, 2.6 min. total, 505.9 MB
crept_manicure v4 100 games, 71390 moves, e=0.929, loss: 1.4, -, 9.3% elo% vs. simple_bot, avg. reward: 0.152, 1.917 sec/game, 2.6 min. total, 506.0 MB
crept_manicure v5 101 games, 72126 moves, e=0.929, loss: 1.5, -, 47.7% elo% vs. simple_bot, avg. reward: 0.152, 1.932 sec/game, 2.6 min. total, 506.2 MB
crept_manicure v5 102 games, 72770 moves, e=0.928, loss: 1.5, -, 45.5% elo% vs. simple_bot, avg. reward: 0.151, 1.944 sec/game, 2.7 min. total, 506.0 MB
crept_manicure v5 103 games, 73556 moves, e=0.927, loss: 1.5, -, 43.4% elo% vs. simple_bot, avg. reward: 0.153, 1.958 sec/game, 2.7 min. total, 506.2 MB
crept_manicure v5 104 games, 74347 moves, e=0.926, loss: 1.4, -, 41.5% elo% vs. simple_bot, avg. reward: 0.154, 1.986 sec/game, 2.7 min. total, 506.6 MB
crept_manicure v5 105 games, 75081 moves, e=0.926, loss: 1.4, -, 39.6% elo% vs. simple_bot, avg. reward: 0.152, 1.984 sec/game, 2.8 min. total, 506.9 MB
crept_manicure v5 106 games, 76044 moves, e=0.925, loss: 1.4, -, 37.9% elo% vs. simple_bot, avg. reward: 0.155, 2.031 sec/game, 2.8 min. total, 507.2 MB
crept_manicure v5 107 games, 76836 moves, e=0.924, loss: 1.5, -, 36.3% elo% vs. simple_bot, avg. reward: 0.155, 2.047 sec/game, 2.9 min. total, 507.2 MB
crept_manicure v5 108 games, 77605 moves, e=0.923, loss: 1.5, -, 34.8% elo% vs. simple_bot, avg. reward: 0.154, 2.059 sec/game, 2.9 min. total, 507.1 MB
crept_manicure v5 109 games, 78305 moves, e=0.922, loss: 1.5, -, 33.3% elo% vs. simple_bot, avg. reward: 0.154, 2.056 sec/game, 2.9 min. total, 507.1 MB
crept_manicure v5 110 games, 79122 moves, e=0.922, loss: 1.5, -, 32.0% elo% vs. simple_bot, avg. reward: 0.156, 2.081 sec/game, 3.0 min. total, 507.4 MB
crept_manicure v5 111 games, 79875 moves, e=0.921, loss: 1.5, -, 30.7% elo% vs. simple_bot, avg. reward: 0.157, 2.078 sec/game, 3.0 min. total, 507.4 MB
crept_manicure v5 112 games, 80685 moves, e=0.920, loss: 1.5, -, 29.5% elo% vs. simple_bot, avg. reward: 0.157, 2.108 sec/game, 3.0 min. total, 508.8 MB
crept_manicure v5 113 games, 81449 moves, e=0.919, loss: 1.6, -, 28.4% elo% vs. simple_bot, avg. reward: 0.157, 2.124 sec/game, 3.1 min. total, 509.1 MB
crept_manicure v5 114 games, 82261 moves, e=0.919, loss: 1.6, -, 27.3% elo% vs. simple_bot, avg. reward: 0.156, 2.152 sec/game, 3.1 min. total, 509.0 MB
crept_manicure v5 115 games, 82988 moves, e=0.918, loss: 1.6, -, 26.4% elo% vs. simple_bot, avg. reward: 0.157, 2.122 sec/game, 3.1 min. total, 509.0 MB
crept_manicure v5 116 games, 83900 moves, e=0.917, loss: 1.5, -, 25.4% elo% vs. simple_bot, avg. reward: 0.159, 2.157 sec/game, 3.2 min. total, 509.2 MB
crept_manicure v5 117 games, 84608 moves, e=0.916, loss: 1.5, -, 24.5% elo% vs. simple_bot, avg. reward: 0.160, 2.135 sec/game, 3.2 min. total, 509.2 MB
