viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v10 301 games, 233107 moves, e=0.769, loss: 2.2, -, 47.7% elo% vs. gir, avg. reward: -5.509, 1.454 sec/game, 14.2 min. total, 484.8 MB
viper_dwindle v10 302 games, 233989 moves, e=0.768, loss: 2.2, -, 45.5% elo% vs. gir, avg. reward: -5.502, 1.461 sec/game, 14.3 min. total, 485.2 MB
viper_dwindle v10 303 games, 234914 moves, e=0.767, loss: 2.2, -, 43.4% elo% vs. gir, avg. reward: -5.485, 1.462 sec/game, 14.3 min. total, 487.0 MB
viper_dwindle v10 304 games, 235878 moves, e=0.766, loss: 2.4, -, 41.5% elo% vs. gir, avg. reward: -5.474, 1.476 sec/game, 14.3 min. total, 487.0 MB
viper_dwindle v10 305 games, 236737 moves, e=0.766, loss: 2.3, -, 39.6% elo% vs. gir, avg. reward: -5.463, 1.485 sec/game, 14.3 min. total, 485.3 MB
viper_dwindle v10 306 games, 237532 moves, e=0.765, loss: 2.5, -, 37.9% elo% vs. gir, avg. reward: -5.461, 1.465 sec/game, 14.4 min. total, 485.7 MB
viper_dwindle v10 307 games, 238363 moves, e=0.764, loss: 2.5, -, 36.3% elo% vs. gir, avg. reward: -5.459, 1.455 sec/game, 14.4 min. total, 487.6 MB
viper_dwindle v10 308 games, 239330 moves, e=0.763, loss: 2.6, -, 34.8% elo% vs. gir, avg. reward: -5.459, 1.464 sec/game, 14.4 min. total, 488.5 MB
viper_dwindle v10 309 games, 240228 moves, e=0.762, loss: 2.3, -, 33.3% elo% vs. gir, avg. reward: -5.449, 1.466 sec/game, 14.4 min. total, 489.2 MB
viper_dwindle v10 310 games, 241012 moves, e=0.761, loss: 2.3, -, 32.0% elo% vs. gir, avg. reward: -5.456, 1.465 sec/game, 14.5 min. total, 488.0 MB
viper_dwindle v10 311 games, 241817 moves, e=0.761, loss: 2.2, -, 30.7% elo% vs. gir, avg. reward: -5.457, 1.455 sec/game, 14.5 min. total, 488.6 MB
viper_dwindle v10 312 games, 242772 moves, e=0.760, loss: 2.4, -, 29.5% elo% vs. gir, avg. reward: -5.442, 1.457 sec/game, 14.5 min. total, 487.8 MB
viper_dwindle v10 313 games, 243812 moves, e=0.759, loss: 2.4, -, 28.4% elo% vs. gir, avg. reward: -5.428, 1.454 sec/game, 14.5 min. total, 487.6 MB
viper_dwindle v10 314 games, 244680 moves, e=0.758, loss: 2.4, -, 27.3% elo% vs. gir, avg. reward: -5.420, 1.462 sec/game, 14.6 min. total, 489.7 MB
viper_dwindle v10 315 games, 245502 moves, e=0.757, loss: 2.6, -, 26.4% elo% vs. gir, avg. reward: -5.413, 1.445 sec/game, 14.6 min. total, 487.5 MB
viper_dwindle v10 316 games, 246463 moves, e=0.756, loss: 2.5, -, 25.4% elo% vs. gir, avg. reward: -5.413, 1.460 sec/game, 14.6 min. total, 487.6 MB
viper_dwindle v10 317 games, 247281 moves, e=0.755, loss: 2.9, -, 24.5% elo% vs. gir, avg. reward: -5.415, 1.451 sec/game, 14.6 min. total, 487.6 MB
viper_dwindle v10 318 games, 248131 moves, e=0.754, loss: 2.8, -, 23.7% elo% vs. gir, avg. reward: -5.414, 1.466 sec/game, 14.7 min. total, 490.2 MB
viper_dwindle v10 319 games, 249151 moves, e=0.753, loss: 2.7, -, 22.9% elo% vs. gir, avg. reward: -5.398, 1.478 sec/game, 14.7 min. total, 489.7 MB
viper_dwindle v10 320 games, 250158 moves, e=0.752, loss: 2.9, -, 22.2% elo% vs. gir, avg. reward: -5.375, 1.497 sec/game, 14.7 min. total, 488.4 MB
viper_dwindle v10 321 games, 251070 moves, e=0.751, loss: 2.9, -, 21.5% elo% vs. gir, avg. reward: -5.358, 1.497 sec/game, 14.7 min. total, 490.8 MB
viper_dwindle v10 322 games, 252085 moves, e=0.750, loss: 2.8, -, 20.8% elo% vs. gir, avg. reward: -5.348, 1.501 sec/game, 14.8 min. total, 490.7 MB
viper_dwindle v10 323 games, 252913 moves, e=0.750, loss: 2.8, -, 20.2% elo% vs. gir, avg. reward: -5.338, 1.493 sec/game, 14.8 min. total, 489.5 MB
viper_dwindle v10 324 games, 253782 moves, e=0.749, loss: 2.7, -, 19.6% elo% vs. gir, avg. reward: -5.342, 1.491 sec/game, 14.8 min. total, 489.4 MB
viper_dwindle v10 325 games, 254786 moves, e=0.748, loss: 2.8, -, 19.1% elo% vs. gir, avg. reward: -5.336, 1.502 sec/game, 14.8 min. total, 490.2 MB
viper_dwindle v10 326 games, 255758 moves, e=0.747, loss: 3.0, -, 18.5% elo% vs. gir, avg. reward: -5.321, 1.520 sec/game, 14.9 min. total, 490.8 MB
viper_dwindle v10 327 games, 256604 moves, e=0.746, loss: 3.3, -, 18.0% elo% vs. gir, avg. reward: -5.310, 1.511 sec/game, 14.9 min. total, 490.6 MB
viper_dwindle v10 328 games, 257554 moves, e=0.745, loss: 2.7, -, 17.5% elo% vs. gir, avg. reward: -5.308, 1.523 sec/game, 14.9 min. total, 491.0 MB
viper_dwindle v10 329 games, 258435 moves, e=0.744, loss: 3.0, -, 17.1% elo% vs. gir, avg. reward: -5.296, 1.528 sec/game, 14.9 min. total, 491.0 MB
viper_dwindle v10 330 games, 259406 moves, e=0.743, loss: 3.1, -, 16.6% elo% vs. gir, avg. reward: -5.281, 1.540 sec/game, 15.0 min. total, 490.6 MB
viper_dwindle v10 331 games, 260273 moves, e=0.742, loss: 3.1, -, 16.2% elo% vs. gir, avg. reward: -5.283, 1.542 sec/game, 15.0 min. total, 492.3 MB
viper_dwindle v10 332 games, 261098 moves, e=0.742, loss: 3.1, -, 15.8% elo% vs. gir, avg. reward: -5.276, 1.532 sec/game, 15.0 min. total, 491.9 MB
viper_dwindle v10 333 games, 262120 moves, e=0.741, loss: 3.4, -, 15.4% elo% vs. gir, avg. reward: -5.252, 1.533 sec/game, 15.1 min. total, 493.3 MB
viper_dwindle v10 334 games, 263085 moves, e=0.740, loss: 3.3, -, 15.1% elo% vs. gir, avg. reward: -5.224, 1.540 sec/game, 15.1 min. total, 493.1 MB
viper_dwindle v10 335 games, 263898 moves, e=0.739, loss: 3.1, -, 14.7% elo% vs. gir, avg. reward: -5.235, 1.540 sec/game, 15.1 min. total, 493.3 MB
viper_dwindle v10 336 games, 264764 moves, e=0.738, loss: 3.3, -, 14.4% elo% vs. gir, avg. reward: -5.234, 1.532 sec/game, 15.1 min. total, 495.1 MB
viper_dwindle v10 337 games, 265704 moves, e=0.737, loss: 3.4, -, 14.0% elo% vs. gir, avg. reward: -5.212, 1.541 sec/game, 15.2 min. total, 494.2 MB
viper_dwindle v10 338 games, 266751 moves, e=0.736, loss: 3.2, -, 13.7% elo% vs. gir, avg. reward: -5.207, 1.548 sec/game, 15.2 min. total, 494.6 MB
viper_dwindle v10 339 games, 267696 moves, e=0.735, loss: 3.2, -, 13.4% elo% vs. gir, avg. reward: -5.195, 1.548 sec/game, 15.2 min. total, 494.5 MB
viper_dwindle v10 340 games, 268585 moves, e=0.734, loss: 3.2, -, 13.1% elo% vs. gir, avg. reward: -5.199, 1.539 sec/game, 15.2 min. total, 494.1 MB
viper_dwindle v10 341 games, 269519 moves, e=0.733, loss: 3.2, -, 12.9% elo% vs. gir, avg. reward: -5.182, 1.540 sec/game, 15.3 min. total, 495.7 MB
viper_dwindle v10 342 games, 270459 moves, e=0.732, loss: 3.4, -, 12.6% elo% vs. gir, avg. reward: -5.181, 1.531 sec/game, 15.3 min. total, 494.4 MB
viper_dwindle v10 343 games, 271254 moves, e=0.731, loss: 3.4, -, 12.4% elo% vs. gir, avg. reward: -5.174, 1.539 sec/game, 15.3 min. total, 495.1 MB
viper_dwindle v10 344 games, 272151 moves, e=0.731, loss: 3.0, -, 12.1% elo% vs. gir, avg. reward: -5.167, 1.540 sec/game, 15.3 min. total, 496.4 MB
viper_dwindle v10 345 games, 272968 moves, e=0.730, loss: 2.9, +, 13.9% elo% vs. gir, avg. reward: -5.155, 1.522 sec/game, 15.4 min. total, 496.0 MB
viper_dwindle v10 346 games, 273896 moves, e=0.729, loss: 2.9, +, 16.0% elo% vs. gir, avg. reward: -5.158, 1.517 sec/game, 15.4 min. total, 496.4 MB
viper_dwindle v10 347 games, 274721 moves, e=0.728, loss: 3.0, -, 15.6% elo% vs. gir, avg. reward: -5.161, 1.527 sec/game, 15.4 min. total, 496.4 MB
viper_dwindle v10 348 games, 275699 moves, e=0.727, loss: 3.1, -, 15.2% elo% vs. gir, avg. reward: -5.155, 1.516 sec/game, 15.4 min. total, 495.3 MB
viper_dwindle v10 349 games, 276638 moves, e=0.726, loss: 3.2, -, 14.8% elo% vs. gir, avg. reward: -5.141, 1.519 sec/game, 15.5 min. total, 497.1 MB
viper_dwindle v10 350 games, 277565 moves, e=0.725, loss: 3.4, -, 14.5% elo% vs. gir, avg. reward: -5.125, 1.512 sec/game, 15.5 min. total, 496.8 MB
viper_dwindle v10 351 games, 278568 moves, e=0.724, loss: 3.3, -, 14.2% elo% vs. gir, avg. reward: -5.112, 1.528 sec/game, 15.5 min. total, 498.2 MB
viper_dwindle v10 352 games, 279438 moves, e=0.723, loss: 3.4, -, 13.9% elo% vs. gir, avg. reward: -5.107, 1.536 sec/game, 15.5 min. total, 497.5 MB
viper_dwindle v10 353 games, 280305 moves, e=0.722, loss: 3.3, -, 13.6% elo% vs. gir, avg. reward: -5.102, 1.519 sec/game, 15.6 min. total, 498.4 MB
viper_dwindle v10 354 games, 281223 moves, e=0.722, loss: 3.6, -, 13.3% elo% vs. gir, avg. reward: -5.086, 1.521 sec/game, 15.6 min. total, 498.1 MB
viper_dwindle v10 355 games, 282211 moves, e=0.721, loss: 3.5, -, 13.0% elo% vs. gir, avg. reward: -5.085, 1.532 sec/game, 15.6 min. total, 498.2 MB
viper_dwindle v10 356 games, 283213 moves, e=0.720, loss: 3.7, -, 12.7% elo% vs. gir, avg. reward: -5.071, 1.544 sec/game, 15.6 min. total, 500.5 MB
viper_dwindle v10 357 games, 284052 moves, e=0.719, loss: 3.7, -, 12.5% elo% vs. gir, avg. reward: -5.070, 1.542 sec/game, 15.7 min. total, 497.9 MB
viper_dwindle v10 358 games, 284901 moves, e=0.718, loss: 3.6, -, 12.2% elo% vs. gir, avg. reward: -5.063, 1.525 sec/game, 15.7 min. total, 497.9 MB
viper_dwindle v10 359 games, 285968 moves, e=0.717, loss: 3.6, -, 12.0% elo% vs. gir, avg. reward: -5.042, 1.534 sec/game, 15.7 min. total, 498.6 MB
viper_dwindle v10 360 games, 286925 moves, e=0.716, loss: 3.4, -, 11.7% elo% vs. gir, avg. reward: -5.040, 1.535 sec/game, 15.7 min. total, 499.2 MB
viper_dwindle v10 361 games, 287877 moves, e=0.715, loss: 3.8, +, 13.5% elo% vs. gir, avg. reward: -5.030, 1.543 sec/game, 15.8 min. total, 499.6 MB
viper_dwindle v10 362 games, 288772 moves, e=0.714, loss: 3.5, -, 13.2% elo% vs. gir, avg. reward: -5.028, 1.542 sec/game, 15.8 min. total, 500.5 MB
viper_dwindle v10 363 games, 289731 moves, e=0.713, loss: 3.4, -, 13.0% elo% vs. gir, avg. reward: -5.014, 1.544 sec/game, 15.8 min. total, 500.1 MB
viper_dwindle v10 364 games, 290589 moves, e=0.712, loss: 3.3, +, 14.9% elo% vs. gir, avg. reward: -5.012, 1.543 sec/game, 15.8 min. total, 501.1 MB
viper_dwindle v10 365 games, 291532 moves, e=0.711, loss: 3.2, -, 14.5% elo% vs. gir, avg. reward: -5.004, 1.552 sec/game, 15.9 min. total, 498.9 MB
viper_dwindle v10 366 games, 292455 moves, e=0.710, loss: 3.3, -, 14.2% elo% vs. gir, avg. reward: -4.994, 1.551 sec/game, 15.9 min. total, 501.8 MB
viper_dwindle v10 367 games, 293376 moves, e=0.710, loss: 3.5, -, 13.9% elo% vs. gir, avg. reward: -4.980, 1.559 sec/game, 15.9 min. total, 501.8 MB
viper_dwindle v10 368 games, 294246 moves, e=0.709, loss: 3.6, -, 13.6% elo% vs. gir, avg. reward: -4.980, 1.556 sec/game, 15.9 min. total, 503.7 MB
viper_dwindle v10 369 games, 295141 moves, e=0.708, loss: 3.5, +, 15.6% elo% vs. gir, avg. reward: -4.977, 1.551 sec/game, 16.0 min. total, 503.2 MB
viper_dwindle v10 370 games, 296076 moves, e=0.707, loss: 3.5, -, 15.2% elo% vs. gir, avg. reward: -4.961, 1.558 sec/game, 16.0 min. total, 502.7 MB
viper_dwindle v10 371 games, 297016 moves, e=0.706, loss: 3.2, -, 14.8% elo% vs. gir, avg. reward: -4.958, 1.543 sec/game, 16.0 min. total, 501.7 MB
viper_dwindle v10 372 games, 298013 moves, e=0.705, loss: 3.4, -, 14.5% elo% vs. gir, avg. reward: -4.937, 1.553 sec/game, 16.1 min. total, 502.1 MB
viper_dwindle v10 373 games, 298948 moves, e=0.704, loss: 3.8, -, 14.2% elo% vs. gir, avg. reward: -4.938, 1.561 sec/game, 16.1 min. total, 504.6 MB
viper_dwindle v10 374 games, 299830 moves, e=0.703, loss: 3.5, -, 13.9% elo% vs. gir, avg. reward: -4.932, 1.553 sec/game, 16.1 min. total, 502.5 MB
viper_dwindle v10 375 games, 300747 moves, e=0.702, loss: 3.5, -, 13.6% elo% vs. gir, avg. reward: -4.929, 1.551 sec/game, 16.1 min. total, 505.2 MB
viper_dwindle v10 376 games, 301633 moves, e=0.701, loss: 4.1, -, 13.3% elo% vs. gir, avg. reward: -4.928, 1.546 sec/game, 16.2 min. total, 503.2 MB
viper_dwindle v10 377 games, 302738 moves, e=0.700, loss: 3.7, -, 13.0% elo% vs. gir, avg. reward: -4.919, 1.566 sec/game, 16.2 min. total, 504.5 MB
viper_dwindle v10 378 games, 303835 moves, e=0.699, loss: 3.5, -, 12.7% elo% vs. gir, avg. reward: -4.900, 1.585 sec/game, 16.2 min. total, 502.8 MB
viper_dwindle v10 379 games, 304651 moves, e=0.698, loss: 3.7, -, 12.5% elo% vs. gir, avg. reward: -4.907, 1.566 sec/game, 16.2 min. total, 503.6 MB
viper_dwindle v10 380 games, 305597 moves, e=0.697, loss: 4.2, -, 12.2% elo% vs. gir, avg. reward: -4.901, 1.564 sec/game, 16.3 min. total, 503.2 MB
viper_dwindle v10 381 games, 306674 moves, e=0.696, loss: 3.9, -, 12.0% elo% vs. gir, avg. reward: -4.888, 1.568 sec/game, 16.3 min. total, 504.5 MB
viper_dwindle v10 382 games, 307667 moves, e=0.695, loss: 4.2, -, 11.7% elo% vs. gir, avg. reward: -4.879, 1.578 sec/game, 16.3 min. total, 503.9 MB
viper_dwindle v10 383 games, 308593 moves, e=0.694, loss: 4.0, -, 11.5% elo% vs. gir, avg. reward: -4.874, 1.588 sec/game, 16.4 min. total, 506.3 MB
viper_dwindle v10 384 games, 309556 moves, e=0.694, loss: 3.8, -, 11.3% elo% vs. gir, avg. reward: -4.857, 1.623 sec/game, 16.4 min. total, 506.7 MB
viper_dwindle v10 385 games, 310531 moves, e=0.693, loss: 4.0, -, 11.1% elo% vs. gir, avg. reward: -4.843, 1.648 sec/game, 16.4 min. total, 507.3 MB
viper_dwindle v10 386 games, 311492 moves, e=0.692, loss: 4.1, -, 10.9% elo% vs. gir, avg. reward: -4.842, 1.658 sec/game, 16.4 min. total, 505.1 MB
viper_dwindle v10 387 games, 312461 moves, e=0.691, loss: 4.4, -, 10.7% elo% vs. gir, avg. reward: -4.843, 1.676 sec/game, 16.5 min. total, 507.3 MB
viper_dwindle v10 388 games, 313368 moves, e=0.690, loss: 4.7, -, 10.5% elo% vs. gir, avg. reward: -4.834, 1.696 sec/game, 16.5 min. total, 506.6 MB
viper_dwindle v10 389 games, 314289 moves, e=0.689, loss: 4.2, -, 10.3% elo% vs. gir, avg. reward: -4.832, 1.708 sec/game, 16.5 min. total, 507.1 MB
viper_dwindle v10 390 games, 315150 moves, e=0.688, loss: 5.0, -, 10.2% elo% vs. gir, avg. reward: -4.830, 1.706 sec/game, 16.6 min. total, 507.5 MB
viper_dwindle v10 391 games, 316168 moves, e=0.687, loss: 5.2, -, 10.0% elo% vs. gir, avg. reward: -4.823, 1.737 sec/game, 16.6 min. total, 506.2 MB
viper_dwindle v10 392 games, 317154 moves, e=0.686, loss: 4.9, -, 9.8% elo% vs. gir, avg. reward: -4.817, 1.750 sec/game, 16.6 min. total, 508.2 MB
viper_dwindle v10 393 games, 318011 moves, e=0.685, loss: 5.0, -, 9.7% elo% vs. gir, avg. reward: -4.825, 1.764 sec/game, 16.7 min. total, 508.7 MB
viper_dwindle v10 394 games, 319008 moves, e=0.684, loss: 4.6, -, 9.5% elo% vs. gir, avg. reward: -4.813, 1.783 sec/game, 16.7 min. total, 508.3 MB
viper_dwindle v10 395 games, 319885 moves, e=0.683, loss: 4.9, -, 9.4% elo% vs. gir, avg. reward: -4.819, 1.790 sec/game, 16.7 min. total, 506.5 MB
viper_dwindle v10 396 games, 320951 moves, e=0.682, loss: 5.1, -, 9.2% elo% vs. gir, avg. reward: -4.805, 1.812 sec/game, 16.8 min. total, 507.6 MB
viper_dwindle v10 397 games, 321932 moves, e=0.681, loss: 5.2, -, 9.1% elo% vs. gir, avg. reward: -4.800, 1.830 sec/game, 16.8 min. total, 506.8 MB
viper_dwindle v10 398 games, 322940 moves, e=0.680, loss: 4.9, -, 8.9% elo% vs. gir, avg. reward: -4.781, 1.831 sec/game, 16.8 min. total, 509.0 MB
viper_dwindle v10 399 games, 323781 moves, e=0.679, loss: 4.7, -, 8.8% elo% vs. gir, avg. reward: -4.780, 1.837 sec/game, 16.9 min. total, 509.3 MB
viper_dwindle v10 400 games, 324804 moves, e=0.678, loss: 4.5, -, 8.7% elo% vs. gir, avg. reward: -4.760, 1.878 sec/game, 16.9 min. total, 511.4 MB
viper_dwindle v11 401 games, 325875 moves, e=0.677, loss: 4.6, -, 47.7% elo% vs. gir, avg. reward: -4.741, 1.904 sec/game, 16.9 min. total, 509.2 MB
viper_dwindle v11 402 games, 326778 moves, e=0.676, loss: 4.7, -, 45.5% elo% vs. gir, avg. reward: -4.738, 1.912 sec/game, 17.0 min. total, 509.8 MB
viper_dwindle v11 403 games, 327747 moves, e=0.676, loss: 4.7, -, 43.4% elo% vs. gir, avg. reward: -4.733, 1.916 sec/game, 17.0 min. total, 509.3 MB
viper_dwindle v11 404 games, 328588 moves, e=0.675, loss: 5.3, -, 41.5% elo% vs. gir, avg. reward: -4.736, 1.892 sec/game, 17.0 min. total, 510.2 MB
viper_dwindle v11 405 games, 329520 moves, e=0.674, loss: 5.5, -, 39.6% elo% vs. gir, avg. reward: -4.727, 1.877 sec/game, 17.0 min. total, 510.2 MB
viper_dwindle v11 406 games, 330500 moves, e=0.673, loss: 5.4, -, 37.9% elo% vs. gir, avg. reward: -4.711, 1.881 sec/game, 17.1 min. total, 511.5 MB
viper_dwindle v11 407 games, 331564 moves, e=0.672, loss: 4.9, -, 36.3% elo% vs. gir, avg. reward: -4.698, 1.872 sec/game, 17.1 min. total, 511.0 MB
viper_dwindle v11 408 games, 332627 moves, e=0.671, loss: 5.1, -, 34.8% elo% vs. gir, avg. reward: -4.685, 1.874 sec/game, 17.1 min. total, 511.5 MB
viper_dwindle v11 409 games, 333588 moves, e=0.670, loss: 4.8, -, 33.3% elo% vs. gir, avg. reward: -4.681, 1.881 sec/game, 17.2 min. total, 512.0 MB
viper_dwindle v11 410 games, 334548 moves, e=0.669, loss: 4.7, -, 32.0% elo% vs. gir, avg. reward: -4.669, 1.882 sec/game, 17.2 min. total, 511.6 MB
viper_dwindle v11 411 games, 335515 moves, e=0.668, loss: 4.9, -, 30.7% elo% vs. gir, avg. reward: -4.655, 1.864 sec/game, 17.2 min. total, 513.5 MB
viper_dwindle v11 412 games, 336558 moves, e=0.667, loss: 4.8, -, 29.5% elo% vs. gir, avg. reward: -4.648, 1.857 sec/game, 17.3 min. total, 513.5 MB
viper_dwindle v11 413 games, 337622 moves, e=0.666, loss: 4.6, +, 32.3% elo% vs. gir, avg. reward: -4.646, 1.861 sec/game, 17.3 min. total, 511.7 MB
viper_dwindle v11 414 games, 338486 moves, e=0.665, loss: 4.5, -, 31.0% elo% vs. gir, avg. reward: -4.645, 1.850 sec/game, 17.3 min. total, 513.5 MB
viper_dwindle v11 415 games, 339417 moves, e=0.664, loss: 4.6, +, 33.8% elo% vs. gir, avg. reward: -4.639, 1.851 sec/game, 17.3 min. total, 512.6 MB
viper_dwindle v11 416 games, 340392 moves, e=0.663, loss: 4.6, -, 32.4% elo% vs. gir, avg. reward: -4.636, 1.840 sec/game, 17.4 min. total, 514.8 MB
viper_dwindle v11 417 games, 341360 moves, e=0.662, loss: 4.9, -, 31.1% elo% vs. gir, avg. reward: -4.624, 1.821 sec/game, 17.4 min. total, 513.7 MB
viper_dwindle v11 418 games, 342506 moves, e=0.661, loss: 4.8, -, 29.9% elo% vs. gir, avg. reward: -4.603, 1.837 sec/game, 17.4 min. total, 515.2 MB
viper_dwindle v11 419 games, 343389 moves, e=0.660, loss: 4.3, -, 28.8% elo% vs. gir, avg. reward: -4.610, 1.837 sec/game, 17.5 min. total, 514.8 MB
viper_dwindle v11 420 games, 344339 moves, e=0.659, loss: 4.3, -, 27.7% elo% vs. gir, avg. reward: -4.612, 1.813 sec/game, 17.5 min. total, 515.2 MB
viper_dwindle v11 421 games, 345232 moves, e=0.658, loss: 4.2, -, 26.7% elo% vs. gir, avg. reward: -4.612, 1.785 sec/game, 17.5 min. total, 513.9 MB
viper_dwindle v11 422 games, 346343 moves, e=0.657, loss: 4.3, -, 25.7% elo% vs. gir, avg. reward: -4.606, 1.781 sec/game, 17.6 min. total, 514.8 MB
viper_dwindle v11 423 games, 347320 moves, e=0.656, loss: 4.9, -, 24.8% elo% vs. gir, avg. reward: -4.595, 1.780 sec/game, 17.6 min. total, 514.5 MB
viper_dwindle v11 424 games, 348327 moves, e=0.655, loss: 5.0, -, 24.0% elo% vs. gir, avg. reward: -4.585, 1.780 sec/game, 17.6 min. total, 514.9 MB
viper_dwindle v11 425 games, 349352 moves, e=0.654, loss: 5.0, -, 23.2% elo% vs. gir, avg. reward: -4.584, 1.785 sec/game, 17.6 min. total, 514.9 MB
viper_dwindle v11 426 games, 350290 moves, e=0.653, loss: 5.1, -, 22.4% elo% vs. gir, avg. reward: -4.586, 1.781 sec/game, 17.7 min. total, 516.7 MB
viper_dwindle v11 427 games, 351295 moves, e=0.652, loss: 5.3, -, 21.7% elo% vs. gir, avg. reward: -4.572, 1.782 sec/game, 17.7 min. total, 515.4 MB
viper_dwindle v11 428 games, 352173 moves, e=0.651, loss: 5.2, -, 21.0% elo% vs. gir, avg. reward: -4.578, 1.772 sec/game, 17.7 min. total, 515.8 MB
viper_dwindle v11 429 games, 353063 moves, e=0.650, loss: 5.3, -, 20.4% elo% vs. gir, avg. reward: -4.577, 1.760 sec/game, 17.8 min. total, 516.2 MB
viper_dwindle v11 430 games, 354091 moves, e=0.649, loss: 4.9, -, 19.8% elo% vs. gir, avg. reward: -4.567, 1.767 sec/game, 17.8 min. total, 517.1 MB
viper_dwindle v11 431 games, 355089 moves, e=0.648, loss: 5.0, -, 19.2% elo% vs. gir, avg. reward: -4.554, 1.771 sec/game, 17.8 min. total, 516.5 MB
viper_dwindle v11 432 games, 356139 moves, e=0.647, loss: 4.3, -, 18.7% elo% vs. gir, avg. reward: -4.541, 1.770 sec/game, 17.8 min. total, 517.6 MB
viper_dwindle v11 433 games, 357104 moves, e=0.646, loss: 4.4, -, 18.2% elo% vs. gir, avg. reward: -4.539, 1.760 sec/game, 17.9 min. total, 518.1 MB
viper_dwindle v11 434 games, 358155 moves, e=0.645, loss: 4.7, -, 17.7% elo% vs. gir, avg. reward: -4.532, 1.778 sec/game, 17.9 min. total, 520.4 MB
viper_dwindle v11 435 games, 359111 moves, e=0.644, loss: 4.4, -, 17.2% elo% vs. gir, avg. reward: -4.520, 1.784 sec/game, 17.9 min. total, 518.8 MB
viper_dwindle v11 436 games, 360007 moves, e=0.644, loss: 4.6, -, 16.8% elo% vs. gir, avg. reward: -4.519, 1.778 sec/game, 18.0 min. total, 518.8 MB
viper_dwindle v11 437 games, 360982 moves, e=0.643, loss: 4.8, -, 16.3% elo% vs. gir, avg. reward: -4.514, 1.789 sec/game, 18.0 min. total, 520.1 MB
viper_dwindle v11 438 games, 362048 moves, e=0.642, loss: 4.7, -, 15.9% elo% vs. gir, avg. reward: -4.512, 1.780 sec/game, 18.0 min. total, 520.8 MB
viper_dwindle v11 439 games, 362988 moves, e=0.641, loss: 5.3, -, 15.5% elo% vs. gir, avg. reward: -4.508, 1.781 sec/game, 18.1 min. total, 520.8 MB
viper_dwindle v11 440 games, 363995 moves, e=0.640, loss: 5.5, -, 15.2% elo% vs. gir, avg. reward: -4.499, 1.781 sec/game, 18.1 min. total, 519.7 MB
viper_dwindle v11 441 games, 365051 moves, e=0.639, loss: 5.8, -, 14.8% elo% vs. gir, avg. reward: -4.487, 1.790 sec/game, 18.1 min. total, 520.6 MB
viper_dwindle v11 442 games, 366029 moves, e=0.638, loss: 5.9, -, 14.5% elo% vs. gir, avg. reward: -4.479, 1.786 sec/game, 18.1 min. total, 521.2 MB
viper_dwindle v11 443 games, 366991 moves, e=0.637, loss: 6.1, -, 14.1% elo% vs. gir, avg. reward: -4.467, 1.789 sec/game, 18.2 min. total, 520.7 MB
viper_dwindle v11 444 games, 367924 moves, e=0.636, loss: 5.7, -, 13.8% elo% vs. gir, avg. reward: -4.467, 1.787 sec/game, 18.2 min. total, 521.3 MB
viper_dwindle v11 445 games, 368886 moves, e=0.635, loss: 5.8, -, 13.5% elo% vs. gir, avg. reward: -4.458, 1.776 sec/game, 18.2 min. total, 523.7 MB
viper_dwindle v11 446 games, 370072 moves, e=0.634, loss: 5.5, -, 13.2% elo% vs. gir, avg. reward: -4.445, 1.802 sec/game, 18.3 min. total, 521.9 MB
viper_dwindle v11 447 games, 371062 moves, e=0.633, loss: 5.5, -, 13.0% elo% vs. gir, avg. reward: -4.434, 1.792 sec/game, 18.3 min. total, 521.9 MB
viper_dwindle v11 448 games, 372135 moves, e=0.632, loss: 5.7, -, 12.7% elo% vs. gir, avg. reward: -4.428, 1.815 sec/game, 18.3 min. total, 522.3 MB
viper_dwindle v11 449 games, 373227 moves, e=0.631, loss: 6.4, -, 12.4% elo% vs. gir, avg. reward: -4.417, 1.824 sec/game, 18.4 min. total, 524.6 MB
viper_dwindle v11 450 games, 374086 moves, e=0.630, loss: 6.5, -, 12.2% elo% vs. gir, avg. reward: -4.424, 1.820 sec/game, 18.4 min. total, 524.5 MB
viper_dwindle v11 451 games, 375225 moves, e=0.629, loss: 6.5, -, 12.0% elo% vs. gir, avg. reward: -4.418, 1.834 sec/game, 18.4 min. total, 525.3 MB
viper_dwindle v11 452 games, 376456 moves, e=0.627, loss: 6.4, -, 11.7% elo% vs. gir, avg. reward: -4.397, 1.857 sec/game, 18.5 min. total, 525.2 MB
viper_dwindle v11 453 games, 377447 moves, e=0.626, loss: 6.5, -, 11.5% elo% vs. gir, avg. reward: -4.386, 1.860 sec/game, 18.5 min. total, 526.4 MB
viper_dwindle v11 454 games, 378371 moves, e=0.625, loss: 6.6, -, 11.3% elo% vs. gir, avg. reward: -4.384, 1.853 sec/game, 18.5 min. total, 525.5 MB
viper_dwindle v11 455 games, 379311 moves, e=0.624, loss: 6.4, -, 11.1% elo% vs. gir, avg. reward: -4.387, 1.855 sec/game, 18.6 min. total, 525.6 MB
viper_dwindle v11 456 games, 380362 moves, e=0.623, loss: 6.8, -, 10.9% elo% vs. gir, avg. reward: -4.381, 1.861 sec/game, 18.6 min. total, 524.0 MB
