viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v5 116 games, 83559 moves, e=0.917, loss: 1.4, ., 52.6% elo% vs. simple_bot, avg. reward: -6.582, 1.274 sec/game, 2.0 min. total, 445.9 MB
viper_dwindle v5 117 games, 84277 moves, e=0.917, loss: 1.3, +, 54.8% elo% vs. simple_bot, avg. reward: -6.580, 1.272 sec/game, 2.0 min. total, 446.5 MB
viper_dwindle v5 118 games, 84921 moves, e=0.916, loss: 1.4, +, 56.8% elo% vs. simple_bot, avg. reward: -6.593, 1.261 sec/game, 2.1 min. total, 446.0 MB
viper_dwindle v5 119 games, 85618 moves, e=0.915, loss: 1.3, -, 54.2% elo% vs. simple_bot, avg. reward: -6.593, 1.250 sec/game, 2.1 min. total, 448.4 MB
viper_dwindle v5 120 games, 86380 moves, e=0.914, loss: 1.4, +, 56.3% elo% vs. simple_bot, avg. reward: -6.586, 1.252 sec/game, 2.1 min. total, 446.8 MB
viper_dwindle v5 121 games, 87252 moves, e=0.914, loss: 1.3, +, 58.3% elo% vs. simple_bot, avg. reward: -6.582, 1.262 sec/game, 2.1 min. total, 450.3 MB
viper_dwindle v5 122 games, 87996 moves, e=0.913, loss: 1.4, +, 60.1% elo% vs. simple_bot, avg. reward: -6.572, 1.273 sec/game, 2.2 min. total, 448.6 MB
viper_dwindle v5 123 games, 88777 moves, e=0.912, loss: 1.4, -, 57.4% elo% vs. simple_bot, avg. reward: -6.569, 1.283 sec/game, 2.2 min. total, 450.1 MB
viper_dwindle v5 124 games, 89512 moves, e=0.911, loss: 1.4, -, 54.8% elo% vs. simple_bot, avg. reward: -6.571, 1.275 sec/game, 2.2 min. total, 448.7 MB
viper_dwindle v5 125 games, 90208 moves, e=0.911, loss: 1.5, +, 56.9% elo% vs. simple_bot, avg. reward: -6.582, 1.277 sec/game, 2.2 min. total, 447.9 MB
viper_dwindle v5 126 games, 90897 moves, e=0.910, loss: 1.4, +, 58.8% elo% vs. simple_bot, avg. reward: -6.588, 1.275 sec/game, 2.2 min. total, 448.8 MB
viper_dwindle v5 127 games, 91782 moves, e=0.909, loss: 1.4, -, 56.2% elo% vs. simple_bot, avg. reward: -6.582, 1.288 sec/game, 2.3 min. total, 449.2 MB
viper_dwindle v5 128 games, 92540 moves, e=0.908, loss: 1.6, -, 53.6% elo% vs. simple_bot, avg. reward: -6.584, 1.280 sec/game, 2.3 min. total, 449.8 MB
viper_dwindle v5 129 games, 93166 moves, e=0.908, loss: 1.6, -, 51.2% elo% vs. simple_bot, avg. reward: -6.611, 1.286 sec/game, 2.3 min. total, 450.7 MB
viper_dwindle v5 130 games, 93823 moves, e=0.907, loss: 1.6, -, 48.8% elo% vs. simple_bot, avg. reward: -6.627, 1.275 sec/game, 2.3 min. total, 450.3 MB
viper_dwindle v5 131 games, 94665 moves, e=0.906, loss: 1.6, -, 46.6% elo% vs. simple_bot, avg. reward: -6.615, 1.292 sec/game, 2.4 min. total, 448.8 MB
viper_dwindle v5 132 games, 95397 moves, e=0.906, loss: 1.5, -, 44.4% elo% vs. simple_bot, avg. reward: -6.614, 1.296 sec/game, 2.4 min. total, 449.2 MB
viper_dwindle v5 133 games, 96157 moves, e=0.905, loss: 1.6, +, 47.0% elo% vs. simple_bot, avg. reward: -6.616, 1.289 sec/game, 2.4 min. total, 451.3 MB
viper_dwindle v5 134 games, 96916 moves, e=0.904, loss: 1.5, -, 44.8% elo% vs. simple_bot, avg. reward: -6.613, 1.283 sec/game, 2.4 min. total, 449.5 MB
viper_dwindle v5 135 games, 97669 moves, e=0.903, loss: 1.4, +, 47.3% elo% vs. simple_bot, avg. reward: -6.611, 1.287 sec/game, 2.4 min. total, 449.5 MB
viper_dwindle v5 136 games, 98310 moves, e=0.903, loss: 1.5, -, 45.2% elo% vs. simple_bot, avg. reward: -6.620, 1.285 sec/game, 2.5 min. total, 450.5 MB
viper_dwindle v5 137 games, 98997 moves, e=0.902, loss: 1.5, -, 43.1% elo% vs. simple_bot, avg. reward: -6.606, 1.275 sec/game, 2.5 min. total, 450.1 MB
