amendable_wisdom v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 300.7 MB
amendable_wisdom v2 60 games, 42998 moves, e=0.957, loss: 30.7, ., 51.3% elo% vs. guard_bot, avg. reward: -6.441, 0.807 sec/game, 0.6 min. total, 418.7 MB
amendable_wisdom v2 61 games, 43679 moves, e=0.957, loss: 30.5, ., 51.3% elo% vs. guard_bot, avg. reward: -6.447, 0.815 sec/game, 0.7 min. total, 418.8 MB
amendable_wisdom v2 62 games, 44405 moves, e=0.956, loss: 30.1, ., 51.2% elo% vs. guard_bot, avg. reward: -6.443, 0.810 sec/game, 0.7 min. total, 418.8 MB
amendable_wisdom v2 63 games, 45226 moves, e=0.955, loss: 30.1, ., 51.2% elo% vs. guard_bot, avg. reward: -6.430, 0.819 sec/game, 0.7 min. total, 420.2 MB
amendable_wisdom v2 64 games, 45914 moves, e=0.955, loss: 30.5, ., 51.1% elo% vs. guard_bot, avg. reward: -6.432, 0.829 sec/game, 0.7 min. total, 420.2 MB
amendable_wisdom v2 65 games, 46625 moves, e=0.954, loss: 30.5, ., 51.1% elo% vs. guard_bot, avg. reward: -6.436, 0.845 sec/game, 0.7 min. total, 420.3 MB
amendable_wisdom v2 66 games, 47299 moves, e=0.953, loss: 30.6, ., 51.0% elo% vs. guard_bot, avg. reward: -6.445, 0.858 sec/game, 0.7 min. total, 420.3 MB
amendable_wisdom v2 67 games, 48104 moves, e=0.952, loss: 29.3, +, 53.3% elo% vs. guard_bot, avg. reward: -6.437, 0.863 sec/game, 0.7 min. total, 420.3 MB
amendable_wisdom v2 68 games, 48811 moves, e=0.952, loss: 30.4, ., 53.1% elo% vs. guard_bot, avg. reward: -6.436, 0.867 sec/game, 0.8 min. total, 420.3 MB
amendable_wisdom v2 69 games, 49550 moves, e=0.951, loss: 29.7, ., 53.0% elo% vs. guard_bot, avg. reward: -6.428, 0.873 sec/game, 0.8 min. total, 420.3 MB
amendable_wisdom v2 70 games, 50202 moves, e=0.950, loss: 29.3, ., 52.8% elo% vs. guard_bot, avg. reward: -6.439, 0.875 sec/game, 0.8 min. total, 420.3 MB
amendable_wisdom v2 71 games, 50985 moves, e=0.950, loss: 28.7, ., 52.7% elo% vs. guard_bot, avg. reward: -6.434, 0.879 sec/game, 0.8 min. total, 420.4 MB
amendable_wisdom v2 72 games, 51710 moves, e=0.949, loss: 29.7, ., 52.6% elo% vs. guard_bot, avg. reward: -6.437, 0.883 sec/game, 0.8 min. total, 420.4 MB
amendable_wisdom v2 73 games, 52436 moves, e=0.948, loss: 29.7, ., 52.5% elo% vs. guard_bot, avg. reward: -6.433, 0.893 sec/game, 0.8 min. total, 420.5 MB
amendable_wisdom v2 74 games, 53032 moves, e=0.947, loss: 29.2, +, 54.6% elo% vs. guard_bot, avg. reward: -6.452, 0.880 sec/game, 0.8 min. total, 420.5 MB
amendable_wisdom v2 75 games, 53822 moves, e=0.947, loss: 29.1, ., 54.4% elo% vs. guard_bot, avg. reward: -6.441, 0.885 sec/game, 0.9 min. total, 420.5 MB
amendable_wisdom v2 76 games, 54577 moves, e=0.946, loss: 29.9, ., 54.2% elo% vs. guard_bot, avg. reward: -6.436, 0.894 sec/game, 0.9 min. total, 420.6 MB
amendable_wisdom v2 77 games, 55344 moves, e=0.945, loss: 29.6, ., 54.0% elo% vs. guard_bot, avg. reward: -6.432, 0.901 sec/game, 0.9 min. total, 420.8 MB
amendable_wisdom v2 78 games, 56050 moves, e=0.945, loss: 29.4, ., 53.8% elo% vs. guard_bot, avg. reward: -6.436, 0.900 sec/game, 0.9 min. total, 422.1 MB
amendable_wisdom v2 79 games, 56815 moves, e=0.944, loss: 29.0, ., 53.7% elo% vs. guard_bot, avg. reward: -6.431, 0.916 sec/game, 0.9 min. total, 422.4 MB
amendable_wisdom v2 80 games, 57541 moves, e=0.943, loss: 28.8, ., 53.5% elo% vs. guard_bot, avg. reward: -6.430, 0.927 sec/game, 0.9 min. total, 422.4 MB
amendable_wisdom v2 81 games, 58222 moves, e=0.942, loss: 29.3, ., 53.3% elo% vs. guard_bot, avg. reward: -6.432, 0.914 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 82 games, 58995 moves, e=0.942, loss: 29.6, ., 53.2% elo% vs. guard_bot, avg. reward: -6.425, 0.924 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 83 games, 59656 moves, e=0.941, loss: 28.6, ., 53.0% elo% vs. guard_bot, avg. reward: -6.431, 0.913 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 84 games, 60409 moves, e=0.940, loss: 29.3, ., 52.9% elo% vs. guard_bot, avg. reward: -6.426, 0.897 sec/game, 1.0 min. total, 422.5 MB
