streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v2 48 games, 33878 moves, e=0.966, loss: 11.9, +, 70.4% elo% vs. guard_bot, avg. reward: -13.385, 1.304 sec/game, 0.8 min. total, 430.9 MB
streak_dipper v3 49 games, 34640 moves, e=0.966, loss: 11.7, -, 49.9% elo% vs. random_no_suicide, avg. reward: -13.367, 1.301 sec/game, 0.8 min. total, 430.2 MB
streak_dipper v3 50 games, 35316 moves, e=0.965, loss: 10.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: -13.376, 1.278 sec/game, 0.8 min. total, 429.7 MB
streak_dipper v3 51 games, 36026 moves, e=0.964, loss: 10.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: -13.378, 1.272 sec/game, 0.8 min. total, 429.4 MB
streak_dipper v3 52 games, 36852 moves, e=0.964, loss: 9.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: -13.330, 1.265 sec/game, 0.9 min. total, 430.8 MB
streak_dipper v3 53 games, 37892 moves, e=0.962, loss: 9.5, +, 45.9% elo% vs. random_no_suicide, avg. reward: -13.251, 1.260 sec/game, 0.9 min. total, 430.6 MB
streak_dipper v3 54 games, 38594 moves, e=0.962, loss: 9.6, -, 43.8% elo% vs. random_no_suicide, avg. reward: -13.257, 1.199 sec/game, 0.9 min. total, 433.9 MB
streak_dipper v3 55 games, 39386 moves, e=0.961, loss: 9.7, -, 41.9% elo% vs. random_no_suicide, avg. reward: -13.230, 1.193 sec/game, 0.9 min. total, 433.5 MB
streak_dipper v3 56 games, 40062 moves, e=0.960, loss: 9.3, -, 40.0% elo% vs. random_no_suicide, avg. reward: -13.248, 1.177 sec/game, 0.9 min. total, 434.2 MB
streak_dipper v3 57 games, 40878 moves, e=0.960, loss: 9.8, -, 38.2% elo% vs. random_no_suicide, avg. reward: -13.224, 1.168 sec/game, 1.0 min. total, 436.8 MB
streak_dipper v3 58 games, 41749 moves, e=0.959, loss: 10.3, -, 36.6% elo% vs. random_no_suicide, avg. reward: -13.181, 1.179 sec/game, 1.0 min. total, 437.0 MB
streak_dipper v3 59 games, 42577 moves, e=0.958, loss: 10.2, -, 35.0% elo% vs. random_no_suicide, avg. reward: -13.150, 1.175 sec/game, 1.0 min. total, 435.5 MB
streak_dipper v3 60 games, 43318 moves, e=0.957, loss: 9.6, -, 33.6% elo% vs. random_no_suicide, avg. reward: -13.145, 1.169 sec/game, 1.0 min. total, 437.4 MB
streak_dipper v3 61 games, 44211 moves, e=0.956, loss: 9.4, +, 36.4% elo% vs. random_no_suicide, avg. reward: -13.102, 1.183 sec/game, 1.0 min. total, 437.4 MB
streak_dipper v3 62 games, 45051 moves, e=0.955, loss: 10.2, +, 39.1% elo% vs. random_no_suicide, avg. reward: -13.069, 1.175 sec/game, 1.1 min. total, 435.9 MB
streak_dipper v3 63 games, 45749 moves, e=0.955, loss: 9.7, -, 37.4% elo% vs. random_no_suicide, avg. reward: -13.068, 1.185 sec/game, 1.1 min. total, 438.6 MB
streak_dipper v3 64 games, 46447 moves, e=0.954, loss: 9.5, -, 35.8% elo% vs. random_no_suicide, avg. reward: -13.075, 1.181 sec/game, 1.1 min. total, 437.9 MB
streak_dipper v3 65 games, 47089 moves, e=0.953, loss: 9.3, -, 34.3% elo% vs. random_no_suicide, avg. reward: -13.100, 1.163 sec/game, 1.1 min. total, 439.5 MB
streak_dipper v3 66 games, 47843 moves, e=0.953, loss: 10.1, -, 32.9% elo% vs. random_no_suicide, avg. reward: -13.093, 1.180 sec/game, 1.1 min. total, 439.2 MB
streak_dipper v3 67 games, 48524 moves, e=0.952, loss: 9.4, -, 31.6% elo% vs. random_no_suicide, avg. reward: -13.105, 1.209 sec/game, 1.2 min. total, 439.1 MB
streak_dipper v3 68 games, 49096 moves, e=0.951, loss: 9.5, -, 30.3% elo% vs. random_no_suicide, avg. reward: -13.155, 1.200 sec/game, 1.2 min. total, 439.3 MB
streak_dipper v3 69 games, 49856 moves, e=0.951, loss: 9.7, -, 29.2% elo% vs. random_no_suicide, avg. reward: -13.147, 1.217 sec/game, 1.2 min. total, 438.3 MB
streak_dipper v3 70 games, 50516 moves, e=0.950, loss: 9.8, -, 28.1% elo% vs. random_no_suicide, avg. reward: -13.165, 1.226 sec/game, 1.2 min. total, 438.2 MB
streak_dipper v3 71 games, 51210 moves, e=0.949, loss: 9.1, +, 30.8% elo% vs. random_no_suicide, avg. reward: -13.164, 1.226 sec/game, 1.2 min. total, 440.1 MB
streak_dipper v3 72 games, 51860 moves, e=0.949, loss: 9.2, -, 29.6% elo% vs. random_no_suicide, avg. reward: -13.178, 1.215 sec/game, 1.3 min. total, 439.3 MB
streak_dipper v3 73 games, 52624 moves, e=0.948, loss: 9.3, -, 28.5% elo% vs. random_no_suicide, avg. reward: -13.167, 1.191 sec/game, 1.3 min. total, 439.5 MB
streak_dipper v3 74 games, 53375 moves, e=0.947, loss: 9.5, -, 27.4% elo% vs. random_no_suicide, avg. reward: -13.154, 1.193 sec/game, 1.3 min. total, 438.7 MB
streak_dipper v3 75 games, 54009 moves, e=0.947, loss: 9.7, -, 26.5% elo% vs. random_no_suicide, avg. reward: -13.166, 1.180 sec/game, 1.3 min. total, 438.8 MB
streak_dipper v3 76 games, 54679 moves, e=0.946, loss: 9.1, -, 25.5% elo% vs. random_no_suicide, avg. reward: -13.182, 1.197 sec/game, 1.3 min. total, 438.4 MB
streak_dipper v3 77 games, 55425 moves, e=0.945, loss: 9.2, -, 24.6% elo% vs. random_no_suicide, avg. reward: -13.174, 1.189 sec/game, 1.4 min. total, 439.0 MB
streak_dipper v3 78 games, 56210 moves, e=0.944, loss: 8.6, -, 23.8% elo% vs. random_no_suicide, avg. reward: -13.157, 1.180 sec/game, 1.4 min. total, 440.2 MB
streak_dipper v3 79 games, 56898 moves, e=0.944, loss: 8.9, -, 23.0% elo% vs. random_no_suicide, avg. reward: -13.159, 1.177 sec/game, 1.4 min. total, 438.7 MB
streak_dipper v3 80 games, 57575 moves, e=0.943, loss: 8.8, -, 22.3% elo% vs. random_no_suicide, avg. reward: -13.166, 1.192 sec/game, 1.4 min. total, 439.3 MB
streak_dipper v3 81 games, 58261 moves, e=0.942, loss: 9.4, -, 21.6% elo% vs. random_no_suicide, avg. reward: -13.169, 1.213 sec/game, 1.4 min. total, 440.6 MB
streak_dipper v3 82 games, 58952 moves, e=0.942, loss: 9.7, -, 20.9% elo% vs. random_no_suicide, avg. reward: -13.174, 1.207 sec/game, 1.5 min. total, 441.3 MB
streak_dipper v3 83 games, 59858 moves, e=0.941, loss: 9.3, -, 20.3% elo% vs. random_no_suicide, avg. reward: -13.142, 1.212 sec/game, 1.5 min. total, 439.9 MB
streak_dipper v3 84 games, 60588 moves, e=0.940, loss: 9.0, ., 21.2% elo% vs. random_no_suicide, avg. reward: -13.138, 1.218 sec/game, 1.5 min. total, 439.9 MB
streak_dipper v3 85 games, 61290 moves, e=0.939, loss: 9.4, +, 23.7% elo% vs. random_no_suicide, avg. reward: -13.143, 1.218 sec/game, 1.5 min. total, 441.4 MB
streak_dipper v3 86 games, 62006 moves, e=0.939, loss: 9.5, +, 26.3% elo% vs. random_no_suicide, avg. reward: -13.140, 1.219 sec/game, 1.5 min. total, 440.0 MB
streak_dipper v3 87 games, 62746 moves, e=0.938, loss: 9.4, -, 25.4% elo% vs. random_no_suicide, avg. reward: -13.131, 1.188 sec/game, 1.6 min. total, 441.9 MB
streak_dipper v3 88 games, 63506 moves, e=0.937, loss: 9.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: -13.122, 1.193 sec/game, 1.6 min. total, 442.8 MB
streak_dipper v3 89 games, 64330 moves, e=0.936, loss: 9.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: -13.103, 1.180 sec/game, 1.6 min. total, 442.4 MB
streak_dipper v3 90 games, 65049 moves, e=0.936, loss: 9.1, ., 24.6% elo% vs. random_no_suicide, avg. reward: -13.102, 1.185 sec/game, 1.6 min. total, 440.6 MB
streak_dipper v3 91 games, 65842 moves, e=0.935, loss: 9.3, -, 23.8% elo% vs. random_no_suicide, avg. reward: -13.088, 1.184 sec/game, 1.6 min. total, 443.0 MB
streak_dipper v3 92 games, 66686 moves, e=0.934, loss: 9.4, +, 26.4% elo% vs. random_no_suicide, avg. reward: -13.065, 1.195 sec/game, 1.7 min. total, 440.7 MB
streak_dipper v3 93 games, 67347 moves, e=0.933, loss: 9.0, -, 25.5% elo% vs. random_no_suicide, avg. reward: -13.080, 1.194 sec/game, 1.7 min. total, 441.2 MB
streak_dipper v3 94 games, 68021 moves, e=0.933, loss: 8.9, -, 24.6% elo% vs. random_no_suicide, avg. reward: -13.089, 1.193 sec/game, 1.7 min. total, 441.6 MB
streak_dipper v3 95 games, 68731 moves, e=0.932, loss: 8.4, -, 23.8% elo% vs. random_no_suicide, avg. reward: -13.089, 1.205 sec/game, 1.7 min. total, 442.4 MB
streak_dipper v3 96 games, 69526 moves, e=0.931, loss: 8.8, -, 23.0% elo% vs. random_no_suicide, avg. reward: -13.074, 1.240 sec/game, 1.7 min. total, 442.0 MB
streak_dipper v3 97 games, 70384 moves, e=0.930, loss: 8.5, +, 25.6% elo% vs. random_no_suicide, avg. reward: -13.047, 1.280 sec/game, 1.8 min. total, 443.5 MB
streak_dipper v3 98 games, 71166 moves, e=0.930, loss: 8.3, -, 24.7% elo% vs. random_no_suicide, avg. reward: -13.036, 1.334 sec/game, 1.8 min. total, 442.7 MB
streak_dipper v3 99 games, 71951 moves, e=0.929, loss: 7.9, -, 23.9% elo% vs. random_no_suicide, avg. reward: -13.027, 1.356 sec/game, 1.8 min. total, 443.8 MB
streak_dipper v3 100 games, 72702 moves, e=0.928, loss: 8.2, -, 23.1% elo% vs. random_no_suicide, avg. reward: -13.020, 1.342 sec/game, 1.9 min. total, 444.7 MB
streak_dipper v4 101 games, 73340 moves, e=0.927, loss: 8.3, +, 52.3% elo% vs. random_no_suicide, avg. reward: -13.035, 1.305 sec/game, 1.9 min. total, 442.6 MB
streak_dipper v4 102 games, 74007 moves, e=0.927, loss: 8.5, -, 49.9% elo% vs. random_no_suicide, avg. reward: -13.053, 1.314 sec/game, 1.9 min. total, 443.2 MB
streak_dipper v4 103 games, 74841 moves, e=0.926, loss: 8.4, ., 49.9% elo% vs. random_no_suicide, avg. reward: -13.015, 1.308 sec/game, 1.9 min. total, 444.1 MB
streak_dipper v4 104 games, 75493 moves, e=0.925, loss: 8.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -13.032, 1.307 sec/game, 1.9 min. total, 444.4 MB
streak_dipper v4 105 games, 76300 moves, e=0.924, loss: 8.3, -, 45.4% elo% vs. random_no_suicide, avg. reward: -13.009, 1.331 sec/game, 2.0 min. total, 442.7 MB
streak_dipper v4 106 games, 77073 moves, e=0.924, loss: 8.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: -12.993, 1.322 sec/game, 2.0 min. total, 446.1 MB
streak_dipper v4 107 games, 77710 moves, e=0.923, loss: 7.9, -, 41.4% elo% vs. random_no_suicide, avg. reward: -13.014, 1.318 sec/game, 2.0 min. total, 447.0 MB
streak_dipper v4 108 games, 78467 moves, e=0.922, loss: 7.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: -12.993, 1.318 sec/game, 2.0 min. total, 446.6 MB
streak_dipper v4 109 games, 79189 moves, e=0.922, loss: 7.8, -, 37.8% elo% vs. random_no_suicide, avg. reward: -12.955, 1.312 sec/game, 2.0 min. total, 446.6 MB
streak_dipper v4 110 games, 79861 moves, e=0.921, loss: 7.8, +, 40.6% elo% vs. random_no_suicide, avg. reward: -12.955, 1.299 sec/game, 2.1 min. total, 446.7 MB
streak_dipper v4 111 games, 80663 moves, e=0.920, loss: 8.8, +, 43.2% elo% vs. random_no_suicide, avg. reward: -12.925, 1.308 sec/game, 2.1 min. total, 445.2 MB
