streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v6 294 games, 226668 moves, e=0.776, loss: 10.3, -, 18.5% elo% vs. simple_bot, avg. reward: -11.179, 1.373 sec/game, 6.1 min. total, 488.6 MB
streak_dipper v6 295 games, 227442 moves, e=0.775, loss: 10.3, -, 18.0% elo% vs. simple_bot, avg. reward: -11.178, 1.376 sec/game, 6.1 min. total, 488.8 MB
streak_dipper v6 296 games, 228192 moves, e=0.774, loss: 10.0, -, 17.5% elo% vs. simple_bot, avg. reward: -11.187, 1.387 sec/game, 6.1 min. total, 488.4 MB
streak_dipper v6 297 games, 229038 moves, e=0.773, loss: 10.3, -, 17.1% elo% vs. simple_bot, avg. reward: -11.183, 1.392 sec/game, 6.2 min. total, 487.2 MB
streak_dipper v6 298 games, 229915 moves, e=0.772, loss: 9.8, -, 16.6% elo% vs. simple_bot, avg. reward: -11.173, 1.394 sec/game, 6.2 min. total, 489.2 MB
streak_dipper v6 299 games, 230894 moves, e=0.771, loss: 10.5, -, 16.2% elo% vs. simple_bot, avg. reward: -11.154, 1.406 sec/game, 6.2 min. total, 487.1 MB
streak_dipper v6 300 games, 231845 moves, e=0.770, loss: 9.9, -, 15.8% elo% vs. simple_bot, avg. reward: -11.146, 1.427 sec/game, 6.2 min. total, 489.2 MB
streak_dipper v7 301 games, 232751 moves, e=0.770, loss: 10.1, -, 47.7% elo% vs. simple_bot, avg. reward: -11.139, 1.442 sec/game, 6.3 min. total, 488.2 MB
streak_dipper v7 302 games, 233637 moves, e=0.769, loss: 9.5, -, 45.5% elo% vs. simple_bot, avg. reward: -11.127, 1.451 sec/game, 6.3 min. total, 488.9 MB
streak_dipper v7 303 games, 234496 moves, e=0.768, loss: 10.1, -, 43.4% elo% vs. simple_bot, avg. reward: -11.107, 1.429 sec/game, 6.3 min. total, 488.8 MB
streak_dipper v7 304 games, 235386 moves, e=0.767, loss: 9.5, -, 41.5% elo% vs. simple_bot, avg. reward: -11.080, 1.431 sec/game, 6.3 min. total, 489.6 MB
streak_dipper v7 305 games, 236139 moves, e=0.766, loss: 9.1, -, 39.6% elo% vs. simple_bot, avg. reward: -11.084, 1.428 sec/game, 6.3 min. total, 490.6 MB
streak_dipper v7 306 games, 237035 moves, e=0.765, loss: 8.8, -, 37.9% elo% vs. simple_bot, avg. reward: -11.067, 1.427 sec/game, 6.4 min. total, 490.3 MB
streak_dipper v7 307 games, 237824 moves, e=0.765, loss: 9.5, -, 36.3% elo% vs. simple_bot, avg. reward: -11.083, 1.427 sec/game, 6.4 min. total, 489.0 MB
streak_dipper v7 308 games, 238533 moves, e=0.764, loss: 9.5, -, 34.8% elo% vs. simple_bot, avg. reward: -11.095, 1.420 sec/game, 6.4 min. total, 490.6 MB
streak_dipper v7 309 games, 239432 moves, e=0.763, loss: 8.5, -, 33.3% elo% vs. simple_bot, avg. reward: -11.086, 1.415 sec/game, 6.4 min. total, 492.3 MB
streak_dipper v7 310 games, 240290 moves, e=0.762, loss: 9.5, -, 32.0% elo% vs. simple_bot, avg. reward: -11.066, 1.388 sec/game, 6.5 min. total, 492.4 MB
streak_dipper v7 311 games, 241124 moves, e=0.761, loss: 9.4, -, 30.7% elo% vs. simple_bot, avg. reward: -11.058, 1.370 sec/game, 6.5 min. total, 492.4 MB
streak_dipper v7 312 games, 242109 moves, e=0.760, loss: 9.2, -, 29.5% elo% vs. simple_bot, avg. reward: -11.022, 1.380 sec/game, 6.5 min. total, 491.8 MB
streak_dipper v7 313 games, 243027 moves, e=0.759, loss: 9.5, -, 28.4% elo% vs. simple_bot, avg. reward: -10.985, 1.390 sec/game, 6.5 min. total, 492.0 MB
streak_dipper v7 314 games, 243952 moves, e=0.758, loss: 9.2, -, 27.3% elo% vs. simple_bot, avg. reward: -10.978, 1.408 sec/game, 6.6 min. total, 493.3 MB
streak_dipper v7 315 games, 244833 moves, e=0.758, loss: 9.1, -, 26.4% elo% vs. simple_bot, avg. reward: -10.962, 1.419 sec/game, 6.6 min. total, 493.3 MB
streak_dipper v7 316 games, 245783 moves, e=0.757, loss: 9.7, -, 25.4% elo% vs. simple_bot, avg. reward: -10.946, 1.437 sec/game, 6.6 min. total, 494.3 MB
streak_dipper v7 317 games, 246606 moves, e=0.756, loss: 9.1, -, 24.5% elo% vs. simple_bot, avg. reward: -10.946, 1.428 sec/game, 6.6 min. total, 493.6 MB
streak_dipper v7 318 games, 247566 moves, e=0.755, loss: 9.0, -, 23.7% elo% vs. simple_bot, avg. reward: -10.926, 1.445 sec/game, 6.7 min. total, 493.3 MB
streak_dipper v7 319 games, 248458 moves, e=0.754, loss: 9.6, -, 22.9% elo% vs. simple_bot, avg. reward: -10.903, 1.440 sec/game, 6.7 min. total, 492.9 MB
streak_dipper v7 320 games, 249393 moves, e=0.753, loss: 9.3, -, 22.2% elo% vs. simple_bot, avg. reward: -10.868, 1.435 sec/game, 6.7 min. total, 493.8 MB
streak_dipper v7 321 games, 250337 moves, e=0.752, loss: 8.6, -, 21.5% elo% vs. simple_bot, avg. reward: -10.846, 1.435 sec/game, 6.7 min. total, 493.4 MB
streak_dipper v7 322 games, 251234 moves, e=0.751, loss: 8.8, -, 20.8% elo% vs. simple_bot, avg. reward: -10.818, 1.436 sec/game, 6.8 min. total, 492.4 MB
streak_dipper v7 323 games, 252057 moves, e=0.750, loss: 9.4, -, 20.2% elo% vs. simple_bot, avg. reward: -10.812, 1.438 sec/game, 6.8 min. total, 493.9 MB
streak_dipper v7 324 games, 253011 moves, e=0.750, loss: 9.6, -, 19.6% elo% vs. simple_bot, avg. reward: -10.805, 1.443 sec/game, 6.8 min. total, 493.9 MB
streak_dipper v7 325 games, 254020 moves, e=0.749, loss: 9.3, -, 19.1% elo% vs. simple_bot, avg. reward: -10.761, 1.457 sec/game, 6.8 min. total, 495.0 MB
streak_dipper v7 326 games, 254797 moves, e=0.748, loss: 9.9, -, 18.5% elo% vs. simple_bot, avg. reward: -10.748, 1.445 sec/game, 6.9 min. total, 494.1 MB
streak_dipper v7 327 games, 255676 moves, e=0.747, loss: 9.2, -, 18.0% elo% vs. simple_bot, avg. reward: -10.711, 1.444 sec/game, 6.9 min. total, 496.5 MB
streak_dipper v7 328 games, 256662 moves, e=0.746, loss: 8.5, -, 17.5% elo% vs. simple_bot, avg. reward: -10.684, 1.470 sec/game, 6.9 min. total, 496.7 MB
streak_dipper v7 329 games, 257513 moves, e=0.745, loss: 8.9, -, 17.1% elo% vs. simple_bot, avg. reward: -10.689, 1.465 sec/game, 6.9 min. total, 496.6 MB
streak_dipper v7 330 games, 258475 moves, e=0.744, loss: 9.3, -, 16.6% elo% vs. simple_bot, avg. reward: -10.680, 1.468 sec/game, 7.0 min. total, 496.6 MB
streak_dipper v7 331 games, 259309 moves, e=0.743, loss: 9.7, -, 16.2% elo% vs. simple_bot, avg. reward: -10.680, 1.465 sec/game, 7.0 min. total, 495.8 MB
streak_dipper v7 332 games, 260217 moves, e=0.742, loss: 9.2, -, 15.8% elo% vs. simple_bot, avg. reward: -10.660, 1.455 sec/game, 7.0 min. total, 497.4 MB
streak_dipper v7 333 games, 261097 moves, e=0.742, loss: 9.6, -, 15.4% elo% vs. simple_bot, avg. reward: -10.649, 1.455 sec/game, 7.0 min. total, 494.6 MB
streak_dipper v7 334 games, 262130 moves, e=0.740, loss: 9.2, -, 15.1% elo% vs. simple_bot, avg. reward: -10.613, 1.463 sec/game, 7.0 min. total, 495.3 MB
streak_dipper v7 335 games, 262938 moves, e=0.740, loss: 9.2, -, 14.7% elo% vs. simple_bot, avg. reward: -10.586, 1.485 sec/game, 7.1 min. total, 496.0 MB
streak_dipper v7 336 games, 263776 moves, e=0.739, loss: 9.4, -, 14.4% elo% vs. simple_bot, avg. reward: -10.601, 1.476 sec/game, 7.1 min. total, 496.3 MB
streak_dipper v7 337 games, 264732 moves, e=0.738, loss: 9.6, -, 14.0% elo% vs. simple_bot, avg. reward: -10.586, 1.499 sec/game, 7.1 min. total, 494.9 MB
streak_dipper v7 338 games, 265611 moves, e=0.737, loss: 10.0, -, 13.7% elo% vs. simple_bot, avg. reward: -10.590, 1.498 sec/game, 7.2 min. total, 496.3 MB
streak_dipper v7 339 games, 266650 moves, e=0.736, loss: 9.9, -, 13.4% elo% vs. simple_bot, avg. reward: -10.572, 1.535 sec/game, 7.2 min. total, 497.5 MB
streak_dipper v7 340 games, 267566 moves, e=0.735, loss: 9.2, -, 13.1% elo% vs. simple_bot, avg. reward: -10.564, 1.537 sec/game, 7.2 min. total, 498.2 MB
streak_dipper v7 341 games, 268563 moves, e=0.734, loss: 9.3, -, 12.9% elo% vs. simple_bot, avg. reward: -10.555, 1.545 sec/game, 7.3 min. total, 498.0 MB
streak_dipper v7 342 games, 269507 moves, e=0.733, loss: 10.2, -, 12.6% elo% vs. simple_bot, avg. reward: -10.532, 1.546 sec/game, 7.3 min. total, 498.0 MB
streak_dipper v7 343 games, 270232 moves, e=0.732, loss: 9.7, -, 12.4% elo% vs. simple_bot, avg. reward: -10.554, 1.538 sec/game, 7.3 min. total, 498.2 MB
streak_dipper v7 344 games, 271102 moves, e=0.732, loss: 9.4, -, 12.1% elo% vs. simple_bot, avg. reward: -10.559, 1.530 sec/game, 7.3 min. total, 499.5 MB
streak_dipper v7 345 games, 272003 moves, e=0.731, loss: 9.9, -, 11.9% elo% vs. simple_bot, avg. reward: -10.543, 1.531 sec/game, 7.3 min. total, 498.6 MB
streak_dipper v7 346 games, 272870 moves, e=0.730, loss: 9.2, -, 11.7% elo% vs. simple_bot, avg. reward: -10.533, 1.536 sec/game, 7.4 min. total, 498.9 MB
streak_dipper v7 347 games, 273848 moves, e=0.729, loss: 8.5, -, 11.4% elo% vs. simple_bot, avg. reward: -10.516, 1.544 sec/game, 7.4 min. total, 498.4 MB
streak_dipper v7 348 games, 274799 moves, e=0.728, loss: 9.0, -, 11.2% elo% vs. simple_bot, avg. reward: -10.490, 1.542 sec/game, 7.4 min. total, 500.2 MB
streak_dipper v7 349 games, 275573 moves, e=0.727, loss: 9.4, -, 11.0% elo% vs. simple_bot, avg. reward: -10.502, 1.536 sec/game, 7.4 min. total, 500.6 MB
streak_dipper v7 350 games, 276365 moves, e=0.726, loss: 9.9, -, 10.8% elo% vs. simple_bot, avg. reward: -10.507, 1.534 sec/game, 7.5 min. total, 502.9 MB
streak_dipper v7 351 games, 277232 moves, e=0.726, loss: 11.0, -, 10.6% elo% vs. simple_bot, avg. reward: -10.496, 1.535 sec/game, 7.5 min. total, 502.6 MB
streak_dipper v7 352 games, 278210 moves, e=0.725, loss: 11.4, -, 10.4% elo% vs. simple_bot, avg. reward: -10.468, 1.545 sec/game, 7.5 min. total, 500.8 MB
streak_dipper v7 353 games, 279100 moves, e=0.724, loss: 10.3, -, 10.3% elo% vs. simple_bot, avg. reward: -10.485, 1.544 sec/game, 7.5 min. total, 502.2 MB
streak_dipper v7 354 games, 280136 moves, e=0.723, loss: 9.8, -, 10.1% elo% vs. simple_bot, avg. reward: -10.457, 1.545 sec/game, 7.6 min. total, 501.6 MB
streak_dipper v7 355 games, 281029 moves, e=0.722, loss: 9.7, -, 9.9% elo% vs. simple_bot, avg. reward: -10.452, 1.526 sec/game, 7.6 min. total, 503.3 MB
streak_dipper v7 356 games, 282045 moves, e=0.721, loss: 9.6, -, 9.8% elo% vs. simple_bot, avg. reward: -10.400, 1.537 sec/game, 7.6 min. total, 504.3 MB
streak_dipper v7 357 games, 282935 moves, e=0.720, loss: 9.4, -, 9.6% elo% vs. simple_bot, avg. reward: -10.395, 1.524 sec/game, 7.6 min. total, 502.1 MB
streak_dipper v7 358 games, 283962 moves, e=0.719, loss: 9.4, -, 9.5% elo% vs. simple_bot, avg. reward: -10.370, 1.516 sec/game, 7.7 min. total, 504.5 MB
streak_dipper v7 359 games, 284903 moves, e=0.718, loss: 9.1, -, 9.3% elo% vs. simple_bot, avg. reward: -10.349, 1.479 sec/game, 7.7 min. total, 503.7 MB
streak_dipper v7 360 games, 285848 moves, e=0.717, loss: 9.4, -, 9.2% elo% vs. simple_bot, avg. reward: -10.350, 1.480 sec/game, 7.7 min. total, 503.9 MB
streak_dipper v7 361 games, 286716 moves, e=0.716, loss: 9.1, -, 9.0% elo% vs. simple_bot, avg. reward: -10.342, 1.464 sec/game, 7.7 min. total, 504.5 MB
streak_dipper v7 362 games, 287738 moves, e=0.715, loss: 8.8, -, 8.9% elo% vs. simple_bot, avg. reward: -10.324, 1.473 sec/game, 7.8 min. total, 504.9 MB
streak_dipper v7 363 games, 288707 moves, e=0.714, loss: 8.7, -, 8.8% elo% vs. simple_bot, avg. reward: -10.304, 1.488 sec/game, 7.8 min. total, 503.4 MB
streak_dipper v7 364 games, 289675 moves, e=0.713, loss: 10.2, -, 8.6% elo% vs. simple_bot, avg. reward: -10.295, 1.505 sec/game, 7.8 min. total, 505.9 MB
streak_dipper v7 365 games, 290612 moves, e=0.712, loss: 10.2, -, 8.5% elo% vs. simple_bot, avg. reward: -10.280, 1.498 sec/game, 7.8 min. total, 506.9 MB
streak_dipper v7 366 games, 291335 moves, e=0.712, loss: 10.5, -, 8.4% elo% vs. simple_bot, avg. reward: -10.292, 1.500 sec/game, 7.9 min. total, 507.2 MB
streak_dipper v7 367 games, 292205 moves, e=0.711, loss: 10.8, -, 8.3% elo% vs. simple_bot, avg. reward: -10.297, 1.485 sec/game, 7.9 min. total, 505.4 MB
streak_dipper v7 368 games, 293133 moves, e=0.710, loss: 10.0, -, 8.1% elo% vs. simple_bot, avg. reward: -10.289, 1.487 sec/game, 7.9 min. total, 505.9 MB
streak_dipper v7 369 games, 293949 moves, e=0.709, loss: 9.4, -, 8.0% elo% vs. simple_bot, avg. reward: -10.303, 1.490 sec/game, 7.9 min. total, 505.9 MB
streak_dipper v7 370 games, 294884 moves, e=0.708, loss: 10.3, -, 7.9% elo% vs. simple_bot, avg. reward: -10.304, 1.492 sec/game, 8.0 min. total, 506.9 MB
streak_dipper v7 371 games, 295823 moves, e=0.707, loss: 10.0, -, 7.8% elo% vs. simple_bot, avg. reward: -10.293, 1.508 sec/game, 8.0 min. total, 507.2 MB
streak_dipper v7 372 games, 296602 moves, e=0.706, loss: 11.0, -, 7.7% elo% vs. simple_bot, avg. reward: -10.291, 1.495 sec/game, 8.0 min. total, 507.3 MB
streak_dipper v7 373 games, 297503 moves, e=0.705, loss: 11.2, -, 7.6% elo% vs. simple_bot, avg. reward: -10.307, 1.496 sec/game, 8.0 min. total, 506.0 MB
streak_dipper v7 374 games, 298338 moves, e=0.705, loss: 10.9, -, 7.5% elo% vs. simple_bot, avg. reward: -10.310, 1.479 sec/game, 8.1 min. total, 505.8 MB
streak_dipper v7 375 games, 299312 moves, e=0.704, loss: 10.7, -, 7.4% elo% vs. simple_bot, avg. reward: -10.281, 1.483 sec/game, 8.1 min. total, 507.2 MB
streak_dipper v7 376 games, 300036 moves, e=0.703, loss: 11.6, -, 7.3% elo% vs. simple_bot, avg. reward: -10.277, 1.464 sec/game, 8.1 min. total, 505.9 MB
streak_dipper v7 377 games, 300961 moves, e=0.702, loss: 10.3, -, 7.2% elo% vs. simple_bot, avg. reward: -10.262, 1.464 sec/game, 8.1 min. total, 506.4 MB
streak_dipper v7 378 games, 301876 moves, e=0.701, loss: 10.9, -, 7.2% elo% vs. simple_bot, avg. reward: -10.254, 1.459 sec/game, 8.2 min. total, 507.7 MB
streak_dipper v7 379 games, 302680 moves, e=0.700, loss: 10.6, -, 7.1% elo% vs. simple_bot, avg. reward: -10.263, 1.451 sec/game, 8.2 min. total, 507.3 MB
streak_dipper v7 380 games, 303485 moves, e=0.700, loss: 11.2, -, 7.0% elo% vs. simple_bot, avg. reward: -10.261, 1.434 sec/game, 8.2 min. total, 507.4 MB
streak_dipper v7 381 games, 304404 moves, e=0.699, loss: 11.6, -, 6.9% elo% vs. simple_bot, avg. reward: -10.236, 1.452 sec/game, 8.2 min. total, 508.9 MB
streak_dipper v7 382 games, 305257 moves, e=0.698, loss: 11.2, -, 6.8% elo% vs. simple_bot, avg. reward: -10.224, 1.441 sec/game, 8.2 min. total, 509.1 MB
streak_dipper v7 383 games, 306174 moves, e=0.697, loss: 10.8, -, 6.7% elo% vs. simple_bot, avg. reward: -10.235, 1.438 sec/game, 8.3 min. total, 509.0 MB
streak_dipper v7 384 games, 307093 moves, e=0.696, loss: 9.7, -, 6.7% elo% vs. simple_bot, avg. reward: -10.213, 1.442 sec/game, 8.3 min. total, 510.8 MB
streak_dipper v7 385 games, 308005 moves, e=0.695, loss: 10.2, -, 6.6% elo% vs. simple_bot, avg. reward: -10.201, 1.440 sec/game, 8.3 min. total, 510.0 MB
streak_dipper v7 386 games, 308931 moves, e=0.694, loss: 10.7, -, 6.5% elo% vs. simple_bot, avg. reward: -10.190, 1.444 sec/game, 8.3 min. total, 509.4 MB
streak_dipper v7 387 games, 309802 moves, e=0.693, loss: 10.0, -, 6.4% elo% vs. simple_bot, avg. reward: -10.187, 1.454 sec/game, 8.4 min. total, 509.4 MB
streak_dipper v7 388 games, 310599 moves, e=0.693, loss: 9.8, -, 6.4% elo% vs. simple_bot, avg. reward: -10.173, 1.438 sec/game, 8.4 min. total, 509.4 MB
streak_dipper v7 389 games, 311592 moves, e=0.692, loss: 10.2, -, 6.3% elo% vs. simple_bot, avg. reward: -10.172, 1.457 sec/game, 8.4 min. total, 511.4 MB
streak_dipper v7 390 games, 312455 moves, e=0.691, loss: 10.0, -, 6.2% elo% vs. simple_bot, avg. reward: -10.187, 1.449 sec/game, 8.4 min. total, 510.7 MB
streak_dipper v7 391 games, 313464 moves, e=0.690, loss: 9.8, -, 6.2% elo% vs. simple_bot, avg. reward: -10.174, 1.448 sec/game, 8.5 min. total, 512.4 MB
streak_dipper v7 392 games, 314428 moves, e=0.689, loss: 10.0, -, 6.1% elo% vs. simple_bot, avg. reward: -10.162, 1.464 sec/game, 8.5 min. total, 512.1 MB
streak_dipper v7 393 games, 315357 moves, e=0.688, loss: 10.4, -, 6.0% elo% vs. simple_bot, avg. reward: -10.136, 1.466 sec/game, 8.5 min. total, 512.1 MB
streak_dipper v7 394 games, 316166 moves, e=0.687, loss: 10.4, -, 6.0% elo% vs. simple_bot, avg. reward: -10.125, 1.474 sec/game, 8.5 min. total, 512.2 MB
streak_dipper v7 395 games, 317047 moves, e=0.686, loss: 10.5, -, 5.9% elo% vs. simple_bot, avg. reward: -10.107, 1.458 sec/game, 8.6 min. total, 511.4 MB
streak_dipper v7 396 games, 318215 moves, e=0.685, loss: 10.7, -, 5.8% elo% vs. simple_bot, avg. reward: -10.053, 1.493 sec/game, 8.6 min. total, 511.8 MB
streak_dipper v7 397 games, 319035 moves, e=0.684, loss: 10.1, -, 5.8% elo% vs. simple_bot, avg. reward: -10.055, 1.487 sec/game, 8.6 min. total, 513.3 MB
streak_dipper v7 398 games, 320093 moves, e=0.683, loss: 10.5, -, 5.7% elo% vs. simple_bot, avg. reward: -10.031, 1.506 sec/game, 8.7 min. total, 511.4 MB
streak_dipper v7 399 games, 321018 moves, e=0.682, loss: 10.3, -, 5.7% elo% vs. simple_bot, avg. reward: -10.031, 1.516 sec/game, 8.7 min. total, 512.0 MB
streak_dipper v7 400 games, 321944 moves, e=0.681, loss: 10.0, -, 5.6% elo% vs. simple_bot, avg. reward: -10.034, 1.535 sec/game, 8.7 min. total, 513.6 MB
streak_dipper v8 401 games, 322760 moves, e=0.680, loss: 10.5, -, 47.7% elo% vs. simple_bot, avg. reward: -10.042, 1.516 sec/game, 8.7 min. total, 511.9 MB
streak_dipper v8 402 games, 323707 moves, e=0.680, loss: 10.4, -, 45.5% elo% vs. simple_bot, avg. reward: -10.030, 1.520 sec/game, 8.8 min. total, 513.2 MB
streak_dipper v8 403 games, 324583 moves, e=0.679, loss: 10.4, -, 43.4% elo% vs. simple_bot, avg. reward: -10.030, 1.517 sec/game, 8.8 min. total, 512.8 MB
streak_dipper v8 404 games, 325508 moves, e=0.678, loss: 10.8, -, 41.5% elo% vs. simple_bot, avg. reward: -10.026, 1.514 sec/game, 8.8 min. total, 514.8 MB
streak_dipper v8 405 games, 326372 moves, e=0.677, loss: 10.1, -, 39.6% elo% vs. simple_bot, avg. reward: -10.005, 1.506 sec/game, 8.8 min. total, 515.2 MB
streak_dipper v8 406 games, 327267 moves, e=0.676, loss: 10.1, -, 37.9% elo% vs. simple_bot, avg. reward: -9.994, 1.508 sec/game, 8.9 min. total, 513.9 MB
streak_dipper v8 407 games, 328157 moves, e=0.675, loss: 10.3, -, 36.3% elo% vs. simple_bot, avg. reward: -9.976, 1.506 sec/game, 8.9 min. total, 515.9 MB
streak_dipper v8 408 games, 329130 moves, e=0.674, loss: 9.4, -, 34.8% elo% vs. simple_bot, avg. reward: -9.935, 1.524 sec/game, 8.9 min. total, 514.8 MB
streak_dipper v8 409 games, 330169 moves, e=0.673, loss: 10.0, -, 33.3% elo% vs. simple_bot, avg. reward: -9.914, 1.521 sec/game, 8.9 min. total, 516.7 MB
streak_dipper v8 410 games, 331219 moves, e=0.672, loss: 10.5, -, 32.0% elo% vs. simple_bot, avg. reward: -9.886, 1.533 sec/game, 9.0 min. total, 515.9 MB
streak_dipper v8 411 games, 332128 moves, e=0.671, loss: 10.9, -, 30.7% elo% vs. simple_bot, avg. reward: -9.869, 1.529 sec/game, 9.0 min. total, 515.2 MB
streak_dipper v8 412 games, 333117 moves, e=0.670, loss: 11.3, -, 29.5% elo% vs. simple_bot, avg. reward: -9.873, 1.542 sec/game, 9.0 min. total, 516.5 MB
streak_dipper v8 413 games, 333971 moves, e=0.669, loss: 11.0, -, 28.4% elo% vs. simple_bot, avg. reward: -9.875, 1.546 sec/game, 9.0 min. total, 516.9 MB
streak_dipper v8 414 games, 335022 moves, e=0.668, loss: 9.7, -, 27.3% elo% vs. simple_bot, avg. reward: -9.860, 1.560 sec/game, 9.1 min. total, 515.7 MB
streak_dipper v8 415 games, 335867 moves, e=0.667, loss: 9.3, -, 26.4% elo% vs. simple_bot, avg. reward: -9.866, 1.560 sec/game, 9.1 min. total, 516.7 MB
streak_dipper v8 416 games, 336700 moves, e=0.667, loss: 10.0, -, 25.4% elo% vs. simple_bot, avg. reward: -9.871, 1.534 sec/game, 9.1 min. total, 516.7 MB
streak_dipper v8 417 games, 337646 moves, e=0.666, loss: 10.3, -, 24.5% elo% vs. simple_bot, avg. reward: -9.850, 1.540 sec/game, 9.1 min. total, 518.2 MB
streak_dipper v8 418 games, 338638 moves, e=0.665, loss: 10.7, -, 23.7% elo% vs. simple_bot, avg. reward: -9.845, 1.528 sec/game, 9.2 min. total, 518.9 MB
streak_dipper v8 419 games, 339553 moves, e=0.664, loss: 10.8, -, 22.9% elo% vs. simple_bot, avg. reward: -9.838, 1.529 sec/game, 9.2 min. total, 517.2 MB
streak_dipper v8 420 games, 340517 moves, e=0.663, loss: 10.4, -, 22.2% elo% vs. simple_bot, avg. reward: -9.826, 1.531 sec/game, 9.2 min. total, 518.5 MB
streak_dipper v8 421 games, 341461 moves, e=0.662, loss: 10.2, -, 21.5% elo% vs. simple_bot, avg. reward: -9.824, 1.540 sec/game, 9.2 min. total, 518.9 MB
streak_dipper v8 422 games, 342438 moves, e=0.661, loss: 10.2, -, 20.8% elo% vs. simple_bot, avg. reward: -9.806, 1.547 sec/game, 9.3 min. total, 518.2 MB
streak_dipper v8 423 games, 343264 moves, e=0.660, loss: 10.2, -, 20.2% elo% vs. simple_bot, avg. reward: -9.803, 1.538 sec/game, 9.3 min. total, 520.6 MB
streak_dipper v8 424 games, 344169 moves, e=0.659, loss: 10.2, -, 19.6% elo% vs. simple_bot, avg. reward: -9.803, 1.529 sec/game, 9.3 min. total, 519.7 MB
streak_dipper v8 425 games, 345091 moves, e=0.658, loss: 11.2, -, 19.1% elo% vs. simple_bot, avg. reward: -9.815, 1.546 sec/game, 9.3 min. total, 520.3 MB
streak_dipper v8 426 games, 345866 moves, e=0.658, loss: 12.2, -, 18.5% elo% vs. simple_bot, avg. reward: -9.814, 1.536 sec/game, 9.4 min. total, 520.4 MB
streak_dipper v8 427 games, 346798 moves, e=0.657, loss: 11.6, -, 18.0% elo% vs. simple_bot, avg. reward: -9.807, 1.539 sec/game, 9.4 min. total, 520.8 MB
streak_dipper v8 428 games, 347849 moves, e=0.656, loss: 11.7, -, 17.5% elo% vs. simple_bot, avg. reward: -9.797, 1.539 sec/game, 9.4 min. total, 520.8 MB
streak_dipper v8 429 games, 348794 moves, e=0.655, loss: 11.2, -, 17.1% elo% vs. simple_bot, avg. reward: -9.781, 1.531 sec/game, 9.4 min. total, 520.4 MB
streak_dipper v8 430 games, 349684 moves, e=0.654, loss: 10.9, -, 16.6% elo% vs. simple_bot, avg. reward: -9.788, 1.523 sec/game, 9.5 min. total, 520.4 MB
streak_dipper v8 431 games, 350559 moves, e=0.653, loss: 11.8, -, 16.2% elo% vs. simple_bot, avg. reward: -9.783, 1.521 sec/game, 9.5 min. total, 521.1 MB
streak_dipper v8 432 games, 351418 moves, e=0.652, loss: 11.7, -, 15.8% elo% vs. simple_bot, avg. reward: -9.785, 1.497 sec/game, 9.5 min. total, 522.7 MB
streak_dipper v8 433 games, 352388 moves, e=0.651, loss: 12.0, -, 15.4% elo% vs. simple_bot, avg. reward: -9.771, 1.501 sec/game, 9.5 min. total, 522.5 MB
streak_dipper v8 434 games, 353275 moves, e=0.650, loss: 11.6, -, 15.1% elo% vs. simple_bot, avg. reward: -9.790, 1.480 sec/game, 9.6 min. total, 522.5 MB
streak_dipper v8 435 games, 354094 moves, e=0.649, loss: 11.3, -, 14.7% elo% vs. simple_bot, avg. reward: -9.785, 1.489 sec/game, 9.6 min. total, 520.9 MB
streak_dipper v8 436 games, 355010 moves, e=0.649, loss: 11.7, -, 14.4% elo% vs. simple_bot, avg. reward: -9.766, 1.490 sec/game, 9.6 min. total, 521.4 MB
streak_dipper v8 437 games, 355881 moves, e=0.648, loss: 11.2, -, 14.0% elo% vs. simple_bot, avg. reward: -9.772, 1.490 sec/game, 9.6 min. total, 523.9 MB
streak_dipper v8 438 games, 356859 moves, e=0.647, loss: 11.3, -, 13.7% elo% vs. simple_bot, avg. reward: -9.755, 1.483 sec/game, 9.7 min. total, 522.5 MB
streak_dipper v8 439 games, 357774 moves, e=0.646, loss: 11.8, -, 13.4% elo% vs. simple_bot, avg. reward: -9.762, 1.491 sec/game, 9.7 min. total, 524.1 MB
streak_dipper v8 440 games, 358532 moves, e=0.645, loss: 11.2, -, 13.1% elo% vs. simple_bot, avg. reward: -9.786, 1.471 sec/game, 9.7 min. total, 522.9 MB
streak_dipper v8 441 games, 359533 moves, e=0.644, loss: 10.8, -, 12.9% elo% vs. simple_bot, avg. reward: -9.788, 1.474 sec/game, 9.7 min. total, 523.4 MB
streak_dipper v8 442 games, 360441 moves, e=0.643, loss: 11.3, -, 12.6% elo% vs. simple_bot, avg. reward: -9.799, 1.466 sec/game, 9.8 min. total, 523.3 MB
streak_dipper v8 443 games, 361423 moves, e=0.642, loss: 11.4, -, 12.4% elo% vs. simple_bot, avg. reward: -9.763, 1.481 sec/game, 9.8 min. total, 523.1 MB
streak_dipper v8 444 games, 362306 moves, e=0.641, loss: 11.7, -, 12.1% elo% vs. simple_bot, avg. reward: -9.753, 1.479 sec/game, 9.8 min. total, 523.2 MB
streak_dipper v8 445 games, 363235 moves, e=0.640, loss: 11.3, -, 11.9% elo% vs. simple_bot, avg. reward: -9.744, 1.472 sec/game, 9.8 min. total, 524.7 MB
