smelting_pointy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.6 MB
smelting_pointy v3 86 games, 63334 moves, e=0.937, loss: 1.1, -, 45.1% elo% vs. v2, avg. reward: 0.140, 2.164 sec/game, 2.5 min. total, 552.8 MB
smelting_pointy v3 87 games, 64072 moves, e=0.937, loss: 1.1, -, 43.1% elo% vs. v2, avg. reward: 0.141, 2.170 sec/game, 2.5 min. total, 541.8 MB
smelting_pointy v3 88 games, 64825 moves, e=0.936, loss: 1.1, ., 43.4% elo% vs. v2, avg. reward: 0.141, 2.173 sec/game, 2.5 min. total, 541.8 MB
smelting_pointy v3 89 games, 65566 moves, e=0.935, loss: 1.1, -, 41.5% elo% vs. v2, avg. reward: 0.142, 2.153 sec/game, 2.6 min. total, 541.9 MB
smelting_pointy v3 90 games, 66373 moves, e=0.934, loss: 1.0, +, 44.1% elo% vs. v2, avg. reward: 0.141, 2.155 sec/game, 2.6 min. total, 541.9 MB
smelting_pointy v3 91 games, 67149 moves, e=0.934, loss: 1.1, -, 42.1% elo% vs. v2, avg. reward: 0.141, 2.156 sec/game, 2.7 min. total, 541.7 MB
smelting_pointy v3 92 games, 67890 moves, e=0.933, loss: 1.1, -, 40.2% elo% vs. v2, avg. reward: 0.141, 2.154 sec/game, 2.7 min. total, 543.9 MB
smelting_pointy v3 93 games, 68592 moves, e=0.932, loss: 1.1, -, 38.5% elo% vs. v2, avg. reward: 0.141, 2.135 sec/game, 2.7 min. total, 544.0 MB
smelting_pointy v3 94 games, 69370 moves, e=0.931, loss: 1.1, -, 36.8% elo% vs. v2, avg. reward: 0.142, 2.122 sec/game, 2.8 min. total, 542.1 MB
smelting_pointy v3 95 games, 70125 moves, e=0.931, loss: 1.1, -, 35.2% elo% vs. v2, avg. reward: 0.142, 2.144 sec/game, 2.8 min. total, 543.9 MB
smelting_pointy v3 96 games, 70803 moves, e=0.930, loss: 1.1, -, 33.8% elo% vs. v2, avg. reward: 0.142, 2.129 sec/game, 2.8 min. total, 542.9 MB
smelting_pointy v3 97 games, 71523 moves, e=0.929, loss: 1.1, -, 32.4% elo% vs. v2, avg. reward: 0.142, 2.134 sec/game, 2.9 min. total, 544.2 MB
smelting_pointy v3 98 games, 72253 moves, e=0.928, loss: 1.1, -, 31.1% elo% vs. v2, avg. reward: 0.141, 2.139 sec/game, 2.9 min. total, 544.1 MB
smelting_pointy v3 99 games, 73028 moves, e=0.928, loss: 1.1, -, 29.9% elo% vs. v2, avg. reward: 0.142, 2.190 sec/game, 2.9 min. total, 544.3 MB
smelting_pointy v3 100 games, 73657 moves, e=0.927, loss: 1.1, -, 28.7% elo% vs. v2, avg. reward: 0.144, 2.173 sec/game, 3.0 min. total, 544.6 MB
smelting_pointy v4 101 games, 74526 moves, e=0.926, loss: 1.2, -, 47.7% elo% vs. v2, avg. reward: 0.143, 2.192 sec/game, 3.0 min. total, 544.7 MB
smelting_pointy v4 102 games, 75417 moves, e=0.925, loss: 1.2, -, 45.5% elo% vs. v2, avg. reward: 0.144, 2.195 sec/game, 3.0 min. total, 544.8 MB
smelting_pointy v4 103 games, 76306 moves, e=0.924, loss: 1.2, -, 43.4% elo% vs. v2, avg. reward: 0.145, 2.206 sec/game, 3.1 min. total, 545.1 MB
smelting_pointy v4 104 games, 77149 moves, e=0.924, loss: 1.3, -, 41.5% elo% vs. v2, avg. reward: 0.145, 2.176 sec/game, 3.1 min. total, 545.4 MB
smelting_pointy v4 105 games, 77926 moves, e=0.923, loss: 1.3, -, 39.6% elo% vs. v2, avg. reward: 0.145, 2.155 sec/game, 3.2 min. total, 547.9 MB
smelting_pointy v4 106 games, 78747 moves, e=0.922, loss: 1.4, -, 37.9% elo% vs. v2, avg. reward: 0.146, 2.183 sec/game, 3.2 min. total, 547.0 MB
smelting_pointy v4 107 games, 79508 moves, e=0.921, loss: 1.4, -, 36.3% elo% vs. v2, avg. reward: 0.146, 2.178 sec/game, 3.2 min. total, 547.0 MB
smelting_pointy v4 108 games, 80315 moves, e=0.920, loss: 1.4, -, 34.8% elo% vs. v2, avg. reward: 0.148, 2.173 sec/game, 3.3 min. total, 547.3 MB
smelting_pointy v4 109 games, 80960 moves, e=0.920, loss: 1.4, -, 33.3% elo% vs. v2, avg. reward: 0.148, 2.155 sec/game, 3.3 min. total, 546.9 MB
smelting_pointy v4 110 games, 81561 moves, e=0.919, loss: 1.4, -, 32.0% elo% vs. v2, avg. reward: 0.150, 2.128 sec/game, 3.3 min. total, 546.9 MB
smelting_pointy v4 111 games, 82409 moves, e=0.918, loss: 1.5, +, 34.8% elo% vs. v2, avg. reward: 0.151, 2.122 sec/game, 3.4 min. total, 546.7 MB
smelting_pointy v4 112 games, 83265 moves, e=0.918, loss: 1.5, -, 33.3% elo% vs. v2, avg. reward: 0.152, 2.139 sec/game, 3.4 min. total, 547.1 MB
smelting_pointy v4 113 games, 83995 moves, e=0.917, loss: 1.5, -, 32.0% elo% vs. v2, avg. reward: 0.152, 2.154 sec/game, 3.4 min. total, 547.0 MB
smelting_pointy v4 114 games, 84742 moves, e=0.916, loss: 1.5, -, 30.7% elo% vs. v2, avg. reward: 0.153, 2.152 sec/game, 3.5 min. total, 547.2 MB
smelting_pointy v4 115 games, 85477 moves, e=0.915, loss: 1.5, -, 29.5% elo% vs. v2, avg. reward: 0.154, 2.133 sec/game, 3.5 min. total, 547.3 MB
smelting_pointy v4 116 games, 86400 moves, e=0.914, loss: 1.5, -, 28.4% elo% vs. v2, avg. reward: 0.155, 2.186 sec/game, 3.6 min. total, 549.0 MB
smelting_pointy v4 117 games, 87102 moves, e=0.914, loss: 1.6, -, 27.3% elo% vs. v2, avg. reward: 0.154, 2.190 sec/game, 3.6 min. total, 550.3 MB
smelting_pointy v4 118 games, 87874 moves, e=0.913, loss: 1.8, -, 26.4% elo% vs. v2, avg. reward: 0.154, 2.198 sec/game, 3.6 min. total, 550.5 MB
smelting_pointy v4 119 games, 88556 moves, e=0.912, loss: 1.8, -, 25.4% elo% vs. v2, avg. reward: 0.153, 2.158 sec/game, 3.7 min. total, 550.4 MB
smelting_pointy v4 120 games, 89310 moves, e=0.912, loss: 1.7, +, 28.1% elo% vs. v2, avg. reward: 0.155, 2.187 sec/game, 3.7 min. total, 550.1 MB
smelting_pointy v4 121 games, 90083 moves, e=0.911, loss: 1.8, -, 27.1% elo% vs. v2, avg. reward: 0.154, 2.178 sec/game, 3.7 min. total, 550.2 MB
smelting_pointy v4 122 games, 91027 moves, e=0.910, loss: 1.9, -, 26.1% elo% vs. v2, avg. reward: 0.155, 2.205 sec/game, 3.8 min. total, 550.9 MB
smelting_pointy v4 123 games, 91714 moves, e=0.909, loss: 1.9, -, 25.2% elo% vs. v2, avg. reward: 0.156, 2.182 sec/game, 3.8 min. total, 550.4 MB
