atrophy_happiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.9 MB
atrophy_happiness v2 73 games, 53196 moves, e=0.947, loss: 69.0, +, 69.0% elo% vs. guard_bot, avg. reward: 6.265, 1.406 sec/game, 1.5 min. total, 446.4 MB
atrophy_happiness v2 74 games, 53960 moves, e=0.947, loss: 68.8, ., 68.3% elo% vs. guard_bot, avg. reward: 6.262, 1.403 sec/game, 1.5 min. total, 446.5 MB
atrophy_happiness v2 75 games, 54775 moves, e=0.946, loss: 66.4, +, 69.5% elo% vs. guard_bot, avg. reward: 6.271, 1.404 sec/game, 1.5 min. total, 448.2 MB
atrophy_happiness v2 76 games, 55429 moves, e=0.945, loss: 65.5, ., 68.8% elo% vs. guard_bot, avg. reward: 6.274, 1.393 sec/game, 1.5 min. total, 447.9 MB
atrophy_happiness v2 77 games, 56158 moves, e=0.944, loss: 63.8, ., 68.0% elo% vs. guard_bot, avg. reward: 6.269, 1.395 sec/game, 1.6 min. total, 448.6 MB
atrophy_happiness v2 78 games, 56857 moves, e=0.944, loss: 64.6, ., 67.3% elo% vs. guard_bot, avg. reward: 6.273, 1.393 sec/game, 1.6 min. total, 448.7 MB
atrophy_happiness v2 79 games, 57492 moves, e=0.943, loss: 65.2, ., 66.6% elo% vs. guard_bot, avg. reward: 6.279, 1.382 sec/game, 1.6 min. total, 448.8 MB
atrophy_happiness v2 80 games, 58265 moves, e=0.942, loss: 66.2, ., 65.9% elo% vs. guard_bot, avg. reward: 6.270, 1.382 sec/game, 1.6 min. total, 448.1 MB
atrophy_happiness v2 81 games, 58976 moves, e=0.942, loss: 66.7, ., 65.2% elo% vs. guard_bot, avg. reward: 6.263, 1.384 sec/game, 1.6 min. total, 448.6 MB
atrophy_happiness v2 82 games, 59812 moves, e=0.941, loss: 68.1, +, 66.7% elo% vs. guard_bot, avg. reward: 6.258, 1.395 sec/game, 1.7 min. total, 448.8 MB
atrophy_happiness v2 83 games, 60538 moves, e=0.940, loss: 73.5, +, 68.0% elo% vs. guard_bot, avg. reward: 6.252, 1.388 sec/game, 1.7 min. total, 448.8 MB
atrophy_happiness v2 84 games, 61216 moves, e=0.939, loss: 68.3, +, 69.3% elo% vs. guard_bot, avg. reward: 6.260, 1.379 sec/game, 1.7 min. total, 448.5 MB
atrophy_happiness v2 85 games, 61955 moves, e=0.939, loss: 74.6, +, 70.5% elo% vs. guard_bot, avg. reward: 6.269, 1.389 sec/game, 1.7 min. total, 448.8 MB
atrophy_happiness v3 86 games, 62567 moves, e=0.938, loss: 73.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: 6.265, 1.360 sec/game, 1.8 min. total, 449.6 MB
atrophy_happiness v3 87 games, 63227 moves, e=0.937, loss: 74.0, -, 47.6% elo% vs. random_no_suicide, avg. reward: 6.270, 1.362 sec/game, 1.8 min. total, 450.7 MB
atrophy_happiness v3 88 games, 63761 moves, e=0.937, loss: 76.1, -, 45.4% elo% vs. random_no_suicide, avg. reward: 6.295, 1.343 sec/game, 1.8 min. total, 451.7 MB
atrophy_happiness v3 89 games, 64501 moves, e=0.936, loss: 78.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: 6.307, 1.325 sec/game, 1.8 min. total, 453.3 MB
atrophy_happiness v3 90 games, 65222 moves, e=0.935, loss: 75.1, -, 41.4% elo% vs. random_no_suicide, avg. reward: 6.309, 1.325 sec/game, 1.8 min. total, 453.3 MB
atrophy_happiness v3 91 games, 65995 moves, e=0.935, loss: 81.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: 6.303, 1.335 sec/game, 1.9 min. total, 452.9 MB
atrophy_happiness v3 92 games, 66774 moves, e=0.934, loss: 82.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: 6.306, 1.336 sec/game, 1.9 min. total, 453.6 MB
atrophy_happiness v3 93 games, 67573 moves, e=0.933, loss: 83.8, -, 36.2% elo% vs. random_no_suicide, avg. reward: 6.302, 1.338 sec/game, 1.9 min. total, 453.5 MB
atrophy_happiness v3 94 games, 68432 moves, e=0.932, loss: 82.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: 6.294, 1.350 sec/game, 1.9 min. total, 453.7 MB
atrophy_happiness v3 95 games, 69147 moves, e=0.932, loss: 81.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 6.295, 1.351 sec/game, 2.0 min. total, 453.5 MB
atrophy_happiness v3 96 games, 70003 moves, e=0.931, loss: 86.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: 6.287, 1.355 sec/game, 2.0 min. total, 453.6 MB
atrophy_happiness v3 97 games, 70861 moves, e=0.930, loss: 85.1, -, 30.6% elo% vs. random_no_suicide, avg. reward: 6.291, 1.375 sec/game, 2.0 min. total, 453.8 MB
atrophy_happiness v3 98 games, 71704 moves, e=0.929, loss: 88.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: 6.290, 1.386 sec/game, 2.0 min. total, 454.1 MB
atrophy_happiness v3 99 games, 72408 moves, e=0.928, loss: 84.4, -, 28.3% elo% vs. random_no_suicide, avg. reward: 6.275, 1.386 sec/game, 2.1 min. total, 455.9 MB
atrophy_happiness v3 100 games, 73206 moves, e=0.928, loss: 96.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: 6.278, 1.394 sec/game, 2.1 min. total, 456.0 MB
atrophy_happiness v4 101 games, 73913 moves, e=0.927, loss: 97.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: 6.279, 1.404 sec/game, 2.1 min. total, 455.8 MB
atrophy_happiness v4 102 games, 74614 moves, e=0.926, loss: 96.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: 6.265, 1.390 sec/game, 2.1 min. total, 456.2 MB
atrophy_happiness v4 103 games, 75330 moves, e=0.925, loss: 91.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: 6.263, 1.394 sec/game, 2.2 min. total, 456.5 MB
atrophy_happiness v4 104 games, 76274 moves, e=0.924, loss: 96.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: 6.254, 1.411 sec/game, 2.2 min. total, 456.5 MB
atrophy_happiness v4 105 games, 77022 moves, e=0.924, loss: 93.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 6.258, 1.434 sec/game, 2.2 min. total, 456.1 MB
atrophy_happiness v4 106 games, 77708 moves, e=0.923, loss: 94.8, -, 37.9% elo% vs. random_no_suicide, avg. reward: 6.246, 1.469 sec/game, 2.3 min. total, 456.7 MB
atrophy_happiness v4 107 games, 78582 moves, e=0.922, loss: 92.6, -, 36.3% elo% vs. random_no_suicide, avg. reward: 6.259, 1.498 sec/game, 2.3 min. total, 456.7 MB
atrophy_happiness v4 108 games, 79294 moves, e=0.921, loss: 96.4, -, 34.8% elo% vs. random_no_suicide, avg. reward: 6.259, 1.533 sec/game, 2.3 min. total, 456.6 MB
atrophy_happiness v4 109 games, 80062 moves, e=0.921, loss: 90.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: 6.241, 1.562 sec/game, 2.3 min. total, 457.3 MB
atrophy_happiness v4 110 games, 80885 moves, e=0.920, loss: 93.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: 6.237, 1.578 sec/game, 2.4 min. total, 458.3 MB
atrophy_happiness v4 111 games, 81595 moves, e=0.919, loss: 98.8, -, 30.7% elo% vs. random_no_suicide, avg. reward: 6.248, 1.593 sec/game, 2.4 min. total, 458.4 MB
atrophy_happiness v4 112 games, 82406 moves, e=0.918, loss: 104.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 6.250, 1.604 sec/game, 2.4 min. total, 458.0 MB
atrophy_happiness v4 113 games, 83090 moves, e=0.918, loss: 105.0, -, 28.4% elo% vs. random_no_suicide, avg. reward: 6.250, 1.617 sec/game, 2.5 min. total, 458.5 MB
atrophy_happiness v4 114 games, 83830 moves, e=0.917, loss: 104.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: 6.241, 1.607 sec/game, 2.5 min. total, 458.3 MB
atrophy_happiness v4 115 games, 84498 moves, e=0.916, loss: 105.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 6.239, 1.614 sec/game, 2.5 min. total, 458.9 MB
atrophy_happiness v4 116 games, 85314 moves, e=0.916, loss: 101.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: 6.247, 1.626 sec/game, 2.5 min. total, 458.9 MB
atrophy_happiness v4 117 games, 86058 moves, e=0.915, loss: 106.7, -, 24.5% elo% vs. random_no_suicide, avg. reward: 6.246, 1.624 sec/game, 2.6 min. total, 458.9 MB
atrophy_happiness v4 118 games, 86850 moves, e=0.914, loss: 101.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: 6.244, 1.626 sec/game, 2.6 min. total, 458.7 MB
atrophy_happiness v4 119 games, 87528 moves, e=0.913, loss: 100.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 6.252, 1.641 sec/game, 2.6 min. total, 459.1 MB
atrophy_happiness v4 120 games, 88300 moves, e=0.913, loss: 113.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: 6.249, 1.647 sec/game, 2.6 min. total, 460.3 MB
atrophy_happiness v4 121 games, 89011 moves, e=0.912, loss: 118.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 6.230, 1.667 sec/game, 2.7 min. total, 460.5 MB
atrophy_happiness v4 122 games, 89662 moves, e=0.911, loss: 120.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: 6.215, 1.668 sec/game, 2.7 min. total, 460.6 MB
atrophy_happiness v4 123 games, 90337 moves, e=0.911, loss: 124.1, -, 20.2% elo% vs. random_no_suicide, avg. reward: 6.223, 1.670 sec/game, 2.7 min. total, 460.7 MB
atrophy_happiness v4 124 games, 91065 moves, e=0.910, loss: 121.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 6.225, 1.670 sec/game, 2.7 min. total, 461.0 MB
atrophy_happiness v4 125 games, 91804 moves, e=0.909, loss: 125.9, -, 19.1% elo% vs. random_no_suicide, avg. reward: 6.231, 1.660 sec/game, 2.8 min. total, 460.9 MB
