bullfrog_excavator v1 48 games, 34712 moves, e=0.966, loss: nan, -, 40.1% elo% vs. v0, avg. reward: -9.754, 0.274 sec/game, 0.2 min. total, 451.7 MB
bullfrog_excavator v1 49 games, 35494 moves, e=0.965, loss: nan, -, 38.3% elo% vs. v0, avg. reward: -9.732, 0.269 sec/game, 0.2 min. total, 453.7 MB
bullfrog_excavator v1 50 games, 36234 moves, e=0.964, loss: nan, +, 41.0% elo% vs. v0, avg. reward: -9.730, 0.270 sec/game, 0.2 min. total, 455.7 MB
bullfrog_excavator v1 51 games, 36909 moves, e=0.963, loss: nan, -, 39.2% elo% vs. v0, avg. reward: -9.749, 0.269 sec/game, 0.2 min. total, 457.2 MB
bullfrog_excavator v1 52 games, 37628 moves, e=0.963, loss: nan, -, 37.5% elo% vs. v0, avg. reward: -9.748, 0.268 sec/game, 0.2 min. total, 459.2 MB
bullfrog_excavator v1 53 games, 38350 moves, e=0.962, loss: nan, -, 35.9% elo% vs. v0, avg. reward: -9.747, 0.270 sec/game, 0.2 min. total, 461.4 MB
bullfrog_excavator v1 54 games, 39086 moves, e=0.961, loss: nan, +, 38.7% elo% vs. v0, avg. reward: -9.742, 0.273 sec/game, 0.2 min. total, 463.9 MB
bullfrog_excavator v1 55 games, 39795 moves, e=0.961, loss: nan, +, 41.4% elo% vs. v0, avg. reward: -9.745, 0.274 sec/game, 0.2 min. total, 467.1 MB
bullfrog_excavator v1 56 games, 40501 moves, e=0.960, loss: nan, +, 44.0% elo% vs. v0, avg. reward: -9.747, 0.274 sec/game, 0.2 min. total, 470.5 MB
bullfrog_excavator v1 57 games, 41300 moves, e=0.959, loss: nan, +, 46.6% elo% vs. v0, avg. reward: -9.734, 0.277 sec/game, 0.2 min. total, 475.4 MB
bullfrog_excavator v1 58 games, 42095 moves, e=0.958, loss: nan, -, 44.5% elo% vs. v0, avg. reward: -9.719, 0.280 sec/game, 0.2 min. total, 480.0 MB
bullfrog_excavator v1 59 games, 42840 moves, e=0.958, loss: nan, -, 42.4% elo% vs. v0, avg. reward: -9.706, 0.284 sec/game, 0.3 min. total, 480.5 MB
bullfrog_excavator v1 60 games, 43509 moves, e=0.957, loss: nan, +, 45.1% elo% vs. v0, avg. reward: -9.721, 0.284 sec/game, 0.3 min. total, 481.8 MB
bullfrog_excavator v1 61 games, 44267 moves, e=0.956, loss: nan, -, 43.0% elo% vs. v0, avg. reward: -9.711, 0.287 sec/game, 0.3 min. total, 483.7 MB
bullfrog_excavator v1 62 games, 44966 moves, e=0.955, loss: nan, -, 41.1% elo% vs. v0, avg. reward: -9.711, 0.288 sec/game, 0.3 min. total, 485.2 MB
bullfrog_excavator v1 63 games, 45583 moves, e=0.955, loss: nan, +, 43.7% elo% vs. v0, avg. reward: -9.743, 0.285 sec/game, 0.3 min. total, 486.7 MB
bullfrog_excavator v1 64 games, 46363 moves, e=0.954, loss: nan, +, 46.3% elo% vs. v0, avg. reward: -9.733, 0.287 sec/game, 0.3 min. total, 488.6 MB
bullfrog_excavator v1 65 games, 47065 moves, e=0.953, loss: nan, +, 48.8% elo% vs. v0, avg. reward: -9.728, 0.287 sec/game, 0.3 min. total, 490.6 MB
bullfrog_excavator v1 66 games, 47780 moves, e=0.953, loss: nan, +, 51.1% elo% vs. v0, avg. reward: -9.727, 0.287 sec/game, 0.3 min. total, 492.4 MB
bullfrog_excavator v1 67 games, 48540 moves, e=0.952, loss: nan, -, 48.8% elo% vs. v0, avg. reward: -9.722, 0.286 sec/game, 0.3 min. total, 494.5 MB
bullfrog_excavator v1 68 games, 49167 moves, e=0.951, loss: nan, -, 46.5% elo% vs. v0, avg. reward: -9.743, 0.286 sec/game, 0.3 min. total, 496.6 MB
bullfrog_excavator v1 69 games, 49897 moves, e=0.951, loss: nan, +, 49.0% elo% vs. v0, avg. reward: -9.736, 0.286 sec/game, 0.3 min. total, 500.0 MB
bullfrog_excavator v1 70 games, 50747 moves, e=0.950, loss: nan, +, 51.3% elo% vs. v0, avg. reward: -9.709, 0.292 sec/game, 0.3 min. total, 504.2 MB
bullfrog_excavator v1 71 games, 51429 moves, e=0.949, loss: nan, -, 49.0% elo% vs. v0, avg. reward: -9.714, 0.294 sec/game, 0.3 min. total, 507.6 MB
bullfrog_excavator v1 72 games, 52238 moves, e=0.948, loss: nan, +, 51.3% elo% vs. v0, avg. reward: -9.698, 0.297 sec/game, 0.3 min. total, 512.5 MB
bullfrog_excavator v1 73 games, 52922 moves, e=0.948, loss: nan, -, 49.0% elo% vs. v0, avg. reward: -9.706, 0.297 sec/game, 0.3 min. total, 517.6 MB
