demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v3 52 games, 35685 moves, e=0.965, loss: 2.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.132, 1.252 sec/game, 0.8 min. total, 470.1 MB
demeaning_prong v3 53 games, 36380 moves, e=0.964, loss: 2.9, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.130, 1.273 sec/game, 0.9 min. total, 471.0 MB
demeaning_prong v3 54 games, 37007 moves, e=0.963, loss: 2.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.146, 1.303 sec/game, 0.9 min. total, 470.8 MB
demeaning_prong v3 55 games, 37706 moves, e=0.963, loss: 2.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.134, 1.301 sec/game, 0.9 min. total, 470.8 MB
demeaning_prong v3 56 games, 38482 moves, e=0.962, loss: 2.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.115, 1.315 sec/game, 0.9 min. total, 470.8 MB
demeaning_prong v3 57 games, 39276 moves, e=0.961, loss: 2.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.092, 1.323 sec/game, 1.0 min. total, 471.0 MB
demeaning_prong v3 58 games, 39984 moves, e=0.960, loss: 2.4, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.090, 1.327 sec/game, 1.0 min. total, 466.3 MB
demeaning_prong v3 59 games, 40655 moves, e=0.960, loss: 2.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.091, 1.332 sec/game, 1.0 min. total, 466.8 MB
demeaning_prong v3 60 games, 41387 moves, e=0.959, loss: 2.7, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.082, 1.363 sec/game, 1.0 min. total, 468.5 MB
demeaning_prong v3 61 games, 42158 moves, e=0.958, loss: 2.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.065, 1.381 sec/game, 1.1 min. total, 466.9 MB
demeaning_prong v3 62 games, 42881 moves, e=0.958, loss: 2.7, -, 26.3% elo% vs. random_no_suicide, avg. reward: -9.056, 1.376 sec/game, 1.1 min. total, 467.1 MB
demeaning_prong v3 63 games, 43623 moves, e=0.957, loss: 2.4, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.045, 1.369 sec/game, 1.1 min. total, 467.1 MB
demeaning_prong v3 64 games, 44392 moves, e=0.956, loss: 2.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.029, 1.389 sec/game, 1.1 min. total, 466.9 MB
demeaning_prong v3 65 games, 45032 moves, e=0.955, loss: 2.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.041, 1.406 sec/game, 1.2 min. total, 467.0 MB
demeaning_prong v3 66 games, 45818 moves, e=0.955, loss: 2.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.019, 1.423 sec/game, 1.2 min. total, 472.0 MB
demeaning_prong v3 67 games, 46533 moves, e=0.954, loss: 2.7, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.013, 1.451 sec/game, 1.2 min. total, 467.5 MB
