transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v23 1474 games, 3704393 moves, e=0.010, loss: 43.4, -, 8.2% elo% vs. supershibe, avg. reward: -0.815, 5.182 sec/game, 83.5 min. total, 812.4 MB
transpire_herself v23 1475 games, 3707320 moves, e=0.010, loss: 41.9, -, 8.1% elo% vs. supershibe, avg. reward: -0.819, 5.206 sec/game, 83.6 min. total, 815.2 MB
transpire_herself v23 1476 games, 3710513 moves, e=0.010, loss: 41.3, -, 8.0% elo% vs. supershibe, avg. reward: -0.823, 5.244 sec/game, 83.7 min. total, 818.5 MB
transpire_herself v23 1477 games, 3713716 moves, e=0.010, loss: 37.6, -, 7.9% elo% vs. supershibe, avg. reward: -0.828, 5.277 sec/game, 83.8 min. total, 821.2 MB
transpire_herself v23 1478 games, 3717034 moves, e=0.010, loss: 32.5, -, 7.8% elo% vs. supershibe, avg. reward: -0.834, 5.335 sec/game, 83.9 min. total, 823.0 MB
transpire_herself v23 1479 games, 3720370 moves, e=0.010, loss: 29.5, -, 7.7% elo% vs. supershibe, avg. reward: -0.838, 5.404 sec/game, 84.0 min. total, 822.9 MB
transpire_herself v23 1480 games, 3723383 moves, e=0.010, loss: 29.1, -, 7.6% elo% vs. supershibe, avg. reward: -0.843, 5.438 sec/game, 84.1 min. total, 822.2 MB
transpire_herself v23 1481 games, 3726181 moves, e=0.010, loss: 31.2, -, 7.5% elo% vs. supershibe, avg. reward: -0.849, 5.433 sec/game, 84.2 min. total, 821.9 MB
transpire_herself v23 1482 games, 3728808 moves, e=0.010, loss: 39.9, -, 7.4% elo% vs. supershibe, avg. reward: -0.856, 5.442 sec/game, 84.3 min. total, 820.3 MB
transpire_herself v23 1483 games, 3731456 moves, e=0.010, loss: 42.6, -, 7.3% elo% vs. supershibe, avg. reward: -0.865, 5.452 sec/game, 84.4 min. total, 819.1 MB
transpire_herself v23 1484 games, 3733941 moves, e=0.010, loss: 42.7, -, 7.2% elo% vs. supershibe, avg. reward: -0.873, 5.431 sec/game, 84.5 min. total, 814.9 MB
transpire_herself v23 1485 games, 3736278 moves, e=0.010, loss: 47.4, -, 7.1% elo% vs. supershibe, avg. reward: -0.883, 5.406 sec/game, 84.6 min. total, 810.0 MB
transpire_herself v23 1486 games, 3738625 moves, e=0.010, loss: 49.7, -, 7.0% elo% vs. supershibe, avg. reward: -0.893, 5.377 sec/game, 84.6 min. total, 812.9 MB
transpire_herself v23 1487 games, 3740927 moves, e=0.010, loss: 52.7, -, 6.9% elo% vs. supershibe, avg. reward: -0.907, 5.346 sec/game, 84.7 min. total, 813.2 MB
transpire_herself v23 1488 games, 3743366 moves, e=0.010, loss: 56.1, -, 6.9% elo% vs. supershibe, avg. reward: -0.918, 5.348 sec/game, 84.8 min. total, 814.5 MB
transpire_herself v23 1489 games, 3745933 moves, e=0.010, loss: 59.3, -, 6.8% elo% vs. supershibe, avg. reward: -0.926, 5.349 sec/game, 84.9 min. total, 815.8 MB
transpire_herself v23 1490 games, 3748423 moves, e=0.010, loss: 51.8, -, 6.7% elo% vs. supershibe, avg. reward: -0.933, 5.320 sec/game, 85.0 min. total, 815.8 MB
transpire_herself v23 1491 games, 3750992 moves, e=0.010, loss: 47.6, -, 6.6% elo% vs. supershibe, avg. reward: -0.942, 5.318 sec/game, 85.0 min. total, 817.9 MB
transpire_herself v23 1492 games, 3753536 moves, e=0.010, loss: 41.3, -, 6.5% elo% vs. supershibe, avg. reward: -0.949, 5.310 sec/game, 85.1 min. total, 818.8 MB
transpire_herself v23 1493 games, 3756035 moves, e=0.010, loss: 39.0, -, 6.5% elo% vs. supershibe, avg. reward: -0.959, 5.292 sec/game, 85.2 min. total, 818.0 MB
transpire_herself v23 1494 games, 3758656 moves, e=0.010, loss: 37.5, -, 6.4% elo% vs. supershibe, avg. reward: -0.965, 5.289 sec/game, 85.3 min. total, 819.5 MB
transpire_herself v23 1495 games, 3761317 moves, e=0.010, loss: 37.7, -, 6.3% elo% vs. supershibe, avg. reward: -0.970, 5.262 sec/game, 85.4 min. total, 823.7 MB
transpire_herself v23 1496 games, 3764059 moves, e=0.010, loss: 40.8, -, 6.3% elo% vs. supershibe, avg. reward: -0.977, 5.223 sec/game, 85.5 min. total, 823.8 MB
transpire_herself v23 1497 games, 3766826 moves, e=0.010, loss: 34.0, -, 6.2% elo% vs. supershibe, avg. reward: -0.982, 5.191 sec/game, 85.6 min. total, 826.8 MB
transpire_herself v23 1498 games, 3769574 moves, e=0.010, loss: 32.9, -, 6.1% elo% vs. supershibe, avg. reward: -0.987, 5.135 sec/game, 85.7 min. total, 830.6 MB
transpire_herself v23 1499 games, 3772264 moves, e=0.010, loss: 28.2, -, 6.1% elo% vs. supershibe, avg. reward: -0.993, 5.076 sec/game, 85.7 min. total, 829.7 MB
transpire_herself v23 1500 games, 3775107 moves, e=0.010, loss: 26.1, -, 6.0% elo% vs. supershibe, avg. reward: -0.999, 5.072 sec/game, 85.8 min. total, 831.6 MB
transpire_herself v23 1501 games, 3777882 moves, e=0.010, loss: 24.9, -, 5.9% elo% vs. supershibe, avg. reward: -1.008, 5.060 sec/game, 85.9 min. total, 832.8 MB
transpire_herself v23 1502 games, 3780698 moves, e=0.010, loss: 23.4, -, 5.9% elo% vs. supershibe, avg. reward: -1.014, 5.067 sec/game, 86.0 min. total, 832.2 MB
transpire_herself v23 1503 games, 3783518 moves, e=0.010, loss: 22.6, -, 5.8% elo% vs. supershibe, avg. reward: -1.021, 5.084 sec/game, 86.1 min. total, 835.7 MB
transpire_herself v23 1504 games, 3786266 moves, e=0.010, loss: 24.5, -, 5.8% elo% vs. supershibe, avg. reward: -1.027, 5.122 sec/game, 86.2 min. total, 834.2 MB
transpire_herself v23 1505 games, 3789011 moves, e=0.010, loss: 26.1, -, 5.7% elo% vs. supershibe, avg. reward: -1.032, 5.159 sec/game, 86.3 min. total, 835.0 MB
transpire_herself v23 1506 games, 3791686 moves, e=0.010, loss: 27.7, -, 5.6% elo% vs. supershibe, avg. reward: -1.038, 5.184 sec/game, 86.4 min. total, 833.3 MB
transpire_herself v23 1507 games, 3794331 moves, e=0.010, loss: 26.1, -, 5.6% elo% vs. supershibe, avg. reward: -1.043, 5.222 sec/game, 86.5 min. total, 832.6 MB
transpire_herself v23 1508 games, 3796819 moves, e=0.010, loss: 28.0, -, 5.5% elo% vs. supershibe, avg. reward: -1.049, 5.216 sec/game, 86.5 min. total, 832.2 MB
transpire_herself v23 1509 games, 3799480 moves, e=0.010, loss: 25.0, -, 5.5% elo% vs. supershibe, avg. reward: -1.054, 5.228 sec/game, 86.6 min. total, 830.8 MB
transpire_herself v23 1510 games, 3802133 moves, e=0.010, loss: 24.6, -, 5.4% elo% vs. supershibe, avg. reward: -1.061, 5.252 sec/game, 86.7 min. total, 833.7 MB
transpire_herself v23 1511 games, 3804700 moves, e=0.010, loss: 27.4, -, 5.4% elo% vs. supershibe, avg. reward: -1.070, 5.247 sec/game, 86.8 min. total, 832.0 MB
transpire_herself v23 1512 games, 3807262 moves, e=0.010, loss: 27.2, -, 5.3% elo% vs. supershibe, avg. reward: -1.078, 5.250 sec/game, 86.9 min. total, 833.8 MB
transpire_herself v23 1513 games, 3809894 moves, e=0.010, loss: 26.4, -, 5.3% elo% vs. supershibe, avg. reward: -1.085, 5.251 sec/game, 87.0 min. total, 833.9 MB
transpire_herself v23 1514 games, 3812451 moves, e=0.010, loss: 28.3, -, 5.2% elo% vs. supershibe, avg. reward: -1.094, 5.250 sec/game, 87.0 min. total, 832.6 MB
transpire_herself v23 1515 games, 3815067 moves, e=0.010, loss: 30.4, -, 5.2% elo% vs. supershibe, avg. reward: -1.101, 5.248 sec/game, 87.1 min. total, 832.1 MB
transpire_herself v23 1516 games, 3817587 moves, e=0.010, loss: 31.8, -, 5.1% elo% vs. supershibe, avg. reward: -1.110, 5.220 sec/game, 87.2 min. total, 831.5 MB
transpire_herself v23 1517 games, 3820109 moves, e=0.010, loss: 35.8, -, 5.1% elo% vs. supershibe, avg. reward: -1.118, 5.201 sec/game, 87.3 min. total, 830.7 MB
transpire_herself v23 1518 games, 3822664 moves, e=0.010, loss: 30.7, -, 5.0% elo% vs. supershibe, avg. reward: -1.127, 5.188 sec/game, 87.4 min. total, 830.6 MB
transpire_herself v23 1519 games, 3825174 moves, e=0.010, loss: 27.6, -, 5.0% elo% vs. supershibe, avg. reward: -1.136, 5.176 sec/game, 87.5 min. total, 830.5 MB
transpire_herself v23 1520 games, 3827664 moves, e=0.010, loss: 29.1, -, 5.0% elo% vs. supershibe, avg. reward: -1.143, 5.134 sec/game, 87.5 min. total, 831.8 MB
transpire_herself v23 1521 games, 3830246 moves, e=0.010, loss: 27.2, -, 4.9% elo% vs. supershibe, avg. reward: -1.149, 5.127 sec/game, 87.6 min. total, 833.5 MB
transpire_herself v23 1522 games, 3832761 moves, e=0.010, loss: 29.3, -, 4.9% elo% vs. supershibe, avg. reward: -1.155, 5.108 sec/game, 87.7 min. total, 832.6 MB
transpire_herself v23 1523 games, 3835265 moves, e=0.010, loss: 27.9, -, 4.8% elo% vs. supershibe, avg. reward: -1.163, 5.080 sec/game, 87.8 min. total, 832.2 MB
transpire_herself v23 1524 games, 3837993 moves, e=0.010, loss: 24.2, -, 4.8% elo% vs. supershibe, avg. reward: -1.162, 5.066 sec/game, 87.9 min. total, 834.7 MB
transpire_herself v23 1525 games, 3840633 moves, e=0.010, loss: 21.9, -, 4.8% elo% vs. supershibe, avg. reward: -1.163, 5.053 sec/game, 88.0 min. total, 838.1 MB
transpire_herself v23 1526 games, 3843388 moves, e=0.010, loss: 19.4, -, 4.7% elo% vs. supershibe, avg. reward: -1.164, 5.060 sec/game, 88.1 min. total, 840.0 MB
transpire_herself v23 1527 games, 3846102 moves, e=0.010, loss: 19.4, -, 4.7% elo% vs. supershibe, avg. reward: -1.167, 5.062 sec/game, 88.1 min. total, 842.2 MB
transpire_herself v23 1528 games, 3848639 moves, e=0.010, loss: 21.4, -, 4.6% elo% vs. supershibe, avg. reward: -1.171, 5.063 sec/game, 88.2 min. total, 841.1 MB
transpire_herself v23 1529 games, 3851298 moves, e=0.010, loss: 22.3, -, 4.6% elo% vs. supershibe, avg. reward: -1.173, 5.063 sec/game, 88.3 min. total, 843.2 MB
transpire_herself v23 1530 games, 3853932 moves, e=0.010, loss: 22.9, -, 4.6% elo% vs. supershibe, avg. reward: -1.174, 5.063 sec/game, 88.4 min. total, 843.0 MB
transpire_herself v23 1531 games, 3856492 moves, e=0.010, loss: 23.1, -, 4.5% elo% vs. supershibe, avg. reward: -1.174, 5.062 sec/game, 88.5 min. total, 842.2 MB
transpire_herself v23 1532 games, 3858948 moves, e=0.010, loss: 24.7, -, 4.5% elo% vs. supershibe, avg. reward: -1.172, 5.073 sec/game, 88.6 min. total, 841.0 MB
transpire_herself v23 1533 games, 3861629 moves, e=0.010, loss: 26.1, -, 4.5% elo% vs. supershibe, avg. reward: -1.167, 5.077 sec/game, 88.7 min. total, 840.7 MB
transpire_herself v23 1534 games, 3864271 moves, e=0.010, loss: 26.2, -, 4.4% elo% vs. supershibe, avg. reward: -1.167, 5.086 sec/game, 88.7 min. total, 843.4 MB
transpire_herself v23 1535 games, 3866903 moves, e=0.010, loss: 25.1, -, 4.4% elo% vs. supershibe, avg. reward: -1.164, 5.090 sec/game, 88.8 min. total, 843.9 MB
transpire_herself v23 1536 games, 3869472 moves, e=0.010, loss: 25.0, -, 4.4% elo% vs. supershibe, avg. reward: -1.162, 5.096 sec/game, 88.9 min. total, 845.6 MB
transpire_herself v23 1537 games, 3872027 moves, e=0.010, loss: 24.7, -, 4.3% elo% vs. supershibe, avg. reward: -1.159, 5.088 sec/game, 89.0 min. total, 845.8 MB
transpire_herself v23 1538 games, 3874591 moves, e=0.010, loss: 27.1, -, 4.3% elo% vs. supershibe, avg. reward: -1.158, 5.091 sec/game, 89.1 min. total, 844.9 MB
transpire_herself v23 1539 games, 3877001 moves, e=0.010, loss: 26.4, -, 4.3% elo% vs. supershibe, avg. reward: -1.157, 5.094 sec/game, 89.2 min. total, 843.2 MB
transpire_herself v23 1540 games, 3879559 moves, e=0.010, loss: 30.6, -, 4.2% elo% vs. supershibe, avg. reward: -1.154, 5.102 sec/game, 89.2 min. total, 843.7 MB
transpire_herself v23 1541 games, 3882139 moves, e=0.010, loss: 35.1, -, 4.2% elo% vs. supershibe, avg. reward: -1.153, 5.097 sec/game, 89.3 min. total, 844.1 MB
transpire_herself v23 1542 games, 3884714 moves, e=0.010, loss: 36.5, -, 4.2% elo% vs. supershibe, avg. reward: -1.150, 5.097 sec/game, 89.4 min. total, 845.4 MB
transpire_herself v23 1543 games, 3887222 moves, e=0.010, loss: 36.6, -, 4.1% elo% vs. supershibe, avg. reward: -1.150, 5.090 sec/game, 89.5 min. total, 845.8 MB
transpire_herself v23 1544 games, 3889785 moves, e=0.010, loss: 35.9, -, 4.1% elo% vs. supershibe, avg. reward: -1.149, 5.077 sec/game, 89.6 min. total, 846.2 MB
transpire_herself v23 1545 games, 3892348 moves, e=0.010, loss: 35.7, -, 4.1% elo% vs. supershibe, avg. reward: -1.148, 5.074 sec/game, 89.7 min. total, 846.2 MB
transpire_herself v23 1546 games, 3894848 moves, e=0.010, loss: 38.7, -, 4.0% elo% vs. supershibe, avg. reward: -1.147, 5.051 sec/game, 89.7 min. total, 846.4 MB
transpire_herself v23 1547 games, 3897225 moves, e=0.010, loss: 42.7, -, 4.0% elo% vs. supershibe, avg. reward: -1.148, 5.029 sec/game, 89.8 min. total, 847.0 MB
transpire_herself v23 1548 games, 3899729 moves, e=0.010, loss: 45.9, -, 4.0% elo% vs. supershibe, avg. reward: -1.146, 5.019 sec/game, 89.9 min. total, 844.9 MB
transpire_herself v23 1549 games, 3902173 moves, e=0.010, loss: 47.7, -, 4.0% elo% vs. supershibe, avg. reward: -1.147, 4.997 sec/game, 90.0 min. total, 843.2 MB
transpire_herself v23 1550 games, 3904653 moves, e=0.010, loss: 45.6, -, 3.9% elo% vs. supershibe, avg. reward: -1.145, 4.984 sec/game, 90.1 min. total, 841.9 MB
transpire_herself v23 1551 games, 3907227 moves, e=0.010, loss: 46.7, -, 3.9% elo% vs. supershibe, avg. reward: -1.144, 4.977 sec/game, 90.1 min. total, 844.9 MB
transpire_herself v23 1552 games, 3909981 moves, e=0.010, loss: 43.1, -, 3.9% elo% vs. supershibe, avg. reward: -1.142, 4.984 sec/game, 90.2 min. total, 849.2 MB
transpire_herself v23 1553 games, 3912548 moves, e=0.010, loss: 46.6, -, 3.8% elo% vs. supershibe, avg. reward: -1.142, 4.982 sec/game, 90.3 min. total, 851.7 MB
transpire_herself v23 1554 games, 3915140 moves, e=0.010, loss: 45.4, -, 3.8% elo% vs. supershibe, avg. reward: -1.140, 4.981 sec/game, 90.4 min. total, 854.1 MB
transpire_herself v23 1555 games, 3917632 moves, e=0.010, loss: 42.7, -, 3.8% elo% vs. supershibe, avg. reward: -1.140, 4.953 sec/game, 90.5 min. total, 852.1 MB
transpire_herself v23 1556 games, 3920057 moves, e=0.010, loss: 43.3, -, 3.8% elo% vs. supershibe, avg. reward: -1.143, 4.944 sec/game, 90.6 min. total, 851.8 MB
transpire_herself v23 1557 games, 3922590 moves, e=0.010, loss: 49.1, -, 3.7% elo% vs. supershibe, avg. reward: -1.145, 4.942 sec/game, 90.6 min. total, 850.4 MB
transpire_herself v23 1558 games, 3925194 moves, e=0.010, loss: 48.4, -, 3.7% elo% vs. supershibe, avg. reward: -1.144, 4.939 sec/game, 90.7 min. total, 851.0 MB
transpire_herself v23 1559 games, 3927665 moves, e=0.010, loss: 57.5, -, 3.7% elo% vs. supershibe, avg. reward: -1.144, 4.925 sec/game, 90.8 min. total, 851.9 MB
transpire_herself v23 1560 games, 3930296 moves, e=0.010, loss: 56.5, -, 3.7% elo% vs. supershibe, avg. reward: -1.141, 4.932 sec/game, 90.9 min. total, 855.0 MB
transpire_herself v23 1561 games, 3932892 moves, e=0.010, loss: 56.2, -, 3.6% elo% vs. supershibe, avg. reward: -1.138, 4.926 sec/game, 91.0 min. total, 855.7 MB
transpire_herself v23 1562 games, 3935426 moves, e=0.010, loss: 59.6, -, 3.6% elo% vs. supershibe, avg. reward: -1.138, 4.921 sec/game, 91.1 min. total, 853.6 MB
transpire_herself v23 1563 games, 3938046 moves, e=0.010, loss: 66.7, -, 3.6% elo% vs. supershibe, avg. reward: -1.131, 4.934 sec/game, 91.1 min. total, 855.0 MB
transpire_herself v23 1564 games, 3940479 moves, e=0.010, loss: 70.4, -, 3.6% elo% vs. supershibe, avg. reward: -1.131, 4.925 sec/game, 91.2 min. total, 855.2 MB
transpire_herself v23 1565 games, 3942908 moves, e=0.010, loss: 73.4, -, 3.6% elo% vs. supershibe, avg. reward: -1.132, 4.920 sec/game, 91.3 min. total, 854.3 MB
transpire_herself v23 1566 games, 3945501 moves, e=0.010, loss: 75.0, -, 3.5% elo% vs. supershibe, avg. reward: -1.131, 4.933 sec/game, 91.4 min. total, 856.6 MB
transpire_herself v23 1567 games, 3947855 moves, e=0.010, loss: 82.3, -, 3.5% elo% vs. supershibe, avg. reward: -1.131, 4.923 sec/game, 91.5 min. total, 855.0 MB
transpire_herself v23 1568 games, 3950249 moves, e=0.010, loss: 83.9, -, 3.5% elo% vs. supershibe, avg. reward: -1.133, 4.922 sec/game, 91.5 min. total, 855.0 MB
transpire_herself v23 1569 games, 3952617 moves, e=0.010, loss: 90.8, -, 3.5% elo% vs. supershibe, avg. reward: -1.134, 4.909 sec/game, 91.6 min. total, 854.4 MB
transpire_herself v23 1570 games, 3955131 moves, e=0.010, loss: 106.4, -, 3.4% elo% vs. supershibe, avg. reward: -1.135, 4.909 sec/game, 91.7 min. total, 854.0 MB
transpire_herself v23 1571 games, 3957675 moves, e=0.010, loss: 99.3, -, 3.4% elo% vs. supershibe, avg. reward: -1.135, 4.913 sec/game, 91.8 min. total, 854.6 MB
transpire_herself v23 1572 games, 3960340 moves, e=0.010, loss: 107.7, -, 3.4% elo% vs. supershibe, avg. reward: -1.134, 4.906 sec/game, 91.9 min. total, 856.8 MB
transpire_herself v23 1573 games, 3962953 moves, e=0.010, loss: 101.3, -, 3.4% elo% vs. supershibe, avg. reward: -1.137, 4.907 sec/game, 92.0 min. total, 861.7 MB
transpire_herself v23 1574 games, 3965519 moves, e=0.010, loss: 96.7, -, 3.4% elo% vs. supershibe, avg. reward: -1.136, 4.902 sec/game, 92.0 min. total, 862.1 MB
transpire_herself v23 1575 games, 3967996 moves, e=0.010, loss: 103.1, -, 3.3% elo% vs. supershibe, avg. reward: -1.143, 4.908 sec/game, 92.1 min. total, 862.2 MB
transpire_herself v23 1576 games, 3970613 moves, e=0.010, loss: 101.8, -, 3.3% elo% vs. supershibe, avg. reward: -1.146, 4.930 sec/game, 92.2 min. total, 862.4 MB
transpire_herself v23 1577 games, 3973125 moves, e=0.010, loss: 104.8, -, 3.3% elo% vs. supershibe, avg. reward: -1.150, 4.930 sec/game, 92.3 min. total, 861.6 MB
transpire_herself v23 1578 games, 3975651 moves, e=0.010, loss: 112.1, -, 3.3% elo% vs. supershibe, avg. reward: -1.154, 4.922 sec/game, 92.4 min. total, 864.8 MB
transpire_herself v23 1579 games, 3978269 moves, e=0.010, loss: 121.8, -, 3.3% elo% vs. supershibe, avg. reward: -1.158, 4.944 sec/game, 92.5 min. total, 865.4 MB
transpire_herself v23 1580 games, 3980829 moves, e=0.010, loss: 125.7, -, 3.2% elo% vs. supershibe, avg. reward: -1.161, 4.933 sec/game, 92.5 min. total, 865.3 MB
transpire_herself v23 1581 games, 3983258 moves, e=0.010, loss: 141.2, -, 3.2% elo% vs. supershibe, avg. reward: -1.165, 4.921 sec/game, 92.6 min. total, 864.4 MB
transpire_herself v23 1582 games, 3985789 moves, e=0.010, loss: 139.8, -, 3.2% elo% vs. supershibe, avg. reward: -1.165, 4.913 sec/game, 92.7 min. total, 864.1 MB
transpire_herself v23 1583 games, 3988252 moves, e=0.010, loss: 154.1, -, 3.2% elo% vs. supershibe, avg. reward: -1.166, 4.910 sec/game, 92.8 min. total, 863.2 MB
transpire_herself v23 1584 games, 3990657 moves, e=0.010, loss: 179.5, -, 3.2% elo% vs. supershibe, avg. reward: -1.170, 4.915 sec/game, 92.9 min. total, 866.2 MB
transpire_herself v23 1585 games, 3993004 moves, e=0.010, loss: 177.6, -, 3.2% elo% vs. supershibe, avg. reward: -1.172, 4.899 sec/game, 92.9 min. total, 862.7 MB
transpire_herself v23 1586 games, 3995364 moves, e=0.010, loss: 198.3, -, 3.1% elo% vs. supershibe, avg. reward: -1.172, 4.864 sec/game, 93.0 min. total, 862.6 MB
transpire_herself v23 1587 games, 3997747 moves, e=0.010, loss: 218.6, -, 3.1% elo% vs. supershibe, avg. reward: -1.168, 4.872 sec/game, 93.1 min. total, 863.7 MB
transpire_herself v23 1588 games, 4000142 moves, e=0.010, loss: 217.0, -, 3.1% elo% vs. supershibe, avg. reward: -1.166, 4.873 sec/game, 93.2 min. total, 861.1 MB
transpire_herself v23 1589 games, 4002420 moves, e=0.010, loss: 206.7, -, 3.1% elo% vs. supershibe, avg. reward: -1.170, 4.864 sec/game, 93.2 min. total, 860.7 MB
transpire_herself v23 1590 games, 4004740 moves, e=0.010, loss: 219.5, -, 3.1% elo% vs. supershibe, avg. reward: -1.173, 4.853 sec/game, 93.3 min. total, 861.8 MB
transpire_herself v23 1591 games, 4007081 moves, e=0.010, loss: 242.4, -, 3.1% elo% vs. supershibe, avg. reward: -1.176, 4.828 sec/game, 93.4 min. total, 862.1 MB
transpire_herself v23 1592 games, 4009473 moves, e=0.010, loss: 273.0, -, 3.0% elo% vs. supershibe, avg. reward: -1.178, 4.816 sec/game, 93.5 min. total, 867.0 MB
transpire_herself v23 1593 games, 4011838 moves, e=0.010, loss: 290.9, -, 3.0% elo% vs. supershibe, avg. reward: -1.181, 4.798 sec/game, 93.6 min. total, 868.3 MB
transpire_herself v23 1594 games, 4014221 moves, e=0.010, loss: 325.4, -, 3.0% elo% vs. supershibe, avg. reward: -1.185, 4.780 sec/game, 93.6 min. total, 867.4 MB
transpire_herself v23 1595 games, 4016672 moves, e=0.010, loss: 350.8, -, 3.0% elo% vs. supershibe, avg. reward: -1.190, 4.780 sec/game, 93.7 min. total, 866.8 MB
transpire_herself v23 1596 games, 4019046 moves, e=0.010, loss: 371.8, -, 3.0% elo% vs. supershibe, avg. reward: -1.194, 4.746 sec/game, 93.8 min. total, 865.7 MB
transpire_herself v23 1597 games, 4021436 moves, e=0.010, loss: 384.1, -, 3.0% elo% vs. supershibe, avg. reward: -1.200, 4.736 sec/game, 93.9 min. total, 865.9 MB
transpire_herself v23 1598 games, 4023810 moves, e=0.010, loss: 359.1, -, 2.9% elo% vs. supershibe, avg. reward: -1.207, 4.730 sec/game, 93.9 min. total, 866.5 MB
transpire_herself v23 1599 games, 4026142 moves, e=0.010, loss: 403.8, -, 2.9% elo% vs. supershibe, avg. reward: -1.212, 4.697 sec/game, 94.0 min. total, 867.9 MB
transpire_herself v23 1600 games, 4028508 moves, e=0.010, loss: 464.0, -, 2.9% elo% vs. supershibe, avg. reward: -1.218, 4.674 sec/game, 94.1 min. total, 867.9 MB
transpire_herself v23 1601 games, 4030933 moves, e=0.010, loss: 414.8, -, 2.9% elo% vs. supershibe, avg. reward: -1.222, 4.675 sec/game, 94.2 min. total, 870.2 MB
transpire_herself v23 1602 games, 4033305 moves, e=0.010, loss: 433.6, -, 2.9% elo% vs. supershibe, avg. reward: -1.227, 4.676 sec/game, 94.3 min. total, 870.8 MB
transpire_herself v23 1603 games, 4035780 moves, e=0.010, loss: 418.8, -, 2.9% elo% vs. supershibe, avg. reward: -1.232, 4.663 sec/game, 94.3 min. total, 871.4 MB
transpire_herself v23 1604 games, 4038141 moves, e=0.010, loss: 423.5, -, 2.8% elo% vs. supershibe, avg. reward: -1.237, 4.644 sec/game, 94.4 min. total, 871.6 MB
transpire_herself v23 1605 games, 4040482 moves, e=0.010, loss: 437.4, -, 2.8% elo% vs. supershibe, avg. reward: -1.244, 4.654 sec/game, 94.5 min. total, 871.5 MB
transpire_herself v23 1606 games, 4042865 moves, e=0.010, loss: 438.9, -, 2.8% elo% vs. supershibe, avg. reward: -1.248, 4.658 sec/game, 94.6 min. total, 874.4 MB
transpire_herself v23 1607 games, 4045177 moves, e=0.010, loss: 450.3, -, 2.8% elo% vs. supershibe, avg. reward: -1.253, 4.657 sec/game, 94.6 min. total, 872.5 MB
transpire_herself v23 1608 games, 4047539 moves, e=0.010, loss: 482.5, -, 2.8% elo% vs. supershibe, avg. reward: -1.256, 4.659 sec/game, 94.7 min. total, 872.9 MB
transpire_herself v23 1609 games, 4049903 moves, e=0.010, loss: 557.5, -, 2.8% elo% vs. supershibe, avg. reward: -1.259, 4.671 sec/game, 94.8 min. total, 871.0 MB
transpire_herself v23 1610 games, 4052187 moves, e=0.010, loss: 538.2, -, 2.8% elo% vs. supershibe, avg. reward: -1.262, 4.662 sec/game, 94.9 min. total, 871.1 MB
transpire_herself v23 1611 games, 4054548 moves, e=0.010, loss: 529.8, -, 2.7% elo% vs. supershibe, avg. reward: -1.265, 4.670 sec/game, 94.9 min. total, 872.9 MB
transpire_herself v23 1612 games, 4056907 moves, e=0.010, loss: 587.9, -, 2.7% elo% vs. supershibe, avg. reward: -1.269, 4.657 sec/game, 95.0 min. total, 872.7 MB
transpire_herself v23 1613 games, 4059363 moves, e=0.010, loss: 595.0, -, 2.7% elo% vs. supershibe, avg. reward: -1.274, 4.662 sec/game, 95.1 min. total, 874.1 MB
transpire_herself v23 1614 games, 4061777 moves, e=0.010, loss: 630.3, -, 2.7% elo% vs. supershibe, avg. reward: -1.278, 4.667 sec/game, 95.2 min. total, 875.6 MB
transpire_herself v23 1615 games, 4064113 moves, e=0.010, loss: 654.9, -, 2.7% elo% vs. supershibe, avg. reward: -1.283, 4.648 sec/game, 95.3 min. total, 876.1 MB
transpire_herself v23 1616 games, 4066448 moves, e=0.010, loss: 701.4, -, 2.7% elo% vs. supershibe, avg. reward: -1.284, 4.656 sec/game, 95.3 min. total, 877.2 MB
transpire_herself v23 1617 games, 4068825 moves, e=0.010, loss: 689.9, -, 2.7% elo% vs. supershibe, avg. reward: -1.284, 4.651 sec/game, 95.4 min. total, 876.8 MB
transpire_herself v23 1618 games, 4071153 moves, e=0.010, loss: 668.2, -, 2.7% elo% vs. supershibe, avg. reward: -1.286, 4.647 sec/game, 95.5 min. total, 875.0 MB
transpire_herself v23 1619 games, 4073460 moves, e=0.010, loss: 709.6, -, 2.6% elo% vs. supershibe, avg. reward: -1.291, 4.649 sec/game, 95.6 min. total, 874.8 MB
transpire_herself v23 1620 games, 4075747 moves, e=0.010, loss: 718.0, -, 2.6% elo% vs. supershibe, avg. reward: -1.297, 4.650 sec/game, 95.6 min. total, 875.7 MB
transpire_herself v23 1621 games, 4078017 moves, e=0.010, loss: 747.4, -, 2.6% elo% vs. supershibe, avg. reward: -1.305, 4.639 sec/game, 95.7 min. total, 875.6 MB
transpire_herself v23 1622 games, 4080191 moves, e=0.010, loss: 926.6, -, 2.6% elo% vs. supershibe, avg. reward: -1.313, 4.609 sec/game, 95.8 min. total, 875.3 MB
transpire_herself v23 1623 games, 4082465 moves, e=0.010, loss: 935.3, -, 2.6% elo% vs. supershibe, avg. reward: -1.318, 4.596 sec/game, 95.9 min. total, 875.5 MB
transpire_herself v23 1624 games, 4084786 moves, e=0.010, loss: 1006.6, -, 2.6% elo% vs. supershibe, avg. reward: -1.325, 4.601 sec/game, 95.9 min. total, 878.0 MB
