transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v3 72 games, 52471 moves, e=0.948, loss: 6.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.671, 1.355 sec/game, 1.4 min. total, 472.0 MB
transpire_herself v3 73 games, 53229 moves, e=0.947, loss: 6.4, -, 17.5% elo% vs. random_no_suicide, avg. reward: -9.665, 1.356 sec/game, 1.4 min. total, 472.2 MB
transpire_herself v3 74 games, 54045 moves, e=0.946, loss: 5.8, -, 17.0% elo% vs. random_no_suicide, avg. reward: -9.649, 1.367 sec/game, 1.4 min. total, 472.2 MB
transpire_herself v3 75 games, 54717 moves, e=0.946, loss: 5.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.661, 1.356 sec/game, 1.4 min. total, 472.2 MB
transpire_herself v3 76 games, 55367 moves, e=0.945, loss: 6.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.674, 1.358 sec/game, 1.4 min. total, 472.6 MB
transpire_herself v3 77 games, 56229 moves, e=0.944, loss: 6.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.654, 1.362 sec/game, 1.5 min. total, 474.3 MB
transpire_herself v3 78 games, 57007 moves, e=0.944, loss: 6.3, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.644, 1.362 sec/game, 1.5 min. total, 474.3 MB
transpire_herself v3 79 games, 57710 moves, e=0.943, loss: 6.2, -, 15.0% elo% vs. random_no_suicide, avg. reward: -9.651, 1.357 sec/game, 1.5 min. total, 474.4 MB
transpire_herself v3 80 games, 58474 moves, e=0.942, loss: 6.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.642, 1.357 sec/game, 1.5 min. total, 474.2 MB
transpire_herself v3 81 games, 59175 moves, e=0.941, loss: 5.9, -, 14.3% elo% vs. random_no_suicide, avg. reward: -9.646, 1.367 sec/game, 1.6 min. total, 474.2 MB
transpire_herself v3 82 games, 59838 moves, e=0.941, loss: 5.8, +, 16.4% elo% vs. random_no_suicide, avg. reward: -9.656, 1.349 sec/game, 1.6 min. total, 469.7 MB
transpire_herself v3 83 games, 60610 moves, e=0.940, loss: 5.7, -, 16.0% elo% vs. random_no_suicide, avg. reward: -9.652, 1.361 sec/game, 1.6 min. total, 474.9 MB
transpire_herself v3 84 games, 61284 moves, e=0.939, loss: 5.4, -, 15.6% elo% vs. random_no_suicide, avg. reward: -9.663, 1.353 sec/game, 1.6 min. total, 474.7 MB
transpire_herself v3 85 games, 61937 moves, e=0.939, loss: 5.1, -, 15.2% elo% vs. random_no_suicide, avg. reward: -9.680, 1.344 sec/game, 1.7 min. total, 474.9 MB
transpire_herself v3 86 games, 62651 moves, e=0.938, loss: 5.3, +, 17.3% elo% vs. random_no_suicide, avg. reward: -9.679, 1.364 sec/game, 1.7 min. total, 470.8 MB
transpire_herself v3 87 games, 63421 moves, e=0.937, loss: 5.5, +, 19.6% elo% vs. random_no_suicide, avg. reward: -9.672, 1.378 sec/game, 1.7 min. total, 472.1 MB
transpire_herself v3 88 games, 64070 moves, e=0.937, loss: 5.8, +, 22.1% elo% vs. random_no_suicide, avg. reward: -9.683, 1.371 sec/game, 1.7 min. total, 472.1 MB
transpire_herself v3 89 games, 64792 moves, e=0.936, loss: 5.8, -, 21.4% elo% vs. random_no_suicide, avg. reward: -9.677, 1.362 sec/game, 1.7 min. total, 472.1 MB
transpire_herself v3 90 games, 65555 moves, e=0.935, loss: 5.9, +, 23.9% elo% vs. random_no_suicide, avg. reward: -9.673, 1.365 sec/game, 1.8 min. total, 472.1 MB
transpire_herself v3 91 games, 66307 moves, e=0.934, loss: 5.7, -, 23.1% elo% vs. random_no_suicide, avg. reward: -9.669, 1.375 sec/game, 1.8 min. total, 472.1 MB
transpire_herself v3 92 games, 67122 moves, e=0.934, loss: 5.4, -, 22.4% elo% vs. random_no_suicide, avg. reward: -9.659, 1.378 sec/game, 1.8 min. total, 477.1 MB
transpire_herself v3 93 games, 67852 moves, e=0.933, loss: 5.3, +, 25.0% elo% vs. random_no_suicide, avg. reward: -9.658, 1.381 sec/game, 1.8 min. total, 472.3 MB
transpire_herself v3 94 games, 68614 moves, e=0.932, loss: 5.2, ., 25.8% elo% vs. random_no_suicide, avg. reward: -9.653, 1.371 sec/game, 1.9 min. total, 477.1 MB
transpire_herself v3 95 games, 69421 moves, e=0.931, loss: 5.1, -, 24.9% elo% vs. random_no_suicide, avg. reward: -9.642, 1.383 sec/game, 1.9 min. total, 477.3 MB
transpire_herself v3 96 games, 70160 moves, e=0.931, loss: 5.1, +, 27.6% elo% vs. random_no_suicide, avg. reward: -9.642, 1.394 sec/game, 1.9 min. total, 474.0 MB
transpire_herself v3 97 games, 70948 moves, e=0.930, loss: 5.1, -, 26.6% elo% vs. random_no_suicide, avg. reward: -9.629, 1.384 sec/game, 1.9 min. total, 478.2 MB
transpire_herself v3 98 games, 71682 moves, e=0.929, loss: 5.4, -, 25.7% elo% vs. random_no_suicide, avg. reward: -9.627, 1.379 sec/game, 2.0 min. total, 478.1 MB
transpire_herself v3 99 games, 72366 moves, e=0.928, loss: 5.4, -, 24.8% elo% vs. random_no_suicide, avg. reward: -9.634, 1.377 sec/game, 2.0 min. total, 473.9 MB
transpire_herself v3 100 games, 73091 moves, e=0.928, loss: 5.4, +, 27.4% elo% vs. random_no_suicide, avg. reward: -9.634, 1.379 sec/game, 2.0 min. total, 475.2 MB
transpire_herself v4 101 games, 73799 moves, e=0.927, loss: 5.3, ., 50.0% elo% vs. random_no_suicide, avg. reward: -9.625, 1.370 sec/game, 2.0 min. total, 474.0 MB
transpire_herself v4 102 games, 74549 moves, e=0.926, loss: 5.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.620, 1.383 sec/game, 2.0 min. total, 478.8 MB
transpire_herself v4 103 games, 75298 moves, e=0.925, loss: 5.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.589, 1.383 sec/game, 2.1 min. total, 474.4 MB
transpire_herself v4 104 games, 76089 moves, e=0.925, loss: 5.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.595, 1.393 sec/game, 2.1 min. total, 480.6 MB
transpire_herself v4 105 games, 76904 moves, e=0.924, loss: 5.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.587, 1.407 sec/game, 2.1 min. total, 481.9 MB
transpire_herself v4 106 games, 77589 moves, e=0.923, loss: 5.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.592, 1.403 sec/game, 2.1 min. total, 482.1 MB
transpire_herself v4 107 games, 78271 moves, e=0.923, loss: 5.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.581, 1.397 sec/game, 2.2 min. total, 477.7 MB
transpire_herself v4 108 games, 79005 moves, e=0.922, loss: 5.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.566, 1.411 sec/game, 2.2 min. total, 477.7 MB
