nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v3 52 games, 35639 moves, e=0.996, loss: 2.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.070, 1.230 sec/game, 0.8 min. total, 469.8 MB
nutcase_devalue v3 53 games, 36442 moves, e=0.996, loss: 2.9, -, 26.3% elo% vs. random_no_suicide, avg. reward: -9.042, 1.227 sec/game, 0.8 min. total, 465.0 MB
nutcase_devalue v3 54 games, 37162 moves, e=0.996, loss: 2.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.032, 1.228 sec/game, 0.8 min. total, 470.2 MB
nutcase_devalue v3 55 games, 37910 moves, e=0.996, loss: 2.7, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.017, 1.239 sec/game, 0.9 min. total, 465.6 MB
nutcase_devalue v3 56 games, 38628 moves, e=0.996, loss: 3.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.009, 1.227 sec/game, 0.9 min. total, 468.4 MB
nutcase_devalue v3 57 games, 39318 moves, e=0.996, loss: 2.6, ., 24.6% elo% vs. random_no_suicide, avg. reward: -9.011, 1.231 sec/game, 0.9 min. total, 468.9 MB
nutcase_devalue v3 58 games, 40010 moves, e=0.996, loss: 2.9, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.012, 1.233 sec/game, 0.9 min. total, 467.5 MB
nutcase_devalue v3 59 games, 40639 moves, e=0.996, loss: 2.5, +, 26.4% elo% vs. random_no_suicide, avg. reward: -9.025, 1.231 sec/game, 1.0 min. total, 469.0 MB
nutcase_devalue v3 60 games, 41372 moves, e=0.996, loss: 2.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.017, 1.244 sec/game, 1.0 min. total, 467.4 MB
nutcase_devalue v3 61 games, 42056 moves, e=0.996, loss: 2.2, -, 24.6% elo% vs. random_no_suicide, avg. reward: -9.022, 1.237 sec/game, 1.0 min. total, 467.8 MB
nutcase_devalue v3 62 games, 42790 moves, e=0.996, loss: 2.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.012, 1.246 sec/game, 1.0 min. total, 472.6 MB
nutcase_devalue v3 63 games, 43442 moves, e=0.996, loss: 2.3, -, 23.0% elo% vs. random_no_suicide, avg. reward: -9.018, 1.253 sec/game, 1.0 min. total, 467.7 MB
nutcase_devalue v3 64 games, 44229 moves, e=0.996, loss: 2.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.995, 1.268 sec/game, 1.1 min. total, 467.5 MB
