prepaid_shoptalk v3 62 games, 44555 moves, e=0.956, loss: 6.9, -, 41.0% elo% vs. random_no_suicide, avg. reward: -9.820, 1.496 sec/game, 1.3 min. total, 472.7 MB
prepaid_shoptalk v3 63 games, 45245 moves, e=0.955, loss: 7.2, -, 39.2% elo% vs. random_no_suicide, avg. reward: -9.826, 1.497 sec/game, 1.3 min. total, 472.6 MB
prepaid_shoptalk v3 64 games, 46082 moves, e=0.954, loss: 6.6, -, 37.5% elo% vs. random_no_suicide, avg. reward: -9.800, 1.501 sec/game, 1.3 min. total, 472.6 MB
prepaid_shoptalk v3 65 games, 46837 moves, e=0.954, loss: 6.6, -, 35.9% elo% vs. random_no_suicide, avg. reward: -9.791, 1.506 sec/game, 1.3 min. total, 474.0 MB
prepaid_shoptalk v3 66 games, 47683 moves, e=0.953, loss: 6.6, -, 34.4% elo% vs. random_no_suicide, avg. reward: -9.764, 1.517 sec/game, 1.4 min. total, 473.3 MB
prepaid_shoptalk v3 67 games, 48475 moves, e=0.952, loss: 6.2, -, 33.0% elo% vs. random_no_suicide, avg. reward: -9.746, 1.517 sec/game, 1.4 min. total, 474.1 MB
prepaid_shoptalk v3 68 games, 49197 moves, e=0.951, loss: 5.8, -, 31.7% elo% vs. random_no_suicide, avg. reward: -9.747, 1.540 sec/game, 1.4 min. total, 474.0 MB
prepaid_shoptalk v3 69 games, 49902 moves, e=0.951, loss: 5.9, -, 30.4% elo% vs. random_no_suicide, avg. reward: -9.748, 1.530 sec/game, 1.4 min. total, 474.5 MB
prepaid_shoptalk v3 70 games, 50607 moves, e=0.950, loss: 5.8, -, 29.2% elo% vs. random_no_suicide, avg. reward: -9.748, 1.545 sec/game, 1.5 min. total, 474.5 MB
prepaid_shoptalk v3 71 games, 51395 moves, e=0.949, loss: 5.9, +, 32.0% elo% vs. random_no_suicide, avg. reward: -9.730, 1.547 sec/game, 1.5 min. total, 474.9 MB
prepaid_shoptalk v3 72 games, 52045 moves, e=0.948, loss: 5.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: -9.747, 1.547 sec/game, 1.5 min. total, 474.7 MB
prepaid_shoptalk v3 73 games, 52760 moves, e=0.948, loss: 5.9, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.746, 1.560 sec/game, 1.5 min. total, 475.0 MB
prepaid_shoptalk v3 74 games, 53522 moves, e=0.947, loss: 5.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -9.739, 1.549 sec/game, 1.6 min. total, 474.5 MB
prepaid_shoptalk v3 75 games, 54098 moves, e=0.946, loss: 5.6, -, 27.4% elo% vs. random_no_suicide, avg. reward: -9.776, 1.515 sec/game, 1.6 min. total, 475.1 MB
prepaid_shoptalk v3 76 games, 54778 moves, e=0.946, loss: 5.8, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.785, 1.503 sec/game, 1.6 min. total, 476.6 MB
prepaid_shoptalk v3 77 games, 55573 moves, e=0.945, loss: 5.5, +, 29.1% elo% vs. random_no_suicide, avg. reward: -9.775, 1.520 sec/game, 1.6 min. total, 477.8 MB
prepaid_shoptalk v3 78 games, 56413 moves, e=0.944, loss: 5.3, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.756, 1.512 sec/game, 1.7 min. total, 477.1 MB
prepaid_shoptalk v3 79 games, 57159 moves, e=0.943, loss: 5.1, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.752, 1.512 sec/game, 1.7 min. total, 477.1 MB
prepaid_shoptalk v3 80 games, 57904 moves, e=0.943, loss: 5.3, +, 29.7% elo% vs. random_no_suicide, avg. reward: -9.743, 1.516 sec/game, 1.7 min. total, 477.4 MB
prepaid_shoptalk v3 81 games, 58666 moves, e=0.942, loss: 5.3, -, 28.6% elo% vs. random_no_suicide, avg. reward: -9.737, 1.506 sec/game, 1.7 min. total, 477.5 MB
prepaid_shoptalk v3 82 games, 59464 moves, e=0.941, loss: 5.5, +, 31.3% elo% vs. random_no_suicide, avg. reward: -9.725, 1.508 sec/game, 1.8 min. total, 477.7 MB
prepaid_shoptalk v3 83 games, 60270 moves, e=0.940, loss: 6.1, -, 30.1% elo% vs. random_no_suicide, avg. reward: -9.711, 1.522 sec/game, 1.8 min. total, 477.9 MB
prepaid_shoptalk v3 84 games, 61061 moves, e=0.940, loss: 5.9, -, 29.0% elo% vs. random_no_suicide, avg. reward: -9.702, 1.524 sec/game, 1.8 min. total, 477.5 MB
prepaid_shoptalk v3 85 games, 61872 moves, e=0.939, loss: 6.2, -, 27.9% elo% vs. random_no_suicide, avg. reward: -9.690, 1.534 sec/game, 1.9 min. total, 478.1 MB
prepaid_shoptalk v3 86 games, 62588 moves, e=0.938, loss: 6.3, -, 26.8% elo% vs. random_no_suicide, avg. reward: -9.691, 1.512 sec/game, 1.9 min. total, 479.0 MB
prepaid_shoptalk v3 87 games, 63407 moves, e=0.937, loss: 6.0, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.679, 1.540 sec/game, 1.9 min. total, 479.0 MB
prepaid_shoptalk v3 88 games, 64172 moves, e=0.936, loss: 5.7, -, 25.0% elo% vs. random_no_suicide, avg. reward: -9.673, 1.541 sec/game, 1.9 min. total, 478.4 MB
prepaid_shoptalk v3 89 games, 64995 moves, e=0.936, loss: 5.6, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.656, 1.557 sec/game, 2.0 min. total, 479.1 MB
prepaid_shoptalk v3 90 games, 65792 moves, e=0.935, loss: 5.5, +, 26.8% elo% vs. random_no_suicide, avg. reward: -9.646, 1.572 sec/game, 2.0 min. total, 479.3 MB
prepaid_shoptalk v3 91 games, 66542 moves, e=0.934, loss: 5.2, -, 25.8% elo% vs. random_no_suicide, avg. reward: -9.647, 1.564 sec/game, 2.0 min. total, 478.8 MB
prepaid_shoptalk v3 92 games, 67410 moves, e=0.933, loss: 5.5, -, 24.9% elo% vs. random_no_suicide, avg. reward: -9.627, 1.591 sec/game, 2.1 min. total, 479.0 MB
prepaid_shoptalk v3 93 games, 68088 moves, e=0.933, loss: 5.5, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.630, 1.588 sec/game, 2.1 min. total, 482.9 MB
prepaid_shoptalk v3 94 games, 68741 moves, e=0.932, loss: 5.8, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.643, 1.588 sec/game, 2.1 min. total, 483.7 MB
prepaid_shoptalk v3 95 games, 69459 moves, e=0.931, loss: 5.5, -, 22.5% elo% vs. random_no_suicide, avg. reward: -9.643, 1.599 sec/game, 2.1 min. total, 480.6 MB
prepaid_shoptalk v3 96 games, 70201 moves, e=0.931, loss: 5.4, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.643, 1.618 sec/game, 2.2 min. total, 484.8 MB
prepaid_shoptalk v3 97 games, 70970 moves, e=0.930, loss: 5.2, +, 24.4% elo% vs. random_no_suicide, avg. reward: -9.639, 1.609 sec/game, 2.2 min. total, 481.4 MB
prepaid_shoptalk v3 98 games, 71742 moves, e=0.929, loss: 5.4, +, 27.0% elo% vs. random_no_suicide, avg. reward: -9.633, 1.613 sec/game, 2.2 min. total, 481.5 MB
prepaid_shoptalk v3 99 games, 72472 moves, e=0.928, loss: 5.6, -, 26.0% elo% vs. random_no_suicide, avg. reward: -9.633, 1.613 sec/game, 2.2 min. total, 481.4 MB
prepaid_shoptalk v3 100 games, 73166 moves, e=0.928, loss: 5.3, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.639, 1.601 sec/game, 2.3 min. total, 483.3 MB
prepaid_shoptalk v4 101 games, 73964 moves, e=0.927, loss: 5.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.630, 1.605 sec/game, 2.3 min. total, 481.7 MB
prepaid_shoptalk v4 102 games, 74714 moves, e=0.926, loss: 5.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.609, 1.607 sec/game, 2.3 min. total, 481.8 MB
prepaid_shoptalk v4 103 games, 75396 moves, e=0.925, loss: 5.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.626, 1.612 sec/game, 2.3 min. total, 481.2 MB
prepaid_shoptalk v4 104 games, 76180 moves, e=0.925, loss: 5.1, +, 46.0% elo% vs. random_no_suicide, avg. reward: -9.628, 1.604 sec/game, 2.4 min. total, 482.5 MB
prepaid_shoptalk v4 105 games, 76951 moves, e=0.924, loss: 5.2, -, 43.9% elo% vs. random_no_suicide, avg. reward: -9.615, 1.603 sec/game, 2.4 min. total, 483.7 MB
prepaid_shoptalk v4 106 games, 77535 moves, e=0.923, loss: 5.4, -, 41.9% elo% vs. random_no_suicide, avg. reward: -9.636, 1.603 sec/game, 2.4 min. total, 483.4 MB
prepaid_shoptalk v4 107 games, 78322 moves, e=0.922, loss: 5.6, +, 44.6% elo% vs. random_no_suicide, avg. reward: -9.617, 1.579 sec/game, 2.4 min. total, 485.6 MB
prepaid_shoptalk v4 108 games, 79141 moves, e=0.922, loss: 6.1, -, 42.5% elo% vs. random_no_suicide, avg. reward: -9.591, 1.592 sec/game, 2.5 min. total, 486.7 MB
prepaid_shoptalk v4 109 games, 79887 moves, e=0.921, loss: 5.7, +, 45.2% elo% vs. random_no_suicide, avg. reward: -9.575, 1.600 sec/game, 2.5 min. total, 486.9 MB
prepaid_shoptalk v4 110 games, 80554 moves, e=0.920, loss: 5.9, +, 47.7% elo% vs. random_no_suicide, avg. reward: -9.575, 1.573 sec/game, 2.5 min. total, 483.9 MB
prepaid_shoptalk v4 111 games, 81304 moves, e=0.920, loss: 6.0, +, 50.1% elo% vs. random_no_suicide, avg. reward: -9.557, 1.584 sec/game, 2.6 min. total, 485.8 MB
prepaid_shoptalk v4 112 games, 82043 moves, e=0.919, loss: 5.9, +, 52.4% elo% vs. random_no_suicide, avg. reward: -9.549, 1.569 sec/game, 2.6 min. total, 486.2 MB
prepaid_shoptalk v4 113 games, 82828 moves, e=0.918, loss: 5.9, -, 50.0% elo% vs. random_no_suicide, avg. reward: -9.524, 1.587 sec/game, 2.6 min. total, 484.3 MB
prepaid_shoptalk v4 114 games, 83719 moves, e=0.917, loss: 5.9, +, 52.3% elo% vs. random_no_suicide, avg. reward: -9.480, 1.605 sec/game, 2.6 min. total, 485.1 MB
prepaid_shoptalk v4 115 games, 84505 moves, e=0.916, loss: 6.0, +, 54.4% elo% vs. random_no_suicide, avg. reward: -9.442, 1.620 sec/game, 2.7 min. total, 485.2 MB
prepaid_shoptalk v4 116 games, 85214 moves, e=0.916, loss: 6.0, +, 56.5% elo% vs. random_no_suicide, avg. reward: -9.449, 1.604 sec/game, 2.7 min. total, 485.2 MB
prepaid_shoptalk v4 117 games, 85916 moves, e=0.915, loss: 6.0, -, 53.9% elo% vs. random_no_suicide, avg. reward: -9.464, 1.606 sec/game, 2.7 min. total, 484.6 MB
prepaid_shoptalk v4 118 games, 86632 moves, e=0.914, loss: 6.1, -, 51.5% elo% vs. random_no_suicide, avg. reward: -9.472, 1.591 sec/game, 2.7 min. total, 484.9 MB
prepaid_shoptalk v4 119 games, 87260 moves, e=0.914, loss: 6.5, -, 49.1% elo% vs. random_no_suicide, avg. reward: -9.482, 1.580 sec/game, 2.8 min. total, 485.2 MB
prepaid_shoptalk v4 120 games, 87975 moves, e=0.913, loss: 6.5, -, 46.8% elo% vs. random_no_suicide, avg. reward: -9.486, 1.591 sec/game, 2.8 min. total, 485.3 MB
prepaid_shoptalk v4 121 games, 88716 moves, e=0.912, loss: 6.7, -, 44.7% elo% vs. random_no_suicide, avg. reward: -9.476, 1.590 sec/game, 2.8 min. total, 485.1 MB
prepaid_shoptalk v4 122 games, 89587 moves, e=0.911, loss: 6.4, -, 42.7% elo% vs. random_no_suicide, avg. reward: -9.465, 1.592 sec/game, 2.8 min. total, 486.0 MB
prepaid_shoptalk v4 123 games, 90585 moves, e=0.910, loss: 6.2, -, 40.8% elo% vs. random_no_suicide, avg. reward: -9.433, 1.617 sec/game, 2.9 min. total, 487.3 MB
prepaid_shoptalk v4 124 games, 91236 moves, e=0.910, loss: 6.0, -, 39.0% elo% vs. random_no_suicide, avg. reward: -9.433, 1.604 sec/game, 2.9 min. total, 491.5 MB
prepaid_shoptalk v4 125 games, 91997 moves, e=0.909, loss: 6.1, -, 37.3% elo% vs. random_no_suicide, avg. reward: -9.430, 1.606 sec/game, 2.9 min. total, 488.3 MB
prepaid_shoptalk v4 126 games, 92691 moves, e=0.908, loss: 6.2, -, 35.7% elo% vs. random_no_suicide, avg. reward: -9.446, 1.619 sec/game, 3.0 min. total, 488.4 MB
prepaid_shoptalk v4 127 games, 93474 moves, e=0.907, loss: 5.9, -, 34.2% elo% vs. random_no_suicide, avg. reward: -9.437, 1.619 sec/game, 3.0 min. total, 488.4 MB
prepaid_shoptalk v4 128 games, 94161 moves, e=0.907, loss: 6.2, -, 32.8% elo% vs. random_no_suicide, avg. reward: -9.444, 1.595 sec/game, 3.0 min. total, 488.5 MB
prepaid_shoptalk v4 129 games, 94864 moves, e=0.906, loss: 6.0, -, 31.5% elo% vs. random_no_suicide, avg. reward: -9.450, 1.587 sec/game, 3.0 min. total, 491.7 MB
prepaid_shoptalk v4 130 games, 95570 moves, e=0.905, loss: 6.1, -, 30.2% elo% vs. random_no_suicide, avg. reward: -9.467, 1.589 sec/game, 3.1 min. total, 488.5 MB
prepaid_shoptalk v4 131 games, 96347 moves, e=0.905, loss: 5.8, ., 31.0% elo% vs. random_no_suicide, avg. reward: -9.468, 1.593 sec/game, 3.1 min. total, 488.8 MB
prepaid_shoptalk v4 132 games, 97080 moves, e=0.904, loss: 5.9, +, 33.8% elo% vs. random_no_suicide, avg. reward: -9.469, 1.601 sec/game, 3.1 min. total, 489.4 MB
prepaid_shoptalk v4 133 games, 97831 moves, e=0.903, loss: 5.7, +, 36.6% elo% vs. random_no_suicide, avg. reward: -9.458, 1.590 sec/game, 3.1 min. total, 490.3 MB
prepaid_shoptalk v4 134 games, 98594 moves, e=0.902, loss: 5.9, -, 35.0% elo% vs. random_no_suicide, avg. reward: -9.462, 1.577 sec/game, 3.2 min. total, 490.3 MB
prepaid_shoptalk v4 135 games, 99377 moves, e=0.902, loss: 5.9, +, 37.8% elo% vs. random_no_suicide, avg. reward: -9.458, 1.581 sec/game, 3.2 min. total, 490.9 MB
prepaid_shoptalk v4 136 games, 100100 moves, e=0.901, loss: 5.8, +, 40.5% elo% vs. random_no_suicide, avg. reward: -9.466, 1.590 sec/game, 3.2 min. total, 493.1 MB
prepaid_shoptalk v4 137 games, 100892 moves, e=0.900, loss: 5.7, -, 38.7% elo% vs. random_no_suicide, avg. reward: -9.452, 1.590 sec/game, 3.2 min. total, 491.1 MB
prepaid_shoptalk v4 138 games, 101709 moves, e=0.899, loss: 5.6, ., 39.2% elo% vs. random_no_suicide, avg. reward: -9.439, 1.606 sec/game, 3.3 min. total, 491.0 MB
prepaid_shoptalk v4 139 games, 102482 moves, e=0.899, loss: 5.4, +, 41.9% elo% vs. random_no_suicide, avg. reward: -9.429, 1.620 sec/game, 3.3 min. total, 491.6 MB
prepaid_shoptalk v4 140 games, 103404 moves, e=0.898, loss: 5.5, -, 40.1% elo% vs. random_no_suicide, avg. reward: -9.398, 1.638 sec/game, 3.3 min. total, 491.6 MB
prepaid_shoptalk v4 141 games, 104153 moves, e=0.897, loss: 5.6, +, 42.7% elo% vs. random_no_suicide, avg. reward: -9.399, 1.644 sec/game, 3.4 min. total, 491.6 MB
prepaid_shoptalk v4 142 games, 104878 moves, e=0.896, loss: 5.6, -, 40.8% elo% vs. random_no_suicide, avg. reward: -9.399, 1.645 sec/game, 3.4 min. total, 492.8 MB
prepaid_shoptalk v4 143 games, 105655 moves, e=0.895, loss: 5.9, -, 39.0% elo% vs. random_no_suicide, avg. reward: -9.387, 1.619 sec/game, 3.4 min. total, 492.6 MB
prepaid_shoptalk v4 144 games, 106380 moves, e=0.895, loss: 6.0, -, 37.3% elo% vs. random_no_suicide, avg. reward: -9.396, 1.633 sec/game, 3.4 min. total, 492.4 MB
prepaid_shoptalk v4 145 games, 107146 moves, e=0.894, loss: 5.8, -, 35.7% elo% vs. random_no_suicide, avg. reward: -9.367, 1.634 sec/game, 3.5 min. total, 492.9 MB
