primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v3 67 games, 48469 moves, e=0.952, loss: 2.7, -, 26.0% elo% vs. random_no_suicide, avg. reward: -9.973, 1.371 sec/game, 1.2 min. total, 467.5 MB
primal_author v3 68 games, 49182 moves, e=0.951, loss: 2.8, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.977, 1.380 sec/game, 1.2 min. total, 468.7 MB
primal_author v3 69 games, 49897 moves, e=0.951, loss: 3.0, -, 24.2% elo% vs. random_no_suicide, avg. reward: -9.976, 1.376 sec/game, 1.3 min. total, 469.2 MB
primal_author v3 70 games, 50673 moves, e=0.950, loss: 3.2, -, 23.4% elo% vs. random_no_suicide, avg. reward: -9.963, 1.386 sec/game, 1.3 min. total, 474.0 MB
primal_author v3 71 games, 51513 moves, e=0.949, loss: 2.9, -, 22.6% elo% vs. random_no_suicide, avg. reward: -9.944, 1.398 sec/game, 1.3 min. total, 473.6 MB
primal_author v3 72 games, 52280 moves, e=0.948, loss: 3.0, -, 21.9% elo% vs. random_no_suicide, avg. reward: -9.935, 1.399 sec/game, 1.3 min. total, 469.4 MB
primal_author v3 73 games, 52972 moves, e=0.948, loss: 3.3, -, 21.2% elo% vs. random_no_suicide, avg. reward: -9.943, 1.388 sec/game, 1.3 min. total, 469.8 MB
primal_author v3 74 games, 53708 moves, e=0.947, loss: 3.3, +, 23.8% elo% vs. random_no_suicide, avg. reward: -9.944, 1.383 sec/game, 1.4 min. total, 470.0 MB
primal_author v3 75 games, 54567 moves, e=0.946, loss: 3.3, -, 23.0% elo% vs. random_no_suicide, avg. reward: -9.920, 1.402 sec/game, 1.4 min. total, 471.3 MB
primal_author v3 76 games, 55269 moves, e=0.945, loss: 3.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.926, 1.383 sec/game, 1.4 min. total, 475.7 MB
primal_author v3 77 games, 56001 moves, e=0.945, loss: 3.6, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.922, 1.384 sec/game, 1.4 min. total, 473.3 MB
primal_author v3 78 games, 56777 moves, e=0.944, loss: 2.7, +, 24.1% elo% vs. random_no_suicide, avg. reward: -9.913, 1.385 sec/game, 1.5 min. total, 474.3 MB
primal_author v3 79 games, 57497 moves, e=0.943, loss: 3.5, ., 25.0% elo% vs. random_no_suicide, avg. reward: -9.915, 1.386 sec/game, 1.5 min. total, 472.9 MB
primal_author v3 80 games, 58375 moves, e=0.942, loss: 2.9, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.889, 1.399 sec/game, 1.5 min. total, 477.3 MB
primal_author v3 81 games, 59091 moves, e=0.941, loss: 3.4, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.890, 1.389 sec/game, 1.5 min. total, 472.9 MB
primal_author v3 82 games, 59653 moves, e=0.941, loss: 3.5, -, 22.6% elo% vs. random_no_suicide, avg. reward: -9.924, 1.374 sec/game, 1.6 min. total, 477.4 MB
primal_author v3 83 games, 60321 moves, e=0.940, loss: 3.4, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.931, 1.362 sec/game, 1.6 min. total, 472.8 MB
primal_author v3 84 games, 61090 moves, e=0.940, loss: 2.9, -, 21.2% elo% vs. random_no_suicide, avg. reward: -9.923, 1.375 sec/game, 1.6 min. total, 477.7 MB
primal_author v3 85 games, 61793 moves, e=0.939, loss: 2.9, -, 20.5% elo% vs. random_no_suicide, avg. reward: -9.927, 1.380 sec/game, 1.6 min. total, 473.1 MB
primal_author v3 86 games, 62439 moves, e=0.938, loss: 3.4, +, 23.0% elo% vs. random_no_suicide, avg. reward: -9.941, 1.371 sec/game, 1.6 min. total, 474.4 MB
primal_author v3 87 games, 63090 moves, e=0.938, loss: 3.5, -, 22.3% elo% vs. random_no_suicide, avg. reward: -9.952, 1.362 sec/game, 1.7 min. total, 472.8 MB
primal_author v3 88 games, 63853 moves, e=0.937, loss: 3.4, -, 21.6% elo% vs. random_no_suicide, avg. reward: -9.943, 1.366 sec/game, 1.7 min. total, 472.8 MB
primal_author v3 89 games, 64685 moves, e=0.936, loss: 3.2, +, 24.1% elo% vs. random_no_suicide, avg. reward: -9.927, 1.383 sec/game, 1.7 min. total, 474.5 MB
primal_author v3 90 games, 65283 moves, e=0.935, loss: 3.2, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.951, 1.373 sec/game, 1.7 min. total, 473.1 MB
primal_author v3 91 games, 65950 moves, e=0.935, loss: 2.8, +, 25.9% elo% vs. random_no_suicide, avg. reward: -9.960, 1.352 sec/game, 1.8 min. total, 475.0 MB
primal_author v3 92 games, 66783 moves, e=0.934, loss: 3.3, -, 25.0% elo% vs. random_no_suicide, avg. reward: -9.943, 1.355 sec/game, 1.8 min. total, 473.2 MB
primal_author v3 93 games, 67572 moves, e=0.933, loss: 3.0, -, 24.2% elo% vs. random_no_suicide, avg. reward: -9.934, 1.368 sec/game, 1.8 min. total, 473.4 MB
primal_author v3 94 games, 68291 moves, e=0.932, loss: 3.1, +, 26.8% elo% vs. random_no_suicide, avg. reward: -9.935, 1.365 sec/game, 1.8 min. total, 474.8 MB
primal_author v3 95 games, 69205 moves, e=0.931, loss: 2.8, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.912, 1.364 sec/game, 1.9 min. total, 473.5 MB
primal_author v3 96 games, 69923 moves, e=0.931, loss: 3.0, -, 25.0% elo% vs. random_no_suicide, avg. reward: -9.912, 1.372 sec/game, 1.9 min. total, 473.5 MB
primal_author v3 97 games, 70610 moves, e=0.930, loss: 3.0, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.919, 1.364 sec/game, 1.9 min. total, 474.1 MB
primal_author v3 98 games, 71341 moves, e=0.929, loss: 2.9, ., 25.0% elo% vs. random_no_suicide, avg. reward: -9.918, 1.367 sec/game, 1.9 min. total, 475.7 MB
primal_author v3 99 games, 72118 moves, e=0.929, loss: 3.4, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.909, 1.369 sec/game, 1.9 min. total, 476.1 MB
primal_author v3 100 games, 72829 moves, e=0.928, loss: 3.6, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.910, 1.348 sec/game, 2.0 min. total, 477.6 MB
primal_author v4 101 games, 73609 moves, e=0.927, loss: 3.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.894, 1.370 sec/game, 2.0 min. total, 481.1 MB
primal_author v4 102 games, 74238 moves, e=0.927, loss: 3.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.898, 1.364 sec/game, 2.0 min. total, 481.4 MB
primal_author v4 103 games, 75012 moves, e=0.926, loss: 3.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.894, 1.389 sec/game, 2.0 min. total, 477.7 MB
primal_author v4 104 games, 75674 moves, e=0.925, loss: 3.0, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.888, 1.380 sec/game, 2.1 min. total, 478.1 MB
primal_author v4 105 games, 76517 moves, e=0.924, loss: 3.0, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.861, 1.387 sec/game, 2.1 min. total, 479.8 MB
primal_author v4 106 games, 77298 moves, e=0.923, loss: 2.9, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.856, 1.400 sec/game, 2.1 min. total, 482.7 MB
primal_author v4 107 games, 78102 moves, e=0.923, loss: 3.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.844, 1.426 sec/game, 2.1 min. total, 482.7 MB
primal_author v4 108 games, 78784 moves, e=0.922, loss: 3.1, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.848, 1.415 sec/game, 2.2 min. total, 484.0 MB
primal_author v4 109 games, 79487 moves, e=0.921, loss: 3.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.848, 1.393 sec/game, 2.2 min. total, 483.2 MB
primal_author v4 110 games, 80134 moves, e=0.921, loss: 2.8, -, 32.0% elo% vs. random_no_suicide, avg. reward: -9.855, 1.412 sec/game, 2.2 min. total, 483.4 MB
