slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v9 609 games, 526453 moves, e=0.479, loss: 6.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: -6.459, 2.719 sec/game, 21.6 min. total, 599.7 MB
slashed_kooky v9 610 games, 527619 moves, e=0.478, loss: 6.3, -, 32.0% elo% vs. random_no_suicide, avg. reward: -6.448, 2.742 sec/game, 21.7 min. total, 600.6 MB
slashed_kooky v9 611 games, 528637 moves, e=0.477, loss: 6.5, -, 30.7% elo% vs. random_no_suicide, avg. reward: -6.445, 2.717 sec/game, 21.7 min. total, 600.6 MB
slashed_kooky v9 612 games, 529779 moves, e=0.476, loss: 6.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: -6.436, 2.735 sec/game, 21.7 min. total, 600.5 MB
slashed_kooky v9 613 games, 530828 moves, e=0.474, loss: 6.4, -, 28.4% elo% vs. random_no_suicide, avg. reward: -6.420, 2.748 sec/game, 21.8 min. total, 600.7 MB
slashed_kooky v9 614 games, 531927 moves, e=0.473, loss: 6.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: -6.412, 2.748 sec/game, 21.8 min. total, 600.6 MB
slashed_kooky v9 615 games, 533035 moves, e=0.472, loss: 6.7, -, 26.4% elo% vs. random_no_suicide, avg. reward: -6.406, 2.759 sec/game, 21.9 min. total, 600.5 MB
slashed_kooky v9 616 games, 534270 moves, e=0.471, loss: 6.6, -, 25.4% elo% vs. random_no_suicide, avg. reward: -6.387, 2.767 sec/game, 21.9 min. total, 600.7 MB
slashed_kooky v9 617 games, 535313 moves, e=0.470, loss: 6.3, -, 24.5% elo% vs. random_no_suicide, avg. reward: -6.383, 2.768 sec/game, 22.0 min. total, 601.8 MB
slashed_kooky v9 618 games, 536294 moves, e=0.469, loss: 5.9, -, 23.7% elo% vs. random_no_suicide, avg. reward: -6.397, 2.745 sec/game, 22.0 min. total, 603.4 MB
slashed_kooky v9 619 games, 537404 moves, e=0.468, loss: 5.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: -6.387, 2.761 sec/game, 22.1 min. total, 603.7 MB
slashed_kooky v9 620 games, 538519 moves, e=0.467, loss: 6.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -6.380, 2.779 sec/game, 22.1 min. total, 604.1 MB
slashed_kooky v9 621 games, 539584 moves, e=0.466, loss: 6.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -6.370, 2.789 sec/game, 22.2 min. total, 604.2 MB
slashed_kooky v9 622 games, 540611 moves, e=0.465, loss: 6.4, -, 20.8% elo% vs. random_no_suicide, avg. reward: -6.368, 2.799 sec/game, 22.2 min. total, 604.1 MB
slashed_kooky v9 623 games, 541577 moves, e=0.464, loss: 6.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: -6.377, 2.779 sec/game, 22.3 min. total, 604.8 MB
slashed_kooky v9 624 games, 542756 moves, e=0.463, loss: 6.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.366, 2.772 sec/game, 22.3 min. total, 604.7 MB
slashed_kooky v9 625 games, 544110 moves, e=0.461, loss: 6.2, -, 19.1% elo% vs. random_no_suicide, avg. reward: -6.328, 2.814 sec/game, 22.4 min. total, 604.4 MB
slashed_kooky v9 626 games, 545300 moves, e=0.460, loss: 6.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: -6.307, 2.842 sec/game, 22.4 min. total, 606.2 MB
slashed_kooky v9 627 games, 546323 moves, e=0.459, loss: 6.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -6.305, 2.856 sec/game, 22.5 min. total, 606.8 MB
slashed_kooky v9 628 games, 547428 moves, e=0.458, loss: 6.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: -6.301, 2.842 sec/game, 22.5 min. total, 606.7 MB
slashed_kooky v9 629 games, 548604 moves, e=0.457, loss: 6.0, -, 17.1% elo% vs. random_no_suicide, avg. reward: -6.284, 2.873 sec/game, 22.6 min. total, 606.7 MB
slashed_kooky v9 630 games, 549707 moves, e=0.456, loss: 5.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: -6.273, 2.855 sec/game, 22.6 min. total, 607.7 MB
slashed_kooky v9 631 games, 550669 moves, e=0.455, loss: 6.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -6.271, 2.866 sec/game, 22.7 min. total, 606.7 MB
slashed_kooky v9 632 games, 551725 moves, e=0.454, loss: 6.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -6.258, 2.852 sec/game, 22.7 min. total, 606.8 MB
slashed_kooky v9 633 games, 552707 moves, e=0.453, loss: 6.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: -6.267, 2.838 sec/game, 22.7 min. total, 606.9 MB
slashed_kooky v9 634 games, 553869 moves, e=0.452, loss: 6.4, -, 15.1% elo% vs. random_no_suicide, avg. reward: -6.265, 2.848 sec/game, 22.8 min. total, 607.3 MB
slashed_kooky v9 635 games, 554935 moves, e=0.451, loss: 6.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: -6.270, 2.836 sec/game, 22.8 min. total, 608.7 MB
slashed_kooky v9 636 games, 556043 moves, e=0.450, loss: 6.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: -6.271, 2.835 sec/game, 22.9 min. total, 610.3 MB
slashed_kooky v9 637 games, 557216 moves, e=0.448, loss: 6.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: -6.261, 2.837 sec/game, 22.9 min. total, 609.5 MB
slashed_kooky v9 638 games, 558284 moves, e=0.447, loss: 6.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: -6.252, 2.847 sec/game, 23.0 min. total, 609.2 MB
slashed_kooky v9 639 games, 559466 moves, e=0.446, loss: 6.3, -, 13.4% elo% vs. random_no_suicide, avg. reward: -6.249, 2.847 sec/game, 23.0 min. total, 609.7 MB
slashed_kooky v9 640 games, 560600 moves, e=0.445, loss: 6.1, -, 13.1% elo% vs. random_no_suicide, avg. reward: -6.239, 2.850 sec/game, 23.1 min. total, 609.9 MB
slashed_kooky v9 641 games, 561646 moves, e=0.444, loss: 6.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: -6.237, 2.852 sec/game, 23.1 min. total, 609.7 MB
slashed_kooky v9 642 games, 562796 moves, e=0.443, loss: 6.7, -, 12.6% elo% vs. random_no_suicide, avg. reward: -6.220, 2.865 sec/game, 23.2 min. total, 609.8 MB
slashed_kooky v9 643 games, 563731 moves, e=0.442, loss: 6.6, -, 12.4% elo% vs. random_no_suicide, avg. reward: -6.227, 2.865 sec/game, 23.2 min. total, 610.1 MB
slashed_kooky v9 644 games, 564772 moves, e=0.441, loss: 6.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: -6.223, 2.855 sec/game, 23.3 min. total, 611.4 MB
slashed_kooky v9 645 games, 565886 moves, e=0.440, loss: 6.9, -, 11.9% elo% vs. random_no_suicide, avg. reward: -6.221, 2.828 sec/game, 23.3 min. total, 611.1 MB
slashed_kooky v9 646 games, 567133 moves, e=0.439, loss: 6.5, -, 11.7% elo% vs. random_no_suicide, avg. reward: -6.220, 2.829 sec/game, 23.4 min. total, 611.9 MB
slashed_kooky v9 647 games, 568088 moves, e=0.438, loss: 6.5, -, 11.4% elo% vs. random_no_suicide, avg. reward: -6.226, 2.829 sec/game, 23.4 min. total, 611.9 MB
slashed_kooky v9 648 games, 569301 moves, e=0.436, loss: 6.5, -, 11.2% elo% vs. random_no_suicide, avg. reward: -6.210, 2.840 sec/game, 23.5 min. total, 612.2 MB
slashed_kooky v9 649 games, 570463 moves, e=0.435, loss: 6.3, -, 11.0% elo% vs. random_no_suicide, avg. reward: -6.200, 2.840 sec/game, 23.5 min. total, 613.2 MB
slashed_kooky v9 650 games, 571601 moves, e=0.434, loss: 6.4, -, 10.8% elo% vs. random_no_suicide, avg. reward: -6.185, 2.844 sec/game, 23.6 min. total, 612.3 MB
slashed_kooky v9 651 games, 572831 moves, e=0.433, loss: 6.3, -, 10.6% elo% vs. random_no_suicide, avg. reward: -6.184, 2.872 sec/game, 23.6 min. total, 613.4 MB
slashed_kooky v9 652 games, 573851 moves, e=0.432, loss: 6.1, -, 10.4% elo% vs. random_no_suicide, avg. reward: -6.185, 2.872 sec/game, 23.7 min. total, 614.9 MB
slashed_kooky v9 653 games, 574917 moves, e=0.431, loss: 6.2, -, 10.3% elo% vs. random_no_suicide, avg. reward: -6.181, 2.875 sec/game, 23.7 min. total, 614.7 MB
slashed_kooky v9 654 games, 576224 moves, e=0.430, loss: 6.0, -, 10.1% elo% vs. random_no_suicide, avg. reward: -6.170, 2.898 sec/game, 23.8 min. total, 616.8 MB
slashed_kooky v9 655 games, 577326 moves, e=0.428, loss: 6.7, -, 9.9% elo% vs. random_no_suicide, avg. reward: -6.172, 2.914 sec/game, 23.8 min. total, 615.7 MB
slashed_kooky v9 656 games, 578552 moves, e=0.427, loss: 6.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: -6.152, 2.914 sec/game, 23.9 min. total, 615.8 MB
slashed_kooky v9 657 games, 579759 moves, e=0.426, loss: 6.1, -, 9.6% elo% vs. random_no_suicide, avg. reward: -6.130, 2.931 sec/game, 23.9 min. total, 616.3 MB
slashed_kooky v9 658 games, 580772 moves, e=0.425, loss: 5.7, -, 9.5% elo% vs. random_no_suicide, avg. reward: -6.126, 2.932 sec/game, 24.0 min. total, 617.0 MB
slashed_kooky v9 659 games, 581951 moves, e=0.424, loss: 5.7, -, 9.3% elo% vs. random_no_suicide, avg. reward: -6.104, 2.934 sec/game, 24.0 min. total, 617.1 MB
slashed_kooky v9 660 games, 583023 moves, e=0.423, loss: 5.8, -, 9.2% elo% vs. random_no_suicide, avg. reward: -6.105, 2.911 sec/game, 24.1 min. total, 617.8 MB
slashed_kooky v9 661 games, 584059 moves, e=0.422, loss: 6.0, -, 9.0% elo% vs. random_no_suicide, avg. reward: -6.097, 2.910 sec/game, 24.1 min. total, 619.3 MB
slashed_kooky v9 662 games, 585271 moves, e=0.421, loss: 5.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: -6.080, 2.926 sec/game, 24.2 min. total, 618.0 MB
slashed_kooky v9 663 games, 586308 moves, e=0.420, loss: 6.1, -, 8.8% elo% vs. random_no_suicide, avg. reward: -6.087, 2.927 sec/game, 24.2 min. total, 618.7 MB
slashed_kooky v9 664 games, 587436 moves, e=0.418, loss: 6.2, -, 8.6% elo% vs. random_no_suicide, avg. reward: -6.065, 2.937 sec/game, 24.2 min. total, 618.2 MB
slashed_kooky v9 665 games, 588649 moves, e=0.417, loss: 6.3, -, 8.5% elo% vs. random_no_suicide, avg. reward: -6.051, 2.951 sec/game, 24.3 min. total, 618.9 MB
slashed_kooky v9 666 games, 589705 moves, e=0.416, loss: 6.5, -, 8.4% elo% vs. random_no_suicide, avg. reward: -6.045, 2.938 sec/game, 24.3 min. total, 619.2 MB
slashed_kooky v9 667 games, 590835 moves, e=0.415, loss: 7.0, -, 8.3% elo% vs. random_no_suicide, avg. reward: -6.037, 2.942 sec/game, 24.4 min. total, 618.8 MB
slashed_kooky v9 668 games, 591972 moves, e=0.414, loss: 6.9, -, 8.1% elo% vs. random_no_suicide, avg. reward: -6.023, 2.940 sec/game, 24.4 min. total, 620.3 MB
slashed_kooky v9 669 games, 592971 moves, e=0.413, loss: 7.0, -, 8.0% elo% vs. random_no_suicide, avg. reward: -6.017, 2.923 sec/game, 24.5 min. total, 620.3 MB
slashed_kooky v9 670 games, 594129 moves, e=0.412, loss: 6.9, -, 7.9% elo% vs. random_no_suicide, avg. reward: -6.007, 2.919 sec/game, 24.5 min. total, 621.3 MB
slashed_kooky v9 671 games, 595204 moves, e=0.411, loss: 6.5, -, 7.8% elo% vs. random_no_suicide, avg. reward: -6.007, 2.906 sec/game, 24.6 min. total, 621.4 MB
slashed_kooky v9 672 games, 596287 moves, e=0.410, loss: 6.3, -, 7.7% elo% vs. random_no_suicide, avg. reward: -6.006, 2.907 sec/game, 24.6 min. total, 622.0 MB
slashed_kooky v9 673 games, 597425 moves, e=0.409, loss: 6.0, -, 7.6% elo% vs. random_no_suicide, avg. reward: -5.995, 2.922 sec/game, 24.7 min. total, 622.3 MB
slashed_kooky v9 674 games, 598518 moves, e=0.407, loss: 5.8, -, 7.5% elo% vs. random_no_suicide, avg. reward: -5.985, 2.887 sec/game, 24.7 min. total, 623.2 MB
slashed_kooky v9 675 games, 599675 moves, e=0.406, loss: 6.1, -, 7.4% elo% vs. random_no_suicide, avg. reward: -5.964, 2.886 sec/game, 24.8 min. total, 622.2 MB
slashed_kooky v9 676 games, 600681 moves, e=0.405, loss: 6.0, -, 7.3% elo% vs. random_no_suicide, avg. reward: -5.961, 2.871 sec/game, 24.8 min. total, 622.4 MB
slashed_kooky v9 677 games, 601802 moves, e=0.404, loss: 5.6, -, 7.2% elo% vs. random_no_suicide, avg. reward: -5.962, 2.854 sec/game, 24.9 min. total, 622.4 MB
slashed_kooky v9 678 games, 603033 moves, e=0.403, loss: 5.8, -, 7.2% elo% vs. random_no_suicide, avg. reward: -5.937, 2.879 sec/game, 24.9 min. total, 623.9 MB
slashed_kooky v9 679 games, 604079 moves, e=0.402, loss: 6.0, -, 7.1% elo% vs. random_no_suicide, avg. reward: -5.939, 2.868 sec/game, 25.0 min. total, 625.7 MB
slashed_kooky v9 680 games, 605247 moves, e=0.401, loss: 5.7, -, 7.0% elo% vs. random_no_suicide, avg. reward: -5.936, 2.889 sec/game, 25.0 min. total, 625.6 MB
slashed_kooky v9 681 games, 606345 moves, e=0.400, loss: 5.6, -, 6.9% elo% vs. random_no_suicide, avg. reward: -5.922, 2.909 sec/game, 25.1 min. total, 625.6 MB
slashed_kooky v9 682 games, 607593 moves, e=0.398, loss: 5.5, -, 6.8% elo% vs. random_no_suicide, avg. reward: -5.900, 2.894 sec/game, 25.1 min. total, 625.5 MB
slashed_kooky v9 683 games, 608828 moves, e=0.397, loss: 6.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: -5.892, 2.924 sec/game, 25.2 min. total, 625.8 MB
slashed_kooky v9 684 games, 609920 moves, e=0.396, loss: 6.1, -, 6.7% elo% vs. random_no_suicide, avg. reward: -5.886, 2.925 sec/game, 25.2 min. total, 626.6 MB
slashed_kooky v9 685 games, 611129 moves, e=0.395, loss: 6.1, -, 6.6% elo% vs. random_no_suicide, avg. reward: -5.874, 2.931 sec/game, 25.3 min. total, 626.9 MB
slashed_kooky v9 686 games, 612261 moves, e=0.394, loss: 6.0, -, 6.5% elo% vs. random_no_suicide, avg. reward: -5.867, 2.932 sec/game, 25.3 min. total, 628.4 MB
slashed_kooky v9 687 games, 613388 moves, e=0.393, loss: 6.3, -, 6.4% elo% vs. random_no_suicide, avg. reward: -5.867, 2.950 sec/game, 25.4 min. total, 628.8 MB
slashed_kooky v9 688 games, 614488 moves, e=0.392, loss: 6.1, -, 6.4% elo% vs. random_no_suicide, avg. reward: -5.860, 2.937 sec/game, 25.4 min. total, 627.9 MB
slashed_kooky v9 689 games, 615548 moves, e=0.391, loss: 6.3, -, 6.3% elo% vs. random_no_suicide, avg. reward: -5.863, 2.941 sec/game, 25.5 min. total, 629.0 MB
slashed_kooky v9 690 games, 616705 moves, e=0.389, loss: 6.4, -, 6.2% elo% vs. random_no_suicide, avg. reward: -5.859, 2.953 sec/game, 25.5 min. total, 629.1 MB
slashed_kooky v9 691 games, 617801 moves, e=0.388, loss: 6.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: -5.858, 2.939 sec/game, 25.6 min. total, 629.4 MB
slashed_kooky v9 692 games, 618971 moves, e=0.387, loss: 6.0, -, 6.1% elo% vs. random_no_suicide, avg. reward: -5.854, 2.951 sec/game, 25.6 min. total, 630.4 MB
slashed_kooky v9 693 games, 619926 moves, e=0.386, loss: 6.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: -5.851, 2.939 sec/game, 25.7 min. total, 630.3 MB
slashed_kooky v9 694 games, 621032 moves, e=0.385, loss: 6.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: -5.850, 2.940 sec/game, 25.7 min. total, 630.1 MB
slashed_kooky v9 695 games, 622178 moves, e=0.384, loss: 6.2, -, 5.9% elo% vs. random_no_suicide, avg. reward: -5.845, 2.945 sec/game, 25.8 min. total, 630.4 MB
slashed_kooky v9 696 games, 623323 moves, e=0.383, loss: 6.3, -, 5.8% elo% vs. random_no_suicide, avg. reward: -5.838, 2.957 sec/game, 25.8 min. total, 633.1 MB
slashed_kooky v9 697 games, 624488 moves, e=0.382, loss: 5.8, -, 5.8% elo% vs. random_no_suicide, avg. reward: -5.836, 2.966 sec/game, 25.9 min. total, 631.9 MB
slashed_kooky v9 698 games, 625658 moves, e=0.381, loss: 6.0, -, 5.7% elo% vs. random_no_suicide, avg. reward: -5.834, 2.954 sec/game, 25.9 min. total, 632.2 MB
slashed_kooky v9 699 games, 626783 moves, e=0.379, loss: 6.4, -, 5.7% elo% vs. random_no_suicide, avg. reward: -5.820, 2.965 sec/game, 26.0 min. total, 632.1 MB
slashed_kooky v9 700 games, 628197 moves, e=0.378, loss: 6.6, -, 5.6% elo% vs. random_no_suicide, avg. reward: -5.797, 2.986 sec/game, 26.0 min. total, 632.2 MB
slashed_kooky v10 701 games, 629374 moves, e=0.377, loss: 6.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.778, 2.985 sec/game, 26.1 min. total, 632.2 MB
slashed_kooky v10 702 games, 630661 moves, e=0.376, loss: 6.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: -5.761, 3.011 sec/game, 26.1 min. total, 632.3 MB
slashed_kooky v10 703 games, 631655 moves, e=0.375, loss: 6.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: -5.765, 2.972 sec/game, 26.2 min. total, 632.0 MB
slashed_kooky v10 704 games, 632593 moves, e=0.374, loss: 6.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -5.779, 2.957 sec/game, 26.2 min. total, 633.5 MB
slashed_kooky v10 705 games, 633717 moves, e=0.373, loss: 6.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -5.767, 2.938 sec/game, 26.2 min. total, 633.8 MB
slashed_kooky v10 706 games, 634846 moves, e=0.372, loss: 6.4, -, 37.9% elo% vs. random_no_suicide, avg. reward: -5.754, 2.938 sec/game, 26.3 min. total, 635.4 MB
slashed_kooky v10 707 games, 636264 moves, e=0.370, loss: 6.3, -, 36.3% elo% vs. random_no_suicide, avg. reward: -5.726, 2.967 sec/game, 26.4 min. total, 635.9 MB
slashed_kooky v10 708 games, 637405 moves, e=0.369, loss: 6.4, -, 34.8% elo% vs. random_no_suicide, avg. reward: -5.725, 2.979 sec/game, 26.4 min. total, 634.7 MB
slashed_kooky v10 709 games, 638678 moves, e=0.368, loss: 6.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -5.703, 3.007 sec/game, 26.5 min. total, 635.3 MB
slashed_kooky v10 710 games, 639960 moves, e=0.366, loss: 6.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: -5.698, 3.017 sec/game, 26.5 min. total, 635.7 MB
slashed_kooky v10 711 games, 640977 moves, e=0.365, loss: 6.0, -, 30.7% elo% vs. random_no_suicide, avg. reward: -5.695, 3.016 sec/game, 26.6 min. total, 635.9 MB
slashed_kooky v10 712 games, 642128 moves, e=0.364, loss: 6.1, -, 29.5% elo% vs. random_no_suicide, avg. reward: -5.697, 3.020 sec/game, 26.6 min. total, 637.9 MB
slashed_kooky v10 713 games, 643212 moves, e=0.363, loss: 6.3, -, 28.4% elo% vs. random_no_suicide, avg. reward: -5.693, 3.028 sec/game, 26.7 min. total, 636.5 MB
slashed_kooky v10 714 games, 644492 moves, e=0.362, loss: 6.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: -5.683, 3.055 sec/game, 26.7 min. total, 638.4 MB
slashed_kooky v10 715 games, 645545 moves, e=0.361, loss: 6.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: -5.687, 3.037 sec/game, 26.8 min. total, 638.7 MB
slashed_kooky v10 716 games, 646618 moves, e=0.360, loss: 6.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: -5.699, 3.026 sec/game, 26.8 min. total, 638.9 MB
slashed_kooky v10 717 games, 647853 moves, e=0.359, loss: 6.1, -, 24.5% elo% vs. random_no_suicide, avg. reward: -5.685, 3.031 sec/game, 26.9 min. total, 639.2 MB
slashed_kooky v10 718 games, 649078 moves, e=0.357, loss: 6.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: -5.671, 3.036 sec/game, 26.9 min. total, 639.7 MB
slashed_kooky v10 719 games, 650284 moves, e=0.356, loss: 6.3, -, 22.9% elo% vs. random_no_suicide, avg. reward: -5.666, 3.048 sec/game, 27.0 min. total, 639.7 MB
slashed_kooky v10 720 games, 651536 moves, e=0.355, loss: 6.7, -, 22.2% elo% vs. random_no_suicide, avg. reward: -5.659, 3.039 sec/game, 27.0 min. total, 640.0 MB
slashed_kooky v10 721 games, 652914 moves, e=0.354, loss: 6.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: -5.644, 3.051 sec/game, 27.1 min. total, 639.9 MB
slashed_kooky v10 722 games, 654097 moves, e=0.352, loss: 6.4, -, 20.8% elo% vs. random_no_suicide, avg. reward: -5.631, 3.036 sec/game, 27.1 min. total, 641.2 MB
slashed_kooky v10 723 games, 654969 moves, e=0.352, loss: 6.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: -5.635, 3.021 sec/game, 27.2 min. total, 640.7 MB
slashed_kooky v10 724 games, 656069 moves, e=0.350, loss: 6.7, -, 19.6% elo% vs. random_no_suicide, avg. reward: -5.638, 3.037 sec/game, 27.2 min. total, 641.6 MB
slashed_kooky v10 725 games, 657168 moves, e=0.349, loss: 6.5, -, 19.1% elo% vs. random_no_suicide, avg. reward: -5.650, 3.050 sec/game, 27.3 min. total, 641.2 MB
slashed_kooky v10 726 games, 658249 moves, e=0.348, loss: 6.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: -5.652, 3.043 sec/game, 27.3 min. total, 642.5 MB
slashed_kooky v10 727 games, 659286 moves, e=0.347, loss: 6.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: -5.652, 2.998 sec/game, 27.4 min. total, 641.8 MB
slashed_kooky v10 728 games, 660380 moves, e=0.346, loss: 6.8, -, 17.5% elo% vs. random_no_suicide, avg. reward: -5.653, 2.999 sec/game, 27.4 min. total, 641.9 MB
slashed_kooky v10 729 games, 661598 moves, e=0.345, loss: 7.0, -, 17.1% elo% vs. random_no_suicide, avg. reward: -5.651, 2.984 sec/game, 27.5 min. total, 643.6 MB
slashed_kooky v10 730 games, 663158 moves, e=0.343, loss: 6.5, -, 16.6% elo% vs. random_no_suicide, avg. reward: -5.636, 3.009 sec/game, 27.5 min. total, 643.6 MB
slashed_kooky v10 731 games, 664319 moves, e=0.342, loss: 6.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: -5.623, 3.028 sec/game, 27.6 min. total, 644.2 MB
slashed_kooky v10 732 games, 665576 moves, e=0.341, loss: 6.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -5.610, 3.039 sec/game, 27.6 min. total, 644.2 MB
slashed_kooky v10 733 games, 666707 moves, e=0.340, loss: 6.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: -5.599, 3.043 sec/game, 27.7 min. total, 644.0 MB
slashed_kooky v10 734 games, 667825 moves, e=0.339, loss: 6.2, -, 15.1% elo% vs. random_no_suicide, avg. reward: -5.597, 3.028 sec/game, 27.7 min. total, 644.2 MB
slashed_kooky v10 735 games, 669068 moves, e=0.338, loss: 5.8, -, 14.7% elo% vs. random_no_suicide, avg. reward: -5.588, 3.056 sec/game, 27.8 min. total, 644.9 MB
slashed_kooky v10 736 games, 670144 moves, e=0.337, loss: 6.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: -5.587, 3.055 sec/game, 27.8 min. total, 645.2 MB
slashed_kooky v10 737 games, 671382 moves, e=0.335, loss: 5.9, -, 14.0% elo% vs. random_no_suicide, avg. reward: -5.584, 3.060 sec/game, 27.9 min. total, 646.5 MB
slashed_kooky v10 738 games, 672647 moves, e=0.334, loss: 6.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: -5.577, 3.069 sec/game, 27.9 min. total, 645.7 MB
slashed_kooky v10 739 games, 673737 moves, e=0.333, loss: 6.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: -5.584, 3.045 sec/game, 28.0 min. total, 646.8 MB
slashed_kooky v10 740 games, 674883 moves, e=0.332, loss: 6.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: -5.583, 3.027 sec/game, 28.0 min. total, 646.9 MB
slashed_kooky v10 741 games, 676340 moves, e=0.330, loss: 6.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: -5.563, 3.042 sec/game, 28.1 min. total, 646.5 MB
slashed_kooky v10 742 games, 677674 moves, e=0.329, loss: 5.9, -, 12.6% elo% vs. random_no_suicide, avg. reward: -5.554, 3.055 sec/game, 28.1 min. total, 647.0 MB
slashed_kooky v10 743 games, 678743 moves, e=0.328, loss: 6.1, -, 12.4% elo% vs. random_no_suicide, avg. reward: -5.541, 3.082 sec/game, 28.2 min. total, 647.1 MB
slashed_kooky v10 744 games, 679891 moves, e=0.327, loss: 6.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: -5.540, 3.085 sec/game, 28.2 min. total, 647.9 MB
slashed_kooky v10 745 games, 681103 moves, e=0.326, loss: 6.6, -, 11.9% elo% vs. random_no_suicide, avg. reward: -5.536, 3.097 sec/game, 28.3 min. total, 649.7 MB
slashed_kooky v10 746 games, 682357 moves, e=0.324, loss: 6.5, -, 11.7% elo% vs. random_no_suicide, avg. reward: -5.534, 3.111 sec/game, 28.3 min. total, 647.6 MB
slashed_kooky v10 747 games, 683387 moves, e=0.323, loss: 6.4, -, 11.4% elo% vs. random_no_suicide, avg. reward: -5.524, 3.106 sec/game, 28.4 min. total, 650.7 MB
slashed_kooky v10 748 games, 684459 moves, e=0.322, loss: 6.5, -, 11.2% elo% vs. random_no_suicide, avg. reward: -5.536, 3.105 sec/game, 28.4 min. total, 649.7 MB
slashed_kooky v10 749 games, 685689 moves, e=0.321, loss: 6.4, -, 11.0% elo% vs. random_no_suicide, avg. reward: -5.531, 3.106 sec/game, 28.5 min. total, 650.1 MB
slashed_kooky v10 750 games, 686902 moves, e=0.320, loss: 6.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: -5.522, 3.076 sec/game, 28.5 min. total, 649.9 MB
slashed_kooky v10 751 games, 688156 moves, e=0.319, loss: 6.5, -, 10.6% elo% vs. random_no_suicide, avg. reward: -5.516, 3.092 sec/game, 28.6 min. total, 650.5 MB
slashed_kooky v10 752 games, 689342 moves, e=0.318, loss: 6.2, -, 10.4% elo% vs. random_no_suicide, avg. reward: -5.507, 3.085 sec/game, 28.7 min. total, 651.1 MB
slashed_kooky v10 753 games, 690492 moves, e=0.316, loss: 6.3, -, 10.3% elo% vs. random_no_suicide, avg. reward: -5.502, 3.085 sec/game, 28.7 min. total, 652.4 MB
slashed_kooky v10 754 games, 691734 moves, e=0.315, loss: 6.2, -, 10.1% elo% vs. random_no_suicide, avg. reward: -5.504, 3.105 sec/game, 28.8 min. total, 652.7 MB
slashed_kooky v10 755 games, 692900 moves, e=0.314, loss: 6.4, -, 9.9% elo% vs. random_no_suicide, avg. reward: -5.495, 3.093 sec/game, 28.8 min. total, 652.9 MB
slashed_kooky v10 756 games, 694082 moves, e=0.313, loss: 6.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: -5.501, 3.106 sec/game, 28.9 min. total, 654.0 MB
