slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v3 62 games, 44224 moves, e=0.956, loss: 7.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.863, 1.556 sec/game, 1.3 min. total, 443.2 MB
slashed_kooky v3 63 games, 44982 moves, e=0.955, loss: 8.2, ., 33.9% elo% vs. random_no_suicide, avg. reward: -9.855, 1.557 sec/game, 1.3 min. total, 443.4 MB
slashed_kooky v3 64 games, 45766 moves, e=0.955, loss: 8.2, -, 32.6% elo% vs. random_no_suicide, avg. reward: -9.842, 1.570 sec/game, 1.4 min. total, 442.8 MB
slashed_kooky v3 65 games, 46328 moves, e=0.954, loss: 7.8, -, 31.3% elo% vs. random_no_suicide, avg. reward: -9.881, 1.542 sec/game, 1.4 min. total, 443.3 MB
slashed_kooky v3 66 games, 47154 moves, e=0.953, loss: 7.7, -, 30.0% elo% vs. random_no_suicide, avg. reward: -9.860, 1.555 sec/game, 1.4 min. total, 443.4 MB
slashed_kooky v3 67 games, 47948 moves, e=0.953, loss: 7.0, -, 28.9% elo% vs. random_no_suicide, avg. reward: -9.848, 1.570 sec/game, 1.4 min. total, 443.5 MB
slashed_kooky v3 68 games, 48653 moves, e=0.952, loss: 7.2, -, 27.8% elo% vs. random_no_suicide, avg. reward: -9.852, 1.573 sec/game, 1.5 min. total, 444.1 MB
slashed_kooky v3 69 games, 49308 moves, e=0.951, loss: 7.3, -, 26.8% elo% vs. random_no_suicide, avg. reward: -9.865, 1.573 sec/game, 1.5 min. total, 445.5 MB
slashed_kooky v3 70 games, 49966 moves, e=0.951, loss: 7.5, -, 25.8% elo% vs. random_no_suicide, avg. reward: -9.878, 1.566 sec/game, 1.5 min. total, 445.5 MB
slashed_kooky v3 71 games, 50687 moves, e=0.950, loss: 7.4, -, 24.9% elo% vs. random_no_suicide, avg. reward: -9.873, 1.570 sec/game, 1.5 min. total, 445.8 MB
slashed_kooky v3 72 games, 51382 moves, e=0.949, loss: 7.7, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.876, 1.576 sec/game, 1.6 min. total, 445.8 MB
slashed_kooky v3 73 games, 52141 moves, e=0.948, loss: 7.0, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.866, 1.591 sec/game, 1.6 min. total, 445.7 MB
slashed_kooky v3 74 games, 53035 moves, e=0.947, loss: 6.6, -, 22.5% elo% vs. random_no_suicide, avg. reward: -9.839, 1.614 sec/game, 1.6 min. total, 446.0 MB
slashed_kooky v3 75 games, 53676 moves, e=0.947, loss: 7.3, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.857, 1.601 sec/game, 1.7 min. total, 445.9 MB
slashed_kooky v3 76 games, 54439 moves, e=0.946, loss: 7.0, -, 21.1% elo% vs. random_no_suicide, avg. reward: -9.848, 1.603 sec/game, 1.7 min. total, 446.4 MB
slashed_kooky v3 77 games, 55180 moves, e=0.945, loss: 6.5, -, 20.5% elo% vs. random_no_suicide, avg. reward: -9.838, 1.637 sec/game, 1.7 min. total, 446.4 MB
slashed_kooky v3 78 games, 55864 moves, e=0.945, loss: 6.7, -, 19.9% elo% vs. random_no_suicide, avg. reward: -9.841, 1.624 sec/game, 1.7 min. total, 447.8 MB
slashed_kooky v3 79 games, 56541 moves, e=0.944, loss: 6.7, -, 19.3% elo% vs. random_no_suicide, avg. reward: -9.842, 1.612 sec/game, 1.8 min. total, 447.7 MB
slashed_kooky v3 80 games, 57244 moves, e=0.943, loss: 7.0, -, 18.8% elo% vs. random_no_suicide, avg. reward: -9.846, 1.626 sec/game, 1.8 min. total, 447.1 MB
slashed_kooky v3 81 games, 57911 moves, e=0.943, loss: 7.0, -, 18.2% elo% vs. random_no_suicide, avg. reward: -9.861, 1.630 sec/game, 1.8 min. total, 448.1 MB
slashed_kooky v3 82 games, 58782 moves, e=0.942, loss: 6.9, -, 17.7% elo% vs. random_no_suicide, avg. reward: -9.838, 1.660 sec/game, 1.9 min. total, 448.7 MB
slashed_kooky v3 83 games, 59509 moves, e=0.941, loss: 6.8, -, 17.3% elo% vs. random_no_suicide, avg. reward: -9.833, 1.649 sec/game, 1.9 min. total, 448.8 MB
slashed_kooky v3 84 games, 60234 moves, e=0.940, loss: 7.2, -, 16.8% elo% vs. random_no_suicide, avg. reward: -9.831, 1.650 sec/game, 1.9 min. total, 448.9 MB
slashed_kooky v3 85 games, 60946 moves, e=0.940, loss: 7.4, -, 16.4% elo% vs. random_no_suicide, avg. reward: -9.832, 1.679 sec/game, 1.9 min. total, 449.0 MB
slashed_kooky v3 86 games, 61790 moves, e=0.939, loss: 7.4, -, 16.0% elo% vs. random_no_suicide, avg. reward: -9.814, 1.670 sec/game, 2.0 min. total, 448.8 MB
slashed_kooky v3 87 games, 62501 moves, e=0.938, loss: 6.9, -, 15.6% elo% vs. random_no_suicide, avg. reward: -9.815, 1.669 sec/game, 2.0 min. total, 449.2 MB
slashed_kooky v3 88 games, 63128 moves, e=0.938, loss: 6.6, -, 15.2% elo% vs. random_no_suicide, avg. reward: -9.831, 1.655 sec/game, 2.0 min. total, 449.4 MB
slashed_kooky v3 89 games, 63868 moves, e=0.937, loss: 5.9, -, 14.9% elo% vs. random_no_suicide, avg. reward: -9.825, 1.655 sec/game, 2.0 min. total, 450.9 MB
slashed_kooky v3 90 games, 64597 moves, e=0.936, loss: 6.0, -, 14.5% elo% vs. random_no_suicide, avg. reward: -9.820, 1.667 sec/game, 2.1 min. total, 450.5 MB
slashed_kooky v3 91 games, 65401 moves, e=0.935, loss: 6.0, -, 14.2% elo% vs. random_no_suicide, avg. reward: -9.807, 1.682 sec/game, 2.1 min. total, 450.5 MB
slashed_kooky v3 92 games, 66062 moves, e=0.935, loss: 6.3, -, 13.9% elo% vs. random_no_suicide, avg. reward: -9.816, 1.680 sec/game, 2.1 min. total, 450.4 MB
slashed_kooky v3 93 games, 66774 moves, e=0.934, loss: 6.2, -, 13.6% elo% vs. random_no_suicide, avg. reward: -9.815, 1.668 sec/game, 2.2 min. total, 451.3 MB
slashed_kooky v3 94 games, 67469 moves, e=0.933, loss: 6.4, -, 13.3% elo% vs. random_no_suicide, avg. reward: -9.819, 1.654 sec/game, 2.2 min. total, 451.5 MB
slashed_kooky v3 95 games, 68283 moves, e=0.932, loss: 6.2, -, 13.0% elo% vs. random_no_suicide, avg. reward: -9.803, 1.676 sec/game, 2.2 min. total, 450.5 MB
slashed_kooky v3 96 games, 69142 moves, e=0.932, loss: 5.9, -, 12.7% elo% vs. random_no_suicide, avg. reward: -9.781, 1.691 sec/game, 2.3 min. total, 450.4 MB
slashed_kooky v3 97 games, 69824 moves, e=0.931, loss: 7.0, -, 12.5% elo% vs. random_no_suicide, avg. reward: -9.786, 1.657 sec/game, 2.3 min. total, 450.5 MB
slashed_kooky v3 98 games, 70628 moves, e=0.930, loss: 6.9, -, 12.2% elo% vs. random_no_suicide, avg. reward: -9.773, 1.678 sec/game, 2.3 min. total, 450.6 MB
slashed_kooky v3 99 games, 71406 moves, e=0.929, loss: 6.9, -, 12.0% elo% vs. random_no_suicide, avg. reward: -9.767, 1.692 sec/game, 2.3 min. total, 451.6 MB
slashed_kooky v3 100 games, 72075 moves, e=0.929, loss: 6.9, -, 11.8% elo% vs. random_no_suicide, avg. reward: -9.771, 1.699 sec/game, 2.4 min. total, 450.4 MB
slashed_kooky v4 101 games, 72701 moves, e=0.928, loss: 6.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.789, 1.687 sec/game, 2.4 min. total, 451.6 MB
slashed_kooky v4 102 games, 73401 moves, e=0.927, loss: 6.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.797, 1.671 sec/game, 2.4 min. total, 450.6 MB
slashed_kooky v4 103 games, 74134 moves, e=0.927, loss: 6.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.795, 1.687 sec/game, 2.4 min. total, 452.1 MB
slashed_kooky v4 104 games, 74904 moves, e=0.926, loss: 6.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.797, 1.692 sec/game, 2.5 min. total, 452.0 MB
