sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v3 49 games, 35887 moves, e=0.964, loss: 32995.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 21.914, 1.645 sec/game, 1.0 min. total, 479.6 MB
sinless_impurity v3 50 games, 36848 moves, e=0.964, loss: 36386.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: 22.376, 1.661 sec/game, 1.1 min. total, 480.3 MB
sinless_impurity v3 51 games, 37648 moves, e=0.963, loss: 39784.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: 22.505, 1.685 sec/game, 1.1 min. total, 481.7 MB
sinless_impurity v3 52 games, 38388 moves, e=0.962, loss: 46835.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: 23.198, 1.692 sec/game, 1.1 min. total, 481.4 MB
sinless_impurity v3 53 games, 39071 moves, e=0.961, loss: 40691.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 22.564, 1.708 sec/game, 1.2 min. total, 481.8 MB
sinless_impurity v3 54 games, 39894 moves, e=0.961, loss: 37997.0, -, 21.5% elo% vs. random_no_suicide, avg. reward: 22.664, 1.711 sec/game, 1.2 min. total, 481.6 MB
sinless_impurity v3 55 games, 40653 moves, e=0.960, loss: 35762.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: 23.044, 1.714 sec/game, 1.2 min. total, 482.5 MB
sinless_impurity v3 56 games, 41328 moves, e=0.959, loss: 36663.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 23.503, 1.715 sec/game, 1.2 min. total, 483.3 MB
sinless_impurity v3 57 games, 42115 moves, e=0.958, loss: 33232.0, -, 19.6% elo% vs. random_no_suicide, avg. reward: 23.831, 1.733 sec/game, 1.3 min. total, 483.4 MB
sinless_impurity v3 58 games, 42905 moves, e=0.958, loss: 41018.9, -, 19.0% elo% vs. random_no_suicide, avg. reward: 23.923, 1.737 sec/game, 1.3 min. total, 483.8 MB
sinless_impurity v3 59 games, 43607 moves, e=0.957, loss: 38616.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 24.069, 1.740 sec/game, 1.3 min. total, 484.6 MB
sinless_impurity v3 60 games, 44394 moves, e=0.956, loss: 57045.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: 23.520, 1.742 sec/game, 1.4 min. total, 485.3 MB
sinless_impurity v3 61 games, 45049 moves, e=0.955, loss: 50220.2, -, 17.5% elo% vs. random_no_suicide, avg. reward: 23.457, 1.731 sec/game, 1.4 min. total, 486.8 MB
sinless_impurity v3 62 games, 45745 moves, e=0.955, loss: 48791.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: 23.608, 1.743 sec/game, 1.4 min. total, 487.2 MB
sinless_impurity v3 63 games, 46639 moves, e=0.954, loss: 44005.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: 23.112, 1.761 sec/game, 1.4 min. total, 487.0 MB
sinless_impurity v3 64 games, 47395 moves, e=0.953, loss: 46530.4, -, 16.2% elo% vs. random_no_suicide, avg. reward: 23.227, 1.763 sec/game, 1.5 min. total, 487.4 MB
sinless_impurity v3 65 games, 48121 moves, e=0.952, loss: 41189.2, -, 15.8% elo% vs. random_no_suicide, avg. reward: 23.357, 1.762 sec/game, 1.5 min. total, 487.4 MB
sinless_impurity v3 66 games, 48866 moves, e=0.952, loss: 43605.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: 23.469, 1.764 sec/game, 1.5 min. total, 487.1 MB
sinless_impurity v3 67 games, 49502 moves, e=0.951, loss: 37949.4, -, 15.0% elo% vs. random_no_suicide, avg. reward: 23.181, 1.753 sec/game, 1.6 min. total, 487.7 MB
sinless_impurity v3 68 games, 50285 moves, e=0.950, loss: 39130.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: 23.270, 1.753 sec/game, 1.6 min. total, 487.4 MB
sinless_impurity v3 69 games, 50932 moves, e=0.950, loss: 43994.4, -, 14.3% elo% vs. random_no_suicide, avg. reward: 23.219, 1.740 sec/game, 1.6 min. total, 487.5 MB
sinless_impurity v3 70 games, 51722 moves, e=0.949, loss: 40723.7, -, 14.0% elo% vs. random_no_suicide, avg. reward: 23.300, 1.739 sec/game, 1.6 min. total, 487.9 MB
sinless_impurity v3 71 games, 52563 moves, e=0.948, loss: 43465.7, -, 13.7% elo% vs. random_no_suicide, avg. reward: 22.856, 1.728 sec/game, 1.7 min. total, 489.3 MB
sinless_impurity v3 72 games, 53269 moves, e=0.947, loss: 38069.8, -, 13.4% elo% vs. random_no_suicide, avg. reward: 22.992, 1.741 sec/game, 1.7 min. total, 489.3 MB
sinless_impurity v3 73 games, 53994 moves, e=0.947, loss: 34173.1, -, 13.1% elo% vs. random_no_suicide, avg. reward: 23.112, 1.731 sec/game, 1.7 min. total, 489.2 MB
sinless_impurity v3 74 games, 54725 moves, e=0.946, loss: 41072.8, -, 12.9% elo% vs. random_no_suicide, avg. reward: 23.408, 1.731 sec/game, 1.8 min. total, 489.3 MB
sinless_impurity v3 75 games, 55471 moves, e=0.945, loss: 37958.7, -, 12.6% elo% vs. random_no_suicide, avg. reward: 23.325, 1.733 sec/game, 1.8 min. total, 489.4 MB
sinless_impurity v3 76 games, 56274 moves, e=0.944, loss: 39746.2, -, 12.3% elo% vs. random_no_suicide, avg. reward: 22.903, 1.754 sec/game, 1.8 min. total, 489.6 MB
sinless_impurity v3 77 games, 56897 moves, e=0.944, loss: 35336.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: 23.085, 1.722 sec/game, 1.8 min. total, 489.4 MB
sinless_impurity v3 78 games, 57762 moves, e=0.943, loss: 39937.7, -, 11.9% elo% vs. random_no_suicide, avg. reward: 23.281, 1.735 sec/game, 1.9 min. total, 489.7 MB
sinless_impurity v3 79 games, 58502 moves, e=0.942, loss: 31730.5, -, 11.6% elo% vs. random_no_suicide, avg. reward: 23.377, 1.749 sec/game, 1.9 min. total, 489.7 MB
sinless_impurity v3 80 games, 59361 moves, e=0.941, loss: 39664.6, -, 11.4% elo% vs. random_no_suicide, avg. reward: 23.567, 1.752 sec/game, 1.9 min. total, 490.9 MB
sinless_impurity v3 81 games, 60141 moves, e=0.940, loss: 40387.1, -, 11.2% elo% vs. random_no_suicide, avg. reward: 23.957, 1.769 sec/game, 2.0 min. total, 494.1 MB
sinless_impurity v3 82 games, 60998 moves, e=0.940, loss: 43571.3, -, 11.0% elo% vs. random_no_suicide, avg. reward: 24.136, 1.783 sec/game, 2.0 min. total, 493.2 MB
sinless_impurity v3 83 games, 61642 moves, e=0.939, loss: 45964.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 24.462, 1.752 sec/game, 2.0 min. total, 493.3 MB
sinless_impurity v3 84 games, 62350 moves, e=0.938, loss: 44928.5, -, 10.6% elo% vs. random_no_suicide, avg. reward: 24.557, 1.755 sec/game, 2.1 min. total, 492.9 MB
sinless_impurity v3 85 games, 63061 moves, e=0.938, loss: 46003.2, -, 10.4% elo% vs. random_no_suicide, avg. reward: 24.154, 1.757 sec/game, 2.1 min. total, 492.9 MB
sinless_impurity v3 86 games, 63832 moves, e=0.937, loss: 52304.7, -, 10.3% elo% vs. random_no_suicide, avg. reward: 24.220, 1.760 sec/game, 2.1 min. total, 493.3 MB
sinless_impurity v3 87 games, 64606 moves, e=0.936, loss: 52149.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 24.432, 1.775 sec/game, 2.1 min. total, 493.3 MB
sinless_impurity v3 88 games, 65365 moves, e=0.935, loss: 47098.8, -, 9.9% elo% vs. random_no_suicide, avg. reward: 24.049, 1.775 sec/game, 2.2 min. total, 493.5 MB
