sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v11 825 games, 801413 moves, e=0.207, loss: 50488.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: 43.895, 4.366 sec/game, 38.6 min. total, 732.4 MB
sinless_impurity v11 826 games, 802636 moves, e=0.205, loss: 54429.1, -, 19.6% elo% vs. random_no_suicide, avg. reward: 43.423, 4.322 sec/game, 38.7 min. total, 732.4 MB
sinless_impurity v11 827 games, 803992 moves, e=0.204, loss: 54248.4, -, 19.0% elo% vs. random_no_suicide, avg. reward: 42.574, 4.296 sec/game, 38.8 min. total, 732.7 MB
sinless_impurity v11 828 games, 805373 moves, e=0.203, loss: 45923.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 42.432, 4.300 sec/game, 38.8 min. total, 732.5 MB
sinless_impurity v11 829 games, 806903 moves, e=0.201, loss: 47885.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 42.599, 4.315 sec/game, 38.9 min. total, 732.8 MB
sinless_impurity v11 830 games, 808473 moves, e=0.200, loss: 50137.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 42.852, 4.371 sec/game, 39.0 min. total, 733.6 MB
sinless_impurity v11 831 games, 809942 moves, e=0.198, loss: 46550.1, +, 19.8% elo% vs. random_no_suicide, avg. reward: 42.862, 4.393 sec/game, 39.1 min. total, 735.0 MB
sinless_impurity v11 832 games, 811268 moves, e=0.197, loss: 47979.7, ., 20.7% elo% vs. random_no_suicide, avg. reward: 43.074, 4.356 sec/game, 39.1 min. total, 734.9 MB
sinless_impurity v11 833 games, 812698 moves, e=0.195, loss: 46235.3, -, 20.1% elo% vs. random_no_suicide, avg. reward: 43.148, 4.363 sec/game, 39.2 min. total, 735.0 MB
sinless_impurity v11 834 games, 813880 moves, e=0.194, loss: 56760.3, -, 19.5% elo% vs. random_no_suicide, avg. reward: 43.337, 4.350 sec/game, 39.3 min. total, 735.2 MB
sinless_impurity v11 835 games, 815432 moves, e=0.193, loss: 61402.7, -, 18.9% elo% vs. random_no_suicide, avg. reward: 43.383, 4.370 sec/game, 39.3 min. total, 735.1 MB
sinless_impurity v11 836 games, 816938 moves, e=0.191, loss: 69504.0, -, 18.4% elo% vs. random_no_suicide, avg. reward: 42.920, 4.404 sec/game, 39.4 min. total, 735.2 MB
sinless_impurity v11 837 games, 818197 moves, e=0.190, loss: 57675.6, -, 17.9% elo% vs. random_no_suicide, avg. reward: 43.124, 4.376 sec/game, 39.5 min. total, 735.7 MB
sinless_impurity v11 838 games, 819563 moves, e=0.189, loss: 57396.6, -, 17.4% elo% vs. random_no_suicide, avg. reward: 42.434, 4.377 sec/game, 39.5 min. total, 736.3 MB
sinless_impurity v11 839 games, 821309 moves, e=0.187, loss: 51445.4, -, 17.0% elo% vs. random_no_suicide, avg. reward: 43.257, 4.391 sec/game, 39.6 min. total, 739.4 MB
sinless_impurity v11 840 games, 822994 moves, e=0.185, loss: 47792.5, -, 16.5% elo% vs. random_no_suicide, avg. reward: 43.424, 4.468 sec/game, 39.7 min. total, 739.8 MB
sinless_impurity v11 841 games, 824698 moves, e=0.184, loss: 47424.9, -, 16.1% elo% vs. random_no_suicide, avg. reward: 42.940, 4.492 sec/game, 39.8 min. total, 739.7 MB
sinless_impurity v11 842 games, 826368 moves, e=0.182, loss: 42235.5, -, 15.7% elo% vs. random_no_suicide, avg. reward: 42.989, 4.504 sec/game, 39.9 min. total, 740.4 MB
sinless_impurity v11 843 games, 827936 moves, e=0.180, loss: 43025.3, -, 15.3% elo% vs. random_no_suicide, avg. reward: 43.126, 4.518 sec/game, 40.0 min. total, 740.4 MB
sinless_impurity v11 844 games, 829743 moves, e=0.179, loss: 46229.2, -, 15.0% elo% vs. random_no_suicide, avg. reward: 43.749, 4.542 sec/game, 40.0 min. total, 742.4 MB
sinless_impurity v11 845 games, 831310 moves, e=0.177, loss: 51004.1, -, 14.6% elo% vs. random_no_suicide, avg. reward: 43.736, 4.484 sec/game, 40.1 min. total, 741.4 MB
sinless_impurity v11 846 games, 833149 moves, e=0.175, loss: 52953.8, -, 14.3% elo% vs. random_no_suicide, avg. reward: 43.578, 4.553 sec/game, 40.2 min. total, 741.8 MB
sinless_impurity v11 847 games, 834843 moves, e=0.174, loss: 51162.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: 44.248, 4.578 sec/game, 40.3 min. total, 742.7 MB
sinless_impurity v11 848 games, 836720 moves, e=0.172, loss: 57873.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: 44.500, 4.620 sec/game, 40.4 min. total, 743.9 MB
sinless_impurity v11 849 games, 838199 moves, e=0.170, loss: 69170.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: 44.491, 4.617 sec/game, 40.4 min. total, 743.9 MB
sinless_impurity v11 850 games, 839801 moves, e=0.169, loss: 75551.6, ., 14.2% elo% vs. random_no_suicide, avg. reward: 44.997, 4.562 sec/game, 40.5 min. total, 743.3 MB
sinless_impurity v11 851 games, 841443 moves, e=0.167, loss: 68336.0, -, 13.9% elo% vs. random_no_suicide, avg. reward: 45.133, 4.557 sec/game, 40.6 min. total, 744.7 MB
sinless_impurity v11 852 games, 842927 moves, e=0.166, loss: 69789.7, -, 13.6% elo% vs. random_no_suicide, avg. reward: 45.485, 4.547 sec/game, 40.6 min. total, 744.5 MB
sinless_impurity v11 853 games, 844469 moves, e=0.164, loss: 69408.3, -, 13.3% elo% vs. random_no_suicide, avg. reward: 45.686, 4.548 sec/game, 40.7 min. total, 744.4 MB
sinless_impurity v11 854 games, 846378 moves, e=0.162, loss: 69303.1, -, 13.0% elo% vs. random_no_suicide, avg. reward: 45.701, 4.614 sec/game, 40.8 min. total, 744.7 MB
sinless_impurity v11 855 games, 848032 moves, e=0.160, loss: 56815.9, -, 12.7% elo% vs. random_no_suicide, avg. reward: 46.267, 4.604 sec/game, 40.9 min. total, 744.2 MB
sinless_impurity v11 856 games, 849820 moves, e=0.159, loss: 59325.2, -, 12.5% elo% vs. random_no_suicide, avg. reward: 45.648, 4.610 sec/game, 40.9 min. total, 744.9 MB
sinless_impurity v11 857 games, 851519 moves, e=0.157, loss: 59595.6, -, 12.2% elo% vs. random_no_suicide, avg. reward: 44.915, 4.634 sec/game, 41.0 min. total, 747.3 MB
sinless_impurity v11 858 games, 853289 moves, e=0.155, loss: 50058.1, +, 14.1% elo% vs. random_no_suicide, avg. reward: 44.480, 4.692 sec/game, 41.1 min. total, 747.8 MB
sinless_impurity v11 859 games, 854753 moves, e=0.154, loss: 40604.7, -, 13.7% elo% vs. random_no_suicide, avg. reward: 43.785, 4.657 sec/game, 41.2 min. total, 747.9 MB
sinless_impurity v11 860 games, 856078 moves, e=0.152, loss: 35154.3, -, 13.4% elo% vs. random_no_suicide, avg. reward: 43.775, 4.547 sec/game, 41.2 min. total, 747.6 MB
sinless_impurity v11 861 games, 857573 moves, e=0.151, loss: 29701.5, -, 13.2% elo% vs. random_no_suicide, avg. reward: 43.676, 4.529 sec/game, 41.3 min. total, 747.6 MB
sinless_impurity v11 862 games, 859023 moves, e=0.150, loss: 26036.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 43.822, 4.513 sec/game, 41.4 min. total, 747.2 MB
sinless_impurity v11 863 games, 860379 moves, e=0.148, loss: 30463.7, -, 12.6% elo% vs. random_no_suicide, avg. reward: 43.867, 4.483 sec/game, 41.5 min. total, 747.4 MB
sinless_impurity v11 864 games, 861678 moves, e=0.147, loss: 37279.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: 44.007, 4.432 sec/game, 41.5 min. total, 747.8 MB
sinless_impurity v11 865 games, 862930 moves, e=0.146, loss: 52983.9, -, 12.1% elo% vs. random_no_suicide, avg. reward: 43.972, 4.414 sec/game, 41.6 min. total, 748.6 MB
sinless_impurity v11 866 games, 864246 moves, e=0.144, loss: 58944.7, -, 11.9% elo% vs. random_no_suicide, avg. reward: 44.518, 4.363 sec/game, 41.7 min. total, 748.4 MB
sinless_impurity v11 867 games, 866135 moves, e=0.143, loss: 58802.8, -, 11.7% elo% vs. random_no_suicide, avg. reward: 44.539, 4.403 sec/game, 41.7 min. total, 749.2 MB
sinless_impurity v11 868 games, 867647 moves, e=0.141, loss: 60800.1, -, 11.4% elo% vs. random_no_suicide, avg. reward: 44.342, 4.394 sec/game, 41.8 min. total, 749.3 MB
sinless_impurity v11 869 games, 869329 moves, e=0.139, loss: 51196.9, -, 11.2% elo% vs. random_no_suicide, avg. reward: 44.193, 4.419 sec/game, 41.9 min. total, 749.3 MB
sinless_impurity v11 870 games, 871057 moves, e=0.138, loss: 48313.1, -, 11.0% elo% vs. random_no_suicide, avg. reward: 44.230, 4.467 sec/game, 42.0 min. total, 750.6 MB
sinless_impurity v11 871 games, 873176 moves, e=0.136, loss: 42528.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 44.433, 4.536 sec/game, 42.1 min. total, 753.8 MB
sinless_impurity v11 872 games, 874790 moves, e=0.134, loss: 51510.7, -, 10.6% elo% vs. random_no_suicide, avg. reward: 44.413, 4.573 sec/game, 42.2 min. total, 754.3 MB
sinless_impurity v11 873 games, 876520 moves, e=0.132, loss: 54005.2, -, 10.5% elo% vs. random_no_suicide, avg. reward: 44.321, 4.606 sec/game, 42.3 min. total, 754.1 MB
sinless_impurity v11 874 games, 878099 moves, e=0.131, loss: 61386.4, -, 10.3% elo% vs. random_no_suicide, avg. reward: 44.369, 4.642 sec/game, 42.3 min. total, 754.4 MB
sinless_impurity v11 875 games, 879710 moves, e=0.129, loss: 69336.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 44.394, 4.693 sec/game, 42.4 min. total, 754.2 MB
sinless_impurity v11 876 games, 881178 moves, e=0.128, loss: 68899.6, +, 11.7% elo% vs. random_no_suicide, avg. reward: 45.082, 4.675 sec/game, 42.5 min. total, 755.5 MB
sinless_impurity v11 877 games, 882450 moves, e=0.126, loss: 72063.4, -, 11.5% elo% vs. random_no_suicide, avg. reward: 45.196, 4.633 sec/game, 42.6 min. total, 755.6 MB
sinless_impurity v11 878 games, 884066 moves, e=0.125, loss: 68556.6, -, 11.3% elo% vs. random_no_suicide, avg. reward: 45.191, 4.628 sec/game, 42.6 min. total, 754.1 MB
sinless_impurity v11 879 games, 885643 moves, e=0.123, loss: 68789.2, -, 11.1% elo% vs. random_no_suicide, avg. reward: 45.230, 4.651 sec/game, 42.7 min. total, 754.3 MB
sinless_impurity v11 880 games, 887037 moves, e=0.122, loss: 69459.9, -, 10.9% elo% vs. random_no_suicide, avg. reward: 45.501, 4.636 sec/game, 42.8 min. total, 754.4 MB
sinless_impurity v11 881 games, 888524 moves, e=0.120, loss: 70975.8, -, 10.7% elo% vs. random_no_suicide, avg. reward: 46.390, 4.652 sec/game, 42.9 min. total, 754.8 MB
sinless_impurity v11 882 games, 889783 moves, e=0.119, loss: 76269.5, -, 10.5% elo% vs. random_no_suicide, avg. reward: 46.369, 4.626 sec/game, 42.9 min. total, 754.9 MB
sinless_impurity v11 883 games, 891362 moves, e=0.118, loss: 74758.7, -, 10.3% elo% vs. random_no_suicide, avg. reward: 45.775, 4.663 sec/game, 43.0 min. total, 756.0 MB
sinless_impurity v11 884 games, 892862 moves, e=0.116, loss: 72231.6, -, 10.1% elo% vs. random_no_suicide, avg. reward: 45.926, 4.698 sec/game, 43.1 min. total, 757.4 MB
sinless_impurity v11 885 games, 894416 moves, e=0.115, loss: 62654.3, -, 10.0% elo% vs. random_no_suicide, avg. reward: 45.331, 4.736 sec/game, 43.2 min. total, 757.6 MB
sinless_impurity v11 886 games, 895979 moves, e=0.113, loss: 65315.9, -, 9.8% elo% vs. random_no_suicide, avg. reward: 45.506, 4.775 sec/game, 43.2 min. total, 757.9 MB
sinless_impurity v11 887 games, 897384 moves, e=0.112, loss: 61446.9, -, 9.6% elo% vs. random_no_suicide, avg. reward: 45.671, 4.713 sec/game, 43.3 min. total, 758.1 MB
sinless_impurity v11 888 games, 898842 moves, e=0.110, loss: 52753.7, -, 9.5% elo% vs. random_no_suicide, avg. reward: 45.845, 4.714 sec/game, 43.4 min. total, 758.6 MB
sinless_impurity v11 889 games, 900247 moves, e=0.109, loss: 52564.0, -, 9.3% elo% vs. random_no_suicide, avg. reward: 45.838, 4.684 sec/game, 43.5 min. total, 758.3 MB
sinless_impurity v11 890 games, 902130 moves, e=0.107, loss: 45923.4, ., 10.0% elo% vs. random_no_suicide, avg. reward: 46.652, 4.686 sec/game, 43.6 min. total, 761.7 MB
sinless_impurity v11 891 games, 903641 moves, e=0.105, loss: 45530.0, -, 9.8% elo% vs. random_no_suicide, avg. reward: 46.760, 4.620 sec/game, 43.6 min. total, 761.4 MB
sinless_impurity v11 892 games, 904990 moves, e=0.104, loss: 50327.5, -, 9.7% elo% vs. random_no_suicide, avg. reward: 47.031, 4.585 sec/game, 43.7 min. total, 761.1 MB
sinless_impurity v11 893 games, 906399 moves, e=0.103, loss: 54404.8, -, 9.5% elo% vs. random_no_suicide, avg. reward: 46.430, 4.554 sec/game, 43.8 min. total, 761.5 MB
sinless_impurity v11 894 games, 907632 moves, e=0.101, loss: 56369.9, -, 9.4% elo% vs. random_no_suicide, avg. reward: 46.357, 4.457 sec/game, 43.8 min. total, 761.4 MB
sinless_impurity v11 895 games, 908930 moves, e=0.100, loss: 51277.7, -, 9.2% elo% vs. random_no_suicide, avg. reward: 45.672, 4.400 sec/game, 43.9 min. total, 761.4 MB
sinless_impurity v11 896 games, 910352 moves, e=0.099, loss: 45730.6, -, 9.1% elo% vs. random_no_suicide, avg. reward: 45.595, 4.406 sec/game, 44.0 min. total, 762.1 MB
sinless_impurity v11 897 games, 911874 moves, e=0.097, loss: 51037.1, -, 8.9% elo% vs. random_no_suicide, avg. reward: 45.430, 4.464 sec/game, 44.0 min. total, 761.1 MB
sinless_impurity v11 898 games, 913301 moves, e=0.096, loss: 49689.9, -, 8.8% elo% vs. random_no_suicide, avg. reward: 45.519, 4.433 sec/game, 44.1 min. total, 762.2 MB
sinless_impurity v11 899 games, 914884 moves, e=0.094, loss: 43780.9, -, 8.7% elo% vs. random_no_suicide, avg. reward: 46.164, 4.428 sec/game, 44.2 min. total, 762.2 MB
sinless_impurity v11 900 games, 916638 moves, e=0.093, loss: 40336.5, -, 8.6% elo% vs. random_no_suicide, avg. reward: 46.868, 4.494 sec/game, 44.3 min. total, 763.2 MB
sinless_impurity v12 901 games, 917989 moves, e=0.091, loss: 49029.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: 46.688, 4.464 sec/game, 44.4 min. total, 763.1 MB
sinless_impurity v12 902 games, 919358 moves, e=0.090, loss: 58528.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: 47.207, 4.482 sec/game, 44.4 min. total, 763.4 MB
sinless_impurity v12 903 games, 920767 moves, e=0.088, loss: 56372.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 47.282, 4.464 sec/game, 44.5 min. total, 763.5 MB
sinless_impurity v12 904 games, 922266 moves, e=0.087, loss: 61319.6, -, 41.5% elo% vs. random_no_suicide, avg. reward: 46.862, 4.468 sec/game, 44.6 min. total, 763.4 MB
sinless_impurity v12 905 games, 923859 moves, e=0.085, loss: 55480.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: 46.292, 4.469 sec/game, 44.7 min. total, 765.0 MB
sinless_impurity v12 906 games, 925835 moves, e=0.083, loss: 45434.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: 46.962, 4.537 sec/game, 44.8 min. total, 765.5 MB
sinless_impurity v12 907 games, 927667 moves, e=0.082, loss: 48397.8, -, 36.3% elo% vs. random_no_suicide, avg. reward: 46.403, 4.593 sec/game, 44.8 min. total, 765.9 MB
sinless_impurity v12 908 games, 929252 moves, e=0.080, loss: 36855.8, -, 34.8% elo% vs. random_no_suicide, avg. reward: 46.314, 4.597 sec/game, 44.9 min. total, 766.0 MB
sinless_impurity v12 909 games, 931002 moves, e=0.078, loss: 39078.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: 46.955, 4.649 sec/game, 45.0 min. total, 766.8 MB
sinless_impurity v12 910 games, 932883 moves, e=0.076, loss: 33339.4, -, 32.0% elo% vs. random_no_suicide, avg. reward: 46.972, 4.669 sec/game, 45.1 min. total, 767.8 MB
sinless_impurity v12 911 games, 934856 moves, e=0.074, loss: 45448.8, -, 30.7% elo% vs. random_no_suicide, avg. reward: 47.015, 4.721 sec/game, 45.2 min. total, 771.3 MB
sinless_impurity v12 912 games, 937099 moves, e=0.072, loss: 51317.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 47.188, 4.844 sec/game, 45.3 min. total, 772.4 MB
sinless_impurity v12 913 games, 938654 moves, e=0.071, loss: 59477.4, -, 28.4% elo% vs. random_no_suicide, avg. reward: 47.352, 4.860 sec/game, 45.4 min. total, 772.1 MB
sinless_impurity v12 914 games, 940279 moves, e=0.069, loss: 64757.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: 47.209, 4.912 sec/game, 45.5 min. total, 772.4 MB
sinless_impurity v12 915 games, 941794 moves, e=0.068, loss: 59017.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: 47.256, 4.930 sec/game, 45.5 min. total, 772.1 MB
sinless_impurity v12 916 games, 943505 moves, e=0.066, loss: 63022.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: 47.517, 4.980 sec/game, 45.6 min. total, 771.8 MB
sinless_impurity v12 917 games, 944990 moves, e=0.064, loss: 68525.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: 47.532, 4.970 sec/game, 45.7 min. total, 770.7 MB
sinless_impurity v12 918 games, 946513 moves, e=0.063, loss: 70567.8, -, 23.7% elo% vs. random_no_suicide, avg. reward: 47.681, 4.988 sec/game, 45.8 min. total, 771.2 MB
sinless_impurity v12 919 games, 947901 moves, e=0.062, loss: 72506.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: 47.606, 4.969 sec/game, 45.9 min. total, 770.8 MB
sinless_impurity v12 920 games, 949623 moves, e=0.060, loss: 66609.5, -, 22.2% elo% vs. random_no_suicide, avg. reward: 47.599, 4.953 sec/game, 45.9 min. total, 770.6 MB
sinless_impurity v12 921 games, 951276 moves, e=0.058, loss: 58424.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: 48.153, 4.997 sec/game, 46.0 min. total, 770.7 MB
sinless_impurity v12 922 games, 952807 moves, e=0.057, loss: 61769.2, -, 20.8% elo% vs. random_no_suicide, avg. reward: 48.243, 5.012 sec/game, 46.1 min. total, 771.5 MB
sinless_impurity v12 923 games, 954345 moves, e=0.055, loss: 59956.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 48.145, 5.027 sec/game, 46.2 min. total, 771.6 MB
sinless_impurity v12 924 games, 956305 moves, e=0.053, loss: 64341.5, -, 19.6% elo% vs. random_no_suicide, avg. reward: 47.885, 5.089 sec/game, 46.3 min. total, 773.1 MB
sinless_impurity v12 925 games, 958259 moves, e=0.051, loss: 66111.8, -, 19.1% elo% vs. random_no_suicide, avg. reward: 47.868, 5.139 sec/game, 46.4 min. total, 775.9 MB
sinless_impurity v12 926 games, 959818 moves, e=0.050, loss: 60321.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 48.527, 5.077 sec/game, 46.4 min. total, 775.3 MB
sinless_impurity v12 927 games, 961443 moves, e=0.048, loss: 67388.5, -, 18.0% elo% vs. random_no_suicide, avg. reward: 49.217, 5.057 sec/game, 46.5 min. total, 775.4 MB
sinless_impurity v12 928 games, 963232 moves, e=0.046, loss: 55758.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 49.458, 5.087 sec/game, 46.6 min. total, 775.9 MB
sinless_impurity v12 929 games, 964791 moves, e=0.045, loss: 62723.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: 49.185, 5.055 sec/game, 46.7 min. total, 776.0 MB
sinless_impurity v12 930 games, 966400 moves, e=0.043, loss: 68575.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: 48.488, 5.018 sec/game, 46.8 min. total, 775.9 MB
sinless_impurity v12 931 games, 967950 moves, e=0.042, loss: 63247.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: 48.522, 4.968 sec/game, 46.9 min. total, 775.1 MB
sinless_impurity v12 932 games, 969598 moves, e=0.040, loss: 59226.9, -, 15.8% elo% vs. random_no_suicide, avg. reward: 48.693, 4.867 sec/game, 46.9 min. total, 776.3 MB
sinless_impurity v12 933 games, 971802 moves, e=0.038, loss: 51530.3, -, 15.4% elo% vs. random_no_suicide, avg. reward: 48.882, 4.964 sec/game, 47.0 min. total, 779.4 MB
sinless_impurity v12 934 games, 973735 moves, e=0.036, loss: 57985.9, +, 17.6% elo% vs. random_no_suicide, avg. reward: 48.786, 5.010 sec/game, 47.1 min. total, 781.0 MB
sinless_impurity v12 935 games, 975775 moves, e=0.034, loss: 59023.9, +, 19.9% elo% vs. random_no_suicide, avg. reward: 48.220, 5.072 sec/game, 47.2 min. total, 783.6 MB
sinless_impurity v12 936 games, 977782 moves, e=0.032, loss: 53105.1, -, 19.3% elo% vs. random_no_suicide, avg. reward: 48.935, 5.086 sec/game, 47.3 min. total, 785.4 MB
sinless_impurity v12 937 games, 979859 moves, e=0.030, loss: 51745.8, -, 18.7% elo% vs. random_no_suicide, avg. reward: 49.097, 5.176 sec/game, 47.4 min. total, 789.5 MB
sinless_impurity v12 938 games, 981857 moves, e=0.028, loss: 73310.6, -, 18.2% elo% vs. random_no_suicide, avg. reward: 49.867, 5.222 sec/game, 47.5 min. total, 790.2 MB
sinless_impurity v12 939 games, 983835 moves, e=0.026, loss: 67967.7, -, 17.7% elo% vs. random_no_suicide, avg. reward: 49.721, 5.294 sec/game, 47.6 min. total, 789.3 MB
sinless_impurity v12 940 games, 985241 moves, e=0.025, loss: 61768.9, -, 17.3% elo% vs. random_no_suicide, avg. reward: 49.884, 5.259 sec/game, 47.7 min. total, 788.5 MB
sinless_impurity v12 941 games, 987410 moves, e=0.022, loss: 68862.5, -, 16.8% elo% vs. random_no_suicide, avg. reward: 50.538, 5.324 sec/game, 47.8 min. total, 790.4 MB
sinless_impurity v12 942 games, 989421 moves, e=0.020, loss: 72741.1, -, 16.4% elo% vs. random_no_suicide, avg. reward: 50.582, 5.370 sec/game, 47.9 min. total, 790.0 MB
sinless_impurity v12 943 games, 991273 moves, e=0.019, loss: 74501.7, -, 16.0% elo% vs. random_no_suicide, avg. reward: 50.756, 5.421 sec/game, 48.0 min. total, 789.8 MB
sinless_impurity v12 944 games, 992869 moves, e=0.017, loss: 77383.2, +, 18.2% elo% vs. random_no_suicide, avg. reward: 50.838, 5.354 sec/game, 48.1 min. total, 789.0 MB
sinless_impurity v12 945 games, 994641 moves, e=0.015, loss: 83206.3, -, 17.7% elo% vs. random_no_suicide, avg. reward: 50.940, 5.361 sec/game, 48.2 min. total, 788.1 MB
sinless_impurity v12 946 games, 996335 moves, e=0.014, loss: 76536.7, -, 17.2% elo% vs. random_no_suicide, avg. reward: 51.215, 5.378 sec/game, 48.2 min. total, 787.6 MB
sinless_impurity v12 947 games, 997914 moves, e=0.012, loss: 77570.0, -, 16.8% elo% vs. random_no_suicide, avg. reward: 51.262, 5.378 sec/game, 48.3 min. total, 785.0 MB
sinless_impurity v12 948 games, 999432 moves, e=0.011, loss: 78446.3, -, 16.3% elo% vs. random_no_suicide, avg. reward: 51.295, 5.346 sec/game, 48.4 min. total, 783.0 MB
sinless_impurity v12 949 games, 1001260 moves, e=0.010, loss: 81269.0, -, 15.9% elo% vs. random_no_suicide, avg. reward: 50.697, 5.378 sec/game, 48.5 min. total, 782.4 MB
sinless_impurity v12 950 games, 1002943 moves, e=0.010, loss: 71363.9, -, 15.5% elo% vs. random_no_suicide, avg. reward: 50.856, 5.381 sec/game, 48.6 min. total, 783.9 MB
sinless_impurity v12 951 games, 1004750 moves, e=0.010, loss: 64582.9, -, 15.2% elo% vs. random_no_suicide, avg. reward: 50.315, 5.416 sec/game, 48.7 min. total, 785.7 MB
sinless_impurity v12 952 games, 1006384 moves, e=0.010, loss: 58497.9, -, 14.8% elo% vs. random_no_suicide, avg. reward: 50.183, 5.424 sec/game, 48.7 min. total, 785.8 MB
sinless_impurity v12 953 games, 1008110 moves, e=0.010, loss: 53174.2, -, 14.5% elo% vs. random_no_suicide, avg. reward: 49.608, 5.348 sec/game, 48.8 min. total, 785.6 MB
sinless_impurity v12 954 games, 1009520 moves, e=0.010, loss: 46593.6, -, 14.1% elo% vs. random_no_suicide, avg. reward: 49.675, 5.281 sec/game, 48.9 min. total, 785.7 MB
sinless_impurity v12 955 games, 1010966 moves, e=0.010, loss: 40401.5, -, 13.8% elo% vs. random_no_suicide, avg. reward: 49.891, 5.216 sec/game, 49.0 min. total, 785.5 MB
sinless_impurity v12 956 games, 1012651 moves, e=0.010, loss: 46009.2, -, 13.5% elo% vs. random_no_suicide, avg. reward: 49.890, 5.188 sec/game, 49.1 min. total, 786.4 MB
sinless_impurity v12 957 games, 1014348 moves, e=0.010, loss: 43609.4, -, 13.2% elo% vs. random_no_suicide, avg. reward: 50.839, 5.122 sec/game, 49.1 min. total, 787.4 MB
sinless_impurity v12 958 games, 1016020 moves, e=0.010, loss: 51001.1, -, 13.0% elo% vs. random_no_suicide, avg. reward: 51.618, 5.090 sec/game, 49.2 min. total, 787.7 MB
sinless_impurity v12 959 games, 1017755 moves, e=0.010, loss: 49559.2, -, 12.7% elo% vs. random_no_suicide, avg. reward: 52.378, 5.056 sec/game, 49.3 min. total, 789.3 MB
sinless_impurity v12 960 games, 1019361 moves, e=0.010, loss: 51382.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: 51.855, 5.077 sec/game, 49.4 min. total, 789.3 MB
sinless_impurity v12 961 games, 1021070 moves, e=0.010, loss: 49559.8, -, 12.2% elo% vs. random_no_suicide, avg. reward: 51.972, 5.023 sec/game, 49.5 min. total, 789.5 MB
sinless_impurity v12 962 games, 1022898 moves, e=0.010, loss: 54542.7, -, 11.9% elo% vs. random_no_suicide, avg. reward: 52.042, 5.007 sec/game, 49.6 min. total, 790.9 MB
sinless_impurity v12 963 games, 1024507 moves, e=0.010, loss: 61610.2, -, 11.7% elo% vs. random_no_suicide, avg. reward: 52.055, 4.959 sec/game, 49.6 min. total, 790.2 MB
sinless_impurity v12 964 games, 1026175 moves, e=0.010, loss: 53092.4, -, 11.5% elo% vs. random_no_suicide, avg. reward: 52.313, 4.972 sec/game, 49.7 min. total, 791.9 MB
sinless_impurity v12 965 games, 1027887 moves, e=0.010, loss: 62615.5, -, 11.3% elo% vs. random_no_suicide, avg. reward: 52.495, 4.954 sec/game, 49.8 min. total, 792.2 MB
sinless_impurity v12 966 games, 1029665 moves, e=0.010, loss: 67059.3, -, 11.1% elo% vs. random_no_suicide, avg. reward: 52.769, 4.961 sec/game, 49.9 min. total, 793.8 MB
sinless_impurity v12 967 games, 1031274 moves, e=0.010, loss: 73379.9, -, 10.9% elo% vs. random_no_suicide, avg. reward: 53.386, 4.947 sec/game, 50.0 min. total, 793.7 MB
sinless_impurity v12 968 games, 1032963 moves, e=0.010, loss: 90350.5, ., 11.6% elo% vs. random_no_suicide, avg. reward: 53.507, 4.975 sec/game, 50.1 min. total, 793.1 MB
sinless_impurity v12 969 games, 1034760 moves, e=0.010, loss: 81010.3, -, 11.4% elo% vs. random_no_suicide, avg. reward: 53.986, 4.975 sec/game, 50.1 min. total, 794.0 MB
sinless_impurity v12 970 games, 1036517 moves, e=0.010, loss: 75170.5, -, 11.2% elo% vs. random_no_suicide, avg. reward: 54.032, 4.972 sec/game, 50.2 min. total, 795.5 MB
