shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v16 723 games, 712696 moves, e=0.294, loss: 3.4, +, 56.6% elo% vs. supershibe, avg. reward: -3.401, 3.704 sec/game, 4.9 min. total, 495.0 MB
shelter_stage v16 724 games, 714169 moves, e=0.293, loss: 3.3, +, 58.6% elo% vs. supershibe, avg. reward: -3.399, 3.686 sec/game, 5.0 min. total, 495.2 MB
shelter_stage v16 725 games, 715894 moves, e=0.291, loss: 3.2, +, 60.4% elo% vs. supershibe, avg. reward: -3.390, 3.714 sec/game, 5.0 min. total, 494.7 MB
shelter_stage v16 726 games, 717562 moves, e=0.290, loss: 3.3, +, 62.2% elo% vs. supershibe, avg. reward: -3.385, 3.708 sec/game, 5.1 min. total, 494.7 MB
shelter_stage v16 727 games, 719332 moves, e=0.288, loss: 3.4, +, 63.8% elo% vs. supershibe, avg. reward: -3.379, 3.711 sec/game, 5.1 min. total, 495.3 MB
shelter_stage v16 728 games, 721332 moves, e=0.286, loss: 3.4, +, 65.3% elo% vs. supershibe, avg. reward: -3.367, 3.744 sec/game, 5.2 min. total, 497.3 MB
shelter_stage v16 729 games, 722965 moves, e=0.284, loss: 3.4, +, 66.7% elo% vs. supershibe, avg. reward: -3.365, 3.746 sec/game, 5.3 min. total, 497.4 MB
shelter_stage v16 730 games, 724550 moves, e=0.283, loss: 3.7, +, 68.1% elo% vs. supershibe, avg. reward: -3.363, 3.704 sec/game, 5.3 min. total, 497.4 MB
shelter_stage v16 731 games, 726236 moves, e=0.281, loss: 3.6, +, 69.4% elo% vs. supershibe, avg. reward: -3.344, 3.683 sec/game, 5.4 min. total, 496.8 MB
shelter_stage v16 732 games, 727938 moves, e=0.279, loss: 3.5, +, 70.5% elo% vs. supershibe, avg. reward: -3.332, 3.717 sec/game, 5.5 min. total, 497.9 MB
shelter_stage v17 733 games, 729644 moves, e=0.278, loss: 3.5, -, 49.9% elo% vs. gir, avg. reward: -3.312, 3.703 sec/game, 5.5 min. total, 498.0 MB
shelter_stage v17 734 games, 731324 moves, e=0.276, loss: 4.0, -, 47.6% elo% vs. gir, avg. reward: -3.300, 3.692 sec/game, 5.6 min. total, 498.0 MB
shelter_stage v17 735 games, 732940 moves, e=0.274, loss: 3.7, -, 45.4% elo% vs. gir, avg. reward: -3.290, 3.691 sec/game, 5.6 min. total, 497.9 MB
shelter_stage v17 736 games, 735066 moves, e=0.272, loss: 2.9, -, 43.4% elo% vs. gir, avg. reward: -3.272, 3.719 sec/game, 5.7 min. total, 499.8 MB
shelter_stage v17 737 games, 736831 moves, e=0.271, loss: 3.0, -, 41.4% elo% vs. gir, avg. reward: -3.266, 3.733 sec/game, 5.8 min. total, 500.8 MB
shelter_stage v17 738 games, 738516 moves, e=0.269, loss: 3.0, -, 39.6% elo% vs. gir, avg. reward: -3.257, 3.754 sec/game, 5.8 min. total, 501.5 MB
shelter_stage v17 739 games, 740295 moves, e=0.267, loss: 2.9, -, 37.8% elo% vs. gir, avg. reward: -3.239, 3.755 sec/game, 5.9 min. total, 502.8 MB
shelter_stage v17 740 games, 742123 moves, e=0.265, loss: 2.9, -, 36.2% elo% vs. gir, avg. reward: -3.222, 3.747 sec/game, 5.9 min. total, 503.6 MB
shelter_stage v17 741 games, 743888 moves, e=0.264, loss: 2.8, -, 34.7% elo% vs. gir, avg. reward: -3.205, 3.763 sec/game, 6.0 min. total, 502.9 MB
shelter_stage v17 742 games, 745428 moves, e=0.262, loss: 2.7, -, 33.3% elo% vs. gir, avg. reward: -3.196, 3.707 sec/game, 6.1 min. total, 502.4 MB
shelter_stage v17 743 games, 747244 moves, e=0.260, loss: 2.6, -, 31.9% elo% vs. gir, avg. reward: -3.180, 3.682 sec/game, 6.1 min. total, 502.9 MB
shelter_stage v17 744 games, 749271 moves, e=0.258, loss: 2.7, -, 30.6% elo% vs. gir, avg. reward: -3.162, 3.718 sec/game, 6.2 min. total, 502.3 MB
shelter_stage v17 745 games, 751052 moves, e=0.256, loss: 3.1, -, 29.5% elo% vs. gir, avg. reward: -3.154, 3.716 sec/game, 6.3 min. total, 505.8 MB
shelter_stage v17 746 games, 752680 moves, e=0.255, loss: 3.3, -, 28.3% elo% vs. gir, avg. reward: -3.151, 3.704 sec/game, 6.3 min. total, 505.4 MB
shelter_stage v17 747 games, 754606 moves, e=0.253, loss: 3.5, +, 31.1% elo% vs. gir, avg. reward: -3.142, 3.702 sec/game, 6.4 min. total, 506.0 MB
shelter_stage v17 748 games, 756527 moves, e=0.251, loss: 3.7, +, 33.9% elo% vs. gir, avg. reward: -3.133, 3.688 sec/game, 6.4 min. total, 507.9 MB
shelter_stage v17 749 games, 758422 moves, e=0.249, loss: 3.6, -, 32.5% elo% vs. gir, avg. reward: -3.114, 3.691 sec/game, 6.5 min. total, 506.8 MB
shelter_stage v17 750 games, 760328 moves, e=0.247, loss: 3.3, -, 31.2% elo% vs. gir, avg. reward: -3.099, 3.715 sec/game, 6.6 min. total, 509.2 MB
shelter_stage v17 751 games, 762148 moves, e=0.245, loss: 3.4, -, 30.0% elo% vs. gir, avg. reward: -3.093, 3.711 sec/game, 6.6 min. total, 509.3 MB
shelter_stage v17 752 games, 763761 moves, e=0.244, loss: 3.5, -, 28.8% elo% vs. gir, avg. reward: -3.084, 3.686 sec/game, 6.7 min. total, 509.5 MB
shelter_stage v17 753 games, 765299 moves, e=0.242, loss: 4.2, -, 27.8% elo% vs. gir, avg. reward: -3.076, 3.675 sec/game, 6.7 min. total, 508.5 MB
shelter_stage v17 754 games, 767195 moves, e=0.240, loss: 4.3, -, 26.7% elo% vs. gir, avg. reward: -3.068, 3.697 sec/game, 6.8 min. total, 508.3 MB
shelter_stage v17 755 games, 768926 moves, e=0.239, loss: 3.8, -, 25.8% elo% vs. gir, avg. reward: -3.058, 3.711 sec/game, 6.9 min. total, 506.4 MB
shelter_stage v17 756 games, 770721 moves, e=0.237, loss: 3.9, +, 28.5% elo% vs. gir, avg. reward: -3.047, 3.687 sec/game, 6.9 min. total, 509.2 MB
shelter_stage v17 757 games, 772704 moves, e=0.235, loss: 3.9, -, 27.4% elo% vs. gir, avg. reward: -3.036, 3.702 sec/game, 7.0 min. total, 511.6 MB
shelter_stage v17 758 games, 774783 moves, e=0.233, loss: 3.8, -, 26.4% elo% vs. gir, avg. reward: -3.021, 3.737 sec/game, 7.1 min. total, 513.9 MB
shelter_stage v17 759 games, 776799 moves, e=0.231, loss: 3.1, -, 25.5% elo% vs. gir, avg. reward: -3.006, 3.762 sec/game, 7.1 min. total, 514.4 MB
shelter_stage v17 760 games, 778730 moves, e=0.229, loss: 2.9, -, 24.6% elo% vs. gir, avg. reward: -2.998, 3.776 sec/game, 7.2 min. total, 513.3 MB
shelter_stage v17 761 games, 780584 moves, e=0.227, loss: 2.5, -, 23.8% elo% vs. gir, avg. reward: -2.984, 3.789 sec/game, 7.3 min. total, 516.3 MB
shelter_stage v17 762 games, 782370 moves, e=0.225, loss: 2.5, -, 23.0% elo% vs. gir, avg. reward: -2.971, 3.811 sec/game, 7.3 min. total, 515.3 MB
shelter_stage v17 763 games, 784116 moves, e=0.224, loss: 2.7, -, 22.3% elo% vs. gir, avg. reward: -2.964, 3.800 sec/game, 7.4 min. total, 513.6 MB
shelter_stage v17 764 games, 786061 moves, e=0.222, loss: 3.0, -, 21.6% elo% vs. gir, avg. reward: -2.946, 3.801 sec/game, 7.5 min. total, 512.8 MB
shelter_stage v17 765 games, 787820 moves, e=0.220, loss: 3.3, -, 20.9% elo% vs. gir, avg. reward: -2.934, 3.792 sec/game, 7.5 min. total, 514.5 MB
shelter_stage v17 766 games, 789351 moves, e=0.219, loss: 3.4, -, 20.3% elo% vs. gir, avg. reward: -2.927, 3.799 sec/game, 7.6 min. total, 513.3 MB
shelter_stage v17 767 games, 791179 moves, e=0.217, loss: 3.8, -, 19.7% elo% vs. gir, avg. reward: -2.923, 3.803 sec/game, 7.6 min. total, 513.2 MB
shelter_stage v17 768 games, 792968 moves, e=0.215, loss: 3.9, -, 19.1% elo% vs. gir, avg. reward: -2.906, 3.791 sec/game, 7.7 min. total, 513.3 MB
shelter_stage v17 769 games, 794984 moves, e=0.213, loss: 3.7, -, 18.6% elo% vs. gir, avg. reward: -2.886, 3.796 sec/game, 7.8 min. total, 515.6 MB
shelter_stage v17 770 games, 796849 moves, e=0.211, loss: 3.2, ., 19.5% elo% vs. gir, avg. reward: -2.877, 3.796 sec/game, 7.8 min. total, 514.9 MB
shelter_stage v17 771 games, 798857 moves, e=0.209, loss: 3.1, -, 18.9% elo% vs. gir, avg. reward: -2.870, 3.821 sec/game, 7.9 min. total, 516.4 MB
shelter_stage v17 772 games, 800772 moves, e=0.207, loss: 3.1, -, 18.4% elo% vs. gir, avg. reward: -2.850, 3.852 sec/game, 8.0 min. total, 516.9 MB
shelter_stage v17 773 games, 802480 moves, e=0.206, loss: 2.8, -, 17.9% elo% vs. gir, avg. reward: -2.843, 3.865 sec/game, 8.0 min. total, 515.9 MB
shelter_stage v17 774 games, 804474 moves, e=0.204, loss: 2.5, +, 20.2% elo% vs. gir, avg. reward: -2.833, 3.865 sec/game, 8.1 min. total, 517.0 MB
shelter_stage v17 775 games, 806596 moves, e=0.201, loss: 2.9, -, 19.6% elo% vs. gir, avg. reward: -2.818, 3.904 sec/game, 8.2 min. total, 518.9 MB
shelter_stage v17 776 games, 808911 moves, e=0.199, loss: 2.9, +, 22.0% elo% vs. gir, avg. reward: -2.797, 3.963 sec/game, 8.3 min. total, 522.9 MB
shelter_stage v17 777 games, 811079 moves, e=0.197, loss: 2.7, -, 21.4% elo% vs. gir, avg. reward: -2.782, 3.988 sec/game, 8.3 min. total, 524.0 MB
shelter_stage v17 778 games, 813001 moves, e=0.195, loss: 2.9, -, 20.7% elo% vs. gir, avg. reward: -2.772, 3.984 sec/game, 8.4 min. total, 524.3 MB
shelter_stage v17 779 games, 814902 moves, e=0.193, loss: 3.0, -, 20.1% elo% vs. gir, avg. reward: -2.765, 3.973 sec/game, 8.5 min. total, 524.5 MB
shelter_stage v17 780 games, 817204 moves, e=0.191, loss: 2.5, +, 22.6% elo% vs. gir, avg. reward: -2.737, 4.010 sec/game, 8.5 min. total, 526.4 MB
shelter_stage v17 781 games, 818835 moves, e=0.189, loss: 2.5, -, 21.8% elo% vs. gir, avg. reward: -2.729, 3.987 sec/game, 8.6 min. total, 526.0 MB
shelter_stage v17 782 games, 820850 moves, e=0.187, loss: 3.0, -, 21.2% elo% vs. gir, avg. reward: -2.717, 4.003 sec/game, 8.7 min. total, 525.7 MB
shelter_stage v17 783 games, 823026 moves, e=0.185, loss: 2.9, +, 23.7% elo% vs. gir, avg. reward: -2.698, 4.050 sec/game, 8.7 min. total, 527.4 MB
shelter_stage v17 784 games, 825052 moves, e=0.183, loss: 2.6, -, 22.9% elo% vs. gir, avg. reward: -2.669, 4.054 sec/game, 8.8 min. total, 528.0 MB
shelter_stage v17 785 games, 827157 moves, e=0.181, loss: 2.4, +, 25.5% elo% vs. gir, avg. reward: -2.649, 4.123 sec/game, 8.9 min. total, 526.1 MB
shelter_stage v17 786 games, 829071 moves, e=0.179, loss: 2.3, -, 24.6% elo% vs. gir, avg. reward: -2.638, 4.146 sec/game, 9.0 min. total, 526.4 MB
shelter_stage v17 787 games, 831260 moves, e=0.177, loss: 2.4, -, 23.8% elo% vs. gir, avg. reward: -2.623, 4.166 sec/game, 9.0 min. total, 528.3 MB
shelter_stage v17 788 games, 833292 moves, e=0.175, loss: 2.5, -, 23.0% elo% vs. gir, avg. reward: -2.609, 4.199 sec/game, 9.1 min. total, 528.3 MB
shelter_stage v17 789 games, 835570 moves, e=0.173, loss: 3.5, -, 22.3% elo% vs. gir, avg. reward: -2.596, 4.227 sec/game, 9.2 min. total, 530.6 MB
shelter_stage v17 790 games, 837880 moves, e=0.170, loss: 3.4, -, 21.6% elo% vs. gir, avg. reward: -2.578, 4.266 sec/game, 9.3 min. total, 534.1 MB
shelter_stage v17 791 games, 839856 moves, e=0.169, loss: 3.1, ., 22.5% elo% vs. gir, avg. reward: -2.560, 4.267 sec/game, 9.3 min. total, 535.1 MB
shelter_stage v17 792 games, 842064 moves, e=0.166, loss: 3.1, -, 21.7% elo% vs. gir, avg. reward: -2.545, 4.292 sec/game, 9.4 min. total, 535.1 MB
shelter_stage v17 793 games, 844466 moves, e=0.164, loss: 2.7, -, 21.1% elo% vs. gir, avg. reward: -2.524, 4.361 sec/game, 9.5 min. total, 536.7 MB
shelter_stage v17 794 games, 846847 moves, e=0.162, loss: 2.9, -, 20.4% elo% vs. gir, avg. reward: -2.510, 4.398 sec/game, 9.6 min. total, 535.7 MB
shelter_stage v17 795 games, 849277 moves, e=0.159, loss: 2.5, ., 21.3% elo% vs. gir, avg. reward: -2.489, 4.421 sec/game, 9.7 min. total, 540.2 MB
shelter_stage v17 796 games, 851344 moves, e=0.157, loss: 3.0, -, 20.7% elo% vs. gir, avg. reward: -2.477, 4.400 sec/game, 9.7 min. total, 540.2 MB
shelter_stage v17 797 games, 853578 moves, e=0.155, loss: 3.1, -, 20.1% elo% vs. gir, avg. reward: -2.457, 4.403 sec/game, 9.8 min. total, 540.3 MB
shelter_stage v17 798 games, 855635 moves, e=0.153, loss: 3.3, -, 19.5% elo% vs. gir, avg. reward: -2.442, 4.411 sec/game, 9.9 min. total, 539.6 MB
shelter_stage v17 799 games, 858100 moves, e=0.150, loss: 3.4, -, 18.9% elo% vs. gir, avg. reward: -2.423, 4.466 sec/game, 10.0 min. total, 539.6 MB
shelter_stage v17 800 games, 860444 moves, e=0.148, loss: 3.4, -, 18.4% elo% vs. gir, avg. reward: -2.402, 4.476 sec/game, 10.0 min. total, 541.5 MB
shelter_stage v18 801 games, 862937 moves, e=0.146, loss: 2.7, -, 47.7% elo% vs. gir, avg. reward: -2.386, 4.554 sec/game, 10.1 min. total, 542.8 MB
shelter_stage v18 802 games, 865182 moves, e=0.143, loss: 2.9, +, 50.1% elo% vs. gir, avg. reward: -2.372, 4.590 sec/game, 10.2 min. total, 543.9 MB
shelter_stage v18 803 games, 867320 moves, e=0.141, loss: 2.7, -, 47.8% elo% vs. gir, avg. reward: -2.361, 4.582 sec/game, 10.3 min. total, 544.7 MB
shelter_stage v18 804 games, 869694 moves, e=0.139, loss: 2.9, -, 45.6% elo% vs. gir, avg. reward: -2.347, 4.624 sec/game, 10.4 min. total, 545.3 MB
shelter_stage v18 805 games, 871993 moves, e=0.137, loss: 3.0, -, 43.5% elo% vs. gir, avg. reward: -2.324, 4.616 sec/game, 10.4 min. total, 545.6 MB
shelter_stage v18 806 games, 874458 moves, e=0.134, loss: 3.4, -, 41.6% elo% vs. gir, avg. reward: -2.309, 4.663 sec/game, 10.5 min. total, 546.4 MB
shelter_stage v18 807 games, 876540 moves, e=0.132, loss: 3.3, -, 39.7% elo% vs. gir, avg. reward: -2.301, 4.657 sec/game, 10.6 min. total, 546.2 MB
shelter_stage v18 808 games, 878451 moves, e=0.130, loss: 3.7, -, 38.0% elo% vs. gir, avg. reward: -2.288, 4.638 sec/game, 10.7 min. total, 544.4 MB
shelter_stage v18 809 games, 880784 moves, e=0.128, loss: 3.2, -, 36.4% elo% vs. gir, avg. reward: -2.271, 4.660 sec/game, 10.7 min. total, 545.9 MB
shelter_stage v18 810 games, 882778 moves, e=0.126, loss: 3.4, -, 34.8% elo% vs. gir, avg. reward: -2.267, 4.624 sec/game, 10.8 min. total, 543.3 MB
shelter_stage v18 811 games, 885087 moves, e=0.124, loss: 3.3, +, 37.6% elo% vs. gir, avg. reward: -2.257, 4.649 sec/game, 10.9 min. total, 542.3 MB
shelter_stage v18 812 games, 887580 moves, e=0.121, loss: 3.1, +, 40.3% elo% vs. gir, avg. reward: -2.233, 4.686 sec/game, 11.0 min. total, 543.1 MB
shelter_stage v18 813 games, 889897 moves, e=0.119, loss: 2.7, -, 38.6% elo% vs. gir, avg. reward: -2.217, 4.695 sec/game, 11.1 min. total, 547.7 MB
shelter_stage v18 814 games, 892567 moves, e=0.116, loss: 2.5, -, 36.9% elo% vs. gir, avg. reward: -2.200, 4.727 sec/game, 11.1 min. total, 551.3 MB
shelter_stage v18 815 games, 895444 moves, e=0.114, loss: 2.4, -, 35.3% elo% vs. gir, avg. reward: -2.179, 4.764 sec/game, 11.2 min. total, 555.6 MB
shelter_stage v18 816 games, 897347 moves, e=0.112, loss: 3.1, -, 33.8% elo% vs. gir, avg. reward: -2.169, 4.744 sec/game, 11.3 min. total, 550.7 MB
shelter_stage v18 817 games, 899817 moves, e=0.109, loss: 4.0, +, 36.6% elo% vs. gir, avg. reward: -2.148, 4.765 sec/game, 11.4 min. total, 554.5 MB
shelter_stage v18 818 games, 902446 moves, e=0.107, loss: 3.5, -, 35.1% elo% vs. gir, avg. reward: -2.121, 4.828 sec/game, 11.5 min. total, 557.8 MB
shelter_stage v18 819 games, 905104 moves, e=0.104, loss: 3.3, -, 33.6% elo% vs. gir, avg. reward: -2.108, 4.846 sec/game, 11.6 min. total, 556.3 MB
shelter_stage v18 820 games, 907770 moves, e=0.101, loss: 2.9, -, 32.2% elo% vs. gir, avg. reward: -2.094, 4.859 sec/game, 11.7 min. total, 561.4 MB
shelter_stage v18 821 games, 910280 moves, e=0.099, loss: 2.4, -, 31.0% elo% vs. gir, avg. reward: -2.075, 4.863 sec/game, 11.7 min. total, 563.3 MB
shelter_stage v18 822 games, 912372 moves, e=0.097, loss: 2.9, -, 29.8% elo% vs. gir, avg. reward: -2.065, 4.846 sec/game, 11.8 min. total, 556.0 MB
shelter_stage v18 823 games, 914812 moves, e=0.094, loss: 2.8, +, 32.5% elo% vs. gir, avg. reward: -2.054, 4.880 sec/game, 11.9 min. total, 555.9 MB
shelter_stage v18 824 games, 917463 moves, e=0.092, loss: 2.7, +, 35.3% elo% vs. gir, avg. reward: -2.031, 4.894 sec/game, 12.0 min. total, 555.6 MB
shelter_stage v18 825 games, 920394 moves, e=0.089, loss: 2.5, -, 33.8% elo% vs. gir, avg. reward: -2.018, 4.952 sec/game, 12.1 min. total, 562.4 MB
shelter_stage v18 826 games, 923081 moves, e=0.086, loss: 2.5, -, 32.5% elo% vs. gir, avg. reward: -2.000, 4.980 sec/game, 12.2 min. total, 566.9 MB
shelter_stage v18 827 games, 925541 moves, e=0.084, loss: 2.7, ., 33.2% elo% vs. gir, avg. reward: -1.985, 5.010 sec/game, 12.3 min. total, 568.2 MB
shelter_stage v18 828 games, 928313 moves, e=0.081, loss: 2.7, +, 36.0% elo% vs. gir, avg. reward: -1.974, 5.092 sec/game, 12.4 min. total, 567.8 MB
shelter_stage v18 829 games, 930883 moves, e=0.078, loss: 3.4, ., 36.6% elo% vs. gir, avg. reward: -1.953, 5.106 sec/game, 12.4 min. total, 568.1 MB
shelter_stage v18 830 games, 934152 moves, e=0.075, loss: 2.5, -, 35.0% elo% vs. gir, avg. reward: -1.929, 5.242 sec/game, 12.6 min. total, 571.3 MB
shelter_stage v18 831 games, 936816 moves, e=0.073, loss: 2.4, +, 37.8% elo% vs. gir, avg. reward: -1.911, 5.265 sec/game, 12.6 min. total, 569.9 MB
shelter_stage v18 832 games, 939553 moves, e=0.070, loss: 2.5, -, 36.2% elo% vs. gir, avg. reward: -1.896, 5.289 sec/game, 12.7 min. total, 570.2 MB
shelter_stage v18 833 games, 942590 moves, e=0.067, loss: 2.4, -, 34.6% elo% vs. gir, avg. reward: -1.879, 5.333 sec/game, 12.8 min. total, 570.4 MB
shelter_stage v18 834 games, 945873 moves, e=0.064, loss: 2.4, -, 33.2% elo% vs. gir, avg. reward: -1.858, 5.396 sec/game, 12.9 min. total, 572.3 MB
shelter_stage v18 835 games, 948392 moves, e=0.061, loss: 2.6, -, 31.9% elo% vs. gir, avg. reward: -1.842, 5.372 sec/game, 13.0 min. total, 574.7 MB
shelter_stage v18 836 games, 951439 moves, e=0.058, loss: 2.7, -, 30.6% elo% vs. gir, avg. reward: -1.829, 5.481 sec/game, 13.1 min. total, 574.9 MB
shelter_stage v18 837 games, 954182 moves, e=0.055, loss: 3.1, -, 29.4% elo% vs. gir, avg. reward: -1.810, 5.519 sec/game, 13.2 min. total, 572.3 MB
shelter_stage v18 838 games, 956330 moves, e=0.053, loss: 3.4, -, 28.3% elo% vs. gir, avg. reward: -1.795, 5.510 sec/game, 13.3 min. total, 572.1 MB
shelter_stage v18 839 games, 958559 moves, e=0.051, loss: 3.3, -, 27.3% elo% vs. gir, avg. reward: -1.784, 5.489 sec/game, 13.4 min. total, 559.6 MB
shelter_stage v18 840 games, 960791 moves, e=0.049, loss: 3.7, -, 26.3% elo% vs. gir, avg. reward: -1.771, 5.510 sec/game, 13.5 min. total, 556.2 MB
shelter_stage v18 841 games, 963698 moves, e=0.046, loss: 3.0, -, 25.3% elo% vs. gir, avg. reward: -1.755, 5.537 sec/game, 13.6 min. total, 557.0 MB
shelter_stage v18 842 games, 966664 moves, e=0.043, loss: 3.1, -, 24.5% elo% vs. gir, avg. reward: -1.735, 5.619 sec/game, 13.7 min. total, 561.6 MB
shelter_stage v18 843 games, 969991 moves, e=0.040, loss: 2.4, -, 23.7% elo% vs. gir, avg. reward: -1.717, 5.705 sec/game, 13.8 min. total, 568.1 MB
shelter_stage v18 844 games, 973192 moves, e=0.037, loss: 3.1, -, 22.9% elo% vs. gir, avg. reward: -1.706, 5.758 sec/game, 13.9 min. total, 568.4 MB
shelter_stage v18 845 games, 976187 moves, e=0.034, loss: 2.8, -, 22.1% elo% vs. gir, avg. reward: -1.685, 5.755 sec/game, 14.0 min. total, 567.4 MB
shelter_stage v18 846 games, 979363 moves, e=0.030, loss: 2.7, -, 21.4% elo% vs. gir, avg. reward: -1.663, 5.795 sec/game, 14.1 min. total, 568.8 MB
shelter_stage v18 847 games, 982457 moves, e=0.027, loss: 2.7, -, 20.8% elo% vs. gir, avg. reward: -1.646, 5.865 sec/game, 14.2 min. total, 568.6 MB
shelter_stage v18 848 games, 985903 moves, e=0.024, loss: 3.1, -, 20.2% elo% vs. gir, avg. reward: -1.629, 6.002 sec/game, 14.4 min. total, 569.3 MB
shelter_stage v18 849 games, 988788 moves, e=0.021, loss: 3.1, -, 19.6% elo% vs. gir, avg. reward: -1.614, 6.049 sec/game, 14.5 min. total, 566.4 MB
shelter_stage v18 850 games, 992283 moves, e=0.018, loss: 2.6, -, 19.0% elo% vs. gir, avg. reward: -1.598, 6.097 sec/game, 14.6 min. total, 571.4 MB
shelter_stage v18 851 games, 995850 moves, e=0.014, loss: 2.3, ., 19.9% elo% vs. gir, avg. reward: -1.576, 6.317 sec/game, 14.7 min. total, 573.0 MB
shelter_stage v18 852 games, 999473 moves, e=0.011, loss: 2.4, ., 20.8% elo% vs. gir, avg. reward: -1.551, 6.417 sec/game, 14.9 min. total, 573.7 MB
shelter_stage v18 853 games, 1003075 moves, e=0.010, loss: 2.4, +, 23.3% elo% vs. gir, avg. reward: -1.525, 6.478 sec/game, 15.0 min. total, 573.6 MB
shelter_stage v18 854 games, 1006786 moves, e=0.010, loss: 2.5, -, 22.6% elo% vs. gir, avg. reward: -1.505, 6.542 sec/game, 15.1 min. total, 573.7 MB
shelter_stage v18 855 games, 1010432 moves, e=0.010, loss: 2.2, -, 21.8% elo% vs. gir, avg. reward: -1.482, 6.654 sec/game, 15.2 min. total, 573.5 MB
shelter_stage v18 856 games, 1014254 moves, e=0.010, loss: 2.2, -, 21.2% elo% vs. gir, avg. reward: -1.463, 6.733 sec/game, 15.4 min. total, 575.2 MB
shelter_stage v18 857 games, 1016995 moves, e=0.010, loss: 2.5, +, 23.7% elo% vs. gir, avg. reward: -1.446, 6.748 sec/game, 15.5 min. total, 574.3 MB
shelter_stage v18 858 games, 1020060 moves, e=0.010, loss: 3.1, -, 22.9% elo% vs. gir, avg. reward: -1.435, 6.794 sec/game, 15.6 min. total, 576.1 MB
shelter_stage v18 859 games, 1022977 moves, e=0.010, loss: 3.3, -, 22.2% elo% vs. gir, avg. reward: -1.418, 6.838 sec/game, 15.7 min. total, 577.8 MB
shelter_stage v18 860 games, 1025709 moves, e=0.010, loss: 3.4, -, 21.5% elo% vs. gir, avg. reward: -1.403, 6.828 sec/game, 15.8 min. total, 578.2 MB
shelter_stage v18 861 games, 1028407 moves, e=0.010, loss: 3.4, -, 20.8% elo% vs. gir, avg. reward: -1.388, 6.810 sec/game, 15.9 min. total, 574.8 MB
shelter_stage v18 862 games, 1031348 moves, e=0.010, loss: 3.7, -, 20.2% elo% vs. gir, avg. reward: -1.374, 6.800 sec/game, 16.0 min. total, 575.9 MB
shelter_stage v18 863 games, 1034493 moves, e=0.010, loss: 3.6, -, 19.6% elo% vs. gir, avg. reward: -1.354, 6.772 sec/game, 16.1 min. total, 578.5 MB
shelter_stage v18 864 games, 1037443 moves, e=0.010, loss: 3.9, -, 19.0% elo% vs. gir, avg. reward: -1.338, 6.750 sec/game, 16.2 min. total, 578.5 MB
shelter_stage v18 865 games, 1040236 moves, e=0.010, loss: 3.0, -, 18.5% elo% vs. gir, avg. reward: -1.321, 6.730 sec/game, 16.2 min. total, 577.4 MB
shelter_stage v18 866 games, 1043437 moves, e=0.010, loss: 2.8, +, 20.9% elo% vs. gir, avg. reward: -1.295, 6.733 sec/game, 16.4 min. total, 580.1 MB
shelter_stage v18 867 games, 1047137 moves, e=0.010, loss: 2.5, -, 20.2% elo% vs. gir, avg. reward: -1.276, 6.778 sec/game, 16.5 min. total, 577.7 MB
shelter_stage v18 868 games, 1050528 moves, e=0.010, loss: 2.2, +, 22.7% elo% vs. gir, avg. reward: -1.256, 6.694 sec/game, 16.6 min. total, 580.4 MB
shelter_stage v18 869 games, 1054179 moves, e=0.010, loss: 2.6, -, 22.0% elo% vs. gir, avg. reward: -1.241, 6.740 sec/game, 16.7 min. total, 581.1 MB
shelter_stage v18 870 games, 1056972 moves, e=0.010, loss: 2.6, -, 21.3% elo% vs. gir, avg. reward: -1.226, 6.635 sec/game, 16.8 min. total, 581.0 MB
shelter_stage v18 871 games, 1060122 moves, e=0.010, loss: 2.0, -, 20.6% elo% vs. gir, avg. reward: -1.211, 6.474 sec/game, 16.9 min. total, 581.9 MB
shelter_stage v18 872 games, 1063443 moves, e=0.010, loss: 2.1, -, 20.0% elo% vs. gir, avg. reward: -1.193, 6.473 sec/game, 17.0 min. total, 582.7 MB
shelter_stage v18 873 games, 1066231 moves, e=0.010, loss: 2.1, ., 20.9% elo% vs. gir, avg. reward: -1.174, 6.380 sec/game, 17.1 min. total, 582.7 MB
shelter_stage v18 874 games, 1069502 moves, e=0.010, loss: 2.4, -, 20.3% elo% vs. gir, avg. reward: -1.160, 6.322 sec/game, 17.2 min. total, 586.1 MB
shelter_stage v18 875 games, 1072634 moves, e=0.010, loss: 2.4, -, 19.7% elo% vs. gir, avg. reward: -1.144, 8.171 sec/game, 18.0 min. total, 587.2 MB
shelter_stage v18 876 games, 1075746 moves, e=0.010, loss: 2.4, +, 22.1% elo% vs. gir, avg. reward: -1.132, 8.150 sec/game, 18.1 min. total, 588.1 MB
shelter_stage v18 877 games, 1078665 moves, e=0.010, loss: 2.5, -, 21.5% elo% vs. gir, avg. reward: -1.119, 8.135 sec/game, 18.2 min. total, 585.5 MB
shelter_stage v18 878 games, 1081487 moves, e=0.010, loss: 2.2, +, 24.0% elo% vs. gir, avg. reward: -1.104, 8.107 sec/game, 18.3 min. total, 587.3 MB
shelter_stage v18 879 games, 1084947 moves, e=0.010, loss: 2.4, -, 23.2% elo% vs. gir, avg. reward: -1.085, 8.146 sec/game, 18.4 min. total, 586.9 MB
