shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v4 101 games, 70971 moves, e=0.930, loss: 2.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.890, 1.461 sec/game, 2.0 min. total, 477.6 MB
shelter_stage v4 102 games, 71679 moves, e=0.929, loss: 2.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.883, 1.464 sec/game, 2.1 min. total, 479.9 MB
shelter_stage v4 103 games, 72449 moves, e=0.928, loss: 2.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.867, 1.484 sec/game, 2.1 min. total, 480.1 MB
shelter_stage v4 104 games, 73227 moves, e=0.928, loss: 2.4, +, 46.0% elo% vs. random_no_suicide, avg. reward: -8.862, 1.508 sec/game, 2.1 min. total, 479.4 MB
shelter_stage v4 105 games, 74060 moves, e=0.927, loss: 2.1, ., 46.2% elo% vs. random_no_suicide, avg. reward: -8.842, 1.497 sec/game, 2.1 min. total, 479.4 MB
shelter_stage v4 106 games, 74676 moves, e=0.926, loss: 2.0, -, 44.1% elo% vs. random_no_suicide, avg. reward: -8.844, 1.483 sec/game, 2.2 min. total, 480.2 MB
shelter_stage v4 107 games, 75573 moves, e=0.925, loss: 2.0, -, 42.1% elo% vs. random_no_suicide, avg. reward: -8.811, 1.493 sec/game, 2.2 min. total, 480.1 MB
shelter_stage v4 108 games, 76265 moves, e=0.924, loss: 2.1, -, 40.2% elo% vs. random_no_suicide, avg. reward: -8.811, 1.480 sec/game, 2.2 min. total, 479.9 MB
shelter_stage v4 109 games, 76991 moves, e=0.924, loss: 1.9, -, 38.5% elo% vs. random_no_suicide, avg. reward: -8.802, 1.477 sec/game, 2.2 min. total, 480.0 MB
shelter_stage v4 110 games, 77624 moves, e=0.923, loss: 2.1, -, 36.8% elo% vs. random_no_suicide, avg. reward: -8.808, 1.475 sec/game, 2.3 min. total, 480.5 MB
shelter_stage v4 111 games, 78335 moves, e=0.922, loss: 2.0, -, 35.2% elo% vs. random_no_suicide, avg. reward: -8.801, 1.458 sec/game, 2.3 min. total, 480.5 MB
shelter_stage v4 112 games, 78999 moves, e=0.922, loss: 2.0, -, 33.8% elo% vs. random_no_suicide, avg. reward: -8.812, 1.468 sec/game, 2.3 min. total, 480.4 MB
shelter_stage v4 113 games, 79686 moves, e=0.921, loss: 2.0, -, 32.4% elo% vs. random_no_suicide, avg. reward: -8.816, 1.473 sec/game, 2.3 min. total, 481.2 MB
shelter_stage v4 114 games, 80364 moves, e=0.920, loss: 2.0, -, 31.1% elo% vs. random_no_suicide, avg. reward: -8.820, 1.452 sec/game, 2.3 min. total, 481.2 MB
shelter_stage v4 115 games, 81209 moves, e=0.920, loss: 1.9, -, 29.9% elo% vs. random_no_suicide, avg. reward: -8.803, 1.480 sec/game, 2.4 min. total, 481.6 MB
shelter_stage v4 116 games, 81895 moves, e=0.919, loss: 1.9, -, 28.7% elo% vs. random_no_suicide, avg. reward: -8.802, 1.475 sec/game, 2.4 min. total, 481.6 MB
shelter_stage v4 117 games, 82512 moves, e=0.918, loss: 2.2, -, 27.7% elo% vs. random_no_suicide, avg. reward: -8.799, 1.474 sec/game, 2.4 min. total, 482.4 MB
shelter_stage v4 118 games, 83287 moves, e=0.918, loss: 2.1, -, 26.7% elo% vs. random_no_suicide, avg. reward: -8.789, 1.475 sec/game, 2.4 min. total, 479.6 MB
shelter_stage v4 119 games, 84025 moves, e=0.917, loss: 2.4, -, 25.7% elo% vs. random_no_suicide, avg. reward: -8.783, 1.484 sec/game, 2.5 min. total, 482.4 MB
shelter_stage v4 120 games, 84717 moves, e=0.916, loss: 2.2, -, 24.8% elo% vs. random_no_suicide, avg. reward: -8.790, 1.476 sec/game, 2.5 min. total, 482.3 MB
shelter_stage v4 121 games, 85418 moves, e=0.915, loss: 2.4, -, 24.0% elo% vs. random_no_suicide, avg. reward: -8.796, 1.467 sec/game, 2.5 min. total, 481.8 MB
shelter_stage v4 122 games, 86273 moves, e=0.915, loss: 2.6, -, 23.2% elo% vs. random_no_suicide, avg. reward: -8.773, 1.488 sec/game, 2.6 min. total, 482.6 MB
shelter_stage v4 123 games, 87058 moves, e=0.914, loss: 2.6, -, 22.4% elo% vs. random_no_suicide, avg. reward: -8.769, 1.473 sec/game, 2.6 min. total, 483.9 MB
shelter_stage v4 124 games, 87757 moves, e=0.913, loss: 2.8, -, 21.7% elo% vs. random_no_suicide, avg. reward: -8.775, 1.463 sec/game, 2.6 min. total, 484.4 MB
shelter_stage v4 125 games, 88450 moves, e=0.912, loss: 2.7, -, 21.0% elo% vs. random_no_suicide, avg. reward: -8.785, 1.460 sec/game, 2.6 min. total, 486.2 MB
shelter_stage v4 126 games, 89090 moves, e=0.912, loss: 2.5, -, 20.4% elo% vs. random_no_suicide, avg. reward: -8.795, 1.460 sec/game, 2.6 min. total, 488.7 MB
shelter_stage v4 127 games, 89924 moves, e=0.911, loss: 2.7, +, 22.9% elo% vs. random_no_suicide, avg. reward: -8.781, 1.454 sec/game, 2.7 min. total, 489.0 MB
shelter_stage v4 128 games, 90731 moves, e=0.910, loss: 2.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.737, 1.467 sec/game, 2.7 min. total, 488.9 MB
shelter_stage v4 129 games, 91389 moves, e=0.910, loss: 2.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.738, 1.460 sec/game, 2.7 min. total, 488.9 MB
shelter_stage v4 130 games, 92179 moves, e=0.909, loss: 2.7, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.719, 1.484 sec/game, 2.7 min. total, 489.0 MB
shelter_stage v4 131 games, 93003 moves, e=0.908, loss: 2.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.708, 1.492 sec/game, 2.8 min. total, 489.0 MB
shelter_stage v4 132 games, 93874 moves, e=0.907, loss: 2.8, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.675, 1.510 sec/game, 2.8 min. total, 489.2 MB
shelter_stage v4 133 games, 94670 moves, e=0.906, loss: 2.7, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.663, 1.522 sec/game, 2.8 min. total, 489.8 MB
shelter_stage v4 134 games, 95443 moves, e=0.906, loss: 2.8, +, 21.4% elo% vs. random_no_suicide, avg. reward: -8.646, 1.535 sec/game, 2.9 min. total, 489.4 MB
shelter_stage v4 135 games, 96181 moves, e=0.905, loss: 3.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.636, 1.519 sec/game, 2.9 min. total, 490.4 MB
shelter_stage v4 136 games, 96877 moves, e=0.904, loss: 2.7, -, 20.1% elo% vs. random_no_suicide, avg. reward: -8.637, 1.519 sec/game, 2.9 min. total, 490.4 MB
shelter_stage v4 137 games, 97606 moves, e=0.903, loss: 2.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.644, 1.531 sec/game, 2.9 min. total, 490.4 MB
shelter_stage v4 138 games, 98264 moves, e=0.903, loss: 2.5, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.645, 1.518 sec/game, 3.0 min. total, 490.4 MB
shelter_stage v4 139 games, 99011 moves, e=0.902, loss: 2.3, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.610, 1.521 sec/game, 3.0 min. total, 490.2 MB
shelter_stage v4 140 games, 99732 moves, e=0.901, loss: 2.0, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.605, 1.533 sec/game, 3.0 min. total, 490.6 MB
shelter_stage v4 141 games, 100407 moves, e=0.901, loss: 2.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.606, 1.525 sec/game, 3.0 min. total, 490.5 MB
shelter_stage v4 142 games, 101100 moves, e=0.900, loss: 2.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.613, 1.503 sec/game, 3.1 min. total, 491.4 MB
shelter_stage v4 143 games, 101845 moves, e=0.899, loss: 2.2, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.610, 1.505 sec/game, 3.1 min. total, 488.6 MB
shelter_stage v4 144 games, 102551 moves, e=0.898, loss: 2.1, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.610, 1.513 sec/game, 3.1 min. total, 491.3 MB
shelter_stage v4 145 games, 103379 moves, e=0.898, loss: 2.0, +, 18.4% elo% vs. random_no_suicide, avg. reward: -8.577, 1.518 sec/game, 3.1 min. total, 491.5 MB
shelter_stage v4 146 games, 104185 moves, e=0.897, loss: 2.1, -, 17.9% elo% vs. random_no_suicide, avg. reward: -8.569, 1.533 sec/game, 3.2 min. total, 491.4 MB
shelter_stage v4 147 games, 104912 moves, e=0.896, loss: 2.1, -, 17.4% elo% vs. random_no_suicide, avg. reward: -8.575, 1.527 sec/game, 3.2 min. total, 491.2 MB
shelter_stage v4 148 games, 105679 moves, e=0.895, loss: 2.0, -, 16.9% elo% vs. random_no_suicide, avg. reward: -8.575, 1.528 sec/game, 3.2 min. total, 491.8 MB
shelter_stage v4 149 games, 106422 moves, e=0.895, loss: 2.3, -, 16.5% elo% vs. random_no_suicide, avg. reward: -8.579, 1.538 sec/game, 3.2 min. total, 492.0 MB
