bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v3 44 games, 31046 moves, e=0.969, loss: 3.3, -, 39.3% elo% vs. random_no_suicide, avg. reward: -6.539, 1.353 sec/game, 0.7 min. total, 436.7 MB
bullfight_antiviral v3 45 games, 31787 moves, e=0.969, loss: 3.4, +, 42.0% elo% vs. random_no_suicide, avg. reward: -6.533, 1.376 sec/game, 0.7 min. total, 436.3 MB
bullfight_antiviral v3 46 games, 32444 moves, e=0.968, loss: 3.3, -, 40.1% elo% vs. random_no_suicide, avg. reward: -6.542, 1.377 sec/game, 0.8 min. total, 436.4 MB
bullfight_antiviral v3 47 games, 33262 moves, e=0.967, loss: 3.0, +, 42.8% elo% vs. random_no_suicide, avg. reward: -6.523, 1.384 sec/game, 0.8 min. total, 436.2 MB
bullfight_antiviral v3 48 games, 33884 moves, e=0.966, loss: 2.9, +, 45.4% elo% vs. random_no_suicide, avg. reward: -6.540, 1.388 sec/game, 0.8 min. total, 436.4 MB
bullfight_antiviral v3 49 games, 34522 moves, e=0.966, loss: 3.2, -, 43.3% elo% vs. random_no_suicide, avg. reward: -6.556, 1.377 sec/game, 0.8 min. total, 437.5 MB
bullfight_antiviral v3 50 games, 35231 moves, e=0.965, loss: 3.2, +, 45.9% elo% vs. random_no_suicide, avg. reward: -6.555, 1.389 sec/game, 0.9 min. total, 437.8 MB
bullfight_antiviral v3 51 games, 35965 moves, e=0.964, loss: 3.1, +, 48.4% elo% vs. random_no_suicide, avg. reward: -6.549, 1.381 sec/game, 0.9 min. total, 438.0 MB
bullfight_antiviral v3 52 games, 36652 moves, e=0.964, loss: 2.8, -, 46.2% elo% vs. random_no_suicide, avg. reward: -6.550, 1.380 sec/game, 0.9 min. total, 438.7 MB
bullfight_antiviral v3 53 games, 37385 moves, e=0.963, loss: 2.9, +, 48.6% elo% vs. random_no_suicide, avg. reward: -6.538, 1.386 sec/game, 0.9 min. total, 438.2 MB
bullfight_antiviral v3 54 games, 38018 moves, e=0.962, loss: 3.0, -, 46.4% elo% vs. random_no_suicide, avg. reward: -6.552, 1.380 sec/game, 0.9 min. total, 438.2 MB
bullfight_antiviral v3 55 games, 38673 moves, e=0.962, loss: 3.0, +, 48.9% elo% vs. random_no_suicide, avg. reward: -6.562, 1.356 sec/game, 1.0 min. total, 438.2 MB
bullfight_antiviral v3 56 games, 39549 moves, e=0.961, loss: 3.0, +, 51.2% elo% vs. random_no_suicide, avg. reward: -6.534, 1.365 sec/game, 1.0 min. total, 438.7 MB
bullfight_antiviral v3 57 games, 40381 moves, e=0.960, loss: 2.9, +, 53.5% elo% vs. random_no_suicide, avg. reward: -6.512, 1.389 sec/game, 1.0 min. total, 438.7 MB
bullfight_antiviral v3 58 games, 41087 moves, e=0.959, loss: 2.9, +, 55.6% elo% vs. random_no_suicide, avg. reward: -6.506, 1.391 sec/game, 1.0 min. total, 439.8 MB
bullfight_antiviral v3 59 games, 41812 moves, e=0.959, loss: 3.1, +, 57.6% elo% vs. random_no_suicide, avg. reward: -6.506, 1.397 sec/game, 1.1 min. total, 440.4 MB
bullfight_antiviral v3 60 games, 42647 moves, e=0.958, loss: 3.1, +, 59.5% elo% vs. random_no_suicide, avg. reward: -6.487, 1.422 sec/game, 1.1 min. total, 440.5 MB
bullfight_antiviral v3 61 games, 43318 moves, e=0.957, loss: 3.0, -, 56.8% elo% vs. random_no_suicide, avg. reward: -6.493, 1.411 sec/game, 1.1 min. total, 440.7 MB
bullfight_antiviral v3 62 games, 44010 moves, e=0.956, loss: 3.0, -, 54.2% elo% vs. random_no_suicide, avg. reward: -6.496, 1.417 sec/game, 1.1 min. total, 440.8 MB
bullfight_antiviral v3 63 games, 44688 moves, e=0.956, loss: 2.9, -, 51.7% elo% vs. random_no_suicide, avg. reward: -6.499, 1.411 sec/game, 1.2 min. total, 441.4 MB
bullfight_antiviral v3 64 games, 45504 moves, e=0.955, loss: 2.8, -, 49.4% elo% vs. random_no_suicide, avg. reward: -6.485, 1.411 sec/game, 1.2 min. total, 441.0 MB
bullfight_antiviral v3 65 games, 46162 moves, e=0.954, loss: 3.0, +, 51.7% elo% vs. random_no_suicide, avg. reward: -6.490, 1.396 sec/game, 1.2 min. total, 441.0 MB
bullfight_antiviral v3 66 games, 46904 moves, e=0.954, loss: 3.4, -, 49.3% elo% vs. random_no_suicide, avg. reward: -6.485, 1.409 sec/game, 1.2 min. total, 441.1 MB
bullfight_antiviral v3 67 games, 47666 moves, e=0.953, loss: 3.3, -, 47.0% elo% vs. random_no_suicide, avg. reward: -6.478, 1.408 sec/game, 1.3 min. total, 441.2 MB
bullfight_antiviral v3 68 games, 48362 moves, e=0.952, loss: 3.1, +, 49.5% elo% vs. random_no_suicide, avg. reward: -6.480, 1.418 sec/game, 1.3 min. total, 441.9 MB
bullfight_antiviral v3 69 games, 49065 moves, e=0.951, loss: 3.1, +, 51.8% elo% vs. random_no_suicide, avg. reward: -6.481, 1.434 sec/game, 1.3 min. total, 442.3 MB
bullfight_antiviral v3 70 games, 49717 moves, e=0.951, loss: 3.0, -, 49.4% elo% vs. random_no_suicide, avg. reward: -6.488, 1.427 sec/game, 1.3 min. total, 442.0 MB
bullfight_antiviral v3 71 games, 50445 moves, e=0.950, loss: 2.9, -, 47.2% elo% vs. random_no_suicide, avg. reward: -6.486, 1.449 sec/game, 1.4 min. total, 442.4 MB
bullfight_antiviral v3 72 games, 51247 moves, e=0.949, loss: 2.9, -, 45.0% elo% vs. random_no_suicide, avg. reward: -6.473, 1.451 sec/game, 1.4 min. total, 442.4 MB
bullfight_antiviral v3 73 games, 51975 moves, e=0.949, loss: 2.8, -, 43.0% elo% vs. random_no_suicide, avg. reward: -6.468, 1.454 sec/game, 1.4 min. total, 442.2 MB
bullfight_antiviral v3 74 games, 52697 moves, e=0.948, loss: 2.7, +, 45.5% elo% vs. random_no_suicide, avg. reward: -6.464, 1.469 sec/game, 1.4 min. total, 442.1 MB
bullfight_antiviral v3 75 games, 53306 moves, e=0.947, loss: 2.9, +, 48.0% elo% vs. random_no_suicide, avg. reward: -6.477, 1.469 sec/game, 1.5 min. total, 442.2 MB
bullfight_antiviral v3 76 games, 54092 moves, e=0.946, loss: 3.0, +, 50.4% elo% vs. random_no_suicide, avg. reward: -6.470, 1.470 sec/game, 1.5 min. total, 442.3 MB
bullfight_antiviral v3 77 games, 54901 moves, e=0.946, loss: 3.0, -, 48.1% elo% vs. random_no_suicide, avg. reward: -6.460, 1.463 sec/game, 1.5 min. total, 442.5 MB
bullfight_antiviral v3 78 games, 55623 moves, e=0.945, loss: 3.0, -, 45.9% elo% vs. random_no_suicide, avg. reward: -6.454, 1.472 sec/game, 1.5 min. total, 443.6 MB
bullfight_antiviral v3 79 games, 56433 moves, e=0.944, loss: 2.8, -, 43.8% elo% vs. random_no_suicide, avg. reward: -6.446, 1.477 sec/game, 1.6 min. total, 444.3 MB
bullfight_antiviral v3 80 games, 57096 moves, e=0.943, loss: 2.8, -, 41.8% elo% vs. random_no_suicide, avg. reward: -6.453, 1.468 sec/game, 1.6 min. total, 443.6 MB
bullfight_antiviral v3 81 games, 57845 moves, e=0.943, loss: 2.6, +, 44.5% elo% vs. random_no_suicide, avg. reward: -6.449, 1.480 sec/game, 1.6 min. total, 444.6 MB
bullfight_antiviral v3 82 games, 58538 moves, e=0.942, loss: 2.6, -, 42.5% elo% vs. random_no_suicide, avg. reward: -6.454, 1.493 sec/game, 1.6 min. total, 444.3 MB
bullfight_antiviral v3 83 games, 59283 moves, e=0.941, loss: 2.7, +, 45.1% elo% vs. random_no_suicide, avg. reward: -6.450, 1.491 sec/game, 1.7 min. total, 443.5 MB
bullfight_antiviral v3 84 games, 59974 moves, e=0.941, loss: 2.8, -, 43.0% elo% vs. random_no_suicide, avg. reward: -6.457, 1.477 sec/game, 1.7 min. total, 443.8 MB
bullfight_antiviral v3 85 games, 60684 moves, e=0.940, loss: 3.0, +, 45.6% elo% vs. random_no_suicide, avg. reward: -6.457, 1.497 sec/game, 1.7 min. total, 443.8 MB
bullfight_antiviral v3 86 games, 61443 moves, e=0.939, loss: 3.0, +, 48.1% elo% vs. random_no_suicide, avg. reward: -6.451, 1.506 sec/game, 1.7 min. total, 443.9 MB
bullfight_antiviral v3 87 games, 62209 moves, e=0.938, loss: 3.0, -, 45.9% elo% vs. random_no_suicide, avg. reward: -6.446, 1.512 sec/game, 1.8 min. total, 444.6 MB
bullfight_antiviral v3 88 games, 62973 moves, e=0.938, loss: 3.1, +, 48.4% elo% vs. random_no_suicide, avg. reward: -6.443, 1.510 sec/game, 1.8 min. total, 444.5 MB
bullfight_antiviral v3 89 games, 63570 moves, e=0.937, loss: 3.0, -, 46.2% elo% vs. random_no_suicide, avg. reward: -6.462, 1.496 sec/game, 1.8 min. total, 445.0 MB
bullfight_antiviral v3 90 games, 64454 moves, e=0.936, loss: 2.8, +, 48.6% elo% vs. random_no_suicide, avg. reward: -6.446, 1.529 sec/game, 1.8 min. total, 445.0 MB
bullfight_antiviral v3 91 games, 65210 moves, e=0.935, loss: 2.7, +, 51.0% elo% vs. random_no_suicide, avg. reward: -6.441, 1.525 sec/game, 1.9 min. total, 445.4 MB
bullfight_antiviral v3 92 games, 66080 moves, e=0.935, loss: 2.5, -, 48.6% elo% vs. random_no_suicide, avg. reward: -6.425, 1.537 sec/game, 1.9 min. total, 445.4 MB
