water_affection v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.9 MB
water_affection v29 2767 games, 7768847 moves, e=0.010, loss: 10455279.3, -, 0.8% elo% vs. v27, avg. reward: -8.746, 1.968 sec/game, 200.1 min. total, 1343.5 MB
water_affection v29 2768 games, 7769731 moves, e=0.010, loss: 11233917.4, -, 0.8% elo% vs. v27, avg. reward: -8.752, 1.978 sec/game, 200.2 min. total, 1343.3 MB
water_affection v29 2769 games, 7770590 moves, e=0.010, loss: 10998495.2, -, 0.8% elo% vs. v27, avg. reward: -8.759, 1.965 sec/game, 200.2 min. total, 1345.7 MB
water_affection v29 2770 games, 7771436 moves, e=0.010, loss: 11083226.6, -, 0.8% elo% vs. v27, avg. reward: -8.764, 1.978 sec/game, 200.3 min. total, 1343.4 MB
water_affection v29 2771 games, 7772280 moves, e=0.010, loss: 10796154.5, -, 0.8% elo% vs. v27, avg. reward: -8.773, 1.966 sec/game, 200.3 min. total, 1343.8 MB
water_affection v29 2772 games, 7773108 moves, e=0.010, loss: 10009452.0, -, 0.8% elo% vs. v27, avg. reward: -8.779, 1.969 sec/game, 200.3 min. total, 1346.1 MB
water_affection v29 2773 games, 7773899 moves, e=0.010, loss: 9169239.2, -, 0.8% elo% vs. v27, avg. reward: -8.788, 1.968 sec/game, 200.4 min. total, 1348.7 MB
water_affection v29 2774 games, 7774651 moves, e=0.010, loss: 8969691.8, -, 0.8% elo% vs. v27, avg. reward: -8.807, 1.969 sec/game, 200.4 min. total, 1348.3 MB
water_affection v29 2775 games, 7775573 moves, e=0.010, loss: 8005462.5, -, 0.8% elo% vs. v27, avg. reward: -8.807, 1.981 sec/game, 200.4 min. total, 1348.5 MB
water_affection v29 2776 games, 7776443 moves, e=0.010, loss: 7952925.0, -, 0.8% elo% vs. v27, avg. reward: -8.817, 1.995 sec/game, 200.5 min. total, 1350.9 MB
water_affection v29 2777 games, 7777252 moves, e=0.010, loss: 7730241.3, -, 0.8% elo% vs. v27, avg. reward: -8.836, 1.991 sec/game, 200.5 min. total, 1350.9 MB
water_affection v29 2778 games, 7778048 moves, e=0.010, loss: 8056528.2, -, 0.8% elo% vs. v27, avg. reward: -8.854, 1.989 sec/game, 200.5 min. total, 1348.5 MB
water_affection v29 2779 games, 7778847 moves, e=0.010, loss: 8101105.4, -, 0.8% elo% vs. v27, avg. reward: -8.871, 2.003 sec/game, 200.6 min. total, 1348.5 MB
water_affection v29 2780 games, 7779691 moves, e=0.010, loss: 7701456.5, -, 0.8% elo% vs. v27, avg. reward: -8.881, 1.994 sec/game, 200.6 min. total, 1348.6 MB
water_affection v29 2781 games, 7780618 moves, e=0.010, loss: 7984194.2, -, 0.8% elo% vs. v27, avg. reward: -8.882, 2.018 sec/game, 200.6 min. total, 1350.6 MB
water_affection v29 2782 games, 7781490 moves, e=0.010, loss: 7893810.3, -, 0.8% elo% vs. v27, avg. reward: -8.895, 2.022 sec/game, 200.7 min. total, 1348.4 MB
water_affection v29 2783 games, 7782314 moves, e=0.010, loss: 8318166.7, -, 0.8% elo% vs. v27, avg. reward: -8.914, 2.035 sec/game, 200.7 min. total, 1348.5 MB
water_affection v29 2784 games, 7783165 moves, e=0.010, loss: 8101537.9, -, 0.8% elo% vs. v27, avg. reward: -8.923, 2.027 sec/game, 200.7 min. total, 1350.7 MB
water_affection v29 2785 games, 7783914 moves, e=0.010, loss: 8225405.6, -, 0.8% elo% vs. v27, avg. reward: -8.943, 2.026 sec/game, 200.8 min. total, 1348.3 MB
water_affection v29 2786 games, 7784772 moves, e=0.010, loss: 8635269.8, -, 0.8% elo% vs. v27, avg. reward: -8.949, 2.013 sec/game, 200.8 min. total, 1348.5 MB
water_affection v29 2787 games, 7785473 moves, e=0.010, loss: 8237879.2, -, 0.8% elo% vs. v27, avg. reward: -8.971, 2.010 sec/game, 200.8 min. total, 1349.9 MB
water_affection v29 2788 games, 7786278 moves, e=0.010, loss: 9076049.1, -, 0.8% elo% vs. v27, avg. reward: -8.978, 1.999 sec/game, 200.9 min. total, 1351.6 MB
water_affection v29 2789 games, 7787143 moves, e=0.010, loss: 8972014.2, -, 0.8% elo% vs. v27, avg. reward: -8.977, 2.015 sec/game, 200.9 min. total, 1352.1 MB
water_affection v29 2790 games, 7787925 moves, e=0.010, loss: 8871271.4, -, 0.8% elo% vs. v27, avg. reward: -8.987, 2.008 sec/game, 200.9 min. total, 1351.9 MB
water_affection v29 2791 games, 7788678 moves, e=0.010, loss: 8014853.8, -, 0.8% elo% vs. v27, avg. reward: -8.990, 2.005 sec/game, 201.0 min. total, 1351.9 MB
water_affection v29 2792 games, 7789386 moves, e=0.010, loss: 8753618.4, -, 0.8% elo% vs. v27, avg. reward: -9.008, 1.981 sec/game, 201.0 min. total, 1351.9 MB
water_affection v29 2793 games, 7790159 moves, e=0.010, loss: 9021048.3, -, 0.8% elo% vs. v27, avg. reward: -9.026, 1.976 sec/game, 201.0 min. total, 1351.9 MB
water_affection v29 2794 games, 7790805 moves, e=0.010, loss: 8911308.6, -, 0.8% elo% vs. v27, avg. reward: -9.058, 1.961 sec/game, 201.0 min. total, 1354.2 MB
water_affection v29 2795 games, 7791496 moves, e=0.010, loss: 8963713.1, -, 0.8% elo% vs. v27, avg. reward: -9.077, 1.945 sec/game, 201.1 min. total, 1352.7 MB
water_affection v29 2796 games, 7792171 moves, e=0.010, loss: 9241510.6, -, 0.8% elo% vs. v27, avg. reward: -9.098, 1.917 sec/game, 201.1 min. total, 1356.2 MB
water_affection v29 2797 games, 7792956 moves, e=0.010, loss: 9043459.5, -, 0.8% elo% vs. v27, avg. reward: -9.115, 1.917 sec/game, 201.1 min. total, 1354.8 MB
water_affection v29 2798 games, 7793568 moves, e=0.010, loss: 8498371.4, -, 0.8% elo% vs. v27, avg. reward: -9.144, 1.894 sec/game, 201.2 min. total, 1354.8 MB
water_affection v29 2799 games, 7794272 moves, e=0.010, loss: 8796750.3, -, 0.8% elo% vs. v27, avg. reward: -9.163, 1.880 sec/game, 201.2 min. total, 1354.8 MB
water_affection v29 2800 games, 7794935 moves, e=0.010, loss: 9537577.0, -, 0.8% elo% vs. v27, avg. reward: -9.177, 1.865 sec/game, 201.2 min. total, 1354.7 MB
water_affection v29 2801 games, 7795681 moves, e=0.010, loss: 9606961.6, -, 0.8% elo% vs. v27, avg. reward: -9.185, 1.840 sec/game, 201.2 min. total, 1355.3 MB
water_affection v29 2802 games, 7796365 moves, e=0.010, loss: 9697234.2, -, 0.8% elo% vs. v27, avg. reward: -9.209, 1.838 sec/game, 201.3 min. total, 1355.6 MB
water_affection v29 2803 games, 7797021 moves, e=0.010, loss: 10259156.1, -, 0.8% elo% vs. v27, avg. reward: -9.242, 1.811 sec/game, 201.3 min. total, 1355.1 MB
water_affection v29 2804 games, 7797670 moves, e=0.010, loss: 10493455.3, -, 0.8% elo% vs. v27, avg. reward: -9.278, 1.793 sec/game, 201.3 min. total, 1356.1 MB
water_affection v29 2805 games, 7798317 moves, e=0.010, loss: 10666187.1, -, 0.8% elo% vs. v27, avg. reward: -9.306, 1.780 sec/game, 201.3 min. total, 1357.8 MB
water_affection v29 2806 games, 7799002 moves, e=0.010, loss: 10749980.8, -, 0.8% elo% vs. v27, avg. reward: -9.323, 1.754 sec/game, 201.4 min. total, 1360.2 MB
water_affection v29 2807 games, 7799669 moves, e=0.010, loss: 10975142.7, -, 0.8% elo% vs. v27, avg. reward: -9.349, 1.745 sec/game, 201.4 min. total, 1358.1 MB
water_affection v29 2808 games, 7800355 moves, e=0.010, loss: 11407087.1, -, 0.8% elo% vs. v27, avg. reward: -9.367, 1.742 sec/game, 201.4 min. total, 1358.2 MB
water_affection v29 2809 games, 7801086 moves, e=0.010, loss: 11598114.8, -, 0.8% elo% vs. v27, avg. reward: -9.380, 1.711 sec/game, 201.5 min. total, 1358.2 MB
water_affection v29 2810 games, 7801836 moves, e=0.010, loss: 12834779.3, -, 0.8% elo% vs. v27, avg. reward: -9.387, 1.705 sec/game, 201.5 min. total, 1358.2 MB
water_affection v29 2811 games, 7802546 moves, e=0.010, loss: 12623845.6, -, 0.8% elo% vs. v27, avg. reward: -9.386, 1.707 sec/game, 201.5 min. total, 1360.6 MB
water_affection v29 2812 games, 7803172 moves, e=0.010, loss: 12815471.4, -, 0.8% elo% vs. v27, avg. reward: -9.410, 1.711 sec/game, 201.5 min. total, 1361.4 MB
water_affection v29 2813 games, 7803806 moves, e=0.010, loss: 12788104.7, -, 0.8% elo% vs. v27, avg. reward: -9.434, 1.699 sec/game, 201.6 min. total, 1361.4 MB
water_affection v29 2814 games, 7804450 moves, e=0.010, loss: 12972809.2, -, 0.8% elo% vs. v27, avg. reward: -9.455, 1.702 sec/game, 201.6 min. total, 1362.8 MB
water_affection v29 2815 games, 7805136 moves, e=0.010, loss: 13870067.0, -, 0.8% elo% vs. v27, avg. reward: -9.471, 1.692 sec/game, 201.6 min. total, 1362.9 MB
water_affection v29 2816 games, 7805811 moves, e=0.010, loss: 14024882.4, -, 0.8% elo% vs. v27, avg. reward: -9.483, 1.693 sec/game, 201.7 min. total, 1362.9 MB
water_affection v29 2817 games, 7806491 moves, e=0.010, loss: 14332516.3, -, 0.8% elo% vs. v27, avg. reward: -9.492, 1.690 sec/game, 201.7 min. total, 1363.0 MB
water_affection v29 2818 games, 7807199 moves, e=0.010, loss: 14223475.4, -, 0.8% elo% vs. v27, avg. reward: -9.494, 1.693 sec/game, 201.7 min. total, 1363.2 MB
water_affection v29 2819 games, 7807897 moves, e=0.010, loss: 14778976.4, -, 0.8% elo% vs. v27, avg. reward: -9.508, 1.707 sec/game, 201.7 min. total, 1362.9 MB
water_affection v29 2820 games, 7808613 moves, e=0.010, loss: 14251748.8, -, 0.8% elo% vs. v27, avg. reward: -9.505, 1.707 sec/game, 201.8 min. total, 1363.0 MB
water_affection v29 2821 games, 7809419 moves, e=0.010, loss: 14372439.5, -, 0.8% elo% vs. v27, avg. reward: -9.502, 1.721 sec/game, 201.8 min. total, 1366.0 MB
water_affection v29 2822 games, 7810176 moves, e=0.010, loss: 14648149.9, -, 0.7% elo% vs. v27, avg. reward: -9.498, 1.720 sec/game, 201.8 min. total, 1364.2 MB
water_affection v29 2823 games, 7810867 moves, e=0.010, loss: 14677664.6, -, 0.7% elo% vs. v27, avg. reward: -9.492, 1.722 sec/game, 201.9 min. total, 1364.4 MB
water_affection v29 2824 games, 7811584 moves, e=0.010, loss: 15113003.9, -, 0.7% elo% vs. v27, avg. reward: -9.490, 1.734 sec/game, 201.9 min. total, 1366.7 MB
water_affection v29 2825 games, 7812268 moves, e=0.010, loss: 15951223.2, -, 0.7% elo% vs. v27, avg. reward: -9.506, 1.735 sec/game, 201.9 min. total, 1364.5 MB
water_affection v29 2826 games, 7813012 moves, e=0.010, loss: 16546093.2, -, 0.7% elo% vs. v27, avg. reward: -9.514, 1.752 sec/game, 202.0 min. total, 1364.6 MB
water_affection v29 2827 games, 7813758 moves, e=0.010, loss: 16521959.8, -, 0.7% elo% vs. v27, avg. reward: -9.511, 1.754 sec/game, 202.0 min. total, 1364.6 MB
water_affection v29 2828 games, 7814510 moves, e=0.010, loss: 15977292.0, -, 0.7% elo% vs. v27, avg. reward: -9.497, 1.759 sec/game, 202.0 min. total, 1365.0 MB
water_affection v29 2829 games, 7815249 moves, e=0.010, loss: 15607013.7, -, 0.7% elo% vs. v27, avg. reward: -9.504, 1.770 sec/game, 202.0 min. total, 1366.3 MB
water_affection v29 2830 games, 7816023 moves, e=0.010, loss: 15240562.4, -, 0.7% elo% vs. v27, avg. reward: -9.505, 1.776 sec/game, 202.1 min. total, 1369.7 MB
water_affection v29 2831 games, 7816831 moves, e=0.010, loss: 15268755.3, -, 0.7% elo% vs. v27, avg. reward: -9.513, 1.777 sec/game, 202.1 min. total, 1369.6 MB
water_affection v29 2832 games, 7817737 moves, e=0.010, loss: 15733869.2, -, 0.7% elo% vs. v27, avg. reward: -9.501, 1.813 sec/game, 202.2 min. total, 1369.9 MB
water_affection v29 2833 games, 7818516 moves, e=0.010, loss: 15485783.9, -, 0.7% elo% vs. v27, avg. reward: -9.491, 1.824 sec/game, 202.2 min. total, 1367.6 MB
water_affection v29 2834 games, 7819323 moves, e=0.010, loss: 15039777.0, -, 0.7% elo% vs. v27, avg. reward: -9.497, 1.835 sec/game, 202.2 min. total, 1367.8 MB
water_affection v29 2835 games, 7820088 moves, e=0.010, loss: 14350978.7, -, 0.7% elo% vs. v27, avg. reward: -9.495, 1.851 sec/game, 202.2 min. total, 1367.7 MB
water_affection v29 2836 games, 7820867 moves, e=0.010, loss: 13789693.9, -, 0.7% elo% vs. v27, avg. reward: -9.487, 1.864 sec/game, 202.3 min. total, 1367.6 MB
water_affection v29 2837 games, 7821683 moves, e=0.010, loss: 13350666.6, -, 0.7% elo% vs. v27, avg. reward: -9.488, 1.870 sec/game, 202.3 min. total, 1371.9 MB
water_affection v29 2838 games, 7822509 moves, e=0.010, loss: 13330123.0, -, 0.7% elo% vs. v27, avg. reward: -9.476, 1.893 sec/game, 202.3 min. total, 1373.1 MB
water_affection v29 2839 games, 7823331 moves, e=0.010, loss: 13362682.4, -, 0.7% elo% vs. v27, avg. reward: -9.472, 1.892 sec/game, 202.4 min. total, 1371.1 MB
water_affection v29 2840 games, 7824168 moves, e=0.010, loss: 14237809.0, -, 0.7% elo% vs. v27, avg. reward: -9.463, 1.916 sec/game, 202.4 min. total, 1371.0 MB
water_affection v29 2841 games, 7825012 moves, e=0.010, loss: 14079026.2, -, 0.7% elo% vs. v27, avg. reward: -9.459, 1.906 sec/game, 202.4 min. total, 1371.1 MB
water_affection v29 2842 games, 7825814 moves, e=0.010, loss: 13295242.1, -, 0.7% elo% vs. v27, avg. reward: -9.463, 1.917 sec/game, 202.5 min. total, 1374.1 MB
water_affection v29 2843 games, 7826509 moves, e=0.010, loss: 13309493.1, -, 0.7% elo% vs. v27, avg. reward: -9.478, 1.916 sec/game, 202.5 min. total, 1371.6 MB
water_affection v29 2844 games, 7827439 moves, e=0.010, loss: 15057448.2, -, 0.7% elo% vs. v27, avg. reward: -9.466, 1.929 sec/game, 202.5 min. total, 1374.2 MB
water_affection v29 2845 games, 7828261 moves, e=0.010, loss: 15745196.9, -, 0.7% elo% vs. v27, avg. reward: -9.471, 1.954 sec/game, 202.6 min. total, 1372.6 MB
water_affection v29 2846 games, 7829106 moves, e=0.010, loss: 16320515.7, -, 0.7% elo% vs. v27, avg. reward: -9.461, 1.951 sec/game, 202.6 min. total, 1374.5 MB
water_affection v29 2847 games, 7829997 moves, e=0.010, loss: 15356507.5, -, 0.7% elo% vs. v27, avg. reward: -9.441, 1.982 sec/game, 202.6 min. total, 1374.4 MB
water_affection v29 2848 games, 7830735 moves, e=0.010, loss: 16029977.7, -, 0.7% elo% vs. v27, avg. reward: -9.445, 1.978 sec/game, 202.7 min. total, 1374.6 MB
water_affection v29 2849 games, 7831575 moves, e=0.010, loss: 16648850.6, -, 0.7% elo% vs. v27, avg. reward: -9.440, 1.990 sec/game, 202.7 min. total, 1376.7 MB
water_affection v29 2850 games, 7832516 moves, e=0.010, loss: 15467630.6, -, 0.7% elo% vs. v27, avg. reward: -9.426, 2.010 sec/game, 202.8 min. total, 1374.8 MB
water_affection v29 2851 games, 7833257 moves, e=0.010, loss: 14386924.5, -, 0.7% elo% vs. v27, avg. reward: -9.438, 2.010 sec/game, 202.8 min. total, 1376.9 MB
water_affection v29 2852 games, 7834146 moves, e=0.010, loss: 14352890.4, -, 0.7% elo% vs. v27, avg. reward: -9.431, 2.001 sec/game, 202.8 min. total, 1374.8 MB
water_affection v29 2853 games, 7835031 moves, e=0.010, loss: 14671204.3, -, 0.7% elo% vs. v27, avg. reward: -9.415, 2.015 sec/game, 202.9 min. total, 1375.3 MB
water_affection v29 2854 games, 7835868 moves, e=0.010, loss: 14309167.5, -, 0.7% elo% vs. v27, avg. reward: -9.409, 2.016 sec/game, 202.9 min. total, 1376.6 MB
water_affection v29 2855 games, 7836634 moves, e=0.010, loss: 13684103.7, -, 0.7% elo% vs. v27, avg. reward: -9.408, 2.014 sec/game, 202.9 min. total, 1376.6 MB
water_affection v29 2856 games, 7837513 moves, e=0.010, loss: 13708603.0, -, 0.7% elo% vs. v27, avg. reward: -9.394, 2.027 sec/game, 203.0 min. total, 1379.1 MB
water_affection v29 2857 games, 7838321 moves, e=0.010, loss: 14243758.0, -, 0.7% elo% vs. v27, avg. reward: -9.392, 2.024 sec/game, 203.0 min. total, 1376.8 MB
water_affection v29 2858 games, 7839209 moves, e=0.010, loss: 13637889.8, -, 0.7% elo% vs. v27, avg. reward: -9.387, 2.026 sec/game, 203.0 min. total, 1376.9 MB
water_affection v29 2859 games, 7839981 moves, e=0.010, loss: 13470937.8, -, 0.7% elo% vs. v27, avg. reward: -9.383, 2.026 sec/game, 203.1 min. total, 1377.1 MB
water_affection v29 2860 games, 7840795 moves, e=0.010, loss: 13412157.7, -, 0.7% elo% vs. v27, avg. reward: -9.385, 2.027 sec/game, 203.1 min. total, 1377.2 MB
water_affection v29 2861 games, 7841634 moves, e=0.010, loss: 13766174.6, -, 0.7% elo% vs. v27, avg. reward: -9.378, 2.027 sec/game, 203.1 min. total, 1381.0 MB
water_affection v29 2862 games, 7842447 moves, e=0.010, loss: 13463938.9, -, 0.7% elo% vs. v27, avg. reward: -9.376, 2.027 sec/game, 203.2 min. total, 1380.1 MB
water_affection v29 2863 games, 7843224 moves, e=0.010, loss: 13452047.6, -, 0.7% elo% vs. v27, avg. reward: -9.372, 2.039 sec/game, 203.2 min. total, 1380.1 MB
water_affection v29 2864 games, 7844166 moves, e=0.010, loss: 14202260.1, -, 0.7% elo% vs. v27, avg. reward: -9.364, 2.042 sec/game, 203.2 min. total, 1380.2 MB
water_affection v29 2865 games, 7845022 moves, e=0.010, loss: 14225811.0, -, 0.7% elo% vs. v27, avg. reward: -9.366, 2.044 sec/game, 203.3 min. total, 1380.4 MB
water_affection v29 2866 games, 7845879 moves, e=0.010, loss: 14742061.7, -, 0.7% elo% vs. v27, avg. reward: -9.371, 2.046 sec/game, 203.3 min. total, 1380.4 MB
water_affection v29 2867 games, 7846812 moves, e=0.010, loss: 14891275.9, -, 0.7% elo% vs. v27, avg. reward: -9.357, 2.052 sec/game, 203.3 min. total, 1380.6 MB
water_affection v29 2868 games, 7847798 moves, e=0.010, loss: 15317296.6, -, 0.7% elo% vs. v27, avg. reward: -9.350, 2.072 sec/game, 203.4 min. total, 1381.0 MB
water_affection v29 2869 games, 7848757 moves, e=0.010, loss: 15534860.7, -, 0.7% elo% vs. v27, avg. reward: -9.342, 2.086 sec/game, 203.4 min. total, 1385.2 MB
water_affection v29 2870 games, 7849678 moves, e=0.010, loss: 15667345.2, -, 0.7% elo% vs. v27, avg. reward: -9.337, 2.084 sec/game, 203.4 min. total, 1385.0 MB
water_affection v29 2871 games, 7850525 moves, e=0.010, loss: 14878210.7, -, 0.7% elo% vs. v27, avg. reward: -9.335, 2.096 sec/game, 203.5 min. total, 1382.9 MB
water_affection v29 2872 games, 7851485 moves, e=0.010, loss: 15472698.3, -, 0.7% elo% vs. v27, avg. reward: -9.322, 2.093 sec/game, 203.5 min. total, 1382.9 MB
water_affection v29 2873 games, 7852421 moves, e=0.010, loss: 15169751.4, -, 0.7% elo% vs. v27, avg. reward: -9.311, 2.104 sec/game, 203.6 min. total, 1383.0 MB
water_affection v29 2874 games, 7853344 moves, e=0.010, loss: 14956366.9, -, 0.7% elo% vs. v27, avg. reward: -9.294, 2.117 sec/game, 203.6 min. total, 1383.2 MB
water_affection v29 2875 games, 7854309 moves, e=0.010, loss: 15098092.7, -, 0.7% elo% vs. v27, avg. reward: -9.287, 2.131 sec/game, 203.6 min. total, 1385.7 MB
water_affection v29 2876 games, 7855411 moves, e=0.010, loss: 17221062.4, -, 0.7% elo% vs. v27, avg. reward: -9.271, 2.159 sec/game, 203.7 min. total, 1384.0 MB
water_affection v29 2877 games, 7856434 moves, e=0.010, loss: 16021766.3, -, 0.7% elo% vs. v27, avg. reward: -9.252, 2.189 sec/game, 203.7 min. total, 1385.5 MB
water_affection v29 2878 games, 7857468 moves, e=0.010, loss: 15194937.2, -, 0.7% elo% vs. v27, avg. reward: -9.231, 2.202 sec/game, 203.8 min. total, 1385.4 MB
water_affection v29 2879 games, 7858420 moves, e=0.010, loss: 16096014.1, -, 0.7% elo% vs. v27, avg. reward: -9.216, 2.216 sec/game, 203.8 min. total, 1385.7 MB
water_affection v29 2880 games, 7859302 moves, e=0.010, loss: 16859395.3, -, 0.7% elo% vs. v27, avg. reward: -9.210, 2.219 sec/game, 203.8 min. total, 1385.5 MB
water_affection v29 2881 games, 7860496 moves, e=0.010, loss: 15766282.8, -, 0.7% elo% vs. v27, avg. reward: -9.190, 2.266 sec/game, 203.9 min. total, 1388.2 MB
water_affection v29 2882 games, 7861496 moves, e=0.010, loss: 15284142.7, -, 0.7% elo% vs. v27, avg. reward: -9.177, 2.271 sec/game, 203.9 min. total, 1385.8 MB
water_affection v29 2883 games, 7862482 moves, e=0.010, loss: 15092698.2, -, 0.7% elo% vs. v27, avg. reward: -9.161, 2.296 sec/game, 204.0 min. total, 1386.9 MB
water_affection v29 2884 games, 7863525 moves, e=0.010, loss: 13981749.9, -, 0.7% elo% vs. v27, avg. reward: -9.140, 2.307 sec/game, 204.0 min. total, 1389.0 MB
water_affection v29 2885 games, 7864616 moves, e=0.010, loss: 13845599.9, -, 0.7% elo% vs. v27, avg. reward: -9.109, 2.333 sec/game, 204.0 min. total, 1389.1 MB
water_affection v29 2886 games, 7865656 moves, e=0.010, loss: 13770161.0, -, 0.7% elo% vs. v27, avg. reward: -9.091, 2.357 sec/game, 204.1 min. total, 1389.1 MB
water_affection v29 2887 games, 7866544 moves, e=0.010, loss: 13261417.8, -, 0.7% elo% vs. v27, avg. reward: -9.067, 2.344 sec/game, 204.1 min. total, 1389.0 MB
water_affection v29 2888 games, 7867523 moves, e=0.010, loss: 12307954.4, -, 0.7% elo% vs. v27, avg. reward: -9.049, 2.354 sec/game, 204.2 min. total, 1389.1 MB
water_affection v29 2889 games, 7868388 moves, e=0.010, loss: 11401665.3, -, 0.7% elo% vs. v27, avg. reward: -9.047, 2.331 sec/game, 204.2 min. total, 1389.6 MB
water_affection v29 2890 games, 7869317 moves, e=0.010, loss: 10734147.3, -, 0.7% elo% vs. v27, avg. reward: -9.030, 2.337 sec/game, 204.2 min. total, 1389.6 MB
water_affection v29 2891 games, 7870252 moves, e=0.010, loss: 10351900.0, -, 0.7% elo% vs. v27, avg. reward: -9.010, 2.339 sec/game, 204.3 min. total, 1392.9 MB
water_affection v29 2892 games, 7871125 moves, e=0.010, loss: 9630300.2, -, 0.7% elo% vs. v27, avg. reward: -8.991, 2.335 sec/game, 204.3 min. total, 1392.3 MB
water_affection v29 2893 games, 7872157 moves, e=0.010, loss: 10191134.8, -, 0.7% elo% vs. v27, avg. reward: -8.967, 2.339 sec/game, 204.3 min. total, 1392.5 MB
water_affection v29 2894 games, 7873092 moves, e=0.010, loss: 11100452.6, -, 0.7% elo% vs. v27, avg. reward: -8.931, 2.344 sec/game, 204.4 min. total, 1394.7 MB
water_affection v29 2895 games, 7874036 moves, e=0.010, loss: 11282158.1, -, 0.7% elo% vs. v27, avg. reward: -8.903, 2.343 sec/game, 204.4 min. total, 1392.6 MB
water_affection v29 2896 games, 7875059 moves, e=0.010, loss: 11149910.9, -, 0.7% elo% vs. v27, avg. reward: -8.865, 2.329 sec/game, 204.5 min. total, 1392.7 MB
water_affection v29 2897 games, 7876039 moves, e=0.010, loss: 11342935.0, -, 0.7% elo% vs. v27, avg. reward: -8.846, 2.324 sec/game, 204.5 min. total, 1392.9 MB
water_affection v29 2898 games, 7876901 moves, e=0.010, loss: 10444934.8, -, 0.7% elo% vs. v27, avg. reward: -8.810, 2.312 sec/game, 204.5 min. total, 1393.2 MB
water_affection v29 2899 games, 7877942 moves, e=0.010, loss: 10943541.0, -, 0.7% elo% vs. v27, avg. reward: -8.775, 2.324 sec/game, 204.6 min. total, 1396.9 MB
water_affection v29 2900 games, 7878964 moves, e=0.010, loss: 10608861.5, -, 0.7% elo% vs. v27, avg. reward: -8.735, 2.336 sec/game, 204.6 min. total, 1394.8 MB
water_affection v29 2901 games, 7880007 moves, e=0.010, loss: 10339684.6, -, 0.7% elo% vs. v27, avg. reward: -8.706, 2.314 sec/game, 204.6 min. total, 1395.4 MB
water_affection v29 2902 games, 7880994 moves, e=0.010, loss: 10444141.8, -, 0.7% elo% vs. v27, avg. reward: -8.672, 2.327 sec/game, 204.7 min. total, 1395.4 MB
water_affection v29 2903 games, 7881907 moves, e=0.010, loss: 11153735.5, -, 0.7% elo% vs. v27, avg. reward: -8.640, 2.315 sec/game, 204.7 min. total, 1395.4 MB
water_affection v29 2904 games, 7882813 moves, e=0.010, loss: 10557955.2, -, 0.7% elo% vs. v27, avg. reward: -8.604, 2.303 sec/game, 204.8 min. total, 1395.4 MB
water_affection v29 2905 games, 7883763 moves, e=0.010, loss: 11159069.6, -, 0.7% elo% vs. v27, avg. reward: -8.567, 2.279 sec/game, 204.8 min. total, 1398.2 MB
water_affection v29 2906 games, 7884721 moves, e=0.010, loss: 11917992.8, -, 0.7% elo% vs. v27, avg. reward: -8.534, 2.277 sec/game, 204.8 min. total, 1398.3 MB
water_affection v29 2907 games, 7885587 moves, e=0.010, loss: 12577630.3, -, 0.7% elo% vs. v27, avg. reward: -8.508, 2.277 sec/game, 204.9 min. total, 1399.1 MB
water_affection v29 2908 games, 7886711 moves, e=0.010, loss: 12936915.2, -, 0.7% elo% vs. v27, avg. reward: -8.467, 2.277 sec/game, 204.9 min. total, 1399.1 MB
water_affection v29 2909 games, 7887823 moves, e=0.010, loss: 13397533.8, -, 0.7% elo% vs. v27, avg. reward: -8.434, 2.314 sec/game, 205.0 min. total, 1399.4 MB
water_affection v29 2910 games, 7888949 moves, e=0.010, loss: 13384860.6, -, 0.7% elo% vs. v27, avg. reward: -8.399, 2.326 sec/game, 205.0 min. total, 1399.3 MB
water_affection v29 2911 games, 7890119 moves, e=0.010, loss: 12910354.6, -, 0.7% elo% vs. v27, avg. reward: -8.358, 2.351 sec/game, 205.0 min. total, 1398.8 MB
water_affection v29 2912 games, 7891253 moves, e=0.010, loss: 13019277.7, -, 0.7% elo% vs. v27, avg. reward: -8.304, 2.381 sec/game, 205.1 min. total, 1398.8 MB
water_affection v29 2913 games, 7892455 moves, e=0.010, loss: 11948659.5, -, 0.7% elo% vs. v27, avg. reward: -8.249, 2.394 sec/game, 205.1 min. total, 1398.9 MB
water_affection v29 2914 games, 7893475 moves, e=0.010, loss: 11743453.0, -, 0.7% elo% vs. v27, avg. reward: -8.205, 2.405 sec/game, 205.2 min. total, 1399.7 MB
water_affection v29 2915 games, 7894579 moves, e=0.010, loss: 12403073.8, -, 0.7% elo% vs. v27, avg. reward: -8.164, 2.429 sec/game, 205.2 min. total, 1402.2 MB
water_affection v29 2916 games, 7895689 moves, e=0.010, loss: 12509659.3, -, 0.7% elo% vs. v27, avg. reward: -8.121, 2.440 sec/game, 205.3 min. total, 1400.1 MB
water_affection v29 2917 games, 7896998 moves, e=0.010, loss: 12245024.1, -, 0.7% elo% vs. v27, avg. reward: -8.071, 2.474 sec/game, 205.3 min. total, 1400.2 MB
water_affection v29 2918 games, 7898070 moves, e=0.010, loss: 11145268.8, -, 0.7% elo% vs. v27, avg. reward: -8.032, 2.489 sec/game, 205.4 min. total, 1400.2 MB
water_affection v29 2919 games, 7899177 moves, e=0.010, loss: 11071320.9, -, 0.7% elo% vs. v27, avg. reward: -7.989, 2.502 sec/game, 205.4 min. total, 1400.2 MB
