banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v4 68 games, 48874 moves, e=0.952, loss: 0.5, -, 25.4% elo% vs. simple_bot, avg. reward: 0.135, 1.754 sec/game, 1.7 min. total, 482.7 MB
banner_lazy v4 69 games, 49663 moves, e=0.951, loss: 0.5, -, 24.5% elo% vs. simple_bot, avg. reward: 0.136, 1.757 sec/game, 1.7 min. total, 482.7 MB
banner_lazy v4 70 games, 50478 moves, e=0.950, loss: 0.5, -, 23.7% elo% vs. simple_bot, avg. reward: 0.136, 1.772 sec/game, 1.7 min. total, 482.8 MB
banner_lazy v4 71 games, 51344 moves, e=0.949, loss: 0.5, -, 22.9% elo% vs. simple_bot, avg. reward: 0.137, 1.787 sec/game, 1.8 min. total, 483.5 MB
banner_lazy v4 72 games, 52054 moves, e=0.948, loss: 0.5, -, 22.2% elo% vs. simple_bot, avg. reward: 0.136, 1.792 sec/game, 1.8 min. total, 484.4 MB
banner_lazy v4 73 games, 52843 moves, e=0.948, loss: 0.5, -, 21.5% elo% vs. simple_bot, avg. reward: 0.136, 1.827 sec/game, 1.8 min. total, 484.3 MB
banner_lazy v4 74 games, 53562 moves, e=0.947, loss: 0.6, -, 20.8% elo% vs. simple_bot, avg. reward: 0.136, 1.812 sec/game, 1.9 min. total, 484.4 MB
banner_lazy v4 75 games, 54267 moves, e=0.946, loss: 0.6, -, 20.2% elo% vs. simple_bot, avg. reward: 0.135, 1.814 sec/game, 1.9 min. total, 484.4 MB
banner_lazy v4 76 games, 54992 moves, e=0.946, loss: 0.6, -, 19.6% elo% vs. simple_bot, avg. reward: 0.135, 1.826 sec/game, 1.9 min. total, 484.7 MB
banner_lazy v4 77 games, 55732 moves, e=0.945, loss: 0.6, -, 19.0% elo% vs. simple_bot, avg. reward: 0.135, 1.804 sec/game, 1.9 min. total, 484.7 MB
banner_lazy v4 78 games, 56551 moves, e=0.944, loss: 0.6, -, 18.5% elo% vs. simple_bot, avg. reward: 0.134, 1.818 sec/game, 2.0 min. total, 484.7 MB
banner_lazy v4 79 games, 57266 moves, e=0.943, loss: 0.6, -, 18.0% elo% vs. simple_bot, avg. reward: 0.133, 1.813 sec/game, 2.0 min. total, 484.7 MB
banner_lazy v4 80 games, 57938 moves, e=0.943, loss: 0.5, -, 17.5% elo% vs. simple_bot, avg. reward: 0.133, 1.798 sec/game, 2.0 min. total, 486.0 MB
banner_lazy v4 81 games, 58691 moves, e=0.942, loss: 0.6, -, 17.0% elo% vs. simple_bot, avg. reward: 0.132, 1.803 sec/game, 2.1 min. total, 485.7 MB
banner_lazy v4 82 games, 59505 moves, e=0.941, loss: 0.6, -, 16.6% elo% vs. simple_bot, avg. reward: 0.133, 1.802 sec/game, 2.1 min. total, 485.8 MB
banner_lazy v4 83 games, 60290 moves, e=0.940, loss: 0.7, -, 16.2% elo% vs. simple_bot, avg. reward: 0.135, 1.805 sec/game, 2.1 min. total, 485.8 MB
banner_lazy v4 84 games, 60993 moves, e=0.940, loss: 0.7, -, 15.8% elo% vs. simple_bot, avg. reward: 0.135, 1.793 sec/game, 2.2 min. total, 485.8 MB
banner_lazy v4 85 games, 61765 moves, e=0.939, loss: 0.7, -, 15.4% elo% vs. simple_bot, avg. reward: 0.135, 1.811 sec/game, 2.2 min. total, 485.9 MB
banner_lazy v4 86 games, 62578 moves, e=0.938, loss: 0.7, -, 15.0% elo% vs. simple_bot, avg. reward: 0.135, 1.804 sec/game, 2.2 min. total, 486.3 MB
banner_lazy v4 87 games, 63293 moves, e=0.937, loss: 0.7, -, 14.7% elo% vs. simple_bot, avg. reward: 0.134, 1.788 sec/game, 2.2 min. total, 488.5 MB
banner_lazy v4 88 games, 64104 moves, e=0.937, loss: 0.7, -, 14.3% elo% vs. simple_bot, avg. reward: 0.135, 1.788 sec/game, 2.3 min. total, 488.5 MB
banner_lazy v4 89 games, 64946 moves, e=0.936, loss: 0.8, -, 14.0% elo% vs. simple_bot, avg. reward: 0.134, 1.802 sec/game, 2.3 min. total, 488.8 MB
banner_lazy v4 90 games, 65678 moves, e=0.935, loss: 0.7, -, 13.7% elo% vs. simple_bot, avg. reward: 0.134, 1.788 sec/game, 2.3 min. total, 488.7 MB
banner_lazy v4 91 games, 66412 moves, e=0.934, loss: 0.8, -, 13.4% elo% vs. simple_bot, avg. reward: 0.134, 1.763 sec/game, 2.4 min. total, 488.8 MB
banner_lazy v4 92 games, 67271 moves, e=0.933, loss: 0.8, -, 13.1% elo% vs. simple_bot, avg. reward: 0.133, 1.794 sec/game, 2.4 min. total, 488.9 MB
banner_lazy v4 93 games, 68046 moves, e=0.933, loss: 0.8, -, 12.9% elo% vs. simple_bot, avg. reward: 0.134, 1.791 sec/game, 2.4 min. total, 489.8 MB
banner_lazy v4 94 games, 68803 moves, e=0.932, loss: 0.8, -, 12.6% elo% vs. simple_bot, avg. reward: 0.134, 1.798 sec/game, 2.5 min. total, 490.5 MB
banner_lazy v4 95 games, 69477 moves, e=0.931, loss: 0.8, -, 12.3% elo% vs. simple_bot, avg. reward: 0.134, 1.800 sec/game, 2.5 min. total, 490.5 MB
banner_lazy v4 96 games, 70290 moves, e=0.930, loss: 0.8, -, 12.1% elo% vs. simple_bot, avg. reward: 0.135, 1.815 sec/game, 2.5 min. total, 490.5 MB
banner_lazy v4 97 games, 71052 moves, e=0.930, loss: 0.8, -, 11.9% elo% vs. simple_bot, avg. reward: 0.134, 1.819 sec/game, 2.6 min. total, 490.4 MB
banner_lazy v4 98 games, 71788 moves, e=0.929, loss: 0.8, -, 11.6% elo% vs. simple_bot, avg. reward: 0.135, 1.809 sec/game, 2.6 min. total, 490.6 MB
banner_lazy v4 99 games, 72483 moves, e=0.928, loss: 0.8, -, 11.4% elo% vs. simple_bot, avg. reward: 0.134, 1.810 sec/game, 2.6 min. total, 490.4 MB
banner_lazy v4 100 games, 73148 moves, e=0.928, loss: 0.8, -, 11.2% elo% vs. simple_bot, avg. reward: 0.134, 1.814 sec/game, 2.6 min. total, 490.6 MB
banner_lazy v5 101 games, 73848 moves, e=0.927, loss: 0.9, -, 47.7% elo% vs. simple_bot, avg. reward: 0.133, 1.803 sec/game, 2.7 min. total, 491.0 MB
banner_lazy v5 102 games, 74536 moves, e=0.926, loss: 0.9, -, 45.5% elo% vs. simple_bot, avg. reward: 0.134, 1.810 sec/game, 2.7 min. total, 490.7 MB
banner_lazy v5 103 games, 75425 moves, e=0.925, loss: 0.9, -, 43.4% elo% vs. simple_bot, avg. reward: 0.133, 1.814 sec/game, 2.7 min. total, 491.0 MB
banner_lazy v5 104 games, 76112 moves, e=0.925, loss: 0.9, -, 41.5% elo% vs. simple_bot, avg. reward: 0.134, 1.816 sec/game, 2.8 min. total, 490.7 MB
banner_lazy v5 105 games, 76905 moves, e=0.924, loss: 1.0, -, 39.6% elo% vs. simple_bot, avg. reward: 0.135, 1.816 sec/game, 2.8 min. total, 490.7 MB
banner_lazy v5 106 games, 77562 moves, e=0.923, loss: 1.0, -, 37.9% elo% vs. simple_bot, avg. reward: 0.134, 1.801 sec/game, 2.8 min. total, 490.9 MB
banner_lazy v5 107 games, 78357 moves, e=0.922, loss: 1.0, -, 36.3% elo% vs. simple_bot, avg. reward: 0.135, 1.818 sec/game, 2.9 min. total, 490.9 MB
banner_lazy v5 108 games, 79123 moves, e=0.922, loss: 1.0, -, 34.8% elo% vs. simple_bot, avg. reward: 0.133, 1.818 sec/game, 2.9 min. total, 491.5 MB
banner_lazy v5 109 games, 79958 moves, e=0.921, loss: 1.0, -, 33.3% elo% vs. simple_bot, avg. reward: 0.134, 1.808 sec/game, 2.9 min. total, 493.8 MB
