twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v3 292 games, 223295 moves, e=0.779, loss: 8.7, +, 58.4% elo% vs. v0, avg. reward: 0.531, 6.597 sec/game, 14.5 min. total, 431.8 MB
twistable_tiptoeing v3 293 games, 224168 moves, e=0.778, loss: 9.5, -, 55.8% elo% vs. v0, avg. reward: 0.535, 6.592 sec/game, 14.5 min. total, 431.6 MB
twistable_tiptoeing v3 294 games, 225008 moves, e=0.777, loss: 9.1, +, 57.8% elo% vs. v0, avg. reward: 0.532, 6.602 sec/game, 14.6 min. total, 431.8 MB
twistable_tiptoeing v3 295 games, 225890 moves, e=0.776, loss: 9.2, +, 59.7% elo% vs. v0, avg. reward: 0.534, 6.617 sec/game, 14.6 min. total, 432.0 MB
twistable_tiptoeing v3 296 games, 226760 moves, e=0.776, loss: 10.0, +, 61.4% elo% vs. v0, avg. reward: 0.535, 6.615 sec/game, 14.7 min. total, 431.8 MB
twistable_tiptoeing v3 297 games, 227637 moves, e=0.775, loss: 9.6, +, 63.1% elo% vs. v0, avg. reward: 0.538, 6.635 sec/game, 14.7 min. total, 432.7 MB
twistable_tiptoeing v3 298 games, 228568 moves, e=0.774, loss: 9.2, +, 64.7% elo% vs. v0, avg. reward: 0.536, 6.642 sec/game, 14.7 min. total, 434.1 MB
twistable_tiptoeing v3 299 games, 229436 moves, e=0.773, loss: 9.8, -, 61.9% elo% vs. v0, avg. reward: 0.531, 6.664 sec/game, 14.8 min. total, 434.3 MB
twistable_tiptoeing v3 300 games, 230221 moves, e=0.772, loss: 9.4, -, 59.2% elo% vs. v0, avg. reward: 0.533, 6.683 sec/game, 14.8 min. total, 434.2 MB
twistable_tiptoeing v4 301 games, 231222 moves, e=0.771, loss: 9.6, -, 47.7% elo% vs. v0, avg. reward: 0.530, 6.675 sec/game, 14.9 min. total, 434.3 MB
twistable_tiptoeing v4 302 games, 232147 moves, e=0.770, loss: 9.1, +, 50.1% elo% vs. v0, avg. reward: 0.532, 6.694 sec/game, 14.9 min. total, 434.4 MB
twistable_tiptoeing v4 303 games, 232969 moves, e=0.769, loss: 9.4, ., 50.1% elo% vs. v0, avg. reward: 0.529, 6.703 sec/game, 15.0 min. total, 434.8 MB
twistable_tiptoeing v4 304 games, 233784 moves, e=0.769, loss: 9.0, +, 52.4% elo% vs. v0, avg. reward: 0.526, 6.684 sec/game, 15.0 min. total, 434.7 MB
twistable_tiptoeing v4 305 games, 234635 moves, e=0.768, loss: 9.4, +, 54.6% elo% vs. v0, avg. reward: 0.526, 6.676 sec/game, 15.0 min. total, 434.8 MB
twistable_tiptoeing v4 306 games, 235594 moves, e=0.767, loss: 9.0, +, 56.6% elo% vs. v0, avg. reward: 0.527, 28.904 sec/game, 23.9 min. total, 436.0 MB
twistable_tiptoeing v4 307 games, 236352 moves, e=0.766, loss: 8.7, +, 58.6% elo% vs. v0, avg. reward: 0.526, 28.880 sec/game, 23.9 min. total, 436.6 MB
twistable_tiptoeing v4 308 games, 237189 moves, e=0.765, loss: 9.5, -, 56.0% elo% vs. v0, avg. reward: 0.523, 28.872 sec/game, 24.0 min. total, 436.5 MB
twistable_tiptoeing v4 309 games, 237993 moves, e=0.764, loss: 8.9, -, 53.4% elo% vs. v0, avg. reward: 0.522, 28.844 sec/game, 24.0 min. total, 436.8 MB
twistable_tiptoeing v4 310 games, 238857 moves, e=0.764, loss: 8.7, +, 55.5% elo% vs. v0, avg. reward: 0.527, 28.847 sec/game, 24.0 min. total, 436.8 MB
twistable_tiptoeing v4 311 games, 239762 moves, e=0.763, loss: 9.0, +, 57.5% elo% vs. v0, avg. reward: 0.525, 28.856 sec/game, 24.1 min. total, 438.9 MB
twistable_tiptoeing v4 312 games, 240542 moves, e=0.762, loss: 9.6, +, 59.4% elo% vs. v0, avg. reward: 0.528, 28.829 sec/game, 24.1 min. total, 437.0 MB
twistable_tiptoeing v4 313 games, 241354 moves, e=0.761, loss: 9.6, +, 61.2% elo% vs. v0, avg. reward: 0.529, 28.791 sec/game, 24.1 min. total, 438.9 MB
twistable_tiptoeing v4 314 games, 242171 moves, e=0.760, loss: 9.9, +, 62.9% elo% vs. v0, avg. reward: 0.522, 28.786 sec/game, 24.2 min. total, 441.0 MB
twistable_tiptoeing v4 315 games, 243040 moves, e=0.759, loss: 9.9, +, 64.5% elo% vs. v0, avg. reward: 0.523, 28.775 sec/game, 24.2 min. total, 440.4 MB
twistable_tiptoeing v4 316 games, 243860 moves, e=0.759, loss: 9.4, +, 66.0% elo% vs. v0, avg. reward: 0.521, 28.761 sec/game, 24.3 min. total, 440.8 MB
twistable_tiptoeing v4 317 games, 244703 moves, e=0.758, loss: 9.3, +, 67.4% elo% vs. v0, avg. reward: 0.522, 28.742 sec/game, 24.3 min. total, 440.6 MB
twistable_tiptoeing v4 318 games, 245568 moves, e=0.757, loss: 8.8, +, 68.7% elo% vs. v0, avg. reward: 0.528, 28.731 sec/game, 24.3 min. total, 441.0 MB
twistable_tiptoeing v4 319 games, 246462 moves, e=0.756, loss: 9.3, -, 65.9% elo% vs. v0, avg. reward: 0.528, 28.721 sec/game, 24.4 min. total, 441.1 MB
twistable_tiptoeing v4 320 games, 247318 moves, e=0.755, loss: 10.0, +, 67.3% elo% vs. v0, avg. reward: 0.536, 28.738 sec/game, 24.4 min. total, 441.2 MB
twistable_tiptoeing v4 321 games, 248101 moves, e=0.754, loss: 10.6, -, 64.5% elo% vs. v0, avg. reward: 0.538, 28.722 sec/game, 24.5 min. total, 441.2 MB
twistable_tiptoeing v4 322 games, 248899 moves, e=0.754, loss: 11.4, -, 61.7% elo% vs. v0, avg. reward: 0.536, 28.699 sec/game, 24.5 min. total, 442.7 MB
twistable_tiptoeing v4 323 games, 249831 moves, e=0.753, loss: 10.5, +, 63.4% elo% vs. v0, avg. reward: 0.543, 28.698 sec/game, 24.5 min. total, 442.8 MB
twistable_tiptoeing v4 324 games, 250652 moves, e=0.752, loss: 10.7, +, 64.9% elo% vs. v0, avg. reward: 0.541, 28.713 sec/game, 24.6 min. total, 442.9 MB
twistable_tiptoeing v4 325 games, 251500 moves, e=0.751, loss: 10.8, -, 62.2% elo% vs. v0, avg. reward: 0.537, 28.701 sec/game, 24.6 min. total, 442.7 MB
twistable_tiptoeing v4 326 games, 252653 moves, e=0.750, loss: 10.1, +, 63.8% elo% vs. v0, avg. reward: 0.540, 7.602 sec/game, 26.4 min. total, 442.9 MB
twistable_tiptoeing v4 327 games, 253571 moves, e=0.749, loss: 10.1, +, 65.3% elo% vs. v0, avg. reward: 0.544, 7.630 sec/game, 26.5 min. total, 441.9 MB
twistable_tiptoeing v4 328 games, 254480 moves, e=0.748, loss: 10.4, -, 62.5% elo% vs. v0, avg. reward: 0.556, 7.636 sec/game, 26.5 min. total, 442.6 MB
twistable_tiptoeing v4 329 games, 255355 moves, e=0.747, loss: 9.7, +, 64.1% elo% vs. v0, avg. reward: 0.564, 7.666 sec/game, 26.5 min. total, 444.4 MB
twistable_tiptoeing v4 330 games, 256200 moves, e=0.746, loss: 10.5, +, 65.7% elo% vs. v0, avg. reward: 0.566, 7.690 sec/game, 26.6 min. total, 445.4 MB
twistable_tiptoeing v4 331 games, 257151 moves, e=0.745, loss: 10.6, +, 67.1% elo% vs. v0, avg. reward: 0.568, 7.735 sec/game, 26.6 min. total, 445.5 MB
twistable_tiptoeing v4 332 games, 258107 moves, e=0.744, loss: 11.0, -, 64.3% elo% vs. v0, avg. reward: 0.570, 7.778 sec/game, 26.7 min. total, 445.4 MB
twistable_tiptoeing v4 333 games, 258960 moves, e=0.744, loss: 11.1, -, 61.5% elo% vs. v0, avg. reward: 0.571, 7.798 sec/game, 26.7 min. total, 445.6 MB
twistable_tiptoeing v4 334 games, 259774 moves, e=0.743, loss: 11.3, +, 63.2% elo% vs. v0, avg. reward: 0.576, 7.787 sec/game, 26.8 min. total, 445.7 MB
twistable_tiptoeing v4 335 games, 260700 moves, e=0.742, loss: 10.8, +, 64.7% elo% vs. v0, avg. reward: 0.574, 7.796 sec/game, 26.8 min. total, 446.1 MB
twistable_tiptoeing v4 336 games, 261538 moves, e=0.741, loss: 11.0, +, 66.2% elo% vs. v0, avg. reward: 0.571, 7.812 sec/game, 26.9 min. total, 447.4 MB
twistable_tiptoeing v4 337 games, 262414 moves, e=0.740, loss: 11.8, +, 67.6% elo% vs. v0, avg. reward: 0.570, 7.825 sec/game, 26.9 min. total, 452.0 MB
twistable_tiptoeing v4 338 games, 263503 moves, e=0.739, loss: 11.8, -, 64.8% elo% vs. v0, avg. reward: 0.572, 7.869 sec/game, 26.9 min. total, 449.4 MB
twistable_tiptoeing v4 339 games, 264386 moves, e=0.738, loss: 11.8, -, 62.0% elo% vs. v0, avg. reward: 0.568, 7.887 sec/game, 27.0 min. total, 450.0 MB
twistable_tiptoeing v4 340 games, 265241 moves, e=0.737, loss: 10.5, +, 63.7% elo% vs. v0, avg. reward: 0.570, 7.877 sec/game, 27.0 min. total, 450.1 MB
twistable_tiptoeing v4 341 games, 266135 moves, e=0.737, loss: 9.9, +, 65.2% elo% vs. v0, avg. reward: 0.569, 7.883 sec/game, 27.1 min. total, 450.2 MB
twistable_tiptoeing v4 342 games, 267114 moves, e=0.736, loss: 10.1, +, 66.6% elo% vs. v0, avg. reward: 0.573, 7.913 sec/game, 27.1 min. total, 450.2 MB
twistable_tiptoeing v4 343 games, 268155 moves, e=0.735, loss: 9.9, +, 68.0% elo% vs. v0, avg. reward: 0.576, 7.933 sec/game, 27.2 min. total, 450.4 MB
twistable_tiptoeing v4 344 games, 268843 moves, e=0.734, loss: 10.0, +, 69.3% elo% vs. v0, avg. reward: 0.575, 7.919 sec/game, 27.2 min. total, 450.4 MB
twistable_tiptoeing v4 345 games, 269887 moves, e=0.733, loss: 8.4, +, 70.5% elo% vs. v0, avg. reward: 0.572, 7.949 sec/game, 27.2 min. total, 451.6 MB
twistable_tiptoeing v5 346 games, 270877 moves, e=0.732, loss: 8.5, -, 49.9% elo% vs. v4, avg. reward: 0.571, 2.641 sec/game, 27.3 min. total, 490.7 MB
twistable_tiptoeing v5 347 games, 271760 moves, e=0.731, loss: 7.8, -, 47.6% elo% vs. v4, avg. reward: 0.571, 2.602 sec/game, 27.3 min. total, 491.0 MB
twistable_tiptoeing v5 348 games, 272631 moves, e=0.730, loss: 7.9, -, 45.4% elo% vs. v4, avg. reward: 0.571, 24.855 sec/game, 34.8 min. total, 491.4 MB
twistable_tiptoeing v5 349 games, 273370 moves, e=0.729, loss: 8.3, -, 43.4% elo% vs. v4, avg. reward: 0.573, 24.885 sec/game, 34.8 min. total, 491.6 MB
twistable_tiptoeing v5 350 games, 274183 moves, e=0.729, loss: 8.0, -, 41.4% elo% vs. v4, avg. reward: 0.573, 24.881 sec/game, 34.9 min. total, 491.7 MB
twistable_tiptoeing v5 351 games, 274936 moves, e=0.728, loss: 7.8, +, 44.0% elo% vs. v4, avg. reward: 0.570, 24.813 sec/game, 34.9 min. total, 493.1 MB
twistable_tiptoeing v5 352 games, 275832 moves, e=0.727, loss: 8.0, +, 46.6% elo% vs. v4, avg. reward: 0.571, 24.791 sec/game, 35.0 min. total, 495.2 MB
twistable_tiptoeing v5 353 games, 276769 moves, e=0.726, loss: 8.8, +, 49.1% elo% vs. v4, avg. reward: 0.575, 24.798 sec/game, 35.0 min. total, 498.2 MB
twistable_tiptoeing v5 354 games, 277631 moves, e=0.725, loss: 8.6, +, 51.4% elo% vs. v4, avg. reward: 0.577, 24.791 sec/game, 35.0 min. total, 499.4 MB
twistable_tiptoeing v5 355 games, 278514 moves, e=0.724, loss: 8.6, -, 49.0% elo% vs. v4, avg. reward: 0.581, 24.776 sec/game, 35.1 min. total, 499.6 MB
twistable_tiptoeing v5 356 games, 279454 moves, e=0.723, loss: 9.3, -, 46.8% elo% vs. v4, avg. reward: 0.588, 24.789 sec/game, 35.1 min. total, 499.7 MB
twistable_tiptoeing v5 357 games, 280443 moves, e=0.722, loss: 9.4, +, 49.2% elo% vs. v4, avg. reward: 0.591, 24.794 sec/game, 35.2 min. total, 499.7 MB
twistable_tiptoeing v5 358 games, 281282 moves, e=0.722, loss: 10.6, -, 47.0% elo% vs. v4, avg. reward: 0.594, 24.750 sec/game, 35.2 min. total, 499.8 MB
twistable_tiptoeing v5 359 games, 282220 moves, e=0.721, loss: 10.3, -, 44.8% elo% vs. v4, avg. reward: 0.599, 24.728 sec/game, 35.2 min. total, 499.9 MB
twistable_tiptoeing v5 360 games, 282977 moves, e=0.720, loss: 11.5, -, 42.8% elo% vs. v4, avg. reward: 0.607, 24.682 sec/game, 35.3 min. total, 500.6 MB
twistable_tiptoeing v5 361 games, 283749 moves, e=0.719, loss: 11.4, ., 43.1% elo% vs. v4, avg. reward: 0.605, 24.653 sec/game, 35.3 min. total, 502.2 MB
twistable_tiptoeing v5 362 games, 284594 moves, e=0.718, loss: 11.0, -, 41.2% elo% vs. v4, avg. reward: 0.601, 48.635 sec/game, 43.3 min. total, 503.8 MB
twistable_tiptoeing v5 363 games, 285382 moves, e=0.717, loss: 11.1, -, 39.3% elo% vs. v4, avg. reward: 0.602, 48.619 sec/game, 43.4 min. total, 505.8 MB
twistable_tiptoeing v5 364 games, 286238 moves, e=0.717, loss: 10.8, -, 37.6% elo% vs. v4, avg. reward: 0.602, 48.648 sec/game, 43.4 min. total, 505.8 MB
twistable_tiptoeing v5 365 games, 287152 moves, e=0.716, loss: 10.9, -, 36.0% elo% vs. v4, avg. reward: 0.592, 48.694 sec/game, 43.5 min. total, 506.2 MB
twistable_tiptoeing v5 366 games, 288001 moves, e=0.715, loss: 10.1, -, 34.5% elo% vs. v4, avg. reward: 0.593, 48.680 sec/game, 43.5 min. total, 506.1 MB
twistable_tiptoeing v5 367 games, 288849 moves, e=0.714, loss: 10.7, -, 33.1% elo% vs. v4, avg. reward: 0.589, 48.697 sec/game, 43.6 min. total, 506.1 MB
twistable_tiptoeing v5 368 games, 289707 moves, e=0.713, loss: 10.1, ., 33.8% elo% vs. v4, avg. reward: 0.588, 26.425 sec/game, 43.6 min. total, 506.2 MB
twistable_tiptoeing v5 369 games, 290638 moves, e=0.712, loss: 10.9, -, 32.4% elo% vs. v4, avg. reward: 0.589, 26.381 sec/game, 43.6 min. total, 506.0 MB
twistable_tiptoeing v5 370 games, 291698 moves, e=0.711, loss: 10.2, -, 31.1% elo% vs. v4, avg. reward: 0.588, 26.374 sec/game, 43.7 min. total, 506.1 MB
twistable_tiptoeing v5 371 games, 292852 moves, e=0.710, loss: 10.1, -, 29.9% elo% vs. v4, avg. reward: 0.591, 26.427 sec/game, 43.7 min. total, 506.7 MB
twistable_tiptoeing v5 372 games, 293643 moves, e=0.709, loss: 10.5, +, 32.7% elo% vs. v4, avg. reward: 0.590, 26.414 sec/game, 43.8 min. total, 508.8 MB
twistable_tiptoeing v5 373 games, 294713 moves, e=0.708, loss: 9.8, +, 35.5% elo% vs. v4, avg. reward: 0.594, 26.440 sec/game, 43.8 min. total, 509.9 MB
twistable_tiptoeing v5 374 games, 295684 moves, e=0.707, loss: 10.0, -, 34.0% elo% vs. v4, avg. reward: 0.592, 26.478 sec/game, 43.9 min. total, 510.0 MB
twistable_tiptoeing v5 375 games, 296505 moves, e=0.706, loss: 11.5, -, 32.6% elo% vs. v4, avg. reward: 0.595, 26.480 sec/game, 43.9 min. total, 509.9 MB
twistable_tiptoeing v5 376 games, 297476 moves, e=0.705, loss: 11.5, -, 31.3% elo% vs. v4, avg. reward: 0.596, 26.501 sec/game, 44.0 min. total, 510.1 MB
twistable_tiptoeing v5 377 games, 298437 moves, e=0.705, loss: 11.0, -, 30.1% elo% vs. v4, avg. reward: 0.595, 26.530 sec/game, 44.0 min. total, 510.3 MB
twistable_tiptoeing v5 378 games, 299396 moves, e=0.704, loss: 11.3, +, 32.8% elo% vs. v4, avg. reward: 0.604, 26.546 sec/game, 44.0 min. total, 510.7 MB
twistable_tiptoeing v5 379 games, 300382 moves, e=0.703, loss: 10.9, -, 31.5% elo% vs. v4, avg. reward: 0.612, 26.556 sec/game, 44.1 min. total, 510.8 MB
twistable_tiptoeing v5 380 games, 301248 moves, e=0.702, loss: 11.9, -, 30.3% elo% vs. v4, avg. reward: 0.612, 26.574 sec/game, 44.1 min. total, 510.8 MB
twistable_tiptoeing v5 381 games, 302087 moves, e=0.701, loss: 11.5, -, 29.1% elo% vs. v4, avg. reward: 0.619, 26.593 sec/game, 44.2 min. total, 512.6 MB
twistable_tiptoeing v5 382 games, 303046 moves, e=0.700, loss: 11.7, +, 31.9% elo% vs. v4, avg. reward: 0.619, 2.602 sec/game, 44.2 min. total, 514.9 MB
twistable_tiptoeing v5 383 games, 304074 moves, e=0.699, loss: 10.8, -, 30.6% elo% vs. v4, avg. reward: 0.629, 2.624 sec/game, 44.2 min. total, 515.3 MB
twistable_tiptoeing v5 384 games, 304872 moves, e=0.698, loss: 11.5, +, 33.4% elo% vs. v4, avg. reward: 0.635, 2.601 sec/game, 44.3 min. total, 515.4 MB
twistable_tiptoeing v5 385 games, 305829 moves, e=0.697, loss: 12.4, +, 36.2% elo% vs. v4, avg. reward: 0.640, 2.556 sec/game, 44.3 min. total, 515.5 MB
twistable_tiptoeing v5 386 games, 306736 moves, e=0.696, loss: 13.0, +, 38.9% elo% vs. v4, avg. reward: 0.646, 2.563 sec/game, 44.4 min. total, 515.7 MB
twistable_tiptoeing v5 387 games, 307656 moves, e=0.695, loss: 12.8, -, 37.2% elo% vs. v4, avg. reward: 0.640, 2.552 sec/game, 44.4 min. total, 515.9 MB
twistable_tiptoeing v5 388 games, 308356 moves, e=0.695, loss: 12.7, -, 35.7% elo% vs. v4, avg. reward: 0.639, 2.538 sec/game, 44.4 min. total, 516.6 MB
twistable_tiptoeing v5 389 games, 309278 moves, e=0.694, loss: 13.5, +, 38.4% elo% vs. v4, avg. reward: 0.643, 2.571 sec/game, 44.5 min. total, 516.7 MB
twistable_tiptoeing v5 390 games, 310207 moves, e=0.693, loss: 13.4, -, 36.8% elo% vs. v4, avg. reward: 0.650, 2.568 sec/game, 44.5 min. total, 517.8 MB
twistable_tiptoeing v5 391 games, 311093 moves, e=0.692, loss: 12.9, +, 39.5% elo% vs. v4, avg. reward: 0.646, 2.552 sec/game, 44.6 min. total, 519.7 MB
twistable_tiptoeing v5 392 games, 311965 moves, e=0.691, loss: 12.8, +, 42.2% elo% vs. v4, avg. reward: 0.645, 2.585 sec/game, 44.6 min. total, 519.7 MB
twistable_tiptoeing v5 393 games, 313135 moves, e=0.690, loss: 11.6, +, 44.8% elo% vs. v4, avg. reward: 0.643, 2.617 sec/game, 44.7 min. total, 519.7 MB
twistable_tiptoeing v5 394 games, 314301 moves, e=0.689, loss: 11.0, -, 42.8% elo% vs. v4, avg. reward: 0.647, 2.638 sec/game, 44.7 min. total, 519.7 MB
twistable_tiptoeing v5 395 games, 315196 moves, e=0.688, loss: 11.3, -, 40.9% elo% vs. v4, avg. reward: 0.652, 2.655 sec/game, 44.8 min. total, 519.7 MB
twistable_tiptoeing v5 396 games, 316010 moves, e=0.687, loss: 11.8, -, 39.1% elo% vs. v4, avg. reward: 0.647, 2.601 sec/game, 44.8 min. total, 520.0 MB
twistable_tiptoeing v5 397 games, 316955 moves, e=0.686, loss: 11.9, +, 41.8% elo% vs. v4, avg. reward: 0.641, 2.622 sec/game, 44.9 min. total, 521.4 MB
twistable_tiptoeing v5 398 games, 317979 moves, e=0.685, loss: 11.1, -, 39.9% elo% vs. v4, avg. reward: 0.644, 2.651 sec/game, 44.9 min. total, 520.4 MB
twistable_tiptoeing v5 399 games, 318871 moves, e=0.684, loss: 10.5, -, 38.2% elo% vs. v4, avg. reward: 0.649, 2.664 sec/game, 45.0 min. total, 521.6 MB
twistable_tiptoeing v5 400 games, 319729 moves, e=0.683, loss: 10.2, -, 36.5% elo% vs. v4, avg. reward: 0.648, 2.664 sec/game, 45.0 min. total, 523.3 MB
twistable_tiptoeing v6 401 games, 320579 moves, e=0.683, loss: 10.5, +, 52.3% elo% vs. v4, avg. reward: 0.651, 2.692 sec/game, 45.1 min. total, 524.0 MB
twistable_tiptoeing v6 402 games, 321522 moves, e=0.682, loss: 10.1, +, 54.5% elo% vs. v4, avg. reward: 0.654, 2.723 sec/game, 45.1 min. total, 523.7 MB
twistable_tiptoeing v6 403 games, 322429 moves, e=0.681, loss: 10.6, +, 56.6% elo% vs. v4, avg. reward: 0.657, 2.722 sec/game, 45.2 min. total, 523.6 MB
twistable_tiptoeing v6 404 games, 323348 moves, e=0.680, loss: 10.6, +, 58.5% elo% vs. v4, avg. reward: 0.661, 2.757 sec/game, 45.2 min. total, 523.8 MB
twistable_tiptoeing v6 405 games, 324334 moves, e=0.679, loss: 11.2, +, 60.4% elo% vs. v4, avg. reward: 0.663, 2.798 sec/game, 45.3 min. total, 524.0 MB
twistable_tiptoeing v6 406 games, 325245 moves, e=0.678, loss: 11.0, -, 57.7% elo% vs. v4, avg. reward: 0.663, 2.810 sec/game, 45.3 min. total, 523.9 MB
twistable_tiptoeing v6 407 games, 326326 moves, e=0.677, loss: 10.6, -, 55.1% elo% vs. v4, avg. reward: 0.665, 2.868 sec/game, 45.4 min. total, 523.6 MB
twistable_tiptoeing v6 408 games, 327349 moves, e=0.676, loss: 11.0, +, 57.1% elo% vs. v4, avg. reward: 0.671, 2.911 sec/game, 45.4 min. total, 524.7 MB
twistable_tiptoeing v6 409 games, 328372 moves, e=0.675, loss: 11.4, -, 54.5% elo% vs. v4, avg. reward: 0.676, 2.918 sec/game, 45.5 min. total, 527.1 MB
twistable_tiptoeing v6 410 games, 329387 moves, e=0.674, loss: 12.0, +, 56.6% elo% vs. v4, avg. reward: 0.677, 2.935 sec/game, 45.5 min. total, 527.0 MB
twistable_tiptoeing v6 411 games, 330311 moves, e=0.673, loss: 11.8, +, 58.5% elo% vs. v4, avg. reward: 0.672, 2.944 sec/game, 45.6 min. total, 527.2 MB
twistable_tiptoeing v6 412 games, 331340 moves, e=0.672, loss: 11.3, +, 60.4% elo% vs. v4, avg. reward: 0.673, 2.952 sec/game, 45.6 min. total, 527.3 MB
twistable_tiptoeing v6 413 games, 332309 moves, e=0.671, loss: 11.8, +, 62.1% elo% vs. v4, avg. reward: 0.679, 2.903 sec/game, 45.7 min. total, 527.4 MB
twistable_tiptoeing v6 414 games, 333291 moves, e=0.670, loss: 12.3, -, 59.4% elo% vs. v4, avg. reward: 0.682, 2.866 sec/game, 45.7 min. total, 527.1 MB
twistable_tiptoeing v6 415 games, 334319 moves, e=0.669, loss: 11.9, +, 61.2% elo% vs. v4, avg. reward: 0.683, 2.874 sec/game, 45.7 min. total, 527.8 MB
twistable_tiptoeing v6 416 games, 335213 moves, e=0.668, loss: 11.9, +, 62.8% elo% vs. v4, avg. reward: 0.684, 2.888 sec/game, 45.8 min. total, 528.2 MB
twistable_tiptoeing v6 417 games, 336138 moves, e=0.667, loss: 11.7, -, 60.1% elo% vs. v4, avg. reward: 0.682, 2.854 sec/game, 45.8 min. total, 529.5 MB
twistable_tiptoeing v6 418 games, 337108 moves, e=0.666, loss: 11.9, ., 59.7% elo% vs. v4, avg. reward: 0.682, 2.828 sec/game, 45.9 min. total, 529.5 MB
twistable_tiptoeing v6 419 games, 337998 moves, e=0.665, loss: 10.7, -, 57.0% elo% vs. v4, avg. reward: 0.682, 2.817 sec/game, 45.9 min. total, 529.9 MB
twistable_tiptoeing v6 420 games, 338895 moves, e=0.664, loss: 10.9, -, 54.4% elo% vs. v4, avg. reward: 0.679, 2.828 sec/game, 46.0 min. total, 529.6 MB
twistable_tiptoeing v6 421 games, 339836 moves, e=0.664, loss: 11.0, +, 56.5% elo% vs. v4, avg. reward: 0.677, 2.816 sec/game, 46.0 min. total, 529.6 MB
twistable_tiptoeing v6 422 games, 340794 moves, e=0.663, loss: 10.2, ., 56.2% elo% vs. v4, avg. reward: 0.677, 2.834 sec/game, 46.1 min. total, 529.6 MB
twistable_tiptoeing v6 423 games, 341856 moves, e=0.662, loss: 11.1, -, 53.6% elo% vs. v4, avg. reward: 0.678, 2.843 sec/game, 46.1 min. total, 529.8 MB
twistable_tiptoeing v6 424 games, 342775 moves, e=0.661, loss: 11.4, -, 51.2% elo% vs. v4, avg. reward: 0.682, 2.851 sec/game, 46.2 min. total, 529.8 MB
twistable_tiptoeing v6 425 games, 343699 moves, e=0.660, loss: 12.9, -, 48.8% elo% vs. v4, avg. reward: 0.685, 2.829 sec/game, 46.2 min. total, 531.2 MB
twistable_tiptoeing v6 426 games, 344840 moves, e=0.659, loss: 12.4, +, 51.2% elo% vs. v4, avg. reward: 0.682, 2.846 sec/game, 46.2 min. total, 533.2 MB
twistable_tiptoeing v6 427 games, 345794 moves, e=0.658, loss: 11.3, +, 53.4% elo% vs. v4, avg. reward: 0.684, 2.794 sec/game, 46.3 min. total, 533.2 MB
twistable_tiptoeing v6 428 games, 346797 moves, e=0.657, loss: 12.3, +, 55.5% elo% vs. v4, avg. reward: 0.672, 2.791 sec/game, 46.3 min. total, 533.4 MB
twistable_tiptoeing v6 429 games, 347743 moves, e=0.656, loss: 12.4, -, 53.0% elo% vs. v4, avg. reward: 0.670, 2.756 sec/game, 46.4 min. total, 533.3 MB
twistable_tiptoeing v6 430 games, 348790 moves, e=0.655, loss: 11.6, -, 50.6% elo% vs. v4, avg. reward: 0.675, 2.761 sec/game, 46.4 min. total, 533.2 MB
twistable_tiptoeing v6 431 games, 349643 moves, e=0.654, loss: 11.6, -, 48.2% elo% vs. v4, avg. reward: 0.671, 2.748 sec/game, 46.5 min. total, 533.8 MB
twistable_tiptoeing v6 432 games, 350538 moves, e=0.653, loss: 11.4, +, 50.6% elo% vs. v4, avg. reward: 0.672, 2.715 sec/game, 46.5 min. total, 533.8 MB
twistable_tiptoeing v6 433 games, 351438 moves, e=0.652, loss: 11.7, +, 52.9% elo% vs. v4, avg. reward: 0.673, 2.699 sec/game, 46.6 min. total, 534.6 MB
twistable_tiptoeing v6 434 games, 352343 moves, e=0.651, loss: 12.0, ., 52.8% elo% vs. v4, avg. reward: 0.675, 2.694 sec/game, 46.6 min. total, 536.7 MB
twistable_tiptoeing v6 435 games, 353347 moves, e=0.650, loss: 11.7, +, 54.9% elo% vs. v4, avg. reward: 0.676, 2.711 sec/game, 46.6 min. total, 536.1 MB
twistable_tiptoeing v6 436 games, 354255 moves, e=0.649, loss: 12.8, -, 52.4% elo% vs. v4, avg. reward: 0.678, 2.717 sec/game, 46.7 min. total, 531.9 MB
twistable_tiptoeing v6 437 games, 355131 moves, e=0.648, loss: 12.3, +, 54.6% elo% vs. v4, avg. reward: 0.677, 2.713 sec/game, 46.7 min. total, 531.9 MB
twistable_tiptoeing v6 438 games, 356075 moves, e=0.647, loss: 12.3, +, 56.6% elo% vs. v4, avg. reward: 0.675, 2.699 sec/game, 46.8 min. total, 532.1 MB
twistable_tiptoeing v6 439 games, 356908 moves, e=0.647, loss: 12.3, +, 58.6% elo% vs. v4, avg. reward: 0.678, 2.689 sec/game, 46.8 min. total, 532.2 MB
twistable_tiptoeing v6 440 games, 357948 moves, e=0.646, loss: 13.2, +, 60.4% elo% vs. v4, avg. reward: 0.688, 2.695 sec/game, 46.9 min. total, 532.3 MB
twistable_tiptoeing v6 441 games, 358808 moves, e=0.645, loss: 13.1, +, 62.2% elo% vs. v4, avg. reward: 0.694, 2.688 sec/game, 46.9 min. total, 533.9 MB
twistable_tiptoeing v6 442 games, 359914 moves, e=0.644, loss: 12.6, -, 59.4% elo% vs. v4, avg. reward: 0.696, 2.663 sec/game, 46.9 min. total, 534.2 MB
