twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v1 57 games, 40803 moves, e=0.960, loss: 2.7, +, 61.1% elo% vs. v0, avg. reward: 0.379, 11.680 sec/game, 4.6 min. total, 409.2 MB
twistable_tiptoeing v1 58 games, 41493 moves, e=0.959, loss: 2.7, +, 62.8% elo% vs. v0, avg. reward: 0.373, 11.685 sec/game, 4.6 min. total, 409.6 MB
twistable_tiptoeing v1 59 games, 42067 moves, e=0.958, loss: 2.8, -, 60.1% elo% vs. v0, avg. reward: 0.371, 11.668 sec/game, 4.6 min. total, 409.9 MB
twistable_tiptoeing v1 60 games, 42844 moves, e=0.958, loss: 3.0, +, 61.8% elo% vs. v0, avg. reward: 0.373, 11.657 sec/game, 4.7 min. total, 409.5 MB
twistable_tiptoeing v1 61 games, 43478 moves, e=0.957, loss: 2.7, +, 63.5% elo% vs. v0, avg. reward: 0.374, 11.655 sec/game, 4.7 min. total, 409.6 MB
twistable_tiptoeing v1 62 games, 44183 moves, e=0.956, loss: 2.7, +, 65.0% elo% vs. v0, avg. reward: 0.374, 11.672 sec/game, 4.7 min. total, 409.8 MB
twistable_tiptoeing v1 63 games, 44892 moves, e=0.956, loss: 3.5, -, 62.2% elo% vs. v0, avg. reward: 0.373, 11.213 sec/game, 4.8 min. total, 409.7 MB
twistable_tiptoeing v1 64 games, 45582 moves, e=0.955, loss: 3.1, -, 59.5% elo% vs. v0, avg. reward: 0.376, 11.205 sec/game, 4.8 min. total, 411.5 MB
twistable_tiptoeing v1 65 games, 46296 moves, e=0.954, loss: 3.6, -, 56.8% elo% vs. v0, avg. reward: 0.376, 11.199 sec/game, 4.8 min. total, 411.6 MB
twistable_tiptoeing v1 66 games, 47166 moves, e=0.953, loss: 3.6, +, 58.8% elo% vs. v0, avg. reward: 0.377, 11.237 sec/game, 4.8 min. total, 410.7 MB
twistable_tiptoeing v1 67 games, 47875 moves, e=0.953, loss: 3.0, -, 56.1% elo% vs. v0, avg. reward: 0.376, 11.258 sec/game, 4.9 min. total, 412.5 MB
twistable_tiptoeing v1 68 games, 48656 moves, e=0.952, loss: 2.9, -, 53.6% elo% vs. v0, avg. reward: 0.372, 11.268 sec/game, 4.9 min. total, 410.4 MB
twistable_tiptoeing v1 69 games, 49362 moves, e=0.951, loss: 2.4, -, 51.1% elo% vs. v0, avg. reward: 0.376, 11.268 sec/game, 4.9 min. total, 410.6 MB
twistable_tiptoeing v1 70 games, 50160 moves, e=0.950, loss: 2.6, -, 48.8% elo% vs. v0, avg. reward: 0.380, 11.290 sec/game, 5.0 min. total, 410.9 MB
twistable_tiptoeing v1 71 games, 50958 moves, e=0.950, loss: 3.0, -, 46.5% elo% vs. v0, avg. reward: 0.382, 11.307 sec/game, 5.0 min. total, 410.8 MB
twistable_tiptoeing v1 72 games, 51656 moves, e=0.949, loss: 3.4, ., 46.7% elo% vs. v0, avg. reward: 0.387, 11.306 sec/game, 5.0 min. total, 410.6 MB
twistable_tiptoeing v1 73 games, 52332 moves, e=0.948, loss: 3.8, -, 44.5% elo% vs. v0, avg. reward: 0.389, 11.300 sec/game, 5.1 min. total, 412.1 MB
twistable_tiptoeing v1 74 games, 53003 moves, e=0.948, loss: 4.1, -, 42.5% elo% vs. v0, avg. reward: 0.392, 11.319 sec/game, 5.1 min. total, 414.1 MB
twistable_tiptoeing v1 75 games, 53727 moves, e=0.947, loss: 4.2, +, 45.1% elo% vs. v0, avg. reward: 0.392, 11.321 sec/game, 5.1 min. total, 414.1 MB
twistable_tiptoeing v1 76 games, 54360 moves, e=0.946, loss: 4.5, -, 43.1% elo% vs. v0, avg. reward: 0.389, 1.735 sec/game, 5.1 min. total, 414.1 MB
twistable_tiptoeing v1 77 games, 55016 moves, e=0.946, loss: 4.2, -, 41.1% elo% vs. v0, avg. reward: 0.388, 1.708 sec/game, 5.2 min. total, 416.0 MB
twistable_tiptoeing v1 78 games, 55750 moves, e=0.945, loss: 4.0, -, 39.3% elo% vs. v0, avg. reward: 0.390, 1.715 sec/game, 5.2 min. total, 414.5 MB
twistable_tiptoeing v1 79 games, 56399 moves, e=0.944, loss: 4.3, -, 37.6% elo% vs. v0, avg. reward: 0.390, 1.725 sec/game, 5.2 min. total, 414.5 MB
twistable_tiptoeing v1 80 games, 57071 moves, e=0.943, loss: 5.0, -, 36.0% elo% vs. v0, avg. reward: 0.391, 1.722 sec/game, 5.2 min. total, 416.3 MB
twistable_tiptoeing v1 81 games, 57858 moves, e=0.943, loss: 4.3, -, 34.5% elo% vs. v0, avg. reward: 0.394, 1.791 sec/game, 5.3 min. total, 415.0 MB
twistable_tiptoeing v1 82 games, 58523 moves, e=0.942, loss: 5.0, +, 37.3% elo% vs. v0, avg. reward: 0.396, 1.827 sec/game, 5.3 min. total, 416.0 MB
twistable_tiptoeing v1 83 games, 59261 moves, e=0.941, loss: 5.5, -, 35.7% elo% vs. v0, avg. reward: 0.398, 1.851 sec/game, 5.4 min. total, 417.8 MB
twistable_tiptoeing v1 84 games, 60005 moves, e=0.941, loss: 6.0, -, 34.2% elo% vs. v0, avg. reward: 0.396, 1.851 sec/game, 5.4 min. total, 416.1 MB
twistable_tiptoeing v1 85 games, 60717 moves, e=0.940, loss: 5.2, -, 32.8% elo% vs. v0, avg. reward: 0.395, 1.867 sec/game, 5.4 min. total, 415.7 MB
twistable_tiptoeing v1 86 games, 61406 moves, e=0.939, loss: 5.5, -, 31.5% elo% vs. v0, avg. reward: 0.403, 1.840 sec/game, 5.5 min. total, 415.9 MB
twistable_tiptoeing v1 87 games, 62071 moves, e=0.939, loss: 5.5, -, 30.2% elo% vs. v0, avg. reward: 0.403, 1.840 sec/game, 5.5 min. total, 417.6 MB
twistable_tiptoeing v1 88 games, 62858 moves, e=0.938, loss: 5.3, -, 29.1% elo% vs. v0, avg. reward: 0.410, 1.856 sec/game, 5.5 min. total, 417.9 MB
