many_mutilated v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
many_mutilated v3 51 games, 36416 moves, e=0.964, loss: 6.6, -, 30.8% elo% vs. random_no_suicide, avg. reward: -9.859, 1.313 sec/game, 0.8 min. total, 466.1 MB
many_mutilated v3 52 games, 37205 moves, e=0.963, loss: 7.1, -, 29.6% elo% vs. random_no_suicide, avg. reward: -9.836, 1.300 sec/game, 0.9 min. total, 467.0 MB
many_mutilated v3 53 games, 37874 moves, e=0.963, loss: 7.9, -, 28.5% elo% vs. random_no_suicide, avg. reward: -9.850, 1.283 sec/game, 0.9 min. total, 467.3 MB
many_mutilated v3 54 games, 38628 moves, e=0.962, loss: 7.8, -, 27.4% elo% vs. random_no_suicide, avg. reward: -9.838, 1.287 sec/game, 0.9 min. total, 467.6 MB
many_mutilated v3 55 games, 39283 moves, e=0.961, loss: 8.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.851, 1.277 sec/game, 0.9 min. total, 467.6 MB
many_mutilated v3 56 games, 39987 moves, e=0.960, loss: 8.3, -, 25.5% elo% vs. random_no_suicide, avg. reward: -9.855, 1.276 sec/game, 1.0 min. total, 467.9 MB
many_mutilated v3 57 games, 40697 moves, e=0.960, loss: 7.6, -, 24.6% elo% vs. random_no_suicide, avg. reward: -9.857, 1.277 sec/game, 1.0 min. total, 467.8 MB
many_mutilated v3 58 games, 41537 moves, e=0.959, loss: 7.1, -, 23.8% elo% vs. random_no_suicide, avg. reward: -9.830, 1.298 sec/game, 1.0 min. total, 467.9 MB
many_mutilated v3 59 games, 42327 moves, e=0.958, loss: 7.0, -, 23.0% elo% vs. random_no_suicide, avg. reward: -9.817, 1.313 sec/game, 1.0 min. total, 467.7 MB
many_mutilated v3 60 games, 43083 moves, e=0.957, loss: 7.1, -, 22.3% elo% vs. random_no_suicide, avg. reward: -9.806, 1.330 sec/game, 1.1 min. total, 468.2 MB
many_mutilated v3 61 games, 43774 moves, e=0.957, loss: 6.9, -, 21.6% elo% vs. random_no_suicide, avg. reward: -9.813, 1.345 sec/game, 1.1 min. total, 468.6 MB
many_mutilated v3 62 games, 44483 moves, e=0.956, loss: 6.9, -, 20.9% elo% vs. random_no_suicide, avg. reward: -9.812, 1.351 sec/game, 1.1 min. total, 467.2 MB
many_mutilated v3 63 games, 45141 moves, e=0.955, loss: 6.7, -, 20.3% elo% vs. random_no_suicide, avg. reward: -9.823, 1.376 sec/game, 1.1 min. total, 469.5 MB
many_mutilated v3 64 games, 45838 moves, e=0.955, loss: 6.5, -, 19.7% elo% vs. random_no_suicide, avg. reward: -9.826, 1.395 sec/game, 1.2 min. total, 469.4 MB
many_mutilated v3 65 games, 46525 moves, e=0.954, loss: 6.9, -, 19.1% elo% vs. random_no_suicide, avg. reward: -9.829, 1.404 sec/game, 1.2 min. total, 469.6 MB
many_mutilated v3 66 games, 47240 moves, e=0.953, loss: 6.9, -, 18.6% elo% vs. random_no_suicide, avg. reward: -9.832, 1.402 sec/game, 1.2 min. total, 469.9 MB
many_mutilated v3 67 games, 47959 moves, e=0.953, loss: 7.0, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.833, 1.392 sec/game, 1.2 min. total, 470.2 MB
many_mutilated v3 68 games, 48715 moves, e=0.952, loss: 6.7, -, 17.6% elo% vs. random_no_suicide, avg. reward: -9.823, 1.395 sec/game, 1.2 min. total, 470.3 MB
many_mutilated v3 69 games, 49478 moves, e=0.951, loss: 5.9, -, 17.1% elo% vs. random_no_suicide, avg. reward: -9.811, 1.407 sec/game, 1.3 min. total, 470.6 MB
many_mutilated v3 70 games, 50173 moves, e=0.950, loss: 6.0, -, 16.7% elo% vs. random_no_suicide, avg. reward: -9.817, 1.408 sec/game, 1.3 min. total, 471.6 MB
many_mutilated v3 71 games, 50912 moves, e=0.950, loss: 6.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.811, 1.414 sec/game, 1.3 min. total, 472.5 MB
many_mutilated v3 72 games, 51673 moves, e=0.949, loss: 6.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.801, 1.428 sec/game, 1.3 min. total, 471.7 MB
many_mutilated v3 73 games, 52336 moves, e=0.948, loss: 6.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.811, 1.430 sec/game, 1.4 min. total, 471.8 MB
many_mutilated v3 74 games, 53124 moves, e=0.947, loss: 6.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: -9.800, 1.438 sec/game, 1.4 min. total, 472.2 MB
many_mutilated v3 75 games, 53868 moves, e=0.947, loss: 6.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.787, 1.442 sec/game, 1.4 min. total, 472.1 MB
many_mutilated v3 76 games, 54703 moves, e=0.946, loss: 6.2, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.766, 1.457 sec/game, 1.4 min. total, 472.4 MB
many_mutilated v3 77 games, 55488 moves, e=0.945, loss: 5.8, -, 14.1% elo% vs. random_no_suicide, avg. reward: -9.750, 1.470 sec/game, 1.5 min. total, 472.1 MB
many_mutilated v3 78 games, 56126 moves, e=0.944, loss: 6.0, -, 13.8% elo% vs. random_no_suicide, avg. reward: -9.768, 1.450 sec/game, 1.5 min. total, 472.5 MB
many_mutilated v3 79 games, 56853 moves, e=0.944, loss: 5.7, -, 13.5% elo% vs. random_no_suicide, avg. reward: -9.765, 1.450 sec/game, 1.5 min. total, 472.7 MB
many_mutilated v3 80 games, 57610 moves, e=0.943, loss: 5.9, -, 13.2% elo% vs. random_no_suicide, avg. reward: -9.757, 1.448 sec/game, 1.5 min. total, 473.4 MB
many_mutilated v3 81 games, 58462 moves, e=0.942, loss: 6.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: -9.735, 1.437 sec/game, 1.6 min. total, 469.8 MB
many_mutilated v3 82 games, 59353 moves, e=0.941, loss: 6.1, -, 12.6% elo% vs. random_no_suicide, avg. reward: -9.711, 1.445 sec/game, 1.6 min. total, 474.4 MB
many_mutilated v3 83 games, 60206 moves, e=0.940, loss: 6.1, -, 12.4% elo% vs. random_no_suicide, avg. reward: -9.691, 1.445 sec/game, 1.6 min. total, 474.2 MB
many_mutilated v3 84 games, 61046 moves, e=0.940, loss: 6.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: -9.672, 1.432 sec/game, 1.6 min. total, 474.3 MB
many_mutilated v3 85 games, 61762 moves, e=0.939, loss: 6.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: -9.672, 1.435 sec/game, 1.7 min. total, 474.5 MB
many_mutilated v3 86 games, 62450 moves, e=0.938, loss: 5.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: -9.677, 1.429 sec/game, 1.7 min. total, 474.4 MB
many_mutilated v3 87 games, 63166 moves, e=0.937, loss: 5.8, -, 11.4% elo% vs. random_no_suicide, avg. reward: -9.677, 1.440 sec/game, 1.7 min. total, 474.9 MB
many_mutilated v3 88 games, 64088 moves, e=0.937, loss: 5.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: -9.651, 1.452 sec/game, 1.7 min. total, 474.8 MB
many_mutilated v3 89 games, 64743 moves, e=0.936, loss: 5.9, -, 11.0% elo% vs. random_no_suicide, avg. reward: -9.667, 1.441 sec/game, 1.8 min. total, 475.6 MB
many_mutilated v3 90 games, 65519 moves, e=0.935, loss: 5.9, -, 10.8% elo% vs. random_no_suicide, avg. reward: -9.657, 1.460 sec/game, 1.8 min. total, 475.7 MB
