grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v6 295 games, 227715 moves, e=0.775, loss: 4.8, -, 5.9% elo% vs. simple_bot, avg. reward: -5.324, 1.280 sec/game, 5.5 min. total, 487.6 MB
grappling_amnesty v6 296 games, 228512 moves, e=0.774, loss: 4.8, -, 5.8% elo% vs. simple_bot, avg. reward: -5.315, 1.289 sec/game, 5.5 min. total, 486.9 MB
grappling_amnesty v6 297 games, 229421 moves, e=0.773, loss: 4.6, -, 5.8% elo% vs. simple_bot, avg. reward: -5.310, 1.281 sec/game, 5.5 min. total, 489.1 MB
grappling_amnesty v6 298 games, 230147 moves, e=0.772, loss: 4.7, -, 5.7% elo% vs. simple_bot, avg. reward: -5.308, 1.289 sec/game, 5.5 min. total, 487.6 MB
grappling_amnesty v6 299 games, 230977 moves, e=0.771, loss: 5.0, -, 5.7% elo% vs. simple_bot, avg. reward: -5.299, 1.284 sec/game, 5.6 min. total, 487.3 MB
grappling_amnesty v6 300 games, 231952 moves, e=0.770, loss: 5.1, -, 5.6% elo% vs. simple_bot, avg. reward: -5.289, 1.300 sec/game, 5.6 min. total, 488.9 MB
grappling_amnesty v7 301 games, 232925 moves, e=0.769, loss: 5.0, -, 47.7% elo% vs. simple_bot, avg. reward: -5.270, 1.302 sec/game, 5.6 min. total, 489.0 MB
grappling_amnesty v7 302 games, 233852 moves, e=0.768, loss: 5.1, -, 45.5% elo% vs. simple_bot, avg. reward: -5.256, 1.297 sec/game, 5.6 min. total, 488.1 MB
grappling_amnesty v7 303 games, 234629 moves, e=0.768, loss: 5.2, -, 43.4% elo% vs. simple_bot, avg. reward: -5.241, 1.294 sec/game, 5.7 min. total, 490.1 MB
grappling_amnesty v7 304 games, 235378 moves, e=0.767, loss: 4.9, -, 41.5% elo% vs. simple_bot, avg. reward: -5.237, 1.278 sec/game, 5.7 min. total, 491.1 MB
grappling_amnesty v7 305 games, 236261 moves, e=0.766, loss: 5.0, -, 39.6% elo% vs. simple_bot, avg. reward: -5.228, 1.279 sec/game, 5.7 min. total, 490.8 MB
grappling_amnesty v7 306 games, 237167 moves, e=0.765, loss: 5.4, -, 37.9% elo% vs. simple_bot, avg. reward: -5.225, 1.279 sec/game, 5.7 min. total, 490.4 MB
grappling_amnesty v7 307 games, 238123 moves, e=0.764, loss: 5.3, -, 36.3% elo% vs. simple_bot, avg. reward: -5.217, 1.293 sec/game, 5.7 min. total, 489.4 MB
grappling_amnesty v7 308 games, 239000 moves, e=0.763, loss: 5.3, -, 34.8% elo% vs. simple_bot, avg. reward: -5.217, 1.302 sec/game, 5.8 min. total, 489.8 MB
grappling_amnesty v7 309 games, 239879 moves, e=0.763, loss: 5.3, -, 33.3% elo% vs. simple_bot, avg. reward: -5.201, 1.300 sec/game, 5.8 min. total, 491.0 MB
grappling_amnesty v7 310 games, 240642 moves, e=0.762, loss: 5.1, -, 32.0% elo% vs. simple_bot, avg. reward: -5.212, 1.283 sec/game, 5.8 min. total, 492.0 MB
grappling_amnesty v7 311 games, 241490 moves, e=0.761, loss: 5.1, -, 30.7% elo% vs. simple_bot, avg. reward: -5.211, 1.277 sec/game, 5.8 min. total, 491.2 MB
grappling_amnesty v7 312 games, 242339 moves, e=0.760, loss: 5.2, -, 29.5% elo% vs. simple_bot, avg. reward: -5.209, 1.288 sec/game, 5.8 min. total, 491.6 MB
grappling_amnesty v7 313 games, 243161 moves, e=0.759, loss: 5.5, -, 28.4% elo% vs. simple_bot, avg. reward: -5.207, 1.291 sec/game, 5.9 min. total, 493.1 MB
grappling_amnesty v7 314 games, 244097 moves, e=0.758, loss: 5.1, -, 27.3% elo% vs. simple_bot, avg. reward: -5.200, 1.307 sec/game, 5.9 min. total, 490.4 MB
grappling_amnesty v7 315 games, 244970 moves, e=0.757, loss: 5.1, -, 26.4% elo% vs. simple_bot, avg. reward: -5.198, 1.301 sec/game, 5.9 min. total, 491.3 MB
grappling_amnesty v7 316 games, 245931 moves, e=0.757, loss: 5.3, -, 25.4% elo% vs. simple_bot, avg. reward: -5.190, 1.318 sec/game, 5.9 min. total, 491.5 MB
grappling_amnesty v7 317 games, 246922 moves, e=0.756, loss: 5.0, -, 24.5% elo% vs. simple_bot, avg. reward: -5.173, 1.322 sec/game, 6.0 min. total, 493.1 MB
grappling_amnesty v7 318 games, 247760 moves, e=0.755, loss: 5.0, -, 23.7% elo% vs. simple_bot, avg. reward: -5.172, 1.325 sec/game, 6.0 min. total, 493.6 MB
grappling_amnesty v7 319 games, 248510 moves, e=0.754, loss: 5.2, -, 22.9% elo% vs. simple_bot, avg. reward: -5.184, 1.322 sec/game, 6.0 min. total, 492.4 MB
grappling_amnesty v7 320 games, 249379 moves, e=0.753, loss: 4.8, -, 22.2% elo% vs. simple_bot, avg. reward: -5.170, 1.316 sec/game, 6.0 min. total, 495.1 MB
grappling_amnesty v7 321 games, 250305 moves, e=0.752, loss: 4.8, -, 21.5% elo% vs. simple_bot, avg. reward: -5.153, 1.315 sec/game, 6.0 min. total, 493.5 MB
grappling_amnesty v7 322 games, 251057 moves, e=0.751, loss: 5.0, -, 20.8% elo% vs. simple_bot, avg. reward: -5.155, 1.307 sec/game, 6.1 min. total, 492.6 MB
grappling_amnesty v7 323 games, 251897 moves, e=0.751, loss: 5.0, -, 20.2% elo% vs. simple_bot, avg. reward: -5.157, 1.301 sec/game, 6.1 min. total, 493.2 MB
grappling_amnesty v7 324 games, 252808 moves, e=0.750, loss: 4.8, -, 19.6% elo% vs. simple_bot, avg. reward: -5.149, 1.327 sec/game, 6.1 min. total, 494.8 MB
grappling_amnesty v7 325 games, 253739 moves, e=0.749, loss: 4.7, -, 19.1% elo% vs. simple_bot, avg. reward: -5.143, 1.335 sec/game, 6.1 min. total, 494.0 MB
grappling_amnesty v7 326 games, 254532 moves, e=0.748, loss: 5.2, -, 18.5% elo% vs. simple_bot, avg. reward: -5.142, 1.330 sec/game, 6.2 min. total, 495.1 MB
grappling_amnesty v7 327 games, 255471 moves, e=0.747, loss: 4.9, -, 18.0% elo% vs. simple_bot, avg. reward: -5.143, 1.383 sec/game, 6.2 min. total, 496.4 MB
grappling_amnesty v7 328 games, 256378 moves, e=0.746, loss: 5.2, -, 17.5% elo% vs. simple_bot, avg. reward: -5.132, 1.410 sec/game, 6.2 min. total, 495.7 MB
grappling_amnesty v7 329 games, 257077 moves, e=0.745, loss: 5.0, -, 17.1% elo% vs. simple_bot, avg. reward: -5.135, 1.422 sec/game, 6.3 min. total, 495.7 MB
grappling_amnesty v7 330 games, 257908 moves, e=0.745, loss: 4.9, -, 16.6% elo% vs. simple_bot, avg. reward: -5.130, 1.446 sec/game, 6.3 min. total, 495.2 MB
grappling_amnesty v7 331 games, 258846 moves, e=0.744, loss: 4.8, -, 16.2% elo% vs. simple_bot, avg. reward: -5.128, 1.490 sec/game, 6.3 min. total, 495.3 MB
grappling_amnesty v7 332 games, 259796 moves, e=0.743, loss: 4.6, -, 15.8% elo% vs. simple_bot, avg. reward: -5.123, 1.517 sec/game, 6.4 min. total, 496.0 MB
grappling_amnesty v7 333 games, 260749 moves, e=0.742, loss: 5.0, -, 15.4% elo% vs. simple_bot, avg. reward: -5.104, 1.552 sec/game, 6.4 min. total, 497.7 MB
grappling_amnesty v7 334 games, 261750 moves, e=0.741, loss: 5.1, -, 15.1% elo% vs. simple_bot, avg. reward: -5.088, 1.577 sec/game, 6.4 min. total, 496.6 MB
grappling_amnesty v7 335 games, 262416 moves, e=0.740, loss: 5.0, -, 14.7% elo% vs. simple_bot, avg. reward: -5.101, 1.597 sec/game, 6.4 min. total, 496.6 MB
grappling_amnesty v7 336 games, 263439 moves, e=0.739, loss: 5.3, -, 14.4% elo% vs. simple_bot, avg. reward: -5.088, 1.626 sec/game, 6.5 min. total, 498.8 MB
grappling_amnesty v7 337 games, 264506 moves, e=0.738, loss: 5.0, -, 14.0% elo% vs. simple_bot, avg. reward: -5.081, 1.653 sec/game, 6.5 min. total, 496.5 MB
grappling_amnesty v7 338 games, 265245 moves, e=0.737, loss: 5.0, -, 13.7% elo% vs. simple_bot, avg. reward: -5.088, 1.670 sec/game, 6.5 min. total, 497.9 MB
grappling_amnesty v7 339 games, 266033 moves, e=0.737, loss: 5.0, -, 13.4% elo% vs. simple_bot, avg. reward: -5.089, 1.698 sec/game, 6.6 min. total, 496.1 MB
grappling_amnesty v7 340 games, 266964 moves, e=0.736, loss: 5.2, -, 13.1% elo% vs. simple_bot, avg. reward: -5.080, 1.724 sec/game, 6.6 min. total, 499.0 MB
grappling_amnesty v7 341 games, 267763 moves, e=0.735, loss: 5.7, -, 12.9% elo% vs. simple_bot, avg. reward: -5.080, 1.738 sec/game, 6.6 min. total, 497.0 MB
grappling_amnesty v7 342 games, 268798 moves, e=0.734, loss: 5.5, -, 12.6% elo% vs. simple_bot, avg. reward: -5.071, 1.781 sec/game, 6.7 min. total, 500.2 MB
grappling_amnesty v7 343 games, 269678 moves, e=0.733, loss: 5.3, -, 12.4% elo% vs. simple_bot, avg. reward: -5.073, 1.822 sec/game, 6.7 min. total, 497.2 MB
grappling_amnesty v7 344 games, 270455 moves, e=0.732, loss: 5.1, -, 12.1% elo% vs. simple_bot, avg. reward: -5.075, 1.823 sec/game, 6.7 min. total, 498.7 MB
grappling_amnesty v7 345 games, 271508 moves, e=0.731, loss: 5.3, -, 11.9% elo% vs. simple_bot, avg. reward: -5.055, 1.848 sec/game, 6.8 min. total, 498.7 MB
grappling_amnesty v7 346 games, 272407 moves, e=0.730, loss: 5.2, -, 11.7% elo% vs. simple_bot, avg. reward: -5.043, 1.864 sec/game, 6.8 min. total, 497.9 MB
grappling_amnesty v7 347 games, 273180 moves, e=0.730, loss: 5.1, -, 11.4% elo% vs. simple_bot, avg. reward: -5.047, 1.804 sec/game, 6.8 min. total, 497.9 MB
grappling_amnesty v7 348 games, 274217 moves, e=0.729, loss: 5.3, -, 11.2% elo% vs. simple_bot, avg. reward: -5.036, 1.800 sec/game, 6.8 min. total, 497.5 MB
grappling_amnesty v7 349 games, 275166 moves, e=0.728, loss: 5.3, -, 11.0% elo% vs. simple_bot, avg. reward: -5.015, 1.803 sec/game, 6.9 min. total, 499.7 MB
grappling_amnesty v7 350 games, 276015 moves, e=0.727, loss: 5.2, -, 10.8% elo% vs. simple_bot, avg. reward: -5.010, 1.804 sec/game, 6.9 min. total, 499.9 MB
grappling_amnesty v7 351 games, 276939 moves, e=0.726, loss: 5.3, -, 10.6% elo% vs. simple_bot, avg. reward: -5.008, 1.784 sec/game, 6.9 min. total, 500.6 MB
grappling_amnesty v7 352 games, 277898 moves, e=0.725, loss: 5.1, -, 10.4% elo% vs. simple_bot, avg. reward: -4.993, 1.773 sec/game, 6.9 min. total, 500.8 MB
grappling_amnesty v7 353 games, 278797 moves, e=0.724, loss: 5.0, -, 10.3% elo% vs. simple_bot, avg. reward: -4.971, 1.755 sec/game, 7.0 min. total, 501.2 MB
grappling_amnesty v7 354 games, 279642 moves, e=0.723, loss: 5.0, -, 10.1% elo% vs. simple_bot, avg. reward: -4.965, 1.722 sec/game, 7.0 min. total, 501.3 MB
grappling_amnesty v7 355 games, 280575 moves, e=0.722, loss: 5.1, -, 9.9% elo% vs. simple_bot, avg. reward: -4.956, 1.717 sec/game, 7.0 min. total, 502.9 MB
grappling_amnesty v7 356 games, 281413 moves, e=0.721, loss: 4.9, -, 9.8% elo% vs. simple_bot, avg. reward: -4.950, 1.688 sec/game, 7.0 min. total, 503.7 MB
grappling_amnesty v7 357 games, 282405 moves, e=0.720, loss: 5.1, -, 9.6% elo% vs. simple_bot, avg. reward: -4.947, 1.670 sec/game, 7.1 min. total, 503.3 MB
grappling_amnesty v7 358 games, 283302 moves, e=0.720, loss: 5.1, -, 9.5% elo% vs. simple_bot, avg. reward: -4.943, 1.669 sec/game, 7.1 min. total, 503.2 MB
grappling_amnesty v7 359 games, 284225 moves, e=0.719, loss: 5.1, -, 9.3% elo% vs. simple_bot, avg. reward: -4.935, 1.663 sec/game, 7.1 min. total, 502.4 MB
grappling_amnesty v7 360 games, 285143 moves, e=0.718, loss: 5.4, -, 9.2% elo% vs. simple_bot, avg. reward: -4.923, 1.645 sec/game, 7.1 min. total, 504.2 MB
grappling_amnesty v7 361 games, 286025 moves, e=0.717, loss: 5.5, -, 9.0% elo% vs. simple_bot, avg. reward: -4.921, 1.640 sec/game, 7.2 min. total, 503.4 MB
grappling_amnesty v7 362 games, 286937 moves, e=0.716, loss: 5.3, -, 8.9% elo% vs. simple_bot, avg. reward: -4.911, 1.612 sec/game, 7.2 min. total, 504.4 MB
grappling_amnesty v7 363 games, 287991 moves, e=0.715, loss: 5.5, -, 8.8% elo% vs. simple_bot, avg. reward: -4.898, 1.600 sec/game, 7.2 min. total, 504.8 MB
grappling_amnesty v7 364 games, 288968 moves, e=0.714, loss: 5.4, -, 8.6% elo% vs. simple_bot, avg. reward: -4.886, 1.608 sec/game, 7.3 min. total, 505.7 MB
grappling_amnesty v7 365 games, 289813 moves, e=0.713, loss: 5.3, -, 8.5% elo% vs. simple_bot, avg. reward: -4.886, 1.582 sec/game, 7.3 min. total, 505.2 MB
grappling_amnesty v7 366 games, 290836 moves, e=0.712, loss: 5.5, -, 8.4% elo% vs. simple_bot, avg. reward: -4.870, 1.593 sec/game, 7.3 min. total, 506.1 MB
grappling_amnesty v7 367 games, 291743 moves, e=0.711, loss: 5.4, -, 8.3% elo% vs. simple_bot, avg. reward: -4.858, 1.601 sec/game, 7.3 min. total, 504.9 MB
grappling_amnesty v7 368 games, 292837 moves, e=0.710, loss: 5.6, -, 8.1% elo% vs. simple_bot, avg. reward: -4.843, 1.599 sec/game, 7.4 min. total, 506.5 MB
grappling_amnesty v7 369 games, 293739 moves, e=0.709, loss: 5.2, -, 8.0% elo% vs. simple_bot, avg. reward: -4.831, 1.595 sec/game, 7.4 min. total, 506.2 MB
grappling_amnesty v7 370 games, 294591 moves, e=0.708, loss: 5.0, -, 7.9% elo% vs. simple_bot, avg. reward: -4.833, 1.588 sec/game, 7.4 min. total, 506.7 MB
grappling_amnesty v7 371 games, 295554 moves, e=0.707, loss: 4.9, -, 7.8% elo% vs. simple_bot, avg. reward: -4.817, 1.611 sec/game, 7.5 min. total, 506.7 MB
grappling_amnesty v7 372 games, 296483 moves, e=0.706, loss: 4.9, -, 7.7% elo% vs. simple_bot, avg. reward: -4.818, 1.600 sec/game, 7.5 min. total, 505.4 MB
grappling_amnesty v7 373 games, 297418 moves, e=0.706, loss: 4.9, -, 7.6% elo% vs. simple_bot, avg. reward: -4.818, 1.596 sec/game, 7.5 min. total, 497.6 MB
grappling_amnesty v7 374 games, 298422 moves, e=0.705, loss: 4.8, -, 7.5% elo% vs. simple_bot, avg. reward: -4.802, 1.610 sec/game, 7.5 min. total, 496.9 MB
grappling_amnesty v7 375 games, 299319 moves, e=0.704, loss: 4.8, -, 7.4% elo% vs. simple_bot, avg. reward: -4.806, 1.605 sec/game, 7.6 min. total, 497.9 MB
grappling_amnesty v7 376 games, 300150 moves, e=0.703, loss: 4.8, -, 7.3% elo% vs. simple_bot, avg. reward: -4.794, 1.593 sec/game, 7.6 min. total, 496.1 MB
grappling_amnesty v7 377 games, 301154 moves, e=0.702, loss: 4.9, -, 7.2% elo% vs. simple_bot, avg. reward: -4.797, 1.588 sec/game, 7.6 min. total, 498.1 MB
grappling_amnesty v7 378 games, 302076 moves, e=0.701, loss: 4.6, -, 7.2% elo% vs. simple_bot, avg. reward: -4.777, 1.583 sec/game, 7.6 min. total, 498.5 MB
grappling_amnesty v7 379 games, 302956 moves, e=0.700, loss: 4.5, -, 7.1% elo% vs. simple_bot, avg. reward: -4.771, 1.575 sec/game, 7.6 min. total, 497.0 MB
grappling_amnesty v7 380 games, 303907 moves, e=0.699, loss: 4.8, -, 7.0% elo% vs. simple_bot, avg. reward: -4.757, 1.578 sec/game, 7.7 min. total, 499.0 MB
grappling_amnesty v7 381 games, 304854 moves, e=0.698, loss: 5.1, -, 6.9% elo% vs. simple_bot, avg. reward: -4.759, 1.573 sec/game, 7.7 min. total, 497.7 MB
grappling_amnesty v7 382 games, 305705 moves, e=0.697, loss: 4.9, -, 6.8% elo% vs. simple_bot, avg. reward: -4.764, 4.326 sec/game, 8.6 min. total, 500.1 MB
grappling_amnesty v7 383 games, 306452 moves, e=0.697, loss: 5.1, -, 6.7% elo% vs. simple_bot, avg. reward: -4.775, 4.307 sec/game, 8.7 min. total, 499.0 MB
grappling_amnesty v7 384 games, 307406 moves, e=0.696, loss: 5.5, -, 6.7% elo% vs. simple_bot, avg. reward: -4.769, 4.301 sec/game, 8.7 min. total, 499.0 MB
grappling_amnesty v7 385 games, 308261 moves, e=0.695, loss: 5.5, -, 6.6% elo% vs. simple_bot, avg. reward: -4.769, 4.323 sec/game, 8.7 min. total, 498.8 MB
grappling_amnesty v7 386 games, 309101 moves, e=0.694, loss: 5.2, -, 6.5% elo% vs. simple_bot, avg. reward: -4.770, 4.330 sec/game, 8.8 min. total, 499.0 MB
grappling_amnesty v7 387 games, 309976 moves, e=0.693, loss: 5.2, -, 6.4% elo% vs. simple_bot, avg. reward: -4.761, 5.679 sec/game, 9.2 min. total, 500.3 MB
grappling_amnesty v7 388 games, 310842 moves, e=0.692, loss: 5.1, -, 6.4% elo% vs. simple_bot, avg. reward: -4.744, 7.210 sec/game, 9.8 min. total, 499.8 MB
grappling_amnesty v7 389 games, 311794 moves, e=0.691, loss: 5.3, -, 6.3% elo% vs. simple_bot, avg. reward: -4.739, 7.217 sec/game, 9.8 min. total, 500.9 MB
grappling_amnesty v7 390 games, 312520 moves, e=0.691, loss: 5.3, -, 6.2% elo% vs. simple_bot, avg. reward: -4.760, 7.215 sec/game, 9.8 min. total, 501.8 MB
grappling_amnesty v7 391 games, 313371 moves, e=0.690, loss: 5.3, -, 6.2% elo% vs. simple_bot, avg. reward: -4.758, 7.217 sec/game, 9.9 min. total, 501.2 MB
grappling_amnesty v7 392 games, 314328 moves, e=0.689, loss: 5.5, -, 6.1% elo% vs. simple_bot, avg. reward: -4.746, 7.261 sec/game, 9.9 min. total, 500.0 MB
grappling_amnesty v7 393 games, 315131 moves, e=0.688, loss: 5.5, -, 6.0% elo% vs. simple_bot, avg. reward: -4.734, 8.434 sec/game, 10.3 min. total, 500.9 MB
grappling_amnesty v7 394 games, 316021 moves, e=0.687, loss: 5.2, -, 6.0% elo% vs. simple_bot, avg. reward: -4.728, 8.456 sec/game, 10.3 min. total, 501.1 MB
grappling_amnesty v7 395 games, 316931 moves, e=0.686, loss: 5.0, -, 5.9% elo% vs. simple_bot, avg. reward: -4.718, 8.484 sec/game, 10.4 min. total, 500.3 MB
grappling_amnesty v7 396 games, 317760 moves, e=0.685, loss: 5.0, -, 5.8% elo% vs. simple_bot, avg. reward: -4.715, 8.507 sec/game, 10.4 min. total, 503.9 MB
grappling_amnesty v7 397 games, 318614 moves, e=0.685, loss: 4.6, -, 5.8% elo% vs. simple_bot, avg. reward: -4.712, 8.517 sec/game, 10.4 min. total, 503.4 MB
grappling_amnesty v7 398 games, 319448 moves, e=0.684, loss: 4.7, -, 5.7% elo% vs. simple_bot, avg. reward: -4.701, 8.855 sec/game, 10.6 min. total, 503.2 MB
grappling_amnesty v7 399 games, 320318 moves, e=0.683, loss: 4.8, -, 5.7% elo% vs. simple_bot, avg. reward: -4.698, 9.708 sec/game, 10.9 min. total, 503.2 MB
grappling_amnesty v7 400 games, 321156 moves, e=0.682, loss: 4.9, -, 5.6% elo% vs. simple_bot, avg. reward: -4.707, 9.727 sec/game, 10.9 min. total, 504.1 MB
grappling_amnesty v8 401 games, 321980 moves, e=0.681, loss: 5.2, -, 47.7% elo% vs. simple_bot, avg. reward: -4.715, 9.759 sec/game, 11.0 min. total, 504.1 MB
grappling_amnesty v8 402 games, 322855 moves, e=0.680, loss: 5.1, -, 45.5% elo% vs. simple_bot, avg. reward: -4.718, 7.040 sec/game, 11.0 min. total, 503.2 MB
grappling_amnesty v8 403 games, 323819 moves, e=0.679, loss: 4.9, -, 43.4% elo% vs. simple_bot, avg. reward: -4.707, 7.597 sec/game, 11.2 min. total, 504.1 MB
grappling_amnesty v8 404 games, 324775 moves, e=0.678, loss: 5.1, -, 41.5% elo% vs. simple_bot, avg. reward: -4.687, 11.326 sec/game, 12.5 min. total, 503.8 MB
grappling_amnesty v8 405 games, 325775 moves, e=0.677, loss: 5.2, -, 39.6% elo% vs. simple_bot, avg. reward: -4.676, 11.310 sec/game, 12.5 min. total, 505.8 MB
grappling_amnesty v8 406 games, 326865 moves, e=0.676, loss: 5.0, -, 37.9% elo% vs. simple_bot, avg. reward: -4.668, 11.310 sec/game, 12.5 min. total, 505.7 MB
grappling_amnesty v8 407 games, 327894 moves, e=0.675, loss: 5.1, -, 36.3% elo% vs. simple_bot, avg. reward: -4.662, 9.983 sec/game, 12.6 min. total, 505.3 MB
grappling_amnesty v8 408 games, 328840 moves, e=0.674, loss: 5.3, -, 34.8% elo% vs. simple_bot, avg. reward: -4.656, 8.455 sec/game, 12.6 min. total, 505.3 MB
grappling_amnesty v8 409 games, 329725 moves, e=0.674, loss: 5.4, -, 33.3% elo% vs. simple_bot, avg. reward: -4.651, 28.686 sec/game, 19.4 min. total, 506.6 MB
grappling_amnesty v8 410 games, 330563 moves, e=0.673, loss: 5.4, -, 32.0% elo% vs. simple_bot, avg. reward: -4.645, 28.762 sec/game, 19.4 min. total, 506.3 MB
grappling_amnesty v8 411 games, 331386 moves, e=0.672, loss: 5.3, -, 30.7% elo% vs. simple_bot, avg. reward: -4.649, 28.750 sec/game, 19.4 min. total, 506.9 MB
grappling_amnesty v8 412 games, 332325 moves, e=0.671, loss: 5.3, -, 29.5% elo% vs. simple_bot, avg. reward: -4.641, 28.753 sec/game, 19.5 min. total, 507.8 MB
grappling_amnesty v8 413 games, 333132 moves, e=0.670, loss: 5.1, -, 28.4% elo% vs. simple_bot, avg. reward: -4.642, 27.595 sec/game, 19.5 min. total, 506.8 MB
grappling_amnesty v8 414 games, 334106 moves, e=0.669, loss: 5.2, -, 27.3% elo% vs. simple_bot, avg. reward: -4.636, 27.615 sec/game, 19.6 min. total, 507.2 MB
grappling_amnesty v8 415 games, 335048 moves, e=0.668, loss: 5.2, -, 26.4% elo% vs. simple_bot, avg. reward: -4.631, 27.597 sec/game, 19.6 min. total, 507.7 MB
grappling_amnesty v8 416 games, 336108 moves, e=0.667, loss: 5.0, -, 25.4% elo% vs. simple_bot, avg. reward: -4.620, 27.600 sec/game, 19.6 min. total, 508.6 MB
grappling_amnesty v8 417 games, 336953 moves, e=0.666, loss: 5.0, -, 24.5% elo% vs. simple_bot, avg. reward: -4.630, 27.585 sec/game, 19.6 min. total, 507.7 MB
grappling_amnesty v8 418 games, 337996 moves, e=0.665, loss: 5.2, -, 23.7% elo% vs. simple_bot, avg. reward: -4.616, 27.261 sec/game, 19.7 min. total, 507.7 MB
grappling_amnesty v8 419 games, 338909 moves, e=0.664, loss: 5.1, -, 22.9% elo% vs. simple_bot, avg. reward: -4.601, 26.416 sec/game, 19.7 min. total, 509.5 MB
grappling_amnesty v8 420 games, 339791 moves, e=0.664, loss: 5.0, -, 22.2% elo% vs. simple_bot, avg. reward: -4.605, 26.396 sec/game, 19.7 min. total, 509.2 MB
grappling_amnesty v8 421 games, 340833 moves, e=0.663, loss: 5.0, -, 21.5% elo% vs. simple_bot, avg. reward: -4.600, 26.379 sec/game, 19.7 min. total, 508.8 MB
grappling_amnesty v8 422 games, 341933 moves, e=0.661, loss: 4.7, -, 20.8% elo% vs. simple_bot, avg. reward: -4.581, 26.359 sec/game, 19.8 min. total, 508.6 MB
grappling_amnesty v8 423 games, 342899 moves, e=0.661, loss: 4.8, -, 20.2% elo% vs. simple_bot, avg. reward: -4.574, 25.808 sec/game, 19.8 min. total, 509.5 MB
grappling_amnesty v8 424 games, 343831 moves, e=0.660, loss: 4.5, -, 19.6% elo% vs. simple_bot, avg. reward: -4.569, 22.077 sec/game, 19.8 min. total, 510.0 MB
grappling_amnesty v8 425 games, 344842 moves, e=0.659, loss: 4.3, -, 19.1% elo% vs. simple_bot, avg. reward: -4.561, 22.080 sec/game, 19.9 min. total, 510.4 MB
grappling_amnesty v8 426 games, 345809 moves, e=0.658, loss: 4.5, -, 18.5% elo% vs. simple_bot, avg. reward: -4.548, 22.056 sec/game, 19.9 min. total, 511.2 MB
grappling_amnesty v8 427 games, 346814 moves, e=0.657, loss: 4.4, -, 18.0% elo% vs. simple_bot, avg. reward: -4.542, 22.036 sec/game, 19.9 min. total, 510.9 MB
grappling_amnesty v8 428 games, 347750 moves, e=0.656, loss: 4.6, -, 17.5% elo% vs. simple_bot, avg. reward: -4.540, 22.015 sec/game, 19.9 min. total, 510.6 MB
grappling_amnesty v8 429 games, 348594 moves, e=0.655, loss: 4.7, -, 17.1% elo% vs. simple_bot, avg. reward: -4.526, 1.771 sec/game, 19.9 min. total, 512.1 MB
grappling_amnesty v8 430 games, 349580 moves, e=0.654, loss: 4.3, -, 16.6% elo% vs. simple_bot, avg. reward: -4.513, 1.698 sec/game, 20.0 min. total, 510.4 MB
grappling_amnesty v8 431 games, 350753 moves, e=0.653, loss: 4.5, -, 16.2% elo% vs. simple_bot, avg. reward: -4.501, 1.689 sec/game, 20.0 min. total, 510.5 MB
grappling_amnesty v8 432 games, 351775 moves, e=0.652, loss: 4.5, -, 15.8% elo% vs. simple_bot, avg. reward: -4.496, 1.648 sec/game, 20.0 min. total, 511.4 MB
grappling_amnesty v8 433 games, 352709 moves, e=0.651, loss: 4.7, -, 15.4% elo% vs. simple_bot, avg. reward: -4.492, 1.635 sec/game, 20.1 min. total, 512.8 MB
grappling_amnesty v8 434 games, 353599 moves, e=0.650, loss: 4.9, -, 15.1% elo% vs. simple_bot, avg. reward: -4.499, 1.580 sec/game, 20.1 min. total, 513.8 MB
grappling_amnesty v8 435 games, 354770 moves, e=0.649, loss: 5.1, -, 14.7% elo% vs. simple_bot, avg. reward: -4.464, 1.585 sec/game, 20.1 min. total, 512.8 MB
grappling_amnesty v8 436 games, 355675 moves, e=0.648, loss: 4.9, -, 14.4% elo% vs. simple_bot, avg. reward: -4.469, 1.567 sec/game, 20.1 min. total, 511.7 MB
grappling_amnesty v8 437 games, 356721 moves, e=0.647, loss: 5.2, -, 14.0% elo% vs. simple_bot, avg. reward: -4.471, 1.570 sec/game, 20.2 min. total, 514.0 MB
grappling_amnesty v8 438 games, 357657 moves, e=0.646, loss: 4.9, -, 13.7% elo% vs. simple_bot, avg. reward: -4.451, 1.564 sec/game, 20.2 min. total, 514.3 MB
grappling_amnesty v8 439 games, 358641 moves, e=0.645, loss: 4.9, -, 13.4% elo% vs. simple_bot, avg. reward: -4.441, 1.555 sec/game, 20.2 min. total, 512.6 MB
grappling_amnesty v8 440 games, 359582 moves, e=0.644, loss: 4.9, -, 13.1% elo% vs. simple_bot, avg. reward: -4.437, 1.555 sec/game, 20.2 min. total, 513.6 MB
grappling_amnesty v8 441 games, 360580 moves, e=0.643, loss: 5.1, -, 12.9% elo% vs. simple_bot, avg. reward: -4.422, 1.553 sec/game, 20.3 min. total, 513.5 MB
grappling_amnesty v8 442 games, 361554 moves, e=0.642, loss: 5.2, -, 12.6% elo% vs. simple_bot, avg. reward: -4.424, 1.534 sec/game, 20.3 min. total, 514.1 MB
grappling_amnesty v8 443 games, 362503 moves, e=0.641, loss: 4.8, -, 12.4% elo% vs. simple_bot, avg. reward: -4.415, 1.540 sec/game, 20.3 min. total, 515.2 MB
