grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v3 69 games, 49551 moves, e=0.951, loss: 2.6, -, 21.2% elo% vs. random_no_suicide, avg. reward: -6.476, 1.030 sec/game, 1.0 min. total, 438.0 MB
grappling_amnesty v3 70 games, 50261 moves, e=0.950, loss: 2.4, +, 23.7% elo% vs. random_no_suicide, avg. reward: -6.476, 1.028 sec/game, 1.0 min. total, 437.6 MB
grappling_amnesty v3 71 games, 50931 moves, e=0.950, loss: 2.6, -, 23.0% elo% vs. random_no_suicide, avg. reward: -6.481, 1.015 sec/game, 1.0 min. total, 437.0 MB
grappling_amnesty v3 72 games, 51629 moves, e=0.949, loss: 2.8, -, 22.2% elo% vs. random_no_suicide, avg. reward: -6.484, 1.024 sec/game, 1.0 min. total, 438.0 MB
grappling_amnesty v3 73 games, 52326 moves, e=0.948, loss: 2.6, -, 21.5% elo% vs. random_no_suicide, avg. reward: -6.487, 1.013 sec/game, 1.1 min. total, 437.1 MB
grappling_amnesty v3 74 games, 53110 moves, e=0.947, loss: 2.5, -, 20.9% elo% vs. random_no_suicide, avg. reward: -6.476, 1.003 sec/game, 1.1 min. total, 437.3 MB
grappling_amnesty v3 75 games, 53773 moves, e=0.947, loss: 2.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: -6.481, 1.006 sec/game, 1.1 min. total, 437.6 MB
grappling_amnesty v3 76 games, 54453 moves, e=0.946, loss: 2.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.484, 0.997 sec/game, 1.1 min. total, 438.2 MB
grappling_amnesty v3 77 games, 55174 moves, e=0.945, loss: 2.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -6.479, 0.988 sec/game, 1.1 min. total, 439.3 MB
grappling_amnesty v3 78 games, 55948 moves, e=0.945, loss: 2.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: -6.470, 0.977 sec/game, 1.1 min. total, 437.7 MB
grappling_amnesty v3 79 games, 56634 moves, e=0.944, loss: 2.8, -, 18.0% elo% vs. random_no_suicide, avg. reward: -6.471, 0.981 sec/game, 1.2 min. total, 437.9 MB
grappling_amnesty v3 80 games, 57318 moves, e=0.943, loss: 2.8, -, 17.5% elo% vs. random_no_suicide, avg. reward: -6.475, 0.982 sec/game, 1.2 min. total, 439.7 MB
grappling_amnesty v3 81 games, 58037 moves, e=0.943, loss: 2.7, -, 17.1% elo% vs. random_no_suicide, avg. reward: -6.477, 0.990 sec/game, 1.2 min. total, 437.5 MB
grappling_amnesty v3 82 games, 58850 moves, e=0.942, loss: 2.6, +, 19.3% elo% vs. random_no_suicide, avg. reward: -6.465, 0.990 sec/game, 1.2 min. total, 438.7 MB
grappling_amnesty v3 83 games, 59496 moves, e=0.941, loss: 2.7, +, 21.8% elo% vs. random_no_suicide, avg. reward: -6.474, 0.989 sec/game, 1.2 min. total, 438.0 MB
grappling_amnesty v3 84 games, 60263 moves, e=0.940, loss: 2.6, -, 21.1% elo% vs. random_no_suicide, avg. reward: -6.469, 0.997 sec/game, 1.2 min. total, 438.6 MB
grappling_amnesty v3 85 games, 60959 moves, e=0.940, loss: 2.9, -, 20.5% elo% vs. random_no_suicide, avg. reward: -6.469, 1.005 sec/game, 1.2 min. total, 438.3 MB
grappling_amnesty v3 86 games, 61630 moves, e=0.939, loss: 3.0, -, 19.9% elo% vs. random_no_suicide, avg. reward: -6.474, 0.997 sec/game, 1.3 min. total, 439.8 MB
grappling_amnesty v3 87 games, 62411 moves, e=0.938, loss: 2.8, -, 19.3% elo% vs. random_no_suicide, avg. reward: -6.469, 0.998 sec/game, 1.3 min. total, 439.2 MB
grappling_amnesty v3 88 games, 63063 moves, e=0.938, loss: 2.8, -, 18.7% elo% vs. random_no_suicide, avg. reward: -6.478, 0.983 sec/game, 1.3 min. total, 439.9 MB
grappling_amnesty v3 89 games, 63897 moves, e=0.937, loss: 2.6, -, 18.2% elo% vs. random_no_suicide, avg. reward: -6.465, 0.993 sec/game, 1.3 min. total, 440.2 MB
grappling_amnesty v3 90 games, 64860 moves, e=0.936, loss: 2.6, +, 20.6% elo% vs. random_no_suicide, avg. reward: -6.443, 1.008 sec/game, 1.3 min. total, 440.9 MB
grappling_amnesty v3 91 games, 65582 moves, e=0.935, loss: 2.7, +, 23.1% elo% vs. random_no_suicide, avg. reward: -6.442, 1.016 sec/game, 1.4 min. total, 441.1 MB
grappling_amnesty v3 92 games, 66378 moves, e=0.934, loss: 2.7, +, 25.7% elo% vs. random_no_suicide, avg. reward: -6.433, 1.015 sec/game, 1.4 min. total, 441.1 MB
grappling_amnesty v3 93 games, 67044 moves, e=0.934, loss: 2.7, +, 28.4% elo% vs. random_no_suicide, avg. reward: -6.439, 1.017 sec/game, 1.4 min. total, 442.2 MB
grappling_amnesty v3 94 games, 67776 moves, e=0.933, loss: 2.8, +, 31.1% elo% vs. random_no_suicide, avg. reward: -6.436, 1.017 sec/game, 1.4 min. total, 441.7 MB
grappling_amnesty v3 95 games, 68491 moves, e=0.932, loss: 2.9, +, 33.9% elo% vs. random_no_suicide, avg. reward: -6.436, 1.017 sec/game, 1.4 min. total, 441.9 MB
grappling_amnesty v3 96 games, 69106 moves, e=0.932, loss: 2.9, +, 36.7% elo% vs. random_no_suicide, avg. reward: -6.450, 1.009 sec/game, 1.4 min. total, 440.1 MB
grappling_amnesty v3 97 games, 69871 moves, e=0.931, loss: 2.7, +, 39.4% elo% vs. random_no_suicide, avg. reward: -6.445, 1.016 sec/game, 1.5 min. total, 441.4 MB
grappling_amnesty v3 98 games, 70708 moves, e=0.930, loss: 2.7, ., 39.9% elo% vs. random_no_suicide, avg. reward: -6.436, 1.027 sec/game, 1.5 min. total, 442.2 MB
grappling_amnesty v3 99 games, 71389 moves, e=0.929, loss: 2.7, +, 42.6% elo% vs. random_no_suicide, avg. reward: -6.437, 1.025 sec/game, 1.5 min. total, 444.0 MB
grappling_amnesty v3 100 games, 72186 moves, e=0.929, loss: 2.8, +, 45.2% elo% vs. random_no_suicide, avg. reward: -6.430, 1.039 sec/game, 1.5 min. total, 443.3 MB
grappling_amnesty v4 101 games, 72932 moves, e=0.928, loss: 2.8, +, 52.3% elo% vs. random_no_suicide, avg. reward: -6.421, 1.044 sec/game, 1.5 min. total, 444.4 MB
grappling_amnesty v4 102 games, 73729 moves, e=0.927, loss: 2.6, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.418, 1.056 sec/game, 1.6 min. total, 444.8 MB
grappling_amnesty v4 103 games, 74510 moves, e=0.926, loss: 2.6, +, 56.6% elo% vs. random_no_suicide, avg. reward: -6.415, 1.065 sec/game, 1.6 min. total, 445.6 MB
grappling_amnesty v4 104 games, 75170 moves, e=0.926, loss: 2.6, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.422, 1.059 sec/game, 1.6 min. total, 444.9 MB
grappling_amnesty v4 105 games, 75798 moves, e=0.925, loss: 2.7, +, 60.4% elo% vs. random_no_suicide, avg. reward: -6.426, 1.053 sec/game, 1.6 min. total, 444.0 MB
grappling_amnesty v4 106 games, 76638 moves, e=0.924, loss: 2.6, -, 57.7% elo% vs. random_no_suicide, avg. reward: -6.412, 1.073 sec/game, 1.6 min. total, 446.1 MB
grappling_amnesty v4 107 games, 77452 moves, e=0.923, loss: 2.5, +, 59.6% elo% vs. random_no_suicide, avg. reward: -6.408, 1.089 sec/game, 1.6 min. total, 444.8 MB
grappling_amnesty v4 108 games, 78226 moves, e=0.923, loss: 2.5, -, 56.9% elo% vs. random_no_suicide, avg. reward: -6.402, 1.101 sec/game, 1.7 min. total, 446.2 MB
grappling_amnesty v4 109 games, 78938 moves, e=0.922, loss: 2.5, +, 58.8% elo% vs. random_no_suicide, avg. reward: -6.395, 1.085 sec/game, 1.7 min. total, 446.2 MB
grappling_amnesty v4 110 games, 79803 moves, e=0.921, loss: 2.5, +, 60.6% elo% vs. random_no_suicide, avg. reward: -6.387, 1.092 sec/game, 1.7 min. total, 445.5 MB
grappling_amnesty v4 111 games, 80525 moves, e=0.920, loss: 2.5, +, 62.4% elo% vs. random_no_suicide, avg. reward: -6.384, 1.094 sec/game, 1.7 min. total, 447.7 MB
grappling_amnesty v4 112 games, 81223 moves, e=0.920, loss: 2.6, +, 64.0% elo% vs. random_no_suicide, avg. reward: -6.384, 1.089 sec/game, 1.7 min. total, 445.5 MB
grappling_amnesty v4 113 games, 82087 moves, e=0.919, loss: 2.6, +, 65.5% elo% vs. random_no_suicide, avg. reward: -6.361, 1.105 sec/game, 1.8 min. total, 447.8 MB
grappling_amnesty v4 114 games, 82811 moves, e=0.918, loss: 2.8, +, 66.9% elo% vs. random_no_suicide, avg. reward: -6.361, 1.099 sec/game, 1.8 min. total, 448.2 MB
grappling_amnesty v4 115 games, 83568 moves, e=0.917, loss: 2.9, +, 68.2% elo% vs. random_no_suicide, avg. reward: -6.358, 1.100 sec/game, 1.8 min. total, 446.1 MB
grappling_amnesty v4 116 games, 84403 moves, e=0.916, loss: 2.8, +, 69.5% elo% vs. random_no_suicide, avg. reward: -6.352, 1.126 sec/game, 1.8 min. total, 447.8 MB
grappling_amnesty v4 117 games, 85217 moves, e=0.916, loss: 2.8, +, 70.7% elo% vs. random_no_suicide, avg. reward: -6.342, 1.122 sec/game, 1.8 min. total, 447.5 MB
grappling_amnesty v5 118 games, 85931 moves, e=0.915, loss: 2.9, -, 49.9% elo% vs. simple_bot, avg. reward: -6.344, 1.128 sec/game, 1.9 min. total, 450.6 MB
grappling_amnesty v5 119 games, 86629 moves, e=0.914, loss: 2.9, -, 47.6% elo% vs. simple_bot, avg. reward: -6.350, 1.137 sec/game, 1.9 min. total, 448.7 MB
grappling_amnesty v5 120 games, 87394 moves, e=0.913, loss: 2.8, -, 45.4% elo% vs. simple_bot, avg. reward: -6.348, 1.141 sec/game, 1.9 min. total, 450.2 MB
grappling_amnesty v5 121 games, 88150 moves, e=0.913, loss: 2.8, -, 43.4% elo% vs. simple_bot, avg. reward: -6.358, 1.150 sec/game, 1.9 min. total, 449.4 MB
grappling_amnesty v5 122 games, 88795 moves, e=0.912, loss: 2.7, -, 41.4% elo% vs. simple_bot, avg. reward: -6.364, 1.141 sec/game, 1.9 min. total, 449.2 MB
grappling_amnesty v5 123 games, 89535 moves, e=0.911, loss: 2.4, -, 39.6% elo% vs. simple_bot, avg. reward: -6.350, 1.150 sec/game, 2.0 min. total, 451.6 MB
grappling_amnesty v5 124 games, 90323 moves, e=0.911, loss: 2.5, -, 37.8% elo% vs. simple_bot, avg. reward: -6.343, 1.167 sec/game, 2.0 min. total, 450.4 MB
grappling_amnesty v5 125 games, 91084 moves, e=0.910, loss: 2.5, -, 36.2% elo% vs. simple_bot, avg. reward: -6.345, 1.186 sec/game, 2.0 min. total, 450.8 MB
