frenzy_eggnog v1 96 games, 42819 moves, e=0.958, loss: nan, -, 13.0% elo% vs. random_bot, avg. reward: -11.651, 0.250 sec/game, 0.4 min. total, 464.8 MB
frenzy_eggnog v1 98 games, 43593 moves, e=0.957, loss: nan, -, 12.7% elo% vs. random_bot, avg. reward: -11.685, 0.253 sec/game, 0.4 min. total, 468.9 MB
frenzy_eggnog v1 100 games, 44464 moves, e=0.956, loss: nan, -, 12.4% elo% vs. random_bot, avg. reward: -11.689, 0.253 sec/game, 0.4 min. total, 472.6 MB
frenzy_eggnog v2 102 games, 45357 moves, e=0.955, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -11.751, 0.253 sec/game, 0.4 min. total, 474.2 MB
frenzy_eggnog v2 104 games, 46115 moves, e=0.954, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -11.788, 0.255 sec/game, 0.4 min. total, 475.4 MB
frenzy_eggnog v2 106 games, 46995 moves, e=0.953, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -11.793, 0.258 sec/game, 0.4 min. total, 477.6 MB
frenzy_eggnog v2 108 games, 47726 moves, e=0.953, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -11.847, 0.260 sec/game, 0.4 min. total, 479.5 MB
frenzy_eggnog v2 110 games, 48502 moves, e=0.952, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -11.880, 0.260 sec/game, 0.5 min. total, 481.7 MB
frenzy_eggnog v2 112 games, 49323 moves, e=0.951, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -11.930, 0.261 sec/game, 0.5 min. total, 484.5 MB
frenzy_eggnog v2 114 games, 50091 moves, e=0.950, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -11.987, 0.257 sec/game, 0.5 min. total, 487.1 MB
frenzy_eggnog v2 116 games, 51007 moves, e=0.950, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -11.990, 0.258 sec/game, 0.5 min. total, 491.0 MB
frenzy_eggnog v2 118 games, 51787 moves, e=0.949, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -12.030, 0.255 sec/game, 0.5 min. total, 495.9 MB
frenzy_eggnog v2 120 games, 52522 moves, e=0.948, loss: nan, ., 34.0% elo% vs. random_bot, avg. reward: -12.098, 0.256 sec/game, 0.5 min. total, 498.3 MB
frenzy_eggnog v2 122 games, 53253 moves, e=0.947, loss: nan, -, 32.6% elo% vs. random_bot, avg. reward: -12.132, 0.255 sec/game, 0.5 min. total, 498.9 MB
frenzy_eggnog v2 124 games, 53973 moves, e=0.947, loss: nan, -, 31.3% elo% vs. random_bot, avg. reward: -12.217, 0.253 sec/game, 0.5 min. total, 500.5 MB
