unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v3 79 games, 57417 moves, e=0.943, loss: 608.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: 11.386, 1.368 sec/game, 1.6 min. total, 445.7 MB
unlinked_crunching v3 80 games, 58067 moves, e=0.943, loss: 576.9, -, 19.6% elo% vs. random_no_suicide, avg. reward: 11.353, 1.359 sec/game, 1.6 min. total, 445.7 MB
unlinked_crunching v3 81 games, 58961 moves, e=0.942, loss: 565.1, -, 19.1% elo% vs. random_no_suicide, avg. reward: 11.359, 1.380 sec/game, 1.6 min. total, 445.9 MB
unlinked_crunching v3 82 games, 59656 moves, e=0.941, loss: 562.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 11.365, 1.380 sec/game, 1.6 min. total, 445.6 MB
unlinked_crunching v3 83 games, 60512 moves, e=0.940, loss: 614.8, -, 18.0% elo% vs. random_no_suicide, avg. reward: 11.354, 1.385 sec/game, 1.7 min. total, 446.0 MB
unlinked_crunching v3 84 games, 61239 moves, e=0.939, loss: 601.9, -, 17.5% elo% vs. random_no_suicide, avg. reward: 11.377, 1.395 sec/game, 1.7 min. total, 446.0 MB
unlinked_crunching v3 85 games, 62036 moves, e=0.939, loss: 626.5, -, 17.1% elo% vs. random_no_suicide, avg. reward: 11.375, 1.405 sec/game, 1.7 min. total, 446.2 MB
unlinked_crunching v3 86 games, 62894 moves, e=0.938, loss: 626.6, -, 16.6% elo% vs. random_no_suicide, avg. reward: 11.379, 1.404 sec/game, 1.7 min. total, 446.1 MB
unlinked_crunching v3 87 games, 63589 moves, e=0.937, loss: 673.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: 11.373, 1.386 sec/game, 1.7 min. total, 446.5 MB
unlinked_crunching v3 88 games, 64361 moves, e=0.936, loss: 731.3, -, 15.8% elo% vs. random_no_suicide, avg. reward: 11.398, 1.388 sec/game, 1.8 min. total, 446.8 MB
unlinked_crunching v3 89 games, 65077 moves, e=0.936, loss: 680.7, -, 15.4% elo% vs. random_no_suicide, avg. reward: 11.410, 1.397 sec/game, 1.8 min. total, 446.8 MB
unlinked_crunching v3 90 games, 65827 moves, e=0.935, loss: 743.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: 11.404, 1.398 sec/game, 1.8 min. total, 447.0 MB
unlinked_crunching v3 91 games, 66560 moves, e=0.934, loss: 739.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: 11.425, 1.394 sec/game, 1.8 min. total, 447.6 MB
unlinked_crunching v3 92 games, 67511 moves, e=0.933, loss: 708.6, -, 14.4% elo% vs. random_no_suicide, avg. reward: 11.441, 1.400 sec/game, 1.9 min. total, 448.0 MB
unlinked_crunching v3 93 games, 68313 moves, e=0.932, loss: 732.8, -, 14.0% elo% vs. random_no_suicide, avg. reward: 11.462, 1.402 sec/game, 1.9 min. total, 448.9 MB
unlinked_crunching v3 94 games, 69005 moves, e=0.932, loss: 774.1, -, 13.7% elo% vs. random_no_suicide, avg. reward: 11.461, 1.402 sec/game, 1.9 min. total, 448.8 MB
unlinked_crunching v3 95 games, 69762 moves, e=0.931, loss: 784.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 11.461, 1.404 sec/game, 1.9 min. total, 448.9 MB
unlinked_crunching v3 96 games, 70542 moves, e=0.930, loss: 771.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: 11.476, 1.406 sec/game, 2.0 min. total, 448.4 MB
unlinked_crunching v3 97 games, 71329 moves, e=0.929, loss: 697.7, -, 12.9% elo% vs. random_no_suicide, avg. reward: 11.485, 1.419 sec/game, 2.0 min. total, 449.1 MB
unlinked_crunching v3 98 games, 72011 moves, e=0.929, loss: 792.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: 11.485, 1.408 sec/game, 2.0 min. total, 449.1 MB
unlinked_crunching v3 99 games, 72619 moves, e=0.928, loss: 807.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: 11.504, 1.394 sec/game, 2.0 min. total, 449.1 MB
unlinked_crunching v3 100 games, 73428 moves, e=0.927, loss: 806.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: 11.496, 1.407 sec/game, 2.0 min. total, 449.1 MB
unlinked_crunching v4 101 games, 74152 moves, e=0.927, loss: 789.4, -, 47.7% elo% vs. random_no_suicide, avg. reward: 11.509, 1.396 sec/game, 2.1 min. total, 450.3 MB
unlinked_crunching v4 102 games, 74884 moves, e=0.926, loss: 807.8, -, 45.5% elo% vs. random_no_suicide, avg. reward: 11.536, 1.398 sec/game, 2.1 min. total, 451.0 MB
unlinked_crunching v4 103 games, 75616 moves, e=0.925, loss: 805.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.550, 1.389 sec/game, 2.1 min. total, 450.9 MB
unlinked_crunching v4 104 games, 76279 moves, e=0.924, loss: 817.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: 11.563, 1.385 sec/game, 2.1 min. total, 451.6 MB
unlinked_crunching v4 105 games, 77017 moves, e=0.924, loss: 818.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.574, 1.387 sec/game, 2.2 min. total, 451.0 MB
unlinked_crunching v4 106 games, 77773 moves, e=0.923, loss: 855.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: 11.576, 1.380 sec/game, 2.2 min. total, 451.7 MB
unlinked_crunching v4 107 games, 78511 moves, e=0.922, loss: 856.4, -, 36.3% elo% vs. random_no_suicide, avg. reward: 11.578, 1.392 sec/game, 2.2 min. total, 451.8 MB
unlinked_crunching v4 108 games, 79283 moves, e=0.922, loss: 873.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: 11.590, 1.392 sec/game, 2.2 min. total, 451.9 MB
unlinked_crunching v4 109 games, 80078 moves, e=0.921, loss: 883.7, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.594, 1.396 sec/game, 2.3 min. total, 452.0 MB
unlinked_crunching v4 110 games, 80820 moves, e=0.920, loss: 855.0, -, 32.0% elo% vs. random_no_suicide, avg. reward: 11.577, 1.396 sec/game, 2.3 min. total, 452.2 MB
unlinked_crunching v4 111 games, 81547 moves, e=0.919, loss: 942.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: 11.577, 1.417 sec/game, 2.3 min. total, 452.3 MB
unlinked_crunching v4 112 games, 82276 moves, e=0.919, loss: 892.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.553, 1.398 sec/game, 2.3 min. total, 453.4 MB
unlinked_crunching v4 113 games, 82950 moves, e=0.918, loss: 848.0, -, 28.4% elo% vs. random_no_suicide, avg. reward: 11.548, 1.404 sec/game, 2.4 min. total, 452.7 MB
unlinked_crunching v4 114 games, 83717 moves, e=0.917, loss: 877.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 11.532, 1.402 sec/game, 2.4 min. total, 452.7 MB
unlinked_crunching v4 115 games, 84407 moves, e=0.916, loss: 916.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 11.536, 1.393 sec/game, 2.4 min. total, 453.0 MB
unlinked_crunching v4 116 games, 85133 moves, e=0.916, loss: 855.6, -, 25.4% elo% vs. random_no_suicide, avg. reward: 11.536, 1.393 sec/game, 2.4 min. total, 452.9 MB
unlinked_crunching v4 117 games, 85813 moves, e=0.915, loss: 895.1, -, 24.5% elo% vs. random_no_suicide, avg. reward: 11.543, 1.384 sec/game, 2.4 min. total, 453.2 MB
unlinked_crunching v4 118 games, 86525 moves, e=0.914, loss: 842.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: 11.543, 1.389 sec/game, 2.5 min. total, 453.1 MB
unlinked_crunching v4 119 games, 87311 moves, e=0.914, loss: 928.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: 11.566, 1.413 sec/game, 2.5 min. total, 453.1 MB
unlinked_crunching v4 120 games, 88080 moves, e=0.913, loss: 914.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 11.555, 1.413 sec/game, 2.5 min. total, 453.3 MB
unlinked_crunching v4 121 games, 88765 moves, e=0.912, loss: 936.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: 11.529, 1.405 sec/game, 2.5 min. total, 454.1 MB
unlinked_crunching v4 122 games, 89478 moves, e=0.911, loss: 981.8, -, 20.8% elo% vs. random_no_suicide, avg. reward: 11.518, 1.416 sec/game, 2.6 min. total, 454.4 MB
unlinked_crunching v4 123 games, 90318 moves, e=0.911, loss: 1005.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: 11.525, 1.429 sec/game, 2.6 min. total, 455.3 MB
unlinked_crunching v4 124 games, 91040 moves, e=0.910, loss: 1095.4, -, 19.6% elo% vs. random_no_suicide, avg. reward: 11.526, 1.437 sec/game, 2.6 min. total, 455.2 MB
unlinked_crunching v4 125 games, 91869 moves, e=0.909, loss: 1057.2, -, 19.1% elo% vs. random_no_suicide, avg. reward: 11.512, 1.443 sec/game, 2.6 min. total, 455.6 MB
unlinked_crunching v4 126 games, 92580 moves, e=0.908, loss: 1035.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 11.537, 1.442 sec/game, 2.7 min. total, 455.2 MB
unlinked_crunching v4 127 games, 93340 moves, e=0.908, loss: 967.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: 11.515, 1.443 sec/game, 2.7 min. total, 455.6 MB
unlinked_crunching v4 128 games, 94135 moves, e=0.907, loss: 951.8, -, 17.5% elo% vs. random_no_suicide, avg. reward: 11.532, 1.446 sec/game, 2.7 min. total, 455.7 MB
unlinked_crunching v4 129 games, 94846 moves, e=0.906, loss: 919.9, -, 17.1% elo% vs. random_no_suicide, avg. reward: 11.551, 1.439 sec/game, 2.7 min. total, 455.9 MB
unlinked_crunching v4 130 games, 95659 moves, e=0.905, loss: 906.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: 11.558, 1.450 sec/game, 2.8 min. total, 455.7 MB
unlinked_crunching v4 131 games, 96529 moves, e=0.904, loss: 916.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 11.569, 1.443 sec/game, 2.8 min. total, 456.4 MB
unlinked_crunching v4 132 games, 97265 moves, e=0.904, loss: 876.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: 11.557, 1.444 sec/game, 2.8 min. total, 456.6 MB
