unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v5 290 games, 225439 moves, e=0.777, loss: 1081.9, -, 6.8% elo% vs. random_no_suicide, avg. reward: 11.625, 1.793 sec/game, 7.1 min. total, 495.7 MB
unlinked_crunching v5 291 games, 226205 moves, e=0.776, loss: 1127.9, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.628, 1.774 sec/game, 7.2 min. total, 495.2 MB
unlinked_crunching v5 292 games, 227043 moves, e=0.775, loss: 1172.3, -, 6.6% elo% vs. random_no_suicide, avg. reward: 11.639, 1.758 sec/game, 7.2 min. total, 496.0 MB
unlinked_crunching v5 293 games, 227912 moves, e=0.774, loss: 1186.2, -, 6.5% elo% vs. random_no_suicide, avg. reward: 11.605, 1.754 sec/game, 7.2 min. total, 496.0 MB
unlinked_crunching v5 294 games, 228751 moves, e=0.774, loss: 1105.7, -, 6.5% elo% vs. random_no_suicide, avg. reward: 11.633, 1.753 sec/game, 7.3 min. total, 496.1 MB
unlinked_crunching v5 295 games, 229484 moves, e=0.773, loss: 1215.9, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.619, 1.725 sec/game, 7.3 min. total, 495.5 MB
unlinked_crunching v5 296 games, 230315 moves, e=0.772, loss: 1230.0, -, 6.3% elo% vs. random_no_suicide, avg. reward: 11.618, 1.740 sec/game, 7.3 min. total, 496.2 MB
unlinked_crunching v5 297 games, 231078 moves, e=0.771, loss: 1168.4, -, 6.3% elo% vs. random_no_suicide, avg. reward: 11.607, 1.727 sec/game, 7.3 min. total, 495.5 MB
unlinked_crunching v5 298 games, 231874 moves, e=0.770, loss: 1108.6, -, 6.2% elo% vs. random_no_suicide, avg. reward: 11.594, 1.728 sec/game, 7.4 min. total, 496.7 MB
unlinked_crunching v5 299 games, 232721 moves, e=0.770, loss: 1101.5, -, 6.1% elo% vs. random_no_suicide, avg. reward: 11.574, 1.725 sec/game, 7.4 min. total, 497.4 MB
unlinked_crunching v5 300 games, 233496 moves, e=0.769, loss: 1129.1, -, 6.1% elo% vs. random_no_suicide, avg. reward: 11.569, 1.712 sec/game, 7.4 min. total, 499.1 MB
unlinked_crunching v6 301 games, 234353 moves, e=0.768, loss: 1156.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: 11.599, 1.725 sec/game, 7.5 min. total, 499.6 MB
unlinked_crunching v6 302 games, 235284 moves, e=0.767, loss: 1135.9, -, 45.5% elo% vs. random_no_suicide, avg. reward: 11.621, 1.734 sec/game, 7.5 min. total, 499.5 MB
unlinked_crunching v6 303 games, 236242 moves, e=0.766, loss: 1166.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.622, 1.744 sec/game, 7.5 min. total, 499.9 MB
unlinked_crunching v6 304 games, 237053 moves, e=0.765, loss: 1182.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: 11.638, 1.736 sec/game, 7.5 min. total, 499.4 MB
unlinked_crunching v6 305 games, 237912 moves, e=0.764, loss: 1104.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.624, 1.741 sec/game, 7.6 min. total, 500.1 MB
unlinked_crunching v6 306 games, 238757 moves, e=0.764, loss: 1109.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: 11.632, 1.745 sec/game, 7.6 min. total, 500.0 MB
unlinked_crunching v6 307 games, 239719 moves, e=0.763, loss: 1047.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: 11.651, 1.739 sec/game, 7.6 min. total, 500.2 MB
unlinked_crunching v6 308 games, 240654 moves, e=0.762, loss: 1007.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: 11.658, 1.745 sec/game, 7.7 min. total, 501.1 MB
unlinked_crunching v6 309 games, 241514 moves, e=0.761, loss: 1027.2, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.669, 1.745 sec/game, 7.7 min. total, 502.1 MB
unlinked_crunching v6 310 games, 242458 moves, e=0.760, loss: 1040.8, -, 32.0% elo% vs. random_no_suicide, avg. reward: 11.683, 1.763 sec/game, 7.7 min. total, 502.1 MB
unlinked_crunching v6 311 games, 243311 moves, e=0.759, loss: 1109.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: 11.672, 1.767 sec/game, 7.8 min. total, 502.1 MB
unlinked_crunching v6 312 games, 244183 moves, e=0.758, loss: 1130.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.674, 1.778 sec/game, 7.8 min. total, 501.9 MB
unlinked_crunching v6 313 games, 245053 moves, e=0.757, loss: 1131.9, -, 28.4% elo% vs. random_no_suicide, avg. reward: 11.680, 1.782 sec/game, 7.8 min. total, 501.9 MB
unlinked_crunching v6 314 games, 246046 moves, e=0.756, loss: 1181.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: 11.690, 1.792 sec/game, 7.9 min. total, 502.4 MB
unlinked_crunching v6 315 games, 246839 moves, e=0.756, loss: 1175.6, -, 26.4% elo% vs. random_no_suicide, avg. reward: 11.711, 1.804 sec/game, 7.9 min. total, 501.9 MB
unlinked_crunching v6 316 games, 247690 moves, e=0.755, loss: 1136.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: 11.719, 1.804 sec/game, 7.9 min. total, 501.9 MB
unlinked_crunching v6 317 games, 248532 moves, e=0.754, loss: 1176.9, -, 24.5% elo% vs. random_no_suicide, avg. reward: 11.704, 1.807 sec/game, 7.9 min. total, 502.5 MB
unlinked_crunching v6 318 games, 249357 moves, e=0.753, loss: 1182.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 11.720, 1.818 sec/game, 8.0 min. total, 504.4 MB
unlinked_crunching v6 319 games, 250227 moves, e=0.752, loss: 1172.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: 11.731, 1.812 sec/game, 8.0 min. total, 503.2 MB
unlinked_crunching v6 320 games, 251081 moves, e=0.751, loss: 1200.7, -, 22.2% elo% vs. random_no_suicide, avg. reward: 11.744, 1.828 sec/game, 8.0 min. total, 504.6 MB
unlinked_crunching v6 321 games, 251869 moves, e=0.751, loss: 1167.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: 11.754, 1.819 sec/game, 8.1 min. total, 504.9 MB
unlinked_crunching v6 322 games, 252704 moves, e=0.750, loss: 1200.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: 11.730, 1.809 sec/game, 8.1 min. total, 504.9 MB
unlinked_crunching v6 323 games, 253467 moves, e=0.749, loss: 1160.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: 11.729, 1.797 sec/game, 8.1 min. total, 504.7 MB
unlinked_crunching v6 324 games, 254210 moves, e=0.748, loss: 1155.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: 11.728, 1.794 sec/game, 8.1 min. total, 504.7 MB
unlinked_crunching v6 325 games, 255112 moves, e=0.747, loss: 1219.7, -, 19.1% elo% vs. random_no_suicide, avg. reward: 11.738, 1.801 sec/game, 8.2 min. total, 505.4 MB
unlinked_crunching v6 326 games, 255951 moves, e=0.747, loss: 1117.9, -, 18.5% elo% vs. random_no_suicide, avg. reward: 11.729, 1.792 sec/game, 8.2 min. total, 505.3 MB
unlinked_crunching v6 327 games, 256796 moves, e=0.746, loss: 1076.9, -, 18.0% elo% vs. random_no_suicide, avg. reward: 11.745, 1.787 sec/game, 8.2 min. total, 506.0 MB
unlinked_crunching v6 328 games, 257623 moves, e=0.745, loss: 1061.2, -, 17.5% elo% vs. random_no_suicide, avg. reward: 11.734, 1.769 sec/game, 8.3 min. total, 507.4 MB
unlinked_crunching v6 329 games, 258508 moves, e=0.744, loss: 1064.5, -, 17.1% elo% vs. random_no_suicide, avg. reward: 11.734, 1.780 sec/game, 8.3 min. total, 507.0 MB
unlinked_crunching v6 330 games, 259400 moves, e=0.743, loss: 1056.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: 11.733, 1.764 sec/game, 8.3 min. total, 507.6 MB
unlinked_crunching v6 331 games, 260262 moves, e=0.742, loss: 1114.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: 11.740, 1.771 sec/game, 8.4 min. total, 507.5 MB
unlinked_crunching v6 332 games, 261183 moves, e=0.741, loss: 1110.9, -, 15.8% elo% vs. random_no_suicide, avg. reward: 11.750, 1.774 sec/game, 8.4 min. total, 507.5 MB
unlinked_crunching v6 333 games, 261942 moves, e=0.741, loss: 1063.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 11.745, 1.763 sec/game, 8.4 min. total, 507.6 MB
unlinked_crunching v6 334 games, 262717 moves, e=0.740, loss: 1076.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: 11.732, 1.743 sec/game, 8.4 min. total, 507.7 MB
unlinked_crunching v6 335 games, 263746 moves, e=0.739, loss: 1042.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: 11.766, 1.766 sec/game, 8.5 min. total, 507.5 MB
unlinked_crunching v6 336 games, 264694 moves, e=0.738, loss: 1027.3, -, 14.4% elo% vs. random_no_suicide, avg. reward: 11.756, 1.771 sec/game, 8.5 min. total, 508.3 MB
unlinked_crunching v6 337 games, 265535 moves, e=0.737, loss: 1017.9, -, 14.0% elo% vs. random_no_suicide, avg. reward: 11.770, 1.784 sec/game, 8.5 min. total, 507.9 MB
unlinked_crunching v6 338 games, 266299 moves, e=0.736, loss: 1034.0, -, 13.7% elo% vs. random_no_suicide, avg. reward: 11.757, 1.773 sec/game, 8.6 min. total, 509.6 MB
unlinked_crunching v6 339 games, 267293 moves, e=0.735, loss: 998.8, -, 13.4% elo% vs. random_no_suicide, avg. reward: 11.748, 1.794 sec/game, 8.6 min. total, 510.6 MB
unlinked_crunching v6 340 games, 268134 moves, e=0.735, loss: 971.8, -, 13.1% elo% vs. random_no_suicide, avg. reward: 11.738, 1.786 sec/game, 8.6 min. total, 510.6 MB
unlinked_crunching v6 341 games, 269103 moves, e=0.734, loss: 991.9, -, 12.9% elo% vs. random_no_suicide, avg. reward: 11.735, 1.808 sec/game, 8.7 min. total, 510.8 MB
unlinked_crunching v6 342 games, 269962 moves, e=0.733, loss: 1000.0, -, 12.6% elo% vs. random_no_suicide, avg. reward: 11.716, 1.811 sec/game, 8.7 min. total, 510.2 MB
unlinked_crunching v6 343 games, 270814 moves, e=0.732, loss: 1042.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: 11.700, 1.820 sec/game, 8.7 min. total, 511.0 MB
unlinked_crunching v6 344 games, 271711 moves, e=0.731, loss: 1001.8, -, 12.1% elo% vs. random_no_suicide, avg. reward: 11.717, 1.833 sec/game, 8.8 min. total, 510.7 MB
unlinked_crunching v6 345 games, 272687 moves, e=0.730, loss: 1005.4, -, 11.9% elo% vs. random_no_suicide, avg. reward: 11.714, 1.838 sec/game, 8.8 min. total, 511.9 MB
unlinked_crunching v6 346 games, 273582 moves, e=0.729, loss: 1018.6, -, 11.7% elo% vs. random_no_suicide, avg. reward: 11.682, 1.848 sec/game, 8.8 min. total, 512.1 MB
unlinked_crunching v6 347 games, 274461 moves, e=0.728, loss: 1019.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: 11.689, 1.849 sec/game, 8.9 min. total, 512.0 MB
unlinked_crunching v6 348 games, 275445 moves, e=0.727, loss: 1082.0, -, 11.2% elo% vs. random_no_suicide, avg. reward: 11.703, 1.858 sec/game, 8.9 min. total, 512.8 MB
unlinked_crunching v6 349 games, 276340 moves, e=0.726, loss: 1035.7, -, 11.0% elo% vs. random_no_suicide, avg. reward: 11.705, 1.861 sec/game, 8.9 min. total, 512.6 MB
unlinked_crunching v6 350 games, 277177 moves, e=0.726, loss: 1004.5, -, 10.8% elo% vs. random_no_suicide, avg. reward: 11.691, 1.863 sec/game, 8.9 min. total, 513.4 MB
unlinked_crunching v6 351 games, 278079 moves, e=0.725, loss: 970.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: 11.674, 1.863 sec/game, 9.0 min. total, 513.8 MB
unlinked_crunching v6 352 games, 278903 moves, e=0.724, loss: 1044.8, -, 10.4% elo% vs. random_no_suicide, avg. reward: 11.665, 1.851 sec/game, 9.0 min. total, 512.9 MB
unlinked_crunching v6 353 games, 279881 moves, e=0.723, loss: 964.8, -, 10.3% elo% vs. random_no_suicide, avg. reward: 11.649, 1.873 sec/game, 9.0 min. total, 513.2 MB
unlinked_crunching v6 354 games, 280828 moves, e=0.722, loss: 897.3, -, 10.1% elo% vs. random_no_suicide, avg. reward: 11.645, 1.884 sec/game, 9.1 min. total, 513.6 MB
unlinked_crunching v6 355 games, 281643 moves, e=0.721, loss: 976.0, -, 9.9% elo% vs. random_no_suicide, avg. reward: 11.639, 1.872 sec/game, 9.1 min. total, 513.8 MB
unlinked_crunching v6 356 games, 282474 moves, e=0.720, loss: 972.9, -, 9.8% elo% vs. random_no_suicide, avg. reward: 11.628, 1.858 sec/game, 9.1 min. total, 513.2 MB
unlinked_crunching v6 357 games, 283452 moves, e=0.719, loss: 1035.4, -, 9.6% elo% vs. random_no_suicide, avg. reward: 11.629, 1.865 sec/game, 9.2 min. total, 514.4 MB
unlinked_crunching v6 358 games, 284332 moves, e=0.719, loss: 980.4, -, 9.5% elo% vs. random_no_suicide, avg. reward: 11.622, 1.877 sec/game, 9.2 min. total, 516.2 MB
unlinked_crunching v6 359 games, 285237 moves, e=0.718, loss: 927.4, -, 9.3% elo% vs. random_no_suicide, avg. reward: 11.629, 1.870 sec/game, 9.2 min. total, 516.3 MB
unlinked_crunching v6 360 games, 286172 moves, e=0.717, loss: 962.5, -, 9.2% elo% vs. random_no_suicide, avg. reward: 11.618, 1.875 sec/game, 9.3 min. total, 516.1 MB
unlinked_crunching v6 361 games, 286921 moves, e=0.716, loss: 1000.9, -, 9.0% elo% vs. random_no_suicide, avg. reward: 11.619, 1.850 sec/game, 9.3 min. total, 516.1 MB
unlinked_crunching v6 362 games, 287765 moves, e=0.715, loss: 965.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: 11.629, 1.849 sec/game, 9.3 min. total, 516.4 MB
unlinked_crunching v6 363 games, 288694 moves, e=0.714, loss: 969.3, -, 8.8% elo% vs. random_no_suicide, avg. reward: 11.640, 1.856 sec/game, 9.3 min. total, 516.6 MB
unlinked_crunching v6 364 games, 289700 moves, e=0.713, loss: 945.1, -, 8.6% elo% vs. random_no_suicide, avg. reward: 11.651, 1.870 sec/game, 9.4 min. total, 515.9 MB
unlinked_crunching v6 365 games, 290534 moves, e=0.712, loss: 961.8, -, 8.5% elo% vs. random_no_suicide, avg. reward: 11.635, 1.850 sec/game, 9.4 min. total, 517.3 MB
unlinked_crunching v6 366 games, 291497 moves, e=0.711, loss: 968.3, -, 8.4% elo% vs. random_no_suicide, avg. reward: 11.640, 1.856 sec/game, 9.4 min. total, 517.1 MB
unlinked_crunching v6 367 games, 292457 moves, e=0.710, loss: 978.0, -, 8.3% elo% vs. random_no_suicide, avg. reward: 11.639, 1.862 sec/game, 9.5 min. total, 518.2 MB
unlinked_crunching v6 368 games, 293267 moves, e=0.710, loss: 1037.4, -, 8.1% elo% vs. random_no_suicide, avg. reward: 11.644, 1.859 sec/game, 9.5 min. total, 518.3 MB
unlinked_crunching v6 369 games, 294246 moves, e=0.709, loss: 981.8, -, 8.0% elo% vs. random_no_suicide, avg. reward: 11.651, 1.858 sec/game, 9.5 min. total, 518.9 MB
unlinked_crunching v6 370 games, 295310 moves, e=0.708, loss: 1000.8, -, 7.9% elo% vs. random_no_suicide, avg. reward: 11.640, 1.879 sec/game, 9.6 min. total, 519.1 MB
unlinked_crunching v6 371 games, 296385 moves, e=0.707, loss: 981.2, -, 7.8% elo% vs. random_no_suicide, avg. reward: 11.649, 1.891 sec/game, 9.6 min. total, 518.8 MB
unlinked_crunching v6 372 games, 297197 moves, e=0.706, loss: 989.3, -, 7.7% elo% vs. random_no_suicide, avg. reward: 11.660, 1.892 sec/game, 9.6 min. total, 519.4 MB
unlinked_crunching v6 373 games, 298024 moves, e=0.705, loss: 992.9, -, 7.6% elo% vs. random_no_suicide, avg. reward: 11.664, 1.880 sec/game, 9.7 min. total, 519.6 MB
unlinked_crunching v6 374 games, 298945 moves, e=0.704, loss: 965.9, -, 7.5% elo% vs. random_no_suicide, avg. reward: 11.672, 1.879 sec/game, 9.7 min. total, 519.0 MB
unlinked_crunching v6 375 games, 299718 moves, e=0.703, loss: 1038.7, -, 7.4% elo% vs. random_no_suicide, avg. reward: 11.651, 1.874 sec/game, 9.7 min. total, 519.4 MB
unlinked_crunching v6 376 games, 300635 moves, e=0.702, loss: 1083.6, -, 7.3% elo% vs. random_no_suicide, avg. reward: 11.667, 1.887 sec/game, 9.8 min. total, 521.1 MB
unlinked_crunching v6 377 games, 301590 moves, e=0.701, loss: 1061.7, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.691, 1.886 sec/game, 9.8 min. total, 520.5 MB
unlinked_crunching v6 378 games, 302493 moves, e=0.701, loss: 1010.2, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.700, 1.888 sec/game, 9.8 min. total, 520.7 MB
unlinked_crunching v6 379 games, 303446 moves, e=0.700, loss: 1004.9, -, 7.1% elo% vs. random_no_suicide, avg. reward: 11.675, 1.884 sec/game, 9.9 min. total, 521.0 MB
unlinked_crunching v6 380 games, 304224 moves, e=0.699, loss: 989.6, -, 7.0% elo% vs. random_no_suicide, avg. reward: 11.660, 1.873 sec/game, 9.9 min. total, 521.4 MB
unlinked_crunching v6 381 games, 305065 moves, e=0.698, loss: 1003.6, -, 6.9% elo% vs. random_no_suicide, avg. reward: 11.647, 1.886 sec/game, 9.9 min. total, 521.4 MB
unlinked_crunching v6 382 games, 306092 moves, e=0.697, loss: 967.9, -, 6.8% elo% vs. random_no_suicide, avg. reward: 11.664, 1.898 sec/game, 9.9 min. total, 521.2 MB
unlinked_crunching v6 383 games, 307037 moves, e=0.696, loss: 987.7, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.655, 1.897 sec/game, 10.0 min. total, 521.4 MB
unlinked_crunching v6 384 games, 307962 moves, e=0.695, loss: 997.3, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.670, 1.890 sec/game, 10.0 min. total, 521.6 MB
unlinked_crunching v6 385 games, 308991 moves, e=0.694, loss: 1008.1, -, 6.6% elo% vs. random_no_suicide, avg. reward: 11.656, 1.913 sec/game, 10.0 min. total, 523.5 MB
unlinked_crunching v6 386 games, 309991 moves, e=0.693, loss: 951.1, -, 6.5% elo% vs. random_no_suicide, avg. reward: 11.667, 1.916 sec/game, 10.1 min. total, 524.7 MB
unlinked_crunching v6 387 games, 310879 moves, e=0.692, loss: 995.4, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.652, 1.920 sec/game, 10.1 min. total, 524.6 MB
unlinked_crunching v6 388 games, 311931 moves, e=0.691, loss: 1043.2, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.670, 1.938 sec/game, 10.1 min. total, 524.9 MB
unlinked_crunching v6 389 games, 312840 moves, e=0.690, loss: 1031.8, -, 6.3% elo% vs. random_no_suicide, avg. reward: 11.671, 1.950 sec/game, 10.2 min. total, 525.1 MB
unlinked_crunching v6 390 games, 313987 moves, e=0.689, loss: 1074.9, -, 6.2% elo% vs. random_no_suicide, avg. reward: 11.686, 1.954 sec/game, 10.2 min. total, 525.2 MB
unlinked_crunching v6 391 games, 314885 moves, e=0.688, loss: 1021.9, -, 6.2% elo% vs. random_no_suicide, avg. reward: 11.710, 1.942 sec/game, 10.3 min. total, 525.3 MB
unlinked_crunching v6 392 games, 315688 moves, e=0.687, loss: 999.6, -, 6.1% elo% vs. random_no_suicide, avg. reward: 11.699, 1.946 sec/game, 10.3 min. total, 525.5 MB
unlinked_crunching v6 393 games, 316511 moves, e=0.687, loss: 1065.1, -, 6.0% elo% vs. random_no_suicide, avg. reward: 11.708, 1.938 sec/game, 10.3 min. total, 525.1 MB
unlinked_crunching v6 394 games, 317352 moves, e=0.686, loss: 1064.3, -, 6.0% elo% vs. random_no_suicide, avg. reward: 11.689, 1.936 sec/game, 10.3 min. total, 526.8 MB
unlinked_crunching v6 395 games, 318255 moves, e=0.685, loss: 1044.2, -, 5.9% elo% vs. random_no_suicide, avg. reward: 11.689, 1.943 sec/game, 10.4 min. total, 525.7 MB
unlinked_crunching v6 396 games, 319175 moves, e=0.684, loss: 1055.2, -, 5.8% elo% vs. random_no_suicide, avg. reward: 11.709, 1.944 sec/game, 10.4 min. total, 527.0 MB
unlinked_crunching v6 397 games, 320115 moves, e=0.683, loss: 1061.1, -, 5.8% elo% vs. random_no_suicide, avg. reward: 11.720, 1.936 sec/game, 10.4 min. total, 527.2 MB
unlinked_crunching v6 398 games, 321056 moves, e=0.682, loss: 1035.3, -, 5.7% elo% vs. random_no_suicide, avg. reward: 11.755, 1.946 sec/game, 10.5 min. total, 527.6 MB
unlinked_crunching v6 399 games, 321994 moves, e=0.681, loss: 990.4, -, 5.7% elo% vs. random_no_suicide, avg. reward: 11.768, 1.944 sec/game, 10.5 min. total, 526.8 MB
unlinked_crunching v6 400 games, 322947 moves, e=0.680, loss: 990.8, -, 5.6% elo% vs. random_no_suicide, avg. reward: 11.782, 1.968 sec/game, 10.5 min. total, 527.6 MB
unlinked_crunching v7 401 games, 323880 moves, e=0.679, loss: 1026.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: 11.780, 1.975 sec/game, 10.6 min. total, 527.5 MB
unlinked_crunching v7 402 games, 324872 moves, e=0.678, loss: 1062.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: 11.783, 1.979 sec/game, 10.6 min. total, 528.2 MB
unlinked_crunching v7 403 games, 325734 moves, e=0.678, loss: 1024.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.768, 1.968 sec/game, 10.6 min. total, 528.7 MB
unlinked_crunching v7 404 games, 326536 moves, e=0.677, loss: 1089.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 11.740, 1.961 sec/game, 10.7 min. total, 529.9 MB
unlinked_crunching v7 405 games, 327459 moves, e=0.676, loss: 1084.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.717, 1.956 sec/game, 10.7 min. total, 530.1 MB
unlinked_crunching v7 406 games, 328305 moves, e=0.675, loss: 1059.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: 11.716, 1.935 sec/game, 10.7 min. total, 530.0 MB
unlinked_crunching v7 407 games, 329261 moves, e=0.674, loss: 1000.2, -, 36.3% elo% vs. random_no_suicide, avg. reward: 11.689, 1.937 sec/game, 10.8 min. total, 530.2 MB
unlinked_crunching v7 408 games, 330141 moves, e=0.673, loss: 953.5, -, 34.8% elo% vs. random_no_suicide, avg. reward: 11.687, 1.923 sec/game, 10.8 min. total, 530.6 MB
unlinked_crunching v7 409 games, 331114 moves, e=0.672, loss: 991.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.670, 1.911 sec/game, 10.8 min. total, 530.4 MB
unlinked_crunching v7 410 games, 332049 moves, e=0.671, loss: 985.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: 11.670, 1.897 sec/game, 10.9 min. total, 530.6 MB
unlinked_crunching v7 411 games, 332987 moves, e=0.670, loss: 990.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: 11.680, 1.898 sec/game, 10.9 min. total, 530.6 MB
unlinked_crunching v7 412 games, 333981 moves, e=0.669, loss: 924.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.680, 1.919 sec/game, 10.9 min. total, 530.7 MB
unlinked_crunching v7 413 games, 335098 moves, e=0.668, loss: 919.1, -, 28.4% elo% vs. random_no_suicide, avg. reward: 11.683, 1.945 sec/game, 11.0 min. total, 532.3 MB
unlinked_crunching v7 414 games, 336075 moves, e=0.667, loss: 875.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: 11.661, 1.963 sec/game, 11.0 min. total, 532.9 MB
unlinked_crunching v7 415 games, 337072 moves, e=0.666, loss: 875.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 11.668, 1.974 sec/game, 11.0 min. total, 532.6 MB
unlinked_crunching v7 416 games, 338000 moves, e=0.665, loss: 898.1, -, 25.4% elo% vs. random_no_suicide, avg. reward: 11.664, 1.975 sec/game, 11.1 min. total, 533.0 MB
unlinked_crunching v7 417 games, 338831 moves, e=0.665, loss: 878.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: 11.672, 1.974 sec/game, 11.1 min. total, 532.5 MB
unlinked_crunching v7 418 games, 339753 moves, e=0.664, loss: 922.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: 11.695, 1.962 sec/game, 11.1 min. total, 533.2 MB
unlinked_crunching v7 419 games, 340628 moves, e=0.663, loss: 939.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 11.701, 1.963 sec/game, 11.2 min. total, 533.2 MB
unlinked_crunching v7 420 games, 341654 moves, e=0.662, loss: 956.2, -, 22.2% elo% vs. random_no_suicide, avg. reward: 11.699, 1.963 sec/game, 11.2 min. total, 533.2 MB
unlinked_crunching v7 421 games, 342455 moves, e=0.661, loss: 996.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: 11.696, 1.948 sec/game, 11.2 min. total, 534.6 MB
unlinked_crunching v7 422 games, 343401 moves, e=0.660, loss: 1023.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: 11.715, 1.935 sec/game, 11.3 min. total, 536.2 MB
unlinked_crunching v7 423 games, 344399 moves, e=0.659, loss: 981.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 11.716, 1.961 sec/game, 11.3 min. total, 536.2 MB
unlinked_crunching v7 424 games, 345238 moves, e=0.658, loss: 1063.2, +, 22.7% elo% vs. random_no_suicide, avg. reward: 11.707, 1.971 sec/game, 11.3 min. total, 536.5 MB
unlinked_crunching v7 425 games, 346223 moves, e=0.657, loss: 1075.2, -, 22.0% elo% vs. random_no_suicide, avg. reward: 11.700, 1.976 sec/game, 11.4 min. total, 536.5 MB
unlinked_crunching v7 426 games, 347083 moves, e=0.656, loss: 1010.9, -, 21.3% elo% vs. random_no_suicide, avg. reward: 11.708, 1.991 sec/game, 11.4 min. total, 536.3 MB
unlinked_crunching v7 427 games, 348051 moves, e=0.655, loss: 981.6, -, 20.6% elo% vs. random_no_suicide, avg. reward: 11.696, 1.993 sec/game, 11.4 min. total, 536.1 MB
unlinked_crunching v7 428 games, 348998 moves, e=0.654, loss: 942.7, -, 20.0% elo% vs. random_no_suicide, avg. reward: 11.706, 1.994 sec/game, 11.5 min. total, 536.3 MB
unlinked_crunching v7 429 games, 349865 moves, e=0.654, loss: 916.5, -, 19.4% elo% vs. random_no_suicide, avg. reward: 11.698, 1.997 sec/game, 11.5 min. total, 536.7 MB
unlinked_crunching v7 430 games, 350805 moves, e=0.653, loss: 881.8, -, 18.9% elo% vs. random_no_suicide, avg. reward: 11.680, 1.989 sec/game, 11.5 min. total, 537.1 MB
unlinked_crunching v7 431 games, 351745 moves, e=0.652, loss: 880.7, -, 18.3% elo% vs. random_no_suicide, avg. reward: 11.701, 1.997 sec/game, 11.6 min. total, 537.9 MB
unlinked_crunching v7 432 games, 352554 moves, e=0.651, loss: 910.9, -, 17.8% elo% vs. random_no_suicide, avg. reward: 11.672, 1.982 sec/game, 11.6 min. total, 538.8 MB
unlinked_crunching v7 433 games, 353535 moves, e=0.650, loss: 952.6, -, 17.4% elo% vs. random_no_suicide, avg. reward: 11.687, 1.970 sec/game, 11.6 min. total, 539.4 MB
unlinked_crunching v7 434 games, 354435 moves, e=0.649, loss: 907.3, -, 16.9% elo% vs. random_no_suicide, avg. reward: 11.698, 1.964 sec/game, 11.7 min. total, 538.7 MB
