kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v1 73 games, 51516 moves, e=0.949, loss: 408.8, -, 44.3% elo% vs. v0, avg. reward: 6.910, 1.528 sec/game, 1.5 min. total, 421.3 MB
kerosene_tinderbox v1 74 games, 52273 moves, e=0.948, loss: 437.4, +, 46.9% elo% vs. v0, avg. reward: 6.900, 1.533 sec/game, 1.5 min. total, 423.5 MB
kerosene_tinderbox v1 75 games, 52979 moves, e=0.948, loss: 468.9, +, 49.3% elo% vs. v0, avg. reward: 6.865, 1.523 sec/game, 1.6 min. total, 423.6 MB
kerosene_tinderbox v1 76 games, 53692 moves, e=0.947, loss: 452.0, +, 51.6% elo% vs. v0, avg. reward: 6.876, 1.536 sec/game, 1.6 min. total, 423.6 MB
kerosene_tinderbox v1 77 games, 54484 moves, e=0.946, loss: 436.7, -, 49.3% elo% vs. v0, avg. reward: 6.893, 1.545 sec/game, 1.6 min. total, 421.6 MB
kerosene_tinderbox v1 78 games, 55153 moves, e=0.945, loss: 497.6, -, 47.0% elo% vs. v0, avg. reward: 6.858, 1.529 sec/game, 1.6 min. total, 422.4 MB
kerosene_tinderbox v1 79 games, 55798 moves, e=0.945, loss: 532.2, -, 44.9% elo% vs. v0, avg. reward: 6.911, 1.529 sec/game, 1.7 min. total, 422.8 MB
kerosene_tinderbox v1 80 games, 56529 moves, e=0.944, loss: 562.6, -, 42.8% elo% vs. v0, avg. reward: 6.908, 1.541 sec/game, 1.7 min. total, 424.2 MB
kerosene_tinderbox v1 81 games, 57190 moves, e=0.943, loss: 611.2, -, 40.9% elo% vs. v0, avg. reward: 6.874, 1.549 sec/game, 1.7 min. total, 424.5 MB
kerosene_tinderbox v1 82 games, 57813 moves, e=0.943, loss: 609.2, -, 39.1% elo% vs. v0, avg. reward: 6.927, 1.537 sec/game, 1.7 min. total, 424.5 MB
kerosene_tinderbox v1 83 games, 58448 moves, e=0.942, loss: 630.6, +, 41.8% elo% vs. v0, avg. reward: 6.898, 1.538 sec/game, 1.8 min. total, 424.9 MB
kerosene_tinderbox v1 84 games, 59189 moves, e=0.941, loss: 651.9, -, 39.9% elo% vs. v0, avg. reward: 6.861, 1.548 sec/game, 1.8 min. total, 424.7 MB
kerosene_tinderbox v1 85 games, 59947 moves, e=0.941, loss: 627.9, -, 38.2% elo% vs. v0, avg. reward: 6.966, 1.571 sec/game, 1.8 min. total, 424.7 MB
kerosene_tinderbox v1 86 games, 60562 moves, e=0.940, loss: 632.1, +, 40.9% elo% vs. v0, avg. reward: 6.940, 1.558 sec/game, 1.8 min. total, 425.3 MB
kerosene_tinderbox v1 87 games, 61300 moves, e=0.939, loss: 637.9, -, 39.1% elo% vs. v0, avg. reward: 6.921, 1.559 sec/game, 1.9 min. total, 424.7 MB
kerosene_tinderbox v1 88 games, 61950 moves, e=0.939, loss: 633.0, -, 37.4% elo% vs. v0, avg. reward: 6.953, 1.553 sec/game, 1.9 min. total, 424.8 MB
kerosene_tinderbox v1 89 games, 62685 moves, e=0.938, loss: 661.3, -, 35.8% elo% vs. v0, avg. reward: 7.028, 1.568 sec/game, 1.9 min. total, 425.3 MB
kerosene_tinderbox v1 90 games, 63520 moves, e=0.937, loss: 665.0, -, 34.3% elo% vs. v0, avg. reward: 7.027, 1.617 sec/game, 2.0 min. total, 425.6 MB
kerosene_tinderbox v1 91 games, 64225 moves, e=0.936, loss: 655.3, -, 32.9% elo% vs. v0, avg. reward: 7.150, 1.614 sec/game, 2.0 min. total, 425.8 MB
kerosene_tinderbox v1 92 games, 64966 moves, e=0.936, loss: 660.7, -, 31.6% elo% vs. v0, avg. reward: 7.224, 1.639 sec/game, 2.0 min. total, 426.6 MB
kerosene_tinderbox v1 93 games, 65730 moves, e=0.935, loss: 701.3, -, 30.3% elo% vs. v0, avg. reward: 7.334, 1.665 sec/game, 2.1 min. total, 428.0 MB
kerosene_tinderbox v1 94 games, 66439 moves, e=0.934, loss: 666.6, -, 29.2% elo% vs. v0, avg. reward: 7.369, 1.680 sec/game, 2.1 min. total, 428.9 MB
kerosene_tinderbox v1 95 games, 67169 moves, e=0.934, loss: 694.7, -, 28.1% elo% vs. v0, avg. reward: 7.397, 1.700 sec/game, 2.1 min. total, 428.9 MB
kerosene_tinderbox v1 96 games, 67818 moves, e=0.933, loss: 684.1, -, 27.0% elo% vs. v0, avg. reward: 7.352, 1.693 sec/game, 2.1 min. total, 428.9 MB
kerosene_tinderbox v1 97 games, 68512 moves, e=0.932, loss: 686.8, +, 29.8% elo% vs. v0, avg. reward: 7.381, 1.697 sec/game, 2.2 min. total, 431.2 MB
kerosene_tinderbox v1 98 games, 69207 moves, e=0.931, loss: 770.5, +, 32.5% elo% vs. v0, avg. reward: 7.377, 1.701 sec/game, 2.2 min. total, 429.3 MB
kerosene_tinderbox v1 99 games, 69996 moves, e=0.931, loss: 764.0, -, 31.2% elo% vs. v0, avg. reward: 7.439, 1.718 sec/game, 2.2 min. total, 429.0 MB
kerosene_tinderbox v1 100 games, 70717 moves, e=0.930, loss: 787.5, -, 30.0% elo% vs. v0, avg. reward: 7.481, 1.724 sec/game, 2.3 min. total, 429.0 MB
kerosene_tinderbox v2 101 games, 71331 moves, e=0.929, loss: 768.7, -, 47.7% elo% vs. v0, avg. reward: 7.498, 1.717 sec/game, 2.3 min. total, 429.0 MB
kerosene_tinderbox v2 102 games, 72041 moves, e=0.929, loss: 764.2, -, 45.5% elo% vs. v0, avg. reward: 7.467, 1.720 sec/game, 2.3 min. total, 429.2 MB
kerosene_tinderbox v2 103 games, 72822 moves, e=0.928, loss: 736.9, -, 43.4% elo% vs. v0, avg. reward: 7.549, 1.755 sec/game, 2.3 min. total, 429.5 MB
kerosene_tinderbox v2 104 games, 73580 moves, e=0.927, loss: 832.0, -, 41.5% elo% vs. v0, avg. reward: 7.580, 1.748 sec/game, 2.4 min. total, 429.9 MB
kerosene_tinderbox v2 105 games, 74306 moves, e=0.926, loss: 847.8, -, 39.6% elo% vs. v0, avg. reward: 7.531, 1.738 sec/game, 2.4 min. total, 430.5 MB
kerosene_tinderbox v2 106 games, 75168 moves, e=0.926, loss: 866.3, -, 37.9% elo% vs. v0, avg. reward: 7.604, 1.756 sec/game, 2.4 min. total, 431.4 MB
kerosene_tinderbox v2 107 games, 75936 moves, e=0.925, loss: 900.0, +, 40.6% elo% vs. v0, avg. reward: 7.642, 1.756 sec/game, 2.5 min. total, 432.8 MB
kerosene_tinderbox v2 108 games, 76601 moves, e=0.924, loss: 947.3, -, 38.8% elo% vs. v0, avg. reward: 7.681, 1.758 sec/game, 2.5 min. total, 432.9 MB
kerosene_tinderbox v2 109 games, 77451 moves, e=0.923, loss: 922.7, -, 37.2% elo% vs. v0, avg. reward: 7.629, 1.759 sec/game, 2.5 min. total, 432.8 MB
kerosene_tinderbox v2 110 games, 78128 moves, e=0.923, loss: 925.2, -, 35.6% elo% vs. v0, avg. reward: 7.601, 1.714 sec/game, 2.5 min. total, 432.9 MB
kerosene_tinderbox v2 111 games, 78894 moves, e=0.922, loss: 900.5, -, 34.1% elo% vs. v0, avg. reward: 7.602, 1.719 sec/game, 2.6 min. total, 433.0 MB
kerosene_tinderbox v2 112 games, 79695 moves, e=0.921, loss: 930.1, -, 32.7% elo% vs. v0, avg. reward: 7.728, 1.709 sec/game, 2.6 min. total, 432.9 MB
kerosene_tinderbox v2 113 games, 80436 moves, e=0.920, loss: 949.4, -, 31.4% elo% vs. v0, avg. reward: 7.754, 1.701 sec/game, 2.6 min. total, 432.9 MB
kerosene_tinderbox v2 114 games, 81152 moves, e=0.920, loss: 900.3, +, 34.2% elo% vs. v0, avg. reward: 7.764, 1.687 sec/game, 2.7 min. total, 432.8 MB
kerosene_tinderbox v2 115 games, 81975 moves, e=0.919, loss: 960.3, +, 36.9% elo% vs. v0, avg. reward: 7.786, 1.686 sec/game, 2.7 min. total, 433.1 MB
kerosene_tinderbox v2 116 games, 82758 moves, e=0.918, loss: 1026.2, +, 39.7% elo% vs. v0, avg. reward: 7.806, 1.699 sec/game, 2.7 min. total, 433.1 MB
kerosene_tinderbox v2 117 games, 83389 moves, e=0.917, loss: 959.6, -, 38.0% elo% vs. v0, avg. reward: 7.748, 1.683 sec/game, 2.7 min. total, 433.1 MB
kerosene_tinderbox v2 118 games, 84030 moves, e=0.917, loss: 1026.1, +, 40.7% elo% vs. v0, avg. reward: 7.770, 1.679 sec/game, 2.8 min. total, 434.1 MB
kerosene_tinderbox v2 119 games, 84751 moves, e=0.916, loss: 1039.0, +, 43.3% elo% vs. v0, avg. reward: 7.679, 1.681 sec/game, 2.8 min. total, 434.7 MB
kerosene_tinderbox v2 120 games, 85476 moves, e=0.915, loss: 1010.1, -, 41.4% elo% vs. v0, avg. reward: 7.615, 1.666 sec/game, 2.8 min. total, 436.5 MB
kerosene_tinderbox v2 121 games, 86222 moves, e=0.915, loss: 1029.9, +, 44.0% elo% vs. v0, avg. reward: 7.553, 1.681 sec/game, 2.8 min. total, 436.8 MB
kerosene_tinderbox v2 122 games, 86878 moves, e=0.914, loss: 1098.1, -, 42.0% elo% vs. v0, avg. reward: 7.620, 1.682 sec/game, 2.9 min. total, 436.6 MB
kerosene_tinderbox v2 123 games, 87717 moves, e=0.913, loss: 1072.2, -, 40.2% elo% vs. v0, avg. reward: 7.662, 1.672 sec/game, 2.9 min. total, 436.7 MB
kerosene_tinderbox v2 124 games, 88424 moves, e=0.912, loss: 1197.5, +, 42.8% elo% vs. v0, avg. reward: 7.657, 1.661 sec/game, 2.9 min. total, 437.1 MB
kerosene_tinderbox v2 125 games, 89176 moves, e=0.912, loss: 1352.4, +, 45.4% elo% vs. v0, avg. reward: 7.683, 1.660 sec/game, 3.0 min. total, 439.0 MB
kerosene_tinderbox v2 126 games, 89960 moves, e=0.911, loss: 1434.1, -, 43.4% elo% vs. v0, avg. reward: 7.711, 1.645 sec/game, 3.0 min. total, 436.8 MB
kerosene_tinderbox v2 127 games, 90748 moves, e=0.910, loss: 1263.1, +, 46.0% elo% vs. v0, avg. reward: 7.766, 1.651 sec/game, 3.0 min. total, 439.0 MB
kerosene_tinderbox v2 128 games, 91421 moves, e=0.909, loss: 1236.1, +, 48.4% elo% vs. v0, avg. reward: 7.716, 1.651 sec/game, 3.0 min. total, 439.8 MB
kerosene_tinderbox v2 129 games, 92230 moves, e=0.909, loss: 1368.4, +, 50.8% elo% vs. v0, avg. reward: 7.837, 1.635 sec/game, 3.1 min. total, 440.2 MB
kerosene_tinderbox v2 130 games, 92961 moves, e=0.908, loss: 1483.3, +, 53.1% elo% vs. v0, avg. reward: 7.937, 1.647 sec/game, 3.1 min. total, 441.6 MB
kerosene_tinderbox v2 131 games, 93682 moves, e=0.907, loss: 1568.9, -, 50.6% elo% vs. v0, avg. reward: 8.058, 1.637 sec/game, 3.1 min. total, 439.7 MB
kerosene_tinderbox v2 132 games, 94369 moves, e=0.907, loss: 1389.5, -, 48.3% elo% vs. v0, avg. reward: 8.080, 1.641 sec/game, 3.1 min. total, 439.7 MB
kerosene_tinderbox v2 133 games, 95074 moves, e=0.906, loss: 1288.5, -, 46.1% elo% vs. v0, avg. reward: 8.163, 1.626 sec/game, 3.2 min. total, 439.7 MB
kerosene_tinderbox v2 134 games, 95792 moves, e=0.905, loss: 1206.8, -, 44.0% elo% vs. v0, avg. reward: 8.197, 1.628 sec/game, 3.2 min. total, 439.9 MB
kerosene_tinderbox v2 135 games, 96570 moves, e=0.904, loss: 1247.2, -, 42.0% elo% vs. v0, avg. reward: 8.265, 1.627 sec/game, 3.2 min. total, 439.8 MB
kerosene_tinderbox v2 136 games, 97394 moves, e=0.904, loss: 1411.4, +, 44.6% elo% vs. v0, avg. reward: 8.316, 1.627 sec/game, 3.3 min. total, 442.2 MB
kerosene_tinderbox v2 137 games, 98112 moves, e=0.903, loss: 1334.0, -, 42.6% elo% vs. v0, avg. reward: 8.391, 1.640 sec/game, 3.3 min. total, 440.2 MB
kerosene_tinderbox v2 138 games, 98834 moves, e=0.902, loss: 1494.0, +, 45.2% elo% vs. v0, avg. reward: 8.410, 1.657 sec/game, 3.3 min. total, 440.6 MB
