kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v4 298 games, 227442 moves, e=0.775, loss: 2248.5, -, 27.9% elo% vs. v2, avg. reward: 11.402, 3.326 sec/game, 9.0 min. total, 554.6 MB
kerosene_tinderbox v4 299 games, 228172 moves, e=0.774, loss: 2323.4, -, 26.9% elo% vs. v2, avg. reward: 11.375, 3.315 sec/game, 9.0 min. total, 556.3 MB
kerosene_tinderbox v4 300 games, 228952 moves, e=0.773, loss: 2452.0, -, 26.0% elo% vs. v2, avg. reward: 11.364, 3.316 sec/game, 9.1 min. total, 556.0 MB
kerosene_tinderbox v5 301 games, 230023 moves, e=0.772, loss: 2311.5, ., 50.0% elo% vs. v2, avg. reward: 11.452, 3.332 sec/game, 9.1 min. total, 556.3 MB
kerosene_tinderbox v5 302 games, 230845 moves, e=0.771, loss: 2155.8, -, 47.7% elo% vs. v2, avg. reward: 11.413, 3.316 sec/game, 9.1 min. total, 556.2 MB
kerosene_tinderbox v5 303 games, 231755 moves, e=0.771, loss: 2132.6, -, 45.5% elo% vs. v2, avg. reward: 11.352, 3.310 sec/game, 9.2 min. total, 558.5 MB
kerosene_tinderbox v5 304 games, 232525 moves, e=0.770, loss: 2194.5, -, 43.4% elo% vs. v2, avg. reward: 11.382, 3.306 sec/game, 9.2 min. total, 556.4 MB
kerosene_tinderbox v5 305 games, 233351 moves, e=0.769, loss: 2112.0, -, 41.5% elo% vs. v2, avg. reward: 11.541, 3.315 sec/game, 9.2 min. total, 556.3 MB
kerosene_tinderbox v5 306 games, 234302 moves, e=0.768, loss: 2041.2, -, 39.6% elo% vs. v2, avg. reward: 11.570, 3.308 sec/game, 9.3 min. total, 556.5 MB
kerosene_tinderbox v5 307 games, 235129 moves, e=0.767, loss: 2019.4, -, 37.9% elo% vs. v2, avg. reward: 11.615, 3.296 sec/game, 9.3 min. total, 556.5 MB
kerosene_tinderbox v5 308 games, 235980 moves, e=0.766, loss: 2032.7, +, 40.6% elo% vs. v2, avg. reward: 11.626, 3.281 sec/game, 9.4 min. total, 561.9 MB
kerosene_tinderbox v5 309 games, 236847 moves, e=0.766, loss: 1953.0, +, 43.3% elo% vs. v2, avg. reward: 11.614, 3.294 sec/game, 9.4 min. total, 561.8 MB
