moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v18 1680 games, 3996812 moves, e=0.010, loss: 1094669.5, -, 0.9% elo% vs. sunguard, avg. reward: -1.700, 8.239 sec/game, 209.6 min. total, 1134.9 MB
moocher_shakable v18 1681 games, 3999339 moves, e=0.010, loss: 1118587.4, -, 0.9% elo% vs. sunguard, avg. reward: -1.699, 8.219 sec/game, 209.7 min. total, 1130.5 MB
moocher_shakable v18 1682 games, 4002021 moves, e=0.010, loss: 1272599.4, -, 0.9% elo% vs. sunguard, avg. reward: -1.693, 8.241 sec/game, 209.9 min. total, 1132.2 MB
moocher_shakable v18 1683 games, 4004656 moves, e=0.010, loss: 1310009.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.690, 8.269 sec/game, 210.0 min. total, 1132.0 MB
moocher_shakable v18 1684 games, 4007167 moves, e=0.010, loss: 1344391.1, -, 0.9% elo% vs. sunguard, avg. reward: -1.691, 8.268 sec/game, 210.1 min. total, 1131.5 MB
moocher_shakable v18 1685 games, 4009623 moves, e=0.010, loss: 1334312.5, -, 0.9% elo% vs. sunguard, avg. reward: -1.691, 8.286 sec/game, 210.3 min. total, 1133.6 MB
moocher_shakable v18 1686 games, 4012285 moves, e=0.010, loss: 1263477.4, -, 0.9% elo% vs. sunguard, avg. reward: -1.688, 8.306 sec/game, 210.4 min. total, 1133.4 MB
moocher_shakable v18 1687 games, 4014875 moves, e=0.010, loss: 1184163.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.690, 8.302 sec/game, 210.6 min. total, 1134.0 MB
moocher_shakable v18 1688 games, 4017498 moves, e=0.010, loss: 1172957.0, -, 0.9% elo% vs. sunguard, avg. reward: -1.689, 8.293 sec/game, 210.7 min. total, 1135.3 MB
moocher_shakable v18 1689 games, 4020065 moves, e=0.010, loss: 1230926.9, -, 0.9% elo% vs. sunguard, avg. reward: -1.689, 8.310 sec/game, 210.8 min. total, 1136.9 MB
moocher_shakable v18 1690 games, 4022627 moves, e=0.010, loss: 1378143.7, -, 0.9% elo% vs. sunguard, avg. reward: -1.687, 8.338 sec/game, 211.0 min. total, 1136.4 MB
moocher_shakable v18 1691 games, 4025300 moves, e=0.010, loss: 1437808.7, -, 0.9% elo% vs. sunguard, avg. reward: -1.685, 8.330 sec/game, 211.1 min. total, 1136.3 MB
moocher_shakable v18 1692 games, 4028079 moves, e=0.010, loss: 1524165.5, -, 0.9% elo% vs. sunguard, avg. reward: -1.682, 8.372 sec/game, 211.3 min. total, 1140.5 MB
moocher_shakable v18 1693 games, 4030782 moves, e=0.010, loss: 1296772.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.681, 8.401 sec/game, 211.4 min. total, 1142.4 MB
moocher_shakable v18 1694 games, 4033634 moves, e=0.010, loss: 1355200.8, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.426 sec/game, 211.6 min. total, 1145.6 MB
moocher_shakable v18 1695 games, 4036402 moves, e=0.010, loss: 1229487.0, -, 0.9% elo% vs. sunguard, avg. reward: -1.677, 8.461 sec/game, 211.7 min. total, 1146.7 MB
moocher_shakable v18 1696 games, 4039328 moves, e=0.010, loss: 1085358.9, -, 0.9% elo% vs. sunguard, avg. reward: -1.674, 8.539 sec/game, 211.9 min. total, 1147.7 MB
moocher_shakable v18 1697 games, 4042028 moves, e=0.010, loss: 1091581.1, -, 0.9% elo% vs. sunguard, avg. reward: -1.674, 8.506 sec/game, 212.0 min. total, 1147.0 MB
moocher_shakable v18 1698 games, 4044575 moves, e=0.010, loss: 1171575.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.676, 8.486 sec/game, 212.1 min. total, 1147.3 MB
moocher_shakable v18 1699 games, 4047110 moves, e=0.010, loss: 1391672.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.678, 8.464 sec/game, 212.3 min. total, 1146.7 MB
moocher_shakable v18 1700 games, 4049664 moves, e=0.010, loss: 1515514.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.678, 8.424 sec/game, 212.4 min. total, 1139.9 MB
moocher_shakable v18 1701 games, 4052295 moves, e=0.010, loss: 1669637.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.677, 8.423 sec/game, 212.5 min. total, 1139.4 MB
moocher_shakable v18 1702 games, 4054896 moves, e=0.010, loss: 1730087.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.387 sec/game, 212.7 min. total, 1140.6 MB
moocher_shakable v18 1703 games, 4057452 moves, e=0.010, loss: 1755815.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.682, 8.359 sec/game, 212.8 min. total, 1141.3 MB
moocher_shakable v18 1704 games, 4060097 moves, e=0.010, loss: 1667218.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.384 sec/game, 212.9 min. total, 1143.4 MB
moocher_shakable v18 1705 games, 4062722 moves, e=0.010, loss: 1840309.2, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.381 sec/game, 213.1 min. total, 1143.3 MB
moocher_shakable v18 1706 games, 4065272 moves, e=0.010, loss: 1766673.8, -, 0.9% elo% vs. sunguard, avg. reward: -1.682, 8.355 sec/game, 213.2 min. total, 1143.0 MB
moocher_shakable v18 1707 games, 4067791 moves, e=0.010, loss: 1814333.9, -, 0.9% elo% vs. sunguard, avg. reward: -1.683, 8.321 sec/game, 213.3 min. total, 1142.9 MB
moocher_shakable v18 1708 games, 4070586 moves, e=0.010, loss: 1803785.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.679, 8.352 sec/game, 213.5 min. total, 1143.6 MB
moocher_shakable v18 1709 games, 4072975 moves, e=0.010, loss: 1700535.6, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.315 sec/game, 213.6 min. total, 1142.0 MB
moocher_shakable v18 1710 games, 4075613 moves, e=0.010, loss: 1797388.9, -, 0.9% elo% vs. sunguard, avg. reward: -1.679, 8.291 sec/game, 213.7 min. total, 1144.0 MB
moocher_shakable v18 1711 games, 4078259 moves, e=0.010, loss: 1901482.0, -, 0.9% elo% vs. sunguard, avg. reward: -1.677, 8.282 sec/game, 213.9 min. total, 1145.9 MB
moocher_shakable v18 1712 games, 4080786 moves, e=0.010, loss: 1980671.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.675, 8.228 sec/game, 214.0 min. total, 1145.0 MB
moocher_shakable v18 1713 games, 4083305 moves, e=0.010, loss: 1831115.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.678, 8.182 sec/game, 214.1 min. total, 1145.8 MB
moocher_shakable v18 1714 games, 4085876 moves, e=0.010, loss: 1897149.0, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.138 sec/game, 214.3 min. total, 1145.4 MB
moocher_shakable v18 1715 games, 4088393 moves, e=0.010, loss: 1857583.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.681, 8.102 sec/game, 214.4 min. total, 1144.3 MB
moocher_shakable v18 1716 games, 4091219 moves, e=0.010, loss: 1835737.1, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.079 sec/game, 214.5 min. total, 1149.1 MB
moocher_shakable v18 1717 games, 4093826 moves, e=0.010, loss: 1835443.7, -, 0.9% elo% vs. sunguard, avg. reward: -1.681, 8.082 sec/game, 214.7 min. total, 1151.5 MB
moocher_shakable v18 1718 games, 4096479 moves, e=0.010, loss: 1839513.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.680, 8.084 sec/game, 214.8 min. total, 1152.5 MB
moocher_shakable v18 1719 games, 4099062 moves, e=0.010, loss: 1885854.1, -, 0.9% elo% vs. sunguard, avg. reward: -1.681, 8.073 sec/game, 215.0 min. total, 1152.8 MB
moocher_shakable v18 1720 games, 4101608 moves, e=0.010, loss: 2050315.2, -, 0.9% elo% vs. sunguard, avg. reward: -1.683, 8.080 sec/game, 215.1 min. total, 1151.3 MB
moocher_shakable v18 1721 games, 4104327 moves, e=0.010, loss: 2109547.2, -, 0.9% elo% vs. sunguard, avg. reward: -1.684, 8.121 sec/game, 215.2 min. total, 1152.6 MB
moocher_shakable v18 1722 games, 4107060 moves, e=0.010, loss: 1954306.3, -, 0.9% elo% vs. sunguard, avg. reward: -1.684, 8.143 sec/game, 215.4 min. total, 1153.7 MB
moocher_shakable v18 1723 games, 4109827 moves, e=0.010, loss: 2248483.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.682, 8.172 sec/game, 215.5 min. total, 1156.4 MB
moocher_shakable v18 1724 games, 4112551 moves, e=0.010, loss: 2036437.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.680, 8.172 sec/game, 215.7 min. total, 1158.8 MB
moocher_shakable v18 1725 games, 4115399 moves, e=0.010, loss: 2005713.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.679, 8.193 sec/game, 215.8 min. total, 1161.1 MB
moocher_shakable v18 1726 games, 4118276 moves, e=0.010, loss: 1910517.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.675, 8.268 sec/game, 216.0 min. total, 1163.0 MB
moocher_shakable v18 1727 games, 4121079 moves, e=0.010, loss: 1759101.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.671, 8.292 sec/game, 216.1 min. total, 1163.7 MB
moocher_shakable v18 1728 games, 4123892 moves, e=0.010, loss: 1739577.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.669, 8.281 sec/game, 216.2 min. total, 1165.7 MB
moocher_shakable v18 1729 games, 4126634 moves, e=0.010, loss: 1840510.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.340 sec/game, 216.4 min. total, 1163.4 MB
moocher_shakable v18 1730 games, 4129138 moves, e=0.010, loss: 1916741.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.333 sec/game, 216.5 min. total, 1161.9 MB
moocher_shakable v18 1731 games, 4131968 moves, e=0.010, loss: 2109147.0, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.368 sec/game, 216.7 min. total, 1163.0 MB
moocher_shakable v18 1732 games, 4134548 moves, e=0.010, loss: 2238756.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.369 sec/game, 216.8 min. total, 1160.2 MB
moocher_shakable v18 1733 games, 4137356 moves, e=0.010, loss: 2484158.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.428 sec/game, 216.9 min. total, 1161.7 MB
moocher_shakable v18 1734 games, 4139919 moves, e=0.010, loss: 2457721.0, -, 0.8% elo% vs. sunguard, avg. reward: -1.669, 8.425 sec/game, 217.1 min. total, 1163.7 MB
moocher_shakable v18 1735 games, 4142494 moves, e=0.010, loss: 2457482.0, -, 0.8% elo% vs. sunguard, avg. reward: -1.671, 8.429 sec/game, 217.2 min. total, 1159.8 MB
moocher_shakable v18 1736 games, 4145281 moves, e=0.010, loss: 2647762.2, -, 0.8% elo% vs. sunguard, avg. reward: -1.672, 8.441 sec/game, 217.4 min. total, 1162.4 MB
moocher_shakable v18 1737 games, 4147832 moves, e=0.010, loss: 2610785.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.674, 8.400 sec/game, 217.5 min. total, 1160.1 MB
moocher_shakable v18 1738 games, 4150381 moves, e=0.010, loss: 2474563.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.675, 8.398 sec/game, 217.6 min. total, 1161.3 MB
moocher_shakable v18 1739 games, 4153012 moves, e=0.010, loss: 2532106.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.675, 8.428 sec/game, 217.8 min. total, 1161.5 MB
moocher_shakable v18 1740 games, 4155692 moves, e=0.010, loss: 2610004.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.675, 8.447 sec/game, 217.9 min. total, 1159.9 MB
moocher_shakable v18 1741 games, 4158415 moves, e=0.010, loss: 2444286.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.675, 8.424 sec/game, 218.0 min. total, 1163.1 MB
moocher_shakable v18 1742 games, 4161235 moves, e=0.010, loss: 2229741.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.672, 8.443 sec/game, 218.2 min. total, 1165.7 MB
moocher_shakable v18 1743 games, 4163984 moves, e=0.010, loss: 2212298.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.672, 8.452 sec/game, 218.3 min. total, 1167.4 MB
moocher_shakable v18 1744 games, 4166708 moves, e=0.010, loss: 1989767.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.673, 8.445 sec/game, 218.5 min. total, 1167.6 MB
moocher_shakable v18 1745 games, 4169314 moves, e=0.010, loss: 2148078.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.676, 8.413 sec/game, 218.6 min. total, 1166.6 MB
moocher_shakable v18 1746 games, 4171897 moves, e=0.010, loss: 2296051.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.676, 8.353 sec/game, 218.7 min. total, 1165.7 MB
moocher_shakable v18 1747 games, 4174527 moves, e=0.010, loss: 2529864.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.673, 8.348 sec/game, 218.9 min. total, 1165.7 MB
moocher_shakable v18 1748 games, 4177172 moves, e=0.010, loss: 2856422.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.669, 8.343 sec/game, 219.0 min. total, 1165.4 MB
moocher_shakable v18 1749 games, 4179657 moves, e=0.010, loss: 2784287.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.670, 8.305 sec/game, 219.2 min. total, 1162.7 MB
moocher_shakable v18 1750 games, 4182261 moves, e=0.010, loss: 2822016.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.670, 8.304 sec/game, 219.3 min. total, 1162.7 MB
moocher_shakable v18 1751 games, 4184826 moves, e=0.010, loss: 2772688.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.670, 8.250 sec/game, 219.4 min. total, 1161.5 MB
moocher_shakable v18 1752 games, 4187364 moves, e=0.010, loss: 2746642.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.671, 8.255 sec/game, 219.5 min. total, 1162.7 MB
moocher_shakable v18 1753 games, 4189982 moves, e=0.010, loss: 2839832.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.668, 8.243 sec/game, 219.7 min. total, 1165.2 MB
moocher_shakable v18 1754 games, 4192643 moves, e=0.010, loss: 2935620.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.268 sec/game, 219.8 min. total, 1165.4 MB
moocher_shakable v18 1755 games, 4195339 moves, e=0.010, loss: 3172033.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.665, 8.278 sec/game, 220.0 min. total, 1166.0 MB
moocher_shakable v18 1756 games, 4198171 moves, e=0.010, loss: 2798403.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.664, 8.275 sec/game, 220.1 min. total, 1169.7 MB
moocher_shakable v18 1757 games, 4200828 moves, e=0.010, loss: 2574959.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.663, 8.293 sec/game, 220.3 min. total, 1172.0 MB
moocher_shakable v18 1758 games, 4203530 moves, e=0.010, loss: 2863732.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.663, 8.329 sec/game, 220.4 min. total, 1173.3 MB
moocher_shakable v18 1759 games, 4206388 moves, e=0.010, loss: 2904833.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.660, 8.347 sec/game, 220.5 min. total, 1174.8 MB
moocher_shakable v18 1760 games, 4209181 moves, e=0.010, loss: 3134712.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.361 sec/game, 220.7 min. total, 1175.7 MB
moocher_shakable v18 1761 games, 4211747 moves, e=0.010, loss: 3108975.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.353 sec/game, 220.8 min. total, 1175.3 MB
moocher_shakable v18 1762 games, 4214285 moves, e=0.010, loss: 3373551.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.322 sec/game, 221.0 min. total, 1174.9 MB
moocher_shakable v18 1763 games, 4216872 moves, e=0.010, loss: 3295398.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.662, 8.280 sec/game, 221.1 min. total, 1173.4 MB
moocher_shakable v18 1764 games, 4219494 moves, e=0.010, loss: 3498329.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.662, 8.260 sec/game, 221.2 min. total, 1171.5 MB
moocher_shakable v18 1765 games, 4222010 moves, e=0.010, loss: 3654144.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.262 sec/game, 221.4 min. total, 1170.7 MB
moocher_shakable v18 1766 games, 4224677 moves, e=0.010, loss: 3940077.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.658, 8.278 sec/game, 221.5 min. total, 1173.1 MB
moocher_shakable v18 1767 games, 4227273 moves, e=0.010, loss: 3883278.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.659, 8.270 sec/game, 221.6 min. total, 1173.7 MB
moocher_shakable v18 1768 games, 4229848 moves, e=0.010, loss: 3816131.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.657, 8.234 sec/game, 221.8 min. total, 1174.0 MB
moocher_shakable v18 1769 games, 4232452 moves, e=0.010, loss: 3760197.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.657, 8.251 sec/game, 221.9 min. total, 1175.6 MB
moocher_shakable v18 1770 games, 4235028 moves, e=0.010, loss: 4081512.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.656, 8.254 sec/game, 222.0 min. total, 1175.2 MB
moocher_shakable v18 1771 games, 4237689 moves, e=0.010, loss: 4417240.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.659, 8.256 sec/game, 222.2 min. total, 1176.2 MB
moocher_shakable v18 1772 games, 4240163 moves, e=0.010, loss: 4440047.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.660, 8.247 sec/game, 222.3 min. total, 1174.9 MB
moocher_shakable v18 1773 games, 4242730 moves, e=0.010, loss: 4741982.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.224 sec/game, 222.4 min. total, 1174.8 MB
moocher_shakable v18 1774 games, 4245248 moves, e=0.010, loss: 4257355.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.661, 8.203 sec/game, 222.6 min. total, 1174.2 MB
moocher_shakable v18 1775 games, 4247818 moves, e=0.010, loss: 4601532.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.660, 8.192 sec/game, 222.7 min. total, 1175.1 MB
moocher_shakable v18 1776 games, 4250524 moves, e=0.010, loss: 4766158.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.658, 8.177 sec/game, 222.8 min. total, 1177.9 MB
moocher_shakable v18 1777 games, 4253301 moves, e=0.010, loss: 4298989.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.658, 8.199 sec/game, 223.0 min. total, 1181.3 MB
moocher_shakable v18 1778 games, 4256383 moves, e=0.010, loss: 3651183.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.653, 8.246 sec/game, 223.1 min. total, 1187.7 MB
moocher_shakable v18 1779 games, 4259062 moves, e=0.010, loss: 3726455.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.653, 8.219 sec/game, 223.3 min. total, 1189.4 MB
moocher_shakable v18 1780 games, 4261805 moves, e=0.010, loss: 3751942.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.653, 8.221 sec/game, 223.4 min. total, 1189.6 MB
moocher_shakable v18 1781 games, 4264402 moves, e=0.010, loss: 3734452.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.653, 8.215 sec/game, 223.6 min. total, 1187.1 MB
moocher_shakable v18 1782 games, 4266988 moves, e=0.010, loss: 4051054.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.655, 8.210 sec/game, 223.7 min. total, 1183.0 MB
moocher_shakable v18 1783 games, 4269579 moves, e=0.010, loss: 4329806.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.656, 8.235 sec/game, 223.8 min. total, 1183.0 MB
moocher_shakable v18 1784 games, 4272214 moves, e=0.010, loss: 4512536.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.655, 8.239 sec/game, 224.0 min. total, 1181.6 MB
moocher_shakable v18 1785 games, 4274637 moves, e=0.010, loss: 4987955.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.656, 8.230 sec/game, 224.1 min. total, 1180.6 MB
moocher_shakable v18 1786 games, 4277040 moves, e=0.010, loss: 5315627.1, -, 0.8% elo% vs. sunguard, avg. reward: -1.658, 8.192 sec/game, 224.2 min. total, 1179.4 MB
moocher_shakable v18 1787 games, 4279618 moves, e=0.010, loss: 5397753.0, -, 0.8% elo% vs. sunguard, avg. reward: -1.658, 8.188 sec/game, 224.4 min. total, 1179.2 MB
moocher_shakable v18 1788 games, 4282481 moves, e=0.010, loss: 5377222.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.657, 8.239 sec/game, 224.5 min. total, 1181.9 MB
moocher_shakable v18 1789 games, 4285158 moves, e=0.010, loss: 5071716.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.657, 8.239 sec/game, 224.6 min. total, 1185.5 MB
moocher_shakable v18 1790 games, 4287788 moves, e=0.010, loss: 4292487.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.656, 8.268 sec/game, 224.8 min. total, 1188.4 MB
moocher_shakable v18 1791 games, 4290551 moves, e=0.010, loss: 4625949.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.656, 8.288 sec/game, 224.9 min. total, 1190.9 MB
moocher_shakable v18 1792 games, 4293122 moves, e=0.010, loss: 5154984.4, -, 0.8% elo% vs. sunguard, avg. reward: -1.659, 8.310 sec/game, 225.1 min. total, 1188.5 MB
moocher_shakable v18 1793 games, 4295710 moves, e=0.010, loss: 5474569.8, -, 0.8% elo% vs. sunguard, avg. reward: -1.659, 8.302 sec/game, 225.2 min. total, 1189.7 MB
moocher_shakable v18 1794 games, 4298375 moves, e=0.010, loss: 5140199.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.662, 8.321 sec/game, 225.3 min. total, 1192.4 MB
moocher_shakable v18 1795 games, 4300985 moves, e=0.010, loss: 5133853.2, -, 0.8% elo% vs. sunguard, avg. reward: -1.663, 8.323 sec/game, 225.5 min. total, 1190.3 MB
moocher_shakable v18 1796 games, 4303569 moves, e=0.010, loss: 5568863.6, -, 0.8% elo% vs. sunguard, avg. reward: -1.666, 8.292 sec/game, 225.6 min. total, 1190.9 MB
moocher_shakable v18 1797 games, 4306028 moves, e=0.010, loss: 5983703.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.250 sec/game, 225.7 min. total, 1188.4 MB
moocher_shakable v18 1798 games, 4308784 moves, e=0.010, loss: 6646130.2, -, 0.8% elo% vs. sunguard, avg. reward: -1.666, 8.203 sec/game, 225.9 min. total, 1190.3 MB
moocher_shakable v18 1799 games, 4311317 moves, e=0.010, loss: 6927591.0, -, 0.8% elo% vs. sunguard, avg. reward: -1.666, 8.193 sec/game, 226.0 min. total, 1190.1 MB
moocher_shakable v18 1800 games, 4313767 moves, e=0.010, loss: 7247180.9, -, 0.8% elo% vs. sunguard, avg. reward: -1.668, 8.133 sec/game, 226.1 min. total, 1188.1 MB
moocher_shakable v18 1801 games, 4316375 moves, e=0.010, loss: 7126319.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.669, 8.138 sec/game, 226.3 min. total, 1190.5 MB
moocher_shakable v18 1802 games, 4319046 moves, e=0.010, loss: 6568116.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.667, 8.164 sec/game, 226.4 min. total, 1189.5 MB
moocher_shakable v18 1803 games, 4321946 moves, e=0.010, loss: 6804086.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.663, 8.197 sec/game, 226.6 min. total, 1196.7 MB
moocher_shakable v18 1804 games, 4324602 moves, e=0.010, loss: 6049669.7, -, 0.8% elo% vs. sunguard, avg. reward: -1.663, 8.206 sec/game, 226.7 min. total, 1199.6 MB
moocher_shakable v18 1805 games, 4327467 moves, e=0.010, loss: 6038609.5, -, 0.8% elo% vs. sunguard, avg. reward: -1.659, 8.275 sec/game, 226.9 min. total, 1202.8 MB
moocher_shakable v18 1806 games, 4330353 moves, e=0.010, loss: 6209432.3, -, 0.8% elo% vs. sunguard, avg. reward: -1.655, 8.328 sec/game, 227.0 min. total, 1203.3 MB
moocher_shakable v18 1807 games, 4333108 moves, e=0.010, loss: 5882898.2, -, 0.8% elo% vs. sunguard, avg. reward: -1.653, 8.359 sec/game, 227.1 min. total, 1202.5 MB
moocher_shakable v18 1808 games, 4335618 moves, e=0.010, loss: 5938017.3, -, 0.7% elo% vs. sunguard, avg. reward: -1.657, 8.308 sec/game, 227.3 min. total, 1199.7 MB
moocher_shakable v18 1809 games, 4338087 moves, e=0.010, loss: 6540662.9, -, 0.7% elo% vs. sunguard, avg. reward: -1.657, 8.274 sec/game, 227.4 min. total, 1195.4 MB
moocher_shakable v18 1810 games, 4340510 moves, e=0.010, loss: 6768260.4, -, 0.7% elo% vs. sunguard, avg. reward: -1.659, 8.228 sec/game, 227.5 min. total, 1189.9 MB
moocher_shakable v18 1811 games, 4342951 moves, e=0.010, loss: 7137864.2, -, 0.7% elo% vs. sunguard, avg. reward: -1.661, 8.181 sec/game, 227.7 min. total, 1186.6 MB
moocher_shakable v18 1812 games, 4345455 moves, e=0.010, loss: 7666656.6, -, 0.7% elo% vs. sunguard, avg. reward: -1.664, 8.139 sec/game, 227.8 min. total, 1188.1 MB
moocher_shakable v18 1813 games, 4348025 moves, e=0.010, loss: 8495357.8, -, 0.7% elo% vs. sunguard, avg. reward: -1.663, 8.147 sec/game, 227.9 min. total, 1190.4 MB
moocher_shakable v18 1814 games, 4350556 moves, e=0.010, loss: 8505228.9, -, 0.7% elo% vs. sunguard, avg. reward: -1.661, 8.126 sec/game, 228.0 min. total, 1192.2 MB
moocher_shakable v18 1815 games, 4353089 moves, e=0.010, loss: 8958833.1, -, 0.7% elo% vs. sunguard, avg. reward: -1.661, 8.117 sec/game, 228.2 min. total, 1192.9 MB
moocher_shakable v18 1816 games, 4355575 moves, e=0.010, loss: 8828935.1, -, 0.7% elo% vs. sunguard, avg. reward: -1.664, 8.115 sec/game, 228.3 min. total, 1193.6 MB
moocher_shakable v18 1817 games, 4358081 moves, e=0.010, loss: 8621110.4, -, 0.7% elo% vs. sunguard, avg. reward: -1.665, 8.132 sec/game, 228.4 min. total, 1194.4 MB
moocher_shakable v18 1818 games, 4360939 moves, e=0.010, loss: 7952484.4, -, 0.7% elo% vs. sunguard, avg. reward: -1.663, 8.138 sec/game, 228.6 min. total, 1197.1 MB
moocher_shakable v18 1819 games, 4363604 moves, e=0.010, loss: 8308460.8, -, 0.7% elo% vs. sunguard, avg. reward: -1.663, 8.144 sec/game, 228.7 min. total, 1199.9 MB
moocher_shakable v18 1820 games, 4366337 moves, e=0.010, loss: 7806597.2, -, 0.7% elo% vs. sunguard, avg. reward: -1.661, 8.204 sec/game, 228.9 min. total, 1202.3 MB
moocher_shakable v18 1821 games, 4369073 moves, e=0.010, loss: 7565423.5, -, 0.7% elo% vs. sunguard, avg. reward: -1.659, 8.214 sec/game, 229.0 min. total, 1206.4 MB
moocher_shakable v18 1822 games, 4371921 moves, e=0.010, loss: 7811386.0, -, 0.7% elo% vs. sunguard, avg. reward: -1.657, 8.229 sec/game, 229.2 min. total, 1207.1 MB
moocher_shakable v18 1823 games, 4374556 moves, e=0.010, loss: 7624838.4, -, 0.7% elo% vs. sunguard, avg. reward: -1.658, 8.193 sec/game, 229.3 min. total, 1206.6 MB
moocher_shakable v18 1824 games, 4377312 moves, e=0.010, loss: 7917777.1, -, 0.7% elo% vs. sunguard, avg. reward: -1.658, 8.199 sec/game, 229.4 min. total, 1208.0 MB
