moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v3 49 games, 35043 moves, e=0.965, loss: 6.1, -, 32.9% elo% vs. random_no_suicide, avg. reward: -9.902, 2.031 sec/game, 1.3 min. total, 474.2 MB
moocher_shakable v3 50 games, 35727 moves, e=0.965, loss: 6.0, -, 31.6% elo% vs. random_no_suicide, avg. reward: -9.915, 2.037 sec/game, 1.3 min. total, 474.5 MB
moocher_shakable v3 51 games, 36450 moves, e=0.964, loss: 6.7, -, 30.3% elo% vs. random_no_suicide, avg. reward: -9.915, 2.021 sec/game, 1.3 min. total, 474.4 MB
moocher_shakable v3 52 games, 37242 moves, e=0.963, loss: 7.0, +, 33.1% elo% vs. random_no_suicide, avg. reward: -9.886, 2.046 sec/game, 1.4 min. total, 474.3 MB
moocher_shakable v3 53 games, 38051 moves, e=0.962, loss: 6.9, -, 31.8% elo% vs. random_no_suicide, avg. reward: -9.858, 2.063 sec/game, 1.4 min. total, 474.4 MB
moocher_shakable v3 54 games, 38759 moves, e=0.962, loss: 7.1, +, 34.5% elo% vs. random_no_suicide, avg. reward: -9.862, 2.067 sec/game, 1.4 min. total, 474.5 MB
moocher_shakable v3 55 games, 39719 moves, e=0.961, loss: 6.6, -, 33.1% elo% vs. random_no_suicide, avg. reward: -9.813, 2.104 sec/game, 1.5 min. total, 474.9 MB
moocher_shakable v3 56 games, 40423 moves, e=0.960, loss: 6.9, +, 35.9% elo% vs. random_no_suicide, avg. reward: -9.820, 2.093 sec/game, 1.5 min. total, 475.5 MB
moocher_shakable v3 57 games, 41217 moves, e=0.959, loss: 6.6, -, 34.4% elo% vs. random_no_suicide, avg. reward: -9.804, 2.117 sec/game, 1.6 min. total, 477.0 MB
moocher_shakable v3 58 games, 41801 moves, e=0.959, loss: 6.7, +, 37.2% elo% vs. random_no_suicide, avg. reward: -9.841, 2.104 sec/game, 1.6 min. total, 477.0 MB
moocher_shakable v3 59 games, 42420 moves, e=0.958, loss: 6.7, +, 39.9% elo% vs. random_no_suicide, avg. reward: -9.867, 2.088 sec/game, 1.6 min. total, 467.3 MB
moocher_shakable v3 60 games, 43237 moves, e=0.957, loss: 6.5, +, 42.6% elo% vs. random_no_suicide, avg. reward: -9.841, 2.089 sec/game, 1.7 min. total, 467.5 MB
moocher_shakable v3 61 games, 44052 moves, e=0.956, loss: 6.6, -, 40.7% elo% vs. random_no_suicide, avg. reward: -9.822, 2.110 sec/game, 1.7 min. total, 467.7 MB
moocher_shakable v3 62 games, 44835 moves, e=0.956, loss: 6.9, -, 38.9% elo% vs. random_no_suicide, avg. reward: -9.806, 2.132 sec/game, 1.7 min. total, 467.6 MB
moocher_shakable v3 63 games, 45582 moves, e=0.955, loss: 6.9, -, 37.2% elo% vs. random_no_suicide, avg. reward: -9.798, 2.156 sec/game, 1.8 min. total, 467.8 MB
moocher_shakable v3 64 games, 46297 moves, e=0.954, loss: 6.7, ., 37.8% elo% vs. random_no_suicide, avg. reward: -9.797, 2.178 sec/game, 1.8 min. total, 468.0 MB
moocher_shakable v3 65 games, 46995 moves, e=0.953, loss: 6.5, +, 40.5% elo% vs. random_no_suicide, avg. reward: -9.802, 2.229 sec/game, 1.9 min. total, 468.9 MB
moocher_shakable v3 66 games, 47777 moves, e=0.953, loss: 5.9, +, 43.2% elo% vs. random_no_suicide, avg. reward: -9.792, 2.311 sec/game, 1.9 min. total, 470.7 MB
moocher_shakable v3 67 games, 48560 moves, e=0.952, loss: 6.1, -, 41.2% elo% vs. random_no_suicide, avg. reward: -9.778, 2.395 sec/game, 2.0 min. total, 472.0 MB
moocher_shakable v3 68 games, 49306 moves, e=0.951, loss: 5.8, -, 39.4% elo% vs. random_no_suicide, avg. reward: -9.774, 2.506 sec/game, 2.1 min. total, 472.2 MB
moocher_shakable v3 69 games, 50084 moves, e=0.950, loss: 6.3, -, 37.7% elo% vs. random_no_suicide, avg. reward: -9.763, 2.604 sec/game, 2.1 min. total, 414.8 MB
moocher_shakable v3 70 games, 50752 moves, e=0.950, loss: 6.5, -, 36.1% elo% vs. random_no_suicide, avg. reward: -9.774, 2.659 sec/game, 2.2 min. total, 398.9 MB
moocher_shakable v3 71 games, 51439 moves, e=0.949, loss: 6.9, -, 34.5% elo% vs. random_no_suicide, avg. reward: -9.779, 2.753 sec/game, 2.2 min. total, 399.8 MB
moocher_shakable v3 72 games, 52244 moves, e=0.948, loss: 6.0, -, 33.1% elo% vs. random_no_suicide, avg. reward: -9.764, 2.846 sec/game, 2.3 min. total, 400.8 MB
moocher_shakable v3 73 games, 53000 moves, e=0.948, loss: 5.8, -, 31.8% elo% vs. random_no_suicide, avg. reward: -9.758, 2.875 sec/game, 2.4 min. total, 400.6 MB
moocher_shakable v3 74 games, 53584 moves, e=0.947, loss: 6.0, -, 30.5% elo% vs. random_no_suicide, avg. reward: -9.788, 2.876 sec/game, 2.4 min. total, 401.2 MB
moocher_shakable v3 75 games, 54368 moves, e=0.946, loss: 6.3, -, 29.3% elo% vs. random_no_suicide, avg. reward: -9.774, 2.864 sec/game, 2.4 min. total, 402.9 MB
moocher_shakable v3 76 games, 55023 moves, e=0.946, loss: 6.5, -, 28.2% elo% vs. random_no_suicide, avg. reward: -9.785, 2.874 sec/game, 2.5 min. total, 404.2 MB
moocher_shakable v3 77 games, 55711 moves, e=0.945, loss: 6.6, -, 27.2% elo% vs. random_no_suicide, avg. reward: -9.793, 2.865 sec/game, 2.5 min. total, 404.5 MB
moocher_shakable v3 78 games, 56401 moves, e=0.944, loss: 6.7, -, 26.2% elo% vs. random_no_suicide, avg. reward: -9.798, 2.885 sec/game, 2.5 min. total, 403.9 MB
moocher_shakable v3 79 games, 57163 moves, e=0.943, loss: 7.0, -, 25.3% elo% vs. random_no_suicide, avg. reward: -9.790, 2.889 sec/game, 2.6 min. total, 404.0 MB
moocher_shakable v3 80 games, 57989 moves, e=0.943, loss: 7.1, -, 24.4% elo% vs. random_no_suicide, avg. reward: -9.771, 2.904 sec/game, 2.6 min. total, 404.3 MB
moocher_shakable v3 81 games, 58810 moves, e=0.942, loss: 7.2, +, 27.1% elo% vs. random_no_suicide, avg. reward: -9.754, 2.885 sec/game, 2.7 min. total, 404.7 MB
moocher_shakable v3 82 games, 59451 moves, e=0.941, loss: 7.3, +, 29.8% elo% vs. random_no_suicide, avg. reward: -9.771, 2.872 sec/game, 2.7 min. total, 405.6 MB
moocher_shakable v3 83 games, 60118 moves, e=0.940, loss: 7.2, +, 32.6% elo% vs. random_no_suicide, avg. reward: -9.780, 2.853 sec/game, 2.7 min. total, 405.8 MB
moocher_shakable v3 84 games, 60906 moves, e=0.940, loss: 7.5, -, 31.3% elo% vs. random_no_suicide, avg. reward: -9.767, 2.856 sec/game, 2.8 min. total, 406.1 MB
moocher_shakable v3 85 games, 61561 moves, e=0.939, loss: 7.7, -, 30.1% elo% vs. random_no_suicide, avg. reward: -9.776, 2.815 sec/game, 2.8 min. total, 407.5 MB
moocher_shakable v3 86 games, 62406 moves, e=0.938, loss: 7.4, -, 28.9% elo% vs. random_no_suicide, avg. reward: -9.757, 2.797 sec/game, 2.9 min. total, 409.0 MB
moocher_shakable v3 87 games, 63168 moves, e=0.937, loss: 7.4, +, 31.7% elo% vs. random_no_suicide, avg. reward: -9.752, 2.734 sec/game, 2.9 min. total, 409.1 MB
moocher_shakable v3 88 games, 63975 moves, e=0.937, loss: 7.1, +, 34.5% elo% vs. random_no_suicide, avg. reward: -9.738, 2.661 sec/game, 2.9 min. total, 409.1 MB
moocher_shakable v3 89 games, 64699 moves, e=0.936, loss: 6.8, +, 37.2% elo% vs. random_no_suicide, avg. reward: -9.737, 2.585 sec/game, 3.0 min. total, 409.3 MB
moocher_shakable v3 90 games, 65421 moves, e=0.935, loss: 6.7, -, 35.6% elo% vs. random_no_suicide, avg. reward: -9.735, 2.549 sec/game, 3.0 min. total, 409.4 MB
moocher_shakable v3 91 games, 66128 moves, e=0.935, loss: 6.6, +, 38.4% elo% vs. random_no_suicide, avg. reward: -9.740, 2.468 sec/game, 3.1 min. total, 409.7 MB
moocher_shakable v3 92 games, 66904 moves, e=0.934, loss: 6.4, -, 36.7% elo% vs. random_no_suicide, avg. reward: -9.732, 2.376 sec/game, 3.1 min. total, 409.8 MB
moocher_shakable v3 93 games, 67829 moves, e=0.933, loss: 5.9, -, 35.2% elo% vs. random_no_suicide, avg. reward: -9.707, 2.362 sec/game, 3.1 min. total, 409.8 MB
moocher_shakable v3 94 games, 68513 moves, e=0.932, loss: 5.8, -, 33.7% elo% vs. random_no_suicide, avg. reward: -9.713, 2.381 sec/game, 3.2 min. total, 410.1 MB
moocher_shakable v3 95 games, 69341 moves, e=0.931, loss: 5.7, -, 32.3% elo% vs. random_no_suicide, avg. reward: -9.699, 2.374 sec/game, 3.2 min. total, 409.6 MB
moocher_shakable v3 96 games, 69966 moves, e=0.931, loss: 5.7, -, 31.1% elo% vs. random_no_suicide, avg. reward: -9.718, 2.362 sec/game, 3.3 min. total, 409.7 MB
moocher_shakable v3 97 games, 70858 moves, e=0.930, loss: 5.7, -, 29.8% elo% vs. random_no_suicide, avg. reward: -9.698, 2.380 sec/game, 3.3 min. total, 409.5 MB
moocher_shakable v3 98 games, 71612 moves, e=0.929, loss: 5.8, -, 28.7% elo% vs. random_no_suicide, avg. reward: -9.695, 2.402 sec/game, 3.3 min. total, 409.9 MB
moocher_shakable v3 99 games, 72373 moves, e=0.928, loss: 5.6, -, 27.6% elo% vs. random_no_suicide, avg. reward: -9.691, 2.405 sec/game, 3.4 min. total, 409.8 MB
moocher_shakable v3 100 games, 73045 moves, e=0.928, loss: 5.8, -, 26.6% elo% vs. random_no_suicide, avg. reward: -9.699, 2.366 sec/game, 3.4 min. total, 409.8 MB
moocher_shakable v4 101 games, 74010 moves, e=0.927, loss: 5.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.679, 2.414 sec/game, 3.5 min. total, 410.3 MB
moocher_shakable v4 102 games, 74734 moves, e=0.926, loss: 5.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.676, 2.418 sec/game, 3.5 min. total, 410.4 MB
moocher_shakable v4 103 games, 75510 moves, e=0.925, loss: 5.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.668, 2.441 sec/game, 3.5 min. total, 410.7 MB
moocher_shakable v4 104 games, 76195 moves, e=0.925, loss: 5.4, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.672, 2.438 sec/game, 3.6 min. total, 412.7 MB
moocher_shakable v4 105 games, 76973 moves, e=0.924, loss: 5.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.677, 2.459 sec/game, 3.6 min. total, 412.6 MB
moocher_shakable v4 106 games, 77702 moves, e=0.923, loss: 5.3, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.676, 2.443 sec/game, 3.7 min. total, 412.6 MB
moocher_shakable v4 107 games, 78475 moves, e=0.922, loss: 5.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.660, 2.434 sec/game, 3.7 min. total, 412.9 MB
moocher_shakable v4 108 games, 79141 moves, e=0.922, loss: 5.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.657, 2.431 sec/game, 3.7 min. total, 413.0 MB
moocher_shakable v4 109 games, 79916 moves, e=0.921, loss: 5.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.640, 2.434 sec/game, 3.8 min. total, 413.1 MB
moocher_shakable v4 110 games, 80725 moves, e=0.920, loss: 5.7, +, 36.1% elo% vs. random_no_suicide, avg. reward: -9.631, 2.444 sec/game, 3.8 min. total, 413.0 MB
moocher_shakable v4 111 games, 81377 moves, e=0.919, loss: 5.5, -, 34.6% elo% vs. random_no_suicide, avg. reward: -9.624, 2.448 sec/game, 3.9 min. total, 413.3 MB
moocher_shakable v4 112 games, 82255 moves, e=0.919, loss: 5.2, -, 33.2% elo% vs. random_no_suicide, avg. reward: -9.598, 2.479 sec/game, 3.9 min. total, 413.2 MB
moocher_shakable v4 113 games, 83092 moves, e=0.918, loss: 5.5, -, 31.8% elo% vs. random_no_suicide, avg. reward: -9.568, 2.479 sec/game, 4.0 min. total, 413.1 MB
moocher_shakable v4 114 games, 83997 moves, e=0.917, loss: 5.4, +, 34.6% elo% vs. random_no_suicide, avg. reward: -9.542, 2.511 sec/game, 4.0 min. total, 413.1 MB
moocher_shakable v4 115 games, 84691 moves, e=0.916, loss: 5.8, +, 37.4% elo% vs. random_no_suicide, avg. reward: -9.548, 2.493 sec/game, 4.1 min. total, 413.0 MB
moocher_shakable v4 116 games, 85527 moves, e=0.915, loss: 5.6, -, 35.8% elo% vs. random_no_suicide, avg. reward: -9.534, 2.549 sec/game, 4.1 min. total, 413.2 MB
moocher_shakable v4 117 games, 86264 moves, e=0.915, loss: 5.1, +, 38.5% elo% vs. random_no_suicide, avg. reward: -9.530, 2.520 sec/game, 4.1 min. total, 413.2 MB
moocher_shakable v4 118 games, 86906 moves, e=0.914, loss: 5.4, +, 41.3% elo% vs. random_no_suicide, avg. reward: -9.538, 2.519 sec/game, 4.2 min. total, 413.1 MB
