marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v1 65 games, 46653 moves, e=0.954, loss: 5.9, +, 59.6% elo% vs. v0, avg. reward: -9.779, 2.212 sec/game, 2.0 min. total, 426.2 MB
marrow_each v1 66 games, 47318 moves, e=0.953, loss: 6.1, +, 61.4% elo% vs. v0, avg. reward: -9.789, 2.209 sec/game, 2.0 min. total, 426.6 MB
marrow_each v1 67 games, 48168 moves, e=0.952, loss: 5.9, +, 63.1% elo% vs. v0, avg. reward: -9.762, 2.233 sec/game, 2.0 min. total, 429.0 MB
marrow_each v1 68 games, 49053 moves, e=0.951, loss: 5.7, +, 64.6% elo% vs. v0, avg. reward: -9.733, 2.278 sec/game, 2.1 min. total, 428.3 MB
marrow_each v1 69 games, 49898 moves, e=0.951, loss: 5.6, +, 66.1% elo% vs. v0, avg. reward: -9.703, 2.278 sec/game, 2.1 min. total, 427.9 MB
marrow_each v1 70 games, 50744 moves, e=0.950, loss: 5.4, +, 67.5% elo% vs. v0, avg. reward: -9.684, 2.297 sec/game, 2.2 min. total, 428.2 MB
marrow_each v1 71 games, 51484 moves, e=0.949, loss: 5.3, +, 68.8% elo% vs. v0, avg. reward: -9.678, 2.300 sec/game, 2.2 min. total, 428.7 MB
marrow_each v1 72 games, 52255 moves, e=0.948, loss: 5.2, +, 70.0% elo% vs. v0, avg. reward: -9.670, 2.300 sec/game, 2.3 min. total, 428.7 MB
marrow_each v2 73 games, 53045 moves, e=0.947, loss: 5.1, -, 49.9% elo% vs. v1, avg. reward: -9.658, 2.313 sec/game, 2.3 min. total, 463.4 MB
marrow_each v2 74 games, 53679 moves, e=0.947, loss: 5.0, +, 52.2% elo% vs. v1, avg. reward: -9.678, 2.297 sec/game, 2.3 min. total, 466.0 MB
marrow_each v2 75 games, 54502 moves, e=0.946, loss: 4.9, -, 49.8% elo% vs. v1, avg. reward: -9.663, 2.313 sec/game, 2.4 min. total, 466.1 MB
marrow_each v2 76 games, 55343 moves, e=0.945, loss: 4.9, +, 52.1% elo% vs. v1, avg. reward: -9.645, 2.338 sec/game, 2.4 min. total, 466.2 MB
marrow_each v2 77 games, 56154 moves, e=0.944, loss: 4.8, -, 49.7% elo% vs. v1, avg. reward: -9.622, 2.348 sec/game, 2.5 min. total, 466.4 MB
marrow_each v2 78 games, 56890 moves, e=0.944, loss: 4.7, -, 47.4% elo% vs. v1, avg. reward: -9.620, 2.350 sec/game, 2.5 min. total, 467.5 MB
marrow_each v2 79 games, 57653 moves, e=0.943, loss: 4.6, -, 45.3% elo% vs. v1, avg. reward: -9.612, 2.370 sec/game, 2.5 min. total, 468.9 MB
marrow_each v2 80 games, 58422 moves, e=0.942, loss: 4.5, -, 43.2% elo% vs. v1, avg. reward: -9.608, 2.391 sec/game, 2.6 min. total, 470.6 MB
marrow_each v2 81 games, 59175 moves, e=0.941, loss: 4.4, -, 41.3% elo% vs. v1, avg. reward: -9.603, 2.383 sec/game, 2.6 min. total, 473.5 MB
marrow_each v2 82 games, 59970 moves, e=0.941, loss: 4.4, -, 39.4% elo% vs. v1, avg. reward: -9.593, 2.385 sec/game, 2.7 min. total, 475.3 MB
marrow_each v2 83 games, 60767 moves, e=0.940, loss: 4.6, -, 37.7% elo% vs. v1, avg. reward: -9.586, 2.392 sec/game, 2.7 min. total, 475.3 MB
marrow_each v2 84 games, 61525 moves, e=0.939, loss: 4.7, -, 36.1% elo% vs. v1, avg. reward: -9.580, 2.396 sec/game, 2.7 min. total, 475.1 MB
marrow_each v2 85 games, 62171 moves, e=0.938, loss: 4.7, +, 38.8% elo% vs. v1, avg. reward: -9.593, 2.383 sec/game, 2.8 min. total, 475.1 MB
marrow_each v2 86 games, 62858 moves, e=0.938, loss: 4.8, -, 37.2% elo% vs. v1, avg. reward: -9.601, 2.416 sec/game, 2.8 min. total, 475.3 MB
marrow_each v2 87 games, 63809 moves, e=0.937, loss: 4.8, -, 35.6% elo% vs. v1, avg. reward: -9.574, 2.427 sec/game, 2.9 min. total, 475.8 MB
marrow_each v2 88 games, 64485 moves, e=0.936, loss: 4.9, -, 34.1% elo% vs. v1, avg. reward: -9.585, 2.394 sec/game, 2.9 min. total, 475.5 MB
marrow_each v2 89 games, 65349 moves, e=0.935, loss: 4.7, -, 32.7% elo% vs. v1, avg. reward: -9.568, 2.420 sec/game, 2.9 min. total, 476.8 MB
marrow_each v2 90 games, 66028 moves, e=0.935, loss: 4.9, ., 33.4% elo% vs. v1, avg. reward: -9.573, 2.393 sec/game, 3.0 min. total, 477.9 MB
marrow_each v2 91 games, 66777 moves, e=0.934, loss: 5.0, -, 32.0% elo% vs. v1, avg. reward: -9.568, 2.402 sec/game, 3.0 min. total, 477.9 MB
marrow_each v2 92 games, 67549 moves, e=0.933, loss: 5.1, +, 34.8% elo% vs. v1, avg. reward: -9.557, 2.402 sec/game, 3.1 min. total, 479.8 MB
marrow_each v2 93 games, 68317 moves, e=0.932, loss: 5.3, +, 37.6% elo% vs. v1, avg. reward: -9.554, 2.400 sec/game, 3.1 min. total, 478.2 MB
marrow_each v2 94 games, 68999 moves, e=0.932, loss: 5.4, -, 36.0% elo% vs. v1, avg. reward: -9.561, 2.438 sec/game, 3.1 min. total, 478.0 MB
marrow_each v2 95 games, 69870 moves, e=0.931, loss: 5.6, +, 38.7% elo% vs. v1, avg. reward: -9.543, 2.443 sec/game, 3.2 min. total, 471.0 MB
marrow_each v2 96 games, 70529 moves, e=0.930, loss: 5.6, +, 41.5% elo% vs. v1, avg. reward: -9.556, 2.438 sec/game, 3.2 min. total, 470.6 MB
marrow_each v2 97 games, 71240 moves, e=0.929, loss: 5.5, +, 44.1% elo% vs. v1, avg. reward: -9.561, 2.417 sec/game, 3.3 min. total, 472.7 MB
marrow_each v2 98 games, 72030 moves, e=0.929, loss: 5.4, +, 46.6% elo% vs. v1, avg. reward: -9.555, 2.418 sec/game, 3.3 min. total, 473.8 MB
marrow_each v2 99 games, 72694 moves, e=0.928, loss: 5.6, +, 49.1% elo% vs. v1, avg. reward: -9.566, 2.404 sec/game, 3.3 min. total, 473.8 MB
marrow_each v2 100 games, 73460 moves, e=0.927, loss: 5.7, -, 46.8% elo% vs. v1, avg. reward: -9.559, 2.407 sec/game, 3.4 min. total, 473.8 MB
marrow_each v3 101 games, 74218 moves, e=0.927, loss: 6.0, -, 47.7% elo% vs. v1, avg. reward: -9.560, 2.420 sec/game, 3.4 min. total, 473.7 MB
marrow_each v3 102 games, 74919 moves, e=0.926, loss: 5.8, +, 50.1% elo% vs. v1, avg. reward: -9.557, 2.427 sec/game, 3.5 min. total, 475.8 MB
marrow_each v3 103 games, 75672 moves, e=0.925, loss: 5.7, +, 52.4% elo% vs. v1, avg. reward: -9.538, 2.426 sec/game, 3.5 min. total, 475.7 MB
marrow_each v3 104 games, 76486 moves, e=0.924, loss: 5.5, ., 52.3% elo% vs. v1, avg. reward: -9.527, 2.426 sec/game, 3.5 min. total, 474.0 MB
marrow_each v3 105 games, 77227 moves, e=0.924, loss: 5.5, +, 54.5% elo% vs. v1, avg. reward: -9.540, 2.442 sec/game, 3.6 min. total, 476.0 MB
marrow_each v3 106 games, 77918 moves, e=0.923, loss: 5.4, -, 52.0% elo% vs. v1, avg. reward: -9.553, 2.422 sec/game, 3.6 min. total, 475.7 MB
marrow_each v3 107 games, 78672 moves, e=0.922, loss: 5.4, +, 54.2% elo% vs. v1, avg. reward: -9.559, 2.398 sec/game, 3.7 min. total, 476.1 MB
marrow_each v3 108 games, 79467 moves, e=0.921, loss: 5.3, +, 56.3% elo% vs. v1, avg. reward: -9.542, 2.416 sec/game, 3.7 min. total, 475.8 MB
marrow_each v3 109 games, 80283 moves, e=0.921, loss: 5.4, -, 53.7% elo% vs. v1, avg. reward: -9.516, 2.418 sec/game, 3.7 min. total, 476.1 MB
marrow_each v3 110 games, 81081 moves, e=0.920, loss: 5.3, -, 51.2% elo% vs. v1, avg. reward: -9.499, 2.437 sec/game, 3.8 min. total, 476.4 MB
marrow_each v3 111 games, 81748 moves, e=0.919, loss: 5.2, +, 53.5% elo% vs. v1, avg. reward: -9.516, 2.416 sec/game, 3.8 min. total, 476.2 MB
marrow_each v3 112 games, 82700 moves, e=0.918, loss: 5.1, -, 51.0% elo% vs. v1, avg. reward: -9.498, 2.458 sec/game, 3.9 min. total, 477.2 MB
