fit_relearn v1 159 games, 66111 moves, e=0.935, loss: nan, -, 12.1% elo% vs. random_bot, avg. reward: -12.993, 0.263 sec/game, 0.7 min. total, 540.4 MB
fit_relearn v1 161 games, 66837 moves, e=0.934, loss: nan, -, 11.8% elo% vs. random_bot, avg. reward: -13.057, 0.264 sec/game, 0.7 min. total, 541.8 MB
fit_relearn v1 163 games, 67610 moves, e=0.933, loss: nan, -, 11.6% elo% vs. random_bot, avg. reward: -13.085, 0.263 sec/game, 0.7 min. total, 543.7 MB
fit_relearn v1 165 games, 68367 moves, e=0.932, loss: nan, -, 11.4% elo% vs. random_bot, avg. reward: -13.114, 0.264 sec/game, 0.8 min. total, 545.4 MB
fit_relearn v1 167 games, 69069 moves, e=0.932, loss: nan, -, 11.2% elo% vs. random_bot, avg. reward: -13.164, 0.263 sec/game, 0.8 min. total, 547.0 MB
fit_relearn v1 169 games, 69730 moves, e=0.931, loss: nan, -, 11.0% elo% vs. random_bot, avg. reward: -13.229, 0.262 sec/game, 0.8 min. total, 549.7 MB
fit_relearn v1 171 games, 70423 moves, e=0.930, loss: nan, -, 10.8% elo% vs. random_bot, avg. reward: -13.306, 0.262 sec/game, 0.8 min. total, 552.0 MB
fit_relearn v1 173 games, 71126 moves, e=0.930, loss: nan, -, 10.6% elo% vs. random_bot, avg. reward: -13.355, 0.260 sec/game, 0.8 min. total, 554.9 MB
fit_relearn v1 175 games, 71841 moves, e=0.929, loss: nan, -, 10.4% elo% vs. random_bot, avg. reward: -13.428, 0.260 sec/game, 0.8 min. total, 559.4 MB
fit_relearn v1 177 games, 72518 moves, e=0.928, loss: nan, -, 10.2% elo% vs. random_bot, avg. reward: -13.492, 0.254 sec/game, 0.8 min. total, 564.0 MB
fit_relearn v1 179 games, 73214 moves, e=0.928, loss: nan, -, 10.1% elo% vs. random_bot, avg. reward: -13.464, 0.252 sec/game, 0.8 min. total, 564.1 MB
fit_relearn v1 181 games, 73954 moves, e=0.927, loss: nan, -, 9.9% elo% vs. random_bot, avg. reward: -13.475, 0.255 sec/game, 0.8 min. total, 565.3 MB
fit_relearn v1 183 games, 74578 moves, e=0.926, loss: nan, -, 9.7% elo% vs. random_bot, avg. reward: -13.570, 0.255 sec/game, 0.8 min. total, 566.4 MB
fit_relearn v1 185 games, 75291 moves, e=0.925, loss: nan, ., 10.4% elo% vs. random_bot, avg. reward: -13.606, 0.255 sec/game, 0.8 min. total, 568.3 MB
fit_relearn v1 187 games, 75945 moves, e=0.925, loss: nan, -, 10.2% elo% vs. random_bot, avg. reward: -13.649, 0.255 sec/game, 0.9 min. total, 569.9 MB
fit_relearn v1 189 games, 76610 moves, e=0.924, loss: nan, ., 10.9% elo% vs. random_bot, avg. reward: -13.715, 0.258 sec/game, 0.9 min. total, 571.8 MB
fit_relearn v1 192 games, 77527 moves, e=0.923, loss: nan, -, 10.7% elo% vs. random_bot, avg. reward: -13.814, 0.305 sec/game, 0.9 min. total, 575.1 MB
