pulsate_salute v1 55 games, 38381 moves, e=0.962, loss: nan, +, 54.9% elo% vs. v0, avg. reward: -10.353, 0.242 sec/game, 0.2 min. total, 463.3 MB
pulsate_salute v1 56 games, 39111 moves, e=0.961, loss: nan, -, 52.4% elo% vs. v0, avg. reward: -10.342, 0.243 sec/game, 0.2 min. total, 465.2 MB
pulsate_salute v1 57 games, 39873 moves, e=0.961, loss: nan, -, 50.0% elo% vs. v0, avg. reward: -10.328, 0.244 sec/game, 0.2 min. total, 467.5 MB
pulsate_salute v1 58 games, 40563 moves, e=0.960, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -10.328, 0.246 sec/game, 0.2 min. total, 469.6 MB
pulsate_salute v1 59 games, 41279 moves, e=0.959, loss: nan, -, 45.5% elo% vs. v0, avg. reward: -10.318, 0.245 sec/game, 0.2 min. total, 473.4 MB
pulsate_salute v1 60 games, 42023 moves, e=0.958, loss: nan, +, 48.0% elo% vs. v0, avg. reward: -10.308, 0.247 sec/game, 0.2 min. total, 477.7 MB
pulsate_salute v1 61 games, 42745 moves, e=0.958, loss: nan, +, 50.4% elo% vs. v0, avg. reward: -10.299, 0.250 sec/game, 0.3 min. total, 482.6 MB
pulsate_salute v1 62 games, 43591 moves, e=0.957, loss: nan, +, 52.7% elo% vs. v0, avg. reward: -10.264, 0.254 sec/game, 0.3 min. total, 486.9 MB
pulsate_salute v1 63 games, 44391 moves, e=0.956, loss: nan, +, 54.8% elo% vs. v0, avg. reward: -10.238, 0.258 sec/game, 0.3 min. total, 487.5 MB
pulsate_salute v1 64 games, 45133 moves, e=0.955, loss: nan, +, 56.9% elo% vs. v0, avg. reward: -10.225, 0.261 sec/game, 0.3 min. total, 488.8 MB
pulsate_salute v1 65 games, 45823 moves, e=0.955, loss: nan, +, 58.8% elo% vs. v0, avg. reward: -10.229, 0.265 sec/game, 0.3 min. total, 490.7 MB
pulsate_salute v1 66 games, 46559 moves, e=0.954, loss: nan, -, 56.2% elo% vs. v0, avg. reward: -10.221, 0.266 sec/game, 0.3 min. total, 492.5 MB
pulsate_salute v1 67 games, 47253 moves, e=0.953, loss: nan, -, 53.6% elo% vs. v0, avg. reward: -10.223, 0.268 sec/game, 0.3 min. total, 493.9 MB
pulsate_salute v1 68 games, 47997 moves, e=0.952, loss: nan, -, 51.2% elo% vs. v0, avg. reward: -10.215, 0.271 sec/game, 0.3 min. total, 495.9 MB
pulsate_salute v1 69 games, 48669 moves, e=0.952, loss: nan, +, 53.4% elo% vs. v0, avg. reward: -10.222, 0.271 sec/game, 0.3 min. total, 497.5 MB
pulsate_salute v1 70 games, 49279 moves, e=0.951, loss: nan, +, 55.5% elo% vs. v0, avg. reward: -10.245, 0.271 sec/game, 0.3 min. total, 499.4 MB
pulsate_salute v1 71 games, 49943 moves, e=0.951, loss: nan, -, 53.0% elo% vs. v0, avg. reward: -10.249, 0.265 sec/game, 0.3 min. total, 501.1 MB
