justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v3 78 games, 56377 moves, e=0.944, loss: 47.0, -, 20.2% elo% vs. random_no_suicide, avg. reward: -5.463, 1.737 sec/game, 1.7 min. total, 477.3 MB
justness_pawing v3 79 games, 57188 moves, e=0.943, loss: 45.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: -5.448, 1.743 sec/game, 1.7 min. total, 477.7 MB
justness_pawing v3 80 games, 57924 moves, e=0.943, loss: 44.1, +, 22.0% elo% vs. random_no_suicide, avg. reward: -5.445, 1.718 sec/game, 1.8 min. total, 473.2 MB
justness_pawing v3 81 games, 58762 moves, e=0.942, loss: 43.0, -, 21.4% elo% vs. random_no_suicide, avg. reward: -5.424, 1.712 sec/game, 1.8 min. total, 477.9 MB
justness_pawing v3 82 games, 59595 moves, e=0.941, loss: 41.9, -, 20.7% elo% vs. random_no_suicide, avg. reward: -5.404, 1.718 sec/game, 1.8 min. total, 478.0 MB
justness_pawing v3 83 games, 60515 moves, e=0.940, loss: 43.2, -, 20.1% elo% vs. random_no_suicide, avg. reward: -5.377, 1.753 sec/game, 1.9 min. total, 479.8 MB
justness_pawing v3 84 games, 61280 moves, e=0.939, loss: 43.9, -, 19.5% elo% vs. random_no_suicide, avg. reward: -5.369, 1.775 sec/game, 1.9 min. total, 480.2 MB
justness_pawing v3 85 games, 62146 moves, e=0.938, loss: 44.6, -, 18.9% elo% vs. random_no_suicide, avg. reward: -5.349, 1.780 sec/game, 1.9 min. total, 480.4 MB
justness_pawing v3 86 games, 62993 moves, e=0.938, loss: 47.4, +, 21.3% elo% vs. random_no_suicide, avg. reward: -5.327, 1.784 sec/game, 1.9 min. total, 477.3 MB
justness_pawing v3 87 games, 63744 moves, e=0.937, loss: 45.5, -, 20.7% elo% vs. random_no_suicide, avg. reward: -5.325, 1.773 sec/game, 2.0 min. total, 480.6 MB
justness_pawing v3 88 games, 64601 moves, e=0.936, loss: 46.4, -, 20.1% elo% vs. random_no_suicide, avg. reward: -5.307, 1.760 sec/game, 2.0 min. total, 476.2 MB
justness_pawing v3 89 games, 65332 moves, e=0.935, loss: 48.2, +, 22.5% elo% vs. random_no_suicide, avg. reward: -5.308, 1.759 sec/game, 2.0 min. total, 476.5 MB
justness_pawing v3 90 games, 66064 moves, e=0.935, loss: 48.4, +, 25.1% elo% vs. random_no_suicide, avg. reward: -5.310, 1.731 sec/game, 2.1 min. total, 481.1 MB
justness_pawing v3 91 games, 66783 moves, e=0.934, loss: 46.7, +, 27.8% elo% vs. random_no_suicide, avg. reward: -5.311, 1.699 sec/game, 2.1 min. total, 477.2 MB
justness_pawing v3 92 games, 67567 moves, e=0.933, loss: 46.6, -, 26.8% elo% vs. random_no_suicide, avg. reward: -5.299, 1.719 sec/game, 2.1 min. total, 484.0 MB
justness_pawing v3 93 games, 68251 moves, e=0.932, loss: 48.5, -, 25.8% elo% vs. random_no_suicide, avg. reward: -5.307, 1.729 sec/game, 2.1 min. total, 483.6 MB
justness_pawing v3 94 games, 68964 moves, e=0.932, loss: 50.8, -, 24.9% elo% vs. random_no_suicide, avg. reward: -5.308, 1.720 sec/game, 2.2 min. total, 484.1 MB
justness_pawing v3 95 games, 69664 moves, e=0.931, loss: 53.5, +, 27.6% elo% vs. random_no_suicide, avg. reward: -5.315, 1.729 sec/game, 2.2 min. total, 479.1 MB
justness_pawing v3 96 games, 70407 moves, e=0.930, loss: 54.8, +, 30.4% elo% vs. random_no_suicide, avg. reward: -5.310, 1.734 sec/game, 2.2 min. total, 480.4 MB
justness_pawing v3 97 games, 71165 moves, e=0.930, loss: 52.5, +, 33.1% elo% vs. random_no_suicide, avg. reward: -5.305, 1.724 sec/game, 2.3 min. total, 480.6 MB
justness_pawing v3 98 games, 71982 moves, e=0.929, loss: 50.2, +, 35.9% elo% vs. random_no_suicide, avg. reward: -5.296, 1.741 sec/game, 2.3 min. total, 479.3 MB
justness_pawing v3 99 games, 72850 moves, e=0.928, loss: 52.4, -, 34.4% elo% vs. random_no_suicide, avg. reward: -5.276, 1.759 sec/game, 2.3 min. total, 481.8 MB
justness_pawing v3 100 games, 73636 moves, e=0.927, loss: 54.7, -, 33.0% elo% vs. random_no_suicide, avg. reward: -5.268, 1.762 sec/game, 2.3 min. total, 484.2 MB
justness_pawing v4 101 games, 74290 moves, e=0.926, loss: 55.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.256, 1.737 sec/game, 2.4 min. total, 480.8 MB
justness_pawing v4 102 games, 75061 moves, e=0.926, loss: 53.8, +, 50.1% elo% vs. random_no_suicide, avg. reward: -5.259, 1.748 sec/game, 2.4 min. total, 480.6 MB
justness_pawing v4 103 games, 75709 moves, e=0.925, loss: 52.1, +, 52.4% elo% vs. random_no_suicide, avg. reward: -5.274, 1.718 sec/game, 2.4 min. total, 480.5 MB
justness_pawing v4 104 games, 76468 moves, e=0.924, loss: 50.1, -, 50.0% elo% vs. random_no_suicide, avg. reward: -5.262, 1.707 sec/game, 2.5 min. total, 480.7 MB
justness_pawing v4 105 games, 77173 moves, e=0.924, loss: 51.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.262, 1.681 sec/game, 2.5 min. total, 480.6 MB
justness_pawing v4 106 games, 77985 moves, e=0.923, loss: 54.9, +, 50.1% elo% vs. random_no_suicide, avg. reward: -5.253, 1.683 sec/game, 2.5 min. total, 482.4 MB
justness_pawing v4 107 games, 78782 moves, e=0.922, loss: 58.0, -, 47.8% elo% vs. random_no_suicide, avg. reward: -5.238, 1.686 sec/game, 2.5 min. total, 481.1 MB
justness_pawing v4 108 games, 79470 moves, e=0.921, loss: 58.3, +, 50.2% elo% vs. random_no_suicide, avg. reward: -5.257, 1.672 sec/game, 2.6 min. total, 481.3 MB
justness_pawing v4 109 games, 80274 moves, e=0.921, loss: 54.9, +, 52.5% elo% vs. random_no_suicide, avg. reward: -5.227, 1.685 sec/game, 2.6 min. total, 483.6 MB
justness_pawing v4 110 games, 80989 moves, e=0.920, loss: 52.8, +, 54.7% elo% vs. random_no_suicide, avg. reward: -5.228, 1.667 sec/game, 2.6 min. total, 482.4 MB
justness_pawing v4 111 games, 81877 moves, e=0.919, loss: 56.6, +, 56.7% elo% vs. random_no_suicide, avg. reward: -5.210, 1.692 sec/game, 2.7 min. total, 482.4 MB
justness_pawing v4 112 games, 82709 moves, e=0.918, loss: 58.8, +, 58.7% elo% vs. random_no_suicide, avg. reward: -5.194, 1.704 sec/game, 2.7 min. total, 482.5 MB
justness_pawing v4 113 games, 83481 moves, e=0.917, loss: 61.5, +, 60.5% elo% vs. random_no_suicide, avg. reward: -5.202, 1.697 sec/game, 2.7 min. total, 483.9 MB
justness_pawing v4 114 games, 84220 moves, e=0.917, loss: 61.2, ., 60.0% elo% vs. random_no_suicide, avg. reward: -5.185, 1.693 sec/game, 2.7 min. total, 482.3 MB
justness_pawing v4 115 games, 85069 moves, e=0.916, loss: 58.6, +, 61.8% elo% vs. random_no_suicide, avg. reward: -5.151, 1.710 sec/game, 2.8 min. total, 482.6 MB
justness_pawing v4 116 games, 85641 moves, e=0.915, loss: 59.0, -, 59.1% elo% vs. random_no_suicide, avg. reward: -5.189, 1.692 sec/game, 2.8 min. total, 486.9 MB
justness_pawing v4 117 games, 86390 moves, e=0.914, loss: 58.6, +, 60.9% elo% vs. random_no_suicide, avg. reward: -5.185, 1.690 sec/game, 2.8 min. total, 484.0 MB
justness_pawing v4 118 games, 87134 moves, e=0.914, loss: 58.0, +, 62.6% elo% vs. random_no_suicide, avg. reward: -5.169, 1.678 sec/game, 2.8 min. total, 484.0 MB
justness_pawing v4 119 games, 87910 moves, e=0.913, loss: 60.4, +, 64.2% elo% vs. random_no_suicide, avg. reward: -5.165, 1.659 sec/game, 2.9 min. total, 485.2 MB
justness_pawing v4 120 games, 88654 moves, e=0.912, loss: 60.8, -, 61.4% elo% vs. random_no_suicide, avg. reward: -5.160, 1.657 sec/game, 2.9 min. total, 489.6 MB
