justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v18 1183 games, 2548818 moves, e=0.010, loss: 62.4, -, 6.7% elo% vs. simple_bot, avg. reward: 4.049, 5.889 sec/game, 63.1 min. total, 716.0 MB
justness_pawing v18 1184 games, 2551361 moves, e=0.010, loss: 68.6, -, 6.7% elo% vs. simple_bot, avg. reward: 4.037, 5.773 sec/game, 63.2 min. total, 714.4 MB
justness_pawing v18 1185 games, 2553832 moves, e=0.010, loss: 79.4, -, 6.6% elo% vs. simple_bot, avg. reward: 4.026, 5.657 sec/game, 63.3 min. total, 713.0 MB
justness_pawing v18 1186 games, 2556298 moves, e=0.010, loss: 86.5, -, 6.5% elo% vs. simple_bot, avg. reward: 4.015, 5.535 sec/game, 63.4 min. total, 720.0 MB
justness_pawing v18 1187 games, 2558666 moves, e=0.010, loss: 103.2, -, 6.4% elo% vs. simple_bot, avg. reward: 4.002, 5.430 sec/game, 63.4 min. total, 713.2 MB
justness_pawing v18 1188 games, 2561120 moves, e=0.010, loss: 121.7, -, 6.4% elo% vs. simple_bot, avg. reward: 3.992, 5.362 sec/game, 63.5 min. total, 712.5 MB
justness_pawing v18 1189 games, 2563613 moves, e=0.010, loss: 129.3, -, 6.3% elo% vs. simple_bot, avg. reward: 3.979, 5.316 sec/game, 63.6 min. total, 711.6 MB
justness_pawing v18 1190 games, 2566232 moves, e=0.010, loss: 134.1, -, 6.2% elo% vs. simple_bot, avg. reward: 3.971, 5.252 sec/game, 63.7 min. total, 713.6 MB
justness_pawing v18 1191 games, 2568587 moves, e=0.010, loss: 140.0, -, 6.2% elo% vs. simple_bot, avg. reward: 3.960, 5.199 sec/game, 63.8 min. total, 717.6 MB
justness_pawing v18 1192 games, 2571196 moves, e=0.010, loss: 128.2, -, 6.1% elo% vs. simple_bot, avg. reward: 3.950, 5.165 sec/game, 63.8 min. total, 714.2 MB
justness_pawing v18 1193 games, 2573837 moves, e=0.010, loss: 128.4, -, 6.0% elo% vs. simple_bot, avg. reward: 3.940, 5.149 sec/game, 63.9 min. total, 716.6 MB
justness_pawing v18 1194 games, 2576475 moves, e=0.010, loss: 125.1, -, 6.0% elo% vs. simple_bot, avg. reward: 3.931, 5.130 sec/game, 64.0 min. total, 718.8 MB
justness_pawing v18 1195 games, 2579042 moves, e=0.010, loss: 105.5, -, 5.9% elo% vs. simple_bot, avg. reward: 3.922, 5.136 sec/game, 64.1 min. total, 719.6 MB
justness_pawing v18 1196 games, 2581808 moves, e=0.010, loss: 117.3, -, 5.8% elo% vs. simple_bot, avg. reward: 3.915, 5.152 sec/game, 64.2 min. total, 721.8 MB
justness_pawing v18 1197 games, 2584488 moves, e=0.010, loss: 110.4, -, 5.8% elo% vs. simple_bot, avg. reward: 3.909, 5.144 sec/game, 64.3 min. total, 722.3 MB
justness_pawing v18 1198 games, 2587375 moves, e=0.010, loss: 109.1, -, 5.7% elo% vs. simple_bot, avg. reward: 3.903, 5.134 sec/game, 64.4 min. total, 724.4 MB
justness_pawing v18 1199 games, 2590028 moves, e=0.010, loss: 105.2, -, 5.7% elo% vs. simple_bot, avg. reward: 3.894, 5.127 sec/game, 64.5 min. total, 725.5 MB
justness_pawing v18 1200 games, 2592893 moves, e=0.010, loss: 92.4, -, 5.6% elo% vs. simple_bot, avg. reward: 3.889, 5.126 sec/game, 64.6 min. total, 725.4 MB
justness_pawing v19 1201 games, 2595552 moves, e=0.010, loss: 98.8, -, 47.7% elo% vs. simple_bot, avg. reward: 3.881, 5.139 sec/game, 64.7 min. total, 726.1 MB
justness_pawing v19 1202 games, 2598352 moves, e=0.010, loss: 94.2, -, 45.5% elo% vs. simple_bot, avg. reward: 3.874, 5.166 sec/game, 64.7 min. total, 728.7 MB
justness_pawing v19 1203 games, 2601068 moves, e=0.010, loss: 106.4, -, 43.4% elo% vs. simple_bot, avg. reward: 3.870, 5.170 sec/game, 64.8 min. total, 728.4 MB
justness_pawing v19 1204 games, 2603814 moves, e=0.010, loss: 100.8, -, 41.5% elo% vs. simple_bot, avg. reward: 3.866, 5.203 sec/game, 64.9 min. total, 728.4 MB
justness_pawing v19 1205 games, 2606472 moves, e=0.010, loss: 110.8, -, 39.6% elo% vs. simple_bot, avg. reward: 3.863, 5.221 sec/game, 65.0 min. total, 728.0 MB
justness_pawing v19 1206 games, 2609118 moves, e=0.010, loss: 111.3, -, 37.9% elo% vs. simple_bot, avg. reward: 3.857, 5.224 sec/game, 65.1 min. total, 727.3 MB
justness_pawing v19 1207 games, 2611798 moves, e=0.010, loss: 116.1, -, 36.3% elo% vs. simple_bot, avg. reward: 3.852, 5.264 sec/game, 65.2 min. total, 728.8 MB
justness_pawing v19 1208 games, 2614298 moves, e=0.010, loss: 123.5, -, 34.8% elo% vs. simple_bot, avg. reward: 3.848, 5.273 sec/game, 65.3 min. total, 725.5 MB
justness_pawing v19 1209 games, 2616915 moves, e=0.010, loss: 127.7, -, 33.3% elo% vs. simple_bot, avg. reward: 3.843, 5.273 sec/game, 65.4 min. total, 726.3 MB
justness_pawing v19 1210 games, 2619403 moves, e=0.010, loss: 139.0, -, 32.0% elo% vs. simple_bot, avg. reward: 3.836, 5.273 sec/game, 65.4 min. total, 726.5 MB
justness_pawing v19 1211 games, 2621918 moves, e=0.010, loss: 153.0, -, 30.7% elo% vs. simple_bot, avg. reward: 3.831, 5.270 sec/game, 65.5 min. total, 726.5 MB
justness_pawing v19 1212 games, 2624409 moves, e=0.010, loss: 145.5, -, 29.5% elo% vs. simple_bot, avg. reward: 3.829, 5.268 sec/game, 65.6 min. total, 727.4 MB
justness_pawing v19 1213 games, 2626909 moves, e=0.010, loss: 169.2, -, 28.4% elo% vs. simple_bot, avg. reward: 3.828, 5.248 sec/game, 65.7 min. total, 725.8 MB
justness_pawing v19 1214 games, 2629410 moves, e=0.010, loss: 185.2, -, 27.3% elo% vs. simple_bot, avg. reward: 3.826, 5.245 sec/game, 65.8 min. total, 724.4 MB
justness_pawing v19 1215 games, 2631825 moves, e=0.010, loss: 169.8, -, 26.4% elo% vs. simple_bot, avg. reward: 3.824, 5.204 sec/game, 65.8 min. total, 725.4 MB
justness_pawing v19 1216 games, 2634247 moves, e=0.010, loss: 202.3, -, 25.4% elo% vs. simple_bot, avg. reward: 3.821, 5.150 sec/game, 65.9 min. total, 725.6 MB
justness_pawing v19 1217 games, 2636611 moves, e=0.010, loss: 178.9, -, 24.5% elo% vs. simple_bot, avg. reward: 3.818, 5.112 sec/game, 66.0 min. total, 725.4 MB
justness_pawing v19 1218 games, 2639128 moves, e=0.010, loss: 183.9, -, 23.7% elo% vs. simple_bot, avg. reward: 3.820, 5.084 sec/game, 66.1 min. total, 725.5 MB
justness_pawing v19 1219 games, 2641604 moves, e=0.010, loss: 185.7, -, 22.9% elo% vs. simple_bot, avg. reward: 3.818, 5.057 sec/game, 66.2 min. total, 726.3 MB
justness_pawing v19 1220 games, 2644106 moves, e=0.010, loss: 211.4, -, 22.2% elo% vs. simple_bot, avg. reward: 3.814, 5.027 sec/game, 66.2 min. total, 727.5 MB
justness_pawing v19 1221 games, 2646665 moves, e=0.010, loss: 201.8, -, 21.5% elo% vs. simple_bot, avg. reward: 3.816, 5.016 sec/game, 66.3 min. total, 729.2 MB
justness_pawing v19 1222 games, 2649204 moves, e=0.010, loss: 190.7, -, 20.8% elo% vs. simple_bot, avg. reward: 3.815, 4.979 sec/game, 66.4 min. total, 730.4 MB
justness_pawing v19 1223 games, 2651563 moves, e=0.010, loss: 207.7, -, 20.2% elo% vs. simple_bot, avg. reward: 3.809, 4.946 sec/game, 66.5 min. total, 730.4 MB
justness_pawing v19 1224 games, 2654064 moves, e=0.010, loss: 219.4, -, 19.6% elo% vs. simple_bot, avg. reward: 3.807, 4.906 sec/game, 66.6 min. total, 729.9 MB
justness_pawing v19 1225 games, 2656717 moves, e=0.010, loss: 205.4, -, 19.1% elo% vs. simple_bot, avg. reward: 3.805, 4.905 sec/game, 66.7 min. total, 730.7 MB
justness_pawing v19 1226 games, 2659340 moves, e=0.010, loss: 196.0, -, 18.5% elo% vs. simple_bot, avg. reward: 3.807, 4.914 sec/game, 66.7 min. total, 731.5 MB
justness_pawing v19 1227 games, 2661939 moves, e=0.010, loss: 209.2, -, 18.0% elo% vs. simple_bot, avg. reward: 3.806, 4.898 sec/game, 66.8 min. total, 736.6 MB
justness_pawing v19 1228 games, 2664643 moves, e=0.010, loss: 190.2, -, 17.5% elo% vs. simple_bot, avg. reward: 3.806, 4.913 sec/game, 66.9 min. total, 739.8 MB
justness_pawing v19 1229 games, 2667419 moves, e=0.010, loss: 190.9, -, 17.1% elo% vs. simple_bot, avg. reward: 3.807, 4.942 sec/game, 67.0 min. total, 741.2 MB
justness_pawing v19 1230 games, 2670083 moves, e=0.010, loss: 179.4, -, 16.6% elo% vs. simple_bot, avg. reward: 3.806, 4.954 sec/game, 67.1 min. total, 741.5 MB
justness_pawing v19 1231 games, 2672765 moves, e=0.010, loss: 178.4, -, 16.2% elo% vs. simple_bot, avg. reward: 3.807, 4.968 sec/game, 67.2 min. total, 741.4 MB
justness_pawing v19 1232 games, 2675348 moves, e=0.010, loss: 175.4, -, 15.8% elo% vs. simple_bot, avg. reward: 3.804, 4.977 sec/game, 67.3 min. total, 741.1 MB
justness_pawing v19 1233 games, 2677839 moves, e=0.010, loss: 177.8, -, 15.4% elo% vs. simple_bot, avg. reward: 3.798, 4.984 sec/game, 67.3 min. total, 739.5 MB
justness_pawing v19 1234 games, 2680342 moves, e=0.010, loss: 189.6, -, 15.1% elo% vs. simple_bot, avg. reward: 3.793, 4.986 sec/game, 67.4 min. total, 738.6 MB
justness_pawing v19 1235 games, 2682759 moves, e=0.010, loss: 190.9, -, 14.7% elo% vs. simple_bot, avg. reward: 3.787, 4.985 sec/game, 67.5 min. total, 737.5 MB
justness_pawing v19 1236 games, 2685214 moves, e=0.010, loss: 179.8, -, 14.4% elo% vs. simple_bot, avg. reward: 3.784, 4.980 sec/game, 67.6 min. total, 735.5 MB
justness_pawing v19 1237 games, 2687605 moves, e=0.010, loss: 185.4, -, 14.0% elo% vs. simple_bot, avg. reward: 3.777, 4.988 sec/game, 67.7 min. total, 733.0 MB
justness_pawing v19 1238 games, 2690092 moves, e=0.010, loss: 178.7, -, 13.7% elo% vs. simple_bot, avg. reward: 3.772, 4.982 sec/game, 67.7 min. total, 733.1 MB
justness_pawing v19 1239 games, 2692578 moves, e=0.010, loss: 194.5, -, 13.4% elo% vs. simple_bot, avg. reward: 3.766, 4.991 sec/game, 67.8 min. total, 733.1 MB
justness_pawing v19 1240 games, 2695125 moves, e=0.010, loss: 185.5, -, 13.1% elo% vs. simple_bot, avg. reward: 3.760, 4.994 sec/game, 67.9 min. total, 735.7 MB
justness_pawing v19 1241 games, 2697671 moves, e=0.010, loss: 211.4, -, 12.9% elo% vs. simple_bot, avg. reward: 3.754, 4.995 sec/game, 68.0 min. total, 736.8 MB
justness_pawing v19 1242 games, 2700320 moves, e=0.010, loss: 213.1, -, 12.6% elo% vs. simple_bot, avg. reward: 3.748, 5.015 sec/game, 68.1 min. total, 738.6 MB
justness_pawing v19 1243 games, 2703012 moves, e=0.010, loss: 230.3, -, 12.4% elo% vs. simple_bot, avg. reward: 3.743, 5.036 sec/game, 68.2 min. total, 742.2 MB
justness_pawing v19 1244 games, 2705622 moves, e=0.010, loss: 197.3, -, 12.1% elo% vs. simple_bot, avg. reward: 3.735, 5.044 sec/game, 68.3 min. total, 744.4 MB
justness_pawing v19 1245 games, 2708241 moves, e=0.010, loss: 188.6, -, 11.9% elo% vs. simple_bot, avg. reward: 3.731, 5.045 sec/game, 68.3 min. total, 746.9 MB
justness_pawing v19 1246 games, 2710875 moves, e=0.010, loss: 179.1, -, 11.7% elo% vs. simple_bot, avg. reward: 3.727, 5.036 sec/game, 68.4 min. total, 746.7 MB
justness_pawing v19 1247 games, 2713292 moves, e=0.010, loss: 201.0, -, 11.4% elo% vs. simple_bot, avg. reward: 3.718, 5.016 sec/game, 68.5 min. total, 743.7 MB
justness_pawing v19 1248 games, 2715661 moves, e=0.010, loss: 222.0, -, 11.2% elo% vs. simple_bot, avg. reward: 3.711, 4.993 sec/game, 68.6 min. total, 741.2 MB
justness_pawing v19 1249 games, 2717989 moves, e=0.010, loss: 226.0, -, 11.0% elo% vs. simple_bot, avg. reward: 3.698, 4.946 sec/game, 68.7 min. total, 740.3 MB
justness_pawing v19 1250 games, 2720459 moves, e=0.010, loss: 252.9, -, 10.8% elo% vs. simple_bot, avg. reward: 3.688, 4.935 sec/game, 68.7 min. total, 738.3 MB
justness_pawing v19 1251 games, 2722938 moves, e=0.010, loss: 261.2, -, 10.6% elo% vs. simple_bot, avg. reward: 3.677, 4.921 sec/game, 68.8 min. total, 738.7 MB
justness_pawing v19 1252 games, 2725543 moves, e=0.010, loss: 283.3, -, 10.4% elo% vs. simple_bot, avg. reward: 3.668, 4.924 sec/game, 68.9 min. total, 741.2 MB
justness_pawing v19 1253 games, 2728038 moves, e=0.010, loss: 309.5, -, 10.3% elo% vs. simple_bot, avg. reward: 3.658, 4.914 sec/game, 69.0 min. total, 743.3 MB
justness_pawing v19 1254 games, 2730582 moves, e=0.010, loss: 332.3, -, 10.1% elo% vs. simple_bot, avg. reward: 3.649, 4.920 sec/game, 69.1 min. total, 744.2 MB
justness_pawing v19 1255 games, 2733254 moves, e=0.010, loss: 277.2, -, 9.9% elo% vs. simple_bot, avg. reward: 3.640, 4.944 sec/game, 69.2 min. total, 745.9 MB
justness_pawing v19 1256 games, 2736009 moves, e=0.010, loss: 272.1, -, 9.8% elo% vs. simple_bot, avg. reward: 3.632, 4.974 sec/game, 69.2 min. total, 746.8 MB
justness_pawing v19 1257 games, 2738561 moves, e=0.010, loss: 213.1, -, 9.6% elo% vs. simple_bot, avg. reward: 3.621, 4.989 sec/game, 69.3 min. total, 750.1 MB
justness_pawing v19 1258 games, 2741122 moves, e=0.010, loss: 217.3, -, 9.5% elo% vs. simple_bot, avg. reward: 3.612, 4.998 sec/game, 69.4 min. total, 751.0 MB
justness_pawing v19 1259 games, 2743523 moves, e=0.010, loss: 215.8, -, 9.3% elo% vs. simple_bot, avg. reward: 3.599, 4.975 sec/game, 69.5 min. total, 749.0 MB
justness_pawing v19 1260 games, 2745972 moves, e=0.010, loss: 255.5, -, 9.2% elo% vs. simple_bot, avg. reward: 3.590, 4.967 sec/game, 69.6 min. total, 746.3 MB
justness_pawing v19 1261 games, 2748426 moves, e=0.010, loss: 279.9, -, 9.0% elo% vs. simple_bot, avg. reward: 3.580, 4.962 sec/game, 69.6 min. total, 746.2 MB
justness_pawing v19 1262 games, 2750792 moves, e=0.010, loss: 299.8, -, 8.9% elo% vs. simple_bot, avg. reward: 3.566, 4.931 sec/game, 69.7 min. total, 745.2 MB
justness_pawing v19 1263 games, 2753294 moves, e=0.010, loss: 265.5, -, 8.8% elo% vs. simple_bot, avg. reward: 3.557, 4.920 sec/game, 69.8 min. total, 746.9 MB
justness_pawing v19 1264 games, 2755884 moves, e=0.010, loss: 266.3, -, 8.6% elo% vs. simple_bot, avg. reward: 3.548, 4.921 sec/game, 69.9 min. total, 749.0 MB
justness_pawing v19 1265 games, 2758399 moves, e=0.010, loss: 279.4, -, 8.5% elo% vs. simple_bot, avg. reward: 3.536, 4.899 sec/game, 70.0 min. total, 750.4 MB
justness_pawing v19 1266 games, 2761045 moves, e=0.010, loss: 230.1, -, 8.4% elo% vs. simple_bot, avg. reward: 3.530, 4.910 sec/game, 70.1 min. total, 753.8 MB
justness_pawing v19 1267 games, 2763521 moves, e=0.010, loss: 281.8, -, 8.3% elo% vs. simple_bot, avg. reward: 3.521, 4.919 sec/game, 70.1 min. total, 754.0 MB
justness_pawing v19 1268 games, 2766025 moves, e=0.010, loss: 269.0, -, 8.1% elo% vs. simple_bot, avg. reward: 3.515, 4.918 sec/game, 70.2 min. total, 753.1 MB
justness_pawing v19 1269 games, 2768574 moves, e=0.010, loss: 271.2, -, 8.0% elo% vs. simple_bot, avg. reward: 3.510, 4.941 sec/game, 70.3 min. total, 752.1 MB
justness_pawing v19 1270 games, 2771020 moves, e=0.010, loss: 263.2, -, 7.9% elo% vs. simple_bot, avg. reward: 3.503, 4.938 sec/game, 70.4 min. total, 752.2 MB
justness_pawing v19 1271 games, 2773625 moves, e=0.010, loss: 277.2, -, 7.8% elo% vs. simple_bot, avg. reward: 3.499, 4.960 sec/game, 70.5 min. total, 751.8 MB
justness_pawing v19 1272 games, 2776235 moves, e=0.010, loss: 246.5, -, 7.7% elo% vs. simple_bot, avg. reward: 3.495, 4.959 sec/game, 70.6 min. total, 753.0 MB
justness_pawing v19 1273 games, 2778675 moves, e=0.010, loss: 214.6, -, 7.6% elo% vs. simple_bot, avg. reward: 3.491, 4.961 sec/game, 70.6 min. total, 752.6 MB
justness_pawing v19 1274 games, 2781220 moves, e=0.010, loss: 223.0, -, 7.5% elo% vs. simple_bot, avg. reward: 3.489, 4.952 sec/game, 70.7 min. total, 754.5 MB
justness_pawing v19 1275 games, 2783617 moves, e=0.010, loss: 243.6, -, 7.4% elo% vs. simple_bot, avg. reward: 3.485, 4.927 sec/game, 70.8 min. total, 754.1 MB
justness_pawing v19 1276 games, 2786011 moves, e=0.010, loss: 284.1, -, 7.3% elo% vs. simple_bot, avg. reward: 3.478, 4.887 sec/game, 70.9 min. total, 754.0 MB
justness_pawing v19 1277 games, 2788622 moves, e=0.010, loss: 285.3, -, 7.2% elo% vs. simple_bot, avg. reward: 3.479, 4.898 sec/game, 71.0 min. total, 754.6 MB
justness_pawing v19 1278 games, 2791308 moves, e=0.010, loss: 263.8, -, 7.2% elo% vs. simple_bot, avg. reward: 3.477, 4.902 sec/game, 71.0 min. total, 756.4 MB
justness_pawing v19 1279 games, 2793972 moves, e=0.010, loss: 242.3, -, 7.1% elo% vs. simple_bot, avg. reward: 3.474, 4.929 sec/game, 71.1 min. total, 760.7 MB
justness_pawing v19 1280 games, 2796850 moves, e=0.010, loss: 240.0, -, 7.0% elo% vs. simple_bot, avg. reward: 3.473, 4.969 sec/game, 71.2 min. total, 764.4 MB
justness_pawing v19 1281 games, 2799499 moves, e=0.010, loss: 237.1, -, 6.9% elo% vs. simple_bot, avg. reward: 3.470, 4.978 sec/game, 71.3 min. total, 764.6 MB
justness_pawing v19 1282 games, 2802098 moves, e=0.010, loss: 237.1, -, 6.8% elo% vs. simple_bot, avg. reward: 3.471, 5.002 sec/game, 71.4 min. total, 765.2 MB
justness_pawing v19 1283 games, 2804709 moves, e=0.010, loss: 274.4, -, 6.7% elo% vs. simple_bot, avg. reward: 3.470, 5.005 sec/game, 71.5 min. total, 766.4 MB
justness_pawing v19 1284 games, 2807344 moves, e=0.010, loss: 274.9, -, 6.7% elo% vs. simple_bot, avg. reward: 3.472, 5.015 sec/game, 71.6 min. total, 764.7 MB
justness_pawing v19 1285 games, 2809909 moves, e=0.010, loss: 297.5, -, 6.6% elo% vs. simple_bot, avg. reward: 3.474, 5.026 sec/game, 71.6 min. total, 763.9 MB
justness_pawing v19 1286 games, 2812514 moves, e=0.010, loss: 298.5, -, 6.5% elo% vs. simple_bot, avg. reward: 3.476, 5.014 sec/game, 71.7 min. total, 764.3 MB
justness_pawing v19 1287 games, 2814962 moves, e=0.010, loss: 278.4, -, 6.4% elo% vs. simple_bot, avg. reward: 3.477, 5.004 sec/game, 71.8 min. total, 763.8 MB
justness_pawing v19 1288 games, 2817462 moves, e=0.010, loss: 335.4, -, 6.4% elo% vs. simple_bot, avg. reward: 3.476, 5.023 sec/game, 71.9 min. total, 762.1 MB
justness_pawing v19 1289 games, 2819897 moves, e=0.010, loss: 363.2, -, 6.3% elo% vs. simple_bot, avg. reward: 3.475, 5.012 sec/game, 72.0 min. total, 761.3 MB
justness_pawing v19 1290 games, 2822339 moves, e=0.010, loss: 392.8, -, 6.2% elo% vs. simple_bot, avg. reward: 3.474, 5.006 sec/game, 72.1 min. total, 760.1 MB
justness_pawing v19 1291 games, 2824827 moves, e=0.010, loss: 386.3, -, 6.2% elo% vs. simple_bot, avg. reward: 3.473, 5.001 sec/game, 72.1 min. total, 762.7 MB
justness_pawing v19 1292 games, 2827735 moves, e=0.010, loss: 337.1, -, 6.1% elo% vs. simple_bot, avg. reward: 3.475, 5.034 sec/game, 72.2 min. total, 766.8 MB
justness_pawing v19 1293 games, 2830227 moves, e=0.010, loss: 311.9, -, 6.0% elo% vs. simple_bot, avg. reward: 3.473, 5.044 sec/game, 72.3 min. total, 767.6 MB
justness_pawing v19 1294 games, 2832747 moves, e=0.010, loss: 348.1, -, 6.0% elo% vs. simple_bot, avg. reward: 3.468, 5.038 sec/game, 72.4 min. total, 768.9 MB
justness_pawing v19 1295 games, 2835129 moves, e=0.010, loss: 407.1, -, 5.9% elo% vs. simple_bot, avg. reward: 3.463, 5.037 sec/game, 72.5 min. total, 768.3 MB
justness_pawing v19 1296 games, 2837588 moves, e=0.010, loss: 400.7, -, 5.8% elo% vs. simple_bot, avg. reward: 3.458, 5.048 sec/game, 72.6 min. total, 765.5 MB
justness_pawing v19 1297 games, 2840127 moves, e=0.010, loss: 490.2, -, 5.8% elo% vs. simple_bot, avg. reward: 3.453, 5.037 sec/game, 72.6 min. total, 764.9 MB
justness_pawing v19 1298 games, 2842559 moves, e=0.010, loss: 514.6, -, 5.7% elo% vs. simple_bot, avg. reward: 3.449, 5.020 sec/game, 72.7 min. total, 764.8 MB
justness_pawing v19 1299 games, 2844965 moves, e=0.010, loss: 554.5, -, 5.7% elo% vs. simple_bot, avg. reward: 3.447, 5.003 sec/game, 72.8 min. total, 764.7 MB
justness_pawing v19 1300 games, 2847284 moves, e=0.010, loss: 561.7, -, 5.6% elo% vs. simple_bot, avg. reward: 3.440, 4.946 sec/game, 72.9 min. total, 764.4 MB
justness_pawing v20 1301 games, 2849740 moves, e=0.010, loss: 478.2, -, 47.7% elo% vs. simple_bot, avg. reward: 3.437, 4.936 sec/game, 73.0 min. total, 763.8 MB
justness_pawing v20 1302 games, 2852207 moves, e=0.010, loss: 506.7, -, 45.5% elo% vs. simple_bot, avg. reward: 3.433, 4.919 sec/game, 73.0 min. total, 764.0 MB
justness_pawing v20 1303 games, 2854680 moves, e=0.010, loss: 565.1, -, 43.4% elo% vs. simple_bot, avg. reward: 3.427, 4.927 sec/game, 73.1 min. total, 765.2 MB
justness_pawing v20 1304 games, 2857134 moves, e=0.010, loss: 489.8, -, 41.5% elo% vs. simple_bot, avg. reward: 3.422, 4.906 sec/game, 73.2 min. total, 766.1 MB
justness_pawing v20 1305 games, 2859649 moves, e=0.010, loss: 477.8, -, 39.6% elo% vs. simple_bot, avg. reward: 3.417, 4.909 sec/game, 73.3 min. total, 770.0 MB
justness_pawing v20 1306 games, 2862248 moves, e=0.010, loss: 525.0, -, 37.9% elo% vs. simple_bot, avg. reward: 3.413, 4.909 sec/game, 73.4 min. total, 771.6 MB
justness_pawing v20 1307 games, 2864690 moves, e=0.010, loss: 474.0, -, 36.3% elo% vs. simple_bot, avg. reward: 3.411, 4.907 sec/game, 73.4 min. total, 770.9 MB
justness_pawing v20 1308 games, 2867015 moves, e=0.010, loss: 456.2, -, 34.8% elo% vs. simple_bot, avg. reward: 3.407, 4.875 sec/game, 73.5 min. total, 769.9 MB
justness_pawing v20 1309 games, 2869464 moves, e=0.010, loss: 474.4, -, 33.3% elo% vs. simple_bot, avg. reward: 3.405, 4.875 sec/game, 73.6 min. total, 770.0 MB
justness_pawing v20 1310 games, 2872035 moves, e=0.010, loss: 493.4, -, 32.0% elo% vs. simple_bot, avg. reward: 3.406, 4.890 sec/game, 73.7 min. total, 772.8 MB
justness_pawing v20 1311 games, 2874378 moves, e=0.010, loss: 598.1, -, 30.7% elo% vs. simple_bot, avg. reward: 3.402, 4.872 sec/game, 73.8 min. total, 771.4 MB
justness_pawing v20 1312 games, 2876753 moves, e=0.010, loss: 706.1, -, 29.5% elo% vs. simple_bot, avg. reward: 3.398, 4.811 sec/game, 73.8 min. total, 774.0 MB
justness_pawing v20 1313 games, 2879051 moves, e=0.010, loss: 667.0, -, 28.4% elo% vs. simple_bot, avg. reward: 3.393, 4.797 sec/game, 73.9 min. total, 772.7 MB
justness_pawing v20 1314 games, 2881468 moves, e=0.010, loss: 764.7, -, 27.3% elo% vs. simple_bot, avg. reward: 3.393, 4.798 sec/game, 74.0 min. total, 770.8 MB
justness_pawing v20 1315 games, 2883914 moves, e=0.010, loss: 714.1, -, 26.4% elo% vs. simple_bot, avg. reward: 3.391, 4.807 sec/game, 74.1 min. total, 771.1 MB
justness_pawing v20 1316 games, 2886306 moves, e=0.010, loss: 725.3, -, 25.4% elo% vs. simple_bot, avg. reward: 3.390, 4.804 sec/game, 74.2 min. total, 769.4 MB
justness_pawing v20 1317 games, 2888825 moves, e=0.010, loss: 648.4, -, 24.5% elo% vs. simple_bot, avg. reward: 3.393, 4.792 sec/game, 74.2 min. total, 770.5 MB
justness_pawing v20 1318 games, 2891221 moves, e=0.010, loss: 556.1, -, 23.7% elo% vs. simple_bot, avg. reward: 3.391, 4.787 sec/game, 74.3 min. total, 771.7 MB
justness_pawing v20 1319 games, 2893537 moves, e=0.010, loss: 570.4, -, 22.9% elo% vs. simple_bot, avg. reward: 3.387, 4.778 sec/game, 74.4 min. total, 773.8 MB
justness_pawing v20 1320 games, 2895958 moves, e=0.010, loss: 619.0, -, 22.2% elo% vs. simple_bot, avg. reward: 3.385, 4.789 sec/game, 74.5 min. total, 774.1 MB
justness_pawing v20 1321 games, 2898333 moves, e=0.010, loss: 549.5, -, 21.5% elo% vs. simple_bot, avg. reward: 3.379, 4.781 sec/game, 74.5 min. total, 774.3 MB
justness_pawing v20 1322 games, 2900811 moves, e=0.010, loss: 518.9, -, 20.8% elo% vs. simple_bot, avg. reward: 3.378, 4.781 sec/game, 74.6 min. total, 773.8 MB
justness_pawing v20 1323 games, 2903271 moves, e=0.010, loss: 502.5, -, 20.2% elo% vs. simple_bot, avg. reward: 3.377, 4.759 sec/game, 74.7 min. total, 774.6 MB
justness_pawing v20 1324 games, 2905731 moves, e=0.010, loss: 394.2, -, 19.6% elo% vs. simple_bot, avg. reward: 3.376, 4.760 sec/game, 74.8 min. total, 774.5 MB
justness_pawing v20 1325 games, 2908228 moves, e=0.010, loss: 442.0, -, 19.1% elo% vs. simple_bot, avg. reward: 3.375, 4.768 sec/game, 74.9 min. total, 776.4 MB
justness_pawing v20 1326 games, 2910861 moves, e=0.010, loss: 516.6, -, 18.5% elo% vs. simple_bot, avg. reward: 3.371, 4.779 sec/game, 75.0 min. total, 779.5 MB
justness_pawing v20 1327 games, 2913305 moves, e=0.010, loss: 421.5, -, 18.0% elo% vs. simple_bot, avg. reward: 3.371, 4.781 sec/game, 75.0 min. total, 780.4 MB
justness_pawing v20 1328 games, 2915795 moves, e=0.010, loss: 496.2, -, 17.5% elo% vs. simple_bot, avg. reward: 3.368, 4.795 sec/game, 75.1 min. total, 780.9 MB
justness_pawing v20 1329 games, 2918188 moves, e=0.010, loss: 454.5, -, 17.1% elo% vs. simple_bot, avg. reward: 3.361, 4.790 sec/game, 75.2 min. total, 780.3 MB
justness_pawing v20 1330 games, 2920594 moves, e=0.010, loss: 443.2, -, 16.6% elo% vs. simple_bot, avg. reward: 3.359, 4.779 sec/game, 75.3 min. total, 777.7 MB
justness_pawing v20 1331 games, 2923127 moves, e=0.010, loss: 439.7, -, 16.2% elo% vs. simple_bot, avg. reward: 3.357, 4.787 sec/game, 75.4 min. total, 781.6 MB
