zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v2 65 games, 46671 moves, e=0.954, loss: 9828281.3, +, 61.7% elo% vs. guard_bot, avg. reward: 1320.924, 1.428 sec/game, 1.3 min. total, 437.5 MB
zoology_jogging v2 66 games, 47289 moves, e=0.953, loss: 10216306.5, +, 63.3% elo% vs. guard_bot, avg. reward: 1310.529, 1.426 sec/game, 1.4 min. total, 438.9 MB
zoology_jogging v2 67 games, 48108 moves, e=0.952, loss: 10249868.1, ., 62.8% elo% vs. guard_bot, avg. reward: 1315.824, 1.437 sec/game, 1.4 min. total, 439.3 MB
zoology_jogging v2 68 games, 48876 moves, e=0.952, loss: 10716759.2, +, 64.4% elo% vs. guard_bot, avg. reward: 1315.445, 1.440 sec/game, 1.4 min. total, 439.9 MB
zoology_jogging v2 69 games, 49685 moves, e=0.951, loss: 10915111.4, +, 65.8% elo% vs. guard_bot, avg. reward: 1327.905, 1.439 sec/game, 1.4 min. total, 439.9 MB
zoology_jogging v2 70 games, 50484 moves, e=0.950, loss: 11517275.5, +, 67.2% elo% vs. guard_bot, avg. reward: 1318.320, 1.450 sec/game, 1.5 min. total, 440.0 MB
zoology_jogging v2 71 games, 51251 moves, e=0.949, loss: 11560151.6, +, 68.6% elo% vs. guard_bot, avg. reward: 1318.773, 1.451 sec/game, 1.5 min. total, 440.0 MB
zoology_jogging v2 72 games, 52092 moves, e=0.948, loss: 11337924.6, +, 69.8% elo% vs. guard_bot, avg. reward: 1317.521, 1.462 sec/game, 1.5 min. total, 439.9 MB
zoology_jogging v2 73 games, 52776 moves, e=0.948, loss: 11243379.7, +, 71.0% elo% vs. guard_bot, avg. reward: 1324.970, 1.470 sec/game, 1.5 min. total, 439.5 MB
zoology_jogging v3 74 games, 53493 moves, e=0.947, loss: 11782356.9, -, 49.9% elo% vs. random_no_suicide, avg. reward: 1322.007, 1.471 sec/game, 1.6 min. total, 441.1 MB
zoology_jogging v3 75 games, 54150 moves, e=0.946, loss: 12071059.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: 1316.125, 1.475 sec/game, 1.6 min. total, 440.6 MB
zoology_jogging v3 76 games, 54933 moves, e=0.946, loss: 12159676.8, -, 45.4% elo% vs. random_no_suicide, avg. reward: 1320.644, 1.477 sec/game, 1.6 min. total, 441.9 MB
zoology_jogging v3 77 games, 55663 moves, e=0.945, loss: 12284040.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 1337.933, 1.479 sec/game, 1.6 min. total, 442.8 MB
zoology_jogging v3 78 games, 56345 moves, e=0.944, loss: 12918370.7, -, 41.4% elo% vs. random_no_suicide, avg. reward: 1337.198, 1.488 sec/game, 1.7 min. total, 445.3 MB
zoology_jogging v3 79 games, 57147 moves, e=0.943, loss: 12867749.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 1330.664, 1.506 sec/game, 1.7 min. total, 444.4 MB
zoology_jogging v3 80 games, 57862 moves, e=0.943, loss: 13447843.8, -, 37.8% elo% vs. random_no_suicide, avg. reward: 1324.318, 1.493 sec/game, 1.7 min. total, 445.1 MB
zoology_jogging v3 81 games, 58691 moves, e=0.942, loss: 12928694.9, -, 36.2% elo% vs. random_no_suicide, avg. reward: 1317.325, 1.505 sec/game, 1.8 min. total, 444.5 MB
zoology_jogging v3 82 games, 59449 moves, e=0.941, loss: 12946369.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: 1311.194, 1.516 sec/game, 1.8 min. total, 445.0 MB
zoology_jogging v3 83 games, 60079 moves, e=0.941, loss: 12452347.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1317.786, 1.505 sec/game, 1.8 min. total, 445.2 MB
zoology_jogging v3 84 games, 60761 moves, e=0.940, loss: 12511559.8, -, 31.9% elo% vs. random_no_suicide, avg. reward: 1310.158, 1.505 sec/game, 1.8 min. total, 445.4 MB
zoology_jogging v3 85 games, 61427 moves, e=0.939, loss: 12252639.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: 1308.233, 1.494 sec/game, 1.8 min. total, 444.9 MB
zoology_jogging v3 86 games, 62129 moves, e=0.938, loss: 12285118.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1299.855, 1.506 sec/game, 1.9 min. total, 445.3 MB
zoology_jogging v3 87 games, 62832 moves, e=0.938, loss: 12169071.0, -, 28.3% elo% vs. random_no_suicide, avg. reward: 1309.219, 1.496 sec/game, 1.9 min. total, 444.9 MB
zoology_jogging v3 88 games, 63579 moves, e=0.937, loss: 12098934.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1303.599, 1.502 sec/game, 1.9 min. total, 446.1 MB
zoology_jogging v3 89 games, 64452 moves, e=0.936, loss: 12126016.2, -, 26.3% elo% vs. random_no_suicide, avg. reward: 1299.230, 1.504 sec/game, 1.9 min. total, 446.6 MB
zoology_jogging v3 90 games, 65204 moves, e=0.935, loss: 12207959.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1299.179, 1.505 sec/game, 2.0 min. total, 446.8 MB
zoology_jogging v3 91 games, 65968 moves, e=0.935, loss: 11554649.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1293.100, 1.506 sec/game, 2.0 min. total, 447.4 MB
zoology_jogging v3 92 games, 66701 moves, e=0.934, loss: 11192740.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1297.277, 1.503 sec/game, 2.0 min. total, 447.6 MB
zoology_jogging v3 93 games, 67479 moves, e=0.933, loss: 11063575.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1295.682, 1.505 sec/game, 2.0 min. total, 447.0 MB
zoology_jogging v3 94 games, 68209 moves, e=0.932, loss: 11438854.8, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1291.872, 1.509 sec/game, 2.1 min. total, 447.6 MB
zoology_jogging v3 95 games, 68957 moves, e=0.932, loss: 11580105.1, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1286.645, 1.505 sec/game, 2.1 min. total, 447.6 MB
zoology_jogging v3 96 games, 69658 moves, e=0.931, loss: 11538383.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1309.034, 1.503 sec/game, 2.1 min. total, 447.5 MB
zoology_jogging v3 97 games, 70282 moves, e=0.930, loss: 11675100.0, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1304.116, 1.501 sec/game, 2.1 min. total, 447.8 MB
zoology_jogging v3 98 games, 70935 moves, e=0.930, loss: 11696110.8, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1301.658, 1.487 sec/game, 2.2 min. total, 447.9 MB
zoology_jogging v3 99 games, 71741 moves, e=0.929, loss: 12361278.4, -, 19.0% elo% vs. random_no_suicide, avg. reward: 1299.699, 1.481 sec/game, 2.2 min. total, 448.9 MB
zoology_jogging v3 100 games, 72439 moves, e=0.928, loss: 12674738.2, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1323.238, 1.474 sec/game, 2.2 min. total, 450.1 MB
zoology_jogging v3 101 games, 73275 moves, e=0.927, loss: 12862436.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1326.903, 1.478 sec/game, 2.2 min. total, 450.7 MB
zoology_jogging v3 102 games, 73945 moves, e=0.927, loss: 13009497.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1328.181, 1.471 sec/game, 2.3 min. total, 450.9 MB
zoology_jogging v3 103 games, 74637 moves, e=0.926, loss: 13672429.5, -, 17.0% elo% vs. random_no_suicide, avg. reward: 1342.857, 1.483 sec/game, 2.3 min. total, 451.2 MB
zoology_jogging v3 104 games, 75349 moves, e=0.925, loss: 14280913.3, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1336.929, 1.486 sec/game, 2.3 min. total, 451.4 MB
zoology_jogging v3 105 games, 76100 moves, e=0.925, loss: 14325764.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1336.590, 1.499 sec/game, 2.3 min. total, 451.3 MB
zoology_jogging v3 106 games, 76829 moves, e=0.924, loss: 14486480.7, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1344.468, 1.501 sec/game, 2.4 min. total, 450.8 MB
