zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v4 287 games, 221907 moves, e=0.780, loss: 20487606.8, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1356.919, 1.903 sec/game, 7.6 min. total, 496.5 MB
zoology_jogging v4 288 games, 222687 moves, e=0.780, loss: 20091056.7, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1372.150, 1.901 sec/game, 7.6 min. total, 496.2 MB
zoology_jogging v4 289 games, 223644 moves, e=0.779, loss: 20982362.6, -, 6.3% elo% vs. random_no_suicide, avg. reward: 1374.462, 1.923 sec/game, 7.6 min. total, 496.5 MB
zoology_jogging v4 290 games, 224568 moves, e=0.778, loss: 21128802.7, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1373.967, 1.937 sec/game, 7.7 min. total, 496.9 MB
zoology_jogging v4 291 games, 225537 moves, e=0.777, loss: 22479771.5, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1386.032, 1.959 sec/game, 7.7 min. total, 497.3 MB
zoology_jogging v4 292 games, 226349 moves, e=0.776, loss: 22171015.4, -, 6.1% elo% vs. random_no_suicide, avg. reward: 1383.012, 1.938 sec/game, 7.7 min. total, 497.4 MB
zoology_jogging v4 293 games, 227268 moves, e=0.775, loss: 21928322.5, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1373.446, 1.921 sec/game, 7.8 min. total, 497.5 MB
zoology_jogging v4 294 games, 228072 moves, e=0.774, loss: 21754905.3, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1383.708, 1.919 sec/game, 7.8 min. total, 497.5 MB
zoology_jogging v4 295 games, 228998 moves, e=0.773, loss: 22320822.6, -, 5.9% elo% vs. random_no_suicide, avg. reward: 1391.150, 1.922 sec/game, 7.8 min. total, 497.7 MB
zoology_jogging v4 296 games, 229818 moves, e=0.772, loss: 21973956.6, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1385.805, 1.924 sec/game, 7.9 min. total, 497.6 MB
zoology_jogging v4 297 games, 230661 moves, e=0.772, loss: 21108061.2, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1380.398, 1.923 sec/game, 7.9 min. total, 497.7 MB
zoology_jogging v4 298 games, 231475 moves, e=0.771, loss: 19786436.2, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1379.308, 1.920 sec/game, 7.9 min. total, 499.0 MB
zoology_jogging v4 299 games, 232354 moves, e=0.770, loss: 20047684.7, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1379.729, 1.922 sec/game, 8.0 min. total, 499.2 MB
zoology_jogging v4 300 games, 233029 moves, e=0.769, loss: 19143845.7, -, 5.6% elo% vs. random_no_suicide, avg. reward: 1415.541, 1.889 sec/game, 8.0 min. total, 499.7 MB
zoology_jogging v5 301 games, 233894 moves, e=0.768, loss: 20559864.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: 1420.546, 1.894 sec/game, 8.0 min. total, 499.8 MB
zoology_jogging v5 302 games, 234831 moves, e=0.768, loss: 19490773.4, -, 45.5% elo% vs. random_no_suicide, avg. reward: 1399.524, 1.908 sec/game, 8.0 min. total, 499.8 MB
zoology_jogging v5 303 games, 235756 moves, e=0.767, loss: 19915602.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: 1401.438, 1.900 sec/game, 8.1 min. total, 499.8 MB
zoology_jogging v5 304 games, 236511 moves, e=0.766, loss: 20187994.0, -, 41.5% elo% vs. random_no_suicide, avg. reward: 1392.748, 1.895 sec/game, 8.1 min. total, 500.5 MB
zoology_jogging v5 305 games, 237333 moves, e=0.765, loss: 21063068.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: 1387.659, 1.902 sec/game, 8.1 min. total, 500.5 MB
zoology_jogging v5 306 games, 238116 moves, e=0.764, loss: 20194402.2, -, 37.9% elo% vs. random_no_suicide, avg. reward: 1376.738, 1.891 sec/game, 8.2 min. total, 500.5 MB
zoology_jogging v5 307 games, 238978 moves, e=0.763, loss: 20747923.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: 1393.419, 1.904 sec/game, 8.2 min. total, 501.5 MB
zoology_jogging v5 308 games, 239952 moves, e=0.762, loss: 20156146.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: 1398.569, 1.912 sec/game, 8.2 min. total, 502.5 MB
zoology_jogging v5 309 games, 240783 moves, e=0.762, loss: 20605609.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1384.777, 1.906 sec/game, 8.3 min. total, 503.0 MB
zoology_jogging v5 310 games, 241618 moves, e=0.761, loss: 20778614.8, -, 32.0% elo% vs. random_no_suicide, avg. reward: 1403.293, 1.894 sec/game, 8.3 min. total, 502.8 MB
zoology_jogging v5 311 games, 242474 moves, e=0.760, loss: 20591424.8, -, 30.7% elo% vs. random_no_suicide, avg. reward: 1374.286, 1.883 sec/game, 8.3 min. total, 503.0 MB
zoology_jogging v5 312 games, 243326 moves, e=0.759, loss: 21525709.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1377.139, 1.884 sec/game, 8.4 min. total, 502.4 MB
zoology_jogging v5 313 games, 244168 moves, e=0.758, loss: 21029265.9, -, 28.4% elo% vs. random_no_suicide, avg. reward: 1365.938, 1.873 sec/game, 8.4 min. total, 502.8 MB
zoology_jogging v5 314 games, 244932 moves, e=0.758, loss: 21080314.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1364.288, 1.874 sec/game, 8.4 min. total, 502.9 MB
zoology_jogging v5 315 games, 245757 moves, e=0.757, loss: 20719773.3, -, 26.4% elo% vs. random_no_suicide, avg. reward: 1362.362, 1.853 sec/game, 8.5 min. total, 503.1 MB
zoology_jogging v5 316 games, 246579 moves, e=0.756, loss: 19774223.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1364.559, 1.865 sec/game, 8.5 min. total, 503.2 MB
zoology_jogging v5 317 games, 247416 moves, e=0.755, loss: 19274007.7, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1372.100, 1.858 sec/game, 8.5 min. total, 503.7 MB
zoology_jogging v5 318 games, 248286 moves, e=0.754, loss: 18542075.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1384.170, 1.869 sec/game, 8.5 min. total, 504.9 MB
zoology_jogging v5 319 games, 249299 moves, e=0.753, loss: 19633498.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1374.130, 1.890 sec/game, 8.6 min. total, 505.2 MB
zoology_jogging v5 320 games, 250014 moves, e=0.752, loss: 19608463.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1378.463, 1.901 sec/game, 8.6 min. total, 505.2 MB
zoology_jogging v5 321 games, 250828 moves, e=0.752, loss: 19556078.1, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1374.544, 1.890 sec/game, 8.6 min. total, 505.4 MB
zoology_jogging v5 322 games, 251656 moves, e=0.751, loss: 18563871.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1372.942, 1.887 sec/game, 8.7 min. total, 505.2 MB
zoology_jogging v5 323 games, 252385 moves, e=0.750, loss: 18817689.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1371.153, 1.863 sec/game, 8.7 min. total, 505.2 MB
zoology_jogging v5 324 games, 253359 moves, e=0.749, loss: 19190150.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1386.115, 1.890 sec/game, 8.7 min. total, 505.2 MB
zoology_jogging v5 325 games, 254274 moves, e=0.748, loss: 19589577.9, -, 19.1% elo% vs. random_no_suicide, avg. reward: 1386.778, 1.893 sec/game, 8.8 min. total, 505.6 MB
zoology_jogging v5 326 games, 255139 moves, e=0.747, loss: 20301491.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1392.324, 1.907 sec/game, 8.8 min. total, 505.3 MB
zoology_jogging v5 327 games, 256055 moves, e=0.747, loss: 19772213.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1399.801, 1.915 sec/game, 8.8 min. total, 506.2 MB
zoology_jogging v5 328 games, 256935 moves, e=0.746, loss: 20725936.4, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1398.326, 1.912 sec/game, 8.9 min. total, 507.3 MB
zoology_jogging v5 329 games, 257845 moves, e=0.745, loss: 19667905.6, -, 17.1% elo% vs. random_no_suicide, avg. reward: 1397.105, 1.914 sec/game, 8.9 min. total, 507.4 MB
zoology_jogging v5 330 games, 258701 moves, e=0.744, loss: 19999316.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1386.116, 1.924 sec/game, 8.9 min. total, 507.6 MB
zoology_jogging v5 331 games, 259424 moves, e=0.743, loss: 19536964.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1391.443, 1.902 sec/game, 9.0 min. total, 507.5 MB
zoology_jogging v5 332 games, 260205 moves, e=0.742, loss: 19353485.1, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1391.134, 1.900 sec/game, 9.0 min. total, 507.2 MB
zoology_jogging v5 333 games, 261022 moves, e=0.742, loss: 19198344.9, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1378.240, 1.898 sec/game, 9.0 min. total, 507.6 MB
zoology_jogging v5 334 games, 261740 moves, e=0.741, loss: 18926537.8, -, 15.1% elo% vs. random_no_suicide, avg. reward: 1397.595, 1.887 sec/game, 9.1 min. total, 508.1 MB
zoology_jogging v5 335 games, 262718 moves, e=0.740, loss: 18231000.5, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1412.464, 1.910 sec/game, 9.1 min. total, 508.2 MB
zoology_jogging v5 336 games, 263523 moves, e=0.739, loss: 19140673.9, -, 14.4% elo% vs. random_no_suicide, avg. reward: 1398.205, 1.894 sec/game, 9.1 min. total, 508.1 MB
zoology_jogging v5 337 games, 264376 moves, e=0.738, loss: 19258862.1, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1401.076, 1.903 sec/game, 9.1 min. total, 509.2 MB
zoology_jogging v5 338 games, 265233 moves, e=0.737, loss: 19195139.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1400.783, 1.904 sec/game, 9.2 min. total, 509.5 MB
zoology_jogging v5 339 games, 266113 moves, e=0.737, loss: 18980822.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1395.512, 1.891 sec/game, 9.2 min. total, 510.0 MB
zoology_jogging v5 340 games, 266821 moves, e=0.736, loss: 19351151.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1426.564, 1.884 sec/game, 9.2 min. total, 510.3 MB
zoology_jogging v5 341 games, 267675 moves, e=0.735, loss: 19404562.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1438.641, 1.896 sec/game, 9.3 min. total, 510.1 MB
zoology_jogging v5 342 games, 268571 moves, e=0.734, loss: 20110456.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1449.085, 1.899 sec/game, 9.3 min. total, 510.6 MB
zoology_jogging v5 343 games, 269463 moves, e=0.733, loss: 19851004.8, -, 12.4% elo% vs. random_no_suicide, avg. reward: 1457.031, 1.923 sec/game, 9.3 min. total, 510.7 MB
zoology_jogging v5 344 games, 270314 moves, e=0.732, loss: 20747332.0, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1452.713, 1.902 sec/game, 9.4 min. total, 510.3 MB
zoology_jogging v5 345 games, 271305 moves, e=0.731, loss: 21181464.8, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1460.121, 1.913 sec/game, 9.4 min. total, 512.1 MB
zoology_jogging v5 346 games, 272060 moves, e=0.731, loss: 22726456.2, -, 11.7% elo% vs. random_no_suicide, avg. reward: 1460.008, 1.901 sec/game, 9.4 min. total, 513.2 MB
zoology_jogging v5 347 games, 272869 moves, e=0.730, loss: 21345673.5, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1449.193, 1.881 sec/game, 9.5 min. total, 513.6 MB
zoology_jogging v5 348 games, 273897 moves, e=0.729, loss: 21507713.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1460.516, 1.896 sec/game, 9.5 min. total, 514.5 MB
zoology_jogging v5 349 games, 274731 moves, e=0.728, loss: 21967872.5, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1452.937, 1.887 sec/game, 9.5 min. total, 514.3 MB
zoology_jogging v5 350 games, 275642 moves, e=0.727, loss: 21585521.6, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1447.145, 1.889 sec/game, 9.6 min. total, 514.5 MB
zoology_jogging v5 351 games, 276379 moves, e=0.726, loss: 20838947.3, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1447.909, 1.898 sec/game, 9.6 min. total, 514.5 MB
zoology_jogging v5 352 games, 277329 moves, e=0.725, loss: 20142414.1, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1439.467, 1.914 sec/game, 9.6 min. total, 514.6 MB
zoology_jogging v5 353 games, 278168 moves, e=0.725, loss: 18977906.3, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1432.762, 1.915 sec/game, 9.7 min. total, 514.6 MB
zoology_jogging v5 354 games, 279066 moves, e=0.724, loss: 18938885.5, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1427.304, 1.938 sec/game, 9.7 min. total, 514.7 MB
zoology_jogging v5 355 games, 280017 moves, e=0.723, loss: 17718353.2, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1430.718, 1.929 sec/game, 9.7 min. total, 515.6 MB
zoology_jogging v5 356 games, 280752 moves, e=0.722, loss: 16778416.8, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1425.230, 1.931 sec/game, 9.8 min. total, 516.4 MB
zoology_jogging v5 357 games, 281700 moves, e=0.721, loss: 17709665.7, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1425.861, 1.934 sec/game, 9.8 min. total, 516.6 MB
zoology_jogging v5 358 games, 282585 moves, e=0.720, loss: 17608895.8, -, 9.5% elo% vs. random_no_suicide, avg. reward: 1418.960, 1.935 sec/game, 9.8 min. total, 517.5 MB
zoology_jogging v5 359 games, 283455 moves, e=0.719, loss: 16412463.9, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1414.414, 1.926 sec/game, 9.9 min. total, 517.5 MB
zoology_jogging v5 360 games, 284245 moves, e=0.719, loss: 15885084.0, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1422.655, 1.936 sec/game, 9.9 min. total, 517.7 MB
zoology_jogging v5 361 games, 285228 moves, e=0.718, loss: 17176098.0, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1431.143, 1.948 sec/game, 9.9 min. total, 517.7 MB
zoology_jogging v5 362 games, 286037 moves, e=0.717, loss: 17891272.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1433.609, 1.936 sec/game, 10.0 min. total, 517.3 MB
zoology_jogging v5 363 games, 286818 moves, e=0.716, loss: 17100788.9, -, 8.8% elo% vs. random_no_suicide, avg. reward: 1454.987, 1.923 sec/game, 10.0 min. total, 517.7 MB
zoology_jogging v5 364 games, 287677 moves, e=0.715, loss: 16861409.4, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1460.565, 1.930 sec/game, 10.0 min. total, 517.4 MB
zoology_jogging v5 365 games, 288629 moves, e=0.714, loss: 17823212.4, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1495.362, 1.922 sec/game, 10.0 min. total, 517.7 MB
zoology_jogging v5 366 games, 289526 moves, e=0.713, loss: 21020180.3, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1489.110, 1.945 sec/game, 10.1 min. total, 518.7 MB
zoology_jogging v5 367 games, 290501 moves, e=0.712, loss: 21803268.7, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1482.175, 1.968 sec/game, 10.1 min. total, 518.8 MB
zoology_jogging v5 368 games, 291305 moves, e=0.712, loss: 22200505.4, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1476.717, 1.953 sec/game, 10.2 min. total, 519.4 MB
zoology_jogging v5 369 games, 292201 moves, e=0.711, loss: 21864466.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1448.979, 1.956 sec/game, 10.2 min. total, 519.5 MB
zoology_jogging v5 370 games, 292941 moves, e=0.710, loss: 21713483.5, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1443.422, 1.941 sec/game, 10.2 min. total, 519.5 MB
zoology_jogging v5 371 games, 293876 moves, e=0.709, loss: 21627492.1, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1456.669, 1.959 sec/game, 10.3 min. total, 519.9 MB
zoology_jogging v5 372 games, 294781 moves, e=0.708, loss: 22435270.2, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1459.638, 1.956 sec/game, 10.3 min. total, 520.0 MB
zoology_jogging v5 373 games, 295744 moves, e=0.707, loss: 22853105.4, -, 7.6% elo% vs. random_no_suicide, avg. reward: 1455.064, 1.968 sec/game, 10.3 min. total, 520.0 MB
zoology_jogging v5 374 games, 296732 moves, e=0.706, loss: 22724665.1, -, 7.5% elo% vs. random_no_suicide, avg. reward: 1449.299, 1.981 sec/game, 10.4 min. total, 520.0 MB
zoology_jogging v5 375 games, 297618 moves, e=0.705, loss: 21834318.1, -, 7.4% elo% vs. random_no_suicide, avg. reward: 1432.120, 1.982 sec/game, 10.4 min. total, 520.5 MB
zoology_jogging v5 376 games, 298539 moves, e=0.704, loss: 21261797.0, -, 7.3% elo% vs. random_no_suicide, avg. reward: 1437.280, 1.998 sec/game, 10.4 min. total, 522.3 MB
zoology_jogging v5 377 games, 299390 moves, e=0.704, loss: 19752247.5, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1436.680, 1.988 sec/game, 10.5 min. total, 521.7 MB
zoology_jogging v5 378 games, 300207 moves, e=0.703, loss: 18195818.4, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1451.153, 1.986 sec/game, 10.5 min. total, 522.2 MB
zoology_jogging v5 379 games, 301248 moves, e=0.702, loss: 17990150.2, -, 7.1% elo% vs. random_no_suicide, avg. reward: 1460.269, 2.006 sec/game, 10.5 min. total, 521.9 MB
zoology_jogging v5 380 games, 302143 moves, e=0.701, loss: 17842580.1, -, 7.0% elo% vs. random_no_suicide, avg. reward: 1447.810, 2.019 sec/game, 10.6 min. total, 522.2 MB
zoology_jogging v5 381 games, 303180 moves, e=0.700, loss: 18487241.2, -, 6.9% elo% vs. random_no_suicide, avg. reward: 1414.704, 2.025 sec/game, 10.6 min. total, 522.5 MB
zoology_jogging v5 382 games, 304114 moves, e=0.699, loss: 18203198.4, -, 6.8% elo% vs. random_no_suicide, avg. reward: 1412.592, 2.039 sec/game, 10.6 min. total, 522.4 MB
zoology_jogging v5 383 games, 304978 moves, e=0.698, loss: 17642490.4, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1405.272, 2.054 sec/game, 10.7 min. total, 522.4 MB
zoology_jogging v5 384 games, 305901 moves, e=0.697, loss: 17129160.5, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1421.203, 2.054 sec/game, 10.7 min. total, 522.7 MB
zoology_jogging v5 385 games, 306848 moves, e=0.696, loss: 18357437.3, -, 6.6% elo% vs. random_no_suicide, avg. reward: 1412.101, 2.064 sec/game, 10.7 min. total, 524.8 MB
zoology_jogging v5 386 games, 307791 moves, e=0.695, loss: 19073858.8, -, 6.5% elo% vs. random_no_suicide, avg. reward: 1409.683, 2.061 sec/game, 10.8 min. total, 524.6 MB
zoology_jogging v5 387 games, 308790 moves, e=0.694, loss: 19558206.3, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1415.432, 2.062 sec/game, 10.8 min. total, 524.8 MB
zoology_jogging v5 388 games, 309608 moves, e=0.693, loss: 19927037.6, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1390.320, 2.054 sec/game, 10.8 min. total, 524.8 MB
zoology_jogging v5 389 games, 310405 moves, e=0.693, loss: 19869539.5, -, 6.3% elo% vs. random_no_suicide, avg. reward: 1400.356, 2.053 sec/game, 10.9 min. total, 524.8 MB
zoology_jogging v5 390 games, 311237 moves, e=0.692, loss: 19479043.0, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1416.636, 2.059 sec/game, 10.9 min. total, 524.6 MB
zoology_jogging v5 391 games, 312132 moves, e=0.691, loss: 18956274.4, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1405.719, 2.058 sec/game, 10.9 min. total, 524.8 MB
zoology_jogging v5 392 games, 313064 moves, e=0.690, loss: 19177771.3, -, 6.1% elo% vs. random_no_suicide, avg. reward: 1408.070, 2.060 sec/game, 11.0 min. total, 525.1 MB
zoology_jogging v5 393 games, 313963 moves, e=0.689, loss: 18637481.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1408.809, 2.053 sec/game, 11.0 min. total, 525.3 MB
zoology_jogging v5 394 games, 314931 moves, e=0.688, loss: 18974616.8, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1411.734, 2.052 sec/game, 11.0 min. total, 526.3 MB
zoology_jogging v5 395 games, 315754 moves, e=0.687, loss: 19130543.5, -, 5.9% elo% vs. random_no_suicide, avg. reward: 1418.538, 2.040 sec/game, 11.1 min. total, 527.6 MB
zoology_jogging v5 396 games, 316755 moves, e=0.686, loss: 19372838.5, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1427.363, 2.051 sec/game, 11.1 min. total, 528.5 MB
zoology_jogging v5 397 games, 317656 moves, e=0.686, loss: 19966503.3, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1431.120, 2.060 sec/game, 11.1 min. total, 528.9 MB
zoology_jogging v5 398 games, 318665 moves, e=0.685, loss: 18945851.5, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1439.013, 2.078 sec/game, 11.2 min. total, 528.7 MB
zoology_jogging v5 399 games, 319533 moves, e=0.684, loss: 18825745.5, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1441.379, 2.058 sec/game, 11.2 min. total, 529.0 MB
zoology_jogging v5 400 games, 320374 moves, e=0.683, loss: 19024551.1, -, 5.6% elo% vs. random_no_suicide, avg. reward: 1442.305, 2.049 sec/game, 11.2 min. total, 528.9 MB
zoology_jogging v6 401 games, 321281 moves, e=0.682, loss: 20032556.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: 1444.962, 2.044 sec/game, 11.3 min. total, 528.5 MB
zoology_jogging v6 402 games, 322167 moves, e=0.681, loss: 21108184.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: 1429.814, 2.039 sec/game, 11.3 min. total, 529.1 MB
zoology_jogging v6 403 games, 323129 moves, e=0.680, loss: 21806468.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: 1436.700, 2.049 sec/game, 11.4 min. total, 529.6 MB
zoology_jogging v6 404 games, 324174 moves, e=0.679, loss: 20731148.7, -, 41.5% elo% vs. random_no_suicide, avg. reward: 1446.269, 2.063 sec/game, 11.4 min. total, 530.5 MB
zoology_jogging v6 405 games, 325188 moves, e=0.678, loss: 22160601.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: 1449.719, 2.068 sec/game, 11.4 min. total, 530.8 MB
zoology_jogging v6 406 games, 326154 moves, e=0.677, loss: 22394389.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: 1450.390, 2.074 sec/game, 11.5 min. total, 531.3 MB
zoology_jogging v6 407 games, 327157 moves, e=0.676, loss: 21313442.3, -, 36.3% elo% vs. random_no_suicide, avg. reward: 1449.126, 2.066 sec/game, 11.5 min. total, 531.3 MB
zoology_jogging v6 408 games, 328101 moves, e=0.675, loss: 22383647.6, -, 34.8% elo% vs. random_no_suicide, avg. reward: 1453.052, 2.087 sec/game, 11.5 min. total, 531.5 MB
zoology_jogging v6 409 games, 328979 moves, e=0.674, loss: 23541013.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1489.240, 2.090 sec/game, 11.6 min. total, 531.0 MB
zoology_jogging v6 410 games, 329896 moves, e=0.673, loss: 25047498.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: 1486.973, 2.114 sec/game, 11.6 min. total, 531.4 MB
zoology_jogging v6 411 games, 330818 moves, e=0.672, loss: 25039917.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: 1490.183, 2.115 sec/game, 11.6 min. total, 531.6 MB
zoology_jogging v6 412 games, 331785 moves, e=0.672, loss: 26234525.4, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1477.828, 2.126 sec/game, 11.7 min. total, 531.0 MB
zoology_jogging v6 413 games, 332719 moves, e=0.671, loss: 26287045.5, -, 28.4% elo% vs. random_no_suicide, avg. reward: 1482.048, 2.126 sec/game, 11.7 min. total, 532.4 MB
zoology_jogging v6 414 games, 333568 moves, e=0.670, loss: 25384474.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1485.853, 2.110 sec/game, 11.7 min. total, 533.4 MB
zoology_jogging v6 415 games, 334627 moves, e=0.669, loss: 25202198.1, -, 26.4% elo% vs. random_no_suicide, avg. reward: 1492.838, 2.145 sec/game, 11.8 min. total, 534.0 MB
zoology_jogging v6 416 games, 335567 moves, e=0.668, loss: 25236580.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1502.377, 2.134 sec/game, 11.8 min. total, 534.4 MB
zoology_jogging v6 417 games, 336583 moves, e=0.667, loss: 26085547.9, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1506.908, 2.145 sec/game, 11.9 min. total, 534.6 MB
zoology_jogging v6 418 games, 337664 moves, e=0.666, loss: 26071499.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1487.965, 2.154 sec/game, 11.9 min. total, 534.7 MB
zoology_jogging v6 419 games, 338598 moves, e=0.665, loss: 24717756.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1500.544, 2.156 sec/game, 11.9 min. total, 534.9 MB
zoology_jogging v6 420 games, 339536 moves, e=0.664, loss: 22430589.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1498.355, 2.172 sec/game, 12.0 min. total, 534.9 MB
zoology_jogging v6 421 games, 340390 moves, e=0.663, loss: 22822739.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1498.673, 2.159 sec/game, 12.0 min. total, 535.0 MB
zoology_jogging v6 422 games, 341264 moves, e=0.662, loss: 22406322.3, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1500.009, 2.162 sec/game, 12.0 min. total, 535.9 MB
zoology_jogging v6 423 games, 342244 moves, e=0.661, loss: 22676154.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1521.969, 2.157 sec/game, 12.1 min. total, 536.9 MB
zoology_jogging v6 424 games, 343143 moves, e=0.660, loss: 23190773.7, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1509.082, 2.149 sec/game, 12.1 min. total, 537.8 MB
zoology_jogging v6 425 games, 344174 moves, e=0.659, loss: 24067993.1, -, 19.1% elo% vs. random_no_suicide, avg. reward: 1536.267, 2.151 sec/game, 12.1 min. total, 537.6 MB
zoology_jogging v6 426 games, 345013 moves, e=0.658, loss: 24536463.2, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1530.222, 2.137 sec/game, 12.2 min. total, 537.6 MB
zoology_jogging v6 427 games, 345948 moves, e=0.658, loss: 25033969.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1538.307, 2.136 sec/game, 12.2 min. total, 537.9 MB
zoology_jogging v6 428 games, 346964 moves, e=0.657, loss: 25491701.4, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1540.176, 2.143 sec/game, 12.3 min. total, 538.0 MB
zoology_jogging v6 429 games, 347781 moves, e=0.656, loss: 25453989.7, -, 17.1% elo% vs. random_no_suicide, avg. reward: 1538.951, 2.139 sec/game, 12.3 min. total, 538.2 MB
