corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v3 55 games, 39529 moves, e=0.961, loss: 5.6, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.488, 1.433 sec/game, 1.0 min. total, 466.3 MB
corny_hush v3 56 games, 40290 moves, e=0.960, loss: 5.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.481, 1.434 sec/game, 1.1 min. total, 466.4 MB
corny_hush v3 57 games, 41010 moves, e=0.959, loss: 5.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.482, 1.443 sec/game, 1.1 min. total, 466.4 MB
corny_hush v3 58 games, 41771 moves, e=0.959, loss: 5.2, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.472, 1.449 sec/game, 1.1 min. total, 466.5 MB
corny_hush v3 59 games, 42617 moves, e=0.958, loss: 5.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.444, 1.464 sec/game, 1.1 min. total, 466.5 MB
corny_hush v3 60 games, 43360 moves, e=0.957, loss: 5.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.437, 1.465 sec/game, 1.2 min. total, 466.7 MB
corny_hush v3 61 games, 44163 moves, e=0.956, loss: 5.0, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.419, 1.466 sec/game, 1.2 min. total, 467.9 MB
corny_hush v3 62 games, 44867 moves, e=0.956, loss: 5.0, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.425, 1.477 sec/game, 1.2 min. total, 468.7 MB
corny_hush v3 63 games, 45458 moves, e=0.955, loss: 4.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.453, 1.466 sec/game, 1.2 min. total, 469.1 MB
corny_hush v3 64 games, 46233 moves, e=0.954, loss: 4.8, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.439, 1.478 sec/game, 1.3 min. total, 470.1 MB
corny_hush v3 65 games, 46964 moves, e=0.954, loss: 5.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.438, 1.459 sec/game, 1.3 min. total, 472.7 MB
corny_hush v3 66 games, 47753 moves, e=0.953, loss: 5.3, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.422, 1.478 sec/game, 1.3 min. total, 472.4 MB
corny_hush v3 67 games, 48557 moves, e=0.952, loss: 5.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.403, 1.490 sec/game, 1.3 min. total, 472.7 MB
corny_hush v3 68 games, 49207 moves, e=0.951, loss: 5.2, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.414, 1.491 sec/game, 1.4 min. total, 472.8 MB
corny_hush v3 69 games, 49864 moves, e=0.951, loss: 5.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.428, 1.479 sec/game, 1.4 min. total, 472.9 MB
corny_hush v3 70 games, 50738 moves, e=0.950, loss: 5.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.403, 1.500 sec/game, 1.4 min. total, 473.0 MB
corny_hush v3 71 games, 51426 moves, e=0.949, loss: 5.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.405, 1.488 sec/game, 1.4 min. total, 472.7 MB
corny_hush v3 72 games, 52211 moves, e=0.948, loss: 5.0, -, 15.0% elo% vs. random_no_suicide, avg. reward: -8.397, 1.500 sec/game, 1.5 min. total, 473.5 MB
corny_hush v3 73 games, 52820 moves, e=0.948, loss: 4.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.419, 1.477 sec/game, 1.5 min. total, 473.6 MB
corny_hush v3 74 games, 53640 moves, e=0.947, loss: 4.9, -, 14.3% elo% vs. random_no_suicide, avg. reward: -8.404, 1.503 sec/game, 1.5 min. total, 474.7 MB
corny_hush v3 75 games, 54401 moves, e=0.946, loss: 4.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.394, 1.504 sec/game, 1.5 min. total, 474.8 MB
corny_hush v3 76 games, 55224 moves, e=0.945, loss: 4.7, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.383, 1.506 sec/game, 1.6 min. total, 472.1 MB
corny_hush v3 77 games, 55936 moves, e=0.945, loss: 4.8, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.386, 1.508 sec/game, 1.6 min. total, 474.7 MB
corny_hush v3 78 games, 56618 moves, e=0.944, loss: 5.0, +, 15.4% elo% vs. random_no_suicide, avg. reward: -8.393, 1.494 sec/game, 1.6 min. total, 475.0 MB
corny_hush v3 79 games, 57265 moves, e=0.943, loss: 5.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: -8.407, 1.485 sec/game, 1.6 min. total, 474.8 MB
corny_hush v3 80 games, 58122 moves, e=0.942, loss: 4.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.391, 1.496 sec/game, 1.7 min. total, 474.9 MB
corny_hush v3 81 games, 58810 moves, e=0.942, loss: 5.6, -, 14.3% elo% vs. random_no_suicide, avg. reward: -8.400, 1.476 sec/game, 1.7 min. total, 474.8 MB
corny_hush v3 82 games, 59402 moves, e=0.941, loss: 5.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.424, 1.475 sec/game, 1.7 min. total, 474.9 MB
corny_hush v3 83 games, 60099 moves, e=0.941, loss: 5.1, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.431, 1.478 sec/game, 1.7 min. total, 474.8 MB
corny_hush v3 84 games, 60828 moves, e=0.940, loss: 5.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.428, 1.478 sec/game, 1.7 min. total, 475.1 MB
corny_hush v3 85 games, 61538 moves, e=0.939, loss: 5.3, -, 13.1% elo% vs. random_no_suicide, avg. reward: -8.428, 1.477 sec/game, 1.8 min. total, 476.3 MB
corny_hush v3 86 games, 62311 moves, e=0.938, loss: 5.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.419, 1.461 sec/game, 1.8 min. total, 477.8 MB
