corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v10 614 games, 545312 moves, e=0.460, loss: 5.4, -, 27.3% elo% vs. simple_bot, avg. reward: -4.706, 2.755 sec/game, 20.6 min. total, 637.9 MB
corny_hush v10 615 games, 546614 moves, e=0.459, loss: 5.6, -, 26.4% elo% vs. simple_bot, avg. reward: -4.706, 2.765 sec/game, 20.7 min. total, 635.8 MB
corny_hush v10 616 games, 547809 moves, e=0.458, loss: 5.8, -, 25.4% elo% vs. simple_bot, avg. reward: -4.700, 2.779 sec/game, 20.7 min. total, 638.5 MB
corny_hush v10 617 games, 549243 moves, e=0.456, loss: 5.5, -, 24.5% elo% vs. simple_bot, avg. reward: -4.687, 2.792 sec/game, 20.8 min. total, 638.3 MB
corny_hush v10 618 games, 550751 moves, e=0.455, loss: 5.4, -, 23.7% elo% vs. simple_bot, avg. reward: -4.669, 2.839 sec/game, 20.8 min. total, 638.4 MB
corny_hush v10 619 games, 551912 moves, e=0.454, loss: 5.1, -, 22.9% elo% vs. simple_bot, avg. reward: -4.657, 2.828 sec/game, 20.9 min. total, 639.0 MB
corny_hush v10 620 games, 553204 moves, e=0.452, loss: 5.4, -, 22.2% elo% vs. simple_bot, avg. reward: -4.644, 2.829 sec/game, 20.9 min. total, 639.6 MB
corny_hush v10 621 games, 554302 moves, e=0.451, loss: 5.2, -, 21.5% elo% vs. simple_bot, avg. reward: -4.642, 2.838 sec/game, 21.0 min. total, 641.6 MB
corny_hush v10 622 games, 555619 moves, e=0.450, loss: 5.7, -, 20.8% elo% vs. simple_bot, avg. reward: -4.612, 2.836 sec/game, 21.0 min. total, 641.8 MB
corny_hush v10 623 games, 557200 moves, e=0.448, loss: 5.4, -, 20.2% elo% vs. simple_bot, avg. reward: -4.594, 2.860 sec/game, 21.1 min. total, 642.3 MB
corny_hush v10 624 games, 558562 moves, e=0.447, loss: 4.9, -, 19.6% elo% vs. simple_bot, avg. reward: -4.580, 2.886 sec/game, 21.1 min. total, 642.2 MB
corny_hush v10 625 games, 559791 moves, e=0.446, loss: 5.1, -, 19.1% elo% vs. simple_bot, avg. reward: -4.567, 2.885 sec/game, 21.2 min. total, 643.0 MB
corny_hush v10 626 games, 560842 moves, e=0.445, loss: 5.2, -, 18.5% elo% vs. simple_bot, avg. reward: -4.564, 2.872 sec/game, 21.2 min. total, 643.7 MB
corny_hush v10 627 games, 562018 moves, e=0.444, loss: 5.5, -, 18.0% elo% vs. simple_bot, avg. reward: -4.555, 2.873 sec/game, 21.3 min. total, 644.0 MB
corny_hush v10 628 games, 563229 moves, e=0.442, loss: 5.4, -, 17.5% elo% vs. simple_bot, avg. reward: -4.543, 2.901 sec/game, 21.3 min. total, 642.1 MB
corny_hush v10 629 games, 564574 moves, e=0.441, loss: 5.4, -, 17.1% elo% vs. simple_bot, avg. reward: -4.536, 2.911 sec/game, 21.4 min. total, 645.0 MB
corny_hush v10 630 games, 565823 moves, e=0.440, loss: 5.6, -, 16.6% elo% vs. simple_bot, avg. reward: -4.519, 2.924 sec/game, 21.4 min. total, 644.4 MB
corny_hush v10 631 games, 567039 moves, e=0.439, loss: 5.3, -, 16.2% elo% vs. simple_bot, avg. reward: -4.504, 2.901 sec/game, 21.5 min. total, 644.8 MB
corny_hush v10 632 games, 568166 moves, e=0.438, loss: 5.4, -, 15.8% elo% vs. simple_bot, avg. reward: -4.509, 2.915 sec/game, 21.5 min. total, 645.5 MB
corny_hush v10 633 games, 569460 moves, e=0.436, loss: 5.2, -, 15.4% elo% vs. simple_bot, avg. reward: -4.498, 2.901 sec/game, 21.6 min. total, 644.9 MB
corny_hush v10 634 games, 570605 moves, e=0.435, loss: 5.4, -, 15.1% elo% vs. simple_bot, avg. reward: -4.491, 2.887 sec/game, 21.6 min. total, 646.4 MB
corny_hush v10 635 games, 571816 moves, e=0.434, loss: 5.3, -, 14.7% elo% vs. simple_bot, avg. reward: -4.481, 2.892 sec/game, 21.6 min. total, 646.1 MB
corny_hush v10 636 games, 573301 moves, e=0.432, loss: 5.4, -, 14.4% elo% vs. simple_bot, avg. reward: -4.468, 2.919 sec/game, 21.7 min. total, 645.7 MB
corny_hush v10 637 games, 574369 moves, e=0.431, loss: 5.3, -, 14.0% elo% vs. simple_bot, avg. reward: -4.465, 2.893 sec/game, 21.7 min. total, 646.3 MB
corny_hush v10 638 games, 575701 moves, e=0.430, loss: 5.1, -, 13.7% elo% vs. simple_bot, avg. reward: -4.455, 2.871 sec/game, 21.8 min. total, 646.1 MB
corny_hush v10 639 games, 576944 moves, e=0.429, loss: 4.8, -, 13.4% elo% vs. simple_bot, avg. reward: -4.450, 2.885 sec/game, 21.8 min. total, 645.6 MB
corny_hush v10 640 games, 578253 moves, e=0.428, loss: 5.1, -, 13.1% elo% vs. simple_bot, avg. reward: -4.445, 2.884 sec/game, 21.9 min. total, 646.8 MB
corny_hush v10 641 games, 579555 moves, e=0.426, loss: 5.2, -, 12.9% elo% vs. simple_bot, avg. reward: -4.434, 2.898 sec/game, 21.9 min. total, 645.4 MB
corny_hush v10 642 games, 580975 moves, e=0.425, loss: 5.1, -, 12.6% elo% vs. simple_bot, avg. reward: -4.422, 2.900 sec/game, 22.0 min. total, 648.5 MB
corny_hush v10 643 games, 582146 moves, e=0.424, loss: 5.2, -, 12.4% elo% vs. simple_bot, avg. reward: -4.412, 2.862 sec/game, 22.0 min. total, 648.5 MB
corny_hush v10 644 games, 583507 moves, e=0.422, loss: 5.4, -, 12.1% elo% vs. simple_bot, avg. reward: -4.397, 2.861 sec/game, 22.1 min. total, 647.7 MB
corny_hush v10 645 games, 584668 moves, e=0.421, loss: 5.2, -, 11.9% elo% vs. simple_bot, avg. reward: -4.393, 2.849 sec/game, 22.1 min. total, 648.5 MB
corny_hush v10 646 games, 585888 moves, e=0.420, loss: 5.3, -, 11.7% elo% vs. simple_bot, avg. reward: -4.388, 2.875 sec/game, 22.2 min. total, 646.9 MB
corny_hush v10 647 games, 587132 moves, e=0.419, loss: 5.1, -, 11.4% elo% vs. simple_bot, avg. reward: -4.378, 2.875 sec/game, 22.2 min. total, 651.2 MB
corny_hush v10 648 games, 588456 moves, e=0.417, loss: 5.0, -, 11.2% elo% vs. simple_bot, avg. reward: -4.372, 2.890 sec/game, 22.3 min. total, 651.2 MB
corny_hush v10 649 games, 589655 moves, e=0.416, loss: 5.0, -, 11.0% elo% vs. simple_bot, avg. reward: -4.361, 2.875 sec/game, 22.3 min. total, 651.2 MB
corny_hush v10 650 games, 590891 moves, e=0.415, loss: 4.8, -, 10.8% elo% vs. simple_bot, avg. reward: -4.352, 2.874 sec/game, 22.4 min. total, 651.2 MB
corny_hush v10 651 games, 592147 moves, e=0.414, loss: 5.2, -, 10.6% elo% vs. simple_bot, avg. reward: -4.352, 2.883 sec/game, 22.4 min. total, 651.7 MB
corny_hush v10 652 games, 593462 moves, e=0.412, loss: 5.0, -, 10.4% elo% vs. simple_bot, avg. reward: -4.344, 2.895 sec/game, 22.5 min. total, 651.1 MB
corny_hush v10 653 games, 594854 moves, e=0.411, loss: 4.8, -, 10.3% elo% vs. simple_bot, avg. reward: -4.322, 2.909 sec/game, 22.5 min. total, 652.8 MB
corny_hush v10 654 games, 596303 moves, e=0.410, loss: 4.8, -, 10.1% elo% vs. simple_bot, avg. reward: -4.309, 2.933 sec/game, 22.6 min. total, 651.1 MB
corny_hush v10 655 games, 597659 moves, e=0.408, loss: 4.8, -, 9.9% elo% vs. simple_bot, avg. reward: -4.282, 2.939 sec/game, 22.6 min. total, 653.7 MB
corny_hush v10 656 games, 599008 moves, e=0.407, loss: 4.9, -, 9.8% elo% vs. simple_bot, avg. reward: -4.268, 2.925 sec/game, 22.7 min. total, 654.4 MB
corny_hush v10 657 games, 600334 moves, e=0.406, loss: 4.7, -, 9.6% elo% vs. simple_bot, avg. reward: -4.250, 2.950 sec/game, 22.7 min. total, 655.0 MB
corny_hush v10 658 games, 601624 moves, e=0.404, loss: 4.9, -, 9.5% elo% vs. simple_bot, avg. reward: -4.243, 2.948 sec/game, 22.8 min. total, 654.1 MB
corny_hush v10 659 games, 602856 moves, e=0.403, loss: 5.0, -, 9.3% elo% vs. simple_bot, avg. reward: -4.228, 2.936 sec/game, 22.8 min. total, 654.9 MB
corny_hush v10 660 games, 604064 moves, e=0.402, loss: 5.3, -, 9.2% elo% vs. simple_bot, avg. reward: -4.222, 2.937 sec/game, 22.9 min. total, 653.1 MB
corny_hush v10 661 games, 605838 moves, e=0.400, loss: 5.2, -, 9.0% elo% vs. simple_bot, avg. reward: -4.203, 2.983 sec/game, 22.9 min. total, 655.6 MB
corny_hush v10 662 games, 607337 moves, e=0.399, loss: 4.9, -, 8.9% elo% vs. simple_bot, avg. reward: -4.178, 2.985 sec/game, 23.0 min. total, 656.5 MB
corny_hush v10 663 games, 608683 moves, e=0.397, loss: 5.0, -, 8.8% elo% vs. simple_bot, avg. reward: -4.170, 3.000 sec/game, 23.0 min. total, 656.5 MB
corny_hush v10 664 games, 609869 moves, e=0.396, loss: 5.3, -, 8.6% elo% vs. simple_bot, avg. reward: -4.149, 2.989 sec/game, 23.1 min. total, 656.3 MB
corny_hush v10 665 games, 611160 moves, e=0.395, loss: 5.6, -, 8.5% elo% vs. simple_bot, avg. reward: -4.131, 3.002 sec/game, 23.1 min. total, 655.9 MB
corny_hush v10 666 games, 612345 moves, e=0.394, loss: 5.8, -, 8.4% elo% vs. simple_bot, avg. reward: -4.123, 2.991 sec/game, 23.2 min. total, 656.6 MB
corny_hush v10 667 games, 613662 moves, e=0.392, loss: 5.7, -, 8.3% elo% vs. simple_bot, avg. reward: -4.109, 3.020 sec/game, 23.2 min. total, 659.1 MB
corny_hush v10 668 games, 615002 moves, e=0.391, loss: 6.0, -, 8.1% elo% vs. simple_bot, avg. reward: -4.102, 3.004 sec/game, 23.3 min. total, 658.9 MB
corny_hush v10 669 games, 616442 moves, e=0.390, loss: 6.1, -, 8.0% elo% vs. simple_bot, avg. reward: -4.079, 3.032 sec/game, 23.3 min. total, 659.1 MB
corny_hush v10 670 games, 617820 moves, e=0.388, loss: 5.9, -, 7.9% elo% vs. simple_bot, avg. reward: -4.066, 3.044 sec/game, 23.4 min. total, 659.2 MB
corny_hush v10 671 games, 619222 moves, e=0.387, loss: 5.7, -, 7.8% elo% vs. simple_bot, avg. reward: -4.048, 3.057 sec/game, 23.4 min. total, 660.7 MB
corny_hush v10 672 games, 620521 moves, e=0.386, loss: 5.7, -, 7.7% elo% vs. simple_bot, avg. reward: -4.037, 3.060 sec/game, 23.5 min. total, 658.4 MB
corny_hush v10 673 games, 621707 moves, e=0.385, loss: 5.8, -, 7.6% elo% vs. simple_bot, avg. reward: -4.045, 3.044 sec/game, 23.5 min. total, 660.7 MB
corny_hush v10 674 games, 622954 moves, e=0.383, loss: 5.5, -, 7.5% elo% vs. simple_bot, avg. reward: -4.034, 3.022 sec/game, 23.6 min. total, 660.8 MB
corny_hush v10 675 games, 624218 moves, e=0.382, loss: 6.2, -, 7.4% elo% vs. simple_bot, avg. reward: -4.030, 3.011 sec/game, 23.6 min. total, 660.6 MB
corny_hush v10 676 games, 625557 moves, e=0.381, loss: 6.0, -, 7.3% elo% vs. simple_bot, avg. reward: -4.021, 3.020 sec/game, 23.7 min. total, 661.2 MB
corny_hush v10 677 games, 626704 moves, e=0.380, loss: 6.4, -, 7.2% elo% vs. simple_bot, avg. reward: -4.020, 2.999 sec/game, 23.7 min. total, 661.6 MB
corny_hush v10 678 games, 627987 moves, e=0.378, loss: 6.8, -, 7.2% elo% vs. simple_bot, avg. reward: -3.992, 2.998 sec/game, 23.8 min. total, 664.1 MB
corny_hush v10 679 games, 629285 moves, e=0.377, loss: 7.1, -, 7.1% elo% vs. simple_bot, avg. reward: -3.984, 3.019 sec/game, 23.8 min. total, 663.7 MB
corny_hush v10 680 games, 630482 moves, e=0.376, loss: 7.1, -, 7.0% elo% vs. simple_bot, avg. reward: -3.976, 3.008 sec/game, 23.9 min. total, 661.1 MB
corny_hush v10 681 games, 631900 moves, e=0.374, loss: 6.9, -, 6.9% elo% vs. simple_bot, avg. reward: -3.962, 2.976 sec/game, 23.9 min. total, 664.2 MB
corny_hush v10 682 games, 633246 moves, e=0.373, loss: 6.7, -, 6.8% elo% vs. simple_bot, avg. reward: -3.955, 2.973 sec/game, 24.0 min. total, 663.8 MB
corny_hush v10 683 games, 634390 moves, e=0.372, loss: 6.8, -, 6.7% elo% vs. simple_bot, avg. reward: -3.953, 2.947 sec/game, 24.0 min. total, 664.5 MB
corny_hush v10 684 games, 635750 moves, e=0.371, loss: 6.7, -, 6.7% elo% vs. simple_bot, avg. reward: -3.932, 2.958 sec/game, 24.1 min. total, 665.1 MB
corny_hush v10 685 games, 637032 moves, e=0.369, loss: 6.5, -, 6.6% elo% vs. simple_bot, avg. reward: -3.928, 2.959 sec/game, 24.1 min. total, 663.0 MB
corny_hush v10 686 games, 638274 moves, e=0.368, loss: 6.1, -, 6.5% elo% vs. simple_bot, avg. reward: -3.915, 2.969 sec/game, 24.2 min. total, 665.2 MB
corny_hush v10 687 games, 639674 moves, e=0.367, loss: 5.9, -, 6.4% elo% vs. simple_bot, avg. reward: -3.898, 2.963 sec/game, 24.2 min. total, 665.3 MB
corny_hush v10 688 games, 640794 moves, e=0.366, loss: 5.9, -, 6.4% elo% vs. simple_bot, avg. reward: -3.899, 2.948 sec/game, 24.3 min. total, 665.8 MB
corny_hush v10 689 games, 642221 moves, e=0.364, loss: 6.2, -, 6.3% elo% vs. simple_bot, avg. reward: -3.879, 2.945 sec/game, 24.3 min. total, 665.9 MB
corny_hush v10 690 games, 643689 moves, e=0.363, loss: 5.9, -, 6.2% elo% vs. simple_bot, avg. reward: -3.875, 2.946 sec/game, 24.4 min. total, 667.5 MB
corny_hush v10 691 games, 645218 moves, e=0.361, loss: 6.0, -, 6.2% elo% vs. simple_bot, avg. reward: -3.860, 2.966 sec/game, 24.4 min. total, 668.6 MB
corny_hush v10 692 games, 646697 moves, e=0.360, loss: 6.1, -, 6.1% elo% vs. simple_bot, avg. reward: -3.848, 2.983 sec/game, 24.5 min. total, 668.0 MB
corny_hush v10 693 games, 648007 moves, e=0.358, loss: 6.2, -, 6.0% elo% vs. simple_bot, avg. reward: -3.822, 2.985 sec/game, 24.5 min. total, 668.7 MB
corny_hush v10 694 games, 649539 moves, e=0.357, loss: 5.6, -, 6.0% elo% vs. simple_bot, avg. reward: -3.802, 3.022 sec/game, 24.6 min. total, 669.3 MB
corny_hush v10 695 games, 650865 moves, e=0.356, loss: 5.4, -, 5.9% elo% vs. simple_bot, avg. reward: -3.793, 3.024 sec/game, 24.6 min. total, 666.6 MB
corny_hush v10 696 games, 652453 moves, e=0.354, loss: 5.4, -, 5.8% elo% vs. simple_bot, avg. reward: -3.770, 3.050 sec/game, 24.7 min. total, 670.0 MB
corny_hush v10 697 games, 653985 moves, e=0.353, loss: 5.6, -, 5.8% elo% vs. simple_bot, avg. reward: -3.753, 3.089 sec/game, 24.8 min. total, 668.1 MB
corny_hush v10 698 games, 655366 moves, e=0.351, loss: 5.5, -, 5.7% elo% vs. simple_bot, avg. reward: -3.735, 3.100 sec/game, 24.8 min. total, 670.9 MB
corny_hush v10 699 games, 656822 moves, e=0.350, loss: 5.6, -, 5.7% elo% vs. simple_bot, avg. reward: -3.724, 3.103 sec/game, 24.9 min. total, 670.7 MB
corny_hush v10 700 games, 658318 moves, e=0.348, loss: 5.2, -, 5.6% elo% vs. simple_bot, avg. reward: -3.714, 3.137 sec/game, 24.9 min. total, 671.7 MB
corny_hush v11 701 games, 659618 moves, e=0.347, loss: 5.1, -, 47.7% elo% vs. simple_bot, avg. reward: -3.699, 3.123 sec/game, 25.0 min. total, 668.7 MB
corny_hush v11 702 games, 661124 moves, e=0.345, loss: 5.2, -, 45.5% elo% vs. simple_bot, avg. reward: -3.689, 3.138 sec/game, 25.0 min. total, 672.7 MB
corny_hush v11 703 games, 662679 moves, e=0.344, loss: 4.9, -, 43.4% elo% vs. simple_bot, avg. reward: -3.682, 3.178 sec/game, 25.1 min. total, 670.6 MB
corny_hush v11 704 games, 664095 moves, e=0.343, loss: 5.0, -, 41.5% elo% vs. simple_bot, avg. reward: -3.660, 3.195 sec/game, 25.1 min. total, 673.5 MB
corny_hush v11 705 games, 665476 moves, e=0.341, loss: 4.9, -, 39.6% elo% vs. simple_bot, avg. reward: -3.652, 3.206 sec/game, 25.2 min. total, 673.0 MB
corny_hush v11 706 games, 666906 moves, e=0.340, loss: 4.9, -, 37.9% elo% vs. simple_bot, avg. reward: -3.631, 3.220 sec/game, 25.2 min. total, 672.9 MB
corny_hush v11 707 games, 668303 moves, e=0.338, loss: 5.2, -, 36.3% elo% vs. simple_bot, avg. reward: -3.614, 3.219 sec/game, 25.3 min. total, 672.8 MB
corny_hush v11 708 games, 669798 moves, e=0.337, loss: 4.8, -, 34.8% elo% vs. simple_bot, avg. reward: -3.594, 3.247 sec/game, 25.3 min. total, 673.0 MB
corny_hush v11 709 games, 671255 moves, e=0.335, loss: 4.9, -, 33.3% elo% vs. simple_bot, avg. reward: -3.576, 3.260 sec/game, 25.4 min. total, 673.2 MB
corny_hush v11 710 games, 672671 moves, e=0.334, loss: 4.9, -, 32.0% elo% vs. simple_bot, avg. reward: -3.564, 3.267 sec/game, 25.5 min. total, 675.7 MB
corny_hush v11 711 games, 674201 moves, e=0.333, loss: 4.8, -, 30.7% elo% vs. simple_bot, avg. reward: -3.553, 3.261 sec/game, 25.5 min. total, 675.9 MB
corny_hush v11 712 games, 675921 moves, e=0.331, loss: 4.8, -, 29.5% elo% vs. simple_bot, avg. reward: -3.530, 3.278 sec/game, 25.6 min. total, 675.9 MB
corny_hush v11 713 games, 677396 moves, e=0.329, loss: 4.8, -, 28.4% elo% vs. simple_bot, avg. reward: -3.516, 3.303 sec/game, 25.6 min. total, 673.8 MB
corny_hush v11 714 games, 678740 moves, e=0.328, loss: 4.7, -, 27.3% elo% vs. simple_bot, avg. reward: -3.513, 3.279 sec/game, 25.7 min. total, 676.5 MB
corny_hush v11 715 games, 680409 moves, e=0.326, loss: 5.0, -, 26.4% elo% vs. simple_bot, avg. reward: -3.497, 3.315 sec/game, 25.7 min. total, 678.0 MB
corny_hush v11 716 games, 682010 moves, e=0.325, loss: 4.7, -, 25.4% elo% vs. simple_bot, avg. reward: -3.484, 3.320 sec/game, 25.8 min. total, 677.8 MB
corny_hush v11 717 games, 683449 moves, e=0.323, loss: 4.3, -, 24.5% elo% vs. simple_bot, avg. reward: -3.480, 3.305 sec/game, 25.9 min. total, 678.5 MB
corny_hush v11 718 games, 684725 moves, e=0.322, loss: 5.2, -, 23.7% elo% vs. simple_bot, avg. reward: -3.486, 3.296 sec/game, 25.9 min. total, 678.8 MB
corny_hush v11 719 games, 686200 moves, e=0.321, loss: 5.1, -, 22.9% elo% vs. simple_bot, avg. reward: -3.471, 3.301 sec/game, 26.0 min. total, 677.9 MB
corny_hush v11 720 games, 687831 moves, e=0.319, loss: 5.2, -, 22.2% elo% vs. simple_bot, avg. reward: -3.455, 3.314 sec/game, 26.0 min. total, 678.1 MB
corny_hush v11 721 games, 689473 moves, e=0.317, loss: 4.8, -, 21.5% elo% vs. simple_bot, avg. reward: -3.434, 3.347 sec/game, 26.1 min. total, 677.2 MB
corny_hush v11 722 games, 691331 moves, e=0.316, loss: 4.5, -, 20.8% elo% vs. simple_bot, avg. reward: -3.419, 3.383 sec/game, 26.2 min. total, 681.1 MB
corny_hush v11 723 games, 692767 moves, e=0.314, loss: 4.8, -, 20.2% elo% vs. simple_bot, avg. reward: -3.418, 3.368 sec/game, 26.2 min. total, 680.5 MB
corny_hush v11 724 games, 694230 moves, e=0.313, loss: 4.6, -, 19.6% elo% vs. simple_bot, avg. reward: -3.413, 3.364 sec/game, 26.3 min. total, 680.8 MB
corny_hush v11 725 games, 695774 moves, e=0.311, loss: 4.8, -, 19.1% elo% vs. simple_bot, avg. reward: -3.406, 3.381 sec/game, 26.3 min. total, 681.3 MB
corny_hush v11 726 games, 697477 moves, e=0.309, loss: 4.9, -, 18.5% elo% vs. simple_bot, avg. reward: -3.382, 3.415 sec/game, 26.4 min. total, 683.2 MB
corny_hush v11 727 games, 698751 moves, e=0.308, loss: 5.7, -, 18.0% elo% vs. simple_bot, avg. reward: -3.377, 3.392 sec/game, 26.4 min. total, 681.1 MB
corny_hush v11 728 games, 700149 moves, e=0.307, loss: 5.9, -, 17.5% elo% vs. simple_bot, avg. reward: -3.369, 3.390 sec/game, 26.5 min. total, 683.5 MB
corny_hush v11 729 games, 701178 moves, e=0.306, loss: 6.1, -, 17.1% elo% vs. simple_bot, avg. reward: -3.386, 3.343 sec/game, 26.5 min. total, 680.0 MB
corny_hush v11 730 games, 702764 moves, e=0.304, loss: 6.1, -, 16.6% elo% vs. simple_bot, avg. reward: -3.372, 3.358 sec/game, 26.6 min. total, 682.6 MB
corny_hush v11 731 games, 704596 moves, e=0.302, loss: 6.4, -, 16.2% elo% vs. simple_bot, avg. reward: -3.356, 3.381 sec/game, 26.6 min. total, 683.9 MB
corny_hush v11 732 games, 706156 moves, e=0.301, loss: 5.9, -, 15.8% elo% vs. simple_bot, avg. reward: -3.340, 3.367 sec/game, 26.7 min. total, 684.3 MB
corny_hush v11 733 games, 707763 moves, e=0.299, loss: 5.9, -, 15.4% elo% vs. simple_bot, avg. reward: -3.331, 3.385 sec/game, 26.8 min. total, 684.1 MB
corny_hush v11 734 games, 709283 moves, e=0.298, loss: 5.3, -, 15.1% elo% vs. simple_bot, avg. reward: -3.319, 3.409 sec/game, 26.8 min. total, 684.7 MB
corny_hush v11 735 games, 710857 moves, e=0.296, loss: 5.5, -, 14.7% elo% vs. simple_bot, avg. reward: -3.311, 3.397 sec/game, 26.9 min. total, 685.4 MB
corny_hush v11 736 games, 712218 moves, e=0.295, loss: 5.0, -, 14.4% elo% vs. simple_bot, avg. reward: -3.310, 3.368 sec/game, 26.9 min. total, 685.3 MB
corny_hush v11 737 games, 713718 moves, e=0.293, loss: 5.2, -, 14.0% elo% vs. simple_bot, avg. reward: -3.290, 3.368 sec/game, 27.0 min. total, 685.3 MB
corny_hush v11 738 games, 714988 moves, e=0.292, loss: 5.1, -, 13.7% elo% vs. simple_bot, avg. reward: -3.291, 3.370 sec/game, 27.0 min. total, 687.3 MB
corny_hush v11 739 games, 716743 moves, e=0.290, loss: 5.2, -, 13.4% elo% vs. simple_bot, avg. reward: -3.273, 3.407 sec/game, 27.1 min. total, 688.2 MB
corny_hush v11 740 games, 718386 moves, e=0.289, loss: 5.3, -, 13.1% elo% vs. simple_bot, avg. reward: -3.258, 3.409 sec/game, 27.2 min. total, 688.4 MB
corny_hush v11 741 games, 719834 moves, e=0.287, loss: 5.7, -, 12.9% elo% vs. simple_bot, avg. reward: -3.249, 3.389 sec/game, 27.2 min. total, 688.1 MB
corny_hush v11 742 games, 721163 moves, e=0.286, loss: 5.9, -, 12.6% elo% vs. simple_bot, avg. reward: -3.247, 3.341 sec/game, 27.3 min. total, 687.8 MB
corny_hush v11 743 games, 722705 moves, e=0.285, loss: 6.3, -, 12.4% elo% vs. simple_bot, avg. reward: -3.232, 3.353 sec/game, 27.3 min. total, 689.3 MB
corny_hush v11 744 games, 723935 moves, e=0.283, loss: 6.9, -, 12.1% elo% vs. simple_bot, avg. reward: -3.235, 3.331 sec/game, 27.4 min. total, 687.9 MB
corny_hush v11 745 games, 725355 moves, e=0.282, loss: 6.9, -, 11.9% elo% vs. simple_bot, avg. reward: -3.220, 3.318 sec/game, 27.4 min. total, 690.8 MB
corny_hush v11 746 games, 727196 moves, e=0.280, loss: 5.7, -, 11.7% elo% vs. simple_bot, avg. reward: -3.199, 3.330 sec/game, 27.5 min. total, 691.1 MB
corny_hush v11 747 games, 728747 moves, e=0.279, loss: 6.2, -, 11.4% elo% vs. simple_bot, avg. reward: -3.182, 3.365 sec/game, 27.5 min. total, 690.9 MB
corny_hush v11 748 games, 730447 moves, e=0.277, loss: 5.7, -, 11.2% elo% vs. simple_bot, avg. reward: -3.168, 3.393 sec/game, 27.6 min. total, 692.2 MB
corny_hush v11 749 games, 732145 moves, e=0.275, loss: 5.8, -, 11.0% elo% vs. simple_bot, avg. reward: -3.154, 3.451 sec/game, 27.7 min. total, 691.6 MB
corny_hush v11 750 games, 733440 moves, e=0.274, loss: 5.4, -, 10.8% elo% vs. simple_bot, avg. reward: -3.148, 3.426 sec/game, 27.7 min. total, 694.1 MB
corny_hush v11 751 games, 735142 moves, e=0.272, loss: 4.5, -, 10.6% elo% vs. simple_bot, avg. reward: -3.135, 3.417 sec/game, 27.8 min. total, 694.5 MB
corny_hush v11 752 games, 736549 moves, e=0.271, loss: 4.6, -, 10.4% elo% vs. simple_bot, avg. reward: -3.124, 3.404 sec/game, 27.8 min. total, 694.2 MB
corny_hush v11 753 games, 738010 moves, e=0.269, loss: 4.3, -, 10.3% elo% vs. simple_bot, avg. reward: -3.115, 3.378 sec/game, 27.9 min. total, 694.7 MB
corny_hush v11 754 games, 739597 moves, e=0.268, loss: 4.4, -, 10.1% elo% vs. simple_bot, avg. reward: -3.106, 3.392 sec/game, 28.0 min. total, 696.7 MB
corny_hush v11 755 games, 741220 moves, e=0.266, loss: 4.2, -, 9.9% elo% vs. simple_bot, avg. reward: -3.097, 3.401 sec/game, 28.0 min. total, 696.1 MB
corny_hush v11 756 games, 742901 moves, e=0.265, loss: 5.2, -, 9.8% elo% vs. simple_bot, avg. reward: -3.084, 3.426 sec/game, 28.1 min. total, 695.5 MB
corny_hush v11 757 games, 744369 moves, e=0.263, loss: 5.2, -, 9.6% elo% vs. simple_bot, avg. reward: -3.078, 3.434 sec/game, 28.1 min. total, 695.9 MB
corny_hush v11 758 games, 746235 moves, e=0.261, loss: 4.8, -, 9.5% elo% vs. simple_bot, avg. reward: -3.060, 3.483 sec/game, 28.2 min. total, 697.2 MB
corny_hush v11 759 games, 747853 moves, e=0.260, loss: 4.7, -, 9.3% elo% vs. simple_bot, avg. reward: -3.045, 3.464 sec/game, 28.3 min. total, 697.1 MB
corny_hush v11 760 games, 749604 moves, e=0.258, loss: 4.9, -, 9.2% elo% vs. simple_bot, avg. reward: -3.029, 3.472 sec/game, 28.3 min. total, 699.4 MB
corny_hush v11 761 games, 751301 moves, e=0.256, loss: 4.6, -, 9.0% elo% vs. simple_bot, avg. reward: -3.026, 3.501 sec/game, 28.4 min. total, 699.2 MB
corny_hush v11 762 games, 752981 moves, e=0.255, loss: 4.4, -, 8.9% elo% vs. simple_bot, avg. reward: -3.021, 3.528 sec/game, 28.4 min. total, 699.0 MB
corny_hush v11 763 games, 754477 moves, e=0.253, loss: 4.9, -, 8.8% elo% vs. simple_bot, avg. reward: -3.012, 3.527 sec/game, 28.5 min. total, 699.1 MB
corny_hush v11 764 games, 755939 moves, e=0.252, loss: 5.7, -, 8.6% elo% vs. simple_bot, avg. reward: -3.003, 3.547 sec/game, 28.6 min. total, 697.7 MB
corny_hush v11 765 games, 757514 moves, e=0.250, loss: 5.7, -, 8.5% elo% vs. simple_bot, avg. reward: -2.989, 3.569 sec/game, 28.6 min. total, 697.7 MB
corny_hush v11 766 games, 759025 moves, e=0.249, loss: 5.4, -, 8.4% elo% vs. simple_bot, avg. reward: -2.974, 3.525 sec/game, 28.7 min. total, 698.4 MB
corny_hush v11 767 games, 760844 moves, e=0.247, loss: 5.6, -, 8.3% elo% vs. simple_bot, avg. reward: -2.961, 3.566 sec/game, 28.7 min. total, 700.7 MB
