suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v3 60 games, 43094 moves, e=0.957, loss: 28745.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: 21.770, 1.606 sec/game, 1.3 min. total, 497.2 MB
suffix_guts v3 61 games, 43760 moves, e=0.957, loss: 31637.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: 21.977, 1.597 sec/game, 1.3 min. total, 497.2 MB
suffix_guts v3 62 games, 44427 moves, e=0.956, loss: 27984.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: 22.413, 1.597 sec/game, 1.3 min. total, 497.3 MB
suffix_guts v3 63 games, 45067 moves, e=0.955, loss: 32224.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: 22.375, 1.597 sec/game, 1.4 min. total, 497.3 MB
suffix_guts v3 64 games, 45817 moves, e=0.955, loss: 32406.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: 21.872, 1.585 sec/game, 1.4 min. total, 498.5 MB
suffix_guts v3 65 games, 46510 moves, e=0.954, loss: 38046.9, -, 20.2% elo% vs. random_no_suicide, avg. reward: 22.268, 1.586 sec/game, 1.4 min. total, 497.5 MB
suffix_guts v3 66 games, 47284 moves, e=0.953, loss: 44983.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 21.787, 1.599 sec/game, 1.4 min. total, 500.0 MB
suffix_guts v3 67 games, 48063 moves, e=0.952, loss: 38348.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: 22.097, 1.597 sec/game, 1.5 min. total, 499.0 MB
suffix_guts v3 68 games, 48864 moves, e=0.952, loss: 38283.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 22.749, 1.600 sec/game, 1.5 min. total, 500.7 MB
suffix_guts v3 69 games, 49609 moves, e=0.951, loss: 39066.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 23.259, 1.620 sec/game, 1.5 min. total, 501.9 MB
suffix_guts v3 70 games, 50350 moves, e=0.950, loss: 36721.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 23.563, 1.623 sec/game, 1.5 min. total, 502.0 MB
suffix_guts v3 71 games, 51046 moves, e=0.949, loss: 41541.5, -, 17.0% elo% vs. random_no_suicide, avg. reward: 23.696, 1.624 sec/game, 1.6 min. total, 500.7 MB
suffix_guts v3 72 games, 51885 moves, e=0.949, loss: 43571.3, -, 16.6% elo% vs. random_no_suicide, avg. reward: 23.915, 1.644 sec/game, 1.6 min. total, 502.0 MB
suffix_guts v3 73 games, 52624 moves, e=0.948, loss: 45981.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: 23.453, 1.642 sec/game, 1.6 min. total, 501.0 MB
suffix_guts v3 74 games, 53322 moves, e=0.947, loss: 40062.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: 23.580, 1.635 sec/game, 1.7 min. total, 502.2 MB
suffix_guts v3 75 games, 54034 moves, e=0.947, loss: 35924.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: 23.507, 1.653 sec/game, 1.7 min. total, 502.2 MB
suffix_guts v3 76 games, 54711 moves, e=0.946, loss: 32306.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: 23.840, 1.643 sec/game, 1.7 min. total, 502.5 MB
suffix_guts v3 77 games, 55466 moves, e=0.945, loss: 36769.2, -, 14.7% elo% vs. random_no_suicide, avg. reward: 24.272, 1.649 sec/game, 1.7 min. total, 501.7 MB
suffix_guts v3 78 games, 56183 moves, e=0.944, loss: 41556.1, -, 14.3% elo% vs. random_no_suicide, avg. reward: 23.837, 1.643 sec/game, 1.8 min. total, 504.2 MB
suffix_guts v3 79 games, 56950 moves, e=0.944, loss: 49636.1, -, 14.0% elo% vs. random_no_suicide, avg. reward: 23.419, 1.664 sec/game, 1.8 min. total, 502.6 MB
suffix_guts v3 80 games, 57738 moves, e=0.943, loss: 43513.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 23.494, 1.678 sec/game, 1.8 min. total, 502.9 MB
suffix_guts v3 81 games, 58407 moves, e=0.942, loss: 43300.9, -, 13.4% elo% vs. random_no_suicide, avg. reward: 23.440, 1.677 sec/game, 1.9 min. total, 503.2 MB
suffix_guts v3 82 games, 59215 moves, e=0.941, loss: 46277.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 23.805, 1.682 sec/game, 1.9 min. total, 504.5 MB
suffix_guts v3 83 games, 59883 moves, e=0.941, loss: 45589.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: 23.750, 1.683 sec/game, 1.9 min. total, 504.7 MB
suffix_guts v3 84 games, 60768 moves, e=0.940, loss: 38577.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 24.049, 1.711 sec/game, 1.9 min. total, 503.9 MB
suffix_guts v3 85 games, 61498 moves, e=0.939, loss: 42988.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: 24.136, 1.713 sec/game, 2.0 min. total, 504.9 MB
suffix_guts v3 86 games, 62355 moves, e=0.938, loss: 41187.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: 24.305, 1.726 sec/game, 2.0 min. total, 505.3 MB
suffix_guts v3 87 games, 63179 moves, e=0.937, loss: 32642.8, -, 11.9% elo% vs. random_no_suicide, avg. reward: 24.486, 1.731 sec/game, 2.0 min. total, 506.1 MB
suffix_guts v3 88 games, 63930 moves, e=0.937, loss: 41351.8, -, 11.6% elo% vs. random_no_suicide, avg. reward: 24.860, 1.732 sec/game, 2.1 min. total, 508.7 MB
suffix_guts v3 89 games, 64658 moves, e=0.936, loss: 42431.3, -, 11.4% elo% vs. random_no_suicide, avg. reward: 24.934, 1.725 sec/game, 2.1 min. total, 510.9 MB
suffix_guts v3 90 games, 65410 moves, e=0.935, loss: 41538.3, -, 11.2% elo% vs. random_no_suicide, avg. reward: 25.148, 1.725 sec/game, 2.1 min. total, 510.6 MB
suffix_guts v3 91 games, 66219 moves, e=0.934, loss: 45928.8, -, 11.0% elo% vs. random_no_suicide, avg. reward: 25.732, 1.737 sec/game, 2.2 min. total, 510.9 MB
suffix_guts v3 92 games, 66967 moves, e=0.934, loss: 53715.2, -, 10.8% elo% vs. random_no_suicide, avg. reward: 25.349, 1.719 sec/game, 2.2 min. total, 510.9 MB
suffix_guts v3 93 games, 67660 moves, e=0.933, loss: 56282.1, -, 10.6% elo% vs. random_no_suicide, avg. reward: 25.275, 1.710 sec/game, 2.2 min. total, 510.4 MB
suffix_guts v3 94 games, 68333 moves, e=0.932, loss: 56674.9, -, 10.4% elo% vs. random_no_suicide, avg. reward: 25.207, 1.706 sec/game, 2.2 min. total, 511.1 MB
suffix_guts v3 95 games, 68962 moves, e=0.932, loss: 63720.1, -, 10.3% elo% vs. random_no_suicide, avg. reward: 25.834, 1.691 sec/game, 2.3 min. total, 510.9 MB
