dragging_probation v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
dragging_probation v3 90 games, 64830 moves, e=0.936, loss: 5.7, +, 42.6% elo% vs. random_no_suicide, avg. reward: -9.775, 1.502 sec/game, 1.9 min. total, 472.7 MB
dragging_probation v3 91 games, 65547 moves, e=0.935, loss: 5.8, ., 43.0% elo% vs. random_no_suicide, avg. reward: -9.776, 1.510 sec/game, 1.9 min. total, 472.8 MB
dragging_probation v3 92 games, 66251 moves, e=0.934, loss: 5.6, +, 45.6% elo% vs. random_no_suicide, avg. reward: -9.777, 1.503 sec/game, 1.9 min. total, 472.7 MB
dragging_probation v3 93 games, 67157 moves, e=0.934, loss: 5.5, -, 43.5% elo% vs. random_no_suicide, avg. reward: -9.750, 1.523 sec/game, 1.9 min. total, 477.6 MB
dragging_probation v3 94 games, 67934 moves, e=0.933, loss: 5.4, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.738, 1.528 sec/game, 2.0 min. total, 474.1 MB
dragging_probation v3 95 games, 68731 moves, e=0.932, loss: 5.7, -, 39.7% elo% vs. random_no_suicide, avg. reward: -9.725, 1.545 sec/game, 2.0 min. total, 478.8 MB
dragging_probation v3 96 games, 69423 moves, e=0.931, loss: 5.7, -, 38.0% elo% vs. random_no_suicide, avg. reward: -9.728, 1.547 sec/game, 2.0 min. total, 474.3 MB
dragging_probation v3 97 games, 70086 moves, e=0.931, loss: 5.9, +, 40.7% elo% vs. random_no_suicide, avg. reward: -9.739, 1.530 sec/game, 2.0 min. total, 474.4 MB
dragging_probation v3 98 games, 70913 moves, e=0.930, loss: 5.8, +, 43.3% elo% vs. random_no_suicide, avg. reward: -9.727, 1.546 sec/game, 2.1 min. total, 474.2 MB
dragging_probation v3 99 games, 71574 moves, e=0.929, loss: 6.0, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.735, 1.534 sec/game, 2.1 min. total, 474.2 MB
dragging_probation v3 100 games, 72311 moves, e=0.928, loss: 6.1, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.728, 1.477 sec/game, 2.1 min. total, 478.8 MB
dragging_probation v4 101 games, 73092 moves, e=0.928, loss: 6.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.722, 1.479 sec/game, 2.1 min. total, 474.7 MB
dragging_probation v4 102 games, 73858 moves, e=0.927, loss: 6.2, ., 47.8% elo% vs. random_no_suicide, avg. reward: -9.719, 1.468 sec/game, 2.1 min. total, 479.7 MB
dragging_probation v4 103 games, 74600 moves, e=0.926, loss: 5.7, ., 47.9% elo% vs. random_no_suicide, avg. reward: -9.720, 1.449 sec/game, 2.2 min. total, 476.6 MB
dragging_probation v4 104 games, 75437 moves, e=0.925, loss: 6.1, -, 45.7% elo% vs. random_no_suicide, avg. reward: -9.697, 1.448 sec/game, 2.2 min. total, 481.3 MB
dragging_probation v4 105 games, 76152 moves, e=0.925, loss: 6.4, ., 45.9% elo% vs. random_no_suicide, avg. reward: -9.689, 1.436 sec/game, 2.2 min. total, 476.6 MB
dragging_probation v4 106 games, 76896 moves, e=0.924, loss: 5.9, +, 48.4% elo% vs. random_no_suicide, avg. reward: -9.687, 1.449 sec/game, 2.2 min. total, 476.8 MB
dragging_probation v4 107 games, 77633 moves, e=0.923, loss: 5.7, +, 50.8% elo% vs. random_no_suicide, avg. reward: -9.665, 1.470 sec/game, 2.3 min. total, 476.9 MB
dragging_probation v4 108 games, 78322 moves, e=0.922, loss: 5.9, -, 48.4% elo% vs. random_no_suicide, avg. reward: -9.649, 1.463 sec/game, 2.3 min. total, 477.0 MB
dragging_probation v4 109 games, 79064 moves, e=0.922, loss: 6.2, +, 50.8% elo% vs. random_no_suicide, avg. reward: -9.635, 1.472 sec/game, 2.3 min. total, 477.0 MB
dragging_probation v4 110 games, 79887 moves, e=0.921, loss: 5.8, -, 48.5% elo% vs. random_no_suicide, avg. reward: -9.611, 1.477 sec/game, 2.3 min. total, 477.0 MB
dragging_probation v4 111 games, 80714 moves, e=0.920, loss: 6.2, -, 46.2% elo% vs. random_no_suicide, avg. reward: -9.588, 1.481 sec/game, 2.4 min. total, 478.1 MB
dragging_probation v4 112 games, 81558 moves, e=0.919, loss: 5.9, -, 44.1% elo% vs. random_no_suicide, avg. reward: -9.581, 1.501 sec/game, 2.4 min. total, 479.2 MB
dragging_probation v4 113 games, 82361 moves, e=0.918, loss: 6.4, +, 46.7% elo% vs. random_no_suicide, avg. reward: -9.562, 1.492 sec/game, 2.4 min. total, 480.8 MB
dragging_probation v4 114 games, 82963 moves, e=0.918, loss: 6.2, +, 49.1% elo% vs. random_no_suicide, avg. reward: -9.562, 1.479 sec/game, 2.4 min. total, 479.5 MB
dragging_probation v4 115 games, 83811 moves, e=0.917, loss: 6.2, +, 51.5% elo% vs. random_no_suicide, avg. reward: -9.547, 1.474 sec/game, 2.5 min. total, 479.6 MB
dragging_probation v4 116 games, 84634 moves, e=0.916, loss: 6.1, +, 53.7% elo% vs. random_no_suicide, avg. reward: -9.541, 1.487 sec/game, 2.5 min. total, 480.9 MB
dragging_probation v4 117 games, 85475 moves, e=0.915, loss: 6.1, +, 55.8% elo% vs. random_no_suicide, avg. reward: -9.518, 1.499 sec/game, 2.5 min. total, 479.6 MB
dragging_probation v4 118 games, 86141 moves, e=0.915, loss: 6.0, +, 57.8% elo% vs. random_no_suicide, avg. reward: -9.527, 1.478 sec/game, 2.5 min. total, 479.7 MB
dragging_probation v4 119 games, 86964 moves, e=0.914, loss: 5.8, -, 55.2% elo% vs. random_no_suicide, avg. reward: -9.491, 1.501 sec/game, 2.6 min. total, 484.2 MB
dragging_probation v4 120 games, 87812 moves, e=0.913, loss: 6.1, -, 52.7% elo% vs. random_no_suicide, avg. reward: -9.465, 1.522 sec/game, 2.6 min. total, 480.9 MB
dragging_probation v4 121 games, 88526 moves, e=0.912, loss: 5.9, -, 50.2% elo% vs. random_no_suicide, avg. reward: -9.456, 1.500 sec/game, 2.6 min. total, 481.2 MB
dragging_probation v4 122 games, 89301 moves, e=0.912, loss: 6.0, -, 47.9% elo% vs. random_no_suicide, avg. reward: -9.446, 1.501 sec/game, 2.6 min. total, 485.7 MB
dragging_probation v4 123 games, 90151 moves, e=0.911, loss: 5.8, -, 45.7% elo% vs. random_no_suicide, avg. reward: -9.428, 1.526 sec/game, 2.7 min. total, 485.9 MB
dragging_probation v4 124 games, 90938 moves, e=0.910, loss: 5.9, -, 43.7% elo% vs. random_no_suicide, avg. reward: -9.421, 1.509 sec/game, 2.7 min. total, 485.7 MB
dragging_probation v4 125 games, 91616 moves, e=0.909, loss: 5.7, -, 41.7% elo% vs. random_no_suicide, avg. reward: -9.423, 1.511 sec/game, 2.7 min. total, 485.9 MB
dragging_probation v4 126 games, 92364 moves, e=0.909, loss: 5.7, -, 39.8% elo% vs. random_no_suicide, avg. reward: -9.406, 1.511 sec/game, 2.7 min. total, 481.5 MB
dragging_probation v4 127 games, 93099 moves, e=0.908, loss: 5.6, -, 38.1% elo% vs. random_no_suicide, avg. reward: -9.402, 1.511 sec/game, 2.8 min. total, 481.5 MB
dragging_probation v4 128 games, 93888 moves, e=0.907, loss: 5.3, -, 36.4% elo% vs. random_no_suicide, avg. reward: -9.401, 1.523 sec/game, 2.8 min. total, 482.0 MB
dragging_probation v4 129 games, 94682 moves, e=0.906, loss: 5.5, -, 34.9% elo% vs. random_no_suicide, avg. reward: -9.383, 1.530 sec/game, 2.8 min. total, 487.2 MB
dragging_probation v4 130 games, 95596 moves, e=0.905, loss: 5.3, -, 33.5% elo% vs. random_no_suicide, avg. reward: -9.346, 1.527 sec/game, 2.9 min. total, 488.8 MB
dragging_probation v4 131 games, 96252 moves, e=0.905, loss: 5.2, -, 32.1% elo% vs. random_no_suicide, avg. reward: -9.341, 1.519 sec/game, 2.9 min. total, 489.4 MB
dragging_probation v4 132 games, 97029 moves, e=0.904, loss: 5.4, -, 30.8% elo% vs. random_no_suicide, avg. reward: -9.326, 1.520 sec/game, 2.9 min. total, 484.6 MB
dragging_probation v4 133 games, 97713 moves, e=0.903, loss: 5.3, +, 33.6% elo% vs. random_no_suicide, avg. reward: -9.341, 1.509 sec/game, 2.9 min. total, 489.2 MB
dragging_probation v4 134 games, 98541 moves, e=0.902, loss: 5.2, +, 36.4% elo% vs. random_no_suicide, avg. reward: -9.321, 1.523 sec/game, 3.0 min. total, 484.5 MB
dragging_probation v4 135 games, 99290 moves, e=0.902, loss: 5.3, -, 34.9% elo% vs. random_no_suicide, avg. reward: -9.319, 1.529 sec/game, 3.0 min. total, 489.2 MB
dragging_probation v4 136 games, 100090 moves, e=0.901, loss: 5.1, +, 37.6% elo% vs. random_no_suicide, avg. reward: -9.307, 1.520 sec/game, 3.0 min. total, 486.1 MB
dragging_probation v4 137 games, 100864 moves, e=0.900, loss: 4.7, +, 40.4% elo% vs. random_no_suicide, avg. reward: -9.291, 1.530 sec/game, 3.0 min. total, 486.3 MB
dragging_probation v4 138 games, 101586 moves, e=0.899, loss: 4.9, +, 43.0% elo% vs. random_no_suicide, avg. reward: -9.303, 1.532 sec/game, 3.1 min. total, 485.2 MB
dragging_probation v4 139 games, 102241 moves, e=0.899, loss: 5.1, +, 45.6% elo% vs. random_no_suicide, avg. reward: -9.327, 1.511 sec/game, 3.1 min. total, 487.2 MB
dragging_probation v4 140 games, 102904 moves, e=0.898, loss: 5.3, +, 48.1% elo% vs. random_no_suicide, avg. reward: -9.330, 1.494 sec/game, 3.1 min. total, 487.2 MB
dragging_probation v4 141 games, 103633 moves, e=0.897, loss: 5.4, -, 45.9% elo% vs. random_no_suicide, avg. reward: -9.333, 1.505 sec/game, 3.1 min. total, 491.7 MB
dragging_probation v4 142 games, 104327 moves, e=0.897, loss: 5.5, -, 43.8% elo% vs. random_no_suicide, avg. reward: -9.343, 1.507 sec/game, 3.2 min. total, 491.7 MB
dragging_probation v4 143 games, 105064 moves, e=0.896, loss: 5.4, -, 41.8% elo% vs. random_no_suicide, avg. reward: -9.343, 1.484 sec/game, 3.2 min. total, 492.0 MB
dragging_probation v4 144 games, 105937 moves, e=0.895, loss: 5.5, +, 44.5% elo% vs. random_no_suicide, avg. reward: -9.318, 1.497 sec/game, 3.2 min. total, 488.6 MB
dragging_probation v4 145 games, 106632 moves, e=0.894, loss: 5.7, -, 42.5% elo% vs. random_no_suicide, avg. reward: -9.333, 1.507 sec/game, 3.2 min. total, 494.3 MB
dragging_probation v4 146 games, 107502 moves, e=0.894, loss: 5.8, ., 42.8% elo% vs. random_no_suicide, avg. reward: -9.323, 1.510 sec/game, 3.3 min. total, 490.5 MB
dragging_probation v4 147 games, 108228 moves, e=0.893, loss: 5.7, +, 45.4% elo% vs. random_no_suicide, avg. reward: -9.325, 1.510 sec/game, 3.3 min. total, 491.1 MB
dragging_probation v4 148 games, 108955 moves, e=0.892, loss: 5.7, +, 47.9% elo% vs. random_no_suicide, avg. reward: -9.315, 1.509 sec/game, 3.3 min. total, 492.8 MB
dragging_probation v4 149 games, 109836 moves, e=0.891, loss: 5.7, -, 45.7% elo% vs. random_no_suicide, avg. reward: -9.304, 1.521 sec/game, 3.3 min. total, 493.1 MB
