subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v13 731 games, 885316 moves, e=0.124, loss: 2.8, -, 49.7% elo% vs. v10, avg. reward: -2.336, 6.246 sec/game, 33.6 min. total, 747.3 MB
subarctic_cranberry v13 732 games, 887938 moves, e=0.121, loss: 3.6, +, 52.0% elo% vs. v10, avg. reward: -2.325, 6.257 sec/game, 33.7 min. total, 747.9 MB
subarctic_cranberry v13 733 games, 891287 moves, e=0.118, loss: 3.2, +, 54.2% elo% vs. v10, avg. reward: -2.301, 6.326 sec/game, 33.8 min. total, 748.1 MB
subarctic_cranberry v13 734 games, 894425 moves, e=0.115, loss: 3.3, -, 51.7% elo% vs. v10, avg. reward: -2.285, 6.329 sec/game, 33.9 min. total, 748.3 MB
subarctic_cranberry v13 735 games, 897696 moves, e=0.111, loss: 2.5, +, 53.9% elo% vs. v10, avg. reward: -2.267, 6.401 sec/game, 34.1 min. total, 752.2 MB
subarctic_cranberry v13 736 games, 900926 moves, e=0.108, loss: 2.2, +, 56.0% elo% vs. v10, avg. reward: -2.250, 6.455 sec/game, 34.2 min. total, 753.0 MB
subarctic_cranberry v13 737 games, 904488 moves, e=0.105, loss: 1.9, +, 58.0% elo% vs. v10, avg. reward: -2.229, 6.547 sec/game, 34.3 min. total, 752.7 MB
subarctic_cranberry v13 738 games, 907834 moves, e=0.101, loss: 2.4, -, 55.4% elo% vs. v10, avg. reward: -2.219, 6.597 sec/game, 34.4 min. total, 753.8 MB
subarctic_cranberry v13 739 games, 910710 moves, e=0.098, loss: 3.0, -, 52.8% elo% vs. v10, avg. reward: -2.211, 6.627 sec/game, 34.5 min. total, 755.0 MB
subarctic_cranberry v13 740 games, 913495 moves, e=0.096, loss: 3.9, +, 55.0% elo% vs. v10, avg. reward: -2.198, 6.634 sec/game, 34.6 min. total, 754.2 MB
subarctic_cranberry v13 741 games, 917042 moves, e=0.092, loss: 3.3, +, 57.0% elo% vs. v10, avg. reward: -2.176, 6.699 sec/game, 34.8 min. total, 751.7 MB
subarctic_cranberry v13 742 games, 920301 moves, e=0.089, loss: 3.1, +, 59.0% elo% vs. v10, avg. reward: -2.158, 6.731 sec/game, 34.9 min. total, 757.1 MB
subarctic_cranberry v13 743 games, 923347 moves, e=0.086, loss: 3.1, +, 60.8% elo% vs. v10, avg. reward: -2.135, 6.740 sec/game, 35.0 min. total, 758.2 MB
subarctic_cranberry v13 744 games, 926489 moves, e=0.083, loss: 3.3, +, 62.5% elo% vs. v10, avg. reward: -2.113, 6.747 sec/game, 35.1 min. total, 756.5 MB
subarctic_cranberry v13 745 games, 930308 moves, e=0.079, loss: 2.8, +, 64.1% elo% vs. v10, avg. reward: -2.087, 6.841 sec/game, 35.2 min. total, 757.0 MB
subarctic_cranberry v13 746 games, 933995 moves, e=0.075, loss: 2.6, +, 65.6% elo% vs. v10, avg. reward: -2.063, 6.890 sec/game, 35.4 min. total, 759.5 MB
subarctic_cranberry v13 747 games, 937949 moves, e=0.071, loss: 1.7, +, 67.0% elo% vs. v10, avg. reward: -2.037, 6.987 sec/game, 35.5 min. total, 760.3 MB
subarctic_cranberry v13 748 games, 941909 moves, e=0.068, loss: 1.8, +, 68.3% elo% vs. v10, avg. reward: -2.010, 7.081 sec/game, 35.6 min. total, 761.0 MB
subarctic_cranberry v13 749 games, 945351 moves, e=0.064, loss: 1.6, +, 69.6% elo% vs. v10, avg. reward: -1.989, 7.137 sec/game, 35.8 min. total, 761.8 MB
subarctic_cranberry v13 750 games, 948961 moves, e=0.061, loss: 1.8, -, 66.8% elo% vs. v10, avg. reward: -1.968, 7.181 sec/game, 35.9 min. total, 764.2 MB
subarctic_cranberry v13 751 games, 952659 moves, e=0.057, loss: 2.3, +, 68.2% elo% vs. v10, avg. reward: -1.941, 7.259 sec/game, 36.0 min. total, 765.9 MB
subarctic_cranberry v13 752 games, 956463 moves, e=0.053, loss: 2.3, +, 69.4% elo% vs. v10, avg. reward: -1.922, 7.380 sec/game, 36.2 min. total, 764.4 MB
subarctic_cranberry v13 753 games, 960021 moves, e=0.050, loss: 1.8, +, 70.6% elo% vs. v10, avg. reward: -1.896, 7.422 sec/game, 36.3 min. total, 764.9 MB
subarctic_cranberry v14 754 games, 963441 moves, e=0.046, loss: 1.8, +, 52.3% elo% vs. v13, avg. reward: -1.880, 7.449 sec/game, 36.4 min. total, 768.4 MB
subarctic_cranberry v14 755 games, 967190 moves, e=0.042, loss: 1.9, -, 49.9% elo% vs. v13, avg. reward: -1.862, 7.503 sec/game, 36.6 min. total, 767.6 MB
subarctic_cranberry v14 756 games, 971123 moves, e=0.039, loss: 1.8, -, 47.6% elo% vs. v13, avg. reward: -1.840, 7.550 sec/game, 36.7 min. total, 767.0 MB
subarctic_cranberry v14 757 games, 974995 moves, e=0.035, loss: 1.8, -, 45.4% elo% vs. v13, avg. reward: -1.816, 7.587 sec/game, 36.8 min. total, 767.8 MB
subarctic_cranberry v14 758 games, 978512 moves, e=0.031, loss: 1.8, -, 43.4% elo% vs. v13, avg. reward: -1.794, 7.600 sec/game, 37.0 min. total, 766.9 MB
subarctic_cranberry v14 759 games, 982228 moves, e=0.028, loss: 1.8, +, 45.9% elo% vs. v13, avg. reward: -1.773, 7.671 sec/game, 37.1 min. total, 767.2 MB
subarctic_cranberry v14 760 games, 985836 moves, e=0.024, loss: 1.8, -, 43.8% elo% vs. v13, avg. reward: -1.761, 7.757 sec/game, 37.2 min. total, 770.5 MB
subarctic_cranberry v14 761 games, 989687 moves, e=0.020, loss: 1.9, +, 46.4% elo% vs. v13, avg. reward: -1.745, 7.777 sec/game, 37.4 min. total, 771.6 MB
subarctic_cranberry v14 762 games, 994050 moves, e=0.016, loss: 1.7, ., 46.6% elo% vs. v13, avg. reward: -1.723, 7.909 sec/game, 37.5 min. total, 771.2 MB
subarctic_cranberry v14 763 games, 998291 moves, e=0.012, loss: 1.6, +, 49.0% elo% vs. v13, avg. reward: -1.702, 8.037 sec/game, 37.7 min. total, 770.3 MB
subarctic_cranberry v14 764 games, 1002370 moves, e=0.010, loss: 1.6, +, 51.4% elo% vs. v13, avg. reward: -1.678, 8.132 sec/game, 37.8 min. total, 770.3 MB
subarctic_cranberry v14 765 games, 1006409 moves, e=0.010, loss: 1.8, +, 53.6% elo% vs. v13, avg. reward: -1.659, 8.140 sec/game, 38.0 min. total, 773.0 MB
subarctic_cranberry v14 766 games, 1010155 moves, e=0.010, loss: 1.8, +, 55.7% elo% vs. v13, avg. reward: -1.637, 8.157 sec/game, 38.1 min. total, 774.2 MB
subarctic_cranberry v14 767 games, 1014126 moves, e=0.010, loss: 2.0, +, 57.7% elo% vs. v13, avg. reward: -1.615, 8.148 sec/game, 38.2 min. total, 775.5 MB
subarctic_cranberry v14 768 games, 1018457 moves, e=0.010, loss: 2.0, +, 59.6% elo% vs. v13, avg. reward: -1.596, 8.186 sec/game, 38.4 min. total, 775.8 MB
subarctic_cranberry v14 769 games, 1022802 moves, e=0.010, loss: 1.6, +, 61.4% elo% vs. v13, avg. reward: -1.574, 8.271 sec/game, 38.5 min. total, 775.0 MB
subarctic_cranberry v14 770 games, 1026999 moves, e=0.010, loss: 1.4, +, 63.1% elo% vs. v13, avg. reward: -1.551, 8.326 sec/game, 38.7 min. total, 774.0 MB
subarctic_cranberry v14 771 games, 1031649 moves, e=0.010, loss: 1.7, -, 60.3% elo% vs. v13, avg. reward: -1.524, 8.426 sec/game, 38.8 min. total, 774.3 MB
subarctic_cranberry v14 772 games, 1036099 moves, e=0.010, loss: 1.7, +, 62.0% elo% vs. v13, avg. reward: -1.504, 8.486 sec/game, 39.0 min. total, 774.5 MB
subarctic_cranberry v14 773 games, 1040560 moves, e=0.010, loss: 1.9, ., 61.5% elo% vs. v13, avg. reward: -1.484, 8.558 sec/game, 39.2 min. total, 776.6 MB
subarctic_cranberry v14 774 games, 1044912 moves, e=0.010, loss: 2.0, +, 63.2% elo% vs. v13, avg. reward: -1.468, 8.672 sec/game, 39.3 min. total, 777.7 MB
subarctic_cranberry v14 775 games, 1049363 moves, e=0.010, loss: 1.6, -, 60.4% elo% vs. v13, avg. reward: -1.446, 8.736 sec/game, 39.5 min. total, 778.1 MB
subarctic_cranberry v14 776 games, 1053591 moves, e=0.010, loss: 1.7, -, 57.8% elo% vs. v13, avg. reward: -1.426, 8.783 sec/game, 39.6 min. total, 782.0 MB
subarctic_cranberry v14 777 games, 1057949 moves, e=0.010, loss: 1.4, -, 55.1% elo% vs. v13, avg. reward: -1.405, 8.832 sec/game, 39.8 min. total, 781.0 MB
subarctic_cranberry v14 778 games, 1061740 moves, e=0.010, loss: 1.4, ., 54.9% elo% vs. v13, avg. reward: -1.383, 8.860 sec/game, 39.9 min. total, 781.0 MB
subarctic_cranberry v14 779 games, 1065952 moves, e=0.010, loss: 1.7, +, 57.0% elo% vs. v13, avg. reward: -1.360, 8.912 sec/game, 40.1 min. total, 781.4 MB
subarctic_cranberry v14 780 games, 1070314 moves, e=0.010, loss: 1.7, -, 54.4% elo% vs. v13, avg. reward: -1.337, 8.977 sec/game, 40.2 min. total, 781.3 MB
subarctic_cranberry v14 781 games, 1074731 moves, e=0.010, loss: 1.7, +, 56.4% elo% vs. v13, avg. reward: -1.316, 9.037 sec/game, 40.4 min. total, 781.3 MB
subarctic_cranberry v14 782 games, 1078954 moves, e=0.010, loss: 1.3, +, 58.4% elo% vs. v13, avg. reward: -1.294, 9.017 sec/game, 40.5 min. total, 783.7 MB
subarctic_cranberry v14 783 games, 1083013 moves, e=0.010, loss: 1.6, +, 60.2% elo% vs. v13, avg. reward: -1.273, 8.990 sec/game, 40.7 min. total, 783.6 MB
subarctic_cranberry v14 784 games, 1087147 moves, e=0.010, loss: 1.5, +, 62.0% elo% vs. v13, avg. reward: -1.253, 8.988 sec/game, 40.8 min. total, 783.3 MB
subarctic_cranberry v14 785 games, 1091010 moves, e=0.010, loss: 1.9, +, 63.6% elo% vs. v13, avg. reward: -1.231, 8.973 sec/game, 40.9 min. total, 786.2 MB
subarctic_cranberry v14 786 games, 1095150 moves, e=0.010, loss: 1.6, -, 60.9% elo% vs. v13, avg. reward: -1.213, 9.012 sec/game, 41.1 min. total, 786.6 MB
subarctic_cranberry v14 787 games, 1099054 moves, e=0.010, loss: 1.8, -, 58.2% elo% vs. v13, avg. reward: -1.199, 9.015 sec/game, 41.2 min. total, 788.7 MB
subarctic_cranberry v14 788 games, 1103027 moves, e=0.010, loss: 1.4, -, 55.5% elo% vs. v13, avg. reward: -1.185, 9.001 sec/game, 41.4 min. total, 787.8 MB
subarctic_cranberry v14 789 games, 1107253 moves, e=0.010, loss: 1.3, -, 53.0% elo% vs. v13, avg. reward: -1.162, 8.981 sec/game, 41.5 min. total, 789.3 MB
subarctic_cranberry v14 790 games, 1111050 moves, e=0.010, loss: 1.6, -, 50.6% elo% vs. v13, avg. reward: -1.140, 8.943 sec/game, 41.7 min. total, 788.1 MB
subarctic_cranberry v14 791 games, 1114639 moves, e=0.010, loss: 2.3, +, 52.8% elo% vs. v13, avg. reward: -1.124, 8.830 sec/game, 41.8 min. total, 789.4 MB
subarctic_cranberry v14 792 games, 1118832 moves, e=0.010, loss: 1.7, +, 55.0% elo% vs. v13, avg. reward: -1.103, 8.788 sec/game, 41.9 min. total, 789.7 MB
subarctic_cranberry v14 793 games, 1123235 moves, e=0.010, loss: 1.4, -, 52.5% elo% vs. v13, avg. reward: -1.085, 8.782 sec/game, 42.1 min. total, 790.3 MB
subarctic_cranberry v14 794 games, 1127326 moves, e=0.010, loss: 1.3, +, 54.7% elo% vs. v13, avg. reward: -1.068, 8.751 sec/game, 42.2 min. total, 789.5 MB
subarctic_cranberry v14 795 games, 1131538 moves, e=0.010, loss: 1.6, +, 56.7% elo% vs. v13, avg. reward: -1.054, 8.736 sec/game, 42.4 min. total, 790.8 MB
subarctic_cranberry v14 796 games, 1135784 moves, e=0.010, loss: 1.6, +, 58.7% elo% vs. v13, avg. reward: -1.036, 8.766 sec/game, 42.5 min. total, 792.8 MB
subarctic_cranberry v14 797 games, 1140161 moves, e=0.010, loss: 1.6, +, 60.5% elo% vs. v13, avg. reward: -1.019, 8.799 sec/game, 42.7 min. total, 792.7 MB
subarctic_cranberry v14 798 games, 1144170 moves, e=0.010, loss: 1.6, +, 62.2% elo% vs. v13, avg. reward: -1.003, 8.839 sec/game, 42.9 min. total, 795.9 MB
subarctic_cranberry v14 799 games, 1148646 moves, e=0.010, loss: 1.4, -, 59.5% elo% vs. v13, avg. reward: -0.990, 8.879 sec/game, 43.0 min. total, 795.4 MB
subarctic_cranberry v14 800 games, 1152911 moves, e=0.010, loss: 1.5, ., 59.1% elo% vs. v13, avg. reward: -0.973, 8.870 sec/game, 43.2 min. total, 796.6 MB
subarctic_cranberry v15 801 games, 1156973 moves, e=0.010, loss: 1.8, ., 50.0% elo% vs. v13, avg. reward: -0.957, 8.826 sec/game, 43.3 min. total, 795.9 MB
subarctic_cranberry v15 802 games, 1161337 moves, e=0.010, loss: 1.8, +, 52.3% elo% vs. v13, avg. reward: -0.940, 8.831 sec/game, 43.5 min. total, 798.6 MB
subarctic_cranberry v15 803 games, 1165606 moves, e=0.010, loss: 1.6, +, 54.5% elo% vs. v13, avg. reward: -0.924, 8.854 sec/game, 43.6 min. total, 799.3 MB
subarctic_cranberry v15 804 games, 1169465 moves, e=0.010, loss: 1.7, +, 56.6% elo% vs. v13, avg. reward: -0.912, 8.826 sec/game, 43.7 min. total, 800.7 MB
subarctic_cranberry v15 805 games, 1173649 moves, e=0.010, loss: 2.0, -, 54.0% elo% vs. v13, avg. reward: -0.891, 8.864 sec/game, 43.9 min. total, 799.3 MB
subarctic_cranberry v15 806 games, 1177577 moves, e=0.010, loss: 2.2, +, 56.1% elo% vs. v13, avg. reward: -0.880, 8.846 sec/game, 44.0 min. total, 800.4 MB
subarctic_cranberry v15 807 games, 1181824 moves, e=0.010, loss: 2.2, -, 53.5% elo% vs. v13, avg. reward: -0.860, 8.884 sec/game, 44.2 min. total, 800.9 MB
subarctic_cranberry v15 808 games, 1185978 moves, e=0.010, loss: 2.7, -, 51.1% elo% vs. v13, avg. reward: -0.845, 8.879 sec/game, 44.3 min. total, 801.5 MB
subarctic_cranberry v15 809 games, 1190396 moves, e=0.010, loss: 2.2, +, 53.3% elo% vs. v13, avg. reward: -0.826, 8.894 sec/game, 44.5 min. total, 800.0 MB
subarctic_cranberry v15 810 games, 1194413 moves, e=0.010, loss: 1.9, +, 55.4% elo% vs. v13, avg. reward: -0.815, 8.927 sec/game, 44.6 min. total, 804.6 MB
subarctic_cranberry v15 811 games, 1198767 moves, e=0.010, loss: 2.0, -, 52.9% elo% vs. v13, avg. reward: -0.804, 9.012 sec/game, 44.8 min. total, 804.0 MB
subarctic_cranberry v15 812 games, 1202741 moves, e=0.010, loss: 2.0, -, 50.5% elo% vs. v13, avg. reward: -0.787, 9.008 sec/game, 44.9 min. total, 804.4 MB
subarctic_cranberry v15 813 games, 1207172 moves, e=0.010, loss: 1.9, ., 50.5% elo% vs. v13, avg. reward: -0.769, 9.011 sec/game, 45.1 min. total, 805.4 MB
subarctic_cranberry v15 814 games, 1210658 moves, e=0.010, loss: 1.6, +, 52.7% elo% vs. v13, avg. reward: -0.760, 8.937 sec/game, 45.2 min. total, 807.7 MB
subarctic_cranberry v15 815 games, 1215010 moves, e=0.010, loss: 1.8, -, 50.3% elo% vs. v13, avg. reward: -0.746, 8.937 sec/game, 45.4 min. total, 808.1 MB
subarctic_cranberry v15 816 games, 1219206 moves, e=0.010, loss: 2.0, +, 52.6% elo% vs. v13, avg. reward: -0.733, 8.917 sec/game, 45.5 min. total, 808.2 MB
subarctic_cranberry v15 817 games, 1223178 moves, e=0.010, loss: 2.3, ., 52.5% elo% vs. v13, avg. reward: -0.717, 8.848 sec/game, 45.7 min. total, 809.1 MB
subarctic_cranberry v15 818 games, 1227305 moves, e=0.010, loss: 2.1, ., 52.4% elo% vs. v13, avg. reward: -0.704, 8.863 sec/game, 45.8 min. total, 812.5 MB
subarctic_cranberry v15 819 games, 1231391 moves, e=0.010, loss: 1.8, +, 54.5% elo% vs. v13, avg. reward: -0.688, 8.826 sec/game, 46.0 min. total, 812.7 MB
subarctic_cranberry v15 820 games, 1235641 moves, e=0.010, loss: 2.0, +, 56.6% elo% vs. v13, avg. reward: -0.676, 8.833 sec/game, 46.1 min. total, 810.5 MB
subarctic_cranberry v15 821 games, 1240031 moves, e=0.010, loss: 1.7, +, 58.6% elo% vs. v13, avg. reward: -0.664, 8.889 sec/game, 46.3 min. total, 812.7 MB
subarctic_cranberry v15 822 games, 1244651 moves, e=0.010, loss: 1.4, +, 60.4% elo% vs. v13, avg. reward: -0.650, 8.942 sec/game, 46.4 min. total, 813.4 MB
subarctic_cranberry v15 823 games, 1249223 moves, e=0.010, loss: 1.4, -, 57.7% elo% vs. v13, avg. reward: -0.636, 8.971 sec/game, 46.6 min. total, 813.9 MB
subarctic_cranberry v15 824 games, 1253236 moves, e=0.010, loss: 1.5, +, 59.6% elo% vs. v13, avg. reward: -0.626, 8.988 sec/game, 46.7 min. total, 814.2 MB
subarctic_cranberry v15 825 games, 1257949 moves, e=0.010, loss: 1.4, +, 61.4% elo% vs. v13, avg. reward: -0.611, 9.042 sec/game, 46.9 min. total, 814.0 MB
subarctic_cranberry v15 826 games, 1262365 moves, e=0.010, loss: 1.4, +, 63.1% elo% vs. v13, avg. reward: -0.602, 9.100 sec/game, 47.1 min. total, 814.0 MB
subarctic_cranberry v15 827 games, 1266553 moves, e=0.010, loss: 1.8, ., 62.5% elo% vs. v13, avg. reward: -0.591, 9.094 sec/game, 47.2 min. total, 815.6 MB
subarctic_cranberry v15 828 games, 1270771 moves, e=0.010, loss: 2.0, +, 64.1% elo% vs. v13, avg. reward: -0.583, 9.099 sec/game, 47.4 min. total, 815.7 MB
subarctic_cranberry v15 829 games, 1275157 moves, e=0.010, loss: 2.0, +, 65.6% elo% vs. v13, avg. reward: -0.572, 9.104 sec/game, 47.5 min. total, 816.7 MB
subarctic_cranberry v15 830 games, 1279653 moves, e=0.010, loss: 2.0, +, 67.0% elo% vs. v13, avg. reward: -0.562, 9.151 sec/game, 47.7 min. total, 816.4 MB
subarctic_cranberry v15 831 games, 1284429 moves, e=0.010, loss: 1.5, +, 68.3% elo% vs. v13, avg. reward: -0.548, 9.176 sec/game, 47.8 min. total, 819.1 MB
subarctic_cranberry v15 832 games, 1288780 moves, e=0.010, loss: 1.4, ., 67.6% elo% vs. v13, avg. reward: -0.535, 9.209 sec/game, 48.0 min. total, 818.8 MB
subarctic_cranberry v15 833 games, 1293402 moves, e=0.010, loss: 1.5, +, 68.9% elo% vs. v13, avg. reward: -0.525, 9.225 sec/game, 48.2 min. total, 817.9 MB
subarctic_cranberry v15 834 games, 1297832 moves, e=0.010, loss: 1.3, +, 70.1% elo% vs. v13, avg. reward: -0.514, 9.328 sec/game, 48.3 min. total, 818.2 MB
subarctic_cranberry v16 835 games, 1302182 moves, e=0.010, loss: 1.4, -, 47.7% elo% vs. v15, avg. reward: -0.505, 9.335 sec/game, 48.5 min. total, 817.4 MB
subarctic_cranberry v16 836 games, 1307011 moves, e=0.010, loss: 1.7, -, 45.5% elo% vs. v15, avg. reward: -0.494, 9.372 sec/game, 48.6 min. total, 818.7 MB
subarctic_cranberry v16 837 games, 1311831 moves, e=0.010, loss: 1.4, -, 43.4% elo% vs. v15, avg. reward: -0.487, 9.439 sec/game, 48.8 min. total, 819.7 MB
subarctic_cranberry v16 838 games, 1316027 moves, e=0.010, loss: 1.5, -, 41.5% elo% vs. v15, avg. reward: -0.478, 9.445 sec/game, 49.0 min. total, 820.0 MB
subarctic_cranberry v16 839 games, 1320711 moves, e=0.010, loss: 1.5, -, 39.6% elo% vs. v15, avg. reward: -0.465, 9.492 sec/game, 49.1 min. total, 825.7 MB
subarctic_cranberry v16 840 games, 1325318 moves, e=0.010, loss: 1.5, -, 37.9% elo% vs. v15, avg. reward: -0.453, 9.518 sec/game, 49.3 min. total, 824.6 MB
subarctic_cranberry v16 841 games, 1330012 moves, e=0.010, loss: 1.5, +, 40.6% elo% vs. v15, avg. reward: -0.445, 9.526 sec/game, 49.4 min. total, 824.5 MB
subarctic_cranberry v16 842 games, 1334525 moves, e=0.010, loss: 1.3, ., 41.1% elo% vs. v15, avg. reward: -0.438, 9.485 sec/game, 49.6 min. total, 827.0 MB
subarctic_cranberry v16 843 games, 1339218 moves, e=0.010, loss: 1.5, -, 39.2% elo% vs. v15, avg. reward: -0.427, 9.505 sec/game, 49.8 min. total, 827.5 MB
subarctic_cranberry v16 844 games, 1343707 moves, e=0.010, loss: 1.3, -, 37.5% elo% vs. v15, avg. reward: -0.417, 9.549 sec/game, 49.9 min. total, 825.8 MB
subarctic_cranberry v16 845 games, 1348113 moves, e=0.010, loss: 1.4, -, 35.9% elo% vs. v15, avg. reward: -0.412, 9.518 sec/game, 50.1 min. total, 829.1 MB
subarctic_cranberry v16 846 games, 1352087 moves, e=0.010, loss: 1.7, -, 34.4% elo% vs. v15, avg. reward: -0.409, 9.463 sec/game, 50.2 min. total, 829.0 MB
subarctic_cranberry v16 847 games, 1356566 moves, e=0.010, loss: 1.9, -, 33.0% elo% vs. v15, avg. reward: -0.404, 9.481 sec/game, 50.4 min. total, 828.5 MB
subarctic_cranberry v16 848 games, 1361239 moves, e=0.010, loss: 1.3, -, 31.7% elo% vs. v15, avg. reward: -0.401, 9.535 sec/game, 50.5 min. total, 831.1 MB
subarctic_cranberry v16 849 games, 1365484 moves, e=0.010, loss: 1.1, +, 34.5% elo% vs. v15, avg. reward: -0.396, 9.510 sec/game, 50.7 min. total, 831.5 MB
subarctic_cranberry v16 850 games, 1370099 moves, e=0.010, loss: 1.4, ., 35.1% elo% vs. v15, avg. reward: -0.390, 9.507 sec/game, 50.9 min. total, 833.5 MB
subarctic_cranberry v16 851 games, 1374004 moves, e=0.010, loss: 1.7, -, 33.6% elo% vs. v15, avg. reward: -0.389, 9.434 sec/game, 51.0 min. total, 833.2 MB
subarctic_cranberry v16 852 games, 1378487 moves, e=0.010, loss: 1.6, -, 32.3% elo% vs. v15, avg. reward: -0.385, 9.443 sec/game, 51.1 min. total, 833.3 MB
subarctic_cranberry v16 853 games, 1382632 moves, e=0.010, loss: 1.7, -, 31.0% elo% vs. v15, avg. reward: -0.382, 9.399 sec/game, 51.3 min. total, 833.8 MB
subarctic_cranberry v16 854 games, 1386975 moves, e=0.010, loss: 1.7, -, 29.8% elo% vs. v15, avg. reward: -0.377, 9.383 sec/game, 51.4 min. total, 831.5 MB
subarctic_cranberry v16 855 games, 1391379 moves, e=0.010, loss: 1.4, -, 28.6% elo% vs. v15, avg. reward: -0.374, 9.386 sec/game, 51.6 min. total, 836.8 MB
subarctic_cranberry v16 856 games, 1395598 moves, e=0.010, loss: 1.4, -, 27.6% elo% vs. v15, avg. reward: -0.371, 9.341 sec/game, 51.8 min. total, 838.7 MB
subarctic_cranberry v16 857 games, 1399985 moves, e=0.010, loss: 1.8, +, 30.3% elo% vs. v15, avg. reward: -0.370, 9.294 sec/game, 51.9 min. total, 838.6 MB
subarctic_cranberry v16 858 games, 1404383 moves, e=0.010, loss: 1.6, +, 33.1% elo% vs. v15, avg. reward: -0.368, 9.292 sec/game, 52.1 min. total, 838.7 MB
subarctic_cranberry v16 859 games, 1408611 moves, e=0.010, loss: 1.6, -, 31.8% elo% vs. v15, avg. reward: -0.364, 9.251 sec/game, 52.2 min. total, 839.0 MB
subarctic_cranberry v16 860 games, 1412987 moves, e=0.010, loss: 1.5, -, 30.5% elo% vs. v15, avg. reward: -0.361, 9.221 sec/game, 52.4 min. total, 839.2 MB
subarctic_cranberry v16 861 games, 1417396 moves, e=0.010, loss: 1.7, -, 29.3% elo% vs. v15, avg. reward: -0.358, 9.222 sec/game, 52.5 min. total, 840.1 MB
subarctic_cranberry v16 862 games, 1421531 moves, e=0.010, loss: 2.0, -, 28.2% elo% vs. v15, avg. reward: -0.359, 9.183 sec/game, 52.7 min. total, 841.3 MB
subarctic_cranberry v16 863 games, 1425711 moves, e=0.010, loss: 2.1, ., 29.0% elo% vs. v15, avg. reward: -0.360, 9.120 sec/game, 52.8 min. total, 843.0 MB
subarctic_cranberry v16 864 games, 1429834 moves, e=0.010, loss: 1.9, -, 28.0% elo% vs. v15, avg. reward: -0.362, 9.091 sec/game, 53.0 min. total, 840.9 MB
subarctic_cranberry v16 865 games, 1434293 moves, e=0.010, loss: 1.8, -, 26.9% elo% vs. v15, avg. reward: -0.360, 9.093 sec/game, 53.1 min. total, 841.5 MB
subarctic_cranberry v16 866 games, 1438770 moves, e=0.010, loss: 1.6, -, 26.0% elo% vs. v15, avg. reward: -0.361, 9.145 sec/game, 53.3 min. total, 843.5 MB
subarctic_cranberry v16 867 games, 1443117 moves, e=0.010, loss: 1.7, +, 28.7% elo% vs. v15, avg. reward: -0.360, 9.131 sec/game, 53.4 min. total, 845.6 MB
subarctic_cranberry v16 868 games, 1447608 moves, e=0.010, loss: 1.9, +, 31.4% elo% vs. v15, avg. reward: -0.360, 9.094 sec/game, 53.6 min. total, 845.8 MB
subarctic_cranberry v16 869 games, 1451904 moves, e=0.010, loss: 1.7, +, 34.2% elo% vs. v15, avg. reward: -0.359, 9.119 sec/game, 53.7 min. total, 844.5 MB
subarctic_cranberry v16 870 games, 1456172 moves, e=0.010, loss: 1.8, -, 32.8% elo% vs. v15, avg. reward: -0.359, 9.096 sec/game, 53.9 min. total, 845.5 MB
subarctic_cranberry v16 871 games, 1460088 moves, e=0.010, loss: 2.0, -, 31.5% elo% vs. v15, avg. reward: -0.362, 9.084 sec/game, 54.0 min. total, 848.1 MB
subarctic_cranberry v16 872 games, 1464496 moves, e=0.010, loss: 1.8, -, 30.3% elo% vs. v15, avg. reward: -0.362, 9.097 sec/game, 54.2 min. total, 848.5 MB
subarctic_cranberry v16 873 games, 1468930 moves, e=0.010, loss: 1.6, +, 33.0% elo% vs. v15, avg. reward: -0.362, 9.126 sec/game, 54.3 min. total, 849.0 MB
subarctic_cranberry v16 874 games, 1473322 moves, e=0.010, loss: 1.0, +, 35.8% elo% vs. v15, avg. reward: -0.361, 9.129 sec/game, 54.5 min. total, 850.1 MB
subarctic_cranberry v16 875 games, 1477449 moves, e=0.010, loss: 1.2, +, 38.6% elo% vs. v15, avg. reward: -0.361, 9.093 sec/game, 54.6 min. total, 850.2 MB
subarctic_cranberry v16 876 games, 1481929 moves, e=0.010, loss: 1.3, -, 36.9% elo% vs. v15, avg. reward: -0.360, 9.112 sec/game, 54.8 min. total, 848.3 MB
subarctic_cranberry v16 877 games, 1486270 moves, e=0.010, loss: 1.3, -, 35.3% elo% vs. v15, avg. reward: -0.360, 9.111 sec/game, 54.9 min. total, 852.3 MB
subarctic_cranberry v16 878 games, 1490546 moves, e=0.010, loss: 1.9, -, 33.9% elo% vs. v15, avg. reward: -0.360, 9.099 sec/game, 55.1 min. total, 852.9 MB
subarctic_cranberry v16 879 games, 1494527 moves, e=0.010, loss: 2.3, -, 32.5% elo% vs. v15, avg. reward: -0.360, 9.068 sec/game, 55.2 min. total, 852.9 MB
subarctic_cranberry v16 880 games, 1498432 moves, e=0.010, loss: 2.2, +, 35.3% elo% vs. v15, avg. reward: -0.362, 9.040 sec/game, 55.4 min. total, 852.9 MB
subarctic_cranberry v16 881 games, 1502726 moves, e=0.010, loss: 1.9, -, 33.8% elo% vs. v15, avg. reward: -0.363, 9.030 sec/game, 55.5 min. total, 853.9 MB
