subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v2 66 games, 46623 moves, e=0.954, loss: 5.9, -, 28.4% elo% vs. v1, avg. reward: -9.996, 1.455 sec/game, 1.3 min. total, 417.4 MB
subarctic_cranberry v2 67 games, 47429 moves, e=0.953, loss: 5.8, +, 31.2% elo% vs. v1, avg. reward: -9.975, 1.459 sec/game, 1.3 min. total, 418.1 MB
subarctic_cranberry v2 68 games, 48122 moves, e=0.952, loss: 5.5, -, 29.9% elo% vs. v1, avg. reward: -9.975, 1.451 sec/game, 1.4 min. total, 419.3 MB
subarctic_cranberry v2 69 games, 48889 moves, e=0.952, loss: 5.6, -, 28.8% elo% vs. v1, avg. reward: -9.965, 1.460 sec/game, 1.4 min. total, 420.9 MB
subarctic_cranberry v2 70 games, 49695 moves, e=0.951, loss: 5.9, -, 27.7% elo% vs. v1, avg. reward: -9.945, 1.484 sec/game, 1.4 min. total, 423.1 MB
subarctic_cranberry v2 71 games, 50346 moves, e=0.950, loss: 5.8, -, 26.7% elo% vs. v1, avg. reward: -9.955, 1.468 sec/game, 1.4 min. total, 421.4 MB
subarctic_cranberry v2 72 games, 50960 moves, e=0.950, loss: 5.9, +, 29.4% elo% vs. v1, avg. reward: -9.979, 1.468 sec/game, 1.5 min. total, 421.3 MB
subarctic_cranberry v2 73 games, 51765 moves, e=0.949, loss: 5.9, +, 32.2% elo% vs. v1, avg. reward: -9.965, 1.468 sec/game, 1.5 min. total, 421.2 MB
subarctic_cranberry v2 74 games, 52476 moves, e=0.948, loss: 6.1, -, 30.9% elo% vs. v1, avg. reward: -9.963, 1.456 sec/game, 1.5 min. total, 420.9 MB
subarctic_cranberry v2 75 games, 53297 moves, e=0.947, loss: 6.4, +, 33.7% elo% vs. v1, avg. reward: -9.942, 1.481 sec/game, 1.5 min. total, 421.4 MB
subarctic_cranberry v2 76 games, 53963 moves, e=0.947, loss: 6.3, -, 32.3% elo% vs. v1, avg. reward: -9.951, 1.470 sec/game, 1.6 min. total, 421.4 MB
subarctic_cranberry v2 77 games, 54702 moves, e=0.946, loss: 6.2, -, 31.0% elo% vs. v1, avg. reward: -9.939, 1.480 sec/game, 1.6 min. total, 421.2 MB
subarctic_cranberry v2 78 games, 55485 moves, e=0.945, loss: 6.4, -, 29.8% elo% vs. v1, avg. reward: -9.923, 1.496 sec/game, 1.6 min. total, 422.4 MB
