pushchair_marxism v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
pushchair_marxism v3 72 games, 51058 moves, e=0.949, loss: 22455.1, -, 11.2% elo% vs. random_no_suicide, avg. reward: 21.793, 1.625 sec/game, 1.6 min. total, 479.4 MB
pushchair_marxism v3 73 games, 51793 moves, e=0.949, loss: 23516.1, -, 11.0% elo% vs. random_no_suicide, avg. reward: 21.366, 1.642 sec/game, 1.6 min. total, 483.8 MB
pushchair_marxism v3 74 games, 52471 moves, e=0.948, loss: 24145.5, -, 10.8% elo% vs. random_no_suicide, avg. reward: 21.535, 1.632 sec/game, 1.7 min. total, 479.6 MB
pushchair_marxism v3 75 games, 53203 moves, e=0.947, loss: 23686.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: 21.120, 1.664 sec/game, 1.7 min. total, 479.6 MB
pushchair_marxism v3 76 games, 53977 moves, e=0.947, loss: 24553.0, -, 10.4% elo% vs. random_no_suicide, avg. reward: 20.718, 1.681 sec/game, 1.7 min. total, 480.4 MB
pushchair_marxism v3 77 games, 54886 moves, e=0.946, loss: 24464.3, -, 10.3% elo% vs. random_no_suicide, avg. reward: 20.350, 1.678 sec/game, 1.8 min. total, 480.7 MB
pushchair_marxism v3 78 games, 55718 moves, e=0.945, loss: 18072.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 20.754, 1.699 sec/game, 1.8 min. total, 481.1 MB
pushchair_marxism v3 79 games, 56527 moves, e=0.944, loss: 19635.1, -, 9.9% elo% vs. random_no_suicide, avg. reward: 21.008, 1.712 sec/game, 1.8 min. total, 482.2 MB
pushchair_marxism v3 80 games, 57290 moves, e=0.943, loss: 27945.0, -, 9.8% elo% vs. random_no_suicide, avg. reward: 21.122, 1.739 sec/game, 1.9 min. total, 483.9 MB
pushchair_marxism v3 81 games, 57977 moves, e=0.943, loss: 29936.2, -, 9.6% elo% vs. random_no_suicide, avg. reward: 21.275, 1.727 sec/game, 1.9 min. total, 483.5 MB
pushchair_marxism v3 82 games, 58725 moves, e=0.942, loss: 29956.8, -, 9.4% elo% vs. random_no_suicide, avg. reward: 21.720, 1.731 sec/game, 1.9 min. total, 484.0 MB
pushchair_marxism v3 83 games, 59398 moves, e=0.941, loss: 31945.4, -, 9.3% elo% vs. random_no_suicide, avg. reward: 21.868, 1.733 sec/game, 2.0 min. total, 483.9 MB
pushchair_marxism v3 84 games, 60143 moves, e=0.940, loss: 32514.1, -, 9.2% elo% vs. random_no_suicide, avg. reward: 21.811, 1.734 sec/game, 2.0 min. total, 484.3 MB
pushchair_marxism v3 85 games, 60899 moves, e=0.940, loss: 45184.1, -, 9.0% elo% vs. random_no_suicide, avg. reward: 21.910, 1.738 sec/game, 2.0 min. total, 483.9 MB
pushchair_marxism v3 86 games, 61700 moves, e=0.939, loss: 43651.5, -, 8.9% elo% vs. random_no_suicide, avg. reward: 21.551, 1.767 sec/game, 2.0 min. total, 483.9 MB
pushchair_marxism v3 87 games, 62515 moves, e=0.938, loss: 39475.1, -, 8.7% elo% vs. random_no_suicide, avg. reward: 21.630, 1.784 sec/game, 2.1 min. total, 484.2 MB
pushchair_marxism v3 88 games, 63249 moves, e=0.937, loss: 45292.7, -, 8.6% elo% vs. random_no_suicide, avg. reward: 21.581, 1.792 sec/game, 2.1 min. total, 484.0 MB
pushchair_marxism v3 89 games, 63907 moves, e=0.937, loss: 40735.5, -, 8.5% elo% vs. random_no_suicide, avg. reward: 21.217, 1.781 sec/game, 2.1 min. total, 484.1 MB
pushchair_marxism v3 90 games, 64537 moves, e=0.936, loss: 37716.1, -, 8.4% elo% vs. random_no_suicide, avg. reward: 21.384, 1.777 sec/game, 2.2 min. total, 485.9 MB
pushchair_marxism v3 91 games, 65316 moves, e=0.935, loss: 44064.0, -, 8.3% elo% vs. random_no_suicide, avg. reward: 21.047, 1.800 sec/game, 2.2 min. total, 486.5 MB
pushchair_marxism v3 92 games, 66052 moves, e=0.935, loss: 38837.1, -, 8.1% elo% vs. random_no_suicide, avg. reward: 20.713, 1.801 sec/game, 2.2 min. total, 486.4 MB
pushchair_marxism v3 93 games, 66729 moves, e=0.934, loss: 37419.9, -, 8.0% elo% vs. random_no_suicide, avg. reward: 20.377, 1.790 sec/game, 2.2 min. total, 486.4 MB
pushchair_marxism v3 94 games, 67410 moves, e=0.933, loss: 33682.7, -, 7.9% elo% vs. random_no_suicide, avg. reward: 20.517, 1.793 sec/game, 2.3 min. total, 486.5 MB
pushchair_marxism v3 95 games, 68132 moves, e=0.933, loss: 27230.0, -, 7.8% elo% vs. random_no_suicide, avg. reward: 20.636, 1.792 sec/game, 2.3 min. total, 486.6 MB
pushchair_marxism v3 96 games, 68850 moves, e=0.932, loss: 26211.9, -, 7.7% elo% vs. random_no_suicide, avg. reward: 20.607, 1.778 sec/game, 2.3 min. total, 486.6 MB
pushchair_marxism v3 97 games, 69560 moves, e=0.931, loss: 29406.2, -, 7.6% elo% vs. random_no_suicide, avg. reward: 20.728, 1.771 sec/game, 2.4 min. total, 486.5 MB
pushchair_marxism v3 98 games, 70350 moves, e=0.930, loss: 27120.6, -, 7.5% elo% vs. random_no_suicide, avg. reward: 20.425, 1.760 sec/game, 2.4 min. total, 486.7 MB
pushchair_marxism v3 99 games, 71193 moves, e=0.930, loss: 26425.6, -, 7.4% elo% vs. random_no_suicide, avg. reward: 20.134, 1.765 sec/game, 2.4 min. total, 486.5 MB
pushchair_marxism v3 100 games, 71856 moves, e=0.929, loss: 25216.9, -, 7.3% elo% vs. random_no_suicide, avg. reward: 19.825, 1.749 sec/game, 2.4 min. total, 486.7 MB
pushchair_marxism v3 101 games, 72653 moves, e=0.928, loss: 24522.1, -, 7.2% elo% vs. random_no_suicide, avg. reward: 19.315, 1.765 sec/game, 2.5 min. total, 487.9 MB
pushchair_marxism v3 102 games, 73328 moves, e=0.927, loss: 18055.4, -, 7.1% elo% vs. random_no_suicide, avg. reward: 19.771, 1.745 sec/game, 2.5 min. total, 488.4 MB
pushchair_marxism v3 103 games, 74088 moves, e=0.927, loss: 20809.1, -, 7.1% elo% vs. random_no_suicide, avg. reward: 19.461, 1.749 sec/game, 2.5 min. total, 488.5 MB
pushchair_marxism v3 104 games, 74889 moves, e=0.926, loss: 27014.2, -, 7.0% elo% vs. random_no_suicide, avg. reward: 19.160, 1.775 sec/game, 2.6 min. total, 488.8 MB
pushchair_marxism v3 105 games, 75573 moves, e=0.925, loss: 23296.1, -, 6.9% elo% vs. random_no_suicide, avg. reward: 18.540, 1.759 sec/game, 2.6 min. total, 488.5 MB
pushchair_marxism v3 106 games, 76244 moves, e=0.925, loss: 22789.2, -, 6.8% elo% vs. random_no_suicide, avg. reward: 18.544, 1.734 sec/game, 2.6 min. total, 488.9 MB
pushchair_marxism v3 107 games, 77063 moves, e=0.924, loss: 24084.3, -, 6.7% elo% vs. random_no_suicide, avg. reward: 18.078, 1.743 sec/game, 2.7 min. total, 488.6 MB
pushchair_marxism v3 108 games, 77853 moves, e=0.923, loss: 23275.5, -, 6.7% elo% vs. random_no_suicide, avg. reward: 18.194, 1.746 sec/game, 2.7 min. total, 488.5 MB
pushchair_marxism v3 109 games, 78529 moves, e=0.922, loss: 19961.2, -, 6.6% elo% vs. random_no_suicide, avg. reward: 17.988, 1.745 sec/game, 2.7 min. total, 488.6 MB
pushchair_marxism v3 110 games, 79340 moves, e=0.921, loss: 19709.3, -, 6.5% elo% vs. random_no_suicide, avg. reward: 18.606, 1.761 sec/game, 2.7 min. total, 488.8 MB
pushchair_marxism v3 111 games, 80091 moves, e=0.921, loss: 18965.7, -, 6.4% elo% vs. random_no_suicide, avg. reward: 18.030, 1.755 sec/game, 2.8 min. total, 489.7 MB
pushchair_marxism v3 112 games, 80931 moves, e=0.920, loss: 24018.9, -, 6.4% elo% vs. random_no_suicide, avg. reward: 18.247, 1.771 sec/game, 2.8 min. total, 490.5 MB
pushchair_marxism v3 113 games, 81652 moves, e=0.919, loss: 27028.2, -, 6.3% elo% vs. random_no_suicide, avg. reward: 17.963, 1.770 sec/game, 2.8 min. total, 490.6 MB
pushchair_marxism v3 114 games, 82433 moves, e=0.918, loss: 29767.6, -, 6.2% elo% vs. random_no_suicide, avg. reward: 17.962, 1.801 sec/game, 2.9 min. total, 490.8 MB
