cocoa_revisable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
cocoa_revisable v1 76 games, 53947 moves, e=0.947, loss: 535.1, ., 63.4% elo% vs. v0, avg. reward: 7.984, 1.590 sec/game, 1.6 min. total, 415.9 MB
cocoa_revisable v1 77 games, 54516 moves, e=0.946, loss: 485.5, ., 62.9% elo% vs. v0, avg. reward: 7.936, 1.570 sec/game, 1.7 min. total, 416.0 MB
cocoa_revisable v1 78 games, 55356 moves, e=0.945, loss: 495.4, ., 62.3% elo% vs. v0, avg. reward: 8.045, 1.585 sec/game, 1.7 min. total, 419.2 MB
cocoa_revisable v1 79 games, 56217 moves, e=0.944, loss: 552.8, ., 61.8% elo% vs. v0, avg. reward: 8.001, 1.605 sec/game, 1.7 min. total, 416.2 MB
cocoa_revisable v1 80 games, 57002 moves, e=0.944, loss: 593.1, ., 61.3% elo% vs. v0, avg. reward: 7.957, 1.611 sec/game, 1.7 min. total, 416.2 MB
cocoa_revisable v1 81 games, 57726 moves, e=0.943, loss: 649.0, ., 60.8% elo% vs. v0, avg. reward: 8.011, 1.612 sec/game, 1.8 min. total, 416.4 MB
cocoa_revisable v1 82 games, 58529 moves, e=0.942, loss: 676.4, +, 62.5% elo% vs. v0, avg. reward: 8.224, 1.625 sec/game, 1.8 min. total, 420.0 MB
cocoa_revisable v1 83 games, 59324 moves, e=0.941, loss: 654.8, ., 61.9% elo% vs. v0, avg. reward: 8.227, 1.625 sec/game, 1.8 min. total, 418.6 MB
cocoa_revisable v1 84 games, 60097 moves, e=0.941, loss: 586.5, ., 61.4% elo% vs. v0, avg. reward: 8.177, 1.631 sec/game, 1.9 min. total, 419.7 MB
cocoa_revisable v1 85 games, 60695 moves, e=0.940, loss: 568.4, ., 60.9% elo% vs. v0, avg. reward: 8.083, 1.632 sec/game, 1.9 min. total, 419.6 MB
cocoa_revisable v1 86 games, 61380 moves, e=0.939, loss: 619.8, +, 62.6% elo% vs. v0, avg. reward: 8.047, 1.634 sec/game, 1.9 min. total, 422.1 MB
cocoa_revisable v1 87 games, 62201 moves, e=0.938, loss: 640.9, +, 64.2% elo% vs. v0, avg. reward: 8.038, 1.640 sec/game, 1.9 min. total, 421.9 MB
cocoa_revisable v1 88 games, 62962 moves, e=0.938, loss: 691.2, +, 65.7% elo% vs. v0, avg. reward: 7.986, 1.645 sec/game, 2.0 min. total, 419.9 MB
cocoa_revisable v1 89 games, 63745 moves, e=0.937, loss: 696.5, ., 65.1% elo% vs. v0, avg. reward: 7.991, 1.652 sec/game, 2.0 min. total, 419.9 MB
cocoa_revisable v1 90 games, 64508 moves, e=0.936, loss: 660.7, +, 66.5% elo% vs. v0, avg. reward: 7.927, 1.641 sec/game, 2.0 min. total, 419.6 MB
cocoa_revisable v1 91 games, 65282 moves, e=0.935, loss: 704.7, +, 67.9% elo% vs. v0, avg. reward: 7.940, 1.647 sec/game, 2.0 min. total, 422.2 MB
cocoa_revisable v1 92 games, 65987 moves, e=0.935, loss: 734.7, +, 69.1% elo% vs. v0, avg. reward: 7.893, 1.639 sec/game, 2.1 min. total, 422.3 MB
cocoa_revisable v1 93 games, 66685 moves, e=0.934, loss: 764.8, +, 70.3% elo% vs. v0, avg. reward: 7.863, 1.628 sec/game, 2.1 min. total, 423.8 MB
cocoa_revisable v2 94 games, 67310 moves, e=0.933, loss: 767.9, -, 49.9% elo% vs. v1, avg. reward: 7.791, 1.630 sec/game, 2.1 min. total, 489.1 MB
cocoa_revisable v2 95 games, 68129 moves, e=0.933, loss: 688.8, -, 47.6% elo% vs. v1, avg. reward: 7.770, 1.619 sec/game, 2.1 min. total, 489.3 MB
cocoa_revisable v2 96 games, 68896 moves, e=0.932, loss: 696.0, -, 45.4% elo% vs. v1, avg. reward: 7.806, 1.620 sec/game, 2.2 min. total, 489.2 MB
cocoa_revisable v2 97 games, 69587 moves, e=0.931, loss: 651.6, -, 43.4% elo% vs. v1, avg. reward: 7.780, 1.629 sec/game, 2.2 min. total, 489.7 MB
cocoa_revisable v2 98 games, 70387 moves, e=0.930, loss: 655.3, -, 41.4% elo% vs. v1, avg. reward: 7.700, 1.616 sec/game, 2.2 min. total, 487.2 MB
cocoa_revisable v2 99 games, 71154 moves, e=0.930, loss: 779.9, -, 39.6% elo% vs. v1, avg. reward: 7.667, 1.602 sec/game, 2.3 min. total, 488.0 MB
cocoa_revisable v2 100 games, 71860 moves, e=0.929, loss: 742.8, -, 37.8% elo% vs. v1, avg. reward: 7.621, 1.600 sec/game, 2.3 min. total, 492.4 MB
cocoa_revisable v2 101 games, 72614 moves, e=0.928, loss: 690.3, +, 40.6% elo% vs. v1, avg. reward: 7.645, 1.616 sec/game, 2.3 min. total, 492.9 MB
cocoa_revisable v2 102 games, 73302 moves, e=0.927, loss: 672.9, +, 43.2% elo% vs. v1, avg. reward: 7.646, 1.596 sec/game, 2.3 min. total, 495.0 MB
cocoa_revisable v2 103 games, 74081 moves, e=0.927, loss: 613.0, +, 45.8% elo% vs. v1, avg. reward: 7.617, 1.596 sec/game, 2.4 min. total, 496.8 MB
cocoa_revisable v2 104 games, 74776 moves, e=0.926, loss: 628.9, -, 43.7% elo% vs. v1, avg. reward: 7.524, 1.594 sec/game, 2.4 min. total, 497.1 MB
cocoa_revisable v2 105 games, 75509 moves, e=0.925, loss: 680.5, -, 41.8% elo% vs. v1, avg. reward: 7.526, 1.609 sec/game, 2.4 min. total, 497.4 MB
cocoa_revisable v2 106 games, 76315 moves, e=0.924, loss: 693.8, -, 39.9% elo% vs. v1, avg. reward: 7.504, 1.649 sec/game, 2.5 min. total, 498.1 MB
cocoa_revisable v2 107 games, 77074 moves, e=0.924, loss: 711.1, -, 38.1% elo% vs. v1, avg. reward: 7.450, 1.661 sec/game, 2.5 min. total, 498.6 MB
cocoa_revisable v2 108 games, 77848 moves, e=0.923, loss: 712.2, -, 36.5% elo% vs. v1, avg. reward: 7.499, 1.671 sec/game, 2.5 min. total, 501.3 MB
cocoa_revisable v2 109 games, 78568 moves, e=0.922, loss: 692.0, -, 35.0% elo% vs. v1, avg. reward: 7.481, 1.661 sec/game, 2.5 min. total, 499.9 MB
cocoa_revisable v2 110 games, 79486 moves, e=0.921, loss: 712.8, -, 33.5% elo% vs. v1, avg. reward: 7.528, 1.698 sec/game, 2.6 min. total, 503.0 MB
cocoa_revisable v2 111 games, 80380 moves, e=0.920, loss: 714.3, +, 36.3% elo% vs. v1, avg. reward: 7.601, 1.720 sec/game, 2.6 min. total, 503.2 MB
cocoa_revisable v2 112 games, 81110 moves, e=0.920, loss: 749.4, +, 39.0% elo% vs. v1, avg. reward: 7.523, 1.744 sec/game, 2.6 min. total, 504.2 MB
cocoa_revisable v2 113 games, 81766 moves, e=0.919, loss: 730.5, -, 37.3% elo% vs. v1, avg. reward: 7.599, 1.748 sec/game, 2.7 min. total, 504.0 MB
cocoa_revisable v2 114 games, 82349 moves, e=0.918, loss: 771.2, ., 37.9% elo% vs. v1, avg. reward: 7.507, 1.751 sec/game, 2.7 min. total, 503.9 MB
cocoa_revisable v2 115 games, 83099 moves, e=0.918, loss: 791.8, -, 36.3% elo% vs. v1, avg. reward: 7.464, 1.744 sec/game, 2.7 min. total, 503.9 MB
cocoa_revisable v2 116 games, 83963 moves, e=0.917, loss: 742.0, -, 34.7% elo% vs. v1, avg. reward: 7.498, 1.761 sec/game, 2.8 min. total, 504.8 MB
cocoa_revisable v2 117 games, 84742 moves, e=0.916, loss: 827.1, -, 33.3% elo% vs. v1, avg. reward: 7.508, 1.798 sec/game, 2.8 min. total, 507.0 MB
cocoa_revisable v2 118 games, 85420 moves, e=0.915, loss: 791.5, -, 32.0% elo% vs. v1, avg. reward: 7.590, 1.795 sec/game, 2.8 min. total, 505.3 MB
cocoa_revisable v2 119 games, 86131 moves, e=0.915, loss: 936.9, -, 30.7% elo% vs. v1, avg. reward: 7.609, 1.788 sec/game, 2.8 min. total, 508.7 MB
cocoa_revisable v2 120 games, 86887 moves, e=0.914, loss: 958.8, -, 29.5% elo% vs. v1, avg. reward: 7.622, 1.787 sec/game, 2.9 min. total, 510.1 MB
cocoa_revisable v2 121 games, 87682 moves, e=0.913, loss: 1083.9, +, 32.3% elo% vs. v1, avg. reward: 7.667, 1.798 sec/game, 2.9 min. total, 508.1 MB
cocoa_revisable v2 122 games, 88383 moves, e=0.913, loss: 1086.6, ., 33.0% elo% vs. v1, avg. reward: 7.627, 1.795 sec/game, 2.9 min. total, 508.1 MB
cocoa_revisable v2 123 games, 89235 moves, e=0.912, loss: 1021.5, -, 31.7% elo% vs. v1, avg. reward: 7.639, 1.807 sec/game, 3.0 min. total, 508.3 MB
cocoa_revisable v2 124 games, 89972 moves, e=0.911, loss: 978.6, ., 32.4% elo% vs. v1, avg. reward: 7.683, 1.801 sec/game, 3.0 min. total, 508.5 MB
cocoa_revisable v2 125 games, 90717 moves, e=0.910, loss: 894.9, +, 35.2% elo% vs. v1, avg. reward: 7.705, 1.820 sec/game, 3.0 min. total, 510.5 MB
cocoa_revisable v2 126 games, 91414 moves, e=0.910, loss: 953.9, +, 37.9% elo% vs. v1, avg. reward: 7.820, 1.795 sec/game, 3.0 min. total, 512.0 MB
cocoa_revisable v2 127 games, 92173 moves, e=0.909, loss: 981.0, -, 36.3% elo% vs. v1, avg. reward: 7.939, 1.840 sec/game, 3.1 min. total, 511.8 MB
cocoa_revisable v2 128 games, 92900 moves, e=0.908, loss: 1038.4, -, 34.8% elo% vs. v1, avg. reward: 7.844, 1.829 sec/game, 3.1 min. total, 512.7 MB
cocoa_revisable v2 129 games, 93648 moves, e=0.907, loss: 1118.3, -, 33.3% elo% vs. v1, avg. reward: 7.810, 1.840 sec/game, 3.2 min. total, 512.5 MB
