magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v4 101 games, 73513 moves, e=0.927, loss: 4.4, +, 52.3% elo% vs. random_no_suicide, avg. reward: -8.335, 1.420 sec/game, 2.0 min. total, 482.9 MB
magnetize_flanked v4 102 games, 74363 moves, e=0.926, loss: 4.8, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.314, 1.436 sec/game, 2.0 min. total, 483.7 MB
magnetize_flanked v4 103 games, 75200 moves, e=0.926, loss: 4.6, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.302, 1.439 sec/game, 2.0 min. total, 484.6 MB
magnetize_flanked v4 104 games, 75891 moves, e=0.925, loss: 4.5, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.304, 1.430 sec/game, 2.1 min. total, 490.4 MB
magnetize_flanked v4 105 games, 76644 moves, e=0.924, loss: 4.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.300, 1.430 sec/game, 2.1 min. total, 486.2 MB
magnetize_flanked v4 106 games, 77341 moves, e=0.923, loss: 4.4, -, 41.4% elo% vs. random_no_suicide, avg. reward: -8.311, 1.440 sec/game, 2.1 min. total, 485.9 MB
magnetize_flanked v4 107 games, 78074 moves, e=0.923, loss: 4.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.316, 1.434 sec/game, 2.1 min. total, 490.9 MB
magnetize_flanked v4 108 games, 78767 moves, e=0.922, loss: 5.1, -, 37.8% elo% vs. random_no_suicide, avg. reward: -8.317, 1.440 sec/game, 2.2 min. total, 486.1 MB
magnetize_flanked v4 109 games, 79465 moves, e=0.921, loss: 5.2, -, 36.2% elo% vs. random_no_suicide, avg. reward: -8.327, 1.435 sec/game, 2.2 min. total, 486.2 MB
magnetize_flanked v4 110 games, 80285 moves, e=0.921, loss: 5.0, -, 34.7% elo% vs. random_no_suicide, avg. reward: -8.318, 1.468 sec/game, 2.2 min. total, 486.4 MB
magnetize_flanked v4 111 games, 81013 moves, e=0.920, loss: 5.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.314, 1.465 sec/game, 2.2 min. total, 486.4 MB
magnetize_flanked v4 112 games, 81736 moves, e=0.919, loss: 4.9, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.305, 1.477 sec/game, 2.3 min. total, 487.0 MB
magnetize_flanked v4 113 games, 82383 moves, e=0.918, loss: 4.9, -, 30.6% elo% vs. random_no_suicide, avg. reward: -8.323, 1.479 sec/game, 2.3 min. total, 486.8 MB
magnetize_flanked v4 114 games, 83182 moves, e=0.918, loss: 4.9, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.311, 1.498 sec/game, 2.3 min. total, 486.8 MB
magnetize_flanked v4 115 games, 83992 moves, e=0.917, loss: 4.8, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.320, 1.519 sec/game, 2.3 min. total, 487.5 MB
magnetize_flanked v4 116 games, 84668 moves, e=0.916, loss: 5.0, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.330, 1.521 sec/game, 2.4 min. total, 487.8 MB
magnetize_flanked v4 117 games, 85518 moves, e=0.915, loss: 5.0, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.315, 1.545 sec/game, 2.4 min. total, 487.9 MB
magnetize_flanked v4 118 games, 86330 moves, e=0.915, loss: 5.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.274, 1.551 sec/game, 2.4 min. total, 487.9 MB
magnetize_flanked v4 119 games, 87099 moves, e=0.914, loss: 5.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.267, 1.564 sec/game, 2.5 min. total, 488.3 MB
magnetize_flanked v4 120 games, 87865 moves, e=0.913, loss: 5.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.263, 1.566 sec/game, 2.5 min. total, 488.3 MB
magnetize_flanked v4 121 games, 88595 moves, e=0.912, loss: 4.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.249, 1.541 sec/game, 2.5 min. total, 488.6 MB
