magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v11 750 games, 715886 moves, e=0.291, loss: 5.7, -, 10.8% elo% vs. simple_bot, avg. reward: -3.480, 3.541 sec/game, 27.2 min. total, 694.4 MB
magnetize_flanked v11 751 games, 717299 moves, e=0.290, loss: 5.8, -, 10.6% elo% vs. simple_bot, avg. reward: -3.457, 3.562 sec/game, 27.2 min. total, 695.4 MB
magnetize_flanked v11 752 games, 718947 moves, e=0.288, loss: 5.2, -, 10.4% elo% vs. simple_bot, avg. reward: -3.438, 3.583 sec/game, 27.3 min. total, 697.1 MB
magnetize_flanked v11 753 games, 720152 moves, e=0.287, loss: 4.9, -, 10.3% elo% vs. simple_bot, avg. reward: -3.444, 3.581 sec/game, 27.3 min. total, 697.3 MB
magnetize_flanked v11 754 games, 721911 moves, e=0.285, loss: 4.5, -, 10.1% elo% vs. simple_bot, avg. reward: -3.433, 3.594 sec/game, 27.4 min. total, 698.2 MB
magnetize_flanked v11 755 games, 723303 moves, e=0.284, loss: 4.5, -, 9.9% elo% vs. simple_bot, avg. reward: -3.421, 3.594 sec/game, 27.5 min. total, 699.0 MB
magnetize_flanked v11 756 games, 725017 moves, e=0.282, loss: 4.6, -, 9.8% elo% vs. simple_bot, avg. reward: -3.408, 3.640 sec/game, 27.6 min. total, 698.1 MB
magnetize_flanked v11 757 games, 726369 moves, e=0.281, loss: 4.3, -, 9.6% elo% vs. simple_bot, avg. reward: -3.403, 3.616 sec/game, 27.6 min. total, 698.1 MB
magnetize_flanked v11 758 games, 727791 moves, e=0.279, loss: 4.3, -, 9.5% elo% vs. simple_bot, avg. reward: -3.394, 3.642 sec/game, 27.7 min. total, 699.5 MB
magnetize_flanked v11 759 games, 729245 moves, e=0.278, loss: 5.2, -, 9.3% elo% vs. simple_bot, avg. reward: -3.388, 3.666 sec/game, 27.7 min. total, 699.2 MB
magnetize_flanked v11 760 games, 730593 moves, e=0.277, loss: 5.4, -, 9.2% elo% vs. simple_bot, avg. reward: -3.389, 3.642 sec/game, 27.8 min. total, 699.3 MB
magnetize_flanked v11 761 games, 732109 moves, e=0.275, loss: 5.7, -, 9.0% elo% vs. simple_bot, avg. reward: -3.380, 3.636 sec/game, 27.8 min. total, 699.2 MB
magnetize_flanked v11 762 games, 733761 moves, e=0.274, loss: 6.0, -, 8.9% elo% vs. simple_bot, avg. reward: -3.373, 3.649 sec/game, 27.9 min. total, 699.4 MB
magnetize_flanked v11 763 games, 735509 moves, e=0.272, loss: 5.6, -, 8.8% elo% vs. simple_bot, avg. reward: -3.361, 3.700 sec/game, 28.0 min. total, 700.4 MB
magnetize_flanked v11 764 games, 736931 moves, e=0.270, loss: 5.5, -, 8.6% elo% vs. simple_bot, avg. reward: -3.349, 3.729 sec/game, 28.0 min. total, 702.8 MB
magnetize_flanked v11 765 games, 738202 moves, e=0.269, loss: 6.1, -, 8.5% elo% vs. simple_bot, avg. reward: -3.346, 3.721 sec/game, 28.1 min. total, 702.5 MB
magnetize_flanked v11 766 games, 739632 moves, e=0.268, loss: 6.0, -, 8.4% elo% vs. simple_bot, avg. reward: -3.340, 3.738 sec/game, 28.2 min. total, 702.3 MB
magnetize_flanked v11 767 games, 741199 moves, e=0.266, loss: 5.6, -, 8.3% elo% vs. simple_bot, avg. reward: -3.329, 3.733 sec/game, 28.2 min. total, 703.2 MB
magnetize_flanked v11 768 games, 742884 moves, e=0.265, loss: 5.3, -, 8.1% elo% vs. simple_bot, avg. reward: -3.302, 3.777 sec/game, 28.3 min. total, 703.0 MB
magnetize_flanked v11 769 games, 744505 moves, e=0.263, loss: 4.8, -, 8.0% elo% vs. simple_bot, avg. reward: -3.286, 3.760 sec/game, 28.4 min. total, 703.4 MB
magnetize_flanked v11 770 games, 745734 moves, e=0.262, loss: 5.1, -, 7.9% elo% vs. simple_bot, avg. reward: -3.283, 3.716 sec/game, 28.4 min. total, 703.7 MB
magnetize_flanked v11 771 games, 747436 moves, e=0.260, loss: 4.8, -, 7.8% elo% vs. simple_bot, avg. reward: -3.257, 3.754 sec/game, 28.5 min. total, 704.1 MB
magnetize_flanked v11 772 games, 749042 moves, e=0.258, loss: 4.7, +, 9.1% elo% vs. simple_bot, avg. reward: -3.239, 3.746 sec/game, 28.5 min. total, 704.1 MB
magnetize_flanked v11 773 games, 751008 moves, e=0.257, loss: 4.0, -, 9.0% elo% vs. simple_bot, avg. reward: -3.225, 3.821 sec/game, 28.6 min. total, 707.1 MB
magnetize_flanked v11 774 games, 752664 moves, e=0.255, loss: 4.2, -, 8.9% elo% vs. simple_bot, avg. reward: -3.203, 3.823 sec/game, 28.7 min. total, 708.5 MB
magnetize_flanked v11 775 games, 754716 moves, e=0.253, loss: 3.5, -, 8.7% elo% vs. simple_bot, avg. reward: -3.184, 3.887 sec/game, 28.8 min. total, 711.6 MB
magnetize_flanked v11 776 games, 756637 moves, e=0.251, loss: 3.1, -, 8.6% elo% vs. simple_bot, avg. reward: -3.159, 3.894 sec/game, 28.9 min. total, 712.0 MB
magnetize_flanked v11 777 games, 758283 moves, e=0.249, loss: 3.3, -, 8.5% elo% vs. simple_bot, avg. reward: -3.133, 3.943 sec/game, 28.9 min. total, 711.5 MB
magnetize_flanked v11 778 games, 760641 moves, e=0.247, loss: 3.1, -, 8.4% elo% vs. simple_bot, avg. reward: -3.109, 4.035 sec/game, 29.0 min. total, 713.6 MB
magnetize_flanked v11 779 games, 762449 moves, e=0.245, loss: 3.3, -, 8.2% elo% vs. simple_bot, avg. reward: -3.095, 4.064 sec/game, 29.1 min. total, 712.5 MB
magnetize_flanked v11 780 games, 764073 moves, e=0.244, loss: 3.6, -, 8.1% elo% vs. simple_bot, avg. reward: -3.081, 4.103 sec/game, 29.1 min. total, 712.0 MB
magnetize_flanked v11 781 games, 765714 moves, e=0.242, loss: 3.8, -, 8.0% elo% vs. simple_bot, avg. reward: -3.071, 4.118 sec/game, 29.2 min. total, 712.5 MB
magnetize_flanked v11 782 games, 767749 moves, e=0.240, loss: 3.4, -, 7.9% elo% vs. simple_bot, avg. reward: -3.050, 4.171 sec/game, 29.3 min. total, 713.0 MB
magnetize_flanked v11 783 games, 769499 moves, e=0.238, loss: 3.2, -, 7.8% elo% vs. simple_bot, avg. reward: -3.039, 4.175 sec/game, 29.4 min. total, 713.0 MB
magnetize_flanked v11 784 games, 771532 moves, e=0.236, loss: 3.4, -, 7.7% elo% vs. simple_bot, avg. reward: -3.027, 4.247 sec/game, 29.5 min. total, 711.8 MB
magnetize_flanked v11 785 games, 773296 moves, e=0.234, loss: 3.8, -, 7.6% elo% vs. simple_bot, avg. reward: -3.012, 4.306 sec/game, 29.5 min. total, 711.7 MB
magnetize_flanked v11 786 games, 775508 moves, e=0.232, loss: 3.7, -, 7.5% elo% vs. simple_bot, avg. reward: -2.991, 4.379 sec/game, 29.6 min. total, 716.3 MB
magnetize_flanked v11 787 games, 777311 moves, e=0.230, loss: 3.5, -, 7.4% elo% vs. simple_bot, avg. reward: -2.982, 4.414 sec/game, 29.7 min. total, 717.1 MB
magnetize_flanked v11 788 games, 779139 moves, e=0.229, loss: 3.4, +, 8.7% elo% vs. simple_bot, avg. reward: -2.957, 4.437 sec/game, 29.8 min. total, 718.6 MB
magnetize_flanked v11 789 games, 780938 moves, e=0.227, loss: 4.1, -, 8.5% elo% vs. simple_bot, avg. reward: -2.934, 4.443 sec/game, 29.8 min. total, 717.3 MB
magnetize_flanked v11 790 games, 783144 moves, e=0.225, loss: 3.9, -, 8.4% elo% vs. simple_bot, avg. reward: -2.918, 4.543 sec/game, 29.9 min. total, 719.7 MB
magnetize_flanked v11 791 games, 784823 moves, e=0.223, loss: 4.5, -, 8.3% elo% vs. simple_bot, avg. reward: -2.907, 4.536 sec/game, 30.0 min. total, 718.4 MB
magnetize_flanked v11 792 games, 786802 moves, e=0.221, loss: 4.7, ., 8.9% elo% vs. simple_bot, avg. reward: -2.897, 4.578 sec/game, 30.1 min. total, 721.5 MB
magnetize_flanked v11 793 games, 788800 moves, e=0.219, loss: 4.2, -, 8.8% elo% vs. simple_bot, avg. reward: -2.887, 4.578 sec/game, 30.1 min. total, 719.1 MB
magnetize_flanked v11 794 games, 790711 moves, e=0.217, loss: 4.6, -, 8.6% elo% vs. simple_bot, avg. reward: -2.875, 4.607 sec/game, 30.2 min. total, 720.2 MB
magnetize_flanked v11 795 games, 792471 moves, e=0.215, loss: 5.5, -, 8.5% elo% vs. simple_bot, avg. reward: -2.862, 4.588 sec/game, 30.3 min. total, 719.3 MB
magnetize_flanked v11 796 games, 793953 moves, e=0.214, loss: 6.0, -, 8.4% elo% vs. simple_bot, avg. reward: -2.856, 4.541 sec/game, 30.4 min. total, 717.4 MB
magnetize_flanked v11 797 games, 795913 moves, e=0.212, loss: 5.6, -, 8.3% elo% vs. simple_bot, avg. reward: -2.837, 4.569 sec/game, 30.4 min. total, 721.5 MB
magnetize_flanked v11 798 games, 797717 moves, e=0.210, loss: 5.8, -, 8.2% elo% vs. simple_bot, avg. reward: -2.830, 4.514 sec/game, 30.5 min. total, 718.4 MB
magnetize_flanked v11 799 games, 799798 moves, e=0.208, loss: 5.5, -, 8.1% elo% vs. simple_bot, avg. reward: -2.815, 4.550 sec/game, 30.6 min. total, 720.1 MB
magnetize_flanked v11 800 games, 801047 moves, e=0.207, loss: 5.7, +, 9.4% elo% vs. simple_bot, avg. reward: -2.800, 4.521 sec/game, 30.7 min. total, 719.2 MB
magnetize_flanked v12 801 games, 802696 moves, e=0.205, loss: 5.9, +, 52.3% elo% vs. simple_bot, avg. reward: -2.777, 4.530 sec/game, 30.7 min. total, 720.6 MB
magnetize_flanked v12 802 games, 804376 moves, e=0.204, loss: 5.5, +, 54.5% elo% vs. simple_bot, avg. reward: -2.758, 4.489 sec/game, 30.8 min. total, 723.9 MB
magnetize_flanked v12 803 games, 806384 moves, e=0.202, loss: 5.0, -, 52.0% elo% vs. simple_bot, avg. reward: -2.738, 4.501 sec/game, 30.9 min. total, 724.4 MB
magnetize_flanked v12 804 games, 808598 moves, e=0.199, loss: 4.5, +, 54.2% elo% vs. simple_bot, avg. reward: -2.705, 4.535 sec/game, 31.0 min. total, 725.0 MB
magnetize_flanked v12 805 games, 811051 moves, e=0.197, loss: 3.3, +, 56.3% elo% vs. simple_bot, avg. reward: -2.688, 4.609 sec/game, 31.1 min. total, 729.0 MB
magnetize_flanked v12 806 games, 813013 moves, e=0.195, loss: 2.8, -, 53.7% elo% vs. simple_bot, avg. reward: -2.679, 4.584 sec/game, 31.1 min. total, 729.8 MB
magnetize_flanked v12 807 games, 815179 moves, e=0.193, loss: 2.8, ., 53.5% elo% vs. simple_bot, avg. reward: -2.660, 4.614 sec/game, 31.2 min. total, 734.0 MB
magnetize_flanked v12 808 games, 817234 moves, e=0.191, loss: 3.1, -, 51.1% elo% vs. simple_bot, avg. reward: -2.640, 4.633 sec/game, 31.3 min. total, 733.0 MB
magnetize_flanked v12 809 games, 819716 moves, e=0.188, loss: 3.2, -, 48.7% elo% vs. simple_bot, avg. reward: -2.614, 4.720 sec/game, 31.4 min. total, 732.0 MB
magnetize_flanked v12 810 games, 821733 moves, e=0.186, loss: 3.6, -, 46.5% elo% vs. simple_bot, avg. reward: -2.579, 4.689 sec/game, 31.5 min. total, 731.3 MB
magnetize_flanked v12 811 games, 823919 moves, e=0.184, loss: 3.3, +, 49.0% elo% vs. simple_bot, avg. reward: -2.549, 4.744 sec/game, 31.6 min. total, 733.8 MB
magnetize_flanked v12 812 games, 826027 moves, e=0.182, loss: 3.3, -, 46.7% elo% vs. simple_bot, avg. reward: -2.529, 4.760 sec/game, 31.7 min. total, 734.6 MB
magnetize_flanked v12 813 games, 828224 moves, e=0.180, loss: 2.8, -, 44.6% elo% vs. simple_bot, avg. reward: -2.505, 4.777 sec/game, 31.7 min. total, 735.9 MB
magnetize_flanked v12 814 games, 829758 moves, e=0.179, loss: 3.3, -, 42.5% elo% vs. simple_bot, avg. reward: -2.498, 4.730 sec/game, 31.8 min. total, 732.7 MB
magnetize_flanked v12 815 games, 831888 moves, e=0.176, loss: 3.6, -, 40.6% elo% vs. simple_bot, avg. reward: -2.483, 4.755 sec/game, 31.9 min. total, 733.3 MB
magnetize_flanked v12 816 games, 834486 moves, e=0.174, loss: 3.7, +, 43.3% elo% vs. simple_bot, avg. reward: -2.463, 4.864 sec/game, 32.0 min. total, 739.0 MB
magnetize_flanked v12 817 games, 836401 moves, e=0.172, loss: 4.3, -, 41.4% elo% vs. simple_bot, avg. reward: -2.451, 4.861 sec/game, 32.1 min. total, 737.8 MB
magnetize_flanked v12 818 games, 838575 moves, e=0.170, loss: 4.9, -, 39.5% elo% vs. simple_bot, avg. reward: -2.441, 4.902 sec/game, 32.1 min. total, 737.9 MB
magnetize_flanked v12 819 games, 840945 moves, e=0.167, loss: 3.9, -, 37.8% elo% vs. simple_bot, avg. reward: -2.426, 4.938 sec/game, 32.2 min. total, 740.6 MB
magnetize_flanked v12 820 games, 843124 moves, e=0.165, loss: 4.1, +, 40.5% elo% vs. simple_bot, avg. reward: -2.411, 5.020 sec/game, 32.3 min. total, 742.0 MB
magnetize_flanked v12 821 games, 845208 moves, e=0.163, loss: 3.7, -, 38.7% elo% vs. simple_bot, avg. reward: -2.399, 5.072 sec/game, 32.4 min. total, 739.0 MB
magnetize_flanked v12 822 games, 847265 moves, e=0.161, loss: 3.8, -, 37.1% elo% vs. simple_bot, avg. reward: -2.389, 5.127 sec/game, 32.5 min. total, 739.9 MB
magnetize_flanked v12 823 games, 849538 moves, e=0.159, loss: 4.0, +, 39.8% elo% vs. simple_bot, avg. reward: -2.369, 5.166 sec/game, 32.6 min. total, 742.2 MB
magnetize_flanked v12 824 games, 851800 moves, e=0.157, loss: 3.1, -, 38.1% elo% vs. simple_bot, avg. reward: -2.353, 5.154 sec/game, 32.7 min. total, 740.3 MB
magnetize_flanked v12 825 games, 853218 moves, e=0.155, loss: 3.5, -, 36.4% elo% vs. simple_bot, avg. reward: -2.353, 5.044 sec/game, 32.7 min. total, 739.0 MB
magnetize_flanked v12 826 games, 855408 moves, e=0.153, loss: 3.8, -, 34.9% elo% vs. simple_bot, avg. reward: -2.337, 5.085 sec/game, 32.8 min. total, 740.7 MB
magnetize_flanked v12 827 games, 857598 moves, e=0.151, loss: 3.3, -, 33.4% elo% vs. simple_bot, avg. reward: -2.322, 5.099 sec/game, 32.9 min. total, 740.6 MB
magnetize_flanked v12 828 games, 860362 moves, e=0.148, loss: 3.3, -, 32.1% elo% vs. simple_bot, avg. reward: -2.306, 5.173 sec/game, 33.0 min. total, 743.9 MB
magnetize_flanked v12 829 games, 862553 moves, e=0.146, loss: 3.0, -, 30.8% elo% vs. simple_bot, avg. reward: -2.296, 5.124 sec/game, 33.1 min. total, 742.8 MB
magnetize_flanked v12 830 games, 865326 moves, e=0.143, loss: 2.8, -, 29.6% elo% vs. simple_bot, avg. reward: -2.267, 5.222 sec/game, 33.2 min. total, 746.3 MB
magnetize_flanked v12 831 games, 867624 moves, e=0.141, loss: 3.2, -, 28.5% elo% vs. simple_bot, avg. reward: -2.236, 5.245 sec/game, 33.3 min. total, 750.1 MB
magnetize_flanked v12 832 games, 870116 moves, e=0.139, loss: 2.7, -, 27.4% elo% vs. simple_bot, avg. reward: -2.212, 5.273 sec/game, 33.4 min. total, 749.3 MB
magnetize_flanked v12 833 games, 872462 moves, e=0.136, loss: 2.7, -, 26.4% elo% vs. simple_bot, avg. reward: -2.189, 5.291 sec/game, 33.5 min. total, 750.4 MB
magnetize_flanked v12 834 games, 874810 moves, e=0.134, loss: 3.4, +, 29.2% elo% vs. simple_bot, avg. reward: -2.174, 5.379 sec/game, 33.6 min. total, 749.6 MB
magnetize_flanked v12 835 games, 877139 moves, e=0.132, loss: 4.1, -, 28.1% elo% vs. simple_bot, avg. reward: -2.157, 5.407 sec/game, 33.7 min. total, 750.2 MB
magnetize_flanked v12 836 games, 879740 moves, e=0.129, loss: 3.9, ., 28.9% elo% vs. simple_bot, avg. reward: -2.140, 5.413 sec/game, 33.8 min. total, 752.8 MB
magnetize_flanked v12 837 games, 882142 moves, e=0.127, loss: 4.0, -, 27.8% elo% vs. simple_bot, avg. reward: -2.128, 5.458 sec/game, 33.9 min. total, 750.5 MB
magnetize_flanked v12 838 games, 883930 moves, e=0.125, loss: 4.0, -, 26.8% elo% vs. simple_bot, avg. reward: -2.123, 5.412 sec/game, 34.0 min. total, 749.6 MB
magnetize_flanked v12 839 games, 886520 moves, e=0.122, loss: 4.2, -, 25.8% elo% vs. simple_bot, avg. reward: -2.101, 5.431 sec/game, 34.1 min. total, 752.2 MB
magnetize_flanked v12 840 games, 888834 moves, e=0.120, loss: 4.4, -, 24.9% elo% vs. simple_bot, avg. reward: -2.085, 5.471 sec/game, 34.2 min. total, 752.7 MB
magnetize_flanked v12 841 games, 891497 moves, e=0.117, loss: 4.7, -, 24.1% elo% vs. simple_bot, avg. reward: -2.072, 5.503 sec/game, 34.3 min. total, 753.5 MB
magnetize_flanked v12 842 games, 894018 moves, e=0.115, loss: 3.9, -, 23.3% elo% vs. simple_bot, avg. reward: -2.047, 5.539 sec/game, 34.4 min. total, 756.0 MB
magnetize_flanked v12 843 games, 896699 moves, e=0.112, loss: 3.2, -, 22.5% elo% vs. simple_bot, avg. reward: -2.022, 5.590 sec/game, 34.5 min. total, 756.7 MB
magnetize_flanked v12 844 games, 899284 moves, e=0.110, loss: 3.0, -, 21.8% elo% vs. simple_bot, avg. reward: -1.989, 5.630 sec/game, 34.6 min. total, 759.5 MB
magnetize_flanked v12 845 games, 901389 moves, e=0.108, loss: 3.5, -, 21.1% elo% vs. simple_bot, avg. reward: -1.965, 5.705 sec/game, 34.6 min. total, 757.1 MB
magnetize_flanked v12 846 games, 903875 moves, e=0.105, loss: 3.3, -, 20.5% elo% vs. simple_bot, avg. reward: -1.944, 5.735 sec/game, 34.7 min. total, 755.8 MB
magnetize_flanked v12 847 games, 906681 moves, e=0.102, loss: 4.1, -, 19.9% elo% vs. simple_bot, avg. reward: -1.925, 5.786 sec/game, 34.9 min. total, 757.4 MB
magnetize_flanked v12 848 games, 909552 moves, e=0.100, loss: 3.4, -, 19.3% elo% vs. simple_bot, avg. reward: -1.900, 5.801 sec/game, 35.0 min. total, 759.7 MB
magnetize_flanked v12 849 games, 911602 moves, e=0.098, loss: 3.1, -, 18.8% elo% vs. simple_bot, avg. reward: -1.891, 5.801 sec/game, 35.0 min. total, 758.7 MB
magnetize_flanked v12 850 games, 914288 moves, e=0.095, loss: 3.1, +, 21.1% elo% vs. simple_bot, avg. reward: -1.873, 5.783 sec/game, 35.2 min. total, 760.8 MB
magnetize_flanked v12 851 games, 917227 moves, e=0.092, loss: 3.0, -, 20.5% elo% vs. simple_bot, avg. reward: -1.855, 5.846 sec/game, 35.3 min. total, 761.1 MB
magnetize_flanked v12 852 games, 919483 moves, e=0.090, loss: 3.8, -, 19.9% elo% vs. simple_bot, avg. reward: -1.847, 5.836 sec/game, 35.4 min. total, 758.6 MB
magnetize_flanked v12 853 games, 922610 moves, e=0.087, loss: 3.9, -, 19.3% elo% vs. simple_bot, avg. reward: -1.815, 5.908 sec/game, 35.5 min. total, 767.0 MB
magnetize_flanked v12 854 games, 924618 moves, e=0.085, loss: 3.9, -, 18.8% elo% vs. simple_bot, avg. reward: -1.808, 5.885 sec/game, 35.6 min. total, 762.7 MB
magnetize_flanked v12 855 games, 927662 moves, e=0.082, loss: 3.6, -, 18.2% elo% vs. simple_bot, avg. reward: -1.790, 5.963 sec/game, 35.7 min. total, 765.1 MB
magnetize_flanked v12 856 games, 930538 moves, e=0.079, loss: 3.2, -, 17.7% elo% vs. simple_bot, avg. reward: -1.775, 5.999 sec/game, 35.8 min. total, 768.7 MB
magnetize_flanked v12 857 games, 934036 moves, e=0.075, loss: 2.8, +, 20.1% elo% vs. simple_bot, avg. reward: -1.747, 6.130 sec/game, 35.9 min. total, 770.4 MB
magnetize_flanked v12 858 games, 937291 moves, e=0.072, loss: 3.2, +, 22.5% elo% vs. simple_bot, avg. reward: -1.726, 6.284 sec/game, 36.0 min. total, 770.7 MB
magnetize_flanked v12 859 games, 940059 moves, e=0.069, loss: 2.6, +, 25.1% elo% vs. simple_bot, avg. reward: -1.703, 6.309 sec/game, 36.2 min. total, 769.9 MB
magnetize_flanked v12 860 games, 943029 moves, e=0.066, loss: 2.6, -, 24.3% elo% vs. simple_bot, avg. reward: -1.681, 6.361 sec/game, 36.3 min. total, 771.0 MB
magnetize_flanked v12 861 games, 946033 moves, e=0.063, loss: 2.5, -, 23.5% elo% vs. simple_bot, avg. reward: -1.661, 6.419 sec/game, 36.4 min. total, 773.6 MB
magnetize_flanked v12 862 games, 948844 moves, e=0.061, loss: 2.7, -, 22.7% elo% vs. simple_bot, avg. reward: -1.643, 6.459 sec/game, 36.5 min. total, 774.4 MB
magnetize_flanked v12 863 games, 951729 moves, e=0.058, loss: 2.8, +, 25.3% elo% vs. simple_bot, avg. reward: -1.626, 6.468 sec/game, 36.6 min. total, 773.4 MB
magnetize_flanked v12 864 games, 955246 moves, e=0.054, loss: 3.1, -, 24.4% elo% vs. simple_bot, avg. reward: -1.605, 6.546 sec/game, 36.7 min. total, 771.9 MB
magnetize_flanked v12 865 games, 958391 moves, e=0.051, loss: 3.4, -, 23.6% elo% vs. simple_bot, avg. reward: -1.580, 6.670 sec/game, 36.9 min. total, 772.9 MB
magnetize_flanked v12 866 games, 961691 moves, e=0.048, loss: 3.2, +, 26.2% elo% vs. simple_bot, avg. reward: -1.559, 6.744 sec/game, 37.0 min. total, 774.1 MB
magnetize_flanked v12 867 games, 964112 moves, e=0.046, loss: 3.7, -, 25.3% elo% vs. simple_bot, avg. reward: -1.549, 6.703 sec/game, 37.1 min. total, 773.6 MB
magnetize_flanked v12 868 games, 966325 moves, e=0.043, loss: 4.0, -, 24.4% elo% vs. simple_bot, avg. reward: -1.539, 6.627 sec/game, 37.2 min. total, 771.8 MB
magnetize_flanked v12 869 games, 969023 moves, e=0.041, loss: 3.8, +, 27.1% elo% vs. simple_bot, avg. reward: -1.527, 6.699 sec/game, 37.3 min. total, 774.5 MB
magnetize_flanked v12 870 games, 972067 moves, e=0.038, loss: 4.5, -, 26.1% elo% vs. simple_bot, avg. reward: -1.501, 6.738 sec/game, 37.4 min. total, 772.8 MB
magnetize_flanked v12 871 games, 975201 moves, e=0.035, loss: 3.8, -, 25.2% elo% vs. simple_bot, avg. reward: -1.486, 6.745 sec/game, 37.5 min. total, 777.7 MB
magnetize_flanked v12 872 games, 977293 moves, e=0.032, loss: 4.0, ., 26.1% elo% vs. simple_bot, avg. reward: -1.476, 6.734 sec/game, 37.6 min. total, 777.9 MB
magnetize_flanked v12 873 games, 979406 moves, e=0.030, loss: 4.9, -, 25.2% elo% vs. simple_bot, avg. reward: -1.476, 6.643 sec/game, 37.7 min. total, 773.6 MB
magnetize_flanked v12 874 games, 981942 moves, e=0.028, loss: 5.1, -, 24.3% elo% vs. simple_bot, avg. reward: -1.469, 6.700 sec/game, 37.8 min. total, 773.3 MB
magnetize_flanked v12 875 games, 985647 moves, e=0.024, loss: 4.6, -, 23.5% elo% vs. simple_bot, avg. reward: -1.456, 6.738 sec/game, 37.9 min. total, 772.5 MB
magnetize_flanked v12 876 games, 988650 moves, e=0.021, loss: 4.0, -, 22.7% elo% vs. simple_bot, avg. reward: -1.442, 6.754 sec/game, 38.0 min. total, 777.8 MB
magnetize_flanked v12 877 games, 991895 moves, e=0.018, loss: 2.6, -, 22.0% elo% vs. simple_bot, avg. reward: -1.425, 6.725 sec/game, 38.2 min. total, 777.6 MB
magnetize_flanked v12 878 games, 994559 moves, e=0.015, loss: 2.8, -, 21.3% elo% vs. simple_bot, avg. reward: -1.421, 6.663 sec/game, 38.3 min. total, 777.0 MB
magnetize_flanked v12 879 games, 997303 moves, e=0.013, loss: 3.6, -, 20.6% elo% vs. simple_bot, avg. reward: -1.412, 6.654 sec/game, 38.4 min. total, 776.2 MB
magnetize_flanked v12 880 games, 1000058 moves, e=0.010, loss: 3.9, -, 20.0% elo% vs. simple_bot, avg. reward: -1.397, 6.619 sec/game, 38.5 min. total, 776.9 MB
magnetize_flanked v12 881 games, 1003050 moves, e=0.010, loss: 3.9, -, 19.4% elo% vs. simple_bot, avg. reward: -1.380, 6.634 sec/game, 38.6 min. total, 780.4 MB
magnetize_flanked v12 882 games, 1006084 moves, e=0.010, loss: 3.5, +, 21.9% elo% vs. simple_bot, avg. reward: -1.371, 6.648 sec/game, 38.7 min. total, 781.7 MB
magnetize_flanked v12 883 games, 1008475 moves, e=0.010, loss: 4.0, -, 21.2% elo% vs. simple_bot, avg. reward: -1.363, 6.590 sec/game, 38.8 min. total, 778.5 MB
magnetize_flanked v12 884 games, 1011411 moves, e=0.010, loss: 3.8, -, 20.5% elo% vs. simple_bot, avg. reward: -1.350, 6.531 sec/game, 38.9 min. total, 779.8 MB
magnetize_flanked v12 885 games, 1014591 moves, e=0.010, loss: 3.4, -, 19.9% elo% vs. simple_bot, avg. reward: -1.332, 6.506 sec/game, 39.0 min. total, 782.0 MB
magnetize_flanked v12 886 games, 1017975 moves, e=0.010, loss: 3.3, -, 19.4% elo% vs. simple_bot, avg. reward: -1.325, 6.504 sec/game, 39.2 min. total, 785.8 MB
magnetize_flanked v12 887 games, 1021519 moves, e=0.010, loss: 3.0, -, 18.8% elo% vs. simple_bot, avg. reward: -1.309, 6.613 sec/game, 39.3 min. total, 787.6 MB
magnetize_flanked v12 888 games, 1024718 moves, e=0.010, loss: 2.7, -, 18.3% elo% vs. simple_bot, avg. reward: -1.296, 6.728 sec/game, 39.4 min. total, 786.6 MB
magnetize_flanked v12 889 games, 1027963 moves, e=0.010, loss: 3.1, -, 17.8% elo% vs. simple_bot, avg. reward: -1.283, 6.785 sec/game, 39.5 min. total, 786.7 MB
magnetize_flanked v12 890 games, 1030285 moves, e=0.010, loss: 4.0, -, 17.3% elo% vs. simple_bot, avg. reward: -1.280, 6.717 sec/game, 39.6 min. total, 784.0 MB
magnetize_flanked v12 891 games, 1033435 moves, e=0.010, loss: 4.1, -, 16.9% elo% vs. simple_bot, avg. reward: -1.264, 6.727 sec/game, 39.8 min. total, 782.3 MB
magnetize_flanked v12 892 games, 1035811 moves, e=0.010, loss: 4.0, -, 16.4% elo% vs. simple_bot, avg. reward: -1.256, 6.746 sec/game, 39.8 min. total, 780.7 MB
magnetize_flanked v12 893 games, 1038810 moves, e=0.010, loss: 4.4, -, 16.0% elo% vs. simple_bot, avg. reward: -1.242, 6.829 sec/game, 40.0 min. total, 783.5 MB
magnetize_flanked v12 894 games, 1041642 moves, e=0.010, loss: 4.4, +, 18.2% elo% vs. simple_bot, avg. reward: -1.232, 6.848 sec/game, 40.1 min. total, 787.1 MB
magnetize_flanked v12 895 games, 1044785 moves, e=0.010, loss: 4.2, -, 17.7% elo% vs. simple_bot, avg. reward: -1.214, 6.816 sec/game, 40.2 min. total, 787.4 MB
magnetize_flanked v12 896 games, 1047797 moves, e=0.010, loss: 3.7, -, 17.2% elo% vs. simple_bot, avg. reward: -1.192, 6.818 sec/game, 40.3 min. total, 791.3 MB
magnetize_flanked v12 897 games, 1051047 moves, e=0.010, loss: 3.8, -, 16.8% elo% vs. simple_bot, avg. reward: -1.182, 6.812 sec/game, 40.4 min. total, 789.9 MB
magnetize_flanked v12 898 games, 1054349 moves, e=0.010, loss: 3.2, -, 16.4% elo% vs. simple_bot, avg. reward: -1.167, 6.874 sec/game, 40.6 min. total, 789.4 MB
