skedaddle_puma v1 73 games, 41373 moves, e=0.959, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.033, 0.560 sec/game, 0.6 min. total, 527.7 MB
skedaddle_puma v1 74 games, 41966 moves, e=0.958, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.046, 0.522 sec/game, 0.6 min. total, 530.6 MB
skedaddle_puma v1 75 games, 42572 moves, e=0.958, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.055, 0.525 sec/game, 0.6 min. total, 534.4 MB
skedaddle_puma v1 76 games, 43179 moves, e=0.957, loss: nan, ., 50.6% elo% vs. v0, avg. reward: -11.063, 0.402 sec/game, 0.6 min. total, 537.4 MB
skedaddle_puma v1 77 games, 43861 moves, e=0.957, loss: nan, -, 48.3% elo% vs. v0, avg. reward: -11.055, 0.404 sec/game, 0.6 min. total, 540.8 MB
skedaddle_puma v1 78 games, 44551 moves, e=0.956, loss: nan, ., 48.4% elo% vs. v0, avg. reward: -11.043, 0.404 sec/game, 0.6 min. total, 544.2 MB
skedaddle_puma v1 79 games, 45122 moves, e=0.955, loss: nan, ., 48.5% elo% vs. v0, avg. reward: -11.062, 0.401 sec/game, 0.6 min. total, 547.6 MB
skedaddle_puma v1 80 games, 45718 moves, e=0.955, loss: nan, +, 50.8% elo% vs. v0, avg. reward: -11.072, 0.400 sec/game, 0.6 min. total, 551.0 MB
skedaddle_puma v1 81 games, 46355 moves, e=0.954, loss: nan, ., 50.8% elo% vs. v0, avg. reward: -11.073, 0.401 sec/game, 0.6 min. total, 554.8 MB
skedaddle_puma v1 82 games, 46952 moves, e=0.954, loss: nan, ., 50.8% elo% vs. v0, avg. reward: -11.085, 0.400 sec/game, 0.6 min. total, 558.4 MB
skedaddle_puma v1 83 games, 47574 moves, e=0.953, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.084, 0.399 sec/game, 0.6 min. total, 561.9 MB
skedaddle_puma v1 84 games, 48107 moves, e=0.952, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.114, 0.399 sec/game, 0.6 min. total, 565.0 MB
skedaddle_puma v1 86 games, 49034 moves, e=0.951, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -11.112, 0.368 sec/game, 0.6 min. total, 571.0 MB
skedaddle_puma v1 87 games, 49595 moves, e=0.951, loss: nan, ., 50.6% elo% vs. v0, avg. reward: -11.131, 0.366 sec/game, 0.6 min. total, 571.2 MB
skedaddle_puma v1 88 games, 50168 moves, e=0.950, loss: nan, ., 50.6% elo% vs. v0, avg. reward: -11.147, 0.368 sec/game, 0.6 min. total, 572.4 MB
skedaddle_puma v1 89 games, 50797 moves, e=0.950, loss: nan, ., 50.6% elo% vs. v0, avg. reward: -11.148, 0.263 sec/game, 0.6 min. total, 574.5 MB
skedaddle_puma v1 90 games, 51352 moves, e=0.949, loss: nan, ., 50.5% elo% vs. v0, avg. reward: -11.169, 0.264 sec/game, 0.6 min. total, 576.4 MB
skedaddle_puma v1 92 games, 52241 moves, e=0.948, loss: nan, ., 50.5% elo% vs. v0, avg. reward: -11.177, 0.306 sec/game, 0.7 min. total, 579.6 MB
skedaddle_puma v1 93 games, 52809 moves, e=0.948, loss: nan, ., 50.5% elo% vs. v0, avg. reward: -11.196, 0.306 sec/game, 0.7 min. total, 581.8 MB
skedaddle_puma v1 94 games, 53459 moves, e=0.947, loss: nan, ., 50.5% elo% vs. v0, avg. reward: -11.193, 0.307 sec/game, 0.7 min. total, 584.6 MB
skedaddle_puma v1 96 games, 54312 moves, e=0.946, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -11.213, 0.342 sec/game, 0.7 min. total, 587.6 MB
skedaddle_puma v1 97 games, 54799 moves, e=0.946, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -11.248, 0.339 sec/game, 0.7 min. total, 589.4 MB
skedaddle_puma v1 98 games, 55324 moves, e=0.945, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -11.275, 0.338 sec/game, 0.7 min. total, 591.3 MB
skedaddle_puma v1 100 games, 56209 moves, e=0.944, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -11.300, 0.388 sec/game, 0.7 min. total, 595.2 MB
skedaddle_puma v2 101 games, 56895 moves, e=0.944, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.310, 0.390 sec/game, 0.7 min. total, 598.5 MB
skedaddle_puma v2 102 games, 57464 moves, e=0.943, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.336, 0.393 sec/game, 0.7 min. total, 600.9 MB
skedaddle_puma v2 104 games, 58275 moves, e=0.942, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.404, 0.435 sec/game, 0.7 min. total, 604.7 MB
skedaddle_puma v2 105 games, 58874 moves, e=0.942, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.396, 0.436 sec/game, 0.8 min. total, 608.3 MB
skedaddle_puma v2 107 games, 59820 moves, e=0.941, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.432, 0.433 sec/game, 0.8 min. total, 614.7 MB
skedaddle_puma v2 108 games, 60324 moves, e=0.940, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.458, 0.432 sec/game, 0.8 min. total, 617.6 MB
skedaddle_puma v2 109 games, 60790 moves, e=0.940, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.516, 0.429 sec/game, 0.8 min. total, 620.3 MB
skedaddle_puma v2 110 games, 61372 moves, e=0.939, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.545, 0.428 sec/game, 0.8 min. total, 622.9 MB
skedaddle_puma v2 111 games, 61951 moves, e=0.939, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.583, 0.430 sec/game, 0.8 min. total, 626.1 MB
skedaddle_puma v2 112 games, 62553 moves, e=0.938, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.604, 0.389 sec/game, 0.8 min. total, 630.0 MB
skedaddle_puma v2 113 games, 63095 moves, e=0.938, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.639, 0.389 sec/game, 0.8 min. total, 632.9 MB
skedaddle_puma v2 114 games, 63626 moves, e=0.937, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.680, 0.389 sec/game, 0.8 min. total, 636.2 MB
skedaddle_puma v2 116 games, 64403 moves, e=0.936, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.724, 0.353 sec/game, 0.8 min. total, 642.2 MB
