sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v2 64 games, 46507 moves, e=0.954, loss: 1152.5, ., 56.3% elo% vs. guard_bot, avg. reward: 26.186, 1.583 sec/game, 1.3 min. total, 440.1 MB
sanding_take v2 65 games, 47242 moves, e=0.953, loss: 1210.3, ., 56.0% elo% vs. guard_bot, avg. reward: 26.214, 1.622 sec/game, 1.4 min. total, 440.2 MB
sanding_take v2 66 games, 47922 moves, e=0.953, loss: 1147.5, ., 55.7% elo% vs. guard_bot, avg. reward: 26.215, 1.629 sec/game, 1.4 min. total, 440.1 MB
sanding_take v2 67 games, 48624 moves, e=0.952, loss: 1156.6, +, 57.7% elo% vs. guard_bot, avg. reward: 26.227, 1.608 sec/game, 1.4 min. total, 439.8 MB
sanding_take v2 68 games, 49360 moves, e=0.951, loss: 1179.0, ., 57.4% elo% vs. guard_bot, avg. reward: 26.239, 1.607 sec/game, 1.4 min. total, 440.3 MB
sanding_take v2 69 games, 50125 moves, e=0.950, loss: 1167.6, ., 57.0% elo% vs. guard_bot, avg. reward: 26.261, 1.609 sec/game, 1.5 min. total, 440.1 MB
sanding_take v2 70 games, 50777 moves, e=0.950, loss: 1214.2, +, 59.0% elo% vs. guard_bot, avg. reward: 26.280, 1.589 sec/game, 1.5 min. total, 440.3 MB
sanding_take v2 71 games, 51601 moves, e=0.949, loss: 1281.6, ., 58.6% elo% vs. guard_bot, avg. reward: 26.299, 1.601 sec/game, 1.5 min. total, 440.4 MB
sanding_take v2 72 games, 52366 moves, e=0.948, loss: 1300.5, +, 60.4% elo% vs. guard_bot, avg. reward: 26.304, 1.599 sec/game, 1.5 min. total, 440.8 MB
sanding_take v2 73 games, 53065 moves, e=0.947, loss: 1241.0, +, 62.1% elo% vs. guard_bot, avg. reward: 26.299, 1.592 sec/game, 1.6 min. total, 440.6 MB
sanding_take v2 74 games, 53746 moves, e=0.947, loss: 1371.9, +, 63.8% elo% vs. guard_bot, avg. reward: 26.287, 1.543 sec/game, 1.6 min. total, 440.7 MB
sanding_take v2 75 games, 54462 moves, e=0.946, loss: 1435.2, +, 65.3% elo% vs. guard_bot, avg. reward: 26.304, 1.544 sec/game, 1.6 min. total, 440.7 MB
sanding_take v2 76 games, 55134 moves, e=0.945, loss: 1360.7, +, 66.7% elo% vs. guard_bot, avg. reward: 26.300, 1.535 sec/game, 1.6 min. total, 440.5 MB
sanding_take v2 77 games, 55902 moves, e=0.945, loss: 1312.1, ., 66.0% elo% vs. guard_bot, avg. reward: 26.294, 1.524 sec/game, 1.7 min. total, 440.9 MB
sanding_take v2 78 games, 56611 moves, e=0.944, loss: 1460.7, ., 65.4% elo% vs. guard_bot, avg. reward: 26.303, 1.536 sec/game, 1.7 min. total, 441.6 MB
sanding_take v2 79 games, 57422 moves, e=0.943, loss: 1428.9, ., 64.7% elo% vs. guard_bot, avg. reward: 26.297, 1.535 sec/game, 1.7 min. total, 442.3 MB
sanding_take v2 80 games, 58151 moves, e=0.942, loss: 1467.8, ., 64.1% elo% vs. guard_bot, avg. reward: 26.325, 1.532 sec/game, 1.7 min. total, 442.5 MB
sanding_take v2 81 games, 58801 moves, e=0.942, loss: 1470.9, ., 63.5% elo% vs. guard_bot, avg. reward: 26.325, 1.514 sec/game, 1.8 min. total, 443.2 MB
sanding_take v2 82 games, 59415 moves, e=0.941, loss: 1489.9, ., 62.9% elo% vs. guard_bot, avg. reward: 26.320, 1.515 sec/game, 1.8 min. total, 443.9 MB
sanding_take v2 83 games, 60211 moves, e=0.940, loss: 1478.6, ., 62.4% elo% vs. guard_bot, avg. reward: 26.295, 1.512 sec/game, 1.8 min. total, 444.0 MB
sanding_take v2 84 games, 60995 moves, e=0.940, loss: 1590.9, ., 61.8% elo% vs. guard_bot, avg. reward: 26.312, 1.506 sec/game, 1.8 min. total, 444.0 MB
sanding_take v2 85 games, 61705 moves, e=0.939, loss: 1701.4, +, 63.5% elo% vs. guard_bot, avg. reward: 26.299, 1.477 sec/game, 1.8 min. total, 443.4 MB
sanding_take v2 86 games, 62519 moves, e=0.938, loss: 1646.3, ., 62.9% elo% vs. guard_bot, avg. reward: 26.293, 1.475 sec/game, 1.9 min. total, 444.1 MB
sanding_take v2 87 games, 63231 moves, e=0.937, loss: 1632.4, +, 64.5% elo% vs. guard_bot, avg. reward: 26.284, 1.470 sec/game, 1.9 min. total, 444.2 MB
sanding_take v2 88 games, 64097 moves, e=0.937, loss: 1712.6, +, 66.0% elo% vs. guard_bot, avg. reward: 26.277, 1.494 sec/game, 1.9 min. total, 444.0 MB
