subfloor_cuddly v2 146 games, 74034 moves, e=0.927, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.007, 0.315 sec/game, 0.7 min. total, 633.5 MB
subfloor_cuddly v2 148 games, 75033 moves, e=0.926, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.034, 0.316 sec/game, 0.7 min. total, 636.4 MB
subfloor_cuddly v2 150 games, 76111 moves, e=0.925, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.035, 0.312 sec/game, 0.7 min. total, 638.3 MB
subfloor_cuddly v2 152 games, 77114 moves, e=0.924, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.036, 0.319 sec/game, 0.7 min. total, 640.4 MB
subfloor_cuddly v2 154 games, 78037 moves, e=0.923, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.075, 0.319 sec/game, 0.7 min. total, 642.8 MB
subfloor_cuddly v2 156 games, 79042 moves, e=0.922, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.095, 0.319 sec/game, 0.7 min. total, 645.6 MB
subfloor_cuddly v2 158 games, 80198 moves, e=0.921, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.097, 0.325 sec/game, 0.7 min. total, 649.3 MB
subfloor_cuddly v2 160 games, 81156 moves, e=0.920, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.105, 0.322 sec/game, 0.7 min. total, 652.7 MB
subfloor_cuddly v2 162 games, 82197 moves, e=0.919, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.090, 0.327 sec/game, 0.8 min. total, 658.0 MB
subfloor_cuddly v2 164 games, 83261 moves, e=0.918, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.096, 0.335 sec/game, 0.8 min. total, 662.3 MB
subfloor_cuddly v2 166 games, 84253 moves, e=0.917, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.090, 0.331 sec/game, 0.8 min. total, 663.9 MB
subfloor_cuddly v2 168 games, 85237 moves, e=0.916, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.103, 0.327 sec/game, 0.8 min. total, 666.2 MB
subfloor_cuddly v2 170 games, 86237 moves, e=0.915, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.103, 0.327 sec/game, 0.8 min. total, 668.7 MB
subfloor_cuddly v2 172 games, 87270 moves, e=0.914, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.092, 0.330 sec/game, 0.8 min. total, 671.4 MB
subfloor_cuddly v2 174 games, 88439 moves, e=0.912, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.085, 0.335 sec/game, 0.8 min. total, 674.8 MB
subfloor_cuddly v2 176 games, 89403 moves, e=0.911, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.089, 0.337 sec/game, 0.8 min. total, 678.7 MB
subfloor_cuddly v2 178 games, 90495 moves, e=0.910, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.065, 0.336 sec/game, 0.8 min. total, 683.6 MB
subfloor_cuddly v2 180 games, 91543 moves, e=0.909, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.087, 0.341 sec/game, 0.9 min. total, 690.0 MB
subfloor_cuddly v2 182 games, 92514 moves, e=0.908, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.083, 0.338 sec/game, 0.9 min. total, 691.5 MB
subfloor_cuddly v2 184 games, 93572 moves, e=0.907, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.081, 0.330 sec/game, 0.9 min. total, 693.7 MB
subfloor_cuddly v2 186 games, 94776 moves, e=0.906, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.065, 0.338 sec/game, 0.9 min. total, 697.0 MB
subfloor_cuddly v2 188 games, 95932 moves, e=0.905, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.023, 0.342 sec/game, 0.9 min. total, 699.9 MB
subfloor_cuddly v2 190 games, 96932 moves, e=0.904, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -10.003, 0.345 sec/game, 0.9 min. total, 702.6 MB
subfloor_cuddly v2 192 games, 97986 moves, e=0.903, loss: nan, ., 50.1% elo% vs. guard_bot, avg. reward: -9.985, 0.344 sec/game, 0.9 min. total, 705.8 MB
subfloor_cuddly v2 194 games, 99010 moves, e=0.902, loss: nan, ., 50.0% elo% vs. guard_bot, avg. reward: -9.966, 0.341 sec/game, 0.9 min. total, 709.4 MB
