lanky_repaying v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
lanky_repaying v3 88 games, 63603 moves, e=0.937, loss: 14898094.4, -, 8.7% elo% vs. random_no_suicide, avg. reward: 1472.925, 1.708 sec/game, 1.8 min. total, 448.4 MB
lanky_repaying v3 89 games, 64243 moves, e=0.936, loss: 15180249.4, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1484.183, 1.706 sec/game, 1.8 min. total, 449.6 MB
lanky_repaying v3 90 games, 64962 moves, e=0.936, loss: 15151206.8, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1476.638, 1.690 sec/game, 1.9 min. total, 450.2 MB
lanky_repaying v3 91 games, 65639 moves, e=0.935, loss: 15262157.0, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1471.629, 1.686 sec/game, 1.9 min. total, 450.6 MB
lanky_repaying v3 92 games, 66383 moves, e=0.934, loss: 14740662.4, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1464.757, 1.660 sec/game, 1.9 min. total, 450.7 MB
lanky_repaying v3 93 games, 67105 moves, e=0.934, loss: 15094628.0, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1460.989, 1.656 sec/game, 1.9 min. total, 450.7 MB
lanky_repaying v3 94 games, 67889 moves, e=0.933, loss: 15191053.4, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1456.854, 1.647 sec/game, 2.0 min. total, 450.3 MB
lanky_repaying v3 95 games, 68660 moves, e=0.932, loss: 14878102.2, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1469.777, 1.645 sec/game, 2.0 min. total, 450.7 MB
lanky_repaying v3 96 games, 69334 moves, e=0.931, loss: 14918454.5, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1478.815, 1.631 sec/game, 2.0 min. total, 450.8 MB
lanky_repaying v3 97 games, 70018 moves, e=0.931, loss: 15235765.0, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1476.745, 1.604 sec/game, 2.0 min. total, 450.7 MB
lanky_repaying v3 98 games, 70811 moves, e=0.930, loss: 15444815.5, -, 7.6% elo% vs. random_no_suicide, avg. reward: 1468.764, 1.608 sec/game, 2.1 min. total, 450.9 MB
