remix_overdress v1 51 games, 35211 moves, e=0.965, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.469, 0.263 sec/game, 0.2 min. total, 448.9 MB
remix_overdress v1 52 games, 35807 moves, e=0.965, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.502, 0.265 sec/game, 0.2 min. total, 450.4 MB
remix_overdress v1 53 games, 36440 moves, e=0.964, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.522, 0.253 sec/game, 0.2 min. total, 452.7 MB
remix_overdress v1 54 games, 37198 moves, e=0.963, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.498, 0.250 sec/game, 0.2 min. total, 455.0 MB
remix_overdress v1 55 games, 37886 moves, e=0.962, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.496, 0.249 sec/game, 0.2 min. total, 457.6 MB
remix_overdress v1 56 games, 38642 moves, e=0.962, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.476, 0.250 sec/game, 0.2 min. total, 460.4 MB
remix_overdress v1 57 games, 39431 moves, e=0.961, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.450, 0.254 sec/game, 0.2 min. total, 463.3 MB
remix_overdress v1 58 games, 40095 moves, e=0.960, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.457, 0.256 sec/game, 0.2 min. total, 467.2 MB
remix_overdress v1 59 games, 40809 moves, e=0.960, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.445, 0.260 sec/game, 0.2 min. total, 470.9 MB
remix_overdress v1 60 games, 41479 moves, e=0.959, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.443, 0.261 sec/game, 0.2 min. total, 473.7 MB
remix_overdress v1 61 games, 42069 moves, e=0.958, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.475, 0.260 sec/game, 0.3 min. total, 477.4 MB
remix_overdress v1 62 games, 42850 moves, e=0.958, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.451, 0.263 sec/game, 0.3 min. total, 481.4 MB
remix_overdress v1 63 games, 43432 moves, e=0.957, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.482, 0.263 sec/game, 0.3 min. total, 483.9 MB
remix_overdress v1 64 games, 44092 moves, e=0.956, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.490, 0.263 sec/game, 0.3 min. total, 488.3 MB
remix_overdress v1 65 games, 44867 moves, e=0.956, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.466, 0.265 sec/game, 0.3 min. total, 492.0 MB
remix_overdress v1 66 games, 45598 moves, e=0.955, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.456, 0.269 sec/game, 0.3 min. total, 492.1 MB
remix_overdress v1 67 games, 46279 moves, e=0.954, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.458, 0.269 sec/game, 0.3 min. total, 492.3 MB
remix_overdress v1 68 games, 47135 moves, e=0.953, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.425, 0.275 sec/game, 0.3 min. total, 494.1 MB
remix_overdress v1 69 games, 47944 moves, e=0.953, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.399, 0.282 sec/game, 0.3 min. total, 495.8 MB
remix_overdress v1 70 games, 48913 moves, e=0.952, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.349, 0.288 sec/game, 0.3 min. total, 498.3 MB
remix_overdress v1 71 games, 49637 moves, e=0.951, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.344, 0.292 sec/game, 0.3 min. total, 500.1 MB
remix_overdress v1 72 games, 50244 moves, e=0.950, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.368, 0.287 sec/game, 0.3 min. total, 501.5 MB
remix_overdress v1 73 games, 51025 moves, e=0.949, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.355, 0.284 sec/game, 0.3 min. total, 503.4 MB
remix_overdress v1 74 games, 51822 moves, e=0.949, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.340, 0.285 sec/game, 0.3 min. total, 505.6 MB
remix_overdress v1 75 games, 52495 moves, e=0.948, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.344, 0.286 sec/game, 0.3 min. total, 507.4 MB
remix_overdress v1 76 games, 53294 moves, e=0.947, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.327, 0.289 sec/game, 0.3 min. total, 510.1 MB
remix_overdress v1 77 games, 54004 moves, e=0.947, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.321, 0.289 sec/game, 0.3 min. total, 512.4 MB
remix_overdress v1 78 games, 54753 moves, e=0.946, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.308, 0.291 sec/game, 0.3 min. total, 514.7 MB
remix_overdress v1 79 games, 55511 moves, e=0.945, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.300, 0.292 sec/game, 0.3 min. total, 518.2 MB
remix_overdress v1 80 games, 56169 moves, e=0.944, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.306, 0.297 sec/game, 0.3 min. total, 520.9 MB
remix_overdress v1 81 games, 56894 moves, e=0.944, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.299, 0.300 sec/game, 0.4 min. total, 525.2 MB
remix_overdress v1 82 games, 57623 moves, e=0.943, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.292, 0.302 sec/game, 0.4 min. total, 529.0 MB
remix_overdress v1 83 games, 58451 moves, e=0.942, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.270, 0.308 sec/game, 0.4 min. total, 533.2 MB
remix_overdress v1 84 games, 59284 moves, e=0.941, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.250, 0.313 sec/game, 0.4 min. total, 537.5 MB
remix_overdress v1 85 games, 59916 moves, e=0.941, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.263, 0.312 sec/game, 0.4 min. total, 540.2 MB
remix_overdress v1 86 games, 60724 moves, e=0.940, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.244, 0.317 sec/game, 0.4 min. total, 542.3 MB
remix_overdress v1 87 games, 61396 moves, e=0.939, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.250, 0.318 sec/game, 0.4 min. total, 542.6 MB
remix_overdress v1 88 games, 62046 moves, e=0.939, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.255, 0.314 sec/game, 0.4 min. total, 543.6 MB
