enrich_mushiness v1 69 games, 43140 moves, e=0.957, loss: nan, ., 49.1% elo% vs. v0, avg. reward: -10.495, 0.443 sec/game, 0.5 min. total, 543.1 MB
enrich_mushiness v1 70 games, 43782 moves, e=0.957, loss: nan, +, 51.5% elo% vs. v0, avg. reward: -10.503, 0.412 sec/game, 0.5 min. total, 545.5 MB
enrich_mushiness v1 71 games, 44549 moves, e=0.956, loss: nan, -, 49.1% elo% vs. v0, avg. reward: -10.486, 0.412 sec/game, 0.5 min. total, 548.7 MB
enrich_mushiness v1 72 games, 45161 moves, e=0.955, loss: nan, ., 49.1% elo% vs. v0, avg. reward: -10.507, 0.412 sec/game, 0.5 min. total, 551.5 MB
enrich_mushiness v1 73 games, 45881 moves, e=0.955, loss: nan, +, 51.5% elo% vs. v0, avg. reward: -10.500, 0.416 sec/game, 0.5 min. total, 554.7 MB
enrich_mushiness v1 74 games, 46601 moves, e=0.954, loss: nan, -, 49.1% elo% vs. v0, avg. reward: -10.493, 0.335 sec/game, 0.5 min. total, 558.0 MB
enrich_mushiness v1 75 games, 47356 moves, e=0.953, loss: nan, +, 51.4% elo% vs. v0, avg. reward: -10.482, 0.337 sec/game, 0.5 min. total, 561.4 MB
enrich_mushiness v1 77 games, 48449 moves, e=0.952, loss: nan, ., 51.4% elo% vs. v0, avg. reward: -10.455, 0.368 sec/game, 0.5 min. total, 567.0 MB
enrich_mushiness v1 78 games, 49091 moves, e=0.951, loss: nan, -, 49.0% elo% vs. v0, avg. reward: -10.463, 0.369 sec/game, 0.5 min. total, 571.5 MB
enrich_mushiness v1 80 games, 50208 moves, e=0.950, loss: nan, +, 51.4% elo% vs. v0, avg. reward: -10.466, 0.373 sec/game, 0.6 min. total, 580.3 MB
enrich_mushiness v1 82 games, 51340 moves, e=0.949, loss: nan, -, 49.0% elo% vs. v0, avg. reward: -10.438, 0.405 sec/game, 0.6 min. total, 588.6 MB
enrich_mushiness v1 84 games, 52335 moves, e=0.948, loss: nan, -, 46.7% elo% vs. v0, avg. reward: -10.457, 0.490 sec/game, 0.6 min. total, 592.7 MB
enrich_mushiness v1 85 games, 52938 moves, e=0.948, loss: nan, +, 49.2% elo% vs. v0, avg. reward: -10.471, 0.487 sec/game, 0.6 min. total, 593.6 MB
enrich_mushiness v1 86 games, 53565 moves, e=0.947, loss: nan, -, 46.9% elo% vs. v0, avg. reward: -10.477, 0.485 sec/game, 0.6 min. total, 595.2 MB
enrich_mushiness v1 87 games, 54295 moves, e=0.946, loss: nan, +, 49.4% elo% vs. v0, avg. reward: -10.469, 0.488 sec/game, 0.6 min. total, 598.1 MB
enrich_mushiness v1 88 games, 55094 moves, e=0.945, loss: nan, +, 51.7% elo% vs. v0, avg. reward: -10.453, 0.493 sec/game, 0.6 min. total, 601.3 MB
enrich_mushiness v1 89 games, 55757 moves, e=0.945, loss: nan, ., 51.6% elo% vs. v0, avg. reward: -10.453, 0.492 sec/game, 0.7 min. total, 603.6 MB
enrich_mushiness v1 91 games, 56587 moves, e=0.944, loss: nan, +, 53.8% elo% vs. v0, avg. reward: -10.502, 0.492 sec/game, 0.7 min. total, 606.7 MB
