facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v5 313 games, 246438 moves, e=0.756, loss: 253.3, -, 56.5% elo% vs. v3, avg. reward: 2.346, 2.316 sec/game, 9.2 min. total, 587.8 MB
facial_putdown v5 314 games, 247287 moves, e=0.755, loss: 244.8, +, 58.4% elo% vs. v3, avg. reward: 2.334, 2.306 sec/game, 9.2 min. total, 587.7 MB
facial_putdown v5 315 games, 248163 moves, e=0.754, loss: 257.0, -, 55.8% elo% vs. v3, avg. reward: 2.337, 2.305 sec/game, 9.3 min. total, 587.9 MB
facial_putdown v5 316 games, 249009 moves, e=0.753, loss: 247.7, -, 53.3% elo% vs. v3, avg. reward: 2.345, 2.300 sec/game, 9.3 min. total, 587.5 MB
facial_putdown v5 317 games, 250083 moves, e=0.752, loss: 240.2, -, 50.8% elo% vs. v3, avg. reward: 2.416, 2.316 sec/game, 9.3 min. total, 587.5 MB
facial_putdown v5 318 games, 250916 moves, e=0.752, loss: 232.8, +, 53.1% elo% vs. v3, avg. reward: 2.393, 2.298 sec/game, 9.4 min. total, 589.0 MB
facial_putdown v5 319 games, 251846 moves, e=0.751, loss: 245.3, +, 55.2% elo% vs. v3, avg. reward: 2.300, 2.303 sec/game, 9.4 min. total, 590.6 MB
facial_putdown v5 320 games, 252730 moves, e=0.750, loss: 242.8, -, 52.7% elo% vs. v3, avg. reward: 2.281, 2.288 sec/game, 9.5 min. total, 591.7 MB
facial_putdown v5 321 games, 253740 moves, e=0.749, loss: 243.2, -, 50.3% elo% vs. v3, avg. reward: 2.233, 2.303 sec/game, 9.5 min. total, 591.3 MB
facial_putdown v5 322 games, 254569 moves, e=0.748, loss: 241.6, ., 50.3% elo% vs. v3, avg. reward: 2.242, 2.278 sec/game, 9.5 min. total, 591.3 MB
facial_putdown v5 323 games, 255433 moves, e=0.747, loss: 248.5, -, 47.9% elo% vs. v3, avg. reward: 2.237, 2.298 sec/game, 9.6 min. total, 591.9 MB
facial_putdown v5 324 games, 256286 moves, e=0.746, loss: 261.2, ., 48.0% elo% vs. v3, avg. reward: 2.225, 2.302 sec/game, 9.6 min. total, 591.6 MB
facial_putdown v5 325 games, 257205 moves, e=0.745, loss: 246.1, +, 50.4% elo% vs. v3, avg. reward: 2.233, 2.290 sec/game, 9.7 min. total, 594.1 MB
facial_putdown v5 326 games, 258108 moves, e=0.744, loss: 240.6, ., 50.4% elo% vs. v3, avg. reward: 2.249, 2.306 sec/game, 9.7 min. total, 591.6 MB
facial_putdown v5 327 games, 259164 moves, e=0.743, loss: 249.5, -, 48.1% elo% vs. v3, avg. reward: 2.271, 2.299 sec/game, 9.7 min. total, 592.5 MB
facial_putdown v5 328 games, 259935 moves, e=0.743, loss: 257.5, -, 45.9% elo% vs. v3, avg. reward: 2.154, 2.285 sec/game, 9.8 min. total, 593.9 MB
facial_putdown v5 329 games, 260861 moves, e=0.742, loss: 253.7, -, 43.8% elo% vs. v3, avg. reward: 2.202, 2.280 sec/game, 9.8 min. total, 594.9 MB
facial_putdown v5 330 games, 262035 moves, e=0.741, loss: 256.4, +, 46.4% elo% vs. v3, avg. reward: 2.270, 2.327 sec/game, 9.9 min. total, 595.3 MB
facial_putdown v5 331 games, 262869 moves, e=0.740, loss: 258.0, +, 48.8% elo% vs. v3, avg. reward: 2.291, 2.304 sec/game, 9.9 min. total, 595.0 MB
facial_putdown v5 332 games, 263814 moves, e=0.739, loss: 259.1, -, 46.6% elo% vs. v3, avg. reward: 2.357, 2.314 sec/game, 9.9 min. total, 595.0 MB
facial_putdown v5 333 games, 264780 moves, e=0.738, loss: 257.7, +, 49.0% elo% vs. v3, avg. reward: 2.325, 2.321 sec/game, 10.0 min. total, 594.8 MB
facial_putdown v5 334 games, 265622 moves, e=0.737, loss: 250.9, +, 51.4% elo% vs. v3, avg. reward: 2.247, 2.333 sec/game, 10.0 min. total, 595.4 MB
facial_putdown v5 335 games, 266536 moves, e=0.736, loss: 255.5, ., 51.3% elo% vs. v3, avg. reward: 2.276, 2.331 sec/game, 10.0 min. total, 595.3 MB
facial_putdown v5 336 games, 267364 moves, e=0.735, loss: 260.4, -, 49.0% elo% vs. v3, avg. reward: 2.222, 2.321 sec/game, 10.1 min. total, 595.4 MB
facial_putdown v5 337 games, 268249 moves, e=0.734, loss: 262.8, -, 46.7% elo% vs. v3, avg. reward: 2.232, 2.305 sec/game, 10.1 min. total, 596.9 MB
facial_putdown v5 338 games, 269050 moves, e=0.734, loss: 262.1, -, 44.6% elo% vs. v3, avg. reward: 2.185, 2.294 sec/game, 10.1 min. total, 597.5 MB
facial_putdown v5 339 games, 269826 moves, e=0.733, loss: 274.9, -, 42.6% elo% vs. v3, avg. reward: 2.175, 2.285 sec/game, 10.2 min. total, 597.2 MB
