facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v1 68 games, 48869 moves, e=0.952, loss: 152.2, -, 13.5% elo% vs. v0, avg. reward: -0.094, 1.651 sec/game, 1.5 min. total, 413.1 MB
facial_putdown v1 69 games, 49682 moves, e=0.951, loss: 162.6, ., 14.3% elo% vs. v0, avg. reward: -0.014, 1.643 sec/game, 1.6 min. total, 413.1 MB
facial_putdown v1 70 games, 50407 moves, e=0.950, loss: 167.9, +, 16.3% elo% vs. v0, avg. reward: 0.059, 1.604 sec/game, 1.6 min. total, 413.1 MB
facial_putdown v1 71 games, 51050 moves, e=0.949, loss: 168.4, +, 18.5% elo% vs. v0, avg. reward: 0.061, 1.578 sec/game, 1.6 min. total, 413.6 MB
facial_putdown v1 72 games, 51710 moves, e=0.949, loss: 165.6, -, 18.0% elo% vs. v0, avg. reward: 0.033, 1.578 sec/game, 1.6 min. total, 413.8 MB
facial_putdown v1 73 games, 52484 moves, e=0.948, loss: 175.2, -, 17.5% elo% vs. v0, avg. reward: 0.006, 1.582 sec/game, 1.7 min. total, 414.3 MB
facial_putdown v1 74 games, 53231 moves, e=0.947, loss: 181.4, +, 19.8% elo% vs. v0, avg. reward: 0.016, 1.578 sec/game, 1.7 min. total, 415.3 MB
facial_putdown v1 75 games, 53988 moves, e=0.947, loss: 170.1, -, 19.3% elo% vs. v0, avg. reward: 0.014, 1.577 sec/game, 1.7 min. total, 416.6 MB
facial_putdown v1 76 games, 54734 moves, e=0.946, loss: 182.9, -, 18.7% elo% vs. v0, avg. reward: -0.016, 1.574 sec/game, 1.7 min. total, 416.2 MB
facial_putdown v1 77 games, 55524 moves, e=0.945, loss: 179.1, -, 18.2% elo% vs. v0, avg. reward: -0.034, 1.576 sec/game, 1.8 min. total, 416.2 MB
facial_putdown v1 78 games, 56206 moves, e=0.944, loss: 182.0, +, 20.6% elo% vs. v0, avg. reward: -0.070, 1.571 sec/game, 1.8 min. total, 416.4 MB
facial_putdown v1 79 games, 56923 moves, e=0.944, loss: 179.8, +, 23.1% elo% vs. v0, avg. reward: -0.078, 1.559 sec/game, 1.8 min. total, 416.4 MB
facial_putdown v1 80 games, 57771 moves, e=0.943, loss: 187.5, +, 25.7% elo% vs. v0, avg. reward: -0.090, 1.581 sec/game, 1.9 min. total, 416.9 MB
facial_putdown v1 81 games, 58485 moves, e=0.942, loss: 176.9, +, 28.4% elo% vs. v0, avg. reward: -0.036, 1.553 sec/game, 1.9 min. total, 417.2 MB
facial_putdown v1 82 games, 59204 moves, e=0.941, loss: 187.7, +, 31.1% elo% vs. v0, avg. reward: -0.002, 1.558 sec/game, 1.9 min. total, 416.9 MB
facial_putdown v1 83 games, 59909 moves, e=0.941, loss: 179.1, -, 29.9% elo% vs. v0, avg. reward: 0.000, 1.555 sec/game, 1.9 min. total, 416.5 MB
facial_putdown v1 84 games, 60621 moves, e=0.940, loss: 183.6, ., 30.7% elo% vs. v0, avg. reward: -0.021, 1.547 sec/game, 2.0 min. total, 417.7 MB
facial_putdown v1 85 games, 61332 moves, e=0.939, loss: 180.9, +, 33.5% elo% vs. v0, avg. reward: 0.003, 1.547 sec/game, 2.0 min. total, 418.8 MB
facial_putdown v1 86 games, 62024 moves, e=0.939, loss: 178.9, -, 32.1% elo% vs. v0, avg. reward: -0.020, 1.525 sec/game, 2.0 min. total, 420.8 MB
facial_putdown v1 87 games, 62766 moves, e=0.938, loss: 181.6, ., 32.8% elo% vs. v0, avg. reward: -0.001, 1.544 sec/game, 2.0 min. total, 421.0 MB
facial_putdown v1 88 games, 63564 moves, e=0.937, loss: 178.9, -, 31.5% elo% vs. v0, avg. reward: 0.041, 1.562 sec/game, 2.1 min. total, 421.1 MB
facial_putdown v1 89 games, 64199 moves, e=0.936, loss: 177.9, +, 34.3% elo% vs. v0, avg. reward: 0.030, 1.598 sec/game, 2.1 min. total, 422.0 MB
facial_putdown v1 90 games, 64877 moves, e=0.936, loss: 170.0, +, 37.1% elo% vs. v0, avg. reward: 0.108, 1.609 sec/game, 2.1 min. total, 421.2 MB
facial_putdown v1 91 games, 65598 moves, e=0.935, loss: 173.0, -, 35.5% elo% vs. v0, avg. reward: 0.125, 1.649 sec/game, 2.2 min. total, 421.8 MB
