limpness_gamma v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.5 MB
limpness_gamma v3 57 games, 41225 moves, e=0.959, loss: 0.2, -, 18.5% elo% vs. random_no_suicide, avg. reward: -0.053, 1.330 sec/game, 1.0 min. total, 437.8 MB
limpness_gamma v3 58 games, 41975 moves, e=0.958, loss: 0.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -0.052, 1.344 sec/game, 1.1 min. total, 437.9 MB
limpness_gamma v3 59 games, 42681 moves, e=0.958, loss: 0.2, -, 17.5% elo% vs. random_no_suicide, avg. reward: -0.052, 1.339 sec/game, 1.1 min. total, 438.9 MB
limpness_gamma v3 60 games, 43363 moves, e=0.957, loss: 0.2, -, 17.0% elo% vs. random_no_suicide, avg. reward: -0.051, 1.333 sec/game, 1.1 min. total, 439.6 MB
limpness_gamma v3 61 games, 44105 moves, e=0.956, loss: 0.2, -, 16.6% elo% vs. random_no_suicide, avg. reward: -0.052, 1.341 sec/game, 1.1 min. total, 439.5 MB
limpness_gamma v3 62 games, 44898 moves, e=0.956, loss: 0.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: -0.051, 1.343 sec/game, 1.1 min. total, 439.0 MB
limpness_gamma v3 63 games, 45644 moves, e=0.955, loss: 0.2, -, 15.8% elo% vs. random_no_suicide, avg. reward: -0.052, 1.355 sec/game, 1.2 min. total, 439.6 MB
limpness_gamma v3 64 games, 46434 moves, e=0.954, loss: 0.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: -0.052, 1.357 sec/game, 1.2 min. total, 439.6 MB
limpness_gamma v3 65 games, 47135 moves, e=0.953, loss: 0.2, -, 15.0% elo% vs. random_no_suicide, avg. reward: -0.051, 1.359 sec/game, 1.2 min. total, 439.2 MB
limpness_gamma v3 66 games, 47843 moves, e=0.953, loss: 0.2, -, 14.7% elo% vs. random_no_suicide, avg. reward: -0.051, 1.334 sec/game, 1.2 min. total, 439.0 MB
limpness_gamma v3 67 games, 48556 moves, e=0.952, loss: 0.2, -, 14.3% elo% vs. random_no_suicide, avg. reward: -0.051, 1.342 sec/game, 1.3 min. total, 440.0 MB
limpness_gamma v3 68 games, 49256 moves, e=0.951, loss: 0.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: -0.051, 1.335 sec/game, 1.3 min. total, 440.0 MB
limpness_gamma v3 69 games, 49891 moves, e=0.951, loss: 0.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: -0.050, 1.321 sec/game, 1.3 min. total, 440.6 MB
limpness_gamma v3 70 games, 50575 moves, e=0.950, loss: 0.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -0.049, 1.327 sec/game, 1.3 min. total, 441.0 MB
