reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v2 45 games, 32091 moves, e=0.968, loss: 47.0, ., 61.3% elo% vs. guard_bot, avg. reward: 3.677, 1.406 sec/game, 0.8 min. total, 432.4 MB
reflux_snowflake v2 46 games, 32810 moves, e=0.968, loss: 47.9, +, 62.9% elo% vs. guard_bot, avg. reward: 3.678, 1.407 sec/game, 0.8 min. total, 433.8 MB
reflux_snowflake v2 47 games, 33470 moves, e=0.967, loss: 49.5, +, 64.5% elo% vs. guard_bot, avg. reward: 3.670, 1.404 sec/game, 0.8 min. total, 434.7 MB
reflux_snowflake v2 48 games, 34144 moves, e=0.966, loss: 53.2, ., 63.9% elo% vs. guard_bot, avg. reward: 3.659, 1.387 sec/game, 0.9 min. total, 434.9 MB
reflux_snowflake v2 49 games, 34853 moves, e=0.965, loss: 56.4, +, 65.4% elo% vs. guard_bot, avg. reward: 3.652, 1.389 sec/game, 0.9 min. total, 435.5 MB
reflux_snowflake v2 50 games, 35742 moves, e=0.965, loss: 54.4, +, 66.8% elo% vs. guard_bot, avg. reward: 3.639, 1.410 sec/game, 0.9 min. total, 435.4 MB
reflux_snowflake v2 51 games, 36410 moves, e=0.964, loss: 59.9, +, 68.2% elo% vs. guard_bot, avg. reward: 3.637, 1.395 sec/game, 0.9 min. total, 435.9 MB
reflux_snowflake v2 52 games, 37110 moves, e=0.963, loss: 61.9, +, 69.4% elo% vs. guard_bot, avg. reward: 3.661, 1.380 sec/game, 1.0 min. total, 436.7 MB
reflux_snowflake v2 53 games, 37877 moves, e=0.963, loss: 63.3, +, 70.6% elo% vs. guard_bot, avg. reward: 3.678, 1.388 sec/game, 1.0 min. total, 437.3 MB
reflux_snowflake v3 54 games, 38654 moves, e=0.962, loss: 60.8, -, 49.9% elo% vs. random_no_suicide, avg. reward: 3.683, 1.371 sec/game, 1.0 min. total, 439.1 MB
reflux_snowflake v3 55 games, 39479 moves, e=0.961, loss: 62.7, -, 47.6% elo% vs. random_no_suicide, avg. reward: 3.674, 1.373 sec/game, 1.0 min. total, 439.7 MB
reflux_snowflake v3 56 games, 40199 moves, e=0.960, loss: 61.9, -, 45.4% elo% vs. random_no_suicide, avg. reward: 3.684, 1.379 sec/game, 1.1 min. total, 440.6 MB
reflux_snowflake v3 57 games, 40879 moves, e=0.960, loss: 64.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: 3.691, 1.365 sec/game, 1.1 min. total, 443.0 MB
reflux_snowflake v3 58 games, 41651 moves, e=0.959, loss: 64.7, -, 41.4% elo% vs. random_no_suicide, avg. reward: 3.693, 1.373 sec/game, 1.1 min. total, 445.1 MB
reflux_snowflake v3 59 games, 42376 moves, e=0.958, loss: 64.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 3.660, 1.373 sec/game, 1.1 min. total, 445.2 MB
reflux_snowflake v3 60 games, 43018 moves, e=0.957, loss: 67.9, -, 37.8% elo% vs. random_no_suicide, avg. reward: 3.640, 1.356 sec/game, 1.1 min. total, 446.1 MB
reflux_snowflake v3 61 games, 43699 moves, e=0.957, loss: 71.7, -, 36.2% elo% vs. random_no_suicide, avg. reward: 3.616, 1.355 sec/game, 1.2 min. total, 446.2 MB
reflux_snowflake v3 62 games, 44412 moves, e=0.956, loss: 69.5, -, 34.7% elo% vs. random_no_suicide, avg. reward: 3.608, 1.337 sec/game, 1.2 min. total, 446.2 MB
reflux_snowflake v3 63 games, 45118 moves, e=0.955, loss: 70.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: 3.577, 1.343 sec/game, 1.2 min. total, 446.3 MB
reflux_snowflake v3 64 games, 45853 moves, e=0.955, loss: 70.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: 3.589, 1.349 sec/game, 1.2 min. total, 446.3 MB
reflux_snowflake v3 65 games, 46630 moves, e=0.954, loss: 75.9, -, 30.6% elo% vs. random_no_suicide, avg. reward: 3.590, 1.371 sec/game, 1.3 min. total, 446.4 MB
reflux_snowflake v3 66 games, 47463 moves, e=0.953, loss: 74.4, -, 29.5% elo% vs. random_no_suicide, avg. reward: 3.601, 1.370 sec/game, 1.3 min. total, 446.2 MB
reflux_snowflake v3 67 games, 48188 moves, e=0.952, loss: 77.6, -, 28.3% elo% vs. random_no_suicide, avg. reward: 3.604, 1.389 sec/game, 1.3 min. total, 447.1 MB
reflux_snowflake v3 68 games, 48930 moves, e=0.952, loss: 80.2, -, 27.3% elo% vs. random_no_suicide, avg. reward: 3.608, 1.410 sec/game, 1.3 min. total, 446.8 MB
reflux_snowflake v3 69 games, 49608 moves, e=0.951, loss: 75.8, -, 26.3% elo% vs. random_no_suicide, avg. reward: 3.585, 1.406 sec/game, 1.4 min. total, 449.1 MB
reflux_snowflake v3 70 games, 50293 moves, e=0.950, loss: 78.4, +, 29.0% elo% vs. random_no_suicide, avg. reward: 3.586, 1.397 sec/game, 1.4 min. total, 448.9 MB
